concept,stratum,C2,de,en,uk,ru,isv,isv_cyr,cs,sk,pl,sl,hr_sr,bg,es,fr,pt,gl,ca,it,ro,rm,ar,fa,my_id,branch_coverage_slavic,action_class,sensitivity,best_alt_mean_MAG,lane_count,concept_norm,source_weight_total,source_weight_profile,priority_score,priority_band,risk_flags,ws_west_status,ws_south_status,ws_candidates,ws_lang_forms,c2_context_covered,main_sources,canonical_or_ledger_terms,lane_status_summary,weighted_top_by_scheme,weighted_current_scores,weighted_best_noncurrent,weighted_review_question,isv_source_cue,isv_cyr_source_cue,uk_source_cue,ru_source_cue,register_doublet_group,register_branch_profile,register_doublet_policy,register_evidence
diagonal entry,curriculum_algebra,,Diagonalglied,diagonal entry,діагональний член,диагональный член,diagonalny člen,диагоналны член,,,,,,,,,,,,,,,,,,,,,,,diagonal entry,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:Diagonalglied; uk:діагональний член; ru:диагональный член; isv:diagonalny člen; isv_cyr:диагоналны член,{},{},{},,,,,,,,,,
direct factor,curriculum_algebra,,direkt unzerlegbare Faktoren; direkter Faktor,direct factor,прямий фактор,прямо неразложимые факторы,direktno nerazložime faktory,директно неразложиме факторы,,,,,,,,,,,,,,,,,,,,,,,direct factor,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:direkt unzerlegbare Faktoren; direkter Faktor; uk:прямий фактор; прямо нерозкладні фактори; ru:прямо неразложимые факторы; прямой фактор; isv:direktno nerazložime faktory; direktny faktor; isv_cyr:директно неразложиме факторы; директны фактор,{},{},{},,,direktno nerazložime faktory; direktny faktor,директно неразложиме факторы; директны фактор,прямий фактор; прямо нерозкладні фактори,прямо неразложимые факторы; прямой фактор,,,,
direct product,algebra_general,,,direct product,,,,,,,,,,,,,,,,,,,الضرب المباشر,ضرب مستقیم,,0,,,,2,direct product,1.08,"{""cross_lane_spine"": 0.08, ""lane_arabic_farsi_persianate"": 0.5, ""lane_controlled_arabic"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,,,"{""arabic_farsi_persianate"": ""ar:fallback_attested_needs_review; fa:open_no_direct_hit; bridge:bridge_candidate_review_required"", ""controlled_arabic"": ""fallback_attested_needs_review""}",{},{},,,,,,,,,,
discriminant,curriculum_algebra,,diskriminante,discriminant,,,,,,,,,,,,,,,,,,,,,,,,,,,discriminant,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:diskriminante,{},{},{},,,,,,,,,,
distributive,,,,distributive,,,,,,,,,,,,,,,,,,,,,distributif/agihan,0,,,,1,distributive,0.24,"{""cross_lane_spine"": 0.04, ""lane_malay_indonesian"": 0.2}",0,D_background,,no_hit,no_hit,{},{},,malay_indonesian:Indonesian algebra; Malay terminology,,"{""malay_indonesian"": ""variant_pair_required""}",{},{},,,,,,,,,,
divisibility,algebra_invariant_theory,,,divisibility,,,,,,,,,,,divisibilidad,divisibilite,divisibilidade,divisibilidade,divisibilitat,divisibilita,divizibilitate,,,,,0,,,,1,divisibility,0.54,"{""cross_lane_spine"": 0.04, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,pan_romance:es:cum_es.tex:4438; pan_romance:fr:french/1104.3350v3/CTK230712.tex:394,,"{""pan_romance"": ""esperanto_warning_source_hit""}",{},{},,,,,,,,,,
division algebra,curriculum_algebra,,Divisionsalgebra; zugeordnete Divisionsalgebra; normale Divisionsalgebra,division algebra,,,,,,,,,,,,,,,,,,,,,,,,,,,division algebra,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:Divisionsalgebra; zugeordnete Divisionsalgebra; normale Divisionsalgebra; uk:алгебра з діленням; приєднана алгебра з діленням; нормальна алгебра з діленням; ru:алгебра с делением; присоединенная алгебра с делением; нормальная алгебра с делением; isv:dělitvena algebra; prirěđena dělitvena algebra; normalna dělitvena algebra,{},{},{},,,dělitvena algebra; prirěđena dělitvena algebra; normalna dělitvena algebra,,алгебра з діленням; приєднана алгебра з діленням; нормальна алгебра з діленням,алгебра с делением; присоединенная алгебра с делением; нормальная алгебра с делением,,,,
division ring,algebra_invariant_theory,,,division ring,,,,,≈? [S]; marker/těleso [C],≈? [S],ciało(niepr.) [C],marker [C],≈? [S]; marker/tijelo [C],≈? [S]; tjalo [C],anillo de division / cuerpo no conmutativo,corps gauche / anneau de division,anel de divisao,,anell de divisio,,,,,,,2,confirm_current,stable,-0.376,1,division ring,0.54,"{""cross_lane_spine"": 0.04, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,pan_romance:es:cum_es.tex:14606; pan_romance:fr:french/math_0507070v1/jlctbbki27juin.tex:218,,"{""pan_romance"": ""interlingua_source_hit""}",{},{},,,,,,,,,,
division ring / body,,,,division ring / body,,,tělo,,cognate of ISV form [S]; noncommutative marker [C]; cs těleso [C],cognate of ISV form [S],pl ciało(niepr.) [C],noncommutative marker [C],cognate of ISV form [S]; noncommutative marker [C]; hr tijelo [C],cognate of ISV form [S]; bg tjalo [C],,,,,,,,,,,,,confirm_current,stable,-0.37641328692085596,,division ring / body,2.25,"{""adverse_competitor_channel"": 0.9, ""native_ws_witness_candidate"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",0,D_background,,support+competitor,support+competitor,"{""bg tjalo"": 2, ""cognate of ISV form"": 698, ""cs těleso"": 581, ""hr tijelo"": 22, ""noncommutative marker"": 137, ""pl ciało(niepr.)"": 360}","{""bg"": [""bg tjalo"", ""cognate of ISV form""], ""cs"": [""cognate of ISV form"", ""cs těleso"", ""noncommutative marker""], ""hr"": [""cognate of ISV form"", ""hr tijelo"", ""noncommutative marker""], ""pl"": [""pl ciało(niepr.)""], ""sk"": [""cognate of ISV form""], ""sl"": [""noncommutative marker""]}",,ws:bulgarian_sofia_noncommutative_body_problem.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:croatian_pmf_split_prsteni.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_cuni_telesa_pole_note.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:czech_karlin_galois_splitting_field.txt; ws:polish_impan_algebra_lecture3.txt; ws:polish_mimuw_algebra2_galois.txt; ws:polish_mimuw_left_ideals_idempotents.txt,,{},"{""dependence_pd"": ""tělo"", ""equal_branch"": ""tělo"", ""equal_splits"": ""tělo"", ""population_proxy"": ""tělo""}","{""dependence_pd"": 0.8181818181818182, ""equal_branch"": 1.0, ""equal_splits"": 0.7222222222222222, ""population_proxy"": 0.8214603739982191}",noncommutative marker,Confirm 'tělo' (support pattern acceptable) or note preferred variant policy.,,,,,body-telo-infl,těleso(cs/sk): W667/S10/E0; ciało(pl): W360/S0/E0; tijelo/telo/tjalo(S): W0/S121/E0,pan-root anchor: těleso(cs/sk); branch aliases: W=['ciało(pl)'] S=['tijelo/telo/tjalo(S)'],REGISTER_DOUBLET_BRANCH_EVIDENCE_v2_20260704.json (mechanical_probe 0.5)
domain,algebra_invariant_theory,,,domain,,,,,,,,,,,dominio,domaine,dominio,dominio,domini,dominio,domeniu,,,,,0,,,,1,domain,0.78,"{""cross_lane_spine"": 0.08, ""lane_interslavic"": 0.2, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,interslavic:noether_paper02_section06_terms.json; pan_romance:es:cum_es.tex:291; pan_romance:fr:cum_fr_P19s12.tex:198,,"{""interslavic"": ""stable_provisional"", ""pan_romance"": ""interlingua_source_hit""}",{},{},,,,,,,,,,
eigenvalue,,,,eigenvalue,,,,,,,,,,,,,,,,,,,,,nilai eigen/nilai ciri,0,,,,1,eigenvalue,0.24,"{""cross_lane_spine"": 0.04, ""lane_malay_indonesian"": 0.2}",0,D_background,,no_hit,no_hit,{},{},,malay_indonesian:UM terminology rows,,"{""malay_indonesian"": ""terminology_only_specialist""}",{},{},,,,,,,,,,
elimination,curriculum_algebra,,Elimination,elimination,елімінація,исключение; элиминация,eliminacija,елиминација,,,,,,,,,,,,,,,,,,,,,,,elimination,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:Elimination; uk:елімінація; ru:исключение; элиминация; isv:eliminacija; isv_cyr:елиминација,{},{},{},,,,,,,,,,
equivalence,sets_maps,,,equivalence,,,,,,,,,,,,,,,,,,,مكافئة,,,0,,,,1,equivalence,0.54,"{""cross_lane_spine"": 0.04, ""lane_controlled_arabic"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,,,"{""controlled_arabic"": ""fallback_attested_needs_review""}",{},{},,,,,,,,,,
extension,algebra_invariant_theory,,,extension,,,,,,,,,,,extension,extension,extensao,extension,extensio,estensione,,extensiun,,,,0,,,,1,extension,0.54,"{""cross_lane_spine"": 0.04, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,pan_romance:es:cum_es.tex:12742; pan_romance:fr:cum_fr_P19s12.tex:3205,,"{""pan_romance"": ""esperanto_warning_source_hit""}",{},{},,,,,,,,,,
extension of the ground field,curriculum_algebra,,Erweiterung des Grundkörpers,extension of the ground field,розширення основного поля,расширение основного поля,razširenje osnovnogo těla,разширенье основного тела,,,,,,,,,,,,,,,,,,,,,,,extension of the ground field,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:Erweiterung des Grundkörpers; uk:розширення основного поля; ru:расширение основного поля; isv:razširenje osnovnogo těla; isv_cyr:разширенье основного тела,{},{},{},,,,,,,,,,
factor ring,,,,factor ring,,,,,,,,,,,,,,,,,,,,,gelanggang faktor/ring faktor,0,,,,1,factor ring,0.14,"{""cross_lane_spine"": 0.04, ""lane_malay_indonesian"": 0.1}",0,D_background,,no_hit,no_hit,{},{},,malay_indonesian:UIN factor-ring section,,"{""malay_indonesian"": ""indonesian_strong_malay_gap""}",{},{},,,,,,,,,,
finite group,group_theory,,,finite group,,,,,,,,,,,,,,,,,,,,,,0,,,,1,finite group,0.24,"{""cross_lane_spine"": 0.04, ""lane_controlled_arabic"": 0.2}",0,D_background,,no_hit,no_hit,{},{},,,,"{""controlled_arabic"": ""open_no_direct_evidence""}",{},{},,,,,,,,,,
galois,algebra_invariant_theory,,,galois,,,,,,,,,,,Galois,Galois,galois,,galois,galois,,,,,,0,,,,2,galois,0.78,"{""cross_lane_spine"": 0.08, ""lane_controlled_arabic"": 0.2, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,pan_romance:es:cum_es.tex:5344; pan_romance:fr:french/0711.3658v2/rat1e.tex:86,,"{""controlled_arabic"": ""open_no_direct_evidence"", ""pan_romance"": ""interlingua_source_hit""}",{},{},,,,,,,,,,
galois group,curriculum_algebra,,galoissche gruppe; galoisgruppe,galois group,,,,,,,,,,,,,,,,,,,,,,,,,,,galois group,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:galoissche gruppe; galoisgruppe,{},{},{},,,,,,,,,,
greatest common divisor,algebra_invariant_theory,,,greatest common divisor,,,,,,,,,,,maximo comun divisor,diviseur commun,mdc,maximo comun divisor,mcd,mcd,cel mai mare divizor comun,,,,,0,,,,1,greatest common divisor,0.54,"{""cross_lane_spine"": 0.04, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,pan_romance:es:spanish/github_apuntes-uam-infomat_apuntes/Estructuras Algebraicas/Estructuras_Algebraicas.tex:810; pan_romance:fr:french/1005.0462v1/torseur.tex:211,,"{""pan_romance"": ""esperanto_warning_source_hit""}",{},{},,,,,,,,,,
group action,group_theory,,,group action,,,,,,,,,,,,,,,,,,,,,,0,,,,1,group action,0.24,"{""cross_lane_spine"": 0.04, ""lane_controlled_arabic"": 0.2}",0,D_background,,no_hit,no_hit,{},{},,,,"{""controlled_arabic"": ""open_no_direct_evidence""}",{},{},,,,,,,,,,
group representation,representation_theory,,,group representation,,,,,,,,,,,,,,,,,,,تمثيل الزمر,,,0,,,,1,group representation,0.79,"{""cross_lane_spine"": 0.04, ""lane_controlled_arabic"": 0.75}",0,D_background,,no_hit,no_hit,{},{},,,,"{""controlled_arabic"": ""attested_needs_review""}",{},{},,,,,,,,,,
group ring,curriculum_algebra,,Gruppenring,group ring,групове кільце,групповое кольцо,grupno kolco,групно колцо,,,,,,,,,,,,,,,,,,,,,,,group ring,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:Gruppenring; uk:групове кільце; ru:групповое кольцо; isv:grupno kolco; grupovo kolco; isv_cyr:групно колцо; групово колцо,{},{},{},,,grupno kolco; grupovo kolco,групно колцо; групово колцо,,,,,,
idempotent,,,,idempotent,,,idempotent,,cognate of ISV form [S],cognate of ISV form [S],cognate of ISV form [S],cognate of ISV form [S],cognate of ISV form [S],,,,,,,,,,,,,,confirm_current,stable,-999,,idempotent,1.35,"{""native_ws_witness_candidate"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",0,D_background,,support,support,"{""cognate of ISV form"": 310}","{""cs"": [""cognate of ISV form""], ""hr"": [""cognate of ISV form""], ""pl"": [""cognate of ISV form""], ""sk"": [""cognate of ISV form""], ""sl"": [""cognate of ISV form""]}",,ws:croatian_pmf_split_prsteni.txt; ws:czech_cuni_representation_idempotents.txt; ws:polish_mimuw_left_ideals_idempotents.txt; ws:slovak_abstraktna_algebra.txt; ws:slovenian_komutativna_algebra_noetherian.txt; ws:slovenian_uvod_v_algebro.txt,,{},"{""dependence_pd"": ""idempotent"", ""equal_branch"": ""idempotent"", ""equal_splits"": ""idempotent"", ""population_proxy"": ""idempotent""}","{""dependence_pd"": 0.9090909090909091, ""equal_branch"": 1.0, ""equal_splits"": 0.8888888888888888, ""population_proxy"": 0.9652715939447908}",,Confirm 'idempotent' (support pattern acceptable) or note preferred variant policy.,,,,,,,,
identity (relation),proof_grammar,,Gesamtheit der unzerlegbaren Identitäten erschöpft; Identitäten entstehen nicht; irreduzible unzerlegbare Identitäten; symbolische Identitäten; zerlegbare Identität; zusammengesetzte Identitäten,identity (relation),,,identičnosti ne nastavajut,,,,,,,,,,,,,,,,,,,,,,,,identity (relation),1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:Gesamtheit der unzerlegbaren Identitäten erschöpft; Identitäten entstehen nicht; irreduzible unzerlegbare Identitäten; symbolische Identitäten; zerlegbare Identität; zusammengesetzte Identitäten; isv:identičnosti ne nastavajut; nereduktibilne nerazložime identičnosti; razložima identičnost; simbolične identičnosti,{},{},{},,,identičnosti ne nastavajut; nereduktibilne nerazložime identičnosti; razložima identičnost; simbolične identičnosti,,,,,,,
identity matrix,curriculum_algebra,,Einheitsmatrix,identity matrix,одинична матриця,единичная матрица,jedinična matrica,јединична матрица,,,,,,,,,,,,,,,,,,,,,,,identity matrix,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:Einheitsmatrix; uk:одинична матриця; ru:единичная матрица; isv:jedinična matrica; isv_cyr:јединична матрица,{},{},{},,,,,,,,,,
identity operator,curriculum_algebra,,Einheitsoperator,identity operator,одиничний оператор,единичный оператор,jediničny operator,јединичны оператор,,,,,,,,,,,,,,,,,,,,,,,identity operator,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:Einheitsoperator; uk:одиничний оператор; ru:единичный оператор; isv:jediničny operator; isv_cyr:јединичны оператор,{},{},{},,,,,,,,,,
indecomposable,curriculum_algebra,,direkt-unzerlegbar; direkt-unzerlegbar / zerlegbar,indecomposable,прямо нерозкладний,прямо неразложимый,direktno nerazložimy,директно неразложимы,,,,,,,,,,,,,,,,,,,,,,,indecomposable,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:direkt-unzerlegbar; direkt-unzerlegbar / zerlegbar; uk:прямо нерозкладний; прямо нерозкладний / розкладний; ru:прямо неразложимый; прямо неразложимый / разложимый; isv:direktno nerazložimy; direktno nerazložimy / razložimy; isv_cyr:директно неразложимы; директно неразложимы / разложимы,{},{},{},,,direktno nerazložimy; direktno nerazložimy / razložimy,директно неразложимы; директно неразложимы / разложимы,прямо нерозкладний; прямо нерозкладний / розкладний,прямо неразложимый; прямо неразложимый / разложимый,,,,
infinite,,,,infinite,,,,,,,,,,,,,,,,,,,,,tak terhingga/tak hingga,0,,,,1,infinite,0.14,"{""cross_lane_spine"": 0.04, ""lane_malay_indonesian"": 0.1}",0,D_background,,no_hit,no_hit,{},{},,malay_indonesian:UKM complex-analysis rows,,"{""malay_indonesian"": ""malay_strong_indonesian_gap""}",{},{},,,,,,,,,,
injective,sets_maps,,,injective,,,,,,,,,,,,,,,,,,,,,,0,,,,1,injective,0.24,"{""cross_lane_spine"": 0.04, ""lane_controlled_arabic"": 0.2}",0,D_background,,no_hit,no_hit,{},{},,,,"{""controlled_arabic"": ""open_no_direct_evidence""}",{},{},,,,,,,,,,
integral domain,curriculum_algebra,,Integritaetsbereich; Integritätsbereich,integral domain,область цілісності,область целостности,,област целости,,,,,,,,,,,,,,,,,daerah integral/domain integral,1,,,,2,integral domain,1.19,"{""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.04, ""draft_triangulation"": 0.15, ""lane_malay_indonesian"": 0.1}",0,D_background,,no_hit,no_hit,{},{},,malay_indonesian:Indonesian PID/UFD rows,de:integritätsbereich; integritaetsbereich; ganzheitsbereich,"{""malay_indonesian"": ""indonesian_strong_malay_gap""}",{},{},,,integritetna oblast / kolco bez nulovyh děliteljev,,,,,,,
inverse,,,,inverse,,,,,,,,,,,,,,,,,,,,,invers/songsang,0,,,,1,inverse,0.24,"{""cross_lane_spine"": 0.04, ""lane_malay_indonesian"": 0.2}",0,D_background,,no_hit,no_hit,{},{},,malay_indonesian:Indonesian algebra; Malay terminology,,"{""malay_indonesian"": ""variant_pair_required""}",{},{},,,,,,,,,,
irreducible,curriculum_algebra,,Irreduzible Formen; Irreduzible Formen / Ordnung; absolut-irreduzibel,irreducible,,,,,,,,,,,,,,,,,,,,,,,,,,,irreducible,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:Irreduzible Formen; Irreduzible Formen / Ordnung; absolut-irreduzibel; uk:абсолютно незвідний; незвідні форми; незвідні форми / порядок; ru:абсолютно неприводимый; неприводимые формы; неприводимые формы / порядок; isv:absolutno ireducibilny; nereducibilne formy; nereducibilne formy / poręd; isv_cyr:абсолутно иредуцибилны; нередуцибилне формы; нередуцибилне формы / поряд,{},{},{},,,absolutno ireducibilny; nereducibilne formy; nereducibilne formy / poręd,абсолутно иредуцибилны; нередуцибилне формы; нередуцибилне формы / поряд,абсолютно незвідний; незвідні форми; незвідні форми / порядок,абсолютно неприводимый; неприводимые формы; неприводимые формы / порядок,,,,
irreducible ideal,algebra_invariant_theory,,,irreducible ideal,,,,,,,,,,,ideal irreducible,ideal irreductible,irredutivel,irreducible,irreductible,irriducibile,ireductibil,,,,,0,,,,1,irreducible ideal,0.54,"{""cross_lane_spine"": 0.04, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,pan_romance:es:cum_es.tex:767; pan_romance:fr:french/0605499v2/indice1.tex:1003,,"{""pan_romance"": ""no_promoted_register_source_hit""}",{},{},,,,,,,,,,
irreducible representation,representation_theory,,,irreducible representation,,,,,,,,,,,,,,,,,,,,,,0,,,,1,irreducible representation,0.24,"{""cross_lane_spine"": 0.04, ""lane_controlled_arabic"": 0.2}",0,D_background,,no_hit,no_hit,{},{},,,,"{""controlled_arabic"": ""open_no_direct_evidence""}",{},{},,,,,,,,,,
least common multiple,algebra_invariant_theory,,Darstellung als kleinstes gemeinsames Vielfaches; groesster gemeinsamer Teiler / kleinstes gemeinsames Vielfaches,least common multiple,найменше спільне кратне,наименьшее общее кратное,najmene obče mnogokratno,,,,,,,,minimo comun multiplo,plus petit commun multiple,mmc,minimo comun multiplo,mcm,minimo comune multiplo,,,,,,1,,,,2,least common multiple,1.59,"{""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.04, ""draft_triangulation"": 0.15, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,pan_romance:es:spanish/github_apuntes-uam-infomat_apuntes/Algebra Conmutativa/tex/AlgebraConmutativa_Ejs.tex:275; pan_romance:fr:french/math_0206203v2/smf_doc-math_3_01.tex:25289,de:Darstellung als kleinstes gemeinsames Vielfaches; kleinstes gemeinsames Vielfaches / größter gemeinsamer Teiler; uk:найменше спільне кратне / найбільший спільний дільник; подання як найменше спільне кратне; ru:наименьшее общее кратное / наибольший общий делитель; представление как наименьшее общее кратное; isv:najmenše obče mnogokratno / največši obči dělitelj; predstavjenje kako najmenše obče mnogokratno,"{""pan_romance"": ""esperanto_warning_source_hit""}",{},{},,,,највечши обчи делитель / најмене обче многократно,,,,,,
left,algebra_invariant_theory,,,left,,,,,,,,,,,izquierda,gauche,esquerdo,esquerdo,esquerra,sinistra,stanga,sanester,,,,0,,,,1,left,0.78,"{""cross_lane_spine"": 0.08, ""lane_interslavic"": 0.2, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,interslavic:noether_paper02_section01_terms.json; pan_romance:es:cum_es.tex:552; pan_romance:fr:cum_fr_P19s12.tex:456,,"{""interslavic"": ""stable"", ""pan_romance"": ""interlingua_source_hit""}",{},{},,,,,,,,,,
lie algebra,lie_theory,,,lie algebra,,,,,,,,,,,,,,,,,,,جبر لي,جبر لی,,0,,,,2,lie algebra,1.58,"{""cross_lane_spine"": 0.08, ""lane_arabic_farsi_persianate"": 0.75, ""lane_controlled_arabic"": 0.75}",0,D_background,,no_hit,no_hit,{},{},,,,"{""arabic_farsi_persianate"": ""ar:source_backed_promotable_seed; fa:open_no_direct_hit; bridge:bridge_candidate_review_required"", ""controlled_arabic"": ""source_backed_promotable_seed""}",{},{},,,,,,,,,,
lie group,lie_theory,,,lie group,,,,,,,,,,,,,,,,,,,زمر لي,گروه لی,,0,,,,2,lie group,1.58,"{""cross_lane_spine"": 0.08, ""lane_arabic_farsi_persianate"": 0.75, ""lane_controlled_arabic"": 0.75}",0,D_background,,no_hit,no_hit,{},{},,,,"{""arabic_farsi_persianate"": ""ar:source_backed_promotable_seed; fa:attested_needs_review; bridge:bridge_candidate_review_required"", ""controlled_arabic"": ""source_backed_promotable_seed""}",{},{},,,,,,,,,,
linear,,,,linear,,,,,,,,,,,,,,,,,,,,,linear,0,,,,1,linear,0.14,"{""cross_lane_spine"": 0.04, ""lane_malay_indonesian"": 0.1}",0,D_background,,no_hit,no_hit,{},{},,malay_indonesian:UKM/UPM course rows,,"{""malay_indonesian"": ""malay_strong_indonesian_gap""}",{},{},,,,,,,,,,
linear map,linear_algebra,,,linear map,,,,,,,,,,,,,,,,,,,تطبيق خطي,نگاشت خطی,,0,,,,2,linear map,1.33,"{""cross_lane_spine"": 0.08, ""lane_arabic_farsi_persianate"": 0.5, ""lane_controlled_arabic"": 0.75}",0,D_background,,no_hit,no_hit,{},{},,,,"{""arabic_farsi_persianate"": ""ar:attested_needs_review; fa:attested_needs_review; bridge:bridge_candidate_review_required"", ""controlled_arabic"": ""attested_needs_review""}",{},{},,,,,,,,,,
linear transformation,curriculum_algebra,,lineare transformation; lineare transformationen,linear transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,linear transformation,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:lineare transformation; lineare transformationen,{},{},{},,,,,,,,,,
map,,,,map,,,,,,,,,,,,,,,,,,,,,pemetaan,0,,,,1,map,0.24,"{""cross_lane_spine"": 0.04, ""lane_malay_indonesian"": 0.2}",0,D_background,,no_hit,no_hit,{},{},,malay_indonesian:UIN homomorphism section; Malay terminology,,"{""malay_indonesian"": ""shared_promotable_seed""}",{},{},,,,,,,,,,
map/application,sets_maps,,,map/application,,,,,,,,,,,,,,,,,,,تطبيق,نگاشت,,0,,,,2,map/application,1.58,"{""cross_lane_spine"": 0.08, ""lane_arabic_farsi_persianate"": 0.75, ""lane_controlled_arabic"": 0.75}",0,D_background,,no_hit,no_hit,{},{},,,,"{""arabic_farsi_persianate"": ""ar:source_backed_promotable_seed; fa:source_backed_seed; bridge:promotable_seed_with_review"", ""controlled_arabic"": ""source_backed_promotable_seed""}",{},{},,,,,,,,,,
matrix product,curriculum_algebra,,Matrizenprodukt,matrix product,,,matričny produkt,,,,,,,,,,,,,,,,,,,,,,,,matrix product,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:Matrizenprodukt; isv:matričny produkt,{},{},{},,,,,,,,,,
maximal ideal,,,,maximal ideal,,,,,,,,,,,,,,,,,,,,,ideal maksimal/unggulan maksimum,0,,,,1,maximal ideal,0.24,"{""cross_lane_spine"": 0.04, ""lane_malay_indonesian"": 0.2}",0,D_background,,no_hit,no_hit,{},{},,malay_indonesian:UM Surabaya; UM terminology,,"{""malay_indonesian"": ""variant_pair_required""}",{},{},,,,,,,,,,
noetherian,algebra_invariant_theory,,,noetherian,,,noetherov,,≈? [S]; noetherovský [C],,≈? [S]; noetherowski [C],≈? [S]; noetherski [C],≈? [S],,noetheriano,noetherien,noether,,noether,noether,,,,,Noetherian/Noether,2,confirm_current,stable,-0.705,2,noetherian,2.93,"{""adverse_competitor_channel"": 0.9, ""cross_lane_spine"": 0.08, ""lane_malay_indonesian"": 0.1, ""lane_pan_romance"": 0.5, ""native_ws_witness_candidate"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",0,D_background,,support+competitor,support+competitor,"{""cognate of ISV form"": 66, ""cs noetherovský"": 20, ""pl noetherowski"": 12, ""sl noetherski"": 7}","{""cs"": [""cognate of ISV form"", ""cs noetherovský""], ""hr"": [""cognate of ISV form""], ""pl"": [""cognate of ISV form"", ""pl noetherowski""], ""sl"": [""cognate of ISV form"", ""sl noetherski""]}",,malay_indonesian:Neliti/UM Surabaya Noetherian rows; pan_romance:es:cum_es.tex:7969; pan_romance:fr:cum_fr_P19s12.tex:138; ws:croatian_mathhr_algebra_structures_2024.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_uj_algebra1_noetherian.txt; ws:slovenian_komutativna_algebra_noetherian.txt; ws:slovenian_uvod_v_algebro.txt,,"{""malay_indonesian"": ""indonesian_strong_malay_gap"", ""pan_romance"": ""interlingua_source_hit""}","{""dependence_pd"": ""noetherov"", ""equal_branch"": ""noetherov"", ""equal_splits"": ""noetherov"", ""population_proxy"": ""noetherov""}","{""dependence_pd"": 0.9090909090909091, ""equal_branch"": 1.0, ""equal_splits"": 0.8888888888888888, ""population_proxy"": 0.9652715939447908}",pl noetherowski,Confirm 'noetherov' (support pattern acceptable) or note preferred variant policy.,,,,,,,,
