term_id,source_term,isv_latin,isv_cyrillic,concept_link,reason_class,status,bias_flag,safe_external,records,sources
ISV-endliche_abelsche_gruppe--konečna_abelova_grup,endliche Abelsche Gruppe,konečna Abelova grupa,конечна Абелова група,,pan_slavic_native|international,unstated,F10-0,yes,1,noether_paper34_section22_source_fidelity_terms.json
ISV-endliche_algebraische_erweiterung--konečno_algebraično_,endliche algebraische Erweiterung,konečno algebraično razširenje,конечно алгебраично разширенье,algebra,unstated,unstated,F10-1,review,1,noether_paper06_section06_terms.json
ISV-endliche_basis_der_differentialausdrueck--konečny_bazis_difere,endliche Basis der Differentialausdruecke,konečny bazis diferencialnyh izrazov,конечны базис диференциалных изразов,basis,unstated,unstated,F10-1,review,1,noether_paper17_terms.json
ISV-endliche_gruppe--konečna_grupa,endliche Gruppe,konečna grupa,конечна група,,pan_slavic_native,unstated,F10-1,review,2,noether_paper07_terms.json; noether_paper34_section26_source_fidelity_terms.json
ISV-endliche_unendliche_kontinuierliche_grup--konečna_beskonečna_k,endliche / unendliche kontinuierliche Gruppe,konečna / beskonečna kontinuirna grupa,,,unstated,unstated,F10-1,review,1,noether_paper13_terms.json
ISV-endliche_unendliche_restgruppe--konečna_beskonečna_g,endliche / unendliche Restgruppe,konečna / beskonečna grupa ostatkov,конечна / бесконечна група остатков,,unstated,unstated,F10-1,review,1,noether_paper17_terms.json
ISV-endlicher_algebraischer_erweiterungskörp--konečno_algebraično_,endlicher algebraischer Erweiterungskörper,konečno algebraično razširjenje polja,конечно алгебраично разширјенье польа,algebra,unstated,unstated,F10-1,review,1,noether_paper31_section02_entry04_terms.json
ISV-endlicher_algebraischer_körper_über--konečno_algebraično_,(endlicher) algebraischer Körper über,konečno algebraično razširenje nad,конечно алгебраично разширенье над,algebra,source_fidelity,unstated,F10-1,review,1,noether_paper06_section04_terms.json
ISV-endlicher_modul--konečny_to_jest_kone,endlicher Modul,"konečny, to jest konečno porodženy modul","конечны, то јест конечно породжены модул",,unstated,unstated,F10-1,review,1,noether_paper30_section01_terms.json
ISV-endliches_ideal_idealbasis--konečny_ideal_idealn,endliches Ideal / Idealbasis,konečny ideal / idealny bazis,конечны идеал / идеалны базис,basis,source_fidelity,unstated,F10-1,review,2,noether_paper19_terms.json; noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
ISV-endlichkeit_im_engeren_sinn--konečnost_v_užšem_sm,Endlichkeit im engeren Sinn,konečnost v užšem smyslu,конечност в ужшем смыслу,,source_fidelity,unstated,F10-1,review,1,noether_paper06_introduction_terms.json
ISV-endlichkeitsbedingung_endlicher_modul_mo--uslovje_konečnosti_k,Endlichkeitsbedingung; endlicher Modul; Modulbasis,uslovje konečnosti; konečny modul; modulny bazis,условје конечности; конечны модул; модулны базис,basis,international,unstated,F10-0,yes,1,noether_paper19_terms.json
ISV-endlichkeitsbedingung_idealbasis--uslovje_konečnosti_i,Endlichkeitsbedingung / Idealbasis,uslovje konečnosti / idealny bazis,условје конечности / идеалны базис,basis,source_fidelity,unstated,F10-1,review,2,noether_paper19_terms.json; noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
ISV-endlichkeitssaetze--teoremy_konečnosti,Endlichkeitssaetze,teoremy konečnosti,теоремы конечности,,pan_slavic_native,unstated,F10-1,review,1,noether_paper17_terms.json
ISV-endlichkeitssaetze_hilbertscher_modulsat--teoremy_konečnosti_h,Endlichkeitssaetze / Hilbertscher Modulsatz,teoremy konečnosti / Hilbertov teorem o bazisu modula,теоремы конечности / Хилбертов теорем о базису модула,,unstated,unstated,F10-1,review,1,noether_paper17_terms.json
ISV-endlichkeitssatz--teorem_o_konečnosti,Endlichkeitssatz,teorem o konečnosti,теорем о конечности,,source_fidelity,unstated,F10-1,review,1,noether_paper07_terms.json
ISV-energierelationen_energiesätze_energieko--energijske_relacije_,Energierelationen / Energiesätze / Energiekomponenten,energijske relacije / energijske zakony / energijske komponenty,,relation,source_fidelity,unstated,F10-1,review,1,noether_paper13_terms.json
ISV-entsprechenden_formen--odgovarjajuče_formy,entsprechenden Formen,odgovarjajuče formy,одговарјајуче формы,,script_stability,unstated,F10-1,review,1,noether_paper02_section24_terms.json; logbook:2026-06-10: Paper 02 Section 24 Interslavic Decisions
ISV-ergänzungsdarstellung--dopolnitelno_predsta,Ergänzungsdarstellung,dopolnitelno predstavjenje,,,unstated,unstated,F10-1,review,1,noether_paper11_terms.json
ISV-erste_integrale--prve_integraly,erste Integrale,prve integraly,,,source_fidelity,unstated,F10-1,review,1,noether_paper13_terms.json
ISV-erster_art--prvogo_roda,erster Art,prvogo roda,,,pan_slavic_native,unstated,F10-1,review,1,noether_paper30_section03_terms.json
ISV-erster_isomorphiesatz--prvy_teorem_o_izomor,erster Isomorphiesatz,prvy teorem o izomorfizmu,првы теорем о изоморфизму,,unstated,unstated,F10-1,review,1,noether_paper31_section07_entry04_terms.json
ISV-erweiterung_des_grundkörpers--razširenje_osnovnogo,Erweiterung des Grundkörpers,razširenje osnovnogo těla,разширенье основного тела,,pan_slavic_native,unstated,F10-1,review,1,noether_paper34_section21_source_fidelity_terms.json
ISV-erweiterung_erster_art--razširenje_prvogo_ro,Erweiterung erster Art,razširenje prvogo roda,разширенье првого рода,,source_fidelity,unstated,F10-1,review,2,noether_paper24_section01_terms.json; noether_paper31_section08_entry03_terms.json
ISV-erweiterung_erster_art_zweiter_art--razširjenje_prvogo_r,Erweiterung erster Art / zweiter Art,razširjenje prvogo roda / vtorogo roda,разширјенье првого рода / второго рода,,unstated,unstated,F10-1,review,1,noether_paper34_section21_source_fidelity_terms.json
ISV-erweiterungen_in_allen_quotientenringen_--razširjenja_sovpadaj,Erweiterungen ... in allen Quotientenringen stimmen überein,razširjenja ... sovpadajut v vsih kolcah kvocientov,разширјеньа ... совпадајут в всих колцах квоциентов,quotient,unstated,unstated,F10-1,review,1,noether_paper31_section08_entry08_terms.json
ISV-erweiterungsideal--ideal_razširenja,Erweiterungsideal,ideal razširenja,идеал разширеньа,ideal,pan_slavic_native,unstated,F10-1,review,1,noether_paper34_section11_terms.json
ISV-erweiterungsideal--razširjeny_ideal,Erweiterungsideal,razširjeny ideal,разширјены идеал,ideal,unstated,unstated,F10-1,review,1,noether_paper31_section05_entry03_terms.json
ISV-erweiterungsideal_eines_beliebigen_ideal--razširjeny_ideal_lib,Erweiterungsideal eines beliebigen Ideals c,razširjeny ideal libovoljnogo ideala c,разширјены идеал либовољного идеала c,ideal,unstated,unstated,F10-1,review,1,noether_paper31_section08_entry06_terms.json
ISV-erweiterungskörper--razširitelno_polje,Erweiterungskörper,razširitelno polje,разширително полье,,unstated,unstated,F10-0,yes,1,noether_paper20_terms.json
ISV-erweiterungskörper_erweiterungsring--razširjeno_polje_raz,Erweiterungskörper / Erweiterungsring,razširjeno polje / razširjeno kolco,разширјено полье / разширјено колцо,ring,unstated,unstated,F10-3,no_fix_first,1,noether_paper31_section03_entry03_terms.json
ISV-erweiterungsring--razširjeno_kolco,Erweiterungsring,razširjeno kolco,разширјено колцо,ring,unstated,unstated,F10-3,no_fix_first,1,noether_paper31_section01_entries01_02_terms.json
ISV-erweiterungsring_eines_körpers_erweiteru--razširjeno_kolco_pol,Erweiterungsring eines Körpers / Erweiterungskörper,razširjeno kolco polja / razširjeno polje,разширјено колцо полја / разширјено полје,ring,unstated,unstated,F10-3,no_fix_first,1,noether_paper31_section06_opening_terms.json
ISV-erweiterungsring_erweiterungsmodul--kolco_razširenja_mod,Erweiterungsring; Erweiterungsmodul,kolco razširenja; modul razširenja,,ring,pan_slavic_native|east_slavic_continuity,unstated,F10-3,no_fix_first,1,noether_paper40_source_fidelity_terms.json
ISV-erweiterungsring_ohne_nullteiler_von_z--razširjeno_kolco_od_,Erweiterungsring ohne Nullteiler von Z,razširjeno kolco od Z bez nulovyh děliteljev,разширјено колцо од Z без нуловых делительев,ring,unstated,unstated,F10-3,no_fix_first,1,noether_paper31_section05_entry03_terms.json
ISV-erweiterungsring_overlinemathfrak_rmathf--razširjeno_kolco_ove,Erweiterungsring \overline{\mathfrak R}=\mathfrak R[\overline P],razširjeno kolco \overline{\mathfrak R}=\mathfrak R[\overline P],разширјено колцо \overline{\mathfrak R}=\mathfrak R[\overline P],ring,unstated,unstated,F10-3,no_fix_first,1,noether_paper31_section06_entry05_terms.json
ISV-erweiterungsringe_von_körpern--razširjene_kolca_pol,Erweiterungsringe von Körpern,razširjene kolca polj,разширјене колца поль,ring,source_fidelity,unstated,F10-1,review,1,noether_paper31_section01_entries01_02_terms.json
ISV-es_sollen_daher_vorerst_diskriminantenid--zato_najprvo_treba_r,Es sollen daher vorerst Diskriminantenideale primärer Ringe betrachtet werden.,Zato najprvo treba razsmotriti diskriminantne idealy primarnyh kolc.,Зато најпрво треба разсмотрити дискриминантне идеалы примарных колц.,ideal,unstated,unstated,F10-1,review,1,noether_paper31_section06_opening_terms.json
ISV-eventuelle_adjunktion_von_unbestimmten--možno_prisojedinjenj,eventuelle Adjunktion von Unbestimmten,možno prisojedinjenje neopreděljenyh,можно присојединјенье неопределєных,,unstated,unstated,F10-1,review,1,noether_paper24_section04_terms.json
ISV-explizite_zerlegung--eksplicitno_razložen,explizite Zerlegung,eksplicitno razloženje,експлицитно разложенье,,unstated,unstated,F10-1,review,1,noether_paper22_terms.json
ISV-exponent--eksponent,Exponent,eksponent,експонент,,international|source_fidelity,unstated,F10-0,yes,3,noether_paper19_terms.json; noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json; noether_paper24_section01_terms.json
ISV-exponent_eines_primären_ideals--eksponent_primarnogo,Exponent eines primären Ideals,eksponent primarnogo ideala,експонент примарного идеала,ideal,international|source_fidelity,unstated,F10-0,yes,2,noether_paper19_terms.json; noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
ISV-exponent_index--eksponent_indeks,Exponent = Index,eksponent = indeks,,,unstated,unstated,F10-1,review,1,noether_paper38_source_fidelity_terms.json
ISV-faktorensystem--faktorna_sistema,Faktorensystem,faktorna sistema,,,unstated,unstated,F10-1,review,1,noether_paper41_source_fidelity_terms.json
ISV-faktorensystem--unnamed,Faktorensystem,,,,unstated,unstated,F10-1,review,1,french_paper41_term_rationale_20260702.json
ISV-faktorgruppe--faktorgrupa,Faktorgruppe,faktorgrupa,факторгрупа,,pan_slavic_native|international,unstated,F10-0,yes,1,noether_paper34_section02_terms.json
ISV-faltung--svijanje,Faltung,svijanje,свијанье,,pan_slavic_native|international|script_stability,stable,F10-0,yes,2,noether_paper02_section15_terms.json; noether_paper02_section26_terms.json; logbook:Paper 01 v001 Decisions; logbook:2026-06-10: Interslavic Reference Corpus and §11 Decisions
ISV-faltung_von_s_mit_den_formen_7_ordnung--svijanje_s_s_formami,Faltung von s mit den Formen 7. Ordnung,svijanje s s formami 7. poręda,свијанье с с формами 7. поряда,,unstated,unstated,F10-1,review,1,noether_paper02_section24_terms.json; logbook:2026-06-10: Paper 02 Section 24 Interslavic Decisions
ISV-faltung_von_s_mit_den_formen_fünfter_ord--svijanje_s_s_formami,Faltung von s mit den Formen fünfter Ordnung und dem Produkt,svijanje s s formami 5. poręda i s produktom,свијанье с с формами 5. поряда и с продуктом,,unstated,unstated,F10-1,review,1,noether_paper02_section22_terms.json
ISV-faltung_von_s_mit_den_formen_sechster_or--svijanje_s_s_formami,Faltung von s mit den Formen sechster Ordnung,svijanje s s formami 6. poręda,свијанье с с формами 6. поряда,,pan_slavic_native,unstated,F10-1,review,1,noether_paper02_section23_terms.json
ISV-faltung_von_s_mit_nu_h_l_h2--svijanje_s_s_nu_h_l_,Faltung von $s$ mit $\nu; H; L; H^2$,svijanje $s$ s $\nu; H; L; H^2$,свијанье $с$ с $\ну; Х; Л; Х^2$,,unstated,stable_provisional,F10-1,review,1,noether_paper02_section19_terms.json
ISV-faltungsprozeß_faltung--proces_svijanja_svij,Faltungsprozeß / Faltung,proces svijanja / svijanje,процес свијаньа / свијанье,,east_slavic_continuity,carried_forward_review_needed,F10-1,review,1,noether_paper02_section01_terms.json
ISV-folgerung--poslědok,Folgerung,poslědok,последок,,pan_slavic_native,unstated,F10-1,review,2,noether_paper02_section24_terms.json; noether_paper31_section03_entry05_terms.json; logbook:2026-06-10: Paper 02 Section 24 Interslavic Decisions
ISV-folgerungen--poslědki,Folgerungen,poslědki,последки,,pan_slavic_native,unstated,F10-1,review,1,noether_paper02_section23_terms.json; logbook:2026-06-10: Paper 02 §8 Interslavic Decisions; logbook:2026-06-10: Paper 02 §17 Interslavic Decisions
ISV-formen_11_ordnung--formy_11_poręda,Formen 11. Ordnung,formy 11. poręda,формы 11. поряда,,unstated,unstated,F10-1,review,1,noether_paper02_section24_terms.json; logbook:2026-06-10: Paper 02 Section 24 Interslavic Decisions
ISV-formen_neunter_ordnung--formy_9_poręda,Formen neunter Ordnung,formy 9. poręda,формы 9. поряда,,unstated,unstated,F10-1,review,1,noether_paper02_section22_terms.json; logbook:2026-06-10: Paper 02 Section 22 Interslavic Decisions
ISV-formen_zehnter_ordnung--formy_10_poręda,Formen zehnter Ordnung,formy 10. poręda,формы 10. поряда,,unstated,unstated,F10-1,review,1,noether_paper02_section23_terms.json; logbook:2026-06-10: Paper 02 Section 23 Interslavic Decisions
ISV-formen_zehnter_ordnung--formy_desętogo_poręd,Formen zehnter Ordnung,formy desętogo poręda,формы десятого поряда,,unstated,stable_provisional,F10-1,review,1,noether_paper02_section15_terms.json; logbook:2026-06-10: Paper 02 §15 Interslavic Decisions
ISV-formenreihe--ręd_form,Formenreihe,ręd form,ряд форм,,pan_slavic_native|east_slavic_continuity|source_fidelity|disambiguation,carried_forward_provisional,F10-2,no_fix_first,4,noether_paper02_section01_terms.json; noether_paper02_section22_terms.json; noether_paper02_section23_terms.json; noether_paper02_section24_terms.json
ISV-formenreiheformenreihen--ręd_form_rędy_form,Formenreihe/Formenreihen,ręd form / rędy form,ряд форм / ряды форм,,unstated,stable_provisional,F10-1,review,1,noether_paper02_section19_terms.json
ISV-formensystem--sistema_form,Formensystem,sistema form,,,unstated,unstated,F10-1,review,1,noether_postbibliography_source_fidelity_terms.json
ISV-frei_von_x_1x_i-1--svobodne_od_x_1x_i-1,"frei von x_1,...,x_{i-1}","svobodne od x_1,...,x_{i-1}","свободне од x_1,...,x_{i-1}",,unstated,unstated,F10-1,review,1,noether_paper22_terms.json
ISV-fundamentalgleichung_fundamentalform--fundamentalno_uravne,Fundamentalgleichung / Fundamentalform,fundamentalno uravnenje / fundamentalna forma,фундаментално уравненье / фундаментална форма,,international|source_fidelity,unstated,F10-0,yes,1,noether_paper25_terms.json
ISV-fundamentalsatz_der_eliminationstheorie--fundamentalny_teorem,Fundamentalsatz der Eliminationstheorie,fundamentalny teorem teorije eliminacije,фундаменталны теорем теорије елиминације,,source_fidelity,unstated,F10-1,review,1,noether_paper19_terms.json
ISV-funktion_erster_art_körper_erster_art--funkcija_prvogo_roda,Funktion erster Art / Körper erster Art,funkcija prvogo roda / polje prvogo roda,функција првого рода / поље првого рода,,source_fidelity,unstated,F10-0,yes,1,noether_paper24_section06_terms.json
ISV-funktionalbereich--funkcionalna_oblast,Funktionalbereich,funkcionalna oblast,,,unstated,unstated,F10-1,review,1,noether_paper30_section03_terms.json
ISV-funktionaldeterminante--funkcionalny_determi,Funktionaldeterminante,funkcionalny determinant,функционалны детерминант,determinant,unstated,stable,F10-1,review,1,noether_paper02_section19_terms.json
ISV-funktionaldeterminante_funktionalmatrix--funkcionalny_determi,Funktionaldeterminante / Funktionalmatrix,funkcionalny determinant / funkcionalna matrica,,determinant,pan_slavic_native|source_fidelity,unstated,F10-1,review,1,noether_paper35_source_fidelity_terms.json
ISV-funktionaldeterminanten--funkcionalne_determi,Funktionaldeterminanten,funkcionalne determinanty,функционалне детерминанты,determinant,international,stable,F10-0,yes,2,noether_paper02_section03_terms.json; noether_paper06_introduction_terms.json; logbook:2026-06-10: Interslavic Reference Corpus and §11 Decisions
ISV-funktionen_nullten_grades--funkcije_nultogo_ste,Funktionen nullten Grades,funkcije nultogo stepena,функције нултого степена,,unstated,unstated,F10-1,review,1,noether_paper06_section01_terms.json
ISV-galoissche_körper_galoisscher_erweiterun--galoisova_polja_galo,Galoissche Körper / Galoisscher Erweiterungskörper,Galoisova polja / Galoisovo razširjeno polje,Галоисова польа / Галоисово разширјено полье,galois,international,unstated,F10-0,yes,1,noether_paper31_section03_entry05_terms.json
ISV-galoissche_resolvente--galoisova_rezolventa,Galoissche Resolvente,Galoisova rezolventa,Галоисова резолвента,galois,script_stability,unstated,F10-1,review,1,noether_paper07_terms.json
ISV-ganz-abgeschlossen_ganze_abgeschlossenhe--integralno_zamknjeno,ganz-abgeschlossen / ganze Abgeschlossenheit,integralno zamknjeno / integralna zamknjenost,интегрално замкньено / интегрална замкньеност,,pan_slavic_native|coinage,unstated,F10-4,yes_with_definition,1,noether_paper30_section01_terms.json
ISV-ganz_abgeschlossen--integralno_zamknjeny,ganz abgeschlossen,integralno zamknjeny / integralna zamknjenost,,,unstated,unstated,F10-1,review,1,noether_paper30_section03_terms.json
ISV-ganz_in_bezug_auf_r--cěly_vzhodno_k_r,ganz in bezug auf R,cěly vzhodno k R,целы взходно к R,,pan_slavic_native,unstated,F10-1,review,1,noether_paper30_section01_terms.json
ISV-ganz_in_bezug_auf_r_ganze_größen--cěly_vzhodno_k_r_ele,ganz in bezug auf R / ganze Größen,cěly vzhodno k R / elementy cěle vzhodno k R,,,unstated,unstated,F10-1,review,1,noether_paper30_section03_terms.json
ISV-ganz_rational--cělo-racionalny,ganz rational,cělo-racionalny,,,unstated,unstated,F10-1,review,1,noether_post45_source_fidelity_terms.json
ISV-ganz_und_primitiv_in_den_variablen--cěly_i_primitivny_po,ganz und primitiv in den Variablen,cěly i primitivny po sootvětnyh neopreděljenyh,целы и примитивны по соответных неопредельеных,variable,unstated,unstated,F10-1,review,1,noether_paper22_terms.json
ISV-ganze_abgeschlossenheit_von_o_in_omega--integralna_zamknutos,ganze Abgeschlossenheit von o in Omega,integralna zamknutost o v Omega,интегрална замкнутост o в Omega,,unstated,unstated,F10-1,review,1,noether_paper31_section08_entry03_terms.json
ISV-ganze_algebraische_funktionen--cěle_algebraične_fun,ganze algebraische Funktionen,cěle algebraične funkcije,целе алгебраичне функције,algebra,unstated,unstated,F10-1,review,1,noether_paper09_section09_terms.json
ISV-ganze_ganzzahlige_symmetrische_funktione--cěle_celočislene_sim,ganze ganzzahlige symmetrische Funktionen von n Größenreihen,cěle celočislene simetrične funkcije od n redov veličin,целе целочислене симетричне функције од n редов величин,,unstated,unstated,F10-1,review,1,noether_paper06_section15_terms.json
ISV-ganze_größen--cěle_veličiny,ganze Größen,cěle veličiny,целе величины,,source_fidelity,unstated,F10-1,review,2,noether_paper22_section01_terms.json; noether_paper22_terms.json
ISV-ganze_größen_eines_beliebigen_körpers--cěle_veličiny_libovo,ganze Größen eines beliebigen Körpers,cěle veličiny libovoljnogo polja,целе величины либовольного польа,,source_fidelity,unstated,F10-1,review,1,noether_paper09_section10_terms.json
ISV-ganze_größen_ganze_rationale_zahlen--cěle_veličiny_cěle_r,ganze Größen / ganze rationale Zahlen,cěle veličiny / cěle racionalne čisla,целе величины / целе рационалне числа,,source_fidelity,unstated,F10-1,review,2,noether_paper22_section04_terms.json; noether_paper22_terms.json
ISV-ganze_rationale_absolute_invariante--cěly_racionalny_abso,ganze rationale (absolute) Invariante,cěly racionalny (absolutny) invariant,целы рационалны (абсолютны) инвариант,invariant,unstated,unstated,F10-1,review,1,noether_paper07_terms.json
ISV-ganze_rationale_darstellbarkeit--cělo_racionalno_pred,ganze rationale Darstellbarkeit,cělo racionalno predstavjanje,цело рационално представјанье,,unstated,unstated,F10-1,review,1,noether_paper06_introduction_terms.json
ISV-ganze_rationale_funktion--cěla_racionalna_funk,ganze rationale Funktion,cěla racionalna funkcija,,,unstated,unstated,F10-1,review,1,noether_paper15_terms.json
ISV-ganze_rationale_funktionen--cěle_racionalne_funk,ganze rationale Funktionen,cěle racionalne funkcije,целе рационалне функције,,source_fidelity,unstated,F10-1,review,2,noether_paper06_introduction_terms.json; noether_paper10_section03_terms.json
ISV-ganze_rationale_funktionen_polynome--cěle_racionalne_funk,ganze rationale Funktionen (Polynome),cěle racionalne funkcije (polinomy),целе рационалне функције (полиномы),,source_fidelity,unstated,F10-1,review,1,noether_paper06_section01_terms.json
ISV-ganze_rationale_zahlen--cěle_racionalne_čisl,ganze rationale Zahlen,cěle racionalne čisla,целе рационалне числа,,source_fidelity,unstated,F10-1,review,1,noether_paper22_terms.json
ISV-ganze_transzendente_zahlen--cěle_transcendentne_,ganze transzendente Zahlen,cěle transcendentne čisla,целе трансцендентне числа,,unstated,unstated,F10-1,review,1,noether_paper09_introduction_terms.json
ISV-ganzrationale_zahlkoeffizienten_ganzrati--racionalno-cěle_koef,ganzrationale Zahlkoeffizienten / ganzrationalzahlige Invarianten,racionalno-cěle koeficienty / cělo-racionalno-čislove invarianty,,invariant,unstated,unstated,F10-1,review,1,noether_paper15_terms.json
ISV-ganzzahlig--celočisleny,ganzzahlig,celočisleny,целочислены,,unstated,unstated,F10-1,review,1,noether_paper09_introduction_terms.json
ISV-ganzzahlig-regulär--celočisleno-regularn,ganzzahlig-regulär,celočisleno-regularny,целочислено-регуларны,,unstated,unstated,F10-1,review,1,noether_paper06_section15_terms.json
ISV-ganzzahlige_funktionen--cěločislne_funkcije,ganzzahlige Funktionen,cěločislne funkcije,,,source_fidelity|disambiguation,unstated,F10-1,review,1,noether_paper35_source_fidelity_terms.json
ISV-ganzzahlige_integritätsbasis--celočislena_integral,ganzzahlige Integritätsbasis,celočislena integralna baza,целочислена интегрална база,basis,unstated,unstated,F10-1,review,1,noether_paper06_section15_terms.json
ISV-ganzzahlige_invariante--cěločislovy_invarian,ganzzahlige Invariante,cěločislovy invariant,,invariant,pan_slavic_native,unstated,F10-2,no_fix_first,1,noether_paper15_terms.json
ISV-ganzzahlige_matrizen--cěločiselne_matrice,ganzzahlige Matrizen,cěločiselne matrice,целочиселне матрице,,unstated,unstated,F10-1,review,1,noether_paper19_terms.json
ISV-ganzzahliger_relativ-ganzer_bereich_erst--celočislena_relativn,ganzzahliger relativ-ganzer Bereich erster Art,celočislena relativno cěla oblast prvogo roda,целочислена релативно цела област првого рода,,unstated,unstated,F10-1,review,1,noether_paper06_section15_terms.json
ISV-ganzzahligkeit_der_darstellung--integralnost_predsta,Ganzzahligkeit der Darstellung,integralnost predstavjenja,интегралност представьеньа,,source_fidelity,unstated,F10-1,review,1,noether_paper05_terms.json
ISV-gegenseitig_relativprim--vzaimno_relativno_pr,gegenseitig relativprim,vzaimno relativno proste,взаимно релативно просте,,source_fidelity,unstated,F10-1,review,2,noether_paper19_terms.json; noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
ISV-geht_in_dem_diskriminantenideal_auf--vhodi_v_diskriminant,geht ... in dem Diskriminantenideal ... auf,vhodi v diskriminantny ideal,входи в дискриминантны идеал,ideal,unstated,unstated,F10-1,review,1,noether_paper31_section08_entry09_terms.json
ISV-gemeinsame_nullstelle--občna_nuleva_točka,gemeinsame Nullstelle,občna nuleva točka,,,unstated,unstated,F10-1,review,1,noether_post45_source_fidelity_terms.json
ISV-gemeinsame_nullstellen--obče_nule,gemeinsame Nullstellen,obče nule,обче нуле,,unstated,unstated,F10-1,review,1,noether_paper18_terms.json
ISV-gemischte_gruppe--směšana_grupa,gemischte Gruppe,směšana grupa,,,unstated,unstated,F10-1,review,1,noether_paper13_terms.json
ISV-gesamtformenreihe--cěly_ręd_form,Gesamtformenreihe,cěly ręd form,целы ряд форм,,unstated,provisional,F10-1,review,1,noether_paper02_section01_terms.json
ISV-gesamtheit_aller_funktionen--cělost_vseh_funkcij,Gesamtheit aller Funktionen,cělost vseh funkcij,целост всех функциј,,unstated,unstated,F10-1,review,1,noether_paper06_section03_terms.json
ISV-gesamtheit_aller_gesamtheit_der_restklas--cělokupnost,Gesamtheit aller / Gesamtheit der Restklassen,cělokupnost,целокупност,,unstated,unstated,F10-1,review,1,noether_paper17_terms.json
ISV-gesetz_der_unbeschränkten_und_eindeutige--zakon_neograničenogo,Gesetz der unbeschränkten und eindeutigen Subtraktion,zakon neograničenogo i jednoznačnogo odčitanja,закон неограниченого и једнозначного одчитаньа,set,source_fidelity,unstated,F10-1,review,2,noether_paper19_terms.json; noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
ISV-gewichtsbedingungen_symmetriebedingungen--uslovja_věsy_uslovja,Gewichtsbedingungen / Symmetriebedingungen,uslovja věsy / uslovja simetrije,,,pan_slavic_native,unstated,F10-1,review,1,noether_paper15_terms.json
ISV-gewöhnliche_lineare_differentialgleichun--obyčno_linearno_dife,gewöhnliche lineare Differentialgleichung 2. Ordnung,obyčno linearno diferencialno uravnenje 2-go reda,обычно линеарно диференциално уравненье 2-го реда,linear,unstated,unstated,F10-1,review,1,noether_paper17_terms.json
ISV-gleichheits-_und_verknüpfungsbeziehungen--odnosi_ravnosti_i_od,Gleichheits- und Verknüpfungsbeziehungen,odnosi ravnosti i odnosi operacij,односи равности и односи операциј,,pan_slavic_native|source_fidelity,unstated,F10-1,review,1,noether_paper31_section01_entries01_02_terms.json
ISV-gleichung_niedrigsten_grades--uravnenje_najnižšego,Gleichung niedrigsten Grades,uravnenje najnižšego stepena,уравненье најнижшего степена,,unstated,unstated,F10-1,review,1,noether_paper31_section03_entry04_terms.json
ISV-gleichungen_mit_vorgeschriebener_gruppe--uravnenja_s_zadanoj_,Gleichungen mit vorgeschriebener Gruppe,uravnenja s zadanoj grupoj,,,unstated,unstated,F10-1,review,1,noether_paper11_terms.json
ISV-grad_eines_primideals--stepenj_prostogo_ide,Grad eines Primideals,stepenj prostogo ideala,степењ простого идеала,ideal,unstated,unstated,F10-1,review,1,noether_paper24_section06_terms.json
ISV-grenzbereiche--granične_oblasti,Grenzbereiche,granične oblasti,граничне области,,unstated,unstated,F10-1,review,1,noether_paper09_section10_terms.json
ISV-groesster_gemeinsamer_teiler_kleinstes_g--največši_obči_dělite,groesster gemeinsamer Teiler / kleinstes gemeinsames Vielfaches,največši obči dělitelj / najmene obče mnogokratno,највечши обчи делитель / најмене обче многократно,,source_fidelity,unstated,F10-1,review,1,noether_paper17_terms.json
ISV-grundbereiche--osnovne_oblasti,Grundbereiche,osnovne oblasti,,,source_fidelity,unstated,F10-1,review,1,noether_paper30_section03_terms.json
ISV-grundfaltungen--osnovne_svijanja,Grundfaltungen,osnovne svijanja,основне свијаньа,,pan_slavic_native,stable_given_faltung,F10-1,review,1,noether_paper02_section01_terms.json; logbook:2026-06-09: Paper 02 §1 Interslavic Decisions
ISV-grundform--osnovna_forma,Grundform,osnovna forma,основна форма,,pan_slavic_native,unstated,F10-1,review,1,noether_paper06_section03_terms.json; logbook:2026-06-10: Paper 02 §5 Interslavic Decisions
ISV-grundform_grundformensystem--osnovna_forma_sistem,Grundform / Grundformensystem,osnovna forma / sistema osnovnyh form,,,unstated,unstated,F10-1,review,1,noether_paper15_terms.json
ISV-grundformen--osnovne_formy,Grundformen,osnovne formy,основне формы,,unstated,unstated,F10-1,review,1,noether_paper06_section01_terms.json
ISV-grundideal--osnovny_ideal,Grundideal,osnovny ideal,основны идеал,ideal,pan_slavic_native|source_fidelity,unstated,F10-1,review,4,noether_paper22_terms.json; noether_paper24_section01_terms.json; noether_paper25_terms.json; noether_paper38_source_fidelity_terms.json
ISV-grundideal_i-ter_stufe--osnovny_ideal_i-go_n,Grundideal i-ter Stufe,osnovny ideal i-go nivoja,основны идеал i-го нивоја,ideal,unstated,unstated,F10-1,review,1,noether_paper24_section02_terms.json
