"action_id","timestamp_utc","paper","page_or_locus","origin_type","origin_source","what_changed_or_was_checked","current_head_or_artifact","promoted_or_logged","status","notes"
"CO-20260711-084","2026-07-11","P33","71-73","local_Codex_independent_second_pass_no_patch","IA original JP2 leaves 0079-0081; derived three-page source PDF; current v17 TeX and render","Opened all three P33 pages and checked title/byline, prose, footnotes, both matrices, symbol families, source-language oddities, and article boundary. No source-certain delta was found.","Noether_LocalCodex_20260711_P34p658_659_SourceFidelityProofFix_v18/1/03_audit/P33_p071_073_second_pass_dispositions_v18.csv","logged_no_text_patch","done_direct_source_checked","The source-real grammatical oddities were retained. This is an independent current-head pass, not inheritance of R402's no-patch claim."
"CO-20260711-085","2026-07-11","P34","658","local_Codex_found_independent_second_pass","GDZ full-resolution p658; focused 2x source crop; current v17 TeX","Removed a silent editorial emendation by restoring the source-printed quotient conclusion `r_1'+r_2'` in place of mathematically expected `r_1'+r_1''`.","Noether_LocalCodex_20260711_P34p658_659_SourceFidelityProofFix_v18/1/01_current/cum_de_R816_integrated_v18.tex","promoted_source_fidelity_patch","done_compile_render_source_checked","The printed index is likely a source typo. The transcription now preserves it; the likely typo is documented in the audit layer rather than silently corrected."
"CO-20260711-086","2026-07-11","P34","659","local_Codex_found_independent_second_pass","GDZ full-resolution p659; focused 2x source crop; current v17 TeX","Restored the omitted containment and intermediate ideal in the right-ideal proof: `(r a_i,r b_i) subseteq (r,a_i b_i)=(r,0)=r`.","Noether_LocalCodex_20260711_P34p658_659_SourceFidelityProofFix_v18/1/01_current/cum_de_R816_integrated_v18.tex","promoted_hard_math_patch","done_compile_render_source_checked","The omitted material is the substantive proof step. The old cumulative incorrectly presented the endpoints as a direct equality chain."
"CO-20260711-087","2026-07-11","process","P34 pp650-662 independent current-head pass","local_Codex_page_by_page_source_audit","Thirteen GDZ full-resolution page images; current v17 TeX; prior 2026-06-28 audit used only as archaeology","Opened every P34 printed page 650-662, found and repaired two source discrepancies on pp658-659, and recorded explicit second-pass page dispositions for the entire band.","NOETHER_PAGE_QC_LEDGER_20260705.csv; P34_p650_662_second_pass_dispositions_v18.csv","logged","done","The earlier page audit had called p658 no-patch and did not expose p659's omitted proof chain. This pass supersedes those dispositions."
"CO-20260711-088","2026-07-11","process","download intake after user-reported additional material","user_directed_intake_check","Noether Multilingual; edge dlds; legacy Edge download folder; Downloads; creation-time and modification-time scans","Scanned all active intake roots for newly completed Noether archives and partial downloads. No completed package newer than R816 was visible at 09:14 Europe/Berlin.","P34_v19_DOWNLOAD_INTAKE_20260711.csv","logged_negative_intake_result","done","R816 remains the newest visible Web/WebB package and its source-backed fixes already survive the cumulative. Re-scan before the next seal."
"CO-20260711-089","2026-07-11","P34","643","local_Codex_found_independent_page_audit","GDZ full-resolution printed p643; current v18 TeX","Restored source emphasis on the scope terms `Eindeutigkeitssätze`, `beliebigen Darstellungen`, `Gesamtheit`, `gruppentheoretischen`, and `Und zwar`, plus two emphasized phrases in footnote 4.","Noether_LocalCodex_20260711_P34p641_668_SourceEmphasisAudit_v19/1/01_current/cum_de_R816_integrated_v19.tex","promoted_source_typography_patch","done_compile_render_source_checked","These emphases mark the scope and hypotheses of the argument; the words were present but flattened."
"CO-20260711-090","2026-07-11","P34","644","local_Codex_found_independent_page_audit","GDZ full-resolution printed p644; current v18 TeX","Restored source emphasis on `Zahlenfaktor`, the forward-reference phrase, `Zerfällungskörper`, the minimal-degree splitting-field class, maximal commutative subfields, and transposes.","Noether_LocalCodex_20260711_P34p641_668_SourceEmphasisAudit_v19/1/01_current/cum_de_R816_integrated_v19.tex","promoted_source_typography_patch","done_compile_render_source_checked","No words or formulas were missing on this page; the semantic emphasis layer was."
"CO-20260711-091","2026-07-11","P34","646","local_Codex_found_independent_page_audit","GDZ full-resolution printed p646; current v18 TeX","Restored emphasized one-sided/two-sided ideal classifications and module-definition terms; restored source lowercase `o-links-Modul` and spaced `d. h.`.","Noether_LocalCodex_20260711_P34p641_668_SourceEmphasisAudit_v19/1/01_current/cum_de_R816_integrated_v19.tex","promoted_definition_typography_and_case_patch","done_compile_render_source_checked","The module name had been normalized to capital `Links`; v19 follows the printed compound."
"CO-20260711-092","2026-07-11","P34","647","local_Codex_found_independent_page_audit","GDZ full-resolution printed p647; current v18 TeX","Restored source emphasis on `Doppelmodul`, `Operatorhomomorphismus`, `Operatorisomorphie`, and the named homomorphism theorem; restored lowercase `o-links-Modul` and `o'-rechts-Modul`.","Noether_LocalCodex_20260711_P34p641_668_SourceEmphasisAudit_v19/1/01_current/cum_de_R816_integrated_v19.tex","promoted_definition_typography_and_case_patch","done_compile_render_source_checked","The relation-sign definitions on this page were also used as the control for the p648 glyph adjudication."
"CO-20260711-093","2026-07-11","P34","648","local_Codex_found_independent_page_audit","GDZ full-resolution printed p648; 2x labelled source crop; v18/v19 rendered output p320","Restored all three isomorphism conclusions from homomorphism `sim` to source `simeq`: formula (1), its iterated-quotient reformulation, and the second isomorphism theorem.","Noether_LocalCodex_20260711_P34p641_668_SourceEmphasisAudit_v19/1/01_current/cum_de_R816_integrated_v19.tex","promoted_hard_math_relation_glyph_patch","done_compile_render_source_checked","This is a substantive relation error: the old cumulative stated only homomorphic correspondence where the source theorem asserts isomorphism."
"CO-20260711-094","2026-07-11","P34","648","local_Codex_found_independent_page_audit","GDZ full-resolution printed p648; current v18 TeX","Restored source emphasis on the defined terms `Homomorphismus-in-sich` and `Automorphismenring`.","Noether_LocalCodex_20260711_P34p641_668_SourceEmphasisAudit_v19/1/01_current/cum_de_R816_integrated_v19.tex","promoted_source_typography_patch","done_compile_render_source_checked","Separate from CO-20260711-093 so the hard-math glyph repair remains independently traceable."
"CO-20260711-095","2026-07-11","P34","649","local_Codex_found_independent_page_audit","GDZ full-resolution printed p649; current v18 TeX","Restored source emphasis on `Formeln`, `Kompositionsreihe`, `Kompositionsfaktoren`, `einfache Gruppen`, `Hauptreihe`, and `charakteristische Reihe`.","Noether_LocalCodex_20260711_P34p641_668_SourceEmphasisAudit_v19/1/01_current/cum_de_R816_integrated_v19.tex","promoted_definition_typography_patch","done_compile_render_source_checked","The mathematical text was present; the explicit definition markers were flattened."
"CO-20260711-096","2026-07-11","process","P34 pp641-649 and pp663-668 independent current-head pass","local_Codex_page_by_page_source_audit","Fifteen GDZ full-resolution source pages; current v18/v19 TeX and rendered output","Opened every page in the two bands, restored one hard-math relation-glyph cluster and source-significant typography/case on six pages, and logged explicit no-patch dispositions for the remaining pages.","NOETHER_PAGE_QC_LEDGER_20260705.csv; P34_p641_649_p663_668_dispositions_v19.csv","logged","done","This produces a continuous independent P34 current-head audit from printed p641 through p668, joining the already heavily worked p669-692 band."
"CO-20260711-097","2026-07-11","P34","670","local_Codex_found_independent_page_audit","GDZ full-resolution printed p670; current v19 TeX; labelled case/emphasis crops","Restored source lowercase rechts-K-Modul and source emphasis on äquivalent and Darstellungsklasse.","Noether_LocalCodex_20260711_P34p669_692_HardMathAudit_v20/1/01_current/cum_de_R816_integrated_v20.tex","promoted_source_case_and_typography_patch","done_compile_render_source_checked","The words were present, but capitalization and semantic emphasis had been normalized or flattened."
"CO-20260711-098","2026-07-11","P34","670 footnote 15a","local_Codex_found_independent_page_audit","GDZ full-resolution printed p670; newly generated labelled 2x crop at the true p670 locus","Restored the source-bold phrase Multiplikation mit K as \textbf{Multiplikation mit $K$}.","Noether_LocalCodex_20260711_P34p669_692_HardMathAudit_v20/1/01_current/cum_de_R816_integrated_v20.tex","promoted_source_boldface_patch","done_compile_render_source_checked","An earlier temporary crop was mislabeled as p671 and did not contain the phrase. It was deleted and replaced by a correctly localized p670 witness before sealing."
"CO-20260711-099","2026-07-11","P34","674","local_Codex_found_independent_page_audit","GDZ full-resolution printed p674; labelled emphasis crop; current v19 TeX","Restored source emphasis on the unital-representation restriction wobei dem Einheitselement die Einheitsmatrix zugeordnet ist.","Noether_LocalCodex_20260711_P34p669_692_HardMathAudit_v20/1/01_current/cum_de_R816_integrated_v20.tex","promoted_source_typography_patch","done_compile_render_source_checked","The clause states the restriction adopted for all following representations."
"CO-20260711-100","2026-07-11","P34","675","local_Codex_found_independent_page_audit","GDZ full-resolution printed p675; labelled 2x relation-glyph crop; current v19 TeX","Restored the source isomorphism sign in the consequence for directly indecomposable modules: \mM is simple and \simeq\ml_i, not merely \sim\ml_i.","Noether_LocalCodex_20260711_P34p669_692_HardMathAudit_v20/1/01_current/cum_de_R816_integrated_v20.tex","promoted_hard_math_relation_glyph_patch","done_compile_render_source_checked","The following prose explicitly calls the map an operator isomorphism, independently confirming the source glyph."
"CO-20260711-101","2026-07-11","P34","676","local_Codex_found_independent_page_audit","GDZ full-resolution printed p676; labelled 2x full product-chain crop; current v19 TeX","Restored the omitted intermediate matrix-unit product =\sum c_{ik}\alpha_{ik}c_{k1} in the calculation of a\cdot c_{k1}.","Noether_LocalCodex_20260711_P34p669_692_HardMathAudit_v20/1/01_current/cum_de_R816_integrated_v20.tex","promoted_hard_math_omission_patch","done_compile_render_source_checked","The old cumulative jumped directly from the double sum to the simplified result and omitted the source's substantive multiplication step."
"CO-20260711-102","2026-07-11","P34","682","local_Codex_found_independent_page_audit","GDZ full-resolution printed p682; labelled 2x relation-glyph crop; current v19 TeX","Restored the source isomorphism sign in the rank-one field statement: (und \simeq\Omega sind).","Noether_LocalCodex_20260711_P34p669_692_HardMathAudit_v20/1/01_current/cum_de_R816_integrated_v20.tex","promoted_hard_math_relation_glyph_patch","done_compile_render_source_checked","The old \sim again weakened an explicit isomorphism statement."
"CO-20260711-103","2026-07-11","P34","687","local_Codex_found_independent_page_audit","GDZ full-resolution printed p687; labelled 2x trace-formula crop; current v19 TeX","Restored the explicit multiplication dot in the Hauptspur formula: n\cdot\sum_i\alpha_{ii}.","Noether_LocalCodex_20260711_P34p669_692_HardMathAudit_v20/1/01_current/cum_de_R816_integrated_v20.tex","promoted_hard_math_operator_patch","done_compile_render_source_checked","The factor was present, but the source-visible operator was absent; it is logged as a mathematical notation repair rather than typography-only."
"CO-20260711-104","2026-07-11","process","P34 pp669-692 independent current-head pass","local_Codex_page_by_page_source_audit","Twenty-four GDZ full-resolution source pages; current v19/v20 TeX; targeted crops; prior WebB R794-R801 archaeology used only as comparison","Opened every printed page p669-p692, repaired four substantive mathematical defects and two pages of source typography/case, and recorded explicit page dispositions for the full band.","NOETHER_PAGE_QC_LEDGER_20260705.csv; P34_p669_692_dispositions_v20.csv; P34_p669_692_SOURCE_AUDIT_v20.md","logged","done","Together with v18-v19, this closes an independent current-head visual audit of the complete P34 article, pp641-692."
"CO-20260711-105","2026-07-11","process","download intake after second user-reported addition","user_directed_intake_check","Noether Multilingual; edge dlds; legacy Edge download folder; Downloads; creation-time and modification-time scans","Repeated the intake scan, including creation-time ordering and all recent archive names. No complete Noether package newer than R816 was visible.","DOWNLOAD_INTAKE_20260711_v20.csv","logged_negative_intake_result","done","R816 remains the newest visible Web/WebB package and its accepted fixes already survive v20. The scan must be repeated before the next seal because browser downloads can arrive late."
"CO-20260711-106","2026-07-11","P35","67","local_Codex_found_independent_page_audit","MathNet native-600-ppi printed p67; labelled 2x source crop; v20 current TeX","Corrected the generated constant from source-invisible 1/e to source 1/c.","Noether_LocalCodex_20260711_P35p65_72_FullPaperAudit_v21/1/01_current/cum_de_R816_integrated_v21.tex","promoted_hard_math_variable_patch","done_compile_render_source_checked","LocalCodex found this during the full-paper pass; it was not inherited from a Web claim."
"CO-20260711-107","2026-07-11","P35","70","local_Codex_found_independent_page_audit","MathNet native-600-ppi printed p70; labelled 2x alpha-rho-delta crop; v20 current TeX","Restored the section-4 symbol family: algebraic integer alpha, ideal-factorization exponents varrho_i, and common denominator delta in place of collapsed a, alpha_i, and d readings.","Noether_LocalCodex_20260711_P35p65_72_FullPaperAudit_v21/1/01_current/cum_de_R816_integrated_v21.tex","promoted_hard_math_symbol_family_patch","done_compile_render_source_checked","The replacements are linked by the source proof and were checked as one coherent family rather than isolated glyph guesses."
"CO-20260711-108","2026-07-11","P35","71","local_Codex_found_independent_page_audit","MathNet native-600-ppi printed p71; labelled 2x gamma-alpha/lambda-rho crop; v20 current TeX","Carried the source alpha and varrho_i family through the second-claim proof, including gamma alpha and all lambda exponents.","Noether_LocalCodex_20260711_P35p65_72_FullPaperAudit_v21/1/01_current/cum_de_R816_integrated_v21.tex","promoted_hard_math_symbol_family_continuation_patch","done_compile_render_source_checked","This closes the cross-page continuation of the p70 repair."
"CO-20260711-109","2026-07-11","P35","66","local_Codex_source_recheck_rejected_false_positive","MathNet native-600-ppi printed p66; labelled 2x formula crop","Reopened the terminal characteristic-p formula and confirmed source H(u_i^p); no simplification to H(u^p) was made.","tex_span_candidate_manual_adjudication_20260705.csv","logged_no_patch_guardrail","done","The prior suspicious-reading note was false; the current TeX is source-correct."
"CO-20260711-110","2026-07-11","P35","67","local_Codex_source_recheck_rejected_false_positive","MathNet native-600-ppi printed p67; broad 1.5x source crop and 5x glyph inspection","Rejected an inherited note asserting barred P. All three source occurrences are plain P, so the v20 reading was retained.","tex_span_candidate_manual_adjudication_20260705.csv","logged_no_patch_guardrail","done","A temporary bar patch was reverted before sealing after direct glyph-level inspection."
"CO-20260711-111","2026-07-11","P35","72","local_Codex_source_recheck_rejected_false_positive","MathNet native-600-ppi printed p72; labelled 2x Russian-summary crop","Confirmed that the Russian summary prints f'_1(x),...,f'_r(x); the primes were retained.","tex_span_candidate_manual_adjudication_20260705.csv","logged_no_patch_guardrail","done","The source itself carries the primes."
"CO-20260711-112","2026-07-11","process","P35 pp65-72 independent current-head pass","local_Codex_page_by_page_source_audit","Eight complete native-600-ppi MathNet source pages; current v20/v21 TeX; targeted crops; rendered before/after pages","Opened every source page, repaired the p67 constant and the p70-p71 symbol family, rejected three false positives, and recorded explicit dispositions for all eight pages.","NOETHER_PAGE_QC_LEDGER_20260705.csv; P35_p65_72_page_dispositions_v21.csv; P35_p65_72_SOURCE_AUDIT_v21.md","logged","done","P35 is closed at the current-head best-source mathematical-fidelity level; later contradictory evidence may reopen a page."
"CO-20260711-113","2026-07-11","process","download intake after latest user-reported addition","user_directed_intake_check","Noether Multilingual; edge dlds; legacy Edge download folder; Downloads; creation-time and modification-time scans","Identified R816 as the only newly completed Noether drop visible and confirmed that its substantive P19 changes already survive the active cumulative.","DOWNLOAD_INTAKE_20260711_v21.csv","logged_negative_unmerged_delta_result","done","Revision labels were not used as authority; the package content had already been integrated and independently checked."
"CO-20260711-114","2026-07-11","P36","17","local_Codex_best_source_acquisition","GDZ JDMV volume 39 IIIF manifest and full-resolution canvas 00000312; collected-volume comparator","Recovered the original journal page at 3280x5046 pixels and identified the correct second p17 canvas in the two-part volume.","P36_GDZ_JDMV39 source folder","logged_source_upgrade","done","The first label-17 canvas belongs to a different volume section; canvas 00000312 is the annual-meeting page containing Noether's announcement."
"CO-20260711-115","2026-07-11","P36","17","local_Codex_full_page_source_audit","Original GDZ JDMV 39 printed p17; labelled 1.5x crop; current v22 TeX","Opened the complete original page and confirmed every word and emphasis in the Noether announcement. No TeX patch was needed; corrected the stale ledger claim about the final sentence.","NOETHER_PAGE_QC_LEDGER_20260705.csv; P36_p017_SOURCE_AUDIT_v22.md","logged_no_text_delta_source_closure","done","Current and source both read `Eine ausführliche Darstellung soll in den Math. Ann. erscheinen.`"
"CO-20260711-116","2026-07-11","P37","147","local_Codex_found_independent_full_page_audit","GDZ Crelle 167 full-resolution printed p147; current v22 TeX","Restored the source semicolon separators between the four Deuring factor products in footnote 2a.","Noether_LocalCodex_20260711_P36p17_P37p147_152_FullAudit_v22/1/01_current/cum_de_R816_integrated_v22.tex","promoted_source_structure_patch","done_compile_render_source_checked","The multiplication products themselves were already correct; this restores the source's unambiguous grouping punctuation."
"CO-20260711-117","2026-07-11","P37","148","local_Codex_found_independent_full_page_audit","GDZ Crelle 167 full-resolution printed p148; current v22 TeX","Removed the non-source `S\\in\\Gg` subscript from the displayed definition `E^{(1)}=1/n\\sum S`.","Noether_LocalCodex_20260711_P36p17_P37p147_152_FullAudit_v22/1/01_current/cum_de_R816_integrated_v22.tex","promoted_diplomatic_math_patch","done_compile_render_source_checked","The source prints a bare summation sign here; group scope remains clear from the surrounding group-ring construction."
"CO-20260711-118","2026-07-11","P37","148","local_Codex_found_independent_full_page_audit","GDZ Crelle 167 full-resolution printed p148; current v22 TeX","Restored source parentheses in `mit den (abhängigen) Erzeugenden`.","Noether_LocalCodex_20260711_P36p17_P37p147_152_FullAudit_v22/1/01_current/cum_de_R816_integrated_v22.tex","promoted_source_parenthetical_patch","done_compile_render_source_checked","The qualifier had been flattened into the sentence."
"CO-20260711-119","2026-07-11","P37","148","local_Codex_found_independent_full_page_audit","GDZ Crelle 167 full-resolution printed p148; current v22 TeX","Restored source parentheses around `(ganze oder gebrochene)` in Satz 2.","Noether_LocalCodex_20260711_P36p17_P37p147_152_FullAudit_v22/1/01_current/cum_de_R816_integrated_v22.tex","promoted_source_parenthetical_patch","done_compile_render_source_checked","The theorem's ideal-class qualifier is now diplomatically complete."
"CO-20260711-120","2026-07-11","P37","150","local_Codex_found_independent_full_page_audit","GDZ Crelle 167 full-resolution printed p150; current v22 TeX","Restored the omitted qualifier `(in bezug auf (G)_k bzw. (G)_Z)` after `die irreduziblen Ideale`.","Noether_LocalCodex_20260711_P36p17_P37p147_152_FullAudit_v22/1/01_current/cum_de_R816_integrated_v22.tex","promoted_hard_math_prose_omission_patch","done_compile_render_source_checked","The omission erased which two scalar-extended group rings the irreducible ideals belong to."
"CO-20260711-121","2026-07-11","P37","150","local_Codex_found_independent_full_page_audit","GDZ Crelle 167 full-resolution printed p150; current v22 TeX","Restored the source `bzw.` between the decomposition of the group determinant and the corresponding decomposition of the group matrix.","Noether_LocalCodex_20260711_P36p17_P37p147_152_FullAudit_v22/1/01_current/cum_de_R816_integrated_v22.tex","promoted_hard_math_relation_word_patch","done_compile_render_source_checked","The two formulas were present, but their explicit respective correspondence had disappeared."
"CO-20260711-122","2026-07-11","process","P37 pp147-152 independent current-head pass","local_Codex_page_by_page_source_audit","Six original GDZ full-resolution article pages at approximately 627-668 ppi; current v22 TeX; prior R126/R127 targeted ledgers used only as archaeology comparison","Opened every source page; verified survival of all eight prior source repairs; promoted six additional source-backed repairs; and recorded explicit dispositions for all six pages.","NOETHER_PAGE_QC_LEDGER_20260705.csv; P37_p147_152_SOURCE_AUDIT_v22.md; P37_p147_152_page_dispositions_v22.csv","logged","done","P37 is closed at the current-head best-source mathematical-fidelity level; later contradictory evidence may reopen a page."
"CO-20260711-123","2026-07-11","process","download intake after newest user-reported addition","user_directed_intake_check","Noether Multilingual; edge dlds; legacy Edge intake; Downloads; completed archives and partial-download scan","Repeated the intake scan by content and timestamp. R816 remains the only newly completed Noether drop visible; its accepted P19 delta already survives v22.","DOWNLOAD_INTAKE_20260711_v22.csv","logged_negative_unmerged_delta_result","done","No package was dismissed by revision-number collision. The active P37 audit therefore continued without a Web merge."
"CO-20260711-124","2026-07-11","P38","399","prior_local_Codex_found_independently_rechecked_v23","Earlier P38 targeted repair ledger; GDZ JRAM167 full-resolution p399; current v23 TeX","Rechecked and retained the restored source title, author line, and drafting footnote.","cum_de_R816_integrated_v23.tex","survived_and_reconfirmed","done_compile_render_source_checked","The old package was archaeology only; the source page and current span were reopened."
"CO-20260711-125","2026-07-11","P38","399","prior_local_Codex_found_independently_rechecked_v23","Earlier P38 targeted repair ledger; GDZ JRAM167 full-resolution p399; current v23 TeX","Rechecked and retained the italic Hauptsatz statement and source punctuation.","cum_de_R816_integrated_v23.tex","survived_and_reconfirmed","done_compile_render_source_checked","No non-source comma survives before the parenthetical."
"CO-20260711-126","2026-07-11","P38","399","prior_local_Codex_found_independently_rechecked_v23","Earlier P38 targeted repair ledger; GDZ JRAM167 full-resolution p399; current v23 TeX","Rechecked and retained the source placement of the two opening footnotes.","cum_de_R816_integrated_v23.tex","survived_and_reconfirmed","done_compile_render_source_checked","The drafting note and reduction-order note remain attached to their source loci."
"CO-20260711-127","2026-07-11","P38","400","prior_local_Codex_found_independently_rechecked_v23","Earlier P38 targeted repair ledger; GDZ JRAM167 full-resolution p400; current v23 TeX","Rechecked and retained the full Reduktion-2 parenthetical and source sentence structure.","cum_de_R816_integrated_v23.tex","survived_and_reconfirmed","done_compile_render_source_checked","The earlier compressed wording is not present."
"CO-20260711-128","2026-07-11","P38","400","prior_local_Codex_found_independently_rechecked_v23","Earlier P38 targeted repair ledger; GDZ JRAM167 full-resolution p400; current v23 TeX","Rechecked and retained source Sigma, A_Sigma, and the Sylow-field wording in the Reduktion-2 proof.","cum_de_R816_integrated_v23.tex","survived_and_reconfirmed","done_compile_render_source_checked","The non-source X-family does not survive."
"CO-20260711-129","2026-07-11","P38","400","prior_local_Codex_found_independently_rechecked_v23","Earlier P38 targeted repair ledger; GDZ JRAM167 full-resolution p400; current v23 TeX","Rechecked and retained the proof sentence making the index prime to p as a divisor of the Sylow-field degree.","cum_de_R816_integrated_v23.tex","survived_and_reconfirmed","done_compile_render_source_checked","The mathematical divisibility statement is complete."
"CO-20260711-130","2026-07-11","P38","400","prior_local_Codex_found_independently_rechecked_v23","Earlier P38 targeted repair ledger; GDZ JRAM167 full-resolution p400; current v23 TeX","Rechecked and retained footnote 4 and the Zusatz wahrend der Drucklegung in source order.","cum_de_R816_integrated_v23.tex","survived_and_reconfirmed","done_compile_render_source_checked","The addendum is not flattened into the proof."
"CO-20260711-131","2026-07-11","P38","400-401","prior_local_Codex_found_independently_rechecked_v23","Earlier P38 targeted repair ledger; GDZ JRAM167 full-resolution pp400-401; current v23 TeX","Rechecked and retained the historical setup for Reduktion 3, including Hasse's reductions and the abelian special case.","cum_de_R816_integrated_v23.tex","survived_and_reconfirmed","done_compile_render_source_checked","No setup paragraph is omitted."
"CO-20260711-132","2026-07-11","P38","401","prior_local_Codex_found_independently_rechecked_v23","Earlier P38 targeted repair ledger; GDZ JRAM167 full-resolution p401; current v23 TeX","Rechecked and retained the source cumulative chain K=Lambda_0>Lambda_1>...>Lambda_r=Omega and coherent proof indices.","cum_de_R816_integrated_v23.tex","survived_and_reconfirmed","done_compile_render_source_checked","This remains a P0 hard-math repair; the previously reversed chain does not survive."
"CO-20260711-133","2026-07-11","P38","401","prior_local_Codex_found_independently_rechecked_v23","Earlier P38 targeted repair ledger; GDZ JRAM167 full-resolution p401; current v23 TeX","Rechecked and retained the Hilbert-Furtwangler Normensatz paragraph, norm-residue display, A=(alpha,Z), and local-to-global conclusion.","cum_de_R816_integrated_v23.tex","survived_and_reconfirmed","done_compile_render_source_checked","The complete mathematical paragraph is present."
"CO-20260711-134","2026-07-11","P38","402","prior_local_Codex_found_independently_rechecked_v23","Earlier P38 targeted repair ledger; GDZ JRAM167 full-resolution p402; current v23 TeX","Rechecked and retained the Grundideal definition, p-index proof, and Produkttheorem/Reziprozitatsgesetz parenthetical.","cum_de_R816_integrated_v23.tex","survived_and_reconfirmed","done_compile_render_source_checked","A separate v23 parenthesis repair in the Satz-2 statement is recorded below."
"CO-20260711-135","2026-07-11","P38","402","prior_local_Codex_found_independently_rechecked_v23","Earlier P38 targeted repair ledger; GDZ JRAM167 full-resolution p402; current v23 TeX","Rechecked and retained the complete Satz-3 prime decomposition and p-adic degree setup.","cum_de_R816_integrated_v23.tex","survived_and_reconfirmed","done_compile_render_source_checked","The displayed factorization and local-degree explanation remain complete."
"CO-20260711-136","2026-07-11","P38","402-403","prior_local_Codex_found_independently_rechecked_v23","Earlier P38 targeted repair ledger; GDZ JRAM167 full-resolution pp402-403; current v23 TeX","Rechecked and retained the source pi/Delta_Pi/d_Pi proof and the previously omitted divisibility calculation.","cum_de_R816_integrated_v23.tex","survived_and_reconfirmed","done_compile_render_source_checked","The non-source alpha/B_i simplification does not survive; this is a P0 proof-content repair."
"CO-20260711-137","2026-07-11","P38","403","prior_local_Codex_found_independently_rechecked_v23","Earlier P38 targeted repair ledger; GDZ JRAM167 full-resolution p403; current v23 TeX","Rechecked and retained the local Satz-4 condition A_p^f sim Omega_p and source group notation.","cum_de_R816_integrated_v23.tex","survived_and_reconfirmed","done_compile_render_source_checked","The erroneous global A^f sim Omega statement does not survive."
"CO-20260711-138","2026-07-11","P38","403-404","prior_local_Codex_found_independently_rechecked_v23","Earlier P38 targeted repair ledger; GDZ JRAM167 full-resolution pp403-404; current v23 TeX","Rechecked and retained the norm-residue displays for p, p-prime, q, and r and the splitting-field conclusion.","cum_de_R816_integrated_v23.tex","survived_and_reconfirmed","done_compile_render_source_checked","The proof is no longer compressed."
"CO-20260711-139","2026-07-11","P38","404","prior_local_Codex_found_independently_rechecked_v23","Earlier P38 targeted repair ledger; GDZ JRAM167 full-resolution p404; current v23 TeX","Rechecked and retained Satz 5 field/group inclusion notation and the a/b proof split.","cum_de_R816_integrated_v23.tex","survived_and_reconfirmed","done_compile_render_source_checked","K leqq K-prime and the corresponding group inclusions remain source-faithful."
"CO-20260711-140","2026-07-11","P38","404","prior_local_Codex_found_independently_rechecked_v23","Earlier P38 targeted repair ledger; GDZ JRAM167 full-resolution p404; current v23 TeX","Rechecked and retained Satz 6 group notation and the source n^n discriminant statement while preserving the distinct later n^h root-field construction.","cum_de_R816_integrated_v23.tex","survived_and_reconfirmed","done_compile_render_source_checked","This is a P0 exponent-role distinction."
"CO-20260711-141","2026-07-11","P38","402","local_Codex_found_independent_full_page_audit","GDZ JRAM167 full-resolution printed p402; current v23 TeX","Restored the repeated source footnote marker 7 immediately after the cyclic-representation display by labeling and cross-referencing the original note.","cum_de_R816_integrated_v23.tex","promoted_source_note_marker_patch","done_compile_render_source_checked","The note text already existed at its first source locus; only the repeated marker was missing."
"CO-20260711-142","2026-07-11","P38","402","local_Codex_found_independent_full_page_audit","GDZ JRAM167 full-resolution printed p402; current v23 TeX","Restored source parentheses around '(und sogar mindestens durch zwei)' in Satz 2.","cum_de_R816_integrated_v23.tex","promoted_source_parenthetical_patch","done_compile_render_source_checked","The words were present but their source function as a parenthetical strengthening was flattened."
"CO-20260711-143","2026-07-11","P38","402","local_Codex_found_independent_full_page_audit","GDZ JRAM167 full-resolution printed p402 and labelled enlarged formula crop; current v23 TeX","Restored the diplomatic norm operator N_{K Omega}(P_i) in place of the modernized N_{K/Omega}(P_i).","cum_de_R816_integrated_v23.tex","promoted_diplomatic_math_patch","done_compile_render_source_checked","The source visibly prints K Omega as a compact subscript without a slash."
"CO-20260711-144","2026-07-11","process","P38 pp399-404 independent current-head pass","local_Codex_page_by_page_source_audit","Six original GDZ JRAM167 full-resolution pages; current v23 TeX; earlier targeted P38 package used only as archaeology comparison","Opened every source page; independently rechecked all 17 prior repairs; promoted three additional source-backed repairs; rendered and inspected the complete six-page output band; and recorded six page dispositions.","P38_p399_404_SOURCE_AUDIT_v23.md; P38_p399_404_page_dispositions_v23.csv; NOETHER_PAGE_QC_LEDGER_20260705.csv","logged","done","P38 is closed at the current-head best-source mathematical-fidelity level; later contradictory evidence may reopen a locus."
"CO-20260711-145","2026-07-11","P39","189","prior_local_Codex_found_independently_rechecked_v24","Earlier P39 targeted repair ledger; official ICM1932 p189; current v24 TeX","Rechecked and retained removal of the non-source title period.","cum_de_R816_integrated_v24.tex","survived_and_reconfirmed","done_compile_render_source_checked","The title ends without a period in the source."
"CO-20260711-146","2026-07-11","P39","189","prior_local_Codex_found_independently_rechecked_v24","Earlier P39 targeted repair ledger; official ICM1932 p189; current v24 TeX","Rechecked and retained the source author line Von Emmy Noether, Gottingen.","cum_de_R816_integrated_v24.tex","survived_and_reconfirmed","done_compile_render_source_checked","The unrelated Bryn Mawr affiliation does not survive."
