concept_norm,term_count,E_mass,W_mass,S_mass,I_mass,X_mass,candidate_W_add,candidate_S_add,D1_effective_branches_certified,D1_effective_branches_candidate,KL_to_balanced_certified,KL_to_balanced_candidate,mean_accept_support_candidate_pct,adverse_terms,writeback_candidates,top_flags,top_actions,routes,example_term_ids
substitution,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,5.33,0,0,F10-1:2,MISSING_WITNESS_BACKFILL:2,C_concept_linked_shelf_plausible:2,ISV-substitution_35--substitucija_35; ISV-übergangssubstitution--prěhodno_prěobraženj
variable,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,14.2,0,0,F10-1:2,MISSING_WITNESS_BACKFILL:2,D_no_route_true_gap:2,ISV-hilfsvariablen--pomoćne_prěměnne; ISV-LB-variablenreihensymbolreihen
algebr,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,6.89,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,B_intl_stem_probeable:1,ISV-algebraic_gebilde--algebraično_obrazova
chain condition,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,6.54,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-auswahlpostulat--postulat_izbora
character,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,5.33,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-charakter--karakter
characteristic series,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,8.52,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-charakteristische_reihe--karakterističny_rjad
completely reducible,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,5.33,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-reduzibel_irreduzibel--razložimy_nerazložim
degree,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,5.33,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-beschränkt_in_x_i_den_grad_k_nicht_errei--ograničeny_po_x_i_ne
diagonal entry,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,9.92,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-diagonalglied--diagonalny_člen
division algebra,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-LB-zugeordnete_reihen
eksponent,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,11.04,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,B_intl_stem_probeable:1,ISV-exponent_index--eksponent_indeks
factor system,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-faktorensystem--unnamed
functional determinant,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,7.99,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-LB-überschiebung
identity operator,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,8.52,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-einheitsoperator--jediničny_operator
integral domain,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,5.33,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-integritätsbereich_bereich_der_integritä--oblast_cělosti
invariant,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.405,0.405,33.97,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,B_intl_stem_probeable:1,ISV-LB-invariante_bildungen
isomorphism,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,8.95,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-zuordnung--prirędženje
kongruen,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,6.89,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,B_intl_stem_probeable:1,ISV-kongruenzkomposition--kongruenzkomposition
kvadrat,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,B_intl_stem_probeable:1,ISV-LB-ternäre_biquadratische_form
matric,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,6.89,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,B_intl_stem_probeable:1,ISV-ganzzahlige_matrizen--cěločiselne_matrice
matrix,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.099,1.099,30.89,1,0,F10-4:1,AUTHORITY_OR_SPECIALIST_NEEDED:1,(none):1,ISV-einheitsmatrix--jedinična_matrica
minimal,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,11.04,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,B_intl_stem_probeable:1,ISV-minimalbedingung--uslovje_minimalnosti
norm,1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.828,2.828,0.059,0.059,11.77,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-norm_normbildung--norma_obrazovanje_no
princip,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,9.52,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,B_intl_stem_probeable:1,ISV-übertragungsprinzip--princip_prěnosa
principal genus theorem,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-hauptgeschlechtssatz--unnamed
proof,1,2.0,0.0,0.0,0.0,0.0,0.65,0.65,1.0,2.569,1.099,0.155,27.81,1,1,F10-1:1,WRITEBACK_CANDIDATE_AFTER_ROW_CHECK:1,A_probe_covered_concept:1,ISV-vhodetvhodi_agreement_in_interslavic_pro--vhodet_retained_besi
racional,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,6.89,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,B_intl_stem_probeable:1,ISV-ganz_rational--cělo-racionalny
reducent,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,8.52,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-reduzenten--reducenty
regular,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,6.89,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,B_intl_stem_probeable:1,ISV-ganzzahlig-regulär--celočisleno-regularn
ring without radical,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,8.52,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-radikal--radikal
special,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,B_intl_stem_probeable:1,ISV-LB-spezielle_zweimalige_faltung
theorem,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,19.93,1,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,A_probe_covered_concept:1,ISV-ist_somit_bewiesen--tym_je_dokazana
trace,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,6.1,1,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-konjugierte_des_nenners--konjugaty_imenovatel
transform,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,13.27,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,B_intl_stem_probeable:1,ISV-transformationsgrößen--transformacijne_veli
transformation quantities,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,F10-1:1,MISSING_WITNESS_BACKFILL:1,C_concept_linked_shelf_plausible:1,ISV-transformationsgrößen--unnamed
