"language","bcp47","branch","english_concept","target_rendering_source_title","source_url","source_body","source_status","has_math_markup","formula_neighboring_usage_note","term_alternatives_or_register_note","interlinear_scaffold_note","non_claim_boundary"
"Tatar","tt","Kipchak","Statistics","Статистика","https://tt.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D1%82%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B0","bodies/tt/wikitext-20260629T101500Z/Statistics__Статистика.wiki","source-title/body witness only","False","Mathematical article-title/context witness; no formula markup detected in this source body.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Tatar source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","Mathematics","Математика","https://ba.wikipedia.org/wiki/%D0%9C%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B0","bodies/ba/wikitext-20260629T101500Z/Mathematics__Математика.wiki","source-title/body witness only","True","Mathematical article-title/context witness; source body contains math markup; formula-neighboring review still required.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Bashkir source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","Algebra","Алгебра","https://ba.wikipedia.org/wiki/%D0%90%D0%BB%D0%B3%D0%B5%D0%B1%D1%80%D0%B0","bodies/ba/wikitext-20260629T101500Z/Algebra__Алгебра.wiki","source-title/body witness only","True","Mathematical article-title/context witness; source body contains math markup; formula-neighboring review still required.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Bashkir source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","Linear algebra","Һыҙыҡлы алгебра","https://ba.wikipedia.org/wiki/%D2%BA%D1%8B%D2%99%D1%8B%D2%A1%D0%BB%D1%8B_%D0%B0%D0%BB%D0%B3%D0%B5%D0%B1%D1%80%D0%B0","bodies/ba/wikitext-20260629T101500Z/Linear algebra__Һыҙыҡлы алгебра.wiki","source-title/body witness only","True","Mathematical article-title/context witness; source body contains math markup; formula-neighboring review still required.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Bashkir source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","Group theory","Төркөмдәр теорияһы","https://ba.wikipedia.org/wiki/%D0%A2%D3%A9%D1%80%D0%BA%D3%A9%D0%BC%D0%B4%D3%99%D1%80_%D1%82%D0%B5%D0%BE%D1%80%D0%B8%D1%8F%D2%BB%D1%8B","bodies/ba/wikitext-20260629T101500Z/Group theory__Төркөмдәр теорияһы.wiki","source-title/body witness only","True","Mathematical article-title/context witness; source body contains math markup; formula-neighboring review still required.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Bashkir source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","Ring (mathematics)","Ҡулса (математика)","https://ba.wikipedia.org/wiki/%D2%A0%D1%83%D0%BB%D1%81%D0%B0_(%D0%BC%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B0)","bodies/ba/wikitext-20260629T101500Z/Ring (mathematics)__Ҡулса (математика).wiki","source-title/body witness only","True","Ring-title/context witness; source body contains math markup; formula-neighboring review still required; not a Noetherian-ring closure.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Bashkir source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","Field (mathematics)","Ялан (алгебра)","https://ba.wikipedia.org/wiki/%D0%AF%D0%BB%D0%B0%D0%BD_(%D0%B0%D0%BB%D0%B3%D0%B5%D0%B1%D1%80%D0%B0)","bodies/ba/wikitext-20260629T101500Z/Field (mathematics)__Ялан (алгебра).wiki","source-title/body witness only","True","Mathematical article-title/context witness; source body contains math markup; formula-neighboring review still required.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Bashkir source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","Polynomial","Күпбыуын","https://ba.wikipedia.org/wiki/%D0%9A%D2%AF%D0%BF%D0%B1%D1%8B%D1%83%D1%8B%D0%BD","bodies/ba/wikitext-20260629T101500Z/Polynomial__Күпбыуын.wiki","source-title/body witness only","True","Polynomial-title/context witness; source body contains math markup; formula-neighboring review still required; not a polynomial-ring closure.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Bashkir source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","Equation","Тигеҙләмә","https://ba.wikipedia.org/wiki/%D0%A2%D0%B8%D0%B3%D0%B5%D2%99%D0%BB%D3%99%D0%BC%D3%99","bodies/ba/wikitext-20260629T101500Z/Equation__Тигеҙләмә.wiki","source-title/body witness only","True","Mathematical article-title/context witness; source body contains math markup; formula-neighboring review still required.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Bashkir source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","Function (mathematics)","Функция (математика)","https://ba.wikipedia.org/wiki/%D0%A4%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D1%8F_(%D0%BC%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B0)","bodies/ba/wikitext-20260629T101500Z/Function (mathematics)__Функция (математика).wiki","source-title/body witness only","True","Mathematical article-title/context witness; source body contains math markup; formula-neighboring review still required.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Bashkir source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","Set (mathematics)","Күмәклек","https://ba.wikipedia.org/wiki/%D0%9A%D2%AF%D0%BC%D3%99%D0%BA%D0%BB%D0%B5%D0%BA","bodies/ba/wikitext-20260629T101500Z/Set (mathematics)__Күмәклек.wiki","source-title/body witness only","True","Mathematical article-title/context witness; source body contains math markup; formula-neighboring review still required.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Bashkir source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","Differential equation","Дифференциаль тигеҙләмә","https://ba.wikipedia.org/wiki/%D0%94%D0%B8%D1%84%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C_%D1%82%D0%B8%D0%B3%D0%B5%D2%99%D0%BB%D3%99%D0%BC%D3%99","bodies/ba/wikitext-20260629T101500Z/Differential equation__Дифференциаль тигеҙләмә.wiki","source-title/body witness only","True","Mathematical article-title/context witness; source body contains math markup; formula-neighboring review still required.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Bashkir source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","Probability","Ихтималлыҡ","https://ba.wikipedia.org/wiki/%D0%98%D1%85%D1%82%D0%B8%D0%BC%D0%B0%D0%BB%D0%BB%D1%8B%D2%A1","bodies/ba/wikitext-20260629T101500Z/Probability__Ихтималлыҡ.wiki","source-title/body witness only","True","Mathematical article-title/context witness; source body contains math markup; formula-neighboring review still required.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Bashkir source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","Statistics","Статистика","https://ba.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D1%82%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B0","bodies/ba/wikitext-20260629T101500Z/Statistics__Статистика.wiki","source-title/body witness only","True","Mathematical article-title/context witness; source body contains math markup; formula-neighboring review still required.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Bashkir source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","Karluk","Function (mathematics)","فۇنكسىيە","https://ug.wikipedia.org/wiki/%D9%81%DB%87%D9%86%D9%83%D8%B3%D9%89%D9%8A%DB%95","bodies/ug/wikitext-20260629T101500Z/Function (mathematics)__فۇنكسىيە.wiki","source-title/body witness only","False","Mathematical article-title/context witness; no formula markup detected in this source body.","No accepted terminology claim; source title is a witness form for later review only.","generated-draft/non-canonical scaffold candidate from Uyghur source title; keep in branch-weight evidence, not as bridge or term promotion.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
