concept_id,stratum,en,de,uk,ru,isv,isv_cyr,rows,f10_flags
isomorphism,curriculum_algebra,isomorphism,Restgruppen isomorph | Unterkörper P isomorph zu o/op | aufgefaßt als R-Moduln -- isomorph | eineindeutige Zuordnung / isomorph | einstufig isomorph | isomorph / Isomorphie | isomorph / isomorphe Beziehung / isomorphe Abbildung | nicht-isomorph oder wesentlich verschieden | vermöge des Isomorphismus ... zugeordnete Basis | wegen des Isomorphismus der Restklassenringe,ізоморфний / ізоморфізм,изоморфный / изоморфизм,baza ... prirěđena posrědstvom izomorfizma | grupy ostatkov sut izomorfne | izomorfne / izomorfna sootvětnost / izomorfno odobraženje | izomorfne kako R-moduly,база ... приредјена посредством изоморфизма | групы остатков сут изоморфне | заради изоморфизма колц класов остатков | изоморфне / изоморфна соотвєтност / изоморфно одображенье,10,"F10-0,F10-1"
least-common-multiple,curriculum_algebra,least common multiple,Darstellung als kleinstes gemeinsames Vielfaches | groesster gemeinsamer Teiler / kleinstes gemeinsames Vielfaches | kleinstes gemeinsames Vielfaches | kleinstes gemeinsames Vielfaches / größter gemeinsamer Teiler | kleinstes gemeinsames Vielfaches gleich dem Produkt,найменше спільне кратне | найменше спільне кратне / найбільший спільний дільник | найменше спільне кратне дорівнює добутку | подання як найменше спільне кратне,наименьшее общее кратное | наименьшее общее кратное / наибольший общий делитель | наименьшее общее кратное равно произведению | представление как наименьшее общее кратное,najmene obče mnogokratno | najmenše obče mnogokratno | najmenše obče mnogokratno / največši obči dělitelj | najmenše obče mnogokratno stavaje jednako produktu,највечши обчи делитель / најмене обче многократно | најмене обче многократно | најменше обче многократно | најменше обче многократно ставаје једнако продукту,7,"F10-0,F10-1"
lemma,proof_grammar,lemma,Hauptsatz / Hilfssatz / Zusatz / Bemerkung | Hilfssatz | Umkehrung von Hilfssatz I,обернення леми I,обращение леммы I,Pomočny teorem | glavny teorem / pomočny teorem / dodatok / zamětka | obrat lemy I,Помочны теорем | обрат лемы I,3,F10-1
linear-transformation,curriculum_algebra,linear transformation,lineare Transformation,лінійне перетворення,линейное преобразование,linearna transformacija,линеарна трансформација,1,F10-1
matrix-product,curriculum_algebra,matrix product,Matrizenprodukt,,,matričny produkt,,2,F10-1
module,curriculum_algebra,module,"Einheitsmodul | Endlichkeitsbedingung; endlicher Modul; Modulbasis | Erweiterungsring; Erweiterungsmodul | Grundmodul | Hauptmodul | K als Omega-Modul aufgefaßt | K-Rechtsmodul | Linearformenmodul | Modul (historical generated polynomial set) | Modul M_sigma / Moduleigenschaft | Modul aus Linearformen | Modul in (Σ,T) | Moduln | Modultheorie / Modulbasis / Primmodul / Nullmodul | Norm nach diesem Modul / nach Q | Primmodul | Produktbegriff nicht auf Moduln übertragbar | Quotient zweier Moduln | Residualmodul / Quotient zweier Moduln | Restklassenmodul | Teilbarkeit / durch einen Modul teilbar | Zerlegungssätze für Normen und Moduln | Zurückführung des Moduls (A,ν) auf den Modul (ν) | Zusammenhang zwischen Idealen aus Polynomen und Moduln aus Linearformen | adj. Modul | als Modul adjungiert | einfacher Modul | einseitige Moduln | endlicher Modul | größter vollständig reduzibler Modul | höherer Modul | nächsthöherer Modul | teilerfremd mit einem Modul","головний модуль | залишковий модуль / частка двох модулів | зв'язок між ідеалами з поліномів і модулями з лінійних форм | зведення модуля (A,ν) до модуля (ν)","главный модуль | кольцо расширения; модуль расширения | конечный, то есть конечно порожденный модуль | модуль в (Σ,T)",K jest razsmatrjany kako Omega-modul | adjungovano kako modul | adjungovany modul | dělimost / dělimy čerez modul,K јест разсматрјаны како Omega-модул | вез меджу идеалами из полиномов и модулами из линеарных форм | взаимно просты с модулом | главны модул,33,"F10-0,F10-1,F10-2,F10-3,F10-4"
multiplier-domain,noether_corpus,multiplier domain,Multiplikatorenbereich | absoluter Multiplikatorenbereich,абсолютна область множників | область множників,абсолютная область множителей | область множителей,absolutna oblast množiteljev | oblast množiteljev,абсолутна област множительев | област множительев,2,F10-1
norm,curriculum_algebra,norm,(red.) Norm / (red.) Differente | Norm / Elementarteiler | Norm / Normbildung | Norm des Grundideals nach m | Norm von G nach A,зведена норма / зведена диферента | норма / елементарний дільник | норма / побудова норми | норма G відносно A,норма / построение нормы | норма / элементарный делитель | норма G относительно A | норма основного идеала относительно m,norma / elementarny dělitelj | norma / obrazovanje normy | norma G vzhodno k A | norma osnovnogo ideala vzhodno k m,норма / елементарны делитељ | норма / образованье нормы | норма G взходно к A | норма основного идеала взходно к m,5,"F10-0,F10-1"
normal-subgroup,curriculum_algebra,normal subgroup,Normalteiler,нормальний дільник | нормальний піддільник,нормальный делитель,normalny dělitelj | normalny podgrup,нормалны делитель,2,F10-1
number-field,curriculum_algebra,algebraic number field,Zahlkörper | algebraischer Zahlkörper | relativ-galoissche Zahlkörper,алгебраїчне числове поле | відносно галуїсові числові поля | числове поле,алгебраическое числовое поле | относительно галуаовы числовые поля | числовое поле,algebraično čislovo polje | relativno-Galoisove čislove polja | čislovo polje,алгебраично числово полье | числово полье,4,"F10-0,F10-1"
one-to-one,curriculum_algebra,one-to-one,eineindeutig | eineindeutig ... Differenz und Multiplikation mit demselben Element | eineindeutig / eineindeutig zuordnen | eineindeutig / eineindeutige Zuordnung | eineindeutig entsprechen | eineindeutig entsprechende Basis | eineindeutig und isomorph abbilden,взаємно однозначно | взаємно однозначно / взаємно однозначно зіставити | взаємно однозначно й ізоморфно відобразити,взаимно однозначно | взаимно однозначно / взаимно однозначно сопоставить | взаимно однозначно и изоморфно отобразить,jedno-jednoznačno / jedno-jednoznačno pridružiti | jedno-jednoznačno i izomorfno odobraziti | jedno-jednoznačny / jedno-jednoznačno prirěđenje | jednoznačno vzajemno ... razlika i množenje tym samym elementom,взаимно-једнозначно | одговарјајут ... једнозначно взајемно | једно-једнозначно / једно-једнозначно придружити | једно-једнозначно и изоморфно одобразити,7,F10-1
order,curriculum_algebra,order,"Formen 11. Ordnung | Formen 11., 12., 13., 15. Ordnung | Formen 12., 13., 14., 15. Ordnung | Formen 7. Ordnung | Formen 8. Ordnung | Formen achter Ordnung | Formen dritter Ordnung | Formen fünfter Ordnung | Formen neunter Ordnung | Formen sechster Ordnung | Formen siebenter Ordnung | Formen vierter Ordnung | Formen zehnter Ordnung | Ordnung | Ordnung / endliche Ordnung | Ordnung in bezug auf o | R-Ordnung | gewöhnliche lineare Differentialgleichung 2. Ordnung | lexikographische Ordnung",R-порядок | порядок | форми 10-го порядку | форми 11-го порядку,R-порядок | порядок | формы 10-го порядка | формы 11-го порядка,"Formy 11., 12., 13. i 15. poręda | Formy 12., 13., 14., 15. poręda | Formy 7. poręda | Formy 8. poręda",R-порјадок | лексикографичны ред | обычно линеарно диференциално уравненье 2-го реда | порјадок,21,"F10-0,F10-1,F10-2"
polynomial,curriculum_algebra,polynomial,Bereich aller geraden Polynome | Polynombereich / Polynome | algebraisch-ganzzahlige Polynome | eindeutige Produktdarstellung durch irreduzible Polynome des Bereichs | ganze rationale Funktion | ganze rationale Funktionen (Polynome) | homogene Formen / inhomogene Polynome | homogene Polynome | primitive Polynome | reguläres Polynom in bezug auf x_i | teilerfremde Polynome,алгебраїчно-цілочисельні поліноми | область усіх парних поліномів | однорідні форми / неоднорідні многочлени | примітивні поліноми,алгебраически-целочисленные полиномы | область всех четных полиномов | однозначное произведенное представление через неприводимые полиномы области | однородные формы / неоднородные многочлены,algebraično-celočislene polinomy | cěla racionalna funkcija | cěle racionalne funkcije (polinomy) | homogene formy / nehomogenny polinomy,алгебраично-целочислене полиномы | област всех парных полиномов | полиномна област / полиномы | регуларны полином взходно к x_i,11,"F10-0,F10-1"
primary-ideal,curriculum_algebra,primary ideal,Komplementpotenz / durch ein Primärideal teilbar | Primärideal | eigentliches Primärideal / eigentlich primäre Komponente,первинний ідеал | степінь комплемента / подільний на первинний ідеал,первичный идеал | степень дополнения / делима на примарный идеал,primarny ideal | stepen komplementa / dělimy črez primarny ideal | vlastny primarny ideal / vlastno primarna komponenta,властны примарны идеал / властно примарна компонента | примарны идеал | степен комплемента / делимы чрез примарны идеал,3,"F10-0,F10-1"
prime-function,noether_corpus,prime function / primary function,Primfunktion | Primfunktion / Primfaktoren | Primfunktion / Primärfunktion | Primfunktion erster Art | Primärfunktion,первинна функція | проста функція | проста функція / первинна функція,первичная функция | простая функция | простая функция / первичная функция,ireducibilna funkcija / ireducibilne faktory | nerazložimy polinom | nerazložimy polinom prvogo roda | primarna funkcija,иредуцибилна функција / иредуцибилне факторы | неразложимы полином | неразложимы полином првого рода | примарна функција,6,"F10-0,F10-1,F10-4"
prime-ideal,curriculum_algebra,prime ideal,Ausnahmeprimzahlen / Ausnahme-Primideale | Gruppeneinteilung der zugehörigen Primideale | Primideal | Primideal / Primaerideal / Primaerkomponente | Primideal / Primideale | Primideal / Primärideal / zugehöriges Primideal | Primideal / eigentliches Primärideal | Primideal erster / zweiter Art | Primideal erster und zweiter Art | Primideal p aus einem Multiplikationsring o | Primideal zweiter Art | durch dieselben Primideale p und zur gleichen Potenz teilbar | eigentliche Primärideale oder Primideale | zugehörige Primideale,поділ належних простих ідеалів на групи | простий ідеал | простий ідеал / власний первинний ідеал | простий ідеал / первинний ідеал / асоційований простий ідеал,простой идеал | простой идеал / первичный идеал / ассоциированный простой идеал | простой идеал / простые идеалы | простой идеал / собственный первичный идеал,grupno razděljenje pridruženih prostyh idealov | izključene prvočisla / izključene proste idealy | prost ideal | prost ideal / primarny ideal / asociovany prost ideal,властно примарне идеалы або просте идеалы | групно раздељенье придруженых простых идеалов | прост идеал | прост идеал / властны примарны идеал,16,"F10-0,F10-1,F10-4"
principal-genus-theorem,noether_corpus,principal genus theorem,Hauptgeschlechtssatz,теорема про головний рід,теорема о главном роде,teorem o glavnom rodu,,2,F10-1
principal-ideal,curriculum_algebra,principal ideal,Hauptideal | Hauptideal / Basispolynom | Idealquotienten / Hauptideal / prim zu t,головний ідеал | головний ідеал / базисний поліном,главный идеал | главный идеал / базисный полином,glavny ideal | glavny ideal / bazny polinom | idealne kvocienty / glavny ideal / prost vzhodno k t,главны идеал | главны идеал / базны полином,3,F10-1
proper-divisor,curriculum_algebra,proper divisor,Potenzprodukt von Primidealen / echter Teiler | echter Teiler | echter Teiler / Durchschnittsklasse | echter Teiler / Gliederzahl | echter Teiler gleichen Ranges,власний дільник | власний дільник / кількість членів | справжній дільник того самого рангу,собственный делитель | собственный делитель / число членов | собственный делитель того же ранга,produkt stepenjev prostyh idealov / vlastny dělitelj | vlastny dělitelj | vlastny dělitelj / prěsěčna klasa | vlastny dělitelj / čislo členov,властны делитель | властны делитель / пресечна класа | властны делитель једнакого ранга | властны делитељ / число членов,5,F10-1
quotient-field,curriculum_algebra,quotient field,Quotientenkörper | Quotientenkörper eines Integritätsbereichs,поле часток | поле часток інтегральної області,поле частных | поле частных области целостности,kvocientno polje | polje kvocientov | polje kvocientov integralnoj oblasti,квоциентно полье | полье квоциентов интегралној области | поље квоциентов,3,F10-0
radical-free-ring,noether_corpus,ring without radical,Ring ohne Radikal,кільце без радикала,кольцо без радикала,kolco bez radikala,колцо без радикала,1,F10-3
rank,curriculum_algebra,rank,Rang | algebraischer Rang | algebraischer Rang / Restklassenkörper,алгебраїчний ранг | алгебраїчний ранг / поле класів лишків | ранг,алгебраический ранг | алгебраический ранг / поле классов вычетов | ранг,algebraičny rang | algebraičny rang / polje ostatkovyh klasov | rang,алгебраичны ранг | алгебраичны ранг / полье остатковых класов | ранг,3,"F10-0,F10-1"
reducent,noether_corpus,reducent,Reduzent | Reduzenten | Reduzenten oder zerfallenden Formen | direkte Faltung mit den Reduzenten,редуцент | редуценти,редуцент | редуценты,neposrědno svijanje s reducentami | reducent | reducentami abo razkladnymi formami | reducenty,редуцент | редуценты,4,"F10-1,F10-4"
regular-representation,curriculum_algebra,regular representation,reguläre Darstellung,регулярне зображення,регулярное представление,regularno predstavjenje,регуларно представјенье,1,F10-0
remark,proof_grammar,remark,Nachbemerkung,Додаткова заувага | примітка,Дополнительное замечание | примечание,Dodatna primětka | Dodatna zamětka | primětka,Додатна приметка | приметка,3,F10-1
representation,curriculum_algebra,representation,Block-Dreiecksform / Matrizendarstellung | Darstellung mit festem Nenner | Ergänzungsdarstellung | Ganzzahligkeit der Darstellung | Moduldarstellung | Nichtexistenz der expliziten Darstellung | Parameterdarstellung | Produktdarstellung | Rechtsdarstellung / Linksdarstellung | Zentrum / Darstellungen des Zentrums | absolut-irreduzible Darstellung | explizite Darstellung | kürzeste Darstellung | kürzeste Darstellungen | rationale Darstellung | reduzierte Darstellung | reziproke Darstellung; direkte Darstellung | triviale Darstellung,добуткове подання / подання у вигляді добутку | модульне подання | найкоротше подання | найкоротші подання,интегральность представления | кратчайшее представление | кратчайшие представления | модульное представление,absolutno ireducibilno predstavjenje | blokovo-trikutna forma / matrično predstavjenje | centar / predstavjenja centra | dopolnitelno predstavjenje,абсолутно иредуцибилно представјенье | блоково-трикутна форма / матрично представјенье | интегралност представьеньа | модулно представјење,19,"F10-0,F10-1,F10-2"
representation-module,noether_corpus,representation module,Darstellungsmoduln,модулі зображення,модули представлений,moduly predstavjenja,модулы представјеньа,1,F10-1
residue-class,curriculum_algebra,residue class,Gesamtheit aller / Gesamtheit der Restklassen | Restklasse | Restklasse / System der Restklassen | Restklassen | Restklassen / Restgruppen | Restklassen modulo p | Restklassen; Normierung der Restklassen; normiertes Polynom | Restsystem / Restklassenring / Restklassen | System der Restklassen / Komplement | endlich viele linear unabhängige Restklassen | linear unabhängige Modulbasis / Restklassen / Kongruenz,клас лишків | клас лишків / система класів лишків | класи лишків | система класів лишків / комплемент,класс вычетов | класс вычетов / система классов вычетов | классы вычетов | конечное число линейно независимых классов вычетов,cělokupnost | klasy ostatkov | klasy ostatkov / grupy ostatkov | klasy ostatkov; normovanje klasov ostatkov; normovany polinom,класы остатков | класы остатков / групы остатков | конечно много остатковых класов линеарно независных | линеарно независна модулна база / класы остатков / конгруенција,11,"F10-0,F10-1,F10-2,F10-3"
residue-class-field,curriculum_algebra,residue class field,Restklassenkörper | Restklassenring / Restklassenkörper | Restklassensystem / Restklassenkörper,поле класів лишків | система класів лишків / поле класів лишків,поле классов вычетов | система классов вычетов / поле классов вычетов,kolco klasov ostatkov / polje klasov ostatkov | polje ostatkovyh klasov | sistem ostatkovyh klasov / polje ostatkovyh klasov,колцо класов остатков / полье класов остатков | полье остатковых класов | систем остатковых класов / поље остатковых класов,3,"F10-0,F10-3"
resultant,noether_corpus,resultant,Resultante der Glieder höchster Dimension | homogene Resultante der Glieder höchster Dimension,однорідна результанта членів найвищого степеня | результант членів найвищої вимірності,однородная результанта членов наивысшей степени | результант членов наивысшей размерности,homogena rezultanta členov najvyššego stepena | rezultant členov najvyššej dimenzije,резултант членов највысшеј димензије | хомогена резултанта членов највышшего степена,2,F10-1
ring,curriculum_algebra,ring,"Automorphismenring | Dieselben Überlegungen gelten für den Multiplikationsring | Diskriminantenideale primärer Ringe | Erweiterungskörper / Erweiterungsring | Erweiterungsring | Es sollen daher vorerst Diskriminantenideale primärer Ringe betrachtet werden. | Halbeinfacher Ring | Hauptidealring | Hauptidealring / Ausgangsring | Homomorphiesatz für Ringe | Produktenring | Quotientenring | Restklassenbereich / Restklassenring | Restklassenring | Ringe endlichen Ranges | Ringe vom Rang eins | Zwischenring | echter Unterring | nicht-kommutativer Ringbereich / nicht-kommutativer Ring | nichtkommutative Ringe ... Sigma ... vertauschbar | primäre Ringe | primärer Ring | wie in §1, 2 als Ring gleichen Ranges definiert | zweiseitig unzerlegbare Ringe | äquivalenter Erweiterungskörper / Erweiterungsring",власне підкільце | двосторонньо нерозкладні кільця | кільце автоморфізмів | кільце добутку,двусторонне неразложимые кольца | кольцо автоморфизмов | кольцо произведения | кольцо частных,"Zato najprvo treba razsmotriti diskriminantne idealy primarnyh kolc. | definirano, kako v §1, 2, kako kolco togo samogo ranga | diskriminantne idealy primarnyh kolc | dvustranno nerazložime kolca","Зато најпрво треба разсмотрити дискриминантне идеалы примарных колц. | властно подколцо | двустранно неразложиме колца | дефинирано, како в §1, 2, како колцо того самого ранга",25,"F10-0,F10-1,F10-3"
simple,curriculum_algebra,simple,einfach | zweiseitig einfach,двобічно простий | проста група,двусторонне простой | простая группа,dvustranno prosty | prosta grupa,двустранно просты | проста група,2,F10-1
splitting-field,curriculum_algebra,splitting field,Zerfällungskörper | auflösbarer Zerfällungskörper | zerfällende Körper / Zerfällungskörper,поле розщеплення | розв'язне поле розщеплення,поле разложения | разрешимое поле разложения,polje razloženja | razpadne polja | rěšimo polje razloženja,,3,F10-0
splitting-form,noether_corpus,splitting form,zerfallen / zerfallende Form | zerfallen / zerfallende Formen | zerfallende Form | zerfallende Formen | zerfällt / zerfallende Form,"розкладатися / розкладна форма | розкладаються / розкладні форми | розкладається / розкладна форма | форми, що розкладаються",разлагается / разложимая форма | разлагаться / разложимая форма | разлагаются / разложимые формы | разлагающиеся формы,razklada se / razkladna forma | razkladajut se / razkladne formy | razkladati se / razkladna forma | razkladna forma,разклада се / разкладна форма | разкладати се / разкладна форма | разкладајут се / разкладне формы | разложиме формы,7,"F10-0,F10-1,F10-2"
substitution,noether_corpus,substitution,Kroneckersche Substitution | Substitution (35) | algebraisch-ganzzahlige Substitutionen / algebraische ganze Zahlen,підстановка (35) | підстановка Kronecker'а,подстановка (35) | подстановка Kronecker'а,Kroneckerova substitucija | algebraično-cěle substitucije / cěle algebraične čisla | substitucija (35),Кронецкерова субституција | субституција (35),3,"F10-0,F10-1"
theorem,proof_grammar,theorem,Damit ist der Satz bewiesen | Hilbertscher Satz von der Modulbasis | Jordan-Hölderscher Satz | Satz I | Satz VI / Satz VII | Satz X reference in Section12 | Satz XI / Satz XII | Satz von Lüroth / Castelnuovo / Enriques | Satz von Ostrowski | Satz von der Isomorphie | Satz von der endlichen Kette,Теорема I | теорема Ostrowski | теорема про скінченний ланцюг,Теорема I | теорема Ostrowski | теорема о конечной цепи,Hilbertov teorem o bazisu modula | Teorem VI / Teorem VII | Teorem XI / Teorem XII | Teorema I,Теорем ВИ / Теорем ВИИ | Теорем КсИ / Теорем КсИИ | Теорема I | Теорема Кс,11,"F10-0,F10-1"
trace,curriculum_algebra,trace,"Spur | Spur / Matrizendarstellung / konjugierte Elemente | Spur eines Elementes, genommen in bezug auf eine Klasse | in bezug auf die Hauptklasse genommene Spur",слід,след,"slěd | slěd / matrična predstavjenost / konjugovane elementy | slěd elementa, vzety vzhodno k klasu | slěd, vzety vzhodno k glavnomu klasu","след | след / матрична представјеност / конјуговане елементы | след елемента, взеты взходно к класу | след, взеты взходно к главному класу",4,"F10-0,F10-1,F10-4"
transformation-quantities,noether_corpus,transformation quantities,Transformationsgrößen,трансформаційні величини,трансформационные величины,transformacijne veličiny,,2,F10-1
transvection,noether_corpus,transvection,einmalige Überschiebung | Überschiebung,,,jednokratna transvekcija | jednorazovy prěnos | transvekcija,,3,F10-1
unit,curriculum_algebra,unit,Einheit aus [Omega] | Einheiten | Einheiten der Restgruppe / Rechnen mit Einheiten | Einheitsklasse / Einheit | Null / Einheit / eigentliche Integritätsbereiche | Ringe mit Einheitselement / Ring mit Einheit | teilerfremd-irreduzible Ideale in einem nicht-kommutativen Ring mit Einheit,взаємно-просто-нерозкладні ідеали в некомутативному кільці з одиницею | кільця з одиничним елементом / кільце з одиницею | нуль / одиниця / власні області цілісності | одиниця з [Omega],взаимно-просто-неразложимые идеалы в некоммутативном кольце с единицей | единица из [Omega] | кольца с единицей / кольцо с единицей | нуль / единица / собственные области целостности,jedinica iz [Omega] | jedinice | jedinice grupy ostatkov / računanje s jedinicami | jediničny klas / jedinica,взаимно-просто-неразлозиме идеалы в некомутативном колцу с јединицеју | колца с јединичным елементом / колцо с јединицо | нула / јединица / властне области целости | јединица из [Omega],7,"F10-1,F10-3"
unit-ideal,curriculum_algebra,unit ideal,Einheitsideal | Einheitsideal / Einheitselement | Einheitsideal / Nullideal / \frako | Einheitsideal D | größter gemeinsamer Teiler gleich dem Einheitsideal D=(epsilon) | keinen vom Einheitsideal verschiedenen echten Teiler besitzen,найбільший спільний дільник дорівнює одиничному ідеалу D=(ε) | одиничний ідеал / нульовий ідеал / \frako як одиничний ідеал | одиничний ідеал D,единичный идеал / нулевой идеал / \frako как единичный идеал | единичный идеал D | наибольший общий делитель равен единичному идеалу D=(ε),jediničny ideal | jediničny ideal / jediničny element | jediničny ideal / nulovy ideal / \frako kako jediničny ideal | jediničny ideal D,највечши обчи делитељ јест једнакы јединичному идеалу D=(ε) | не имајут никакого властного делителја разного од јединичного идеала | јединичны идеал | јединичны идеал / нуловы идеал / \frako како јединичны идеал,6,F10-1
well-ordering,curriculum_algebra,well-ordering,Konstruktion nach vorgegebener Wohlordnung | Wohlordnung | Wohlordnung / Wohlordnungssatz | Wohlordnung Omega prime,,,dobro uporjadkovanje | dobro uporjadkovanje / teorema o dobrom uporjadkovanju | dobro uporjadkovanje Omega prime | konstrukcija po zadannom dobrom uporjadkovanju,добро упорјадкованье | конструкција по заданном добром упорјадкованьу,4,F10-1
zero-divisor,curriculum_algebra,zero divisor,Erweiterungsring ohne Nullteiler von Z | Nullteiler | Restklassenring ohne Nullteiler / Nullteiler | Restklassensystem / Ring ohne Nullteiler | Ring ohne Nullteiler und mit Einheitselement | isomorphe Zuordnung / Nullklasse / Nullteiler,кільце класів лишків без дільників нуля / дільник нуля | система класів лишків / кільце без дільників нуля | ізоморфне співвіднесення / нульовий клас / дільники нуля,изоморфное сопоставление / нулевой класс / делители нуля | кольцо классов вычетов без делителей нуля / делитель нуля | система классов вычетов / кольцо без делителей нуля,izomorfna prirědba / nulovy klas / dělitelji nuly | kolco bez děliteljev nula i s jediničnym elementom | kolco klasov ostatkov bez děliteljev nuly / dělitelj nuly | nulovy dělitelj,изоморфна приредба / нуловы клас / делитељи нулы | колцо без делитељев нула и с јединичным елементом | нуловы делитель | разширјено колцо од Z без нуловых делительев,6,"F10-1,F10-3"
zero-ideal,curriculum_algebra,zero ideal,Nullideal / Einheitsideal | Nullideal / Primideal | vom Nullideal verschieden,нульовий ідеал / одиничний ідеал,нулевой идеал / единичный идеал,nulovy ideal / jediničny ideal | nulovy ideal / prosty ideal | različny od nulovogo ideala,нуловы идеал / просты идеал | нуловы идеал / јединичны идеал | различны од нулового идеала,3,F10-1
