"current_id","record_kind","source_layer","target_language_or_access_target","source_title_or_cluster","topic_tags","evidence_tier","source_type","row_count","url_or_path","sha256_or_hash","license_or_access_signal","source_level_tex_or_archive_count_or_flag","pdf_docx_text_fallback_count_or_flag","package_or_git_status","upload_policy","open_gap_or_action","non_claim_boundary"
"AR-CURRENT-027","artifact_index","20260705 Hindawi/Safahat structured text source probe","Arabic RTL","Arabic Hindawi/Safahat weak structured PDF/text fallback probe","Hindawi;Safahat;finite rings;finite fields;linear operations;matrix equations;weak structured text;Cloudflare/403 HTML blocker;EPUB blocker;TeX source-package gap","hindawi_structured_text_source_probe","csv","7","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_HINDAWI_STRUCTURED_TEXT_SOURCE_PROBE_20260705.csv","DFEA3E4B939DE51FFECB6B75E754B35D42B8096B7F783C7EF7C30948DA90050B","downloads.hindawi.org PDFs accessible by HTTP 200 application/pdf; Safahat/Hindawi chapter HTML and EPUB access blocked or forbidden from lane shell; PDF front matter records rights-reserved notices; no blanket license clearance","0 Arabic mathematical TeX/LaTeX/arXiv/e-print/source-package witnesses admitted in this pass","2 Arabic PDFs; 2 derived fulltext extracts; 2 EPUB blocker notes; 1 explicit source-package/gap row","B3/package steward owns staging and push; Arabic lane cached PDFs/text extracts/blocker notes and updated outputs only","metadata/hash/URL/path provenance only; raw source bodies not placed in outputs","Adds weak popular-math Arabic ring/field/matrix/linear vocabulary provenance but does not close direct source-package, invariant-theory, Artinian, ring-homomorphism, isomorphism, RTL layout, or native-review gaps","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-028","artifact_index","20260705 Damascus specialist ring/commutative-algebra source probe","Arabic RTL","Arabic Damascus University specialist ring and commutative-algebra publication probe","Damascus University;Prüfer ring;arithmetical ring;Artinian ring;Noetherian ring;Cayley-Hamilton;Nakayama;Krull dimension;commutative algebra;official journal PDF;TeX source-package gap","damascus_specialist_ring_matrix_source_probe","csv","8","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_DAMASCUS_SPECIALIST_RING_MATRIX_SOURCE_PROBE_20260705.csv","8D871382B9DD9BE1C79BD5F307AC13321061DB2CB6BBA74881D499CCCB7C11DB","Official Damascus University journal pages/PDFs accessible by HTTP 200; DC.Rights copyright signals recorded for 2021/2022; no blanket license clearance","0 Arabic mathematical TeX/LaTeX/arXiv/e-print/source-package witnesses admitted in this pass","2 official article pages; 2 official PDFs; 2 equivalent download endpoint probes; 2 first-5-page text extracts; 1 source-package/gap row","B3/package steward owns staging and push; Arabic lane cached official article pages/PDFs/extracts and updated outputs only","metadata/hash/URL/path provenance only; raw source bodies not placed in outputs","Strengthens specialist Arabic ring/Artinian/Noetherian/commutative-algebra provenance and verifies two R3 PDF hashes, but does not close source-package, invariant-theory, term-approval, RTL-layout, or native-review gaps","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-029","artifact_index","20260705 Fezzan/Shamra matrix-invariant source probe","Arabic RTL","Arabic Fezzan matrix-product publication and Shamra invariant-theory metadata probe","Fezzan University;circulant matrices;Kronecker;Hadamard;Noetherian;Artinian;Hilbert basis;Lasker-Noether;Shamra;invariance;invariant theory;live drift;download blocker;TeX source-package gap","fezzan_shamra_matrix_invariant_source_probe","csv","9","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_FEZZAN_SHAMRA_MATRIX_INVARIANT_SOURCE_PROBE_20260705.csv","6797FAB8FF6CA054335BAA7A5968A41603EEEE9C86C6EF7D637A4208382DBE75","Fezzan official article/PDF and public rights file accessible by HTTP 200; Shamra HTML accessible but drifted from R3 expected hash and download/source body blocked; no blanket license clearance","0 Arabic mathematical TeX/LaTeX/arXiv/e-print/source-package witnesses admitted in this pass","1 official Fezzan article page; 1 Fezzan PDF with exact R3 hash match plus equivalent endpoint; 1 Fezzan text extract; 1 public rights PDF signal; 1 drifted Shamra metadata page; 2 Shamra blocker probes; 1 gap row","B3/package steward owns staging and push; Arabic lane cached Fezzan/Shamra evidence and updated outputs only","metadata/hash/URL/path provenance only; raw source bodies not placed in outputs","Strengthens adjacent Arabic matrix/ring/Noetherian/Artinian provenance; records Shamra invariant-theory live drift and source-body blockers; does not close source-package or specialist invariant-theory source-body gaps","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-030","artifact_index","20260705 homomorphism/isomorphism source probe","Arabic RTL","Arabic homomorphism/isomorphism/module/ring provenance probe","Damascus University;module homomorphism;module isomorphism;finite group representation;ENS Kouba;ring isomorphism;SyriaMath;ring homomorphism;SVU;group morphism;isomorphism;Yarmouk blocker;TeX source-package gap","homomorphism_isomorphism_source_probe","csv","9","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_HOMOMORPHISM_ISOMORPHISM_SOURCE_PROBE_20260705.csv","E9C430380A1C18B212274A1B7AD34C8297CDBA1850BA979272B549855008C9C4","Damascus official page/PDF, ENS Kouba PDF, SyriaMath PDF, and SVU PDF accessible by HTTP 200; Yarmouk candidate blocked; no blanket license clearance","0 Arabic mathematical TeX/LaTeX/arXiv/e-print/source-package witnesses admitted in this pass","1 official Damascus article page; 1 official Damascus PDF plus equivalent endpoint; 4 textcheck extracts; 3 additional PDF fallbacks; 1 Yarmouk blocker; 1 explicit source-package/gap row","B3/package steward owns staging and push; Arabic lane cached homomorphism/isomorphism evidence and updated outputs only","metadata/hash/URL/path provenance only; raw source bodies not placed in outputs","Strengthens direct Arabic module/ring/group homomorphism and isomorphism provenance, but does not close source-package, term-approval, RTL-layout, license-clearance, or native-review gaps","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-031","artifact_index","20260705 Arabic source-archive recheck","Arabic RTL","Arabic TeX/arXiv/GitHub source-archive gap recheck","arXiv zero results;GitHub code-search auth blocker;GitHub repository zero results;TeX gap;LaTeX gap;e-print gap;source archive gap;homomorphism;invariant theory;Noetherian;Artinian;linear algebra","source_archive_recheck","csv","8","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_ARCHIVE_RECHECK_20260705.csv","729BD9D4E20A4C54DC4C917D72B61826AB76775777EE0F56B4A896797E386242","arXiv API accessible with zero results for bounded Arabic queries; GitHub repository search zero results; GitHub code search returned 401 Unauthorized; no license clearance","0 Arabic mathematical TeX/LaTeX/arXiv/e-print/source-package witnesses admitted in this pass","4 arXiv API zero-result XML payloads; 4 GitHub code-search blocker files; 2 GitHub repository zero-result JSON payloads; 1 explicit source-archive/gap row","B3/package steward owns staging and push; Arabic lane cached API results/blockers and updated outputs only","metadata/hash/URL/path provenance only; raw source bodies not placed in outputs","Refreshes direct source-archive gap evidence; does not prove absence outside bounded queries and does not close authenticated GitHub code-search gap","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-032","artifact_index","20260705 invariant source-body recheck","Arabic RTL","Arabic invariant-theory source-body gap/drift recheck","invariant theory;Shamra live drift;Almanhal empty payload;ResearchGate blocker;English exclusion;source-body gap;TeX source-package gap","invariant_source_body_recheck","csv","7","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_INVARIANT_SOURCE_BODY_RECHECK_20260705.csv","110EC16D92FA7BBF6E4410528C5988A3D36D9CEDD1FB100093EFC495E6D7F9ED","Shamra public HTML accessible but live-drifted and login-bound for source body; Almanhal cached as empty payload; ResearchGate returned 403 and is non-Arabic; no license clearance","0 Arabic mathematical TeX/LaTeX/arXiv/e-print/source-package witnesses admitted in this pass","1 drifted Shamra metadata HTML cache; 1 empty Almanhal payload; 1 ResearchGate 403 blocker note; 1 explicit invariant source-body gap row","B3/package steward owns staging and push; Arabic lane cached HTML/blockers and updated outputs only","metadata/hash/URL/path provenance only; raw source bodies not placed in outputs","Tightens Arabic invariant-theory gap ledger; does not close specialist invariant-theory source-body/source-package gap from weak metadata, empty payloads, English PDFs, or neighboring script materials","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-033","artifact_index","20260705 ring homomorphism curriculum source probe","Arabic RTL","Arabic official ring/homomorphism curriculum PDF and blocker probe","ring homomorphism;ring isomorphism;تشاكل حلقي;تماثل حلقات;نواة التشاكل;ideals;fields;official curriculum PDFs;SVU login blocker;Yarmouk timeout;Tripoli 522;TeX source-package gap","ring_homomorphism_curriculum_source_probe","csv","11","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_RING_HOMOMORPHISM_CURRICULUM_SOURCE_PROBE_20260705.csv","A8DCF50F78226A892CD551E7F1D955E71A72F5FA95ABA60B8DF5CC854E57A2DD","Majmaah, ENS Ouargla, and Anbar official PDF endpoints returned HTTP 200 application/pdf; SVU redirected to Moodle login HTML; Yarmouk timed out; Tripoli returned/fetched as blocker; no license clearance","0 Arabic mathematical TeX/LaTeX/arXiv/e-print/source-package witnesses admitted in this pass","3 official Arabic curriculum/program PDFs; 3 derived textcheck extracts; 1 SVU login HTML blocker; 2 blocker notes; headers/error files cached under sources","B3/package steward owns staging and push; Arabic lane cached PDFs/textchecks/headers/blockers and updated outputs only","metadata/hash/URL/path provenance only; raw source bodies not placed in outputs","Strengthens official Arabic ring homomorphism/isomorphism/kernel/ideal/field curriculum provenance; does not close TeX/source-package, license-clearance, native-review, or layout-safe RTL evidence gaps","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-034","artifact_index","20260705 Artinian/Noetherian chain-condition source probe","Arabic RTL","Arabic Artinian/Noetherian module and chain-condition PDF/DOC/metadata probe","Artinian;Noetherian;آرتيني;نوثري;chain condition;ascending chain;descending chain;modules;KSU DOC metadata;SyriaMath PDF;AlFreed rights-blocked metadata;TeX source-package gap","artinian_noetherian_chain_source_probe","csv","9","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_ARTINIAN_NOETHERIAN_CHAIN_SOURCE_PROBE_20260705.csv","B3C08B11450BD4C9FF1A879505D65FDD890DFACEF365536B06DDB976BE4D2071","SyriaMath PDF endpoint returned HTTP 200 application/pdf; KSU official DOC fetched but extraction did not recover Arabic body text; AlFreed HTML explicitly blocks book reading/download; no license clearance","0 Arabic mathematical TeX/LaTeX/arXiv/e-print/source-package witnesses admitted in this pass","1 weak public SyriaMath PDF body; 1 derived textcheck extract; 1 official KSU DOC metadata/hash row plus extraction caveats; 1 rights-blocked book metadata HTML; 1 duplicate Damascus note; 1 explicit gap row","B3/package steward owns staging and push; Arabic lane cached PDF/DOC/HTML/textchecks/headers/extraction caveats and updated outputs only","metadata/hash/URL/path provenance only; raw source bodies not placed in outputs","Strengthens direct Arabic Artinian/Noetherian module and chain-condition fallback provenance; does not close TeX/source-package, stronger official source-body, license-clearance, native-review, or layout-safe RTL gaps","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-035","artifact_index","20260705 Arabic sufficiency translation transition","Arabic RTL","Arabic source-canon sufficiency-to-draft transition addendum for six active rows","source-canon sufficiency;draft translation review scaffold;algebra;field;ring;Artinian;homomorphism;isomorphism;RTL formula notes;invariant theory gap","sufficiency_transition_draft_review_scaffold","csv","9","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.csv","AFA7DCB13CE3751AD7BDDC1CBCE0AB4F08E13D43A103307E09CAF117DBA4500D","Derived from repository-visible sufficiency rule and current Arabic source-canon rollup; no new source payloads and no license clearance","0 new Arabic mathematical TeX/LaTeX/arXiv/e-print/source-package witnesses admitted in this pass","No new raw source bodies; references existing Arabic source-canon rows through AR-CURRENT-034 and existing 20260704 draft sidecars","B3/package steward owns staging and push; Arabic lane created transition sidecars and updated outputs only","metadata/hash/provenance plus draft-review scaffolding only; raw source bodies not placed in outputs","Enables scoped draft review work for six covered active rows; keeps specialist invariant/covariant/direct-TeX and license/RTL QA gaps acquisition-only","Draft/non-canonical transition addendum only; no term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, package claim, or Git push"
"AR-CURRENT-036","artifact_index","20260705 Arabic GitHub governance response","Arabic RTL","Arabic single-thread GitHub instruction-bus governance response","GitHub instruction bus;open-machine coordination;source-canon-first;B3-only publication;sufficiency transition;covered rows;gap rows;package boundary","github_governance_response","csv","9","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_GITHUB_GOVERNANCE_RESPONSE_20260705.csv","2080B477903B195D2CB66BD362363B032929A2F00DC698C29BC003531B836EF0","Derived from GitHub-tracked instruction files and local ledgers; no new source payloads and no license clearance","0 new Arabic mathematical TeX/LaTeX/arXiv/e-print/source-package witnesses admitted in this pass","No new raw source bodies; records instruction hashes, parent/B3 state, cross-lane shelf check, Arabic covered/gap split, and safety boundaries","B3/package steward owns staging and push; Arabic lane created governance sidecars and updated outputs only","metadata/hash/provenance/governance response only; raw source bodies not placed in outputs","Aligns Arabic lane to single-thread GitHub governance and preserves covered-row draft support plus acquisition-only gap rows","Draft governance/provenance response only; no term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, package claim, or Git push"
