decision_id,record_revision,supersedes,component_id,source_unit_record_id,evidence_class,authority_role,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,source_locator,target_locator,source_term_or_delta,chosen_english_or_action,normalization_class,beneficial_convention,adverse_delta,rejected_alternative,rationale,decision,status,confidence,cross_references,continuation_cursor,review_state,closure_id
SGA2-V-CUM-TERM-0039,1,,SGA2-V-C03,SGA2-V2-TERM-006,terminology_normalization_adverse_choice,corrected_french_tex_plus_comparison_control,1872-1894,64-65,58,50,French lines1872-1894; printed64-65; physical58,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: target TeX lines24-75,homomorphisme de delta-foncteurs,homomorphism of delta-functors,homological_algebra_register,,none,map between delta functors,preserves source categorical claim,retain independently reviewed bounded choice,accepted_and_independently_reviewed,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0040,1,,SGA2-V-C03,SGA2-V2-TERM-007,terminology_normalization_adverse_choice,corrected_french_tex_plus_comparison_control,1872-1894,64-65,58,50,French lines1872-1894; printed64-65; physical58,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: target TeX lines24-75,limite inductive,direct limit rendered by varinjlim,semantic_TeX,,candidate uses invalid lim-to rendering,candidate backslash-lim backslash-to,semantic TeX and standard English,retain independently reviewed bounded choice,accepted_and_independently_reviewed,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0041,1,,SGA2-V-C03,SGA2-V2-TERM-008,terminology_normalization_adverse_choice,corrected_french_tex_plus_comparison_control,1872-1894,64-65,58,50,French lines1872-1894; printed64-65; physical58,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: target TeX lines24-75,varphi_k and varphi,preserve source varphi glyphs,symbol_preservation,,candidate normalizes to phi,phi_k and phi,preserve exact source symbol identity,retain independently reviewed bounded choice,accepted_and_independently_reviewed,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0042,1,,SGA2-V-C03,SGA2-V2-TERM-009,terminology_normalization_adverse_choice,corrected_french_tex_plus_comparison_control,1872-1894,64-65,58,50,French lines1872-1894; printed64-65; physical58,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: target TeX lines24-75,deuxieme membre and premier membre,right-hand side and left-hand side,formula_reference_register,,none,second member and first member,idiomatic mathematical English,retain independently reviewed bounded choice,accepted_and_independently_reviewed,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0043,1,,SGA2-V-C03,SGA2-V2-TERM-010,terminology_normalization_adverse_choice,corrected_french_tex_plus_comparison_control,1872-1894,64-65,58,50,French lines1872-1894; printed64-65; physical58,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: target TeX lines24-75,Theoreme des syzygies,syzygy theorem,standard_theorem_name,,none,theorem of syzygies,standard concise English,retain independently reviewed bounded choice,accepted_and_independently_reviewed,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0044,1,,SGA2-V-C03,SGA2-V2-TERM-011,terminology_normalization_adverse_choice,corrected_french_tex_plus_comparison_control,1872-1894,64-65,58,50,French lines1872-1894; printed64-65; physical58,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: target TeX lines24-75,exact a droite,right exact,homological_algebra_register,,none,exact on the right,standard English,retain independently reviewed bounded choice,accepted_and_independently_reviewed,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0045,1,,SGA2-V-C03,SGA2-V2-TERM-012,terminology_normalization_adverse_choice,corrected_french_tex_plus_comparison_control,1872-1894,64-65,58,50,French lines1872-1894; printed64-65; physical58,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: target TeX lines24-75,recurrence descendante,descending induction,proof_register,,none,downward recurrence,standard mathematical English,retain independently reviewed bounded choice,accepted_and_independently_reviewed,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0046,1,,SGA2-V-C03,SGA2-V2-TERM-013,terminology_normalization_adverse_choice,corrected_french_tex_plus_comparison_control,1872-1894,64-65,58,50,French lines1872-1894; printed64-65; physical58,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: target TeX lines24-75,prof(A)=r,retain formula symbol prof(A)=r; use depth in prose,notation_preservation_with_prose_normalization,,source symbol remains French-derived,silently replace symbol with depth(A),preserve notation while maintaining English terminology policy,retain independently reviewed bounded choice,accepted_and_independently_reviewed,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0047,1,,SGA2-V-C03,SGA2-V2-TERM-014,terminology_normalization_adverse_choice,corrected_french_tex_plus_comparison_control,1872-1894,64-65,58,50,French lines1872-1894; printed64-65; physical58,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: target TeX lines24-75,candidate comment original page51,reject as original-print locator; record printed64-65 physical58 running50,pagination_adverse_delta,,candidate conflates or mislabels page system,reuse candidate page comment,direct source page inspection controls locators,retain independently reviewed bounded choice,accepted_and_independently_reviewed,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0048,1,,SGA2-V-C03,SGA2-V2-TERM-015,terminology_normalization_adverse_choice,corrected_french_tex_plus_comparison_control,1872-1894,64-65,58,50,French lines1872-1894; printed64-65; physical58,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: target TeX lines24-75,source inline H definition,display-only target reflow with identical symbols,layout_only_reflow,,line breaking differs without content change,force crowded inline copy,legibility without mathematical change,retain independently reviewed bounded choice,accepted_and_independently_reviewed,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0049,1,,SGA2-V-C04,SGA2-V31OPEN-TERM-001,terminology,corrected_french_tex,1896-1919,65-66,58-59,50-51,French line1896,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: TeX line22,application a la structure,application to the structure,source_title_preservation,,none,application for the structure,idiomatic mathematical English while preserving title sense,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0050,1,,SGA2-V-C04,SGA2-V31OPEN-TERM-002,terminology,corrected_french_tex,1896-1919,65-66,58-59,50-51,French line1900,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: TeX line25,anneau local noetherien,Noetherian local ring,standard_commutative_algebra,,none,noetherian local ring,standard eponym capitalization in English,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0051,1,,SGA2-V-C04,SGA2-V31OPEN-TERM-003,terminology,corrected_french_tex,1896-1919,65-66,58-59,50-51,French line1900,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: TeX line25,foncteur dualisant,dualizing functor,SGA_wide_duality_term,,none,duality functor,distinguishes the designated dualizing functor,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0052,1,,SGA2-V-C04,SGA2-V31OPEN-TERM-004,terminology,corrected_french_tex,1896-1919,65-66,58-59,50-51,French line1900,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: TeX line26,module de type fini,finitely generated module,standard_algebra_english,,none,module of finite type,established English module terminology,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0053,1,,SGA2-V-C04,SGA2-V31OPEN-TERM-005,terminology,corrected_french_tex,1896-1919,65-66,58-59,50-51,French line1905,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: TeX line32,de dimension inferieure ou egale a i,of dimension at most i,US_mathematical_register,,none,of dimension less than or equal to i,compact idiomatic English with unchanged inequality,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0054,1,,SGA2-V-C04,SGA2-V31OPEN-TERM-006,terminology,corrected_french_tex,1896-1919,65-66,58-59,50-51,French line1907,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: TeX lines37-38,Ass,associated-prime operator Ass,notation_preservation,,none,associated primes written out inside formula,preserves source operator and theorem equality,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0055,1,,SGA2-V-C04,SGA2-V31OPEN-TERM-007,terminology,corrected_french_tex,1896-1919,65-66,58-59,50-51,French line1912,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: TeX line44,module dualisant associe,dualizing module associated with D,SGA_wide_duality_term,,none,canonical module,source states association and does not introduce canonical-module terminology,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0056,1,,SGA2-V-C04,SGA2-V31OPEN-TERM-008,terminology,corrected_french_tex,1896-1919,65-66,58-59,50-51,French line1919,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: TeX lines51-52,theoreme de Cohen,Cohen's theorem,eponym_possessive_US_register,,none,a theorem of Cohen,normal English mathematical register without changing attribution,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0057,1,,SGA2-V-C04,SGA2-V31OPEN-TERM-009,terminology,corrected_french_tex,1896-1919,65-66,58-59,50-51,French line1919,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: TeX line52,quotient d'un anneau local regulier,quotient of a regular local ring,standard_commutative_algebra,,none,factor ring from a regular local ring,standard English phrase and exact source relation,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0058,1,,SGA2-V-C04,SGA2-V31OPEN-TERM-010,adverse_choice,comparison_only_not_authority,1896-1919,65-66,58-59,50-51,jcreinhold e7a Expose V around Theorem 3.1,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: DRAFT_SOURCE_AUDIT coordinate section,original page 51 comparison comment,reject as original-page locator,coordinate_system_separation,,candidate conflates recomposed running page51 with printed page66,inherit candidate page comment,direct PDF content shows physical59 recomposed51 printed66,retain independently reviewed bounded choice,rejected_comparison_delta,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0059,1,,SGA2-V-C04,SGA2-V31OPEN-DEC-011,independent_terminology_register_review,corrected_french_tex_primary_comparison_candidate_secondary,1896-1919,65-66,58-59,50-51,French TeX lines1896-1919 and direct physical pages58-59,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: English TeX lines22-53 and INDEPENDENT_REVIEW_SEAL_20260718.md,complete bounded terminology notation register and adverse-choice set,retain all ten recorded terminology normalization adverse and rejected choices without lexical revision,independent_register_no_change,,no English-body delta; review-state banner now records passed independent review,replace accurate source-controlled wording to create a cosmetic review delta or promote comparison-only notation,every term and notation choice was rechecked against the corrected French authority and direct pages; no beneficial correction was found,retain independently reviewed bounded choice,independent_register_review_passed_not_cumulative_not_public,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0060,1,,SGA2-V-C05,SGA2-V32-TERM-001,terminology,corrected_french_tex,1921-1951,66-67,59,51,French line1922,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: TeX line23,espace annele,ringed space,standard_algebraic_geometry,,none,ringed topological space,standard SGA English term,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0061,1,,SGA2-V-C05,SGA2-V32-TERM-002,terminology,corrected_french_tex,1921-1951,66-67,59,51,French line1922,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: TeX lines23-24,sous-espace ferme,closed subspace,standard_topology,,none,closed subset,source specifies subspaces carrying induced ringed structure,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0062,1,,SGA2-V-C05,SGA2-V32-TERM-003,terminology,corrected_french_tex,1921-1951,66-67,59,51,French line1922,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: TeX line26,O_X-Module,O_X-module,SGA_module_register,,none,sheaf over O_X,retains source module terminology and structure-sheaf symbol,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0063,1,,SGA2-V-C05,SGA2-V32-TERM-004,terminology,corrected_french_tex,1921-1951,66-67,59,51,French line1922,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: TeX lines27-28,anneau Gamma(O_X),ring of global sections Gamma(O_X),standard_sheaf_language,,none,coordinate ring,source makes no affineness or coordinate-ring claim,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0064,1,,SGA2-V-C05,SGA2-V32-TERM-005,terminology,corrected_french_tex,1921-1951,66-67,59,51,French lines1922-1923,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: TeX lines29-32,suite spectrale de terme initial,spectral sequence with initial term,spectral_sequence_register,,none,spectral sequence starting at page2,source calls E2 the initial term without an editorial page convention,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0065,1,,SGA2-V-C05,SGA2-V32-TERM-006,terminology,corrected_french_tex,1921-1951,66-67,59,51,French line1925,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: TeX line34,aboutissant,converging to,spectral_sequence_register,,none,abutting upon,idiomatic modern English with unchanged mathematical relation,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0066,1,,SGA2-V-C05,SGA2-V32-TERM-007,terminology,corrected_french_tex,1921-1951,66-67,59,51,French line1929,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: TeX line40,prolonge par 0,extended by zero,standard_sheaf_language,,none,continued by zero,established English functorial terminology,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0067,1,,SGA2-V-C05,SGA2-V32-TERM-008,terminology,corrected_french_tex,1921-1951,66-67,59,51,French lines1935-1936,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: TeX lines51-52,Module injectif,injective module,standard_homological_algebra,,none,injective sheaf,source formulates module categories over structure sheaves,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0068,1,,SGA2-V-C05,SGA2-V32-TERM-009,terminology,corrected_french_tex,1921-1951,66-67,59,51,French lines1937-1938,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: TeX lines53-54,faisceaux d'anneaux constants Z,constant sheaves of rings Z,source_register_preservation,,none,constant sheaf Z,source plural refers to replacing several structure sheaves,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0069,1,,SGA2-V-C05,SGA2-V32-TERM-010,terminology,corrected_french_tex,1921-1951,66-67,59,51,French line1939,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: TeX lines54-57,foncteur compose,composite functor,standard_category_language,,none,composed functor,idiomatic English term,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0070,1,,SGA2-V-C05,SGA2-V32-TERM-011,notation_adverse_choice,comparison_only_not_authority,1921-1951,66-67,59,51,jcreinhold e7a candidate equation15,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: TeX line32,R^g f_*(F),reject g and retain source q,source_symbol_preservation,,candidate changes spectral-sequence index,adopt candidate R^g,corrected TeX and direct PDF both use q,retain independently reviewed bounded choice,rejected_comparison_delta,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0071,1,,SGA2-V-C05,SGA2-V32-TERM-012,coordinate_adverse_choice,comparison_only_not_authority,1921-1951,66-67,59,51,jcreinhold e7a around Lemma3.2,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: authority box lines17-20,candidate original-page comments,reject candidate page labels and retain printed66-67 physical59 recomposed51,coordinate_system_separation,,candidate comments do not distinguish simultaneous pagination,inherit candidate comments,direct PDF content and printed margin markers control coordinates,retain independently reviewed bounded choice,rejected_comparison_delta,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0072,1,,SGA2-V-C05,SGA2-V32-TERM-REVIEW-001,independent_terminology_adverse_choice_review,corrected_french_tex_plus_direct_compiled_pdf,1921-1951,66-67,59,51,French lines1921-1951; physical59,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: target TeX lines22-69,complete bounded terminology and adverse-choice set,retain all twelve recorded choices and rejections,independent_review_closure,,none,normalize the source argument or adopt candidate notation,direct source review confirmed the chosen English and every rejected adverse delta,retain independently reviewed bounded choice,accepted_and_independently_reviewed,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0073,1,,SGA2-V-C06,SGA2-V3-RING-TERM-001,terminology,corrected_french_tex,1953-1967,67,59-60,51-52,French line1953,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 447-478; component SGA2-V-C06; inherited locator: TeX line21,homomorphisme d'anneaux locaux surjectif,surjective homomorphism of local rings,standard_commutative_algebra,,none,onto homomorphism between local rings,standard SGA English register,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0074,1,,SGA2-V-C06,SGA2-V3-RING-TERM-002,terminology,corrected_french_tex,1953-1967,67,59-60,51-52,French lines1954-1955,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 447-478; component SGA2-V-C06; inherited locator: TeX lines22-25,morphisme de schemas affines correspondant,corresponding morphism of affine schemes,standard_algebraic_geometry,,none,associated affine map,preserves source relation and scheme category,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0075,1,,SGA2-V-C06,SGA2-V3-RING-TERM-003,terminology,corrected_french_tex,1953-1967,67,59-60,51-52,French line1955,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 447-478; component SGA2-V-C06; inherited locator: TeX lines26-27,respectivement,respectively,SGA_register,,none,resp.,spell out in prose while preserving pairing,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0076,1,,SGA2-V-C06,SGA2-V3-RING-TERM-004,terminology,corrected_french_tex,1953-1967,67,59-60,51-52,French line1955,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 447-478; component SGA2-V-C06; inherited locator: TeX line28,O_X-Module correspondant,corresponding O_X-module,sheaf_module_register,,none,associated sheaf,retains source module language and structure-sheaf symbol,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0077,1,,SGA2-V-C06,SGA2-V3-RING-TERM-005,terminology,corrected_french_tex,1953-1967,67,59-60,51-52,French line1955,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 447-478; component SGA2-V-C06; inherited locator: TeX lines29-30,la suite spectrale degenere,the spectral sequence degenerates,standard_homological_algebra,,none,the spectral sequence collapses,source and shared register use degenerates,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0078,1,,SGA2-V-C06,SGA2-V3-RING-TERM-006,terminology,corrected_french_tex,1953-1967,67,59-60,51-52,French lines1955 and1958,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 447-478; component SGA2-V-C06; inherited locator: TeX lines30 and36,isomorphisme de B-modules,isomorphism of B-modules,standard_algebra,,none,B-linear isomorphism,preserves source category wording,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
