alignment_id,record_revision,supersedes,component_id,source_unit_record_id,evidence_class,authority_role,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,source_locator,target_locator,coverage_status,decision,status,confidence,adverse_delta,rejected_alternative,cross_references,continuation_cursor,review_state,closure_id
SGA2-V-CUM-ALN-0038,1,,SGA2-V-C04,SGA2-V31OPEN-ALN-005,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1913-1917,65,58-59,50-51,corrected French TeX lines 1913-1917,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: three completion identities,complete,preserve every completion hat argument equality and dimension,production_formula_comparison_passed_independent_review_pending,high,none,inherit flattened Markdown notation,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0039,1,,SGA2-V-C04,SGA2-V31OPEN-ALN-006-R2,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1919,66,58-59,50-51,corrected French TeX lines 1919,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: completion and Cohen reduction,complete,preserve printed-page transition and stop before Lemma 3.2,production_source_comparison_passed_independent_review_pending,high,none,close the proof with a QED symbol,OUTBOUND:SGA2-V-LEMMA-3-2,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0040,1,,SGA2-V-C04,SGA2-V31OPEN-ALN-006-R1,source_alignment_revision,corrected_french_tex_plus_direct_compiled_pdf,1919,66,58-59,50-51,corrected French TeX lines 1919,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: first target build proof boundary,failed,initially closed a proof environment and printed a false QED symbol,superseded_failed_draft,high,false_QED_symbol,retain amsthm automatic proof closure,OUTBOUND:SGA2-V-LEMMA-3-2,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0041,1,,SGA2-V-C04,SGA2-V31OPEN-ALN-007,source_alignment_coverage,direct_compiled_french_pdf,1896-1919,65-66,58-59,50-51,corrected French TeX lines 1896-1919,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: source and target renders,complete,directly match both authority pages and visually inspect the complete target page,production_visual_check_passed_independent_review_pending,high,none,use candidate page comments as original pagination,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0042,1,,SGA2-V-C04,SGA2-V31OPEN-ALN-006-R3,source_alignment_revision,corrected_french_tex_plus_direct_compiled_pdf,1919,66,58-59,50-51,corrected French TeX lines 1919,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: exact page66 transition after Consequently and continuing proof,complete,place the printed-page66 locator at the exact pageoriginale token position and stop before Lemma 3.2 without QED,production_locator_correction_rebuild_pending,high,prior locator followed the complete sentence,leave locator at sentence boundary,OUTBOUND:SGA2-V-LEMMA-3-2,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0043,1,,SGA2-V-C04,SGA2-V31OPEN-ALN-010,independent_source_alignment_review,corrected_french_tex_plus_direct_compiled_pdf_independently_audited,1896-1919,65-66,58-59,50-51,corrected French TeX lines 1896-1919,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: complete TeX body plus review-state banner and independent review receipt,complete_independent_review_pass,accept every source-aligned sentence formula branch heading proof boundary and locator; revise only stale review-state wording,bounded_independent_review_passed_not_cumulative_not_public,high,no English mathematical-body delta; review-state banner only,manufacture stylistic changes or retain an independent-review-pending banner after review passed,SGA2-V31OPEN-THM|SGA2-V31OPEN-PROOF-SETUP|SGA2-V31OPEN-COMP|SGA2-V31OPEN-REDUCE|SGA2-V31OPEN-QA,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0044,1,,SGA2-V-C05,SGA2-V32-ALN-001,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1921-1951,66-67,59,51,corrected French TeX lines 1921-1951,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: complete target body after authority box,complete,cover Lemma3.2 statement proof equations15-17 composite spectral sequence citation and proof close; exclude line1953 onward,production_draft_machine_evidence_in_progress,high,none,extend into the change-of-rings paragraph,OUTBOUND:SGA2-V-LINE1953,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0045,1,,SGA2-V-C05,SGA2-V32-ALN-002,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1921-1922,66,59,51,corrected French TeX lines 1921-1922,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: Lemma3.2 hypotheses and ring maps,complete,preserve ringed spaces closed subspaces inverse image module global-section rings and distinct bar-f ring map,production_source_comparison_passed_independent_review_pending,high,none,collapse f and bar f into one notation,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0046,1,,SGA2-V-C05,SGA2-V32-ALN-003,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1922-1926,66,59,51,corrected French TeX lines 1922-1926,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: equation15 and abutment,complete,preserve p q Y-prime R^q direct image F bullet abutment and bar-f restriction,production_formula_comparison_passed_independent_review_pending,high,candidate prints R^g,adopt candidate superscript g,OUTBOUND:SGA2-I-2-3-BIS,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0047,1,,SGA2-V-C05,SGA2-V32-ALN-004,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1928-1931,66,59,51,corrected French TeX lines 1928-1931,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: proof sheaf definition and equation16,complete,preserve restriction extension by zero Hom direct/inverse image and bar-f subscript,production_formula_comparison_passed_independent_review_pending,high,none,flatten f-star variance,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0048,1,,SGA2-V-C05,SGA2-V32-ALN-005,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1932-1934,66,59,51,corrected French TeX lines 1932-1934,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: equation17,complete,preserve inverse-image equality between supported structure sheaves,production_formula_comparison_passed_independent_review_pending,high,none,omit as routine,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0049,1,,SGA2-V-C05,SGA2-V32-ALN-006,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1935-1938,66,59,51,corrected French TeX lines 1935-1938,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: injectivity and flat-reduction paragraph,complete,preserve the unusual but unambiguous flat-case reduction and constant sheaves of rings Z,production_source_comparison_passed_independent_review_pending,high,source argument is mathematically terse,rationalize or silently replace the reduction,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0050,1,,SGA2-V-C05,SGA2-V32-ALN-007,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1939-1948,66,59,51,corrected French TeX lines 1939-1948,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: composite functor initial term and abutment,complete,preserve Hom composite E2 Ext semicolon R^q references16-17 bullet degree and bar-f subscript,production_formula_comparison_passed_independent_review_pending,high,candidate again prints R^g,adopt candidate superscript g,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0051,1,,SGA2-V-C05,SGA2-V32-ALN-008,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1950-1951,67,59,51,corrected French TeX lines 1950-1951,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: citation page marker and proof close,complete,select current corrected Expose I Proposition2.3 bis reference place printed67 after then and close proof,production_source_comparison_passed_independent_review_pending,high,original branch reference differs,inherit obsolete branch or candidate page comment,OUTBOUND:SGA2-I-2-3-BIS,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0052,1,,SGA2-V-C05,SGA2-V32-ALN-009,render_alignment,direct_compiled_french_pdf,1921-1951,66-67,59,51,corrected French TeX lines 1921-1951,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: source-physical-059.png and target-page-1.png,complete,inspect direct 200dpi source page and complete 180dpi target page,production_visual_check_passed_independent_review_pending,high,none,compile-only acceptance,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0053,1,,SGA2-V-C05,SGA2-V32-ALN-REVIEW-001,independent_review_closure,corrected_french_tex_plus_direct_compiled_pdf,1921-1951,66-67,59,51,corrected French TeX lines 1921-1951,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 396-443; component SGA2-V-C05; inherited locator: complete final bounded target body,complete,independently re-read every sentence formula map reference page transition and proof boundary against both authorities,independently_source_reviewed_sealed_bounded_unit,high,none,infer agreement from the comparison lineage,SGA2-V32-HYP|SGA2-V32-SS15|SGA2-V32-SHEAF|SGA2-V32-EQ17|SGA2-V32-FLAT|SGA2-V32-COMP|SGA2-V32-CITE|SGA2-V32-QA,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0054,1,,SGA2-V-C06,SGA2-V3-RING-ALN-001,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1953-1967,67,59-60,51-52,corrected French TeX lines 1953-1967,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 447-478; component SGA2-V-C06; inherited locator: complete target body after authority box,complete,cover the full change-of-rings reduction through regularity assumption and exclude line1969 onward,production_draft_machine_evidence_in_progress,high,none,extend into equation22,OUTBOUND:SGA2-V-LINE1969,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0055,1,,SGA2-V-C06,SGA2-V3-RING-ALN-002,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1953-1955,67,59-60,51-52,corrected French TeX lines 1953-1955,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 447-478; component SGA2-V-C06; inherited locator: opening maps spaces and module,complete,preserve surjective B-to-A ring map contravariant SpecA-to-SpecB map closed points and tilde module,production_source_comparison_passed_independent_review_pending,high,source deliberately overloads f,use different unrecorded map symbols,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0056,1,,SGA2-V-C06,SGA2-V3-RING-ALN-003,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1955,67,59-60,51-52,corrected French TeX lines 1955,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 447-478; component SGA2-V-C06; inherited locator: vanishing degeneration and Lemma3.2 invocation,complete,retain R^q q-positive vanishing equation15 degeneration and reference3.2,production_formula_comparison_passed_independent_review_pending,high,candidate prints R^g,adopt comparison-candidate g,OUTBOUND:SGA2-V32-SS15,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0057,1,,SGA2-V-C06,SGA2-V3-RING-ALN-004,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1956-1957,67,59-60,51-52,corrected French TeX lines 1956-1957,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 447-478; component SGA2-V-C06; inherited locator: equation18,complete,preserve both supports ambient schemes direct image tildes degree n and right bracketed f,production_formula_comparison_passed_independent_review_pending,high,candidate plain-text loses reliable structure,adopt candidate transcription without source check,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0058,1,,SGA2-V-C06,SGA2-V3-RING-ALN-005,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1958-1960,67,59-60,51-52,corrected French TeX lines 1958-1960,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 447-478; component SGA2-V-C06; inherited locator: equation19,complete,preserve local cohomology supports M-sub-[f] and right module sub-[f],production_formula_comparison_passed_independent_review_pending,high,candidate flattens brackets to subscript f,replace bracketed f by bare f,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0059,1,,SGA2-V-C06,SGA2-V3-RING-ALN-006,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1961-1963,67,59-60,51-52,corrected French TeX lines 1961-1963,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 447-478; component SGA2-V-C06; inherited locator: equation20,complete,preserve D_A D_B all M arguments and both scalar-restriction placements,production_formula_comparison_passed_independent_review_pending,high,candidate uses bare f notation,omit inner M scalar restriction,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0060,1,,SGA2-V-C06,SGA2-V3-RING-ALN-007,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1964-1966,67,59-60,51-52,corrected French TeX lines 1964-1966,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 447-478; component SGA2-V-C06; inherited locator: equation21,complete,preserve ring isomorphism quotient sides annihilators and bracketed f only on the B-side module,production_formula_comparison_passed_independent_review_pending,high,corrected branch puis-qu-on selected,retain malformed alternate branch,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0061,1,,SGA2-V-C06,SGA2-V3-RING-ALN-008,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1967,67,59-60,51-52,corrected French TeX lines 1967,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 447-478; component SGA2-V-C06; inherited locator: closing reduction,complete,state that this base-ring change changes nothing and then assume A regular of dimension r,production_source_comparison_passed_independent_review_pending,high,none,continue into equation22,OUTBOUND:SGA2-V-LINE1969,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0062,1,,SGA2-V-C06,SGA2-V3-RING-ALN-009,locator_boundary_control,corrected_french_tex_plus_direct_compiled_pdf,1953-1969,67,59-60,51-52,corrected French TeX lines 1953-1969,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 447-478; component SGA2-V-C06; inherited locator: source and target page-boundary evidence,complete,distinguish printed67 physical59-60 recomposed51-52 and stop before line1969 equation22,production_locator_review_passed_independent_review_pending,high,next printed68 marker occurs line1973,place printed68 marker in this unit,OUTBOUND:SGA2-V-LINE1969,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0063,1,,SGA2-V-C06,SGA2-V3-RING-ALN-010,independent_review_closure,corrected_french_tex_plus_fresh_direct_compiled_pdf,1953-1967,67,59-60,51-52,corrected French TeX lines 1953-1967,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 447-478; component SGA2-V-C06; inherited locator: complete target body plus independent review evidence,complete,independently recheck every sentence map formula locator and boundary and seal only this bounded working unit,independently_source_reviewed_sealed_bounded_unit,high,no English-body correction,call the unit cumulative public complete certified or source authority,SGA2-V3-RING-MAP|SGA2-V3-RING-VAN|SGA2-V3-RING-EQ18|SGA2-V3-RING-EQ19|SGA2-V3-RING-EQ20|SGA2-V3-RING-EQ21|SGA2-V3-RING-REDUCE|SGA2-V3-RING-QA,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0064,1,,SGA2-V-C07,SGA2-V3EQ-ALN-001,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1969-1980,67-68,60,52,corrected French TeX lines 1969-1980,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 482-512; component SGA2-V-C07; inherited locator: complete target body after authority box,complete,cover equation22 printed-page transition conditions(a)-(c) and all three implications; exclude line1982 onward,self_audited_source_aligned_draft_independent_review_pending,high,none,extend into theorem proof,SGA2-V3EQ-EQ22|SGA2-V3EQ-LIST|SGA2-V3EQ-PROOF|OUTBOUND:SGA2-V-LINE1982,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0065,1,,SGA2-V-C07,SGA2-V3EQ-ALN-002,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1969-1972,67,60,52,corrected French TeX lines 1969-1972,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 482-512; component SGA2-V-C07; inherited locator: equation22 and reference sentence,complete,preserve reference2.1 D of H superscript i Ext superscript r-i arguments M A equality and tag22,self_audited_formula_comparison_passed_independent_review_pending,high,none,reverse the duality equality or alter the exponent,OUTBOUND:SGA2-V-2-1,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0066,1,,SGA2-V-C07,SGA2-V3EQ-ALN-003,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1973,68,60,52,corrected French TeX lines 1973,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 482-512; component SGA2-V-C07; inherited locator: introductory sentence and printed68 marker,complete,place printed68 immediately after English words We shall corresponding to source On va pageoriginale,self_audited_page_alignment_passed_independent_review_pending,high,none,place marker at paragraph start or after the full sentence,SGA2-V3EQ-LIST,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0067,1,,SGA2-V-C07,SGA2-V3EQ-ALN-004,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1974-1978,68,60,52,corrected French TeX lines 1974-1978,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 482-512; component SGA2-V-C07; inherited locator: conditions(a)-(c),complete,preserve three labeled properties with exact dimension localization support and codimension inequalities,self_audited_source_comparison_passed_independent_review_pending,high,none,collapse the conditions into prose or insert an unstated quantifier,SGA2-V3EQ-A|SGA2-V3EQ-B|SGA2-V3EQ-C,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0068,1,,SGA2-V-C07,SGA2-V3EQ-ALN-005,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1980,68,60,52,corrected French TeX lines 1980,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 482-512; component SGA2-V-C07; inherited locator: proof of(a) implies(b),complete,preserve dim A_p less than j dim A/p greater than r-j Ann Ext not-subset p and localized vanishing,self_audited_source_comparison_passed_independent_review_pending,high,none,replace the source annihilator argument with an invented homological argument,SGA2-V3EQ-A|SGA2-V3EQ-B,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0069,1,,SGA2-V-C07,SGA2-V3EQ-ALN-006,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1980,68,60,52,corrected French TeX lines 1980,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 482-512; component SGA2-V-C07; inherited locator: proof of(b) implies(c),complete,preserve support membership nonzero localization dimension lower bound and codimension infimum identity,self_audited_source_comparison_passed_independent_review_pending,high,none,omit the infimum set or reverse its inequality,SGA2-V3EQ-B|SGA2-V3EQ-C,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0070,1,,SGA2-V-C07,SGA2-V3EQ-ALN-007,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1980,68,60,52,corrected French TeX lines 1980,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 482-512; component SGA2-V-C07; inherited locator: final implication(c) implies(a),complete,preserve the source's explicit statement that the implication is trivial,self_audited_source_comparison_passed_independent_review_pending,high,none,expand it with a proof not present in the source,SGA2-V3EQ-C|SGA2-V3EQ-A,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0071,1,,SGA2-V-C07,SGA2-V3EQ-ALN-008,render_alignment,direct_compiled_french_pdf,1969-1980,67-68,60,52,corrected French TeX lines 1969-1980,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 482-512; component SGA2-V-C07; inherited locator: source-physical-060.png and target-page-1.png,complete,inspect complete direct 300dpi source page and complete 180dpi target page including the excluded-boundary witness,self_audited_visual_check_passed_independent_review_pending,high,none,compile-only acceptance,SGA2-V3EQ|OUTBOUND:SGA2-V-LINE1982,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0072,1,,SGA2-V-C07,SGA2-V3EQ-ALN-REVIEW-001,independent_review_closure,corrected_french_tex_plus_direct_compiled_pdf,1969-1980,67-68,60,52,corrected French TeX lines 1969-1980,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 482-512; component SGA2-V-C07; inherited locator: complete final bounded target body,complete,independently re-read every sentence formula inequality support codimension implication page transition and scope boundary against both authorities,independently_source_reviewed_sealed_bounded_unit,high,none,infer independent agreement from the comparison lineage,SGA2-V3EQ-EQ22|SGA2-V3EQ-MARKER|SGA2-V3EQ-LIST|SGA2-V3EQ-PROOF|SGA2-V3EQ-QA|OUTBOUND:SGA2-V-LINE1982,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0073,1,,SGA2-V-C08,SGA2-V31PII-ALN-001,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1982-1988,68,60,52,corrected French TeX lines 1982-1988,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 516-543; component SGA2-V-C08; inherited locator: complete target body after authority box,complete,cover proof opening and items(i)-(ii); exclude blank line1989 and item(iii) line1990,self_audited_bounded_draft_independent_review_pending,high,none,continue through item(iii),OUTBOUND:SGA2-V-LINE1990,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0074,1,,SGA2-V-C08,SGA2-V31PII-ALN-002,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1982,68,60,52,corrected French TeX lines 1982,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 516-543; component SGA2-V-C08; inherited locator: proof opening sentence,complete,preserve transition from equivalence proof into theorem proof,self_audited_source_comparison_passed_independent_review_pending,high,none,omit as redundant,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
