target_id,corpus,work,volume,kind,parent_id,source_number,visible_title,printed_page,pdf_page,coordinate_basis,fr_tex_path,fr_locator,en_tex_path,en_locator,authority_sha256,statement_status,provenance,review_status
illusie:I:prereq:p1,illusie,cotangent-complex,I,prerequisite_paragraph,illusie:I:prereq,1,Mathematical prerequisites,XV,17,pdf-physical,tex/volume_I/fr_corrected/front/014_prelim.tex,illusie:I:prereq:p1,tex/volume_I/en/front/014_prelim.tex,illusie:I:prereq:p1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Every visible citation token inventoried,lead_reviewed
illusie:I:prereq:guide,illusie,cotangent-complex,I,guide_heading,illusie:I:prereq,*,Guide,XV,17,pdf-physical,tex/volume_I/fr_corrected/front/014_prelim.tex,illusie:I:prereq:guide,tex/volume_I/en/front/014_prelim.tex,illusie:I:prereq:guide,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Source heading Leitfaden retained in French,lead_reviewed
illusie:I:prereq:guide:d1,illusie,cotangent-complex,I,dependency_diagram,illusie:I:prereq:guide,1,Chapter-dependency diagram,XV,17,pdf-physical,tex/common/guide1.tex,IllusieChapterGuide,tex/common/guide1.tex,IllusieChapterGuide,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Seven arrows and eight chapter nodes directly verified,lead_reviewed
illusie:I:conv,illusie,cotangent-complex,I,front_unit,illusie:I:volume,*,Standard conventions,XV,17,pdf-physical,tex/volume_I/fr_corrected/front/014_prelim.tex,illusie:I:conv,tex/volume_I/en/front/014_prelim.tex,illusie:I:conv,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Printed French heading preserved exactly,lead_reviewed
illusie:I:conv:p1,illusie,cotangent-complex,I,convention_paragraph,illusie:I:conv,1,Deligne equality-sign convention,XV,17,pdf-physical,tex/volume_I/fr_corrected/front/014_prelim.tex,illusie:I:conv:p1,tex/volume_I/en/front/014_prelim.tex,illusie:I:conv:p1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Visible SGA locator and sign inventoried,lead_reviewed
illusie:I:conv:p2,illusie,cotangent-complex,I,convention_paragraph,illusie:I:conv,2,Ambient-universe convention,XV,17,pdf-physical,tex/volume_I/fr_corrected/front/014_prelim.tex,illusie:I:conv:p2,tex/volume_I/en/front/014_prelim.tex,illusie:I:conv:p2,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Blackboard-bold natural-numbers symbol resolved at 7000 dpi-equivalent,lead_reviewed
illusie:I:conv:p3,illusie,cotangent-complex,I,convention_paragraph,illusie:I:conv,3,Scheme terminology convention,XV,17,pdf-physical,tex/volume_I/fr_corrected/front/014_prelim.tex,illusie:I:conv:p3,tex/volume_I/en/front/014_prelim.tex,illusie:I:conv:p3,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Historical scheme and prescheme terminology preserved,lead_reviewed
illusie:I:front:p018,illusie,cotangent-complex,I,blank_preliminary_page,illusie:I:volume,unnumbered,Unnumbered blank preliminary page,unnumbered,18,pdf-physical,tex/volume_I/fr_corrected/front/015_blank.tex,illusie:I:front:p018,tex/volume_I/en/front/015_blank.tex,illusie:I:front:p018,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority at 1100 dpi-equivalent; carrier artifacts excluded,lead_reviewed
illusie:I:ch1:p001,illusie,cotangent-complex,I,chapter_page,illusie:I:ch1,1,Chapter I page 1,1,19,pdf-physical,tex/volume_I/fr_corrected/ch1/001_p001.tex,illusie:I:ch1:p001,tex/volume_I/en/ch1/001_p001.tex,illusie:I:ch1:p001,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority at 1100 dpi-equivalent with formula crops at 7000 and footnote crop at 6000 dpi-equivalent,lead_reviewed
illusie:I:ch1,illusie,cotangent-complex,I,chapter,illusie:I:volume,I,Relative Homotopical Algebra,1,19,pdf-physical,tex/volume_I/fr_corrected/ch1/001_p001.tex,illusie:I:ch1,tex/volume_I/en/ch1/001_p001.tex,illusie:I:ch1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,started,Body heading directly verified against authority and prior TOC,lead_reviewed
illusie:I:ch1:s1,illusie,cotangent-complex,I,section,illusie:I:ch1,1,Review,1,19,pdf-physical,tex/volume_I/fr_corrected/ch1/001_p001.tex,illusie:I:ch1:s1,tex/volume_I/en/ch1/001_p001.tex,illusie:I:ch1:s1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,started,Section body begins on this page and continues,lead_reviewed
illusie:I:ch1:s1:1,illusie,cotangent-complex,I,subsection,illusie:I:ch1:s1,1.1,"Simplicial objects, homotopies",1,19,pdf-physical,tex/volume_I/fr_corrected/ch1/001_p001.tex,illusie:I:ch1:s1:1,tex/volume_I/en/ch1/001_p001.tex,illusie:I:ch1:s1:1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,started,"Heading and citations [10], [11], [23] directly verified",lead_reviewed
illusie:I:ch1:s1:1:p1,illusie,cotangent-complex,I,paragraph,illusie:I:ch1:s1:1,1,"Definition of Delta, delta, and sigma",1,19,pdf-physical,tex/volume_I/fr_corrected/ch1/001_p001.tex,illusie:I:ch1:s1:1:p1,tex/volume_I/en/ch1/001_p001.tex,illusie:I:ch1:s1:1:p1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Broad authority and two controlling 7000 dpi-equivalent formula crops,lead_reviewed
illusie:I:ch1:s1:1:d1,illusie,cotangent-complex,I,displayed_formula,illusie:I:ch1:s1:1:p1,unnumbered,Coface map delta_i^n,1,19,pdf-physical,tex/volume_I/fr_corrected/ch1/001_p001.tex,illusie:I:ch1:s1:1:d1,tex/volume_I/en/ch1/001_p001.tex,illusie:I:ch1:s1:1:d1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Correctly named p19_delta_7000_r2.png controls indices and domain/codomain,lead_reviewed_7000dpi
illusie:I:ch1:s1:1:d2,illusie,cotangent-complex,I,displayed_formula,illusie:I:ch1:s1:1:p1,unnumbered,Codegeneracy map sigma_i^n,1,19,pdf-physical,tex/volume_I/fr_corrected/ch1/001_p001.tex,illusie:I:ch1:s1:1:d2,tex/volume_I/en/ch1/001_p001.tex,illusie:I:ch1:s1:1:d2,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Correctly named p19_sigma_7000_r2.png controls indices and domain/codomain,lead_reviewed_7000dpi
illusie:I:ch1:s1:1:p2,illusie,cotangent-complex,I,paragraph,illusie:I:ch1:s1:1,2,Simplicial and cosimplicial objects,1-2,19-20,pdf-physical,tex/volume_I/fr_corrected/ch1/001_p001.tex,illusie:I:ch1:s1:1:p2,tex/volume_I/en/ch1/001_p001.tex,illusie:I:ch1:s1:1:p2,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Initial fragment on physical page 19 plus explicitly aligned continuation child on physical page 20,lead_reviewed
illusie:I:ch1:s1:1:eq1,illusie,cotangent-complex,I,equation,illusie:I:ch1:s1:1:p2,1.1.1,Simpl(C),1,19,pdf-physical,tex/volume_I/fr_corrected/ch1/001_p001.tex,illusie:I:ch1:s1:1:eq1,tex/volume_I/en/ch1/001_p001.tex,illusie:I:ch1:s1:1:eq1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Displayed equation and number directly verified,lead_reviewed
illusie:I:ch1:s1:1:n1,illusie,cotangent-complex,I,footnote,illusie:I:ch1:s1:1:p2,*,Definition of Delta^p,1,19,pdf-physical,tex/volume_I/fr_corrected/ch1/001_p001.tex,illusie:I:ch1:s1:1:n1,tex/volume_I/en/ch1/001_p001.tex,illusie:I:ch1:s1:1:n1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Underbraced p-factor product directly verified at 6000 dpi-equivalent,lead_reviewed_6000dpi
illusie:I:ch1:p002,illusie,cotangent-complex,I,page,illusie:I:ch1,,Page 2,2,20,pdf-physical,tex/volume_I/fr_corrected/ch1/002_p002.tex,illusie:I:ch1:p002,tex/volume_I/en/ch1/002_p002.tex,illusie:I:ch1:p002,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Physical page container with child semantic units,lead_reviewed
illusie:I:ch1:s1:1:p2c1,illusie,cotangent-complex,I,paragraph_continuation,illusie:I:ch1:s1:1:p2,2,Mixed simplicial objects and the diagonal,2,20,pdf-physical,tex/volume_I/fr_corrected/ch1/002_p002.tex,illusie:I:ch1:s1:1:p2c1,tex/volume_I/en/ch1/002_p002.tex,illusie:I:ch1:s1:1:p2c1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Explicit continuation of paragraph 2; direct broad and 7000 dpi-equivalent Delta inspection,lead_reviewed
illusie:I:ch1:s1:1:p3,illusie,cotangent-complex,I,paragraph,illusie:I:ch1:s1:1,3,Constant simplicial object,2,20,pdf-physical,tex/volume_I/fr_corrected/ch1/002_p002.tex,illusie:I:ch1:s1:1:p3,tex/volume_I/en/ch1/002_p002.tex,illusie:I:ch1:s1:1:p3,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Defines K(X 0) and its essential image,lead_reviewed
illusie:I:ch1:s1:1:eq2,illusie,cotangent-complex,I,equation,illusie:I:ch1:s1:1:p3,1.1.2,Constant-object adjunction isomorphism,2,20,pdf-physical,tex/volume_I/fr_corrected/ch1/002_p002.tex,illusie:I:ch1:s1:1:eq2,tex/volume_I/en/ch1/002_p002.tex,illusie:I:ch1:s1:1:eq2,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Formula and number directly verified at 5000 dpi-equivalent,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:d3,illusie,cotangent-complex,I,equation,illusie:I:ch1:s1:1:p3,unnumbered,Constant-object embedding,2,20,pdf-physical,tex/volume_I/fr_corrected/ch1/002_p002.tex,illusie:I:ch1:s1:1:d3,tex/volume_I/en/ch1/002_p002.tex,illusie:I:ch1:s1:1:d3,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Unnumbered native TeX display,lead_reviewed
illusie:I:ch1:s1:1:p4,illusie,cotangent-complex,I,paragraph,illusie:I:ch1:s1:1,4,Order and restriction maps,2,20,pdf-physical,tex/volume_I/fr_corrected/ch1/002_p002.tex,illusie:I:ch1:s1:1:p4,tex/volume_I/en/ch1/002_p002.tex,illusie:I:ch1:s1:1:p4,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Order relation and coface identities directly verified at 7000 dpi-equivalent,lead_reviewed_7000dpi
illusie:I:ch1:s1:1:eq3,illusie,cotangent-complex,I,diagram,illusie:I:ch1:s1:1:p4,1.1.3,Exact restriction diagram,2,20,pdf-physical,tex/volume_I/fr_corrected/ch1/002_p002.tex,illusie:I:ch1:s1:1:eq3,tex/volume_I/en/ch1/002_p002.tex,illusie:I:ch1:s1:1:eq3,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Native TikZ diagram checked against two 5000 dpi-equivalent crops,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:p5,illusie,cotangent-complex,I,paragraph,illusie:I:ch1:s1:1,5,Augmentation of a simplicial object,2-3,20-21,pdf-physical,tex/volume_I/fr_corrected/ch1/002_p002.tex,illusie:I:ch1:s1:1:p5,tex/volume_I/en/ch1/002_p002.tex,illusie:I:ch1:s1:1:p5,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Explicitly completed by continuation target p5c1 on physical page 21,lead_reviewed
illusie:I:ch1:p003,illusie,cotangent-complex,I,page,illusie:I:ch1,,Page 3,3,21,pdf-physical,tex/volume_I/fr_corrected/ch1/003_p003.tex,illusie:I:ch1:p003,tex/volume_I/en/ch1/003_p003.tex,illusie:I:ch1:p003,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Physical page container with child semantic units,lead_reviewed
illusie:I:ch1:s1:1:p5c1,illusie,cotangent-complex,I,paragraph_continuation,illusie:I:ch1:s1:1:p5,5,Closure of the augmentation paragraph,3,21,pdf-physical,tex/volume_I/fr_corrected/ch1/003_p003.tex,illusie:I:ch1:s1:1:p5c1,tex/volume_I/en/ch1/003_p003.tex,illusie:I:ch1:s1:1:p5c1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Closes the sentence opened on physical page 20,lead_reviewed
illusie:I:ch1:s1:1:p6,illusie,cotangent-complex,I,paragraph,illusie:I:ch1:s1:1,6,Representable coequalizer and pi_0,3,21,pdf-physical,tex/volume_I/fr_corrected/ch1/003_p003.tex,illusie:I:ch1:s1:1:p6,tex/volume_I/en/ch1/003_p003.tex,illusie:I:ch1:s1:1:p6,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Definition and adjunction directly verified at broad and high detail,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:eq4,illusie,cotangent-complex,I,equation,illusie:I:ch1:s1:1:p6,1.1.4,Hom isomorphism through pi_0,3,21,pdf-physical,tex/volume_I/fr_corrected/ch1/003_p003.tex,illusie:I:ch1:s1:1:eq4,tex/volume_I/en/ch1/003_p003.tex,illusie:I:ch1:s1:1:eq4,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Formula and number directly verified at 5000 dpi-equivalent,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:d4,illusie,cotangent-complex,I,displayed_formula,illusie:I:ch1:s1:1:p6,unnumbered,Triple of adjoint functors,3,21,pdf-physical,tex/volume_I/fr_corrected/ch1/003_p003.tex,illusie:I:ch1:s1:1:d4,tex/volume_I/en/ch1/003_p003.tex,illusie:I:ch1:s1:1:d4,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete_corrected_punctuation,Direct crop proves the source omitted one separating comma; corrected French and English restore it,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:p7,illusie,cotangent-complex,I,definition,illusie:I:ch1:s1:1,1.1.5,Definition of a homotopy,3,21,pdf-physical,tex/volume_I/fr_corrected/ch1/003_p003.tex,illusie:I:ch1:s1:1:p7,tex/volume_I/en/ch1/003_p003.tex,illusie:I:ch1:s1:1:p7,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Definition and direct locator ([10]1.7) verified from the authority,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:d5,illusie,cotangent-complex,I,diagram,illusie:I:ch1:s1:1:p7,1.1.5(i)-triangle,Commutative triangle in Delta,3,21,pdf-physical,tex/volume_I/fr_corrected/ch1/003_p003.tex,illusie:I:ch1:s1:1:d5,tex/volume_I/en/ch1/003_p003.tex,illusie:I:ch1:s1:1:d5,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Native TikZ topology and labels directly verified at 5000 dpi-equivalent,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:d6,illusie,cotangent-complex,I,diagram,illusie:I:ch1:s1:1:p7,1.1.5(i)-square,Naturality square,3,21,pdf-physical,tex/volume_I/fr_corrected/ch1/003_p003.tex,illusie:I:ch1:s1:1:d6,tex/volume_I/en/ch1/003_p003.tex,illusie:I:ch1:s1:1:d6,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Native TikZ topology and all four labels directly verified from two 5000 dpi-equivalent crops,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:p8,illusie,cotangent-complex,I,definition_clause,illusie:I:ch1:s1:1:p7,1.1.5(ii),Endpoint conditions,3,21,pdf-physical,tex/volume_I/fr_corrected/ch1/003_p003.tex,illusie:I:ch1:s1:1:p8,tex/volume_I/en/ch1/003_p003.tex,illusie:I:ch1:s1:1:p8,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Both restriction equations and the projection epsilon were directly checked at 5000 dpi-equivalent,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:p9,illusie,cotangent-complex,I,paragraph,illusie:I:ch1:s1:1,7,Precomposition of a homotopy,3-4,21-22,pdf-physical,tex/volume_I/fr_corrected/ch1/003_p003.tex,illusie:I:ch1:s1:1:p9,tex/volume_I/en/ch1/003_p003.tex,illusie:I:ch1:s1:1:p9,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Initial fragment on physical page 21 completed by p9c1 on physical page 22,lead_reviewed
illusie:I:ch1:p004,illusie,cotangent-complex,I,page,illusie:I:ch1,,Page 4,4,22,pdf-physical,tex/volume_I/fr_corrected/ch1/004_p004.tex,illusie:I:ch1:p004,tex/volume_I/en/ch1/004_p004.tex,illusie:I:ch1:p004,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Physical page container with child semantic units,lead_reviewed
illusie:I:ch1:s1:1:p9c1,illusie,cotangent-complex,I,paragraph_continuation,illusie:I:ch1:s1:1:p9,7,Compatibility of homotopy,4,22,pdf-physical,tex/volume_I/fr_corrected/ch1/004_p004.tex,illusie:I:ch1:s1:1:p9c1,tex/volume_I/en/ch1/004_p004.tex,illusie:I:ch1:s1:1:p9c1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Precomposition closure postcomposition functorial image and generated homotopy relation,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:eq5,illusie,cotangent-complex,I,equation,illusie:I:ch1:s1:1:p9c1,1.1.5.1,Category Hotsimpl(C),4,22,pdf-physical,tex/volume_I/fr_corrected/ch1/004_p004.tex,illusie:I:ch1:s1:1:eq5,tex/volume_I/en/ch1/004_p004.tex,illusie:I:ch1:s1:1:eq5,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Number and exact category name directly verified,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:p10,illusie,cotangent-complex,I,paragraph,illusie:I:ch1:s1:1,8,Simplicial objects up to homotopy,4,22,pdf-physical,tex/volume_I/fr_corrected/ch1/004_p004.tex,illusie:I:ch1:s1:1:p10,tex/volume_I/en/ch1/004_p004.tex,illusie:I:ch1:s1:1:p10,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Objects and morphism classes of Hotsimpl(C),lead_reviewed
illusie:I:ch1:s1:1:d7,illusie,cotangent-complex,I,displayed_formula,illusie:I:ch1:s1:1:p10,unnumbered,Functor to Hotsimpl(C),4,22,pdf-physical,tex/volume_I/fr_corrected/ch1/004_p004.tex,illusie:I:ch1:s1:1:d7,tex/volume_I/en/ch1/004_p004.tex,illusie:I:ch1:s1:1:d7,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Native TeX arrow direction directly verified,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:p11,illusie,cotangent-complex,I,paragraph,illusie:I:ch1:s1:1,9,Homotopy equivalences and functoriality,4,22,pdf-physical,tex/volume_I/fr_corrected/ch1/004_p004.tex,illusie:I:ch1:s1:1:p11,tex/volume_I/en/ch1/004_p004.tex,illusie:I:ch1:s1:1:p11,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Homotopism and both induced functors preserved,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:p12,illusie,cotangent-complex,I,paragraph,illusie:I:ch1:s1:1,10,Cosimplicial analogue,4,22,pdf-physical,tex/volume_I/fr_corrected/ch1/004_p004.tex,illusie:I:ch1:s1:1:p12,tex/volume_I/en/ch1/004_p004.tex,illusie:I:ch1:s1:1:p12,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Exact category name Hotcosimpl(C) preserved,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:p13,illusie,cotangent-complex,I,definition,illusie:I:ch1:s1:1,1.1.6,Relative homotopies,4,22,pdf-physical,tex/volume_I/fr_corrected/ch1/004_p004.tex,illusie:I:ch1:s1:1:p13,tex/volume_I/en/ch1/004_p004.tex,illusie:I:ch1:s1:1:p13,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Directly printed extension notation Simp(p) preserved,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:p14,illusie,cotangent-complex,I,definition_clause,illusie:I:ch1:s1:1:p13,1.1.6-relative-condition,Relative-homotopy condition,4,22,pdf-physical,tex/volume_I/fr_corrected/ch1/004_p004.tex,illusie:I:ch1:s1:1:p14,tex/volume_I/en/ch1/004_p004.tex,illusie:I:ch1:s1:1:p14,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete_by_p023,Formula p(u)_s=f_a and identity case verified; equivalence relation completed by p14c1,lead_reviewed_completed
illusie:I:ch1:p005,illusie,cotangent-complex,I,page,illusie:I:ch1,,Page 5,5,23,pdf-physical,tex/volume_I/fr_corrected/ch1/005_p005.tex,illusie:I:ch1:p005,tex/volume_I/en/ch1/005_p005.tex,illusie:I:ch1:p005,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Physical page container with child semantic units,lead_reviewed
illusie:I:ch1:s1:1:p14c1,illusie,cotangent-complex,I,definition_continuation,illusie:I:ch1:s1:1:p14,1.1.6-relative-continuation,Stability of relative homotopies,5,23,pdf-physical,tex/volume_I/fr_corrected/ch1/005_p005.tex,illusie:I:ch1:s1:1:p14c1,tex/volume_I/en/ch1/005_p005.tex,illusie:I:ch1:s1:1:p14c1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Exact fg and hg composition order directly verified,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:eq6,illusie,cotangent-complex,I,equation,illusie:I:ch1:s1:1:p14c1,1.1.6.1,Category Hotsimpl(E)_S,5,23,pdf-physical,tex/volume_I/fr_corrected/ch1/005_p005.tex,illusie:I:ch1:s1:1:eq6,tex/volume_I/en/ch1/005_p005.tex,illusie:I:ch1:s1:1:eq6,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Number and exact category name directly verified,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:p15,illusie,cotangent-complex,I,paragraph,illusie:I:ch1:s1:1:p13,1.1.6-fibres,S-homotopy classes and fibredness,5,23,pdf-physical,tex/volume_I/fr_corrected/ch1/005_p005.tex,illusie:I:ch1:s1:1:p15,tex/volume_I/en/ch1/005_p005.tex,illusie:I:ch1:s1:1:p15,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Giraud [12] 1.16 locator retained; bibliography identity pending terminal bibliography,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:p16,illusie,cotangent-complex,I,paragraph,illusie:I:ch1:s1:1:p13,1.1.6-adjoints,Adjoint descriptions,5,23,pdf-physical,tex/volume_I/fr_corrected/ch1/005_p005.tex,illusie:I:ch1:s1:1:p16,tex/volume_I/en/ch1/005_p005.tex,illusie:I:ch1:s1:1:p16,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,All four corresponding adjoint morphisms directly verified,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:p17,illusie,cotangent-complex,I,paragraph,illusie:I:ch1:s1:1:p13,1.1.6-base-change,Base change of homotopies,5,23,pdf-physical,tex/volume_I/fr_corrected/ch1/005_p005.tex,illusie:I:ch1:s1:1:p17,tex/volume_I/en/ch1/005_p005.tex,illusie:I:ch1:s1:1:p17,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Pullback and pushforward homotopies with prime and double-prime bases,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:d8,illusie,cotangent-complex,I,displayed_formula,illusie:I:ch1:s1:1:p17,unnumbered,Base-change components,5,23,pdf-physical,tex/volume_I/fr_corrected/ch1/005_p005.tex,illusie:I:ch1:s1:1:d8,tex/volume_I/en/ch1/005_p005.tex,illusie:I:ch1:s1:1:d8,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Both component identities and Fl Delta indexing directly verified,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:eq7,illusie,cotangent-complex,I,equation,illusie:I:ch1:s1:1:p17,1.1.6.2,Functors on homotopy categories,5,23,pdf-physical,tex/volume_I/fr_corrected/ch1/005_p005.tex,illusie:I:ch1:s1:1:eq7,tex/volume_I/en/ch1/005_p005.tex,illusie:I:ch1:s1:1:eq7,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Both induced functors and exact fibres directly verified,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:p18,illusie,cotangent-complex,I,definition_clause,illusie:I:ch1:s1:1:p13,1.1.6-total-category,Category Hotsimpl(E_/B),5,23,pdf-physical,tex/volume_I/fr_corrected/ch1/005_p005.tex,illusie:I:ch1:s1:1:p18,tex/volume_I/en/ch1/005_p005.tex,illusie:I:ch1:s1:1:p18,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Slice notation and fibred/cofibred variance directly verified,lead_reviewed_5000dpi
illusie:I:ch1:s1:1:p19,illusie,cotangent-complex,I,paragraph,illusie:I:ch1:s1:1:p13,1.1.6-B-functoriality,Functoriality under a B-functor,5,23,pdf-physical,tex/volume_I/fr_corrected/ch1/005_p005.tex,illusie:I:ch1:s1:1:p19,tex/volume_I/en/ch1/005_p005.tex,illusie:I:ch1:s1:1:p19,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,open_continues_p024,Terminal boundary stops after induced functor,lead_reviewed_open
