target_id,entity_id,target_kind,canonical_label,source_number,source_span_id,volume_id,parent_id,language_neutral_status,notes
ILL-RT-0105,ILL-CCD:LNM239:CONV:p3,convention_paragraph,Scheme terminology convention,3,ILL-SP-239-017-09,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CONV,verified,Historical terminology convention.
ILL-RT-0106,ILL-CCD:LNM239:FM:P018,blank_preliminary_page,Unnumbered blank preliminary page,unnumbered,ILL-SP-239-018-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:VOL,verified,No printed text or numeral; carrier artifacts excluded.
ILL-RT-0107,ILL-CCD:LNM239:CH1:p001,chapter_page,Chapter I page 1,1,ILL-SP-239-019-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1,verified,First body page; page-boundary continuation remains open.
ILL-RT-0108,ILL-CCD:LNM239:CH1,chapter,Relative Homotopical Algebra,I,ILL-SP-239-019-02,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:VOL,verified,Chapter heading verified against body and table of contents.
ILL-RT-0109,ILL-CCD:LNM239:CH1:S1,section,Review,1,ILL-SP-239-019-03,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1,verified,Section begins on printed page 1.
ILL-RT-0110,ILL-CCD:LNM239:CH1:S1:1,subsection,"Simplicial objects, homotopies",1.1,ILL-SP-239-019-04,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1,verified,"Direct bibliography tokens [10], [11], and [23] inventoried."
ILL-RT-0111,ILL-CCD:LNM239:CH1:S1:1:p1,paragraph,"Definition of Delta, delta, and sigma",1,ILL-SP-239-019-05,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1,verified,Defines the simplicial indexing category and standard maps.
ILL-RT-0112,ILL-CCD:LNM239:CH1:S1:1:d1,displayed_formula,Coface map delta_i^n,unnumbered,ILL-SP-239-019-06,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p1,verified_7000dpi,Order-preserving injection omitting i.
ILL-RT-0113,ILL-CCD:LNM239:CH1:S1:1:d2,displayed_formula,Codegeneracy map sigma_i^n,unnumbered,ILL-SP-239-019-07,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p1,verified_7000dpi,Order-preserving surjection repeating i.
ILL-RT-0114,ILL-CCD:LNM239:CH1:S1:1:p2,paragraph,Simplicial and cosimplicial objects,2,ILL-SP-239-019-08,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1,verified,Initial fragment on physical page 19 is closed by continuation target ILL-RT-0118 on physical page 20.
ILL-RT-0115,ILL-CCD:LNM239:CH1:S1:1:eq1,equation,Simpl(C),1.1.1,ILL-SP-239-019-09,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p2,verified,Category of simplicial objects.
ILL-RT-0116,ILL-CCD:LNM239:CH1:S1:1:n1,footnote,Definition of Delta^p,*,ILL-SP-239-019-10,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p2,verified_6000dpi,p-fold product notation.
ILL-RT-0117,ILL-CCD:LNM239:CH1:p002,page,Page 2,2,ILL-SP-239-020-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1,verified,Physical page container.
ILL-RT-0118,ILL-CCD:LNM239:CH1:S1:1:p2c1,paragraph_continuation,Mixed simplicial objects and the diagonal,2,ILL-SP-239-020-02,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p2,verified,Closes the paragraph begun on physical page 19.
ILL-RT-0119,ILL-CCD:LNM239:CH1:S1:1:p3,paragraph,Constant simplicial object,3,ILL-SP-239-020-03,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1,verified,Defines K(X 0) and its fully faithful essential image.
ILL-RT-0120,ILL-CCD:LNM239:CH1:S1:1:eq2,equation,Constant-object adjunction isomorphism,1.1.2,ILL-SP-239-020-04,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p3,verified_5000dpi,Numbered restriction map isomorphism.
ILL-RT-0121,ILL-CCD:LNM239:CH1:S1:1:d3,equation,Constant-object embedding,unnumbered,ILL-SP-239-020-05,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p3,verified,Fully faithful functor display.
ILL-RT-0122,ILL-CCD:LNM239:CH1:S1:1:p4,paragraph,Order and restriction maps,4,ILL-SP-239-020-06,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1,verified_7000dpi,Unique arrow and coface identities.
ILL-RT-0123,ILL-CCD:LNM239:CH1:S1:1:eq3,diagram,Exact restriction diagram,1.1.3,ILL-SP-239-020-07,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p4,verified_5000dpi,Native-TeX equalizer diagram; no official Stacks tag asserted.
ILL-RT-0124,ILL-CCD:LNM239:CH1:S1:1:p5,paragraph,Augmentation of a simplicial object,5,ILL-SP-239-020-08,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1,verified,Definition completed by target p5c1 on physical page 21.
ILL-RT-0125,ILL-CCD:LNM239:CH1:p003,page,Page 3,3,ILL-SP-239-021-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1,verified,Physical page container.
ILL-RT-0126,ILL-CCD:LNM239:CH1:S1:1:p5c1,paragraph_continuation,Closure of the augmentation paragraph,5,ILL-SP-239-021-02,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p5,verified,Closes the paragraph begun on physical page 20.
ILL-RT-0127,ILL-CCD:LNM239:CH1:S1:1:p6,paragraph,Representable coequalizer and pi_0,6,ILL-SP-239-021-03,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1,verified_5000dpi,Defines pi_0 and its adjunction.
ILL-RT-0128,ILL-CCD:LNM239:CH1:S1:1:eq4,equation,Hom isomorphism through pi_0,1.1.4,ILL-SP-239-021-04,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p6,verified_5000dpi,Numbered isomorphism.
ILL-RT-0129,ILL-CCD:LNM239:CH1:S1:1:d4,displayed_formula,Triple of adjoint functors,unnumbered,ILL-SP-239-021-05,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p6,verified_5000dpi_corrected_punctuation,No official Stacks tag asserted.
ILL-RT-0130,ILL-CCD:LNM239:CH1:S1:1:p7,definition,Definition of a homotopy,1.1.5,ILL-SP-239-021-06,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1,verified_5000dpi,Includes the direct bibliography locator ([10]1.7).
ILL-RT-0131,ILL-CCD:LNM239:CH1:S1:1:d5,diagram,Commutative triangle in Delta,1.1.5(i)-triangle,ILL-SP-239-021-07,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p7,verified_5000dpi,Native-TeX triangle; no official Stacks tag asserted.
ILL-RT-0132,ILL-CCD:LNM239:CH1:S1:1:d6,diagram,Naturality square,1.1.5(i)-square,ILL-SP-239-021-08,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p7,verified_5000dpi,Native-TeX square; no official Stacks tag asserted.
ILL-RT-0133,ILL-CCD:LNM239:CH1:S1:1:p8,definition_clause,Endpoint conditions,1.1.5(ii),ILL-SP-239-021-09,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p7,verified_5000dpi,Endpoint identities for a homotopy.
ILL-RT-0134,ILL-CCD:LNM239:CH1:S1:1:p9,paragraph,Precomposition of a homotopy,7,ILL-SP-239-021-10,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1,verified_completed_p022,Initial fragment completed by p9c1 on physical page 22.
ILL-RT-0135,ILL-CCD:LNM239:CH1:p004,page,Page 4,4,ILL-SP-239-022-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1,verified,Physical page container.
ILL-RT-0136,ILL-CCD:LNM239:CH1:S1:1:p9c1,paragraph_continuation,Compatibility of homotopy,7,ILL-SP-239-022-02,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p9,verified_5000dpi,Completes p9 and establishes the homotopy congruence.
ILL-RT-0137,ILL-CCD:LNM239:CH1:S1:1:eq5,equation,Category Hotsimpl(C),1.1.5.1,ILL-SP-239-022-03,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p9c1,verified_5000dpi,No official Stacks tag asserted.
ILL-RT-0138,ILL-CCD:LNM239:CH1:S1:1:p10,paragraph,Simplicial objects up to homotopy,8,ILL-SP-239-022-04,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1,verified,Objects and morphisms of Hotsimpl(C).
ILL-RT-0139,ILL-CCD:LNM239:CH1:S1:1:d7,displayed_formula,Functor to Hotsimpl(C),unnumbered,ILL-SP-239-022-05,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p10,verified_5000dpi,No official Stacks tag asserted.
ILL-RT-0140,ILL-CCD:LNM239:CH1:S1:1:p11,paragraph,Homotopy equivalences and functoriality,9,ILL-SP-239-022-06,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1,verified_5000dpi,Homotopism and induced functors.
ILL-RT-0141,ILL-CCD:LNM239:CH1:S1:1:p12,paragraph,Cosimplicial analogue,10,ILL-SP-239-022-07,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1,verified_5000dpi,Category Hotcosimpl(C).
ILL-RT-0142,ILL-CCD:LNM239:CH1:S1:1:p13,definition,Relative homotopies,1.1.6,ILL-SP-239-022-08,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1,verified_5000dpi,Extension notation Simp(p) preserved.
ILL-RT-0143,ILL-CCD:LNM239:CH1:S1:1:p14,definition_clause,Relative-homotopy condition,1.1.6-relative-condition,ILL-SP-239-022-09,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p13,verified_completed_p023,Condition completed by p14c1 on physical page 23.
ILL-RT-0144,ILL-CCD:LNM239:CH1:p005,page,Page 5,5,ILL-SP-239-023-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1,verified,Physical page container.
ILL-RT-0145,ILL-CCD:LNM239:CH1:S1:1:p14c1,definition_continuation,Stability of relative homotopies,1.1.6-relative-continuation,ILL-SP-239-023-02,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p14,verified_5000dpi,Exact fg and hg composition order.
ILL-RT-0146,ILL-CCD:LNM239:CH1:S1:1:eq6,equation,Category Hotsimpl(E)_S,1.1.6.1,ILL-SP-239-023-03,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p14c1,verified_5000dpi,No official Stacks tag asserted.
ILL-RT-0147,ILL-CCD:LNM239:CH1:S1:1:p15,paragraph,S-homotopy classes and fibredness,1.1.6-fibres,ILL-SP-239-023-04,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p13,verified_5000dpi,Giraud bibliography identity pending terminal bibliography.
ILL-RT-0148,ILL-CCD:LNM239:CH1:S1:1:p16,paragraph,Adjoint descriptions,1.1.6-adjoints,ILL-SP-239-023-05,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p13,verified_5000dpi,Four corresponding adjoint morphisms.
ILL-RT-0149,ILL-CCD:LNM239:CH1:S1:1:p17,paragraph,Base change of homotopies,1.1.6-base-change,ILL-SP-239-023-06,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p13,verified_5000dpi,Pullback and pushforward homotopies.
ILL-RT-0150,ILL-CCD:LNM239:CH1:S1:1:d8,displayed_formula,Base-change components,unnumbered,ILL-SP-239-023-07,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p17,verified_5000dpi,No official Stacks tag asserted.
ILL-RT-0151,ILL-CCD:LNM239:CH1:S1:1:eq7,equation,Functors on homotopy categories,1.1.6.2,ILL-SP-239-023-08,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p17,verified_5000dpi,No official Stacks tag asserted.
ILL-RT-0152,ILL-CCD:LNM239:CH1:S1:1:p18,definition_clause,Category Hotsimpl(E_/B),1.1.6-total-category,ILL-SP-239-023-09,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p13,verified_5000dpi,Fibred or cofibred total homotopy category.
ILL-RT-0153,ILL-CCD:LNM239:CH1:S1:1:p19,paragraph,Functoriality under a B-functor,1.1.6-B-functoriality,ILL-SP-239-023-10,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CH1:S1:1:p13,verified_open_continues_p024,Statement continues on physical page 24.
