"language","bcp47","body_id","source_use_label","source_type","topic_tags","source_url","access_signal","hard_row_relevance","gap_or_blocker_note","non_claim_boundary"
"Turkmen","tk","WIKITEXT-GAP-20260629-TK-RING-MATHEMATICS","pointer-only","wikitext-langlink-gap","Turkmen; Ring (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Ring_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ring (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","WIKITEXT-GAP-20260629-TK-FIELD-MATHEMATICS","pointer-only","wikitext-langlink-gap","Turkmen; Field (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Field_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Field (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","WIKITEXT-GAP-20260629-TK-IDEAL-RING-THEORY","pointer-only","wikitext-langlink-gap","Turkmen; Ideal (ring theory); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Ideal_%28ring_theory%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ideal (ring theory)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","WIKITEXT-GAP-20260629-TK-INVARIANT-THEORY","pointer-only","wikitext-langlink-gap","Turkmen; Invariant theory; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Invariant_theory","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Invariant theory'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","WIKITEXT-GAP-20260629-TK-MATRIX-MATHEMATICS","pointer-only","wikitext-langlink-gap","Turkmen; Matrix (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Matrix_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Matrix (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","WIKITEXT-GAP-20260629-TK-POLYNOMIAL","pointer-only","wikitext-langlink-gap","Turkmen; Polynomial; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Polynomial","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Polynomial'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","WIKITEXT-GAP-20260629-TK-FUNCTION-MATHEMATICS","pointer-only","wikitext-langlink-gap","Turkmen; Function (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Function_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Function (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","WIKITEXT-GAP-20260629-TK-SET-MATHEMATICS","pointer-only","wikitext-langlink-gap","Turkmen; Set (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Set_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Set (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","WIKITEXT-GAP-20260629-TK-PROBABILITY","pointer-only","wikitext-langlink-gap","Turkmen; Probability; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Probability","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Probability'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","WIKITEXT-GAP-20260629-TT-LINEAR-ALGEBRA","pointer-only","wikitext-langlink-gap","Tatar; Linear algebra; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Linear_algebra","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Linear algebra'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","WIKITEXT-GAP-20260629-TT-GROUP-THEORY","pointer-only","wikitext-langlink-gap","Tatar; Group theory; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Group_theory","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Group theory'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","WIKITEXT-GAP-20260629-TT-RING-MATHEMATICS","pointer-only","wikitext-langlink-gap","Tatar; Ring (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Ring_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ring (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","WIKITEXT-GAP-20260629-TT-FIELD-MATHEMATICS","pointer-only","wikitext-langlink-gap","Tatar; Field (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Field_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Field (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","WIKITEXT-GAP-20260629-TT-IDEAL-RING-THEORY","pointer-only","wikitext-langlink-gap","Tatar; Ideal (ring theory); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Ideal_%28ring_theory%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ideal (ring theory)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","WIKITEXT-GAP-20260629-TT-INVARIANT-THEORY","pointer-only","wikitext-langlink-gap","Tatar; Invariant theory; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Invariant_theory","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Invariant theory'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","WIKITEXT-GAP-20260629-TT-MATRIX-MATHEMATICS","pointer-only","wikitext-langlink-gap","Tatar; Matrix (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Matrix_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Matrix (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","WIKITEXT-GAP-20260629-TT-POLYNOMIAL","pointer-only","wikitext-langlink-gap","Tatar; Polynomial; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Polynomial","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Polynomial'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","WIKITEXT-GAP-20260629-TT-SET-MATHEMATICS","pointer-only","wikitext-langlink-gap","Tatar; Set (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Set_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Set (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","WIKITEXT-GAP-20260629-TT-DIFFERENTIAL-EQUATION","pointer-only","wikitext-langlink-gap","Tatar; Differential equation; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Differential_equation","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Differential equation'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","WIKITEXT-GAP-20260629-BA-IDEAL-RING-THEORY","pointer-only","wikitext-langlink-gap","Bashkir; Ideal (ring theory); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Ideal_%28ring_theory%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ideal (ring theory)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","WIKITEXT-GAP-20260629-BA-INVARIANT-THEORY","pointer-only","wikitext-langlink-gap","Bashkir; Invariant theory; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Invariant_theory","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Invariant theory'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","WIKITEXT-GAP-20260629-BA-MATRIX-MATHEMATICS","pointer-only","wikitext-langlink-gap","Bashkir; Matrix (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Matrix_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Matrix (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","WIKITEXT-GAP-20260629-UG-MATHEMATICS","pointer-only","wikitext-langlink-gap","Uyghur; Mathematics; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Mathematics","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Mathematics'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","WIKITEXT-GAP-20260629-UG-ALGEBRA","pointer-only","wikitext-langlink-gap","Uyghur; Algebra; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Algebra","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Algebra'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","WIKITEXT-GAP-20260629-UG-LINEAR-ALGEBRA","pointer-only","wikitext-langlink-gap","Uyghur; Linear algebra; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Linear_algebra","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Linear algebra'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","WIKITEXT-GAP-20260629-UG-GROUP-THEORY","pointer-only","wikitext-langlink-gap","Uyghur; Group theory; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Group_theory","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Group theory'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","WIKITEXT-GAP-20260629-UG-RING-MATHEMATICS","pointer-only","wikitext-langlink-gap","Uyghur; Ring (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Ring_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ring (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","WIKITEXT-GAP-20260629-UG-FIELD-MATHEMATICS","pointer-only","wikitext-langlink-gap","Uyghur; Field (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Field_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Field (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","WIKITEXT-GAP-20260629-UG-IDEAL-RING-THEORY","pointer-only","wikitext-langlink-gap","Uyghur; Ideal (ring theory); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Ideal_%28ring_theory%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ideal (ring theory)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","WIKITEXT-GAP-20260629-UG-INVARIANT-THEORY","pointer-only","wikitext-langlink-gap","Uyghur; Invariant theory; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Invariant_theory","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Invariant theory'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","WIKITEXT-GAP-20260629-UG-MATRIX-MATHEMATICS","pointer-only","wikitext-langlink-gap","Uyghur; Matrix (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Matrix_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Matrix (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","WIKITEXT-GAP-20260629-UG-POLYNOMIAL","pointer-only","wikitext-langlink-gap","Uyghur; Polynomial; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Polynomial","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Polynomial'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","WIKITEXT-GAP-20260629-UG-EQUATION","pointer-only","wikitext-langlink-gap","Uyghur; Equation; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Equation","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Equation'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","WIKITEXT-GAP-20260629-UG-SET-MATHEMATICS","pointer-only","wikitext-langlink-gap","Uyghur; Set (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Set_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Set (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","WIKITEXT-GAP-20260629-UG-DIFFERENTIAL-EQUATION","pointer-only","wikitext-langlink-gap","Uyghur; Differential equation; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Differential_equation","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Differential equation'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","WIKITEXT-GAP-20260629-UG-PROBABILITY","pointer-only","wikitext-langlink-gap","Uyghur; Probability; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Probability","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Probability'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","WIKITEXT-GAP-20260629-UG-STATISTICS","pointer-only","wikitext-langlink-gap","Uyghur; Statistics; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Statistics","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Statistics'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
