concept,stratum,C2,ja_form,ja_hit_count,ja_file_count,ja_status,zh_hans_form,zh_hans_hit_count,zh_hans_file_count,zh_hans_status,ko_form,ko_hit_count,ko_file_count,ko_status,total_native_hit_count,cjk_lane_status,boundary,context_windows_json
prime ideal,cjk_scaffold_only,no,素イデアル,35,5,native_sourcebody_attested,素理想,0,0,generated_scaffold_only_no_native_hit,소 아이디얼,0,0,generated_scaffold_only_no_native_hit,35,ja:native_sourcebody_attested; zh_hans:generated_scaffold_only_no_native_hit; ko:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""prime ideal"", ""lane"": ""japanese"", ""form"": ""素イデアル"", ""source_path"": ""source-files/japanese/Seasawher__matsumura/section10.tex"", ""window"": "", _R 0 がある。 R = 1 であるという仮定と、 R のイデアル全体は全順序集合をなすということから、 _R は _R を含む唯一の素イデアルである。ゆえに [ _R = _R ] であるので、 ^n _R なる n がある。これは na - b > 0 を意味する。よって、 G ""}, {""concept"": ""prime ideal"", ""lane"": ""japanese"", ""form"": ""素イデアル"", ""source_path"": ""source-files/japanese/Seasawher__matsumura/section11.tex"", ""window"": ""。 S がDVRでないことを示そう。 n 0 に対し [ M_n = (x,y,x/y , , x/y^n)A ] とする。 M_n A は素イデアルであり、任意の n について [ M_0 M_ n-1 M_n M ] を満たすので M n である。したがって = M = である。Noe""}]"
principal ideal,cjk_scaffold_only,no,主イデアル,0,0,generated_scaffold_only_no_native_hit,主理想,0,0,generated_scaffold_only_no_native_hit,,0,0,no_scaffold_row,0,ja:generated_scaffold_only_no_native_hit; zh_hans:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,[]
problem,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
proof,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
proposition,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
quotient ring,cjk_scaffold_only,no,商環,5,1,native_sourcebody_attested,商环,0,0,generated_scaffold_only_no_native_hit,몫환,0,0,generated_scaffold_only_no_native_hit,5,ja:native_sourcebody_attested; zh_hans:generated_scaffold_only_no_native_hit; ko:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""quotient ring"", ""lane"": ""japanese"", ""form"": ""商環"", ""source_path"": ""source-files/japanese/imamuray__algebraic-systems/ch03-ring-and-polynomial/ch03-ring-and-polynomial.tex"", ""window"": ""nion ring) thm R : integral domain or field 0, 1 R 0 1 thm frame イデアルと商環 textExmCount 0 frame defn R : ring, J R, J enumerate a, b J a + b J r""}, {""concept"": ""quotient ring"", ""lane"": ""japanese"", ""form"": ""商環"", ""source_path"": ""source-files/japanese/imamuray__algebraic-systems/ch03-ring-and-polynomial/ch03-ring-and-polynomial.tex"", ""window"": ""a b = ab R/J : ring thmText defn R/J : R の J による 剰余環(factor ring) または 商環(quotient ring) defn thm enumerate R/J : zero ring J = R J = (0) R/J R""}]"
reduction,noether_corpus,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
relation,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
relatively complete system,noether_corpus,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
representation,curriculum_algebra,yes,表現,28,4,native_sourcebody_attested,表示,100,10,native_sourcebody_attested,표현,13,1,native_sourcebody_attested,141,ja:native_sourcebody_attested; zh_hans:native_sourcebody_attested; ko:native_sourcebody_attested,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""representation"", ""lane"": ""japanese"", ""form"": ""表現"", ""source_path"": ""source-files/japanese/HideakiHosaka__2015_linear_algebra/20150507.tex"", ""window"": ""の勉強をすると「方程式 (p_1 - p_2) a + (q_1 - q_2) b = 0 の解空間が 1 次元」という、もっとすっきりした表現が使えるようになります。 空間の場合も話は同じです。平面の方程式 ax+by+cz+d = 0 に通る 3 点の座標を代入すると、 a,b,""}, {""concept"": ""representation"", ""lane"": ""japanese"", ""form"": ""表現"", ""source_path"": ""source-files/japanese/homuralove__linear-algebra/L-Alg.tex"", ""window"": ""があれば指摘してほしい。 なお、コンピュータとを計算機と呼んでいるのはそういう文化の人間が作った資料であるためであって深い意味はない。ゆえに表現が統一されていないところもあると思う。 このノートでは「我々が扱う空間は3次元Euclid空間であり、これは内積の定義された計量ベクトル空間""}]"
representation theory,cjk_scaffold_only,no,表現論,0,0,generated_scaffold_only_no_native_hit,表示论,1,1,native_sourcebody_attested,표현론,0,0,generated_scaffold_only_no_native_hit,1,ja:generated_scaffold_only_no_native_hit; zh_hans:native_sourcebody_attested; ko:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""representation theory"", ""lane"": ""simplified_chinese"", ""form"": ""表示论"", ""source_path"": ""source-files/simplified_chinese/yhwu-is__Linear-Algebra-Left-Undone/讲义/其它/未竟专题14 范畴论视角下的线性代数.tex"", ""window"": ""escent)的理论; 淡中-Krein 对偶,主要是关于张量范畴的理论,将会横跨正文之 Jordan 分解和未竟专题之 Witt 理论与群表示论; 总结,将这两种理论在更广泛的语境下统合,这在前面的呈现之后应当是明显的. enumerate 其中第二、第三部分将会成为一系列抽象叙述的""}]"
respectively,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
resultant,noether_corpus,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
right module,cjk_scaffold_only,no,,0,0,no_scaffold_row,右模,0,0,generated_scaffold_only_no_native_hit,,0,0,no_scaffold_row,0,zh_hans:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,[]
ring,curriculum_algebra,yes,環,111,10,native_sourcebody_attested,环,191,11,native_sourcebody_attested,환,13,2,native_sourcebody_attested,315,ja:native_sourcebody_attested; zh_hans:native_sourcebody_attested; ko:native_sourcebody_attested,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""ring"", ""lane"": ""japanese"", ""form"": ""環"", ""source_path"": ""source-files/japanese/HideakiHosaka__2015_linear_algebra/20150415.tex"", ""window"": ""に -1 を代入する」という操作、より正確には「多項式 f(x) を x^2+1 で割った余りを考える」という操作 代数学の用語では「多項式環 R [x] をイデアル (x^2+1) で割る」という操作に相当します。 をすれば、多項式の変数だった x が -1 の平方根であるかのよ""}, {""concept"": ""ring"", ""lane"": ""japanese"", ""form"": ""環"", ""source_path"": ""source-files/japanese/imamuray__algebraic-systems/ch03-ring-and-polynomial/ch03-ring-and-polynomial.tex"", ""window"": ""m Exm. [subsection] exmText [textExmCount] Exm. frame frame 代数系入門 第3章 環と多項式 今村勇輝 document frame [plain] frame 第3章 環と多項式 環とその例 textExmCount 0 ""}]"
semisimple,cjk_scaffold_only,no,半単純,0,0,generated_scaffold_only_no_native_hit,半单,0,0,generated_scaffold_only_no_native_hit,,0,0,no_scaffold_row,0,ja:generated_scaffold_only_no_native_hit; zh_hans:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,[]
semisimple ring,cjk_scaffold_only,no,半単純環,0,0,generated_scaffold_only_no_native_hit,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,ja:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,[]
set,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
simple module,cjk_scaffold_only,no,単純加群,0,0,generated_scaffold_only_no_native_hit,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,ja:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,[]
statement,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
subgroup,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
submodule,cjk_scaffold_only,no,部分加群,1,1,native_sourcebody_attested,子模,0,0,generated_scaffold_only_no_native_hit,,0,0,no_scaffold_row,1,ja:native_sourcebody_attested; zh_hans:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""submodule"", ""lane"": ""japanese"", ""form"": ""部分加群"", ""source_path"": ""source-files/japanese/Seasawher__matsumura/section11.tex"", ""window"": ""nt proof 定理 11.3 (3) (1) I が有限生成なら (I^ -1 )_P = (I_P)^ -1 である。 rem K の部分加群として I^ -1 = (R : I) , (I_P)^ -1 = (R_P : I_P) と定義されていることにさえ注意すれば、本文通りの""}]"
subset,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
ternary form,noether_corpus,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
theorem,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
therefore,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
transvection,noether_corpus,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
variable,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
vector,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
vector space,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
