edge_id,pdf_page,annotation_index,rect_x0,rect_y0,rect_x1,rect_y1,visible_text_from_rect,input_destination,target_id,target_pdf_page,target_view,target_left,target_top,target_kind,target_expose,target_title,origin_class,application_id,override_id,status
sga1.edge.sha256.29c9531429f885f7f4d8a1846d7da7f3a9b8fbc5a7c17f9c69bf88d50f5cd30a,59,0,370.292,749.096,397.435,761.068,II.2.1.,proposition.146,sga1.e02.thm.2-1,29,/XYZ,87.874,450.856,thm,II,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.95ad5b0386f31f4109252759c065ec41ef1414b6a85da2116a43bcda0c3d029e,59,1,210.303,734.983,232.798,749.697,"r equi III.4, s map",section*.243,sga1.e03.sec.4,53,/XYZ,87.874,337.375,sec,III,Local infinitesimal lifting of smooth S-schemes,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.203501a0d5dee5c1eb827bf61f6e410be2b1a809949232ff5ec03ab71eb254bb,59,2,439.865,657.831,471.827,669.460,III.4.1,proposition.244,sga1.e03.thm.4-1,53,/XYZ,87.874,320.069,thm,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.c0983ffbb77dca61196d2aa4e12d9b4a4365a146377824f3e484ef0d9da92812,59,3,207.077,544.523,238.579,556.151,III.5.4,proposition.255,sga1.e03.cor.5-4,57,/XYZ,87.874,678.25,cor,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.2c30934760d8df0fe4f2976676b02100534ea14795dbb5cb7d5c0bab7f4876ac,59,4,300.606,544.523,332.107,556.151,"III.4.2,",proposition.246,sga1.e03.lem.4-2,54,/XYZ,87.874,607.615,lem,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.769b6c50f11504eba37033cc3050724e226d3027db9b3e88a7d5810da04bb878,59,5,260.203,492.717,291.704,504.346,III.5.1,proposition.251,sga1.e03.prop.5-1,55,/XYZ,87.874,765.508,prop,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.b359444b8c7b56a92966b78e48696de2ad7dc6ef5d952f9dba82e9bb184a1bd2,59,6,363.076,492.717,394.577,504.346,III.5.3,proposition.254,sga1.e03.cor.5-3,57,/XYZ,87.874,765.508,cor,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.68e418a31235920c4997accdb91d58969e1dca315269bcc4cc6b7b03b456206b,59,7,452.421,386.439,483.605,398.068,"1 III.6.1,",proposition.262,sga1.e03.prop.6-1,59,/XYZ,521.575,636.132,prop,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.b3cecea369588742d889449cd563b24bdd32641bab1bb71f978e521c9e4288f6,59,8,166.637,239.724,197.447,252.626,"III.4.1, each i a",proposition.244,sga1.e03.thm.4-1,53,/XYZ,87.874,320.069,thm,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.ef7ecdc8b8c9b6dfc77b0e21abdf83dc3e2b1a9b96eacde5b72a970b27519015,59,9,364.940,199.073,396.902,214.359,Ui ∩Uj III.6.2,proposition.263,sga1.e03.cor.6-2,59,/XYZ,87.874,355.903,cor,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.d942cdacb9a9c15d1c8efa9f97b69d302168b8993f7585b0ac54eee8a20282ec,60,0,110.118,545.643,142.080,559.145,III.6.1. h 2-cocy,proposition.262,sga1.e03.prop.6-1,59,/XYZ,521.575,636.132,prop,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.23f64833ef1317e866bf9a24b51573ad8ce9f766d018fa5650633959a88a61c0,60,1,253.210,519.390,260.657,532.292,(2),AMS.267,sga1.e03.eq.2,60,/XYZ,90.84,733.394,eq,III,Global infinitesimal lifting of smooth S-schemes,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.203e13fc6ca004468c85f0c2e2c0faf7e7f2a2a3439b7fe1b6b260c3abaa26d5,60,2,371.182,519.390,378.629,532.292,(1),AMS.265,sga1.e03.eq.1,59,/XYZ,90.84,98.927,eq,III,Global infinitesimal lifting of smooth S-schemes,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.70b5dbefa6d6f41751293c64ee2848a4814abceea439f25f88022cd7e1fcc44e,60,3,285.218,454.457,292.665,467.358,(3) sch,AMS.269,sga1.e03.eq.3,60,/XYZ,90.84,597.547,eq,III,Global infinitesimal lifting of smooth S-schemes,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.55096f806527a9a62cf68daafc39a1a2cc4cc85781eae2f311a7b6c09895cca6,60,4,206.802,376.068,214.250,388.969,(2),AMS.267,sga1.e03.eq.2,60,/XYZ,90.84,733.394,eq,III,Global infinitesimal lifting of smooth S-schemes,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.1c7ff4b0ed8dd7e089d077c8ef5ad9443acca0f638a2e0d64aee0e4e14654729,60,5,367.543,376.068,374.990,388.969,(4),AMS.271,sga1.e03.eq.4,60,/XYZ,90.84,516.385,eq,III,Global infinitesimal lifting of smooth S-schemes,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.98ee6fc4bc7e3ce2de7d8565cdeb7b80e2c008ce79fc4140edf9d69bb6ea61b9,60,6,502.383,316.434,508.610,330.518,.5 n,Hfootnote.273,sga1.reader.footnote.273,60,/XYZ,110.041,106.957,footnote,,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.9f579d57e44a06087d7453e5c8db2b57b4e515e494c004656f9be07f5dbc8774,60,7,143.173,291.138,175.016,302.766,III.6.1.,proposition.262,sga1.e03.prop.6-1,59,/XYZ,521.575,636.132,prop,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.ee2af6f9bb0603e1feab937fbfacf12a6d56b24c1c03fe712c8196040cbd3603,60,8,280.296,219.039,311.308,230.667,III.6.1,proposition.262,sga1.e03.prop.6-1,59,/XYZ,521.575,636.132,prop,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.c894e7831552d56edc89455c703fc79d628dd762b5970aa33c42950da1bafcd8,60,9,479.556,80.755,505.889,93.707,ee J. Gi- III.6.4.,proposition.274,sga1.e03.rem.6-4,60,/XYZ,87.874,235.108,rem,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.eeb43ff48bd42bb6ce48d857359c88d84c068b85496e90f669e04d342d711151,61,0,196.763,748.834,227.573,762.648,"III.6.3, element.",proposition.272,sga1.e03.thm.6-3,60,/XYZ,87.874,333.109,thm,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.3b911950bbf06be3341350fa706d5828bd98a873a577418562c1a384b4bddaff,61,1,117.245,603.663,123.472,617.140,e c 6,Hfootnote.279,sga1.reader.footnote.279,61,/XYZ,110.041,117.916,footnote,,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.cf1e3cefec2e3f9ff45a63cd46875cea229a23c2117e39ec00ae8487d6993917,61,2,373.154,493.502,406.124,505.131,"III.4.1,",proposition.244,sga1.e03.thm.4-1,53,/XYZ,87.874,320.069,thm,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.c0db043478a99df32a2656684ab53ad0fcf345861beabbb9e27e12b1d44b1a03,61,3,299.447,448.147,330.833,459.776,III.4.1,proposition.244,sga1.e03.thm.4-1,53,/XYZ,87.874,320.069,thm,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.059072f4fb8d9cc394286bc371fe096c610f546ea065633b372e1fb80849f24d,61,4,361.626,428.696,393.470,440.324,"III.6.3,",proposition.272,sga1.e03.thm.6-3,60,/XYZ,87.874,333.109,thm,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.f2801a3265f3596413ff522977a57810cc8a7b437abea6d5d3d8fba2609f9e97,61,5,378.129,245.730,410.581,257.359,"III.6.9,",proposition.282,sga1.e03.cor.6-9,61,/XYZ,87.874,444.765,cor,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.8391ab01081c4aa6b67fc6eceaeaa398f982fab64a58985d83f656ee1205a7a3,62,0,280.698,296.995,286.924,310.472,7,Hfootnote.286,sga1.reader.footnote.286,62,/XYZ,110.041,152.672,footnote,,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.dde124a7de12383383b301513e07b0adc0d1b9894ee726993fde2dec76a8d793,62,1,86.878,230.885,93.104,244.362,di 8,Hfootnote.288,sga1.reader.footnote.288,62,/XYZ,110.041,129.814,footnote,,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.e185db650427d5001b4a1ae7fc4f1cbc441759471e9333be4bcec5cda60711b2,62,2,354.757,217.934,360.983,231.411,or 9,Hfootnote.289,sga1.e03.note.niii-3,62,/XYZ,110.041,117.916,note,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.4ae34915fe8359202e63c4882bdd3600ed9a7a7638146096d164271b659f7cc2,62,3,314.470,114.572,341.289,128.462,III.6.6. J.-P. Ser,section*.278,sga1.e03.sec.6-6,61,/XYZ,87.874,658.586,sec,III,\theproposition ,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.369e1b77b6ca3930cc1512e19f13882f746c80933dd5d543146ac8507874b791,63,0,334.060,686.376,344.521,697.732,oot .10,Hfootnote.290,sga1.reader.footnote.290,63,/XYZ,114.275,95.998,footnote,,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.5ab295385fc4d9f5a8fde9904e86cd68489de60f4a97eef6706e2f3835f07a4a,63,1,439.488,528.838,462.166,540.466,III.6;,section*.261,sga1.e03.sec.6,58,/XYZ,87.874,211.076,sec,III,Global infinitesimal lifting of smooth S-schemes,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.63d54c76de7a179445b53f8560beb3196bed280c77a70f7b95d3e0c455ff94f2,63,2,132.894,515.542,164.712,527.515,III.6.4. duce the,proposition.274,sga1.e03.rem.6-4,60,/XYZ,87.874,235.108,rem,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.be218804f6f10e6182e79341d5abe95134dd3ccbcc63b9cb748bfff6a0bc8469,63,3,339.531,386.923,346.978,399.825,"'+1 (*) , th",AMS.292,sga1.e03.eq.star.key-eq-iii-7-star,63,/XYZ,90.84,497.503,eq,III,\textup {(b)} Unequal characteristics,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.59f8fa85cc99b840b851c8d79dd28a900fa72ae63dce5e021cd4bac9e3afeb97,63,4,254.627,108.139,291.468,119.767,"III.6.10,",proposition.283,sga1.e03.cor.6-10,61,/XYZ,87.874,261.799,cor,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.9779acc170ceade93d485001aa386f61d0d2ea0a4f6db42617fd84d401f2784b,63,5,276.040,80.755,282.640,94.646,9.,Hfootnote.289,sga1.e03.note.niii-3,62,/XYZ,110.041,117.916,note,III,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.905311c958dbdcab3f16d64bd5c05d677d2ee3a235a5d617a6042af7707a6b46,65,0,135.575,609.853,141.801,623.330,"stu e1,",Hfootnote.298,sga1.reader.footnote.298,65,/XYZ,110.041,118.856,footnote,,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.5e6ae4278616cc8e09ded3bfeee3ecf53613342aeb9139eaa1bfba8cff2c43c6,65,1,208.577,402.630,231.505,414.259,IV.1,section*.300,sga1.e04.sec.1,65,/XYZ,87.874,338.124,sec,IV,Elementary facts about flat modules,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.4ee1312c11c09efb3ad4ccf763f7df6dcd60ac4a5f7614a0aca7f305c33a7028,65,2,254.645,402.630,277.573,414.259,IV.2,section*.304,sga1.e04.sec.2,67,/XYZ,87.874,562.559,sec,IV,Faithfully flat modules,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.c1fa534e58271b021a73158df78d1d312c0066f28742928dcb551e24f15699d2,65,3,113.029,376.727,119.256,390.204,mu .2,Hfootnote.299,sga1.reader.footnote.299,65,/XYZ,110.041,106.957,footnote,,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.99becb5dafa1b61b26cc877635a601485e5593ca05b7a23c576ae42998d56ffb,66,0,424.386,366.347,455.033,377.976,IV.1.1,proposition.301,sga1.e04.prop.1-1,66,/XYZ,87.874,484.136,prop,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.9475f7a5b86474405538c441db7606b81ab0b102a7285477f109324207cf5d36,67,0,227.207,606.756,257.708,619.657,IV.1.2( then fo,proposition.302,sga1.e04.prop.1-2,66,/XYZ,87.874,245.118,prop,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.b532ffde8d44ff1cddf01380f93ae020906369fdfd9e16748d4bdffe5bba0820,67,1,355.088,94.873,377.274,106.502,IV.1.,section*.300,sga1.e04.sec.1,65,/XYZ,87.874,338.124,sec,IV,Elementary facts about flat modules,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.d83d61013104149423da6e65d795e6d9912c94e691452b10a3b9847a5cae62bf,68,0,477.006,316.057,508.671,327.686,IV.2.2,proposition.306,sga1.e04.cor.2-2,68,/XYZ,87.874,732.623,cor,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.a8f6729ae660dd7d95023727f27968c729a14e9b27cdf56d4c2e4b45ac4f5d48,68,1,165.204,303.106,195.706,314.735,"IV.2.3,",proposition.307,sga1.e04.prop.2-3,68,/XYZ,87.874,653.9,prop,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.8616730ffe2ad8b887d303a123a365ec4bc1786046cddb0d6a6da782a3f924c5,68,2,221.925,276.597,252.426,289.498,IV.2.5 mponent,proposition.309,sga1.e04.cor.2-5,68,/XYZ,87.874,390.915,cor,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.b57e65165c898709b3882ba134dd887f0971adda90dbec9f9a24791b784ff58b,68,3,212.450,238.349,243.999,249.977,IV.2.4,proposition.308,sga1.e04.cor.2-4,68,/XYZ,87.874,499.581,cor,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.766347dffbfd6e68c56f548541730f5ce3d1e8c6e24b3a6e72fd9f409e1f5a72,69,0,344.811,692.335,375.313,705.237,IV.2.3; position,proposition.307,sga1.e04.prop.2-3,68,/XYZ,87.874,653.9,prop,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.3109ece61f191fe9304fe711cc9da929dd33b9e8224487e21338050d4b981311,69,1,381.892,679.384,413.179,692.286,IV.2.1. n (iv bis,proposition.305,sga1.e04.prop.2-1,67,/XYZ,87.874,290.126,prop,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.3ca2a69b4c43409f90cb9f4cdd9ffa3a0468334ece5a71fc7a7b4b200d21c5c7,69,2,478.202,679.384,509.489,692.286,IV.1.1 by the,proposition.301,sga1.e04.prop.1-1,66,/XYZ,87.874,484.136,prop,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.f8d6effa615ee2e0aba029fe9640146d3b92f9f119df55a3f6395443e242f188,69,3,261.053,653.481,283.363,666.383,IV.1 the c,section*.300,sga1.e04.sec.1,65,/XYZ,87.874,338.124,sec,IV,Elementary facts about flat modules,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.b43c0420ae9e1104bd5c9fce0d66f1cedb91324811f421da624e2485ca6fd472,69,4,451.328,653.481,482.004,666.383,IV.2.1. .,proposition.305,sga1.e04.prop.2-1,67,/XYZ,87.874,290.126,prop,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.6c234893870ae8c61126b31bc336f928eaed7a732c8299fc327a241c31690849,69,5,420.058,640.530,451.142,653.431,IV.1.1.,proposition.301,sga1.e04.prop.1-1,66,/XYZ,87.874,484.136,prop,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.04e8f840c6463f56ab008b058d9c25490924784e59e04811276316fb22260ea7,69,6,284.617,329.210,315.700,342.112,IV.2.1. hing th,proposition.305,sga1.e04.prop.2-1,67,/XYZ,87.874,290.126,prop,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.34e2c1f90691d7858d369506637d1d4e40477745ac479605f09395d20eb3310f,69,7,270.418,303.387,302.083,317.861,rything IV.3.2,proposition.313,sga1.e04.cor.3-2,69,/XYZ,87.874,378.731,cor,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.2360ea9a1a149016fff172e5392a0023ee91f097ad891f3d1e07dd9bd40f756f,70,0,204.043,552.830,211.490,565.731,(*) ha,AMS.318,sga1.e04.eq.star,70,/XYZ,90.84,619.464,eq,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.055f3956c73e0f829bf886a62ee31b23d3ba46a9f70cd2f88f13d07ce240c00b,70,1,275.756,413.929,283.203,426.831,(*),AMS.318,sga1.e04.eq.star,70,/XYZ,90.84,619.464,eq,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.359085895162e1657f55fa3ae41ef7dded664e7c738f1dfb47c3fb2f109bf672,71,0,371.715,163.492,403.774,175.121,"IV.5.3,",proposition.326,sga1.e04.cor.5-3,71,/XYZ,87.874,260.068,cor,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.bace7d398b9fffd65ba4d2a51e0ae6d53c2fef56e77ab71139ea9e088292f2a0,71,1,282.353,94.267,312.854,107.169,IV.5.1.,proposition.322,sga1.e04.prop.5-1,70,/XYZ,87.874,181.241,prop,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.986322044a17776d4890306601376428c74e767f0994f9d8ebeeb63d9c8c21e2,71,2,478.987,94.267,509.489,107.169,IV.5.1,proposition.322,sga1.e04.prop.5-1,70,/XYZ,87.874,181.241,prop,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.2898ff40dcc31fd12fcea6f51502abaf5817c8064677f0f0f0150d80c35f0e44,72,0,430.959,693.862,438.406,706.764,(*),AMS.329,sga1.e04.eq.star.key-eq-iv-5-star,71,/XYZ,90.84,148.802,eq,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.9c5bf74dce491b42b2f2830da2947cf2c05e4f02ad8796975658d90ecf06befb,72,1,135.120,648.772,166.203,660.400,IV.5.4.,proposition.327,sga1.e04.cor.5-4,71,/XYZ,87.874,179.561,cor,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.e5ce6e89d0e98e8339d42357d5788338bbcadca4f9cdc544851963075db597e8,72,2,430.181,635.820,461.060,647.449,IV.5.5,proposition.330,sga1.e04.cor.5-5,72,/XYZ,87.874,765.508,cor,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.c8d202fe9932ce70c17852af8aab84e20bccb8e3598f04b34249aae4c0599a39,72,3,477.006,592.811,508.671,605.712,IV.5.5,proposition.330,sga1.e04.cor.5-5,72,/XYZ,87.874,765.508,cor,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.fe6fad58f49eea0a5ce8dfb24e6c35968e36e109f4e1bb2f88712b0cb0afba2e,73,0,477.035,590.498,508.671,602.127,IV.5.6,proposition.331,sga1.e04.thm.5-6,73,/XYZ,87.874,765.508,thm,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.25be3dddda21fe50ef02e1cd034bf0a21b47bef0c1c0c08bdbaf6c06ee2e674d,73,1,344.953,397.585,376.007,410.487,IV.1.1. ed modu,proposition.301,sga1.e04.prop.1-1,66,/XYZ,87.874,484.136,prop,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.76f97d52b5f0dc790292d1e21c7377de09e306fc3689fc42916fc02346f46f28,73,2,220.214,310.111,251.297,324.637,"Tor, to IV.5.6",proposition.331,sga1.e04.thm.5-6,73,/XYZ,87.874,765.508,thm,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.4088726cf15635cea8642cc905e10c23928dd21d107bbaa74594f8708a02051f,73,3,367.068,289.312,398.977,300.941,"IV.5.6,",proposition.331,sga1.e04.thm.5-6,73,/XYZ,87.874,765.508,thm,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.54d9c716f916f75373f1a028e64d963298c8b28ad54b123d9d5f774b8675c283,73,4,363.366,226.315,394.361,239.217,IV.3.2.,proposition.313,sga1.e04.cor.3-2,69,/XYZ,87.874,378.731,cor,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.7e15a8e91a8ab419f43881ac3e964c1ba10694348c4e89294824322a0c0cc540,73,5,132.575,216.091,163.659,225.598,IV.5.6,proposition.331,sga1.e04.thm.5-6,73,/XYZ,87.874,765.508,thm,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.ec4a5a32c6460a2a40683e107c53d36087a81ec7f9eb297ed87ffa63a65c8a07,73,6,418.970,172.080,450.053,183.709,IV.3.2.,proposition.313,sga1.e04.cor.3-2,69,/XYZ,87.874,378.731,cor,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.c09179bbff0f7c26bee264786025622f351ec5369b887df7ff48dc0e239fd630,74,0,132.575,738.609,163.659,748.117,IV.5.6,proposition.331,sga1.e04.thm.5-6,73,/XYZ,87.874,765.508,thm,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.7c3dec969255afcfae57ce6fc6a10fbe0f4d4fb65f4bb60a76d4d615777560da,74,1,241.798,634.496,273.463,646.124,IV.5.5,proposition.330,sga1.e04.cor.5-5,72,/XYZ,87.874,765.508,cor,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.e4e5f0dc18c82f787bc6da147b01db01d5c0d44055034b351f69e8be13d138c3,74,2,378.617,634.496,410.282,646.124,IV.5.6,proposition.331,sga1.e04.thm.5-6,73,/XYZ,87.874,765.508,thm,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.04b7b14856c5ca9cf1d9cd1b1867f264bd543f3440f99407c6e8764ebb7265a0,74,3,318.301,543.367,324.528,554.723,set 3,Hfootnote.336,sga1.reader.footnote.336,74,/XYZ,110.041,95.998,footnote,,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.018eb037af9fd29f3a77062d23a108e5a673b8bd4e212b3af062a0f27ca9cb9f,74,4,237.037,245.216,268.702,258.118,IV.6.1 orhood o,proposition.337,sga1.e04.lem.6-1,74,/XYZ,87.874,512.242,lem,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.1c55ad1f54a55641ca0b78ae6a44cdda4fa04de0b5800e9e8ae42c9057e0abc4,74,5,477.006,245.216,508.671,258.118,IV.6.3,proposition.339,sga1.e04.lem.6-3,74,/XYZ,87.874,415.879,lem,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.247679461eaac72720bcbc1888eb4c6dcd5acde9e7b6991b81d124aa8b7a9f48,74,6,216.877,129.774,247.961,141.403,"IV.6.2, ′",proposition.338,sga1.e04.lem.6-2,74,/XYZ,87.874,448,lem,IV,Chevalley,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.a9789df5983775a88049f9da8a40fdd55c98472c14dc2c8df3a25b2f65bf9541,74,7,312.785,129.774,343.868,141.403,IV.6.3,proposition.339,sga1.e04.lem.6-3,74,/XYZ,87.874,415.879,lem,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.5e9a4557577ad51eb824ef6754255ab4cec1d791650f434338a87cb6fc7263f0,75,0,327.800,643.758,358.301,655.386,IV.6.5,proposition.341,sga1.e04.cor.6-5,74,/XYZ,87.874,229.77,cor,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.6da052093dcf283e7f7492985c572c1642aa63334e89a9172c2f0c85f569aaee,75,1,294.470,590.887,326.135,603.581,IV.2.2.,proposition.306,sga1.e04.cor.2-2,68,/XYZ,87.874,732.623,cor,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.e7b66ab352f0ba3d343f48ff89770bef9258fbdfc8b5a99203407a2d6c31ec2e,75,2,393.977,590.887,425.642,603.581,IV.2.3,proposition.307,sga1.e04.prop.2-3,68,/XYZ,87.874,653.9,prop,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.19266a76c0b8dd8aad99684a93aaad96ab13b3db3871d65fea23ad930ae25447,75,3,241.290,527.195,247.516,540.672,f f 4,Hfootnote.344,sga1.reader.footnote.344,75,/XYZ,110.041,106.957,footnote,,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.9f413a24fa3ef566e4f3c041f940e72c485c4da4b882d67493e4fbe26d69c115,75,4,199.453,410.894,230.536,422.583,IV.6.6,proposition.342,sga1.e04.thm.6-6,75,/XYZ,87.874,706.192,thm,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.29ae470d8f6b91d19973bea1a7552f76e8e63743df38e641a4e4d48feb9fdeea,76,0,176.476,661.952,207.560,673.580,IV.6.7,proposition.345,sga1.e04.lem.6-7,75,/XYZ,87.874,406.5,lem,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.5d70e62487aafaa90b183bbdfeb4d81ea5d23e6a52841b7b0753cc9fc3ffc354,76,1,342.208,565.112,373.784,576.741,"IV.6.8,",proposition.346,sga1.e04.lem.6-8,76,/XYZ,87.874,765.508,lem,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.427dd6da90b8e1ed5c4dbc9ea428d27d277b26bbc4a79bdaaf0c7dae30ef56c0,76,2,258.010,519.176,289.093,532.078,IV.5.6,proposition.331,sga1.e04.thm.5-6,73,/XYZ,87.874,765.508,thm,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.973df6d7a7a1ae8648486ac84258329a6d5aa08eb140da82bfeb66b65da0cce7,76,3,403.608,384.482,435.273,397.383,IV.6.4. exactly,proposition.340,sga1.e04.cor.6-4,74,/XYZ,87.874,338.346,cor,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.876a9a0c2890e236114f9bdbf3b40dcb852d874798a7824eb97ca3da735a8496,76,4,263.758,371.530,294.259,384.432,IV.1.2(,proposition.302,sga1.e04.prop.1-2,66,/XYZ,87.874,245.118,prop,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.5a272a7d104783d2cac598deae85af829fd8473cd676ab852d4d88a0b46f77e5,76,5,478.169,371.530,508.671,384.432,IV.6.8,proposition.346,sga1.e04.lem.6-8,76,/XYZ,87.874,765.508,lem,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.b470f73bae6ce30a073bdd61f51af6a8852005de5238e8d039fa0b2091514753,76,6,156.332,359.185,187.415,370.813,IV.6.9.,proposition.347,sga1.e04.cor.6-9,76,/XYZ,87.874,581.181,cor,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.09fb3818a0a14f2238a8096612187890f60b40d09ee85931d48348c9c2fb4f56,76,7,398.182,346.233,435.410,357.862,IV.6.10,proposition.348,sga1.e04.thm.6-10,76,/XYZ,87.874,481.455,thm,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.4cf3c4af8f007592863e21cd5296b78963ae74e98e0aae3afa420ddfd1d80db9,76,8,219.407,333.282,250.985,344.911,"IV.6.7,",proposition.345,sga1.e04.lem.6-7,75,/XYZ,87.874,406.5,lem,IV,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.9946904c510c12301b2bde39635d9caf825489bc693a9558bcbb2163fd988abf,76,9,132.575,322.452,163.659,331.959,IV.5.6.,proposition.331,sga1.e04.thm.5-6,73,/XYZ,87.874,765.508,thm,IV,,inherited_internal_link,,,resolved_stable_goto
