printed_page	unit_id	fr_structure	en_structure	fr_tex_lines	en_tex_lines	math_segments	manual_structural_review
84	p084.u03	paragraph-start	paragraph-start	27-36	27-36	24	The proof-status distinction, common-general-theorem argument, distinct-prime M, both branches of TheoremII and a=5/13 specialization are complete. English does not supply the promised general proof.
84	p084.u04	paragraph-start	paragraph-start	38-43	38-43	7	The proof-status distinction, common-general-theorem argument, distinct-prime M, both branches of TheoremII and a=5/13 specialization are complete. English does not supply the promised general proof.
85	p085.u01	paragraph-start	paragraph-start	3-8	3-8	10	Complete logical shift from original representation to ps² forms; subsidiary-proposition difficulty, Legendre ternary equation/citation27, reader-developed proof and reason for the detailed addition all correspond. No a=13 theorem invented after the source etc.
85	p085.etc	paragraph-start	paragraph-start	10-11	10-11	0	Complete logical shift from original representation to ps² forms; subsidiary-proposition difficulty, Legendre ternary equation/citation27, reader-developed proof and reason for the detailed addition all correspond. No a=13 theorem invented after the source etc.
85	p085.u02	paragraph-start; the legible ps (without exponent) is retained	paragraph-start; the legible ps (without exponent) is retained	13-28	13-28	10	Complete logical shift from original representation to ps² forms; subsidiary-proposition difficulty, Legendre ternary equation/citation27, reader-developed proof and reason for the detailed addition all correspond. No a=13 theorem invented after the source etc.
85	p085.u03	paragraph-start	paragraph-start	30-34	30-34	0	Complete logical shift from original representation to ps² forms; subsidiary-proposition difficulty, Legendre ternary equation/citation27, reader-developed proof and reason for the detailed addition all correspond. No a=13 theorem invented after the source etc.
85	p085.rule1	separating-rule	separating-rule	36-36	36-36	0	Complete logical shift from original representation to ps² forms; subsidiary-proposition difficulty, Legendre ternary equation/citation27, reader-developed proof and reason for the detailed addition all correspond. No a=13 theorem invented after the source etc.
85	p085.heading	heading	heading	38-38	38-38	0	Complete logical shift from original representation to ps² forms; subsidiary-proposition difficulty, Legendre ternary equation/citation27, reader-developed proof and reason for the detailed addition all correspond. No a=13 theorem invented after the source etc.
85	p085.rule2	heading-rule	heading-rule	40-40	40-40	0	Complete logical shift from original representation to ps² forms; subsidiary-proposition difficulty, Legendre ternary equation/citation27, reader-developed proof and reason for the detailed addition all correspond. No a=13 theorem invented after the source etc.
85	p085.u04	paragraph-start; continues on 86	paragraph-start; continues on 86	42-48	42-48	0	Complete logical shift from original representation to ps² forms; subsidiary-proposition difficulty, Legendre ternary equation/citation27, reader-developed proof and reason for the detailed addition all correspond. No a=13 theorem invented after the source etc.
86	p086.u01	continuation of p085.u04	continuation of p085.u04	3-6	3-6	0	Every coprimality and parity step is translated; source’s necessary-condition wording is not silently changed. Transformation from even t to odd t′ is complete and maintains same ps². Final factor operations lead directly into87.
86	p086.u02	paragraph-start	paragraph-start	8-13	8-13	6	Every coprimality and parity step is translated; source’s necessary-condition wording is not silently changed. Transformation from even t to odd t′ is complete and maintains same ps². Final factor operations lead directly into87.
86	p086.u03	continuation	continuation	15-33	15-33	21	Every coprimality and parity step is translated; source’s necessary-condition wording is not silently changed. Transformation from even t to odd t′ is complete and maintains same ps². Final factor operations lead directly into87.
86	p086.u04	paragraph-start	paragraph-start	35-49	35-49	16	Every coprimality and parity step is translated; source’s necessary-condition wording is not silently changed. Transformation from even t to odd t′ is complete and maintains same ps². Final factor operations lead directly into87.
87	p087.u01	continuation of p086.u04	continuation of p086.u04	3-8	3-8	2	All parity reasoning, repeated2-symbol statements, product and reciprocal derivation, and the final substitution byβ′ retained. “Oddly even” preserves the historical expression; definition belongs only in apparatus.
87	p087.u02	continuation	continuation	10-19	10-19	15	All parity reasoning, repeated2-symbol statements, product and reciprocal derivation, and the final substitution byβ′ retained. “Oddly even” preserves the historical expression; definition belongs only in apparatus.
87	p087.u03	continuation	continuation	21-39	21-39	9	All parity reasoning, repeated2-symbol statements, product and reciprocal derivation, and the final substitution byβ′ retained. “Oddly even” preserves the historical expression; definition belongs only in apparatus.
87	p087.u04	continuation	continuation	41-53	41-53	8	All parity reasoning, repeated2-symbol statements, product and reciprocal derivation, and the final substitution byβ′ retained. “Oddly even” preserves the historical expression; definition belongs only in apparatus.
88	p088.u01	continuation	continuation	3-6	3-6	5	All hypotheses, last-case-first order, citation, explicit four factors and both half-sum/half-difference arguments correspond; concluding «D’un autre» continues onto89.
88	p088.u02	labelled-statement	labelled-statement	8-13	8-13	5	All hypotheses, last-case-first order, citation, explicit four factors and both half-sum/half-difference arguments correspond; concluding «D’un autre» continues onto89.
88	p088.u03	paragraph-start	paragraph-start	15-25	15-25	7	All hypotheses, last-case-first order, citation, explicit four factors and both half-sum/half-difference arguments correspond; concluding «D’un autre» continues onto89.
88	p088.u04	paragraph-start	paragraph-start	27-41	27-41	21	All hypotheses, last-case-first order, citation, explicit four factors and both half-sum/half-difference arguments correspond; concluding «D’un autre» continues onto89.
88	p088.u05	paragraph-start	paragraph-start	43-52	43-52	9	All hypotheses, last-case-first order, citation, explicit four factors and both half-sum/half-difference arguments correspond; concluding «D’un autre» continues onto89.
88	p088.u06	paragraph-start; continues on p089	paragraph-start; continues on p089	54-59	54-59	9	All hypotheses, last-case-first order, citation, explicit four factors and both half-sum/half-difference arguments correspond; concluding «D’un autre» continues onto89.
89	p089.u01	continuation of p088.u06	continuation of p088.u06	3-12	3-12	15	All proof clauses, the arbitrary but matched sign choices, root interval, and substitution of chi s for plus/minus t correspond. Explicit Si conditionals restored.
89	p089.u02	continuation	continuation	14-35	14-35	10	All proof clauses, the arbitrary but matched sign choices, root interval, and substitution of chi s for plus/minus t correspond. Explicit Si conditionals restored.
89	p089.u03	paragraph-start	paragraph-start	37-50	37-50	19	All proof clauses, the arbitrary but matched sign choices, root interval, and substitution of chi s for plus/minus t correspond. Explicit Si conditionals restored.
90	p090.u01	continuation	continuation	3-14	3-14	6	All four prose units and both cases are fully represented. Three introductory Si conditions restored rather than compressed into participles.
90	p090.u02	continuation	continuation	16-23	16-23	6	All four prose units and both cases are fully represented. Three introductory Si conditions restored rather than compressed into participles.
90	p090.u03	continuation	continuation	25-35	25-35	22	All four prose units and both cases are fully represented. Three introductory Si conditions restored rather than compressed into participles.
90	p090.u04	continuation; word divided at source page boundary	continuation; corresponding source word divided der-/nière	37-51	37-51	15	All four prose units and both cases are fully represented. Three introductory Si conditions restored rather than compressed into participles.
91	p091.u01	continuation of p090.u04; completes der-/nière	continuation of p090.u04; corresponds to der-/nière seam	3-13	3-13	16	Six corresponding units preserve the half-sum argument, factor-square argument, addition of the b-multiple, alternative 8n+7/8n+3 criterion and switch to Theorem II. Explicit Si l’on combine restored.
91	p091.u02	paragraph-start	paragraph-start	15-21	15-21	8	Six corresponding units preserve the half-sum argument, factor-square argument, addition of the b-multiple, alternative 8n+7/8n+3 criterion and switch to Theorem II. Explicit Si l’on combine restored.
91	p091.u03	continuation	continuation	23-29	23-29	15	Six corresponding units preserve the half-sum argument, factor-square argument, addition of the b-multiple, alternative 8n+7/8n+3 criterion and switch to Theorem II. Explicit Si l’on combine restored.
91	p091.u04	inset-statement	inset-statement	31-34	31-34	5	Six corresponding units preserve the half-sum argument, factor-square argument, addition of the b-multiple, alternative 8n+7/8n+3 criterion and switch to Theorem II. Explicit Si l’on combine restored.
91	p091.u05	paragraph-start	paragraph-start	36-40	36-40	1	Six corresponding units preserve the half-sum argument, factor-square argument, addition of the b-multiple, alternative 8n+7/8n+3 criterion and switch to Theorem II. Explicit Si l’on combine restored.
91	p091.u06	paragraph-start; continues on p092	paragraph-start; continues on p092	42-47	42-47	6	Six corresponding units preserve the half-sum argument, factor-square argument, addition of the b-multiple, alternative 8n+7/8n+3 criterion and switch to Theorem II. Explicit Si l’on combine restored.
92	p092.u01	continuation of p091.u06	continuation of p091.u06	3-12	3-12	12	Every paragraph and relation corresponds; assumptions s odd, t/u opposite parity and three non-divisibility statements are retained. Conditional multiplication is now explicit.
92	p092.u02	paragraph-start	paragraph-start	14-17	14-17	12	Every paragraph and relation corresponds; assumptions s odd, t/u opposite parity and three non-divisibility statements are retained. Conditional multiplication is now explicit.
92	p092.u03	paragraph-start	paragraph-start	19-32	19-32	5	Every paragraph and relation corresponds; assumptions s odd, t/u opposite parity and three non-divisibility statements are retained. Conditional multiplication is now explicit.
92	p092.u04	continuation	continuation	34-52	34-52	9	Every paragraph and relation corresponds; assumptions s odd, t/u opposite parity and three non-divisibility statements are retained. Conditional multiplication is now explicit.
92	p092.u05	paragraph-start; continues on p093	paragraph-start; continues on p093	54-55	54-55	1	Every paragraph and relation corresponds; assumptions s odd, t/u opposite parity and three non-divisibility statements are retained. Conditional multiplication is now explicit.
93	p093.u01	continuation of p092.u05	continuation of p092.u05	3-17	3-17	15	Every case and reason retained, including oddly even for impairement pair. Inset announcement now retains Si nous réunissons; final En comparant remains participial as printed.
93	p093.u02	paragraph-start	paragraph-start	19-21	19-21	5	Every case and reason retained, including oddly even for impairement pair. Inset announcement now retains Si nous réunissons; final En comparant remains participial as printed.
93	p093.u03	paragraph-start	paragraph-start	23-34	23-34	18	Every case and reason retained, including oddly even for impairement pair. Inset announcement now retains Si nous réunissons; final En comparant remains participial as printed.
93	p093.u04	continuation	continuation	36-40	36-40	6	Every case and reason retained, including oddly even for impairement pair. Inset announcement now retains Si nous réunissons; final En comparant remains participial as printed.
93	p093.u05	paragraph-start; announces p094 statement	paragraph-start; announces p094 statement	42-44	42-44	2	Every case and reason retained, including oddly even for impairement pair. Inset announcement now retains Si nous réunissons; final En comparant remains participial as printed.
94	p094.u01	labelled-statement announced on p093	labelled-statement announced on p093	3-16	3-16	9	All six units correspond, including pair assumption on psi, every coprimality step, every odd-divisor qualification, the E,K,F,L order and the transition to K/L on p95.
94	p094.u02	paragraph-start	paragraph-start	18-24	18-24	7	All six units correspond, including pair assumption on psi, every coprimality step, every odd-divisor qualification, the E,K,F,L order and the transition to K/L on p95.
94	p094.u03	paragraph-start	paragraph-start	26-27	26-27	2	All six units correspond, including pair assumption on psi, every coprimality step, every odd-divisor qualification, the E,K,F,L order and the transition to K/L on p95.
94	p094.u04	paragraph-start	paragraph-start	29-40	29-40	19	All six units correspond, including pair assumption on psi, every coprimality step, every odd-divisor qualification, the E,K,F,L order and the transition to K/L on p95.
94	p094.u05	paragraph-start	paragraph-start	42-55	42-55	8	All six units correspond, including pair assumption on psi, every coprimality step, every odd-divisor qualification, the E,K,F,L order and the transition to K/L on p95.
94	p094.u06	continuation; continues on p095	continuation; continues on p095	57-59	57-59	8	All six units correspond, including pair assumption on psi, every coprimality step, every odd-divisor qualification, the E,K,F,L order and the transition to K/L on p95.
95	p095.u01	continuation of p094.u06	continuation of p094.u06	3-15	3-15	8	All three units preserve the square-congruence alternatives, the 2-adic factorization K=2^beta K-prime, the K-prime divisor argument, its L analogue, repeated product identities and final simultaneous-even case.
95	p095.u02	paragraph-start	paragraph-start	17-35	17-35	34	All three units preserve the square-congruence alternatives, the 2-adic factorization K=2^beta K-prime, the K-prime divisor argument, its L analogue, repeated product identities and final simultaneous-even case.
95	p095.u03	paragraph-start; continues on p096	paragraph-start; continues on p096	37-40	37-40	8	All three units preserve the square-congruence alternatives, the 2-adic factorization K=2^beta K-prime, the K-prime divisor argument, its L analogue, repeated product identities and final simultaneous-even case.
96	p096.u01	continuation of p095.u03	continuation of p095.u03	3-18	3-18	20	Every clause and both parity cases correspond; the explicit conditional in the first paragraph restored. No shortening of the second repeated proof.
96	p096.u02	continuation	continuation	20-23	20-23	4	Every clause and both parity cases correspond; the explicit conditional in the first paragraph restored. No shortening of the second repeated proof.
96	p096.u03	paragraph-start	paragraph-start	25-34	25-34	11	Every clause and both parity cases correspond; the explicit conditional in the first paragraph restored. No shortening of the second repeated proof.
96	p096.u04	continuation; continues on p097	continuation; continues on p097	36-43	36-43	7	Every clause and both parity cases correspond; the explicit conditional in the first paragraph restored. No shortening of the second repeated proof.
97	p097.u01	continuation of p096.u04	continuation of p096.u04	3-11	3-11	6	All five units correspond completely; explicit Si nous remplaçons and Si l’on multiplie maintenant are present, unlike the old direct-draft participles. No omitted sign-choice explanation or proof step.
97	p097.u02	quoted-statement	quoted-statement	13-16	13-16	6	All five units correspond completely; explicit Si nous remplaçons and Si l’on multiplie maintenant are present, unlike the old direct-draft participles. No omitted sign-choice explanation or proof step.
97	p097.u03	paragraph-start	paragraph-start	18-32	18-32	17	All five units correspond completely; explicit Si nous remplaçons and Si l’on multiplie maintenant are present, unlike the old direct-draft participles. No omitted sign-choice explanation or proof step.
97	p097.u04	continuation	continuation	34-39	34-39	11	All five units correspond completely; explicit Si nous remplaçons and Si l’on multiplie maintenant are present, unlike the old direct-draft participles. No omitted sign-choice explanation or proof step.
97	p097.u05	paragraph-start; continues on p098	paragraph-start; continues on p098	41-43	41-43	4	All five units correspond completely; explicit Si nous remplaçons and Si l’on multiplie maintenant are present, unlike the old direct-draft participles. No omitted sign-choice explanation or proof step.
98	p098.u01	continuation of p097.u05	continuation of p097.u05	3-6	3-6	0	All nine text units plus terminal rule correspond; the author’s decision not to repeat a proof is translated, not replaced with invented proof. Both 20n cases, both 12n alternatives, and final punctuation retained.
98	p098.u02	quoted-statement	quoted-statement	8-10	8-10	7	All nine text units plus terminal rule correspond; the author’s decision not to repeat a proof is translated, not replaced with invented proof. Both 20n cases, both 12n alternatives, and final punctuation retained.
98	p098.u03	paragraph-start	paragraph-start	12-14	12-14	0	All nine text units plus terminal rule correspond; the author’s decision not to repeat a proof is translated, not replaced with invented proof. Both 20n cases, both 12n alternatives, and final punctuation retained.
98	p098.u04	paragraph-start	paragraph-start	16-22	16-22	4	All nine text units plus terminal rule correspond; the author’s decision not to repeat a proof is translated, not replaced with invented proof. Both 20n cases, both 12n alternatives, and final punctuation retained.
98	p098.u05	paragraph-start	paragraph-start	24-28	24-28	4	All nine text units plus terminal rule correspond; the author’s decision not to repeat a proof is translated, not replaced with invented proof. Both 20n cases, both 12n alternatives, and final punctuation retained.
98	p098.u06	quoted-statement	quoted-statement	30-35	30-35	10	All nine text units plus terminal rule correspond; the author’s decision not to repeat a proof is translated, not replaced with invented proof. Both 20n cases, both 12n alternatives, and final punctuation retained.
98	p098.u07	paragraph-start	paragraph-start	37-43	37-43	5	All nine text units plus terminal rule correspond; the author’s decision not to repeat a proof is translated, not replaced with invented proof. Both 20n cases, both 12n alternatives, and final punctuation retained.
98	p098.u08	paragraph-start	paragraph-start	45-47	45-47	1	All nine text units plus terminal rule correspond; the author’s decision not to repeat a proof is translated, not replaced with invented proof. Both 20n cases, both 12n alternatives, and final punctuation retained.
98	p098.u09	quoted-statement	quoted-statement	49-53	49-53	8	All nine text units plus terminal rule correspond; the author’s decision not to repeat a proof is translated, not replaced with invented proof. Both 20n cases, both 12n alternatives, and final punctuation retained.
98	p098.rule	terminal-rule	terminal-rule	55-55	55-55	0	All nine text units plus terminal rule correspond; the author’s decision not to repeat a proof is translated, not replaced with invented proof. Both 20n cases, both 12n alternatives, and final punctuation retained.
