"active_row_id","language_code","name","native_source_status","scoped_sufficiency_or_gap_scope","r6_packet_decision_before_8f7","applied_8f7_gate_ids","applied_8f7_gate_decision","prior_r6_source_witness_rows_from_authority_delta","authority_delta_recovery_gap_rows","required_next_artifact","next_gate_or_recovery_action","no_claim_boundary"
"R6-ACTIVE-039","u","Mexico CONALITEG/Nanahuatzin","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-040","u","Mexico Nahuatl/Hnahnu/Maya/Nanahuatzin","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-041","u","Nahuatl","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-042","u","Nahuatl / Indigenous-language education candidate","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","If pursued, inspect repository source-body language and mathematics content under a separate capture policy, record file hashes, license scope, source-owner/reviewer route, and B3 payload boundary before any movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-043","gn","Paraguay Guarani","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-044","gn","Paraguay Guarani/Matematica PRODEPA","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-045","u","Paraguay MEC CMS","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-046","u","Peru Quechua/Aymara","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Wait for reviewer/source-owner/reuse returns; no duplication.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-047","u","Peru Quechua/Aymara existing reader","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Do not duplicate Peru EIB reader; wait for reviewer/source-owner/reuse returns.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-048","u","Quechua Central","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","no Quechua macrostandard, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot | Retry through browser/manual/source-owner route before treating live URL as stable; do not change license/source-authority state.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-049","u","Quechua Chanka","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","no Quechua macrostandard, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot | Retry through browser/manual/source-owner route before treating live URL as stable; do not change license/source-authority state.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-050","gn","Quechua/Kichwa, Aymara, Guarani, and adjacent Indigenous-language targets","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Continue official source capture and reviewer/source-owner routes; do not infer technical register from TeX gap.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-051","gn","Quechua/Kichwa, Aymara, Guarani, Uspanteko, Nahuatl/Hnahnu/Maya/Nanahuatzin, and adjacent Indigenous-language targets","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","If a repository is found, verify target-language mathematical content, license/access status, hashable source files, and reviewer/source-owner route before any use.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-052","ase","ASL","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot | no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot | no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-053","ase","ASL, LSQ, DGS, International Sign comparator, and future signed-language rows","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","If a sign/access repository is found, verify media/source ownership, license/access, video/sign authority, reviewer route, and captions/transcripts separately.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-054","ase","ASL, LSQ, DGS, International Sign, future signed-language rows","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use local signed-language source routes, video/access metadata, and media/reviewer gates.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-055","gsg","DGS","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","no category row accepted as sign authority; no media copy, no translation, no surface, no pilot | no category row accepted as sign authority; no media copy, no translation, no surface, no pilot | no category row accepted as sign authority; no media copy, no translation, no surface, no pilot","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-056","fcs","LSQ","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot | no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot | no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-057","u","International Sign comparator","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","no lexicon authority, no accepted signs, no national signbank transfer, no translation, no constructed surface, no pilot | no normal national-language lane treatment, no dictionary acceptance, no translation, no constructed surface, no pilot | no one-sign-per-word normalization, no forced standard technical lexicon, no sign acceptance, no translation, no surface, no pilot","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
