"priority","status","paper","printed_page_or_band","last_seen_or_fixed_in","error_class","old_or_bad_reading","source_backed_reading","what_this_means","next_action","evidence"
"P2","closed_no_patch_after_dense_reopen","P19","66","WebB R806/R810/R811/R813 plus LocalCodex v12","Brandt matrix microgeometry and entries","multiple suspected matrix-entry or relation-glyph changes","current Brandt example matrix and similarity glyph retained","Repeated independent reopening found no secure delta; the matrix is a sentinel rather than an open correction.","Do not churn without a stronger witness or a pinpointed source discrepancy.","Noether_R813_P19_p066_brandt_matrix_no_patch.png; R810/R811/R813 no_patch_checks.csv"
"P0","closed_source_backed_patch_compile_render_ok_supersedes_v12","P19","65-66","WebB R816 independently verified by LocalCodex v13","terminal class/exponent index-family conflation","v12 used varrho for rank and terminal class/exponent family","source uses varrho for rank; e for r_e, B_e, and B_(e+1); nu remains proof-target family","The same local passage uses three role-distinct indices. Conflating them changes the class decomposition and rank-reference formulas.","Keep v13 mixed varrho/e/nu reading; treat v12 CO-070 and its hard-math row as superseded.","R816 PPN full pages 65-66; P19_p065_e_family_display_focus.png; P19_p066_eplusone_rank_focus.png; R814_R816_SOURCE_ADJUDICATION.csv"
"P0","closed_source_backed_patch_survives_current_fullpaper_reaudit","P31","98","Noether_LocalCodex_20260718_P31_FullPaperCanonicalReaudit","dimension-erasing matrix compression","literal 2x2-looking matrix (c_1 0; 0 c_n)","source schematic matrix (c_1 0; vertical ellipses; 0 c_n)","The paragraph has n components. Omitting the ellipsis row turns the source's n-dimensional diagonal shorthand into an apparent 2x2 representation.","Keep the compact three-row source shorthand. Treat matrices with correct corners but missing continuation marks as structural math hazards.","P31 raw GDZ 600 ppi page; P31_PAGE_QC_LEDGER_current.csv; current cumulative TeX/PDF"
"P0","closed_source_backed_patch_compile_render_ok_supersedes_false_closures","P32","226","LocalCodex v15 contradiction archaeology and direct source recheck","parameter-family substitution across linked formulas and prose","b^2p^2 beta; (bp varrho/Xi^n)^2; a,b,p,varrho","b^2p^2 ell^2; (bp ell/Xi^n)^2; a,b,p,ell","The bad cumulative mixed beta and varrho in one construction and destroyed the single parameter used by the source. The final numerical term 9*64 is b^2 p^2 ell^2 for b=3, p=2, ell=4, independently confirming the source reading.","Keep all four ell loci synchronized. Treat R486, R730, and R750 p226 closures as superseded; R399/R401 were correct.","P32_source_printed_p226_IA_leaf0387.jpg; P32_p226_formula_broad_crop.png; P32_p226_formula_following_identity_crop.png; P32_p226_alternate_IA_witness_rotated.png; before_v14_pdfpage312-312.png; after_v15_pdfpage312-312.png"
"P0","closed_source_backed_patch_survives_current_fullpaper_reaudit","P31","87-88","Noether_LocalCodex_20260718_P31_FullPaperCanonicalReaudit","divisibility congruence collapsed into equality and capital letter O","B=O(A); q=O(p); p^rho=O(q)","B congruent 0 (A); q congruent 0 (p); p^rho congruent 0 (q)","These are the paper's divisibility conditions. Replacing congruence-to-zero modulo an ideal by equality with an apparent O-function changes both relation and operand.","Keep all three congruence units intact. Search future OCR for =O( and visually distinguish triple bar, zero, and capital O.","P31 raw GDZ 600 ppi page; P31_PAGE_QC_LEDGER_current.csv; current cumulative TeX/PDF"
"P0","closed_source_backed_patch_compile_render_ok_supersedes_false_closures","P32","225","LocalCodex v17 independent second pass","upper and lower coefficient indices flattened into one subscript","gamma_i1...gamma_im and matrix gamma_ik","gamma^i_1...gamma^i_m and matrix gamma^i_k","Flattening the indices merges two independent roles in the representation matrix: the ideal-basis element i and matrix coordinate 1/m/k. It changes the coefficient family, not merely its typography.","Keep superscript i and subscript coordinate distinct. Treat the 2026-06-29/R401/R510 closure chain and the v15 page-ledger claim as superseded.","P32_p225_footnote1_ideal_matrix_indices_crop.png; P32_p225_gamma_indices_native600_upscaled1000_labelled.png; P32_p225_227_INDEX_PRODUCT_ADJUDICATION.md; current TeX line 16160"
"P0","closed_source_backed_patch_compile_render_ok_supersedes_false_no_patch","P32","227","LocalCodex v17 independent second pass","explicit multiplication operator omitted","Pi epsilon = -1","Pi cdot epsilon = -1","The source prints an explicit product identity. Omitting its operator makes adjacency carry multiplication implicitly and is a one-glyph loss inside a proof-critical norm calculation.","Keep the centered dot and use display-level operator checks even after broad page closure.","P32_p227_Pi_times_epsilon_zoom.png; P32_p225_227_INDEX_PRODUCT_ADJUDICATION.md; current TeX line 16248"
"P1","closed_source_fidelity_patch_compile_render_ok_likely_printed_typo","P34","658","LocalCodex v18 independent second pass","silent source emendation / index substitution","source-printed r_1 prime plus r_2 prime had been silently changed to mathematically expected r_1 prime plus r_1 double-prime","source transcription restores r_1 prime plus r_2 prime; likely printed typo is retained and documented","The old cumulative was mathematically motivated but not diplomatic. A canonical source-critical text must not conceal the difference between what Noether's page prints and what an editor expects.","Retain the printed index in the transcription; keep the likely-typo explanation in the audit layer only unless an explicit editorial-apparatus policy is later adopted.","P34 p658 GDZ full-resolution page; p658_source_index_2x.png; P34_p658_659_SOURCE_FIDELITY_PROOF_ADJUDICATION.md; current TeX line 16879"
"P0","closed_source_backed_patch_compile_render_ok_supersedes_false_prior_audit","P34","659","LocalCodex v18 independent second pass","hard-math containment and intermediate ideal omitted","(r a_i,r b_i)=(r,0)=r","(r a_i,r b_i) subseteq (r,a_i b_i)=(r,0)=r","The omitted containment and intermediate ideal are the actual argument showing that a right ideal of a_i is a right ideal of the whole ring. The compressed equality chain is not source-faithful and suppresses the proof.","Keep the full containment chain. Treat the 2026-06-28 broad p659 disposition as superseded.","P34 p659 GDZ full-resolution page; P34_p659_source_containment_chain_2x_labelled.png; P34_p658_659_SOURCE_FIDELITY_PROOF_ADJUDICATION.md; current TeX lines 16914-16916"
"P0","closed_source_backed_patch_compile_render_ok","P34","648","LocalCodex v19 independent full-page audit","relation glyph: isomorphism collapsed to homomorphism in three theorem conclusions","Gbar/Abar sim G/A; (G/N)/(A/N) sim G/A; AB/B sim A/(A cap B)","Gbar/Abar simeq G/A; (G/N)/(A/N) simeq G/A; AB/B simeq A/(A cap B)","The cumulative weakened all three isomorphism-theorem conclusions to mere homomorphic correspondence, despite defining sim and simeq distinctly on the preceding source page.","Keep simeq in the three displayed conclusions; retain sim only for the proof's explicitly homomorphic maps.","P34 p648 GDZ full-resolution page; P34_p648_isomorphism_relations_2x_labelled.png; v18/v19 exact TeX diff; v19 rendered output p320"
"P1","closed_source_backed_patch_compile_render_ok","P34","675","LocalCodex v20 independent full-page audit","relation glyph: isomorphism collapsed to homomorphism","directly indecomposable consequence ended with sim l_i","source reads simeq l_i","The theorem's conclusion is operator-isomorphism, not merely homomorphic correspondence.","Retain the v20 simeq reading; reopen only against stronger source evidence.","P34_p675_isomorphism_glyph_2x_labelled.png; CO-20260711-100"
"P0","closed_source_backed_patch_compile_render_ok","P34","676","LocalCodex v20 independent full-page audit","omitted algebraic derivation step","double-sum product jumped directly to sum c_i1 alpha_ik","source includes the intermediate product sum c_ik alpha_ik c_k1","A substantive matrix-unit multiplication step had disappeared from the editable derivation.","Retain the complete three-stage chain and check for analogous collapsed derivations elsewhere.","P34_p676_omitted_intermediate_product_2x_labelled.png; CO-20260711-101"
"P1","closed_source_backed_patch_compile_render_ok","P34","682","LocalCodex v20 independent full-page audit","relation glyph: isomorphism collapsed to homomorphism","rank-one fields stated as sim Omega","source states simeq Omega","The old glyph weakened the field-isomorphism assertion.","Retain the v20 simeq reading; include this locus in the global sim-versus-simeq hazard family.","P34_p682_isomorphism_glyph_2x_labelled.png; CO-20260711-102"
"P1","closed_source_backed_patch_compile_render_ok","P34","687","LocalCodex v20 independent full-page audit","missing multiplication operator","Hauptspur formula ended n sum_i alpha_ii","source prints n cdot sum_i alpha_ii","The scalar factor survived, but the explicit operator in the source formula did not.","Retain the centered dot and treat omitted operators as a separate symbol-level hazard.","P34_p687_hauptspur_product_dot_2x_labelled.png; CO-20260711-103"
"P0","closed_source_backed_patch_compile_render_ok","P35","67","LocalCodex v21 independent full-paper audit","wrong mathematical constant","generated ring described with 1/e","source reads 1/c","The cumulative named the wrong generator for the degenerate constant-function case.","Retain 1/c and reopen only against contradictory source evidence.","P35_p067_one_over_c_2x_labelled.png; CO-20260711-106"
"P0","closed_source_backed_patch_compile_render_ok","P35","70-71","LocalCodex v21 independent full-paper audit","linked symbol-family collapse across a proof","algebraic integer a; exponents alpha_i; common denominator d","source uses algebraic integer alpha; exponents varrho_i; common denominator delta, continued through gamma alpha and the lambda products","Three distinct source symbols had been normalized into misleading Latin/Greek substitutes across a cross-page argument.","Keep the repaired alpha-varrho-delta family coherent across both pages; check analogous long proofs for family drift.","P35_p070_alpha_rho_delta_family_2x_labelled.png; P35_p071_gamma_alpha_lambda_rho_family_2x_labelled.png; CO-20260711-107; CO-20260711-108"
"P0","closed_source_backed_rechecked_v23","P38","401","Earlier targeted P38 repair; independently rechecked by LocalCodex v23","field-chain direction and index order","reversed or incoherent cumulative Lambda chain","K=Lambda_0>Lambda_1>...>Lambda_r=Omega with proof indices following the same direction","Reversing the field chain changes the reduction argument rather than merely its notation.","Retain the source chain; reopen only against contradictory original-source evidence.","GDZ P38 p401 full page; P38_p401_reduction3_lambda_normensatz_native600_crop.png; CO-20260711-132; ADJ-20260711-090"
"P0","closed_source_backed_rechecked_v23","P38","402-403","Earlier targeted P38 repair; independently rechecked by LocalCodex v23","proof-content omission and symbol-family substitution","compressed alpha/B_i simplification with the divisibility calculation absent","source pi/Delta_Pi/d_Pi local proof followed by the complete divisibility calculation","The old text replaced the actual local-field proof with a non-source simplification and lost a necessary algebraic step.","Retain the complete two-page source proof and audit analogous compressed local arguments elsewhere.","GDZ P38 pp402-403 full pages; P38_p402_satz3_pi_delta_proof_native600_crop.png; P38_p403_divisibility_satz4_native600_crop.png; CO-20260711-136; ADJ-20260711-092"
"P0","closed_source_backed_rechecked_v23","P38","403","Earlier targeted P38 repair; independently rechecked by LocalCodex v23","locality error in theorem statement","global A^f sim Omega","local A_p^f sim Omega_p","Dropping the local subscripts changes Satz 4 from a statement about each completion to a false global-looking assertion.","Retain the local condition and include local/global subscript loss in future hazard scans.","GDZ P38 p403 full page; P38_p403_divisibility_satz4_native600_crop.png; CO-20260711-137; ADJ-20260711-093"
"P0","closed_source_backed_rechecked_v23","P38","404","Earlier targeted P38 repair; independently rechecked by LocalCodex v23","exponent-role collapse","discriminant and later root-field construction treated as if they shared one exponent","source discriminant statement n^n; distinct later roots of unity indexed by n^h for sufficiently large h","The two exponents belong to different mathematical constructions; normalizing them corrupts Satz 6.","Retain both source exponents in their distinct loci and audit repeated-letter exponents contextually.","GDZ P38 p404 full page; P38_p404_satz5_satz6_native600_crop.png; CO-20260711-140; ADJ-20260711-094"
"P1","closed_source_backed_patch_compile_render_ok","P38","402","LocalCodex v23 independent full-paper audit","diplomatic norm-operator notation drift","N_{K/Omega}(P_i)","source prints N_{K Omega}(P_i) as a compact subscript without a slash","The modernized quotient-style subscript is mathematically interpretable but is not a faithful transcription of the printed operator.","Retain N_{K Omega}(P_i) in the source-language edition; modern notation belongs only in editorial commentary.","GDZ P38 p402 full page; P38_p402_prime_norm_formula_zoom.png; CO-20260711-143; ADJ-20260711-097"
"P0","closed_source_backed_patch_compile_render_ok","P39","191","LocalCodex v24 independent full-paper audit","formula-to-prose relation malformed and note scope displaced","formula (2) followed by 'fur jedes z in K aus, und durch' with note 11 after the malformed clause","footnote call 11 follows the first z^S in formula (2), which ends with the source sentence 'fur jedes z aus K.' before formula (3)","A partial modernization replaced the source membership phrase but left the old preposition and conjunction, corrupting the grammar and relation between formulas (2) and (3).","Retain the source sentence and in-formula note scope; inspect similar modernization hybrids where TeX membership notation replaced prose.","Official P39 p191; P39_p191_note_formula2_zerfallende_native600_labelled.png; CO-20260711-154; ADJ-20260711-102"
"P1","closed_source_backed_patch_compile_render_ok","P39","192-193","LocalCodex v24 independent full-paper audit","linked ideal-prime symbol family flattened","plain Latin p in three p-adic phrases while k_p and Primideal p used fraktur","fraktur p in the p-adic extension, p-adic norm, and transition to the p-adic formulation","The old text mixed two glyph families for the same prime ideal across one local-global argument.","Retain fraktur p in all three phrases and audit p-adic prose against neighboring ideal notation rather than in isolation.","Official P39 pp192-193; P39_p192_class_norm_prime_native600_labelled.png; CO-20260711-159; ADJ-20260711-106"
"P1","closed_source_backed_patch_compile_render_ok","P37","150","LocalCodex v22 independent full-paper audit","mathematical prose qualifier omitted","irreducible ideals generate the representation, with no coefficient-ring qualification","irreducible ideals `(in bezug auf (G)_k bzw. (G)_Z)` generate the representation","The omission erased the scalar/group-ring distinction in the operator-isomorphism argument while leaving a grammatical sentence.","Retain the restored parenthetical and treat missing mathematical parentheticals as content omissions, not merely typography.","GDZ P37 printed p150 full-resolution page; CO-20260711-120; ADJ-20260711-086"
"P1","closed_source_backed_patch_compile_render_ok","P37","150","LocalCodex v22 independent full-paper audit","relation word omitted between paired decompositions","D decomposition and M decomposition printed side by side without an explicit relation","source prints `bzw.` between the group-determinant decomposition and the corresponding group-matrix decomposition","The formulas survived but the source's respective correspondence did not. This is a semantic connector inside a dense display.","Retain `bzw.` and audit dense paired displays for lost relation words even when all symbols appear present.","GDZ P37 printed p150 full-resolution page; CO-20260711-121; ADJ-20260711-087"
"P0","closed_source_backed_patch_compile_render_ok","P43","9","LocalCodex v26 independent complete-page audit","ideal/homomorphism correspondence reversed in prose","the clause paired Q and the null ideal with O_o and M_o","source pairs B and the null ideal with Q and M_o","The stale sentence assigned the wrong ideal and ambient object to the homomorphic-image argument, changing the proof's object correspondence.","Retain the repaired B/null-ideal versus Q/M_o clause and use object-role checks when prose links several ideals across a homomorphism.","P43 p009 native source page; P43_p009_ideal_homomorphism_B_Q_locus_zoom.png; CO-20260711-172; ADJ-20260711-118"
"P0","closed_source_backed_patch_compile_render_ok","P43","11","LocalCodex v26 independent complete-page audit","global unit replaced by component idempotent in two proof displays","alpha=alpha e_i in both occurrences","alpha=alpha e in both occurrences","The proof starts from alpha as an element of o and uses the global unit e before replacing e_i by e in the basis; the stale factor altered the contraction argument.","Retain global e in both relations and audit e/e_i/epsilon_i families as linked semantic symbols rather than isolated glyphs.","P43 p011 native source page; P43_p011_alpha_equals_alpha_e_locus_zoom.png; CO-20260711-173; ADJ-20260711-119"
"P1","closed_source_backed_patch_compile_render_ok","P43","12","LocalCodex v26 independent complete-page audit","congruence modulo an ideal flattened into equality","r e_i B_i = 0 followed by detached (S_i)","r e_i B_i congruent 0 (S_i)","The source first states vanishing modulo S_i and only then derives actual equality; flattening the relation erased a logical step.","Retain the congruence and audit parenthesized ideal moduli for lost congruence glyphs.","P43 p012 native source page; P43_p012_congruence_mod_Si_locus_zoom.png; CO-20260711-174; ADJ-20260711-120"
"P0","closed_current_head_complete_page_best_available","P40","514-541","LocalCodex v27","whole-paper mathematical/source-fidelity closure","Earlier compressed scaffold plus later contradictory candidate fixes","Current P40 span; exact to R802 closed body; all 28 pages have canonical dispositions","P40 is no longer an open mathematical-error lane on the current head.","Reopen only for a concrete source contradiction, not DPI alone.","P40_FULL_PAPER_CLOSURE_v27.md; P40_p514_541_page_dispositions_v27.csv"
"P1","rejected_false_positive_source_reopened","P40","537","LocalCodex v27","direct-sum display base symbol","Z_Omega=r^(1)+...+r^(n) (R687 proposal)","Z=r^(1)+...+r^(n)","A previously labeled confirmed fix was wrong and must remain rejected.","Keep plain Z unless stronger source evidence contradicts the raw page.","P40_printed_p537_plain_Z_equation.png; R739 rejected ledger"
"P0","closed_source_backed_patch_compile_render_ok","P20","32","WebB R818 integrated and independently checked by LocalCodex v28","coefficient-family index","U_i","U_lambda","The stale Latin index changed the coefficient family attached to the sum in S(Z","u); the source visibly uses lambda.","Retain U_lambda unless a concrete stronger source contradicts the GDZ page."
"P0","closed_current_head_complete_page_best_available","P20","26-33","LocalCodex v28","whole-paper mathematical/source-fidelity closure","Local v27 P20 plus unadjudicated WebB R818-R821 patch chain","Local v28 P20 span with 36 source-backed Web changes and one locally repaired Web regression","All eight printed pages now have current-head page dispositions and a compiled/rendered cumulative; no open mathematical error is known in P20.","Reopen only for a concrete source contradiction or newly identified mathematical locus.","NOETHER_PAGE_QC_LEDGER_current.csv; P20_R818_R821_fix_adjudication_v28.csv; splice_and_survival_verification_v28.json"
"P0","closed_source_backed_patch_compile_render_ok","P21","68","LocalCodex 2026-07-17 independent complete-page audit","prime on the defining homogeneous form","f(dx)","f'(dx)","The prime distinguishes the form used to initiate the formal variational construction; dropping it changes the source notation at the paper's opening mathematical premise.","Retain the prime on the opening form and keep the adjacent Hessian determinant unprimed.","P21_p405_opening_prime_and_determinant_1000dpi.png; CO-20260717-195; diff_v28_to_20260717_P21.diff"
"P1","rejected_false_positive_source_reopened","P21","68","LocalCodex 2026-07-17 independent complete-page audit","prime on the adjacent Hessian determinant","partial^2 f' proposed in an older branch","partial^2 f unprimed","The source uses a prime on the opening form but not on the immediately following determinant; mechanically propagating the prime would introduce a new mathematical transcription error.","Keep the determinant unprimed and inspect paired neighboring symbols independently.","P21_p405_opening_prime_and_determinant_1000dpi.png; CO-20260717-196; P21_rejected_candidates_20260717.csv"
"P0","closed_source_backed_patch_compile_render_ok","P21","69","RA59 repair verified by LocalCodex 2026-07-17","second argument of the first variation of h","h^(1)(dx dx)","h^(1)(dx delta x)","The stale repeated dx erased the independent variation argument.","Retain delta x and reopen only for a concrete source contradiction.","p21_RA59_fix_ledger.csv; P21_collected_p406_printed_p69_1000dpi.png; CO-20260717-193"
"P0","closed_source_backed_patch_compile_render_ok","P21","71","R273/R299 repair guarded by R495 and verified by LocalCodex 2026-07-17","parameter-symbol family in the final paragraph","rho family","varrho family","The distinction is systematic across five linked loci and must be preserved as one semantic symbol family.","Retain all five varrho loci together; do not normalize isolated occurrences.","p21_varrho_sourcefix_confirmed_repairs.csv; R495_varrho_guard_checks.csv; P21_collected_p408_printed_p71_1000dpi.png; CO-20260717-194"
"P0","closed_current_head_complete_page_best_available","P21","68-71","LocalCodex 2026-07-17","whole-paper mathematical/source-fidelity closure","Current head plus recovered RA59 and varrho repairs","Current 2026-07-17 P21 span with all prior repairs surviving and one new opening-prime correction","All four printed pages now have canonical current-head dispositions; no open mathematical error is known in P21.","Reopen only for a concrete source contradiction or newly identified mathematical locus.","NOETHER_PAGE_QC_LEDGER_current.csv; P21_full_page_audit_20260717.csv; P21_confirmed_repairs_20260717.csv"
"P0","closed_source_backed_patch_compile_render_ok","P22","64","LocalCodex 2026-07-17 independent complete-page audit","linked coefficient/index family collapsed to the wrong index","xi_i; a_i^(i) xi_i; a_i^(i)","xi_lambda; a_lambda^(i) xi_lambda; a_lambda^(i)","The stale transcription changed the indexed monomial and coefficient family together at the opening of section 4.","Retain the complete lambda family as one semantic unit; do not repair isolated tokens independently.","P22_printed_p064_GDZ_native_600ppi.png; P22_p64_F_formula_1200inspection.png; CO-20260717-204"
"P0","closed_source_backed_patch_compile_render_ok","P22","71","LocalCodex 2026-07-17 independent complete-page audit","mathematical theorem terminology omitted","Elementarform","Elementarteilerform","The stale word names a generic elementary form rather than the elementary-divisor form asserted by Satz VIII.","Retain Elementarteilerform and scan analogous theorem names for truncated compound nouns.","P22_printed_p071_GDZ_native_400ppi.png; CO-20260717-205"
"P0","closed_source_backed_patch_compile_render_ok","P22","73_and_79","LocalCodex 2026-07-17 independent complete-page audit","linked Fraktur ideal family misidentified","Fraktur j family","Fraktur s family paired with Fraktur t","The wrong blackletter glyph changed the named ideal family at Satz X and its later recurrence.","Keep both pages synchronized as one linked family; reopen only against contradictory source evidence.","P22_printed_p073_GDZ_native_400ppi.png; P22_printed_p079_GDZ_native_600ppi.png; CO-20260717-206"
"P1","closed_source_backed_patch_compile_render_ok","P22","77","LocalCodex 2026-07-17 independent complete-page audit","missing multiplication operator","barred H(y) immediately followed by barred ideal","barred H(y) centered-dot barred ideal","The product relation lost an explicit source operator in a dense congruence chain.","Retain the centered dot and include omitted product operators in future dense-display hazard scans.","P22_printed_p077_GDZ_native_400ppi.png; P22_p77_congruences_3x.png; CO-20260717-207"
"P0","closed_current_head_complete_page_best_available","P22","53-79","LocalCodex 2026-07-17","whole-paper mathematical/source-fidelity closure","Current head plus recovered RA61/RA62/RA63/HeaderSourcePatch repairs","Current P22 span with all prior repairs surviving and four new source-backed correction families","All 27 printed pages now have canonical current-head dispositions; no open mathematical error is known in P22.","Reopen only for a concrete source contradiction or newly identified mathematical locus.","NOETHER_PAGE_QC_LEDGER_current.csv; P22_full_page_audit_20260717.csv; P22_confirmed_repairs_20260717.csv"
"P0","closed_source_backed_patch_survives_current_head","P23","183","RA60 repair reverified by R273 and LocalCodex 2026-07-17","wrong summation-index family and wrong terminal differential form","second expansion used i indices and ended phi(y,dy)","second expansion uses j indices and ends g(y,dy)","The stale reading changed both the indexed coefficient family and the terminal differential form.","Retain the complete j/g repair as one semantic unit and reopen only for a concrete source contradiction.","P23 native600 p183; Noether_P23_src_p183_book_p442_formula_f_g_indices_1000dpi_inspection.png; P23_prior_audit_survival_summary_20260717.csv"
"P0","closed_current_head_complete_page_best_available","P23","177-184","LocalCodex 2026-07-17","whole-paper mathematical/source-fidelity closure","Current head plus recovered RA60 p183 mathematical repair and R273 survival evidence","Current P23 span with the prior mathematical repair surviving and five new source-style/punctuation repair groups","All eight printed pages now have canonical current-head dispositions; no open mathematical error is known in P23.","Reopen only for a concrete source contradiction or newly identified mathematical locus.","NOETHER_PAGE_QC_LEDGER_current.csv; P23_full_page_audit_20260717.csv; P23_confirmed_repairs_20260717.csv"
"P0","closed_source_backed_patch_compile_ok","P24","232","LocalCodex 2026-07-17","linked dummy-index family drift","U_i/f_i and T_i/g_i families","U_lambda/f_lambda and T_lambda/g_lambda families","The same summation index must link coefficients, transformed polynomials, and following prose; the stale i family severed that link.","Keep the lambda family fixed; reopen only for direct contradiction.","P24_confirmed_repairs_20260717.csv LC-P24-004; source p232"
"P0","closed_source_backed_patch_compile_ok","P24","234","LocalCodex 2026-07-17","omitted inverse transformation","zeta_i=r_i(xi) with no inverse","zeta_i=r_i(xi), xi_k=s_k(zeta)","The source explicitly states an invertible linear basis change; omitting the inverse loses part of the mathematical assertion.","Keep both directions and finite-support qualification.","P24_confirmed_repairs_20260717.csv LC-P24-006; source p234"
"P0","closed_source_backed_patch_compile_ok","P24","234","LocalCodex 2026-07-17","quotient and congruence notation drift","slash/comma-like quotient notation and four plain equalities","vertical quotient separators and four congruences modulo ideals","These glyphs encode quotient/module and congruence relations and are not interchangeable typography.","Keep the current source-backed vertical bars and congruence glyphs.","P24_confirmed_repairs_20260717.csv LC-P24-007/008; source p234"
"P1","closed_source_backed_patch_compile_ok","P24","236","LocalCodex 2026-07-17","logical connective omission","display begins with hypotheses only","display begins with source `aus` before hypotheses","The omitted connective damages the grammar of both mathematical implications and obscures which clauses are assumptions.","Keep `aus` in both displays.","P24_confirmed_repairs_20260717.csv LC-P24-012; source p236"
"P0","closed_source_backed_patch_compile_ok","P24","244","LocalCodex 2026-07-17","non-source domain variables","polynomial domains in u,x and in (u),(x)","polynomial domains in x and in (x)","The stale u variables changed the paired integral domains used in the isomorphism argument.","Keep the source domain statement; do not normalize from adjacent coefficient-field prose.","P24_confirmed_repairs_20260717.csv LC-P24-013; source p244"
"P0","closed_source_backed_patch_compile_ok","P24","257","LocalCodex 2026-07-17","linked field-symbol family drift","Lambda, Lambda_0, M, with residual Lambda_0(z)","Fraktur L, Fraktur L_0, Fraktur M, and Fraktur L_0(z)","The lemma depends on a linked extension/intermediate-field family; mixing Greek Lambda with Fraktur L creates distinct mathematical objects.","Keep the Fraktur family throughout; visual-render check required after future edits.","P24_confirmed_repairs_20260717.csv LC-P24-014; source p257; final output p262"
"P1","closed_no_patch_guardrails","P24","240;242;245-247;250;260","LocalCodex 2026-07-17","high-risk symbol and marginalia traps","tempting normalizations of z/H^(i+1)/r-index families; handwritten =o; rho/e_i readings","source Latin z; H^(i+1); u_mu r/t_mu r; no printed =o; V_i^sigma and x_i^l","These loci have generated prior contradictory proposals. Fresh whole-page review supports the current readings and explicitly rejects the alternatives.","Do not revive rejected readings without stronger direct source evidence.","P24_rejected_candidates_20260717.csv; full-page audit rows"
"P0","closed_current_head_complete_page_best_available","P24","229-261","LocalCodex 2026-07-17","whole-paper mathematical/source-fidelity closure","current head plus fragmented prior P24 hotspot packages","current P24 span after six mathematical repair families, source-style repairs, and explicit no-patch adjudication","All 33 printed pages now have canonical current-head dispositions; no open mathematical error is known in P24.","Reopen only for a concrete source contradiction or newly identified mathematical locus.","NOETHER_PAGE_QC_LEDGER_current.csv; P24_full_page_audit_20260717.csv; P24_confirmed_repairs_20260717.csv"
"P1","closed_no_patch_guardrails","P25","116-120","LocalCodex 2026-07-17","linked ideal and field-symbol families","tempting drift in p/q ideals, sigma exponents, Galois overline, P^(i), Q^(i), and article boundary","current linked families agree with all five native600 source pages","These compact pages contain several visually similar mathematical families; a family-level audit found no current mismatch.","Do not normalize isolated symbols without checking the complete family and source page.","P25_no_fix_traps_20260717.csv; P25_full_page_audit_20260717.csv"
"P0","closed_current_head_complete_page_best_available","P25","116-120","LocalCodex 2026-07-17","whole-paper mathematical/source-fidelity closure","prior no-patch package label plus current cumulative","current P25 span after a fresh five-page source audit and zero-delta hash proof","All five printed pages have canonical current-head dispositions; no open mathematical error is known in P25.","Reopen only for a concrete source contradiction or newly identified mathematical locus.","NOETHER_PAGE_QC_LEDGER_current.csv; P25_full_page_audit_20260717.csv; P25_zero_delta_hash_check_20260717.csv"
"P0","closed_source_backed_patch_compile_render_ok","P30","43-47","Web Pro 2026-07-17; LocalCodex 2026-07-18","linked exponent/index family misread across definitions and proofs","Latin x family in weak/strong primary definitions and later proof","Greek varkappa family consistently across pp43, 44, and 47, with lambda remaining distinct where source uses lambda","A locally plausible glyph error propagated through an entire mathematical family. Linked-family auditing found and repaired it.","Closed; check all members together if contradicted.","WEBP30-002,003,005,006,008; raw source pp43,44,47; current TeX"
"P0","closed_source_backed_patch_compile_render_ok","P30","52","Web Pro 2026-07-17; LocalCodex 2026-07-18","mixed exponent-family collapse","uniform p^(varrho+1) reading in both loci","first condition p^(sigma+1); downstream implication p^(varrho+1)","Normalization collapsed two deliberately distinct exponents and changed the logical chain.","Closed; retain mixed-family reading as sentinel.","WEBP30-009; P30_printed_p052_SIM_leaf0057_from_rawJP2.png; current TeX"
"P0","closed_source_backed_patch_compile_render_ok","P30","55","Web Pro 2026-07-17; LocalCodex 2026-07-18","conflated Fraktur variable families plus layout normalization","preliminary observation incorrectly used the later X family; A X=o detached as display","preliminary family is Fraktur T in AT=B, T=B:A, T congruent 0(B:A); later general solution remains Fraktur X; A X=o is run-in","Two nearby but distinct algebraic families had been conflated. A blind global replacement would also be wrong.","Closed; preserve the local T-to-X transition.","WEBP30-010,011; P30_printed_p055_SIM_leaf0060_from_rawJP2.png; current TeX"
"P0","paper_closed_current_head_best_available_complete_page_source_checked","P30","26-61","Canonicalized LocalCodex head 2026-07-18 after Web pp37-61 audit","whole-paper source-critical closure after repeated dense-symbol repairs","historical overlapping rows obscured page coverage and stale guardrails survived","exactly 36 unique current-head page records; all printed pp26-61 covered; 12 new groups on pp37-61 integrated after direct source adjudication","Paper 30 is closed on the current cumulative at the best available complete-page level. The ledger now supports an auditable coverage claim.","Do not reopen without a concrete source contradiction; continue to the next unclosed paper.","NOETHER_PAGE_QC_LEDGER_current.csv; P30_Web_p037_061_page_audit_20260718.csv; P30_p026_036_canonical_survival_summary_20260718.csv"
"P2","paper_closed_no_known_hard_math_error","P26","102","LocalCodex fresh full-page audit 2026-07-18","one-page abstract source-critical closure","no mathematical error found; prior audit missed source heading weight and italic ganz","complete abstract wording and mathematical conditions agree with source; two source-style repairs integrated","P26 is closed and is not a current hard-math hotspot.","Continue to P27; reopen only on concrete contradiction.","P26_full_page_audit_20260718.csv; P26_confirmed_repairs_20260718.csv; output p268"
