constellation,const_ar,const_zh,n,arabic,roman,lon_d,lon_m,lat_d,lat_m,dir,mag,page,note
Cassiopeia,ذات الكرسي,仙后座,,الذي في فوق رِجل الكرسي,above the foot of the Chair,,,,,N,0,36,nebulous
Libra,الميزان,天秤座,,الجنوبي من الاثنين في مقدم كفة الميزان المقدمة,S of two at the front of the leading pan,,,,,N,4,37,additional pan stars
Libra,الميزان,天秤座,,الجنوبي من الاثنين في مقدم كفة الميزان المؤخرة,S of two at the front of the rear pan,,,,,N,4,37,additional pan stars
Libra,الميزان,天秤座,,الشمالي الأول في كفة الميزان المؤخرة,first N in the rear pan,,,,,N,4,37,additional pan stars
Libra,الميزان,天秤座,,الشمالي الثاني في كفة الميزان المؤخرة,second N in the rear pan,,,,,N,4,37,additional pan stars
Corona Borealis,الفكّة,北冕座,,المنيّر من كواكب الفكّة,the bright star of the Crown = Alphecca,,,,,N,2,"Alphecca/Gemma, bright",38
Corona Borealis,الفكّة,北冕座,,المقدم من كواكب الفكّة,the leading star of the Crown,,,,,N,4,,38
Hercules,الجاثي على ركبتيه,武仙座,,الذي على رأس الجاثي,on the head of the Kneeler,,,,,N,3,38,
Hercules,الجاثي على ركبتيه,武仙座,,الذي على كتفه اليمنى عند الإبط,on his right shoulder at the armpit,,,,,N,3,38,
Hercules,الجاثي على ركبتيه,武仙座,,الذي على ذراعه اليمنى,on his right arm,,,,,N,3,38,
Hercules,الجاثي على ركبتيه,武仙座,,الذي على كتفه اليسرى,on his left shoulder,,,,,N,3,38,
Cepheus,الملتهب (قيفاوس),仙王座,,الكوكب المضاف الذي على كتفه اليمنى,on his right shoulder,,,,,N,3,39,
Cepheus,الملتهب (قيفاوس),仙王座,,المضاف الذي على مرفقه الأيمن,on his right elbow,,,,,N,4,39,
Cepheus,الملتهب (قيفاوس),仙王座,,الكوكب الذي على ساعده الأيسر,on his left forearm,,,,,N,4,39,
Cepheus,الملتهب (قيفاوس),仙王座,,المتوسط من الثلثة التي على قلنسوته,middle of three on his tiara,,,,,N,4,39,
Bootes,العوّاء (حارس الشمال),牧夫座,,الذي على كفه اليسرى,on his left palm,,,,,N,3,,39
Ursa Major,الدب الأكبر,大熊座,,الجنوبي من التي على طرف رجله اليسرى المؤخرة,S on its rear left foot,,,,,N,3,40,
Ursa Major,الدب الأكبر,大熊座,,الكوكب الجنوبي عن هؤلاء,the southern of these,,,,,N,3,40,
Ursa Major,الدب الأكبر,大熊座,,المقدم من الثلثة التي على ذنبه,leading of three on its tail,,,,,N,2,40,Dipper handle (Alioth)
Ursa Major,الدب الأكبر,大熊座,,المتوسط من هذه الثلثة,the middle of these three,,,,,N,2,40,Mizar
Ursa Major,الدب الأكبر,大熊座,,الثالث الذي على طرف ذنبه,"the third, on its tail tip",,,,,N,2,40,Alkaid/Benetnash
Ursa Major,الدب الأكبر,大熊座,,الذي تحت الذنب من الجنوب,"below the tail, to the south",,,,,N,3,40,not in figure
Ursa Major,الدب الأكبر,大熊座,,الذي بين رجل الدب المقدمة ورأس الأسد,between the Bear forefoot and Leo head,,,,,N,4,40,dim
Ursa Major,الدب الأكبر,大熊座,,المقدم الذي تلو الدب المظلمة,leading dim star following the Bear,,,,,N,4,40,dim
Ursa Minor,الدب الأصغر,小熊座,,الكوكب الذي على طرف ذنب الدب الأصغر,on the tail tip of the Little Bear = Polaris,,,,,N,3,41,"Polaris, pole star"
Ursa Minor,الدب الأصغر,小熊座,,الذي على أصل ذنب هذا الدب الأصغر,at the base of the Little Bear tail,,,,,N,4,41,
Ursa Minor,الدب الأصغر,小熊座,,الذي من ناحية جنوب الجنب الثاني من المربعة,S side of the second side of the square,,,,,N,4,41,
Ursa Minor,الدب الأصغر,小熊座,,الشمالي من هذا الجنب الثاني من المربعة,N of this second side of the square,,,,,N,2,41,"Kochab, bright"
Ursa Major,الدب الأكبر,大熊座,,المقدم من المظلمة التي بين يدي الدب,leading of the dim stars by the Bear forefeet,,,,,N,5,40,dim/unformed
Ursa Major,الدب الأكبر,大熊座,,الذي بين يدي هذا الكوكب من المظلمة,"dim, before this star",,,,,N,5,40,dim/unformed
Ursa Major,الدب الأكبر,大熊座,,الذي بينه وبين الجوزاء,between it and Gemini,,,,,N,5,40,dim/unformed
Draco,التنين,天龙座,,الكوكب الذي على طرف لسان التنين,on the tongue tip of the Dragon,,,,,N,4,40,
Draco,التنين,天龙座,,الكوكب الذي فوق رأسه,above its head,,,,,N,3,40,
Draco,التنين,天龙座,,الذي فوق عين التنين,above the Dragon eye,,,,,N,3,40,
Draco,التنين,天龙座,,الذي في المغرب من الثلاثة,the western of the three,,,,,N,3,40,
Draco,التنين,天龙座,,الشمالي من الاثنين مما يلي المغرب,N of the two toward the west,,,,,N,3,40,
Draco,التنين,天龙座,,الذي يلو المقدم البعيد من الاثنين,following the far leading of the two,,,,,N,3,40,
Draco,التنين,天龙座,,الذي يلو هذا الكوكب,following this star,,,,,N,3,40,
Draco,التنين,天龙座,,الكوكب الذي على طرف ذنب التنين,on the tail tip of the Dragon,,,,,N,3,40,
Bootes,العوّاء (حارس الشمال),牧夫座,,الكوكب الذي على رأسه,on his head,,,,,N,4,39,
Bootes,العوّاء (حارس الشمال),牧夫座,,الكوكب الذي على كتفه اليمنى,on his right shoulder,,,,,N,3,39,
Bootes,العوّاء (حارس الشمال),牧夫座,,الكوكب الذي تحت كتفه الشمالية,below his northern shoulder,,,,,N,3,39,
Bootes,العوّاء (حارس الشمال),牧夫座,,الذي على فخذه اليمنى في المنطقة,"on his right thigh, in the belt",,,,,N,3,39,
Bootes,العوّاء (حارس الشمال),牧夫座,,المقدم من الاثنين اللذين في منطقته,leading of two in his belt,,,,,N,3,39,
Bootes,العوّاء (حارس الشمال),牧夫座,,الكوكب الذي على عرقوبه الأيمن,on his right heel,,,,,N,3,39,
Bootes,العوّاء (حارس الشمال),牧夫座,,الشمالي من الثلثة في ساقه اليسرى,N of three in his left leg,,,,,N,4,39,
Bootes,العوّاء (حارس الشمال),牧夫座,,الكوكب المتوسط من هذه الثلثة,the middle of these three,,,,,N,4,39,
Bootes,العوّاء (حارس الشمال),牧夫座,,الجنوبي من هذه الثلثة,the southern of these three,,,,,N,3,39,
Bootes,العوّاء (حارس الشمال),牧夫座,,السِّمَاك الرامح وهو بين فخذي العوّاء,"al-Simak al-Ramih = Arcturus, between Bootes thighs",,,,,N,1,39,"Arcturus, 1st mag; not in figure"
Hercules,الجاثي على ركبتيه,武仙座,,الذي على ذراعه اليمنى,on his right arm,,,,,N,3,38,
Hercules,الجاثي على ركبتيه,武仙座,,الذي على مرفقه الأيسر,on his left elbow,,,,,N,3,38,
Hercules,الجاثي على ركبتيه,武仙座,,الجنوبي من الثلثة على ساعده الأيسر,S of three on his left forearm,,,,,N,3,38,
Hercules,الجاثي على ركبتيه,武仙座,,الكوكب الذي في الخط الأيمن,on the right line,,,,,N,3,38,
Hercules,الجاثي على ركبتيه,武仙座,,الذي على أصل فخذه اليسرى,at the base of his left thigh,,,,,N,3,38,
Hercules,الجاثي على ركبتيه,武仙座,,الذي تلو هذا في فخذه اليسرى,"following, in his left thigh",,,,,N,3,38,
Hercules,الجاثي على ركبتيه,武仙座,,الذي على أصل فخذه اليمنى,at the base of his right thigh,,,,,N,3,38,
Hercules,الجاثي على ركبتيه,武仙座,,الذي على ركبته اليسرى,on his left knee,,,,,N,3,38,
Lyra,الشلياق,天琴座,,المنيّر النسر الواقع,the bright star = Vega,,,,,N,1,"Vega, 1st mag",38
Lyra,الشلياق,天琴座,,الشمالي من الاثنين القريبين منه,N of the two near it,,,,,N,3,,38
Cygnus,الدجاجة,天鹅座,,الذي على منقار الدجاجة,on the Hen beak (Albireo),,,,,N,3,37,
Cygnus,الدجاجة,天鹅座,,الذي في وسط عنق الدجاجة,in the middle of the Hen neck,,,,,N,4,37,
Cygnus,الدجاجة,天鹅座,,الذي في صدر الدجاجة,on the breast of the Hen,,,,,N,3,37,
Cygnus,الدجاجة,天鹅座,,الكوكب المنيّر الذي على ذنب الدجاجة,the bright star on the Hen tail = Deneb,,,,,N,2,37,Deneb
Cygnus,الدجاجة,天鹅座,,الكوكب الذي على مرفق جناحها الأيمن,on its right wing elbow,,,,,N,3,37,
Cygnus,الدجاجة,天鹅座,,المتوسط من الثلثة في الجناح الأيسر,middle of three in the left wing,,,,,N,3,37,
Cygnus,الدجاجة,天鹅座,,الشمالي من هذا على طرف الجناح,N of this on the wing tip,,,,,N,3,37,
Cygnus,الدجاجة,天鹅座,,الذي على طرف الجناح الأيسر,on the left wing tip,,,,,N,3,37,
Cygnus,الدجاجة,天鹅座,,الذي على رجلها اليسرى,on its left foot,,,,,N,4,37,
Cygnus,الدجاجة,天鹅座,,الذي على ركبتها اليسرى,on its left knee,,,,,N,4,37,
Sagitta,السهم,天箭座,,الكوكب الفريد الذي على سهمه,the lone star on its arrow,,,,,N,4,,34
Sagitta,السهم,天箭座,,الكوكب الذي على آخر السهم,at the end of the arrow,,,,,N,4,,34
Aquila,النسر الطائر,天鹰座,,المقدم من الاثنين اللذين في كتفيه,leading of two on its shoulders,,,,,N,3,34,
Aquila,النسر الطائر,天鹰座,,الذي على عنقه,on its neck,,,,,N,3,34,
Aquila,النسر الطائر,天鹰座,,النَّسْر الطائر وهو المنيّر الذي بين كتفيه,the bright one between its shoulders = Altair,,,,,N,2,34,Altair
Aquila,النسر الطائر,天鹰座,,الكوكب الشمالي القريب من النسر الطائر,N star near Altair,,,,,N,3,34,
Aquila,النسر الطائر,天鹰座,,الذي تحت النسر في زِقّ المجرّة,below the Eagle in the Milky Way,,,,,N,3,34,
Canis Major,الكلب الأكبر,大犬座,,الكوكب الذي في ذنبه,on its tail,,,,,S,4,16,faint
Canis Major,الكلب الأكبر,大犬座,,المؤخر من الاثنين المضيئين (مما ليس في صورة),"rear of the two bright, not in figure",,,,,S,2,16,
Canis Minor,الكلب الأصغر (مقدّم الكلب),小犬座,,الذي في مقدّم الكلب وهو في عنقه,on the neck of the Lesser Dog,,,,,S,4,16,
Canis Minor,الكلب الأصغر (مقدّم الكلب),小犬座,,المنيّر التالي الذي في خلفه (الشِّعْرى الشَّامية),the bright following star = Procyon,,,,,S,1,16,"Procyon, 1st mag"
LACUNA,—,—,,[نقص في الأصل: ورقة كواكب السفينة (سهيل) والشجاع وأوائل الكأس],"SOURCE LACUNA: missing leaf — Argo Navis (Canopus/Suhail), Hydra, and the first Crater stars are absent in the codex",,,,,,,16,recorded per Nallino Latin note
Crater,الكأس,巨爵座,,الكوكب الذي على تدوير قَمّ الكأس الشمالي,on the northern rim of the Cup,,,,,S,4,16,
Sagittarius,الرامي والقوس,人马座,,الذي على بعض رجله اليسرى,on part of its left leg,,,,,S,3,25,
Sagittarius,الرامي والقوس,人马座,,الكوكب الذي في الجنوب من القوس,S of the Bow,,,,,S,3,25,
Sagittarius,الرامي والقوس,人马座,,الجنوبي من الاثنين في الشق الشمالي من القوس,S of two in the N part of the Bow,,,,,S,3,25,
Sagittarius,الرامي والقوس,人马座,,الشمالي منهما والذي في آخر القوس,"N, at the end of the Bow",,,,,S,4,25,
Sagittarius,الرامي والقوس,人马座,,الكوكب الذي على كتف الرامي,on the Archer shoulder,,,,,S,3,25,
Sagittarius,الرامي والقوس,人马座,,الذي بين يدي هذا وهو في السهم,"before it, on the arrow",,,,,S,4,25,faint
Sagittarius,الرامي والقوس,人马座,,الأضعف السحابي الذي على عين الرامي,the faint nebulous on the Archer eye,,,,,S,5,25,nebulous
Sagittarius,الرامي والقوس,人马座,,الذي على عرقوب الرامي المقدم الأيسر,on the Archer left forward heel,,,,,S,3,25,
Sagittarius,الرامي والقوس,人马座,,المتوسط من الثلثة في ظهر الرامي,middle of three on the Archer back,,,,,S,3,25,
Sagittarius,الرامي والقوس,人马座,,التالي الذي تحت إبطه في ظهره,"following, under its armpit on the back",,,,,S,3,25,
Scorpius,العقرب,天蝎座,,الشمالي من الثلثة التي بين عيني العقرب,N of three between the Scorpion eyes,,,,,S,3,26,
Scorpius,العقرب,天蝎座,,المتوسط من هذه الثلثة,the middle of these three,,,,,S,3,26,
Scorpius,العقرب,天蝎座,,الكوكب الجنوبي من هذه الثلثة,the southern of these three,,,,,S,3,26,
Scorpius,العقرب,天蝎座,,المقدم من الثلثة المضيئة في صدر العقرب,leading of three bright in the breast,,,,,S,3,26,
Scorpius,العقرب,天蝎座,,قلب العقرب وهو الأوسط منها الأحمر,"Heart of the Scorpion = Antares, the middle red one",,,,,S,2,26,"Antares, red"
Scorpius,العقرب,天蝎座,,الكوكب المؤخر من هذه الثلثة,the rear of these three,,,,,S,3,26,
Scorpius,العقرب,天蝎座,,الذي يلوه في الخَرَزة الأولى,"following, in the first vertebra",,,,,S,3,26,
Scorpius,العقرب,天蝎座,,الذي في الخَرَزة الثانية,in the second vertebra,,,,,S,3,26,
Scorpius,العقرب,天蝎座,,الأضعف الشمالي في الخَرَزة الثالثة,faint N in the third vertebra,,,,,S,4,26,
Scorpius,العقرب,天蝎座,,الذي يتلوه في الخَرَزة الرابعة,"following, in the fourth vertebra",,,,,S,3,26,
Scorpius,العقرب,天蝎座,,التالي في الخَرَزة الخامسة,"following, in the fifth vertebra",,,,,S,3,26,
Scorpius,العقرب,天蝎座,,الذي يتلوه في الخَرَزة السادسة,"following, in the sixth vertebra",,,,,S,3,26,
Taurus,الثريّا (في الثور),金牛座,,الشمالي في السطر المقدم من الثريّا,N in the leading row of the Pleiades,,,,,N,5,30,Pleiades cluster
Taurus,الثريّا (في الثور),金牛座,,الشمالي في آخر الشق المقدم من الثريّا,N at the end of the leading part of the Pleiades,,,,,N,5,30,Pleiades cluster
Taurus,الثريّا (في الثور),金牛座,,المؤخر الصغير من الثريّا,the small rear one of the Pleiades,,,,,N,5,30,Pleiades cluster
Taurus,الثريّا (في الثور),金牛座,,الصغير الخارج من شمال الثريّا,the small one north of the Pleiades,,,,,N,5,30,Pleiades cluster
Gemini,التوأمان,双子座,,الذي على رأس التوأم المقدّم,on the head of the leading Twin = Castor,,,,,N,2,Castor,30
Gemini,التوأمان,双子座,,الذي على رأس التوأم المؤخّر,on the head of the rear Twin = Pollux,,,,,N,2,Pollux,30
Gemini,التوأمان,双子座,,الذي بين يدي رجل التوأم المقدّم,before the foot of the leading Twin,,,,,S,4,30,
Gemini,التوأمان,双子座,,الذي على طرف رجل التوأم المقدّم,on the foot tip of the leading Twin,,,,,S,4,30,
Gemini,التوأمان,双子座,,الذي على طرف الرجل اليمنى من التوأم المؤخّر,on the right-foot tip of the rear Twin,,,,,S,3,30,
Virgo,العذراء والسنبلة,室女座,,المقدم من الاربعة التي في الجناح الأيسر,leading of four in the left wing,,,,,N,3,27,
Virgo,العذراء والسنبلة,室女座,,الكوكب الذي يلو هذا,following this,,,,,N,3,27,
Virgo,العذراء والسنبلة,室女座,,الذي في الظفر الأيمن تحت الثدي,on the right talon below the breast,,,,,N,3,27,
Virgo,العذراء والسنبلة,室女座,,المؤخر من هذه الاربعة,the rear of these four,,,,,N,3,27,
Virgo,العذراء والسنبلة,室女座,,الذي على طرف القدم اليسرى,on the left foot tip,,,,,N,3,27,
Virgo,العذراء والسنبلة,室女座,,الشمالي الذي على طرف القدم اليمنى,N on the right foot tip,,,,,N,3,27,
Virgo,العذراء والسنبلة,室女座,,الذي على مجرى ذيل السنبلة,on the train of Virgo,,,,,N,4,27,
Virgo,العذراء والسنبلة,室女座,,الذي في الجناح الشمالي (المقدم للقطاف),"N wing, the Vintager",,,,,N,3,27,
Virgo,العذراء والسنبلة,室女座,,النيّر الذي على طرف يدها اليسرى (السُّنبلة / السماك الأعزل),bright on her left hand = Spica,,,,,N,1,27,"Spica, 1st mag"
Virgo,العذراء والسنبلة,室女座,,الكوكب الذي على منطقتها,on her girdle,,,,,N,3,27,
Andromeda,المرأة المسلسلة,仙女座,,المقدم الخارج من الثلثة التي في رأسها,leading of three in her head,,,,,N,3,,32
Andromeda,المرأة المسلسلة,仙女座,,الكوكب الذي فوق رجلها اليسرى,above her left foot,,,,,N,3,,32
Triangulum,المثلث (طريغانس),三角座,,الكوكب الذي في رأس المثلث,at the apex of the Triangle,,,,,N,3,32,
Triangulum,المثلث (طريغانس),三角座,,المقدم من الثلثة التي في أسفله,leading of three at its base,,,,,N,3,32,
Triangulum,المثلث (طريغانس),三角座,,الكوكب الذي في آخر هذه الثلثة,the last of these three,,,,,N,3,32,
Lepus,الأرنب,天兔座,,الشمالي من الاربعة التي في ظهرها في الشق المقدم,"N of four in its back, leading part",,,,,S,4,17,
Lepus,الأرنب,天兔座,,الشمالي من الشق المؤخر منها,N of the rear part,,,,,S,4,17,
Lepus,الأرنب,天兔座,,الكوكب الذي في ذقن الأرنب,on the chin of the Hare,,,,,S,4,17,
Lepus,الأرنب,天兔座,,الذي بين يدي طرف الرجل المقدمة اليسرى,before the leading left foot,,,,,S,3,17,
Lepus,الأرنب,天兔座,,الذي على وسط جسدها,on the middle of its body,,,,,S,3,17,
Lepus,الأرنب,天兔座,,الكوكب الذي تحت بطنها,under its belly,,,,,S,3,17,
Lepus,الأرنب,天兔座,,الشمالي من الاثنين في الرجلين المؤخرتين,N of two in the rear legs,,,,,S,3,17,
Lepus,الأرنب,天兔座,,الكوكب الجنوبي منهما,the southern of them,,,,,S,3,17,
Lepus,الأرنب,天兔座,,الكوكب الذي على ظهرها,on its back,,,,,S,3,17,
Lepus,الأرنب,天兔座,,الكوكب الذي على طرف أليتها,on its rump tip,,,,,S,3,17,
Centaurus,قنطورس (الظلمان),半人马座,,الجنوبي من الاربعة التي في رأس قنطاورس,S of four in the head of Centaurus,,,,,S,5,15,
Centaurus,قنطورس (الظلمان),半人马座,,الكوكب الشمالي منها,the northern of them,,,,,S,5,15,
Centaurus,قنطورس (الظلمان),半人马座,,المقدم من الاثنين الأوسطين الباقيين,leading of the two remaining middle,,,,,S,4,15,
Centaurus,قنطورس (الظلمان),半人马座,,المؤخر من هذين الاثنين,the rear of these two,,,,,S,4,15,
Centaurus,قنطورس (الظلمان),半人马座,,الذي على كتفه المقدمة اليسرى,on his leading left shoulder,,,,,S,3,15,
Centaurus,قنطورس (الظلمان),半人马座,,الذي على كتفه المؤخرة اليمنى,on his rear right shoulder,,,,,S,3,15,
Centaurus,قنطورس (الظلمان),半人马座,,الذي على رأس الفرس من الاثنين الباقيين,on the horse head,,,,,S,4,15,
Centaurus,قنطورس (الظلمان),半人马座,,المقدم من الثلثة التي على الشق الأيمن منه,leading of three on his right side,,,,,S,4,15,
Centaurus,قنطورس (الظلمان),半人马座,,الأوسط منها,the middle of them,,,,,S,4,15,
Centaurus,قنطورس (الظلمان),半人马座,,المؤخر من هذه الثلثة,the rear of these three,,,,,S,4,14,
Centaurus,قنطورس (الظلمان),半人马座,,الذي على ذراعه اليمنى,on his right arm,,,,,S,4,14,
Centaurus,قنطورس (الظلمان),半人马座,,الذي على ساعده الأيمن,on his right forearm,,,,,S,3,14,
Centaurus,قنطورس (الظلمان),半人马座,,المضيء الذي في أصل جنبه الأيسر,bright at the base of his left flank,,,,,S,3,14,
Centaurus,قنطورس (الظلمان),半人马座,,المؤخر من الكواكب المظلمة الشمالية منه,rear of the dim northern stars,,,,,S,4,14,
Centaurus,قنطورس (الظلمان),半人马座,,المقدم من الكواكب المظلمة الشمالية منه,leading of the dim northern stars,,,,,S,5,14,
Centaurus,قنطورس (الظلمان),半人马座,,المؤخر من الثلثة التي على خاصرته,rear of three on his flank,,,,,S,4,14,
Centaurus,قنطورس (الظلمان),半人马座,,المقدم من الاثنين في فخذ الفرس اليمنى,leading of two in the horse right thigh,,,,,S,4,14,
Centaurus,قنطورس (الظلمان),半人马座,,المقدم من الاثنين تحت بطن الفرس,leading of two under the horse belly,,,,,S,4,14,
Lupus,السبع,豺狼座,,الذي على وسط فخذه المؤخرة,on the middle of its rear thigh,,,,,S,3,13,the Beast held by Centaurus
Lupus,السبع,豺狼座,,الشمالي من الثلثة التي على طرف ذنبه,N of three on its tail tip,,,,,S,4,13,the Beast held by Centaurus
Lupus,السبع,豺狼座,,الجنوبي من الاثنين في رجله المقدمة,S of two in its front leg,,,,,S,4,13,the Beast held by Centaurus
Lupus,السبع,豺狼座,,الشمالي من الاثنين في عنقه,N of two in its neck,,,,,S,4,13,the Beast held by Centaurus
Lupus,السبع,豺狼座,,الشمالي من الاثنين في رجله المقدمة,N of two in its front leg,,,,,S,4,13,the Beast held by Centaurus
Ara,المِجْمَرة (المرجل),天坛座,,الشمالي من الاثنين في أسفل المِجْمَرة,N of two at the base of the Censer,,,,,S,4,,13
Ara,المِجْمَرة (المرجل),天坛座,,الذي في وسط رأسها في موضع النار,"in the middle of its top, the place of fire",,,,,S,4,,13
Ara,المِجْمَرة,天坛座,,الجنوبي من الاثنين المتقاربين في لهب النار,S of two in the flame,,,,,S,4,13,
Ara,المِجْمَرة,天坛座,,الذي على طرف اللهب من لسان النار,at the tip of the flame,,,,,S,4,13,
Corona Australis,الإكليل الجنوبي,南冕座,,المقدم من الستة في تقويس الإكليل الجنوبي,leading of six in the arc of the Southern Crown,,,,,S,4,13,
Corona Australis,الإكليل الجنوبي,南冕座,,الكوكب الرابع من هذه الستة,the fourth of these six,,,,,S,4,13,
Corona Australis,الإكليل الجنوبي,南冕座,,الذي يلوه بين يدي ركبة الرامي,"following, near the Archer knee",,,,,S,4,13,
Corona Australis,الإكليل الجنوبي,南冕座,,المضيء الذي يلو هذا من الشمال,"the bright one following, to the N",,,,,S,3,13,bright
Corona Australis,الإكليل الجنوبي,南冕座,,الشمالي من هذا المضيء,N of this bright one,,,,,S,4,13,
Corona Australis,الإكليل الجنوبي,南冕座,,المقدم من الاثنين المظلمين,leading of the two dim ones,,,,,S,5,13,dim
Corona Australis,الإكليل الجنوبي,南冕座,,الكوكب الباقي من المظلمين,the remaining dim one,,,,,S,5,13,dim
