"delta_id","source_event","input_artifact","input_artifact_sha256","input_artifact_bytes","row_type","evidence_tier","language","witness_id","source_title","source_url","source_type","local_path","sha256","bytes","text_or_sidecar_path","text_or_sidecar_sha256","text_or_sidecar_bytes","access_license_signal","topic_tags","evidence_status","result_class","exact_or_hard_hit_summary","context_hit_summary","hard_row_effect","source_canon_value_and_gap","next_gate","non_claim_boundary"
"R2-DELTA-E050-022","E050","NOETHER_R2_PAN_TURKIC_KYRGYZ_SPARSE_PDF_OCR_GATE_20260705T1144.csv","C7D884AAA074C6A0BF5A058278730D907F7AF6F255FF37FC2B9B81E9CD32BAFE","14097","control_or_register","control_anchor","R2 Pan-Turkic","R2-HARD-ROWS","hard-row ledger","","hard_rows_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_HARD_ROWS_20260704.csv","8B7D4BA66E9311E7475984148DB296E81DF7D66A7804E515239D2F0B061301CE","1398","","","","local source-canon artifact/provenance file; no blanket license clearance","R2 hard blockers","observed","hard_rows_unchanged","","","no hard-row closure recorded","rows=8; open_gap=6; candidate_only=2","Need exact source rows or reviewer returns for hard blockers.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E050-023","E050","NOETHER_R2_PAN_TURKIC_KYRGYZ_SPARSE_PDF_OCR_GATE_20260705T1144.csv","C7D884AAA074C6A0BF5A058278730D907F7AF6F255FF37FC2B9B81E9CD32BAFE","14097","ocr_tool_state","ocr_gate_or_timeout","Kyrgyz","OCR-TOOL-STATE-050","local OCR tool state","","tool_inventory","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\kyrgyz_sparse_pdf_ocr_gate_20260705T1144","","0","","","","local tool inventory; no license clearance","Kyrgyz;OCR;source-canon gate","kir_traineddata_missing_rus_tgk_fallback_used","ocr_fallback_limit_recorded","0","","no hard-row closure recorded","Tesseract languages observed: no kir/Kyrgyz traineddata installed; fallback used rus+tgk at 120dpi/psm6. Poppler pdftoppm was available via WinGet binary. First 300s OCR attempt timed out before combined sidecars were written; residual page 105 text was salvaged. Second incremental 420s OCR attempt timed out after preserving completed pages.","Install/use Kyrgyz OCR traineddata or run stronger OCR before citing OCR text as clean Kyrgyz source rows.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E050-024","E050","NOETHER_R2_PAN_TURKIC_KYRGYZ_SPARSE_PDF_OCR_GATE_20260705T1144.csv","C7D884AAA074C6A0BF5A058278730D907F7AF6F255FF37FC2B9B81E9CD32BAFE","14097","bounded_ocr_text","ocr_gate_or_timeout","Kyrgyz","E050-KY-PDF-001-OCR-TEXT","OKUMA algebra 7 bounded OCR","","ocr_text_sidecar","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\kyrgyz_sparse_pdf_ocr_gate_20260705T1144\KY-OCR-050-001_KY-PDF-001_rus_tgk_120dpi_pages_20-60_ocr.txt","6C85E45D665166DF4E360DA547124BEE9B998A65AA9A008A90E4F07F6C140D42","66751","","","","local source-canon artifact/provenance file; no blanket license clearance","Kyrgyz;algebra;OCR;Noetherian ring;polynomial ring","bounded_ocr_completed_or_partial","ocr_gate_evidence_no_hard_row_support","0","","no hard-row closure recorded","Bounded rus+tgk fallback OCR text preserved for KY-PDF-001; pages completed=41, page_scope=20-60, OCR chars=37578. Exact hard-row hits=0; configured context-hit pages=0. Because kir traineddata is missing, this is OCR-gate evidence, not clean term support.","Use Kyrgyz OCR traineddata or targeted manual/source review before citing terms.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E050-025","E050","NOETHER_R2_PAN_TURKIC_KYRGYZ_SPARSE_PDF_OCR_GATE_20260705T1144.csv","C7D884AAA074C6A0BF5A058278730D907F7AF6F255FF37FC2B9B81E9CD32BAFE","14097","bounded_ocr_page_hits","ocr_gate_or_timeout","Kyrgyz","E050-KY-PDF-001-PAGE-HITS","OKUMA algebra 7 bounded OCR page hits","","ocr_page_hit_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\kyrgyz_sparse_pdf_ocr_gate_20260705T1144\KY-OCR-050-001_KY-PDF-001_rus_tgk_120dpi_pages_20-60_page_hits.csv","E331A2D314ABCD08F22A20ACCE4699BCB0C5D95954934F3E36EAA3FBFF3DA61B","3322","","","","local source-canon artifact/provenance file; no blanket license clearance","Kyrgyz;OCR;page hits","page_hit_inventory","zero_exact_hard_row_hits","0","","no hard-row closure recorded","Page-level OCR hit inventory for KY-PDF-001; rows=41, hard-row exact hit pages=0, context-hit pages=0.","Use as locator/gap evidence only.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E050-026","E050","NOETHER_R2_PAN_TURKIC_KYRGYZ_SPARSE_PDF_OCR_GATE_20260705T1144.csv","C7D884AAA074C6A0BF5A058278730D907F7AF6F255FF37FC2B9B81E9CD32BAFE","14097","bounded_ocr_text","ocr_gate_or_timeout","Kyrgyz","E050-KY-PDF-003-OCR-TEXT","Bizdin algebra 8 bounded OCR","","ocr_text_sidecar","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\kyrgyz_sparse_pdf_ocr_gate_20260705T1144\KY-OCR-050-003_KY-PDF-003_rus_tgk_120dpi_pages_1-30_ocr.txt","D6F5544AF25F79EA0A908D9529F41D04B45B75F13D32CA5D9FC0A57CFD198924","43798","","","","local source-canon artifact/provenance file; no blanket license clearance","Kyrgyz;algebra;OCR;Noetherian ring;polynomial ring","bounded_ocr_completed_or_partial","ocr_gate_evidence_no_hard_row_support","0","","no hard-row closure recorded","Bounded rus+tgk fallback OCR text preserved for KY-PDF-003; pages completed=14, page_scope=1-14, OCR chars=26030. Exact hard-row hits=0; configured context-hit pages=0. Because kir traineddata is missing, this is OCR-gate evidence, not clean term support.","Use Kyrgyz OCR traineddata or targeted manual/source review before citing terms.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E050-027","E050","NOETHER_R2_PAN_TURKIC_KYRGYZ_SPARSE_PDF_OCR_GATE_20260705T1144.csv","C7D884AAA074C6A0BF5A058278730D907F7AF6F255FF37FC2B9B81E9CD32BAFE","14097","bounded_ocr_page_hits","ocr_gate_or_timeout","Kyrgyz","E050-KY-PDF-003-PAGE-HITS","Bizdin algebra 8 bounded OCR page hits","","ocr_page_hit_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\kyrgyz_sparse_pdf_ocr_gate_20260705T1144\KY-OCR-050-003_KY-PDF-003_rus_tgk_120dpi_pages_1-30_page_hits.csv","1485BC9707DEBE08F060BC42AEB897D58EDC2059CC15C0CAF65778E5290D0FBF","1177","","","","local source-canon artifact/provenance file; no blanket license clearance","Kyrgyz;OCR;page hits","page_hit_inventory","zero_exact_hard_row_hits","0","","no hard-row closure recorded","Page-level OCR hit inventory for KY-PDF-003; rows=14, hard-row exact hit pages=0, context-hit pages=0.","Use as locator/gap evidence only.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E050-028","E050","NOETHER_R2_PAN_TURKIC_KYRGYZ_SPARSE_PDF_OCR_GATE_20260705T1144.csv","C7D884AAA074C6A0BF5A058278730D907F7AF6F255FF37FC2B9B81E9CD32BAFE","14097","timeout_residual_ocr_text","ocr_gate_or_timeout","Kyrgyz","E050-RESIDUAL-KY-OCR-050-TIMEOUT-RESIDUAL_KY-PDF-001_p105_rus_tgk_ocr","KY-OCR-050-TIMEOUT-RESIDUAL_KY-PDF-001_p105_rus_tgk_ocr.txt","","ocr_timeout_residual_text","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\kyrgyz_sparse_pdf_ocr_gate_20260705T1144\KY-OCR-050-TIMEOUT-RESIDUAL_KY-PDF-001_p105_rus_tgk_ocr.txt","565C2FD6DFFFE0ED78F507146106232D88C7DD6A4CE15C46C25D21AC8C5B2843","2970","","","","local source-canon artifact/provenance file; no blanket license clearance","Kyrgyz;OCR timeout;source-canon gate","timeout_residual_salvaged","ocr_timeout_evidence_no_hard_row_support","0","","no hard-row closure recorded","Residual page OCR text salvaged from timed-out OCR run. It is preserved for provenance but did not surface exact hard-row support.","Rerun with smaller windows or Kyrgyz traineddata if this page becomes relevant.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E050-029","E050","NOETHER_R2_PAN_TURKIC_KYRGYZ_SPARSE_PDF_OCR_GATE_20260705T1144.csv","C7D884AAA074C6A0BF5A058278730D907F7AF6F255FF37FC2B9B81E9CD32BAFE","14097","timeout_residual_ocr_text","ocr_gate_or_timeout","Kyrgyz","E050-RESIDUAL-KY-OCR-050-TIMEOUT-RESIDUAL_KY-PDF-003_p15_rus_tgk_ocr","KY-OCR-050-TIMEOUT-RESIDUAL_KY-PDF-003_p15_rus_tgk_ocr.txt","","ocr_timeout_residual_text","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\kyrgyz_sparse_pdf_ocr_gate_20260705T1144\KY-OCR-050-TIMEOUT-RESIDUAL_KY-PDF-003_p15_rus_tgk_ocr.txt","C27B5556DD9CB76AA5D21FDAC7DC8B1A34B447A792CF9B71D996742864E9C9F2","3295","","","","local source-canon artifact/provenance file; no blanket license clearance","Kyrgyz;OCR timeout;source-canon gate","timeout_residual_salvaged","ocr_timeout_evidence_no_hard_row_support","0","","no hard-row closure recorded","Residual page OCR text salvaged from timed-out OCR run. It is preserved for provenance but did not surface exact hard-row support.","Rerun with smaller windows or Kyrgyz traineddata if this page becomes relevant.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E050-030","E050","NOETHER_R2_PAN_TURKIC_KYRGYZ_SPARSE_PDF_OCR_GATE_20260705T1144.csv","C7D884AAA074C6A0BF5A058278730D907F7AF6F255FF37FC2B9B81E9CD32BAFE","14097","event050_gap_summary","explicit_gap_summary","Kyrgyz","E050-KYRGYZ-OCR-GAP","Event 050 Kyrgyz sparse-PDF OCR gate summary","","aggregate_gap_summary","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\kyrgyz_sparse_pdf_ocr_gate_20260705T1144","","0","","","","derived from local OCR fallback artifacts; no license clearance","Kyrgyz;Noetherian ring;polynomial ring;OCR gate","bounded_ocr_no_exact_hard_row_hits","gap_strengthened_not_closed","0","","no hard-row closure recorded","Bounded fallback OCR did not find exact Kyrgyz Noetherian-ring or polynomial-ring hard-row phrases. Missing Kyrgyz traineddata and timeouts keep sparse PDF OCR as an open source-canon gate.","Install/use Kyrgyz OCR traineddata, run smaller targeted OCR windows, or obtain accessible text/source publication rows.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E051-031","E051","NOETHER_R2_PAN_TURKIC_TURKMEN_CURRENT_SOURCE_GATE_20260705T1236.csv","8D0E097A81D67A33DF57BCC6D269784936D2CF90C2BBA90A90E4EFD95345B279","15217","control_or_register","control_anchor","control","CTRL-AGENTS","repository instructions","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\AGENTS.md","EE41CF302952ADC624160B9A94CC5AE4CD3EB61B309115F61D1316D0EF039548","6731","","","0","local coordination/control artifact","repository instructions","observed","control_anchor","","","no hard-row closure recorded","Repository instruction hash anchor.","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E051-032","E051","NOETHER_R2_PAN_TURKIC_TURKMEN_CURRENT_SOURCE_GATE_20260705T1236.csv","8D0E097A81D67A33DF57BCC6D269784936D2CF90C2BBA90A90E4EFD95345B279","15217","control_or_register","control_anchor","control","CTRL-COPILOT","copilot instructions","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\.github\copilot-instructions.md","CBF1788357F102CE372EF35606FD931AE8A79F782C1B495C96B78351A93AE34A","2369","","","0","local coordination/control artifact","copilot instructions","observed","control_anchor","","","no hard-row closure recorded","Copilot instruction hash anchor.","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E051-033","E051","NOETHER_R2_PAN_TURKIC_TURKMEN_CURRENT_SOURCE_GATE_20260705T1236.csv","8D0E097A81D67A33DF57BCC6D269784936D2CF90C2BBA90A90E4EFD95345B279","15217","control_or_register","control_anchor","control","CTRL-PARENT","parent ledger","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","6A62B3E8AFF39A6A55B682915ADF4213CBC4C977551696AAC776D99F8279F995","521142","","","0","local coordination/control artifact","parent ledger","observed","control_anchor","","","no hard-row closure recorded","Parent ledger hash anchor for Event 051.","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E051-034","E051","NOETHER_R2_PAN_TURKIC_TURKMEN_CURRENT_SOURCE_GATE_20260705T1236.csv","8D0E097A81D67A33DF57BCC6D269784936D2CF90C2BBA90A90E4EFD95345B279","15217","control_or_register","control_anchor","control","CTRL-STEERING","source-canon steering","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4","4993","","","0","local coordination/control artifact","source-canon steering","observed","control_anchor","","","no hard-row closure recorded","Source-canon-first steering hash anchor.","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E051-035","E051","NOETHER_R2_PAN_TURKIC_TURKMEN_CURRENT_SOURCE_GATE_20260705T1236.csv","8D0E097A81D67A33DF57BCC6D269784936D2CF90C2BBA90A90E4EFD95345B279","15217","control_or_register","control_anchor","control","R2-REGISTER-BOUNDARY","R2 normalized register","","register_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.csv","5BFD1920A01B1079A1C1047553ABD4313276185B8EA4C7D26A809B22092A49D7","75220","","","0","local coordination/control artifact","R2 normalized register","observed","control_anchor","","","no hard-row closure recorded","rows=61; source_level_tex_archive_rows=0; explicit_hard_blocker_gap_rows=8","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E051-036","E051","NOETHER_R2_PAN_TURKIC_TURKMEN_CURRENT_SOURCE_GATE_20260705T1236.csv","8D0E097A81D67A33DF57BCC6D269784936D2CF90C2BBA90A90E4EFD95345B279","15217","control_or_register","control_anchor","control","R2-HARD-ROWS","R2 hard-row ledger","","hard_rows_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_HARD_ROWS_20260704.csv","8B7D4BA66E9311E7475984148DB296E81DF7D66A7804E515239D2F0B061301CE","1398","","","0","local coordination/control artifact","R2 hard-row ledger","observed","control_anchor","","","no hard-row closure recorded","rows=8; Turkmen open_gap=2; all_open_gap=6; candidate_only=2","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E051-037","E051","NOETHER_R2_PAN_TURKIC_TURKMEN_CURRENT_SOURCE_GATE_20260705T1236.csv","8D0E097A81D67A33DF57BCC6D269784936D2CF90C2BBA90A90E4EFD95345B279","15217","current_turkmen_source_probe","provenance_record","Turkmen","TK-CUR-051-001","Scribd Hudaýberenow Ýokary Matematika 2018","https://www.scribd.com/document/713967058/Huda%C3%BDberenow-O-%C3%9Dokary-Matematika-2018-Turkmen-Dowlet-Ne%C5%9Fir%C3%BDat-Gullugy","html_or_error_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-001_scribd_yokary_matematika_2018.html","32ED63159C77E21EE19CA1B9AA3213CCF0218EB59539560B132A8E68EF0E18EA","3038","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-001_scribd_yokary_matematika_2018.txt","7A4D2066C8CE04BE2529591F02CC22D3FD9993C1649863BD537A2D4421087D14","3040","Scribd page; public web text; page states all rights reserved; no license clearance","Turkmen;higher mathematics;polynomial context search lead","html_captured_no_local_context_hits","low_access_web_capture_not_source_row","0","0","no hard-row closure recorded","Search-visible Turkmen higher-mathematics textbook lead, but local HTML capture contained no configured Turkmen math context or hard-row hits. Treat as access/provenance attempt only.","Need accessible PDF/TXT/source body with local text before using as source witness.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E051-038","E051","NOETHER_R2_PAN_TURKIC_TURKMEN_CURRENT_SOURCE_GATE_20260705T1236.csv","8D0E097A81D67A33DF57BCC6D269784936D2CF90C2BBA90A90E4EFD95345B279","15217","current_turkmen_source_probe","provenance_record","Turkmen","TK-CUR-051-002","Scribd 7 Algebra","https://www.scribd.com/document/685386439/7-Algebra","html_or_error_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-002_scribd_7_algebra.html","32ED63159C77E21EE19CA1B9AA3213CCF0218EB59539560B132A8E68EF0E18EA","3038","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-002_scribd_7_algebra.txt","7A4D2066C8CE04BE2529591F02CC22D3FD9993C1649863BD537A2D4421087D14","3040","Scribd page; public web text; no license clearance","Turkmen;algebra;polynomial context search lead","html_captured_no_local_context_hits","low_access_web_capture_not_source_row","0","0","no hard-row closure recorded","Search-visible Turkmen algebra textbook lead, but local HTML capture contained no configured Turkmen math context or hard-row hits. Treat as access/provenance attempt only.","Need accessible PDF/TXT/source body with local text before using as source witness.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E051-039","E051","NOETHER_R2_PAN_TURKIC_TURKMEN_CURRENT_SOURCE_GATE_20260705T1236.csv","8D0E097A81D67A33DF57BCC6D269784936D2CF90C2BBA90A90E4EFD95345B279","15217","current_turkmen_source_probe","source_corpus_context_only","Turkmen","TK-CUR-051-003","PubHTML5 Ýokary matematika analytic geometry and higher algebra","https://pubhtml5.com/znfx/acte/basic/","html_or_error_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-003_pubhtml5_yokary_matematika_algebra.html","529140AD0CCA99F844B4025E2ADACF972B79ED8F49F48B517F7F7B563ACA9B11","193077","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-003_pubhtml5_yokary_matematika_algebra.txt","C0322569A6E6D8CB266AF932BF902996E5BE97C9598BFBE5243D0A267267E349","193079","PubHTML5 web page; public HTML; license not established","Turkmen;higher mathematics;higher algebra;polynomial context","html_captured_context_hits","source_corpus_web_witness_context_only","0","köpagza=1; halka=1; Ýokary matematika=19; algebra=143; Algebra=1","no hard-row closure recorded","Captured public HTML with local Turkmen higher-mathematics/algebra context hits including köpagza and halka. No exact polynomial-ring or Noetherian-ring hard-row hit surfaced.","Use as Turkmen source-corpus context only; exact ring source row still needed.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E051-040","E051","NOETHER_R2_PAN_TURKIC_TURKMEN_CURRENT_SOURCE_GATE_20260705T1236.csv","8D0E097A81D67A33DF57BCC6D269784936D2CF90C2BBA90A90E4EFD95345B279","15217","current_turkmen_source_probe","source_corpus_context_only","Turkmen","TK-CUR-051-004","Kitaphana electronic book 2157","https://kitaphana.net/electronic-book/2157","pdf_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-004_kitaphana_2157.pdf","130F081CA7A90ECB9C023F24193ED4D3B4EF79E47B40262A82FCCA8529CF84A0","811729","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-004_kitaphana_2157.txt","37C0FB08E3568157AD49F287C5C40C2A6BDDA3BE2BB9EBFA2E51E185A198415E","98540","Kitaphana public PDF response; license not established","Turkmen;higher mathematics;algebra;polynomial context","pdf_captured_text_extracted_context_hits","source_corpus_pdf_witness_context_only","0","köpagza=9; Köpagza=1; Ýokary matematika=1; Algebra=2","no hard-row closure recorded","Captured actual PDF from Kitaphana book URL and extracted text. Local text has köpagza/Algebra context but no exact polynomial-ring or Noetherian-ring hard-row hit.","Use as Turkmen PDF source-corpus context only; exact ring source row still needed.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E051-041","E051","NOETHER_R2_PAN_TURKIC_TURKMEN_CURRENT_SOURCE_GATE_20260705T1236.csv","8D0E097A81D67A33DF57BCC6D269784936D2CF90C2BBA90A90E4EFD95345B279","15217","current_turkmen_source_probe","source_corpus_context_only","Turkmen","TK-CUR-051-005","Balkanmaliyemek education-domain PDF","https://balkanmaliyemek.edu.tm/download/20210701/60ddbd80f17e3660.pdf","pdf_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-005_balkanmaliyemek_pdf.pdf","59018CEBCB3E7597E687AA44B7864D7DD8A30E98091844013D23EABC090A103B","338182","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-005_balkanmaliyemek_pdf.txt","CBF58DA8A291DE3ED5DE7099B575322D717C6D80FA1F02958D7DF148FFDCAB59","11470","Public PDF from education-domain site; no blanket license clearance","Turkmen;mathematics education;PDF fallback","pdf_captured_text_extracted_no_configured_hits","pdf_witness_no_configured_context","0","0","no hard-row closure recorded","Captured public PDF and extracted text, but configured polynomial/algebra/ring context and exact hard-row hits were zero in local text.","Use as access/provenance attempt only unless later row review finds relevant target-language math content.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E051-042","E051","NOETHER_R2_PAN_TURKIC_TURKMEN_CURRENT_SOURCE_GATE_20260705T1236.csv","8D0E097A81D67A33DF57BCC6D269784936D2CF90C2BBA90A90E4EFD95345B279","15217","current_turkmen_source_probe","capture_blocked_or_low_access_lead","Turkmen","TK-CUR-051-006","ResearchGate mathematical modeling monograph","https://www.researchgate.net/publication/390161055_YERASTY_SUYJI_SUW_YATAKLARYNY_MATEMATIKI_MODELIRLEMEK","html_or_error_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-006_researchgate_modelirlemek.html","33CF6F3D6FDC4B34B93DBDAE246DD89EB2D3F0EC2A4996E4C8C10E6E899A7C54","191","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-006_researchgate_modelirlemek.txt","1EED7C4F18D1C3625CFC2BF61256830B5DFCFA73CD33555575A12B6339F78C45","193","ResearchGate public lead; direct local capture 403; content may be subject to copyright","Turkmen;mathematical modeling;monograph;polynomial context search lead","direct_capture_403","source_lead_capture_blocked","0","0","no hard-row closure recorded","Search-visible Turkmen mathematical-modeling monograph lead, but direct local capture returned 403 and local text is only an error body. Treat as source-lead gap evidence only.","Need accessible PDF/text/source capture before using as source-corpus witness.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
