source_term,target_term,sense,status,source_evidence,source_excerpt,german_source_evidence,decision_note
noethersch,noetheriano,Noetherian ring or module,source-supported,1312.6798v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1312.6798v1\uqc.tex:78; sha256=0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,Sea $R$ un anillo noetheriano y $M$ un m\'{o}dulo (por la izquierda o,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:18852; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Sei \(A\) eine überall zerfallende Algebra über \(\Omega\). Ist dann \(K\) ein galoisscher Zerfällungskörper für \(A\), ferner \(p\) irgendeine Primzahl und \(\Sigma\) einer der au",Native Spanish register witness; R823 context controls the mathematical sense.
artinsch,artiniano,Artinian ring or module,source-supported,github_alexey-beshenov_notas-san-salvador:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\github_alexey-beshenov_notas-san-salvador\algebra-2018\12-anillos-conmutativos-ejercicios.tex:460; sha256=F5798483A12806935FF3058EF4C54597FE46F6DE0E937D647649CE355FE33D5F,"se estabiliza. Note que $\ZZ$ es un anillo noetheriano, pero no es artiniano.","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:18628; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Dieser letzteren Aussage ist zuzufügen, daß -- entgegen einer Vermutung von E. Artin -- der Übergang zu seinen Führern\footnote{E. Artin, Über die gruppentheoretische Struktur der ",Native Spanish register witness; R823 context controls the mathematical sense.
endlich,finito,finite object,source-supported,1312.6798v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1312.6798v1\uqc.tex:89; sha256=0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,la dimensi\'{o}n global homol\'{o}gica de $R$ sea finita y todo m\'{o}dulo,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:403; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Der Grundgedanke der Systembildung ternärer Formen ist derselbe wie im binären Gebiet. Ausgehend von einem ersten relativ vollständigen System --- dem System der aus dem Binären üb,Native Spanish register witness; R823 context controls the mathematical sense.
eindeutig,único,uniqueness,source-supported,1311.1146v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1311.1146v1\1311_unpacked\doc.tex:406; sha256=C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE,"No entanto, existe uma factorização mais fraca em $\Grp.$ Forma-se o grupo quociente, $X/f$, que consiste nas classes de equivalência na relação gerada por $f$ (i.e., $x\sim x' \Leftrightarrow f(x) = f(x')$). Escreve-se então, $f=m\circ e$ ",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:607; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=2) Die Formenreihe ist bei Anfangsformen mit je zwei Reihen kontragredienter Symbole eindeutig bestimmt; bei Anfangsformen mit mehr Symbolreihen ist sie eindeutig zu normieren durc,Native Spanish register witness; R823 context controls the mathematical sense.
reduziert,reducido,reduced ring or form,source-supported,2209.02110v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\2209.02110v1\2209_unpacked\monoides.tex:1874; sha256=DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,Un anillo R es llamado reducido si no tiene elementos no cero idempotentes.,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:438; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=\textbf{Die Faltungen I und II sind Grundfaltungen, aus denen sich, unabhängig von der Reihenfolge der Zusammensetzung, die Faltungen III und IV zusammensetzen lassen. In anderen W",Native Spanish register witness; R823 context controls the mathematical sense.
assoziiertes Primideal,ideal primo asociado,associated prime ideal,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:10333; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"La conexión de estos números primarios $q$ con los números primos $p$ consiste en lo siguiente: a cada $q$ le corresponde un $p$, y salvo el signo sólo uno, que es divisor de $q$ y del cual alguna potencia es divisible por $q$: el número pr",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; concept search=assoziiertes Primideal,Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Komplement,complemento,complement in a decomposition,source-supported,2206.09700v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\2206.09700v1\Grupos_ortogonales.tex:885; sha256=FD93063C54C5C3581359C768273EA31904538E5A973AEDAC674580D0E85A4518,"Para el complemento $W \cong V/\rad(f_Q)$ de $V/\rad(f_Q)$ en $V$,","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:9162; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Weitergehend läßt sich gemeinsam der Begriff des komplementären Moduls (Hensel Nr. 12) und daraus das Verzweigungsideal (Grundideal, Differente) \(\frD\) definieren (dessen Norm di",Native Spanish register witness; R823 context controls the mathematical sense.
Einheitsideal,ideal unidad,unit ideal,source-supported,2209.02110v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\2209.02110v1\2209_unpacked\monoides.tex:1973; sha256=DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,"1. Si $f\in R[P]$, K(f) es el ideal unidad de P si y solo si $f\notin R[P^{+}]$. \\","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:11808; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Definition V zeigt insbesondere, daß jedes Ideal relativprim zu dem aus allen Elementen von $\Sigma$ bestehenden Einheitsideal $\ideal D$ wird;\footnote{$\ideal D$ spielt nur in be",Native Spanish register witness; R823 context controls the mathematical sense.
Kongruenz,congruencia,congruence,source-supported,2209.02110v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\2209.02110v1\2209_unpacked\monoides.tex:240; sha256=DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,Sea P un monoide. Una relación de equivalencia en P que también es un submonoide de $P\times P$ es llamada una relación de congruencia en P.,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:6211; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Der Beweis beruht in der Umwandlung der in II. abgeleiteten Relationen in Kongruenzen mod $\Delta$. Der Einfachheit halber seien drei ternäre Reihen $x,y,z$ zugrunde gelegt; die Ko",Native Spanish register witness; R823 context controls the mathematical sense.
Teilbarkeit,divisibilidad,divisibility,source-supported,github_alexey-beshenov_cimat-tna:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\github_alexey-beshenov_cimat-tna\1-primer-encuentro.tex:639; sha256=402A1DC4B014FA77BBD537B708928FE9DCEA4A92724C8AA33299E89499857394,el \textbf{ideal principal} generado por $\alpha$. La divisibilidad,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:4724; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=durch $(x_i-a)$ teilbar. Das ist nach Voraussetzung für $G(x)$ ausgeschlossen; aus der Teilbarkeit von $B_\tau$ würde also auch die Teilbarkeit von,Native Spanish register witness; R823 context controls the mathematical sense.
Potenz,potencia,power,source-supported,2209.02110v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\2209.02110v1\2209_unpacked\monoides.tex:1028; sha256=DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,"Supongamos que $\fk{p}$ es primario, y $a\notin \sqrt{\fk{p}}$ pero $ax\in \sqrt{\fk{p}}$. Entonces existe $n\in \bb{N}$ tal que $a^{n}x^{n}\in \fk{p}$, y como $\fk{q}$ es primario, se sigue que $x^{n}\in \fk{q}$ y por tanto $x\in \sqrt{\fk","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:685; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=1) für Formen mit je einer Reihe kontragredienter Variablen: $s_x^m u_\tau^\nu$ eine nach Potenzen von $u_x$ fortschreitende Reihe, deren Koeffizienten \glqq{}Normalformen\grqq{} s",Native Spanish register witness; R823 context controls the mathematical sense.
Matrix,matriz,matrix,source-supported,1312.6798v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1312.6798v1\uqc.tex:112; sha256=0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,(q_{ij})$ es una matriz cuadrada de tama\~{n}o $s \times s$,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:376; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=\providecommand{\mat}[1]{\begin{pmatrix}#1\end{pmatrix}},Native Spanish register witness; R823 context controls the mathematical sense.
Gruppe,grupo,group,source-supported,1311.1146v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1311.1146v1\1311_unpacked\doc.tex:172; sha256=C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE,"Grupos topológicos, primeiramente estudados por Schreier em 1925 \cite{Schreier}, são um exemplo do poder de uma álgebra topológica, ou seja, um grupo munido de uma topologia «compatível» com este. Os resultados que deles se obtêm são fantá",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:3575; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=In der projektiven Invariantentheorie der Formen von $n$ Variabeln sind die an das Hauptproblem -- den Endlichkeitsnachweis des Formensystems -- sich anschließenden Fragen kaum beh,Native Spanish register witness; R823 context controls the mathematical sense.
Untergruppe,subgrupo,subgroup,source-supported,1311.1146v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1311.1146v1\1311_unpacked\doc.tex:404; sha256=C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE,"Nem todo o homomorfismo de grupos se factoriza através de um núcleo após um conúcleo como acontece no caso de categorias abelianas. Considere-se um homomorfismo entre grupos $f: X \to Y.$ Se $f$ for um homomorfismo entre grupos abelianos, a",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:4664; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Entsprechendes gilt für die Invariantenkörper gegenüber Untergruppen der projektiven Gruppe.,Native Spanish register witness; R823 context controls the mathematical sense.
Satz,teorema,theorem,source-supported,1311.1146v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1311.1146v1\1311_unpacked\doc.tex:556; sha256=C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE,"A noção de sucessão exacta é uma noção importante no estudo da homologia. Considera-se nesta secção um teorema de homologia bem conhecido, o lema dos cinco, que diz:","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:393; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Bei Herrn Maisano sind für die allgemeine biquadratische Form die Formen bis zur 5. Ordnung\footnote{Unter \glqq{}Ordnung\grqq{} soll die Dimension in den Koeffizienten, unter \glq",Native Spanish register witness; R823 context controls the mathematical sense.
Lemma,lema,lemma,source-supported,1311.1146v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1311.1146v1\1311_unpacked\doc.tex:40; sha256=C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE,\newtheorem{lem}[tma]{Lema},C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; concept search=Lemma,Native Spanish register witness; R823 context controls the mathematical sense.
Definition,definición,definition,source-supported,1312.6798v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1312.6798v1\uqc.tex:19; sha256=0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,\newtheorem{definition}[theorem]{Definici\'{o}n},C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:446; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Unter diesen Voraussetzungen lassen sich die Sätze über Reduzenten in ihrer allgemeinsten Form und unter der Definition,Native Spanish register witness; R823 context controls the mathematical sense.
Beweis,demostración,mathematical proof,source-supported,1312.6798v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1312.6798v1\uqc.tex:143; sha256=0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,enunciado y una demostraci\'{o}n.,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:393; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Bei Herrn Maisano sind für die allgemeine biquadratische Form die Formen bis zur 5. Ordnung\footnote{Unter \glqq{}Ordnung\grqq{} soll die Dimension in den Koeffizienten, unter \glq",Native Spanish register witness; R823 context controls the mathematical sense.
also,por tanto,inferential connective,source-supported,1312.6798v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1312.6798v1\uqc.tex:538; sha256=0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,"$(\alpha_1,\alpha_2), (\beta_1, \beta_2)$. Por tanto,","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:583; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Die Bedingung (a) stellt also keine Einschränkung dar, sondern läßt sich stets erreichen\footnote{Vgl. Gordan, Math. Annalen Bd. V S. 104.}.",Native Spanish register witness; R823 context controls the mathematical sense.
umgekehrt,recíprocamente,converse implication,source-supported,2307.03598v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\2307.03598v1\Paper_D-modulos_CNMXXII.tex:451; sha256=7CB92E7F60B1657B88128CDAF1166DC71BC39C2919F392981DF454661E28FF20,"\begin{obs} Cualquier $\g$-m\'odulo es un m\'odulo para $U(\g)$ al extender la acci\'on al producto tensorial. Rec\'iprocamente, todo m\'odulo para $U(\g)$ es un m\'odulo para $\g$ al considerar la acci\'on restricta a los elementos de $\g$","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:3540; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Der Satz läßt noch eine zweite, für Anwendungen geeignete Fassung zu: ``Einem jeden Matrizenprodukt $(v^{(1)}\cdots v^{(\rho)}\mid y^{(1)}\cdots y^{(\rho)})$,\srcfn{1)}{D. h. der S",Native Spanish register witness; R823 context controls the mathematical sense.
"genau dann, wenn",si y solo si,biconditional,source-supported,1312.6798v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1312.6798v1\uqc.tex:1018; sha256=0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,\graded{\filext{F}}{B}$ es inyectivo si y s\'{o}lo si para todo $a,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; concept search=genau dann, wenn",Native Spanish register witness; R823 context controls the mathematical sense.
existiert,existe,existential assertion,source-supported,1311.1146v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1311.1146v1\1311_unpacked\doc.tex:182; sha256=C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE,"O capítulo 3 inicia-se apresentando os produtos semidirectos em $\Grp$. Em seguida, mostra-se que existe uma generalização desta noção para categorias protomodulares que equivale no caso dos grupos. No final demonstra-se que existem produto","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:393; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Bei Herrn Maisano sind für die allgemeine biquadratische Form die Formen bis zur 5. Ordnung\footnote{Unter \glqq{}Ordnung\grqq{} soll die Dimension in den Koeffizienten, unter \glq",Native Spanish register witness; R823 context controls the mathematical sense.
für alle,para todo,universal quantification,source-supported,1311.1146v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1311.1146v1\1311_unpacked\doc.tex:221; sha256=C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE,"Em \Conj, a relação $\sim$ será reflexiva se cada elemento for em relação a si próprio, isto é, a relação $R\rightrightarrows X$ for reflexiva em $\Conj$ se, para todo o $x \in X, \ (x,x)\in R,$ ou seja, se a diagonal de $X$, $\Delta_X=\{(x","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:3649; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Die Darstellung durch Matrizenprodukte erlaubt, die durch die Determinantendarstellung bedingte wesentliche Schwierigkeit der nicht expliziten Darstellung zu überwinden.\footnote{V",Native Spanish register witness; R823 context controls the mathematical sense.
beziehungsweise,respectivamente,paired correspondence,source-supported,1311.1146v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1311.1146v1\1311_unpacked\doc.tex:536; sha256=C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE,"\[f:A\to C,\text{\ e \ } g:B\to C\] com $a_1,b_1\mapsto c_1,\ a_2,a_3\mapsto c_2,$ \hbox{$a_4,b_2,b_3\mapsto c_3.$} Se $\{a_1,a_2\}$ e $\{b_1,b_3\}$ pertencerem às topologias de $A$ e $B$ respectivamente e se a topologia de $C$ for indiscre",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; concept search=beziehungsweise,Native Spanish register witness; R823 context controls the mathematical sense.
Bereich,dominio,ring-theoretic domain,source-supported,2209.02110v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\2209.02110v1\2209_unpacked\monoides.tex:243; sha256=DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,"Uno puede ver fácilmente que si E es una relación de congruencia en P, entonces el conjunto $P/E$ de clases de equivalencia tiene una única estructura de monoide, que hace a la proyección $P \to P/E$ un homomorfismo de monoides. Entonces ex",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:4519; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Die folgenden Fragestellungen gehen ursprünglich auf Gespräche mit E. Fischer zurück. Einige der Fragen sind übrigens für den speziellen Fall einer Unbestimmten --- und zwar unter ,Native Spanish register witness; R823 context controls the mathematical sense.
Koeffizientenbereich,dominio de coeficientes,coefficient domain,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:4307; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"Las cuestiones siguientes se remontan originalmente a conversaciones con E. Fischer. Algunas de ellas, por lo demás, ya habían sido planteadas y resueltas por E. Steinitz para el caso especial de una indeterminada, e incluso bajo hipótesis ",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:4519; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Die folgenden Fragestellungen gehen ursprünglich auf Gespräche mit E. Fischer zurück. Einige der Fragen sind übrigens für den speziellen Fall einer Unbestimmten --- und zwar unter ,Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
