review_sequence,occurrence_id,term_id,concept,language,source_candidate_sense_ids,surface_query,normalization_group,logical_source_id,record_id,source_sha256,license_status,locator_path,line_number,quote,quote_sha256,source_domain,source_evidence_tier,review_decision,accepted_sense_id,candidate_sense_ids,adverse_target,reason_code,review_note,evidence_context_class,evidence_family_id,family_role,cross_occurrence_id,review_report,review_report_sha256,review_authority,promotion_status,human_observation_count,pilot_claim
24,OCC-083DCC1CFD7872A3,T37,power,fr,T37-S1 | T37-S2 | T37-S3,puissance,T37:fr:puissance,WIKI-fr-247990-234911105,WIKIHTML-FR-247990-234911105,BAE6A0F2039BD919978824F44415CFD8F76295FD3567C1052567F43CB2D84362,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\fr\WIKIHTML-247990-234911105.txt,1046,Puissance extérieure,E36CAEDAAA26F42C82CDC0D6871040BAFB0C4F4267B98F98390F33EE9245A299,module_theory,mechanical_context_candidate,rejected_wrong_sense,,,,EXTERIOR_POWER_UNMODELED,"`Puissance extérieure` is the exterior-power construction, not element, ideal, or prime power; the hit is also navigation-only.",wrong_sense_source_context,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
25,OCC-64840CB73A653DFB,T37,power,pt,T37-S1 | T37-S2 | T37-S3,potencia,T37:pt:potencia,WIKI-pt-44171-72178684,WIKITEXT-PT-44171-72178684,9AD8C18F9B4283D019CA5DDAADD605D95ABA17C2AE25D96D2FD57721C7AE1956,declared_cc_by_sa_4_0_project_terms_pending_page_match,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\downloaded_wikimedia\pt\44171_72178684_Álgebra.wikitext,29,"algébrica é uma [[Função (matemática)|função]] de uma [[Produto cartesiano|potência cartesiana de um conjunto nesse conjunto]], expressa formalmente como <math>\omega: A^n \to …",7EE1DA795B5339D69F072B5CEC3ADDAD5EF57E668AC594389833A369925826E2,abstract_algebra,mechanical_context_candidate,rejected_wrong_sense,,,,CARTESIAN_POWER_UNMODELED,"Cartesian power of a set is a distinct modeled-missing sense, not an iterated algebraic product.",wrong_sense_source_context,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
26,OCC-D74EDDF993896602,T37,power,gl,T37-S1 | T37-S2 | T37-S3,potencia,T37:gl:potencia,WIKI-gl-167091-7442913,WIKIHTML-GL-167091-7442913,28C3F8ABDB18EA7B77A8B611E3169A2B4AE4FE09037FD1272E9C06217ABE6307,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\gl\WIKIHTML-167091-7442913.txt,445,", na que demostra a fórmula xeral da potencia dun binomio",170415FF824D286E7A557C2C5CF20C37CCCCA25E34C90D6D0C4885F61C10F696,proof_register,mechanical_context_candidate,accepted_sense_match,T37-S1,,,BINOMIAL_ELEMENT_POWER,Running proof-history prose refers to the power of a binomial.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
27,OCC-CB263D14B4AE7191,T37,power,gl,T37-S1 | T37-S2 | T37-S3,potencia,T37:gl:potencia,WIKI-gl-209642-6945035,WIKIHTML-GL-209642-6945035,639F9C1386FDC1626745B699311EE87DCE516D423567DC8FF13AAA2B6FC75338,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\gl\WIKIHTML-209642-6945035.txt,767,é unha potencia dun,2D1A97FB02ECCF69A280FBEB92C14975C20BAA1A1FC2B6A296C4814B037C6B2F,field_theory,mechanical_context_candidate,accepted_sense_match,T37-S3,,,PRIME_POWER,Finite-field order is explicitly a power of a prime.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
28,OCC-926BF3E5888415CB,T37,power,ca,T37-S1 | T37-S2 | T37-S3,potencia,T37:ca:potencia,WIKI-ca-54406-36480260,WIKIHTML-CA-54406-36480260,D426B7C588E924F826BA86AE0A3C5047CA152CFE313CC399C0726ED207CF9344,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\ca\WIKIHTML-54406-36480260.txt,711,> 1 és una potència d'un,05E3849A7CFDF2D938C7B6A01FB0CC9A320EEB4569A483077A10BC57545E6849,mathematics_general,mechanical_context_candidate,accepted_sense_match,T37-S3,,,PRIME_POWER,Same explicit prime-power condition in Catalan finite-field prose.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
29,OCC-2EACDF8D40BD2232,T37,power,it,T37-S1 | T37-S2 | T37-S3,potenza,T37:it:potenza,WIKI-it-31716-145498082,WIKIHTML-IT-31716-145498082,226CC995643D3F1B325D1BD30D5BD66FA6B18141E2B5AFC2BAB34262C59D9A12,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\it\WIKIHTML-31716-145498082.txt,1065,Associatività della potenza,3FBF3DF788F2AFEB08078BCDEC500E0EDEC4AFA3C70A5A9BE692B7315A8A2095,field_theory,mechanical_context_candidate,held,,T37-S1,,POWER_ASSOCIATIVITY_NAV_TEMPLATE,"`Associatività della potenza` is a navigation label, not body evidence.",held_navigation_or_template,FAM-T37-IT-POWER-NAV,template_primary_location,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
30,OCC-2C40AFE31C10C8AE,T37,power,it,T37-S1 | T37-S2 | T37-S3,potenza,T37:it:potenza,WIKI-it-33544-138537220,WIKIHTML-IT-33544-138537220,24A7B8E618BC73E1D22A334E7926DFCCD9EAA555005F276153ACF0855CFC9F64,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\it\WIKIHTML-33544-138537220.txt,857,Associatività della potenza,3FBF3DF788F2AFEB08078BCDEC500E0EDEC4AFA3C70A5A9BE692B7315A8A2095,ring_theory,mechanical_context_candidate,held,,T37-S1,,DUPLICATE_POWER_NAV_TEMPLATE,Same navigation template in a second page.,held_navigation_or_template,FAM-T37-IT-POWER-NAV,template_duplicate_location,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
31,OCC-4D8A78A5A6AB0050,T37,power,it,T37-S1 | T37-S2 | T37-S3,potenza,T37:it:potenza,WIKI-it-63266-146300127,WIKIHTML-IT-63266-146300127,E591880DF409832715E0F38F54C64C707FA32391DCB309B9FFDBBE6CD715A898,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\it\WIKIHTML-63266-146300127.txt,758,Associatività della potenza,3FBF3DF788F2AFEB08078BCDEC500E0EDEC4AFA3C70A5A9BE692B7315A8A2095,module_theory,mechanical_context_candidate,held,,T37-S1,,DUPLICATE_POWER_NAV_TEMPLATE,Same navigation template in a third page.,held_navigation_or_template,FAM-T37-IT-POWER-NAV,template_duplicate_location,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
32,OCC-DA41691EE0C9F0FC,T38,matrix,es,T38-S1,matriz,T38:es:matriz,TRANSFER-1312.6798v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_1312_6798v1/1312.6798v1_uqc.tex,TRANSFER-0025,0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,unresolved,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\spanish\arxiv_1312_6798v1\1312.6798v1_uqc.tex,112,(q_{ij})$ es una matriz cuadrada de tama\~{n}o $s \times s$,0977589A0C784997F64DF457C246C8E7545A694BF0DE52AC90C513C7C606FBF0,mathematics_mixed,mechanical_context_candidate,accepted_sense_match,T38-S1,,,SQUARE_COEFFICIENT_MATRIX,Explicit square `s × s` matrix with coefficients in a field.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
33,OCC-C0C897186C70BD7D,T38,matrix,es,T38-S1,matriz,T38:es:matriz,TRANSFER-2307.03598v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_2307_03598v1/2307.03598v1_Paper_D-modulos_CNMXXII.tex,TRANSFER-0027,7CB92E7F60B1657B88128CDAF1166DC71BC39C2919F392981DF454661E28FF20,unresolved,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\spanish\arxiv_2307_03598v1\2307.03598v1_Paper_D-modulos_CNMXXII.tex,185,"Ahora bien, la matriz $[P_{ij}]$ define una aplicaci�n $D_n$-lineal $\cdot[P_{ij}]:D_n^p \rightarrow D_n^q $ definada por $(u_1, …",F10A48A8E123DB028F6B61BDDCA1A7652136FADC9ED0354FC35D91EB2613E75F,module_theory,mechanical_context_candidate,accepted_sense_match,T38-S1,,,OPERATOR_MATRIX_LINEAR_MAP,Operator-entry matrix defines a module-linear map.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
34,OCC-989783CEC84E7906,T38,matrix,es,T38-S1,matriz,T38:es:matriz,WIKI-es-46655-163545571,WIKITEXT-ES-46655-163545571,4F1DEB1A343E766CB345FC705B629D0049867C2E85FB9A6A8CF80600A1B5092A,declared_cc_by_sa_4_0_project_terms_pending_page_match,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\downloaded_wikimedia\es\46655_163545571_Módulo_matemática.wikitext,42,"es un módulo M<sub>''n''</sub>(''R''), y ''e''<sub>''i''</sub> es la matriz {{nowrap|''n'' × ''n''}} con 1 en la {{nowrap|(''i'', ''i'')}}-entrada (y ceros en …",2335B539EC25EFB6BDFB88540893598D6A8ED7BFCC9B1A281B6084F51D72D832,module_theory,mechanical_context_candidate,accepted_sense_match,T38-S1,,,MATRIX_RING_AND_MATRIX_UNIT,Matrix ring and an explicit `n × n` matrix with prescribed entries.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
35,OCC-345605AFFF75651A,T38,matrix,fr,T38-S1,matrice,T38:fr:matrice,TRANSFER-0911.2903v2-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_0911_2903v2/0911.2903v2_Exp.1014.B.Keller.tex,TRANSFER-0001,73390B421593C602CCCB45B88EF9FC4AC29831A7684187D95DF9DD0D29D811FF,arxiv_distribution_license_not_reuse_clear,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\french\arxiv_0911_2903v2\0911.2903v2_Exp.1014.B.Keller.tex,404,"seulement si $bc\leq 3$, autrement dit si la matrice",CB6CB4DCE32500AB3C8AA7DC3CCBBE5CA36990048640617644545919B5E095D2,mathematics_mixed,mechanical_context_candidate,accepted_sense_match,T38-S1,,,CARTAN_MATRIX,Displayed Cartan matrix of a rank-two root system.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
36,OCC-4B0BE8D09019A5AF,T38,matrix,fr,T38-S1,matrice,T38:fr:matrice,TRANSFER-1508.04495v1-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1508_04495v1/1508.04495v1_Ext_ACT.tex,TRANSFER-0010,6A81F06B41B52BE13440ECAFB85096390C8FA20B8C0BEAD0E1677B52465C852E,arxiv_distribution_license_not_reuse_clear,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\french\arxiv_1508_04495v1\1508.04495v1_Ext_ACT.tex,71,#2 \\ #3 & #4 \\ \end{pmatrix}} % matrice 2 x 2,073E2E3D25929E752192D7DD290DD80B1C5886B00D0F1255635425638A8C9E84,mathematics_mixed,mechanical_context_candidate,held,,T38-S1,,CODE_MACRO_COMMENT_ONLY,`% matrice 2 x 2` comments a LaTeX macro declaration; no running-source assertion.,held_code_comment,HOLD-T38-FR-CODE-MACRO-COMMENT,single_code_comment,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
37,OCC-3BBA808D4CD2CBA5,T38,matrix,fr,T38-S1,matrice,T38:fr:matrice,TRANSFER-1508.04495v1-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1508_04495v1/1508.04495v1_annexeA.tex,TRANSFER-0003,B70390149B359B112C82429C48B0D3EB10271DEE9FAD0B7E19FF8CDFDA4CC88B,arxiv_distribution_license_not_reuse_clear,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\french\arxiv_1508_04495v1\1508.04495v1_annexeA.tex,142,"Lie $\alpha_{(\bar{a},\bar{b})}^{[\LL_1]}$ de $\mathfrak{sl}_2(S)$ exprimé en termes d'une matrice dans la base ordonnée $\big(\, \zeta_4t_1t_2\,h \, ,\, \zeta_4t_1\,(e - f) \, …",AE38A9DA3EACE9D4E334E80BE4666AC7188C0BEA002E522EAED7ED724BC31F27,mathematics_mixed,mechanical_context_candidate,accepted_sense_match,T38-S1,,,LIE_AUTOMORPHISM_MATRIX,A Lie-algebra automorphism is explicitly expressed by a displayed matrix in an ordered basis.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
38,OCC-7AAC0FE13BE66828,T38,matrix,pt,T38-S1,matriz,T38:pt:matriz,WIKI-pt-44171-72178684,WIKITEXT-PT-44171-72178684,9AD8C18F9B4283D019CA5DDAADD605D95ABA17C2AE25D96D2FD57721C7AE1956,declared_cc_by_sa_4_0_project_terms_pending_page_match,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\downloaded_wikimedia\pt\44171_72178684_Álgebra.wikitext,89,[[Matriz (matemática)|Matrizes]] são matrizes retangulares (ou arranjos retangulares) de valores que foram originalmente …,E9766B79858E4F9EC362F4B5BC7F729AD24A24BE42EC65961DEB3F03714E1516,abstract_algebra,mechanical_context_candidate,accepted_sense_match,T38-S1,,,RECTANGULAR_ARRAY_DEFINITION,Running linear-algebra body defines matrices as rectangular arrays of values.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
39,OCC-1BA8AABF8B078E00,T38,matrix,pt,T38-S1,matriz,T38:pt:matriz,WIKI-pt-616487-72002999,WIKIHTML-PT-616487-72002999,617BB2A637B1825FD72E43A97AF276FD07F7D54DE85991FD2FC6001E545F693F,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\pt\WIKIHTML-616487-72002999.txt,406,é a matriz,59720C14B988E6483D118D183EE4F9ED808A0936CD1210C444299FB6116F1744,module_theory,mechanical_context_candidate,accepted_sense_match,T38-S1,,,MATRIX_RING_AND_MATRIX_UNIT,Matrix ring context with a matrix having one specified unit entry.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
40,OCC-B5514956D3EA968E,T38,matrix,it,T38-S1,matrice,T38:it:matrice,TRANSFER-hexwell_university_notes/it/algebra/forigo/algebra.tex-language-source-bodies/romance-germanic-baselines/bodies/italian/hexwell_university_notes/hexwell_university_notes_it_algebra_forigo_algebra.tex_algebra.tex,TRANSFER-0021,A1DB1D48D3C1A5AAE7426E8218D7EDB93A49CDD7297F61A861EDA292CEFD829E,unresolved_no_explicit_grant,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\italian\hexwell_university_notes\hexwell_university_notes_it_algebra_forigo_algebra.tex_algebra.tex,1121,"Se $f$ è rappresentato dalla matrice $A$ e $g$ è rappresentato dalla matrice $B$, $f \circ g$ è …",49073CFE1DBB0089C5D6481CDB49D3CD6DF3F462A08291A8D7DA47FE72C39F85,abstract_algebra,mechanical_context_candidate,accepted_sense_match,T38-S1,,,LINEAR_MAP_MATRIX_PRODUCT,Matrices represent linear maps and composition is represented by matrix product.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
41,OCC-294DFB7F51C36D81,T38,matrix,it,T38-S1,matrice,T38:it:matrice,WIKI-it-31716-145498082,WIKIHTML-IT-31716-145498082,226CC995643D3F1B325D1BD30D5BD66FA6B18141E2B5AFC2BAB34262C59D9A12,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\it\WIKIHTML-31716-145498082.txt,1281,Matrice,481F7A63D10D856B8DC27D6E4DBC671813CF887964EC060BD81F6850DFF4286D,field_theory,mechanical_context_candidate,held,,T38-S1,,NAVIGATION_TEMPLATE_ONLY,Bare `Matrice` in a ring-theory navigation family.,held_navigation_or_template,FAM-T38-IT-MATRIX-NAV,template_primary_location,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
42,OCC-F52BB4F6D1E2A13F,T38,matrix,it,T38-S1,matrice,T38:it:matrice,WIKI-it-33544-138537220,WIKIHTML-IT-33544-138537220,24A7B8E618BC73E1D22A334E7926DFCCD9EAA555005F276153ACF0855CFC9F64,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\it\WIKIHTML-33544-138537220.txt,1073,Matrice,481F7A63D10D856B8DC27D6E4DBC671813CF887964EC060BD81F6850DFF4286D,ring_theory,mechanical_context_candidate,held,,T38-S1,,DUPLICATE_NAVIGATION_TEMPLATE,Same bare `Matrice` template row in a second page.,held_navigation_or_template,FAM-T38-IT-MATRIX-NAV,template_duplicate_location,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
43,OCC-77D0BE7622072E31,T38,matrix,ro,T38-S1,matrice,T38:ro:matrice,WIKI-ro-2398153-17567738,WIKIHTML-RO-2398153-17567738,7EA192CF87FA81183609981BF8355DFB8959286D9FB95B0D3DF535B071B2FB1B,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\ro\WIKIHTML-2398153-17567738.txt,39,Grupuri de matrice,4E7DECF1C0EA95C68687749DDC8F926A9BBBD21239D4099C3341843BF8752A12,group_theory,mechanical_context_candidate,held,,T38-S1,,TOC_COMPOUND_ONLY,`Grupuri de matrice` appears only as a contents entry for matrix groups at this locator.,held_toc_compound,HOLD-T38-RO-TOC-COMPOUND,single_toc_compound,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
44,OCC-83048397D53C23F2,T39,group,es,T39-S1,grupo,T39:es:grupo,TRANSFER-1312.6798v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_1312_6798v1/1312.6798v1_uqc.tex,TRANSFER-0025,0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,unresolved,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\spanish\arxiv_1312_6798v1\1312.6798v1_uqc.tex,395,"$q_{ji} \in U(A)$, el grupo de unidades de $A$, para todo $1",435FF43E6ED53278C786D82B27DE50E1CAF6D1063F274EDC92C46D3D28684CA8,mathematics_mixed,mechanical_context_candidate,accepted_sense_match,T39-S1,,,UNIT_GROUP,Explicit unit group of an algebra.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
45,OCC-F97468AE08ED5864,T39,group,es,T39-S1,grupo,T39:es:grupo,TRANSFER-2209.02110v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_2209_02110v1/2209.02110v1_monoides.tex,TRANSFER-0026,DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,unresolved,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\spanish\arxiv_2209_02110v1\2209.02110v1_monoides.tex,196,llamaremos a M un monoide conmutativo. Claramente todo grupo es un monoide por lo que el desarrollo de esta teoría tendrá …,5C2AE7DDD6FA2F53BD7D7D6F4A721C9F23AD96E1D494DFF6B8D6D67CE47607EA,mathematics_mixed,mechanical_context_candidate,accepted_sense_match,T39-S1,,,GROUP_IS_MONOID,Running definitions state every group is a monoid and contrast group/monoid theory.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
46,OCC-366DC55C4C59E3F7,T39,group,es,T39-S1,grupo,T39:es:grupo,TRANSFER-2307.03598v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_2307_03598v1/2307.03598v1_Paper_D-modulos_CNMXXII.tex,TRANSFER-0027,7CB92E7F60B1657B88128CDAF1166DC71BC39C2919F392981DF454661E28FF20,unresolved,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\spanish\arxiv_2307_03598v1\2307.03598v1_Paper_D-modulos_CNMXXII.tex,167,"ecuaciones diferenciales da pi� a una representaci�n del grupo fundamental del espacio base. Ahora bien, si se tiene una representaci�n del …",4116D415D179CC9FD5B5B257C8D74AE8C6C34119D81D69DC5797557AC240ED18,module_theory,mechanical_context_candidate,accepted_sense_match,T39-S1,,,FUNDAMENTAL_GROUP,Fundamental group in a representation/monodromy context.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
47,OCC-07552FD5F9AB9323,T39,group,fr,T39-S1,groupe,T39:fr:groupe,TRANSFER-0911.2903v2-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_0911_2903v2/0911.2903v2_Exp.1014.B.Keller.tex,TRANSFER-0001,73390B421593C602CCCB45B88EF9FC4AC29831A7684187D95DF9DD0D29D811FF,arxiv_distribution_license_not_reuse_clear,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\french\arxiv_0911_2903v2\0911.2903v2_Exp.1014.B.Keller.tex,1027,o\`u $N$ est un sous-groupe unipotent maximal~:,0F9039A0659C765C7B799C05A8EA2405E13E0B68255AE0F8E82C5FFF0F84F5ED,mathematics_mixed,mechanical_context_candidate,held,,T39-S1,,SUBGROUP_DERIVATIONAL_SUBSTRING_LEAK,"Exact source expression is `sous-groupe`; this row is accepted under T40, but must not double-count as an independent T39 body occurrence.",held_derivational_substring_overlap,FAM-T39-T40-FR-SOUS-GROUPE-OVERLAP,substring_held_for_T39,OCC-0796F59803BE313C,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
48,OCC-FB5B23582BE0301F,T39,group,fr,T39-S1,groupe,T39:fr:groupe,TRANSFER-1508.04495v1-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1508_04495v1/1508.04495v1_annexeA.tex,TRANSFER-0003,B70390149B359B112C82429C48B0D3EB10271DEE9FAD0B7E19FF8CDFDA4CC88B,arxiv_distribution_license_not_reuse_clear,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\french\arxiv_1508_04495v1\1508.04495v1_annexeA.tex,136,\begin{annexeRem} Le groupe $\Gamma = \ZZ_2 \times \ZZ_2$ agit sur les deux $S$-algèbres de Lie …,84EBF30CD051967F6C76888E41714B7C3A268957C301DFF8C78DCD4327E9AED7,mathematics_mixed,mechanical_context_candidate,accepted_sense_match,T39-S1,,,FINITE_PRODUCT_GROUP_ACTION,Explicit group `Gamma = Z_2 × Z_2` acting on Lie algebras.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
