physical_page	printed_page	archive_path	finding	disposition
7-12	278-283	paper20_direct_path_witnesses/022_T00149_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/023_T00150_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/024_T00151_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/025_T00344_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/026_T00345_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/027_T00346_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/028_T00347_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/029_T00348_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/030_T00349_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/031_T00350_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/032_T00351_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/033_T00352_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/034_T00353_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/035_T00354_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/036_T00355_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/037_T00356_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/038_T00357_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/039_T00358_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/040_T00359_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/041_source_tex_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	paper20_direct_path_witnesses/042_source_tex_cleaned_001_029_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the S02 French records were frozen. For physical pages 7-12 it omits the F label on the upper horizontal arrow of the (1.11) square; collapses the two-step cohomology arrow in (1.12); writes F_{x0} without the authority star and uses deg(x) where the authority has deg(x0) in (1.13); changes the differentiable fundamental class in (2.1) from H_c^n to H_c^(2n); drops the hat in the acting group Z-hat-star in (2.2); reverses the signs of the q and t exponents in the (2.6) functional equation and says “n impair” where the authority says “n pair”; uses j_! or a mixed j_!/j_* formulation instead of j_* throughout (2.11)-(2.12); and cites SGA 4 XVIII (3.2.4.1), K=j_!F instead of authority (3.2.5), K=j_*F.	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
7-12	278-283	superseded_preflight/D020_PREFLIGHT.json	Superseded preflight/control based on the lower-priority 35-page collected split. It is useful only for routing and does not supersede the 36-page NUMDAM authority or certify any reading.	ZERO_ACCEPTED; comparator/control only
8	279	comparators/21_COMPARATOR_DELIGNE_D020_IAS_NUMBER23_35PP.pdf#page=7	IAS comparator page 7 was rendered and visually inspected against authority physical page 8. Text, formulas, page sequence, running matter, and the page-7 commutative square align at the level needed for comparison; no comparator-only reading was promoted. The NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
8	279	comparators/22_COMPARATOR_DELIGNE_D020_COLLECTED_SPLIT_35PP.pdf#page=7	collected-split comparator page 7 was rendered and visually inspected against authority physical page 8. Text, formulas, page sequence, running matter, and the page-7 commutative square align at the level needed for comparison; no comparator-only reading was promoted. The NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
8	279	diagram_archive_branch_1/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p007_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
8	279	diagram_archive_branch_2/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p007_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
8	279	diagram_directory_branch_1/Images/D020_La_conjecture_de_Weil_I/D020_p007_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
8	279	diagram_directory_branch_2/Images/D020_La_conjecture_de_Weil_I/D020_p007_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
9	280	comparators/21_COMPARATOR_DELIGNE_D020_IAS_NUMBER23_35PP.pdf#page=8	IAS comparator page 8 was rendered and visually inspected against authority physical page 9. Text, formulas, page sequence, running matter, and the page-7 commutative square align at the level needed for comparison; no comparator-only reading was promoted. The NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
9	280	comparators/22_COMPARATOR_DELIGNE_D020_COLLECTED_SPLIT_35PP.pdf#page=8	collected-split comparator page 8 was rendered and visually inspected against authority physical page 9. Text, formulas, page sequence, running matter, and the page-7 commutative square align at the level needed for comparison; no comparator-only reading was promoted. The NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
9	280	diagram_archive_branch_1/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p008_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
9	280	diagram_archive_branch_2/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p008_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
9	280	diagram_directory_branch_1/Images/D020_La_conjecture_de_Weil_I/D020_p008_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
9	280	diagram_directory_branch_2/Images/D020_La_conjecture_de_Weil_I/D020_p008_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
10	281	comparators/21_COMPARATOR_DELIGNE_D020_IAS_NUMBER23_35PP.pdf#page=9	IAS comparator page 9 was rendered and visually inspected against authority physical page 10. Text, formulas, page sequence, running matter, and the page-7 commutative square align at the level needed for comparison; no comparator-only reading was promoted. The NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
10	281	comparators/22_COMPARATOR_DELIGNE_D020_COLLECTED_SPLIT_35PP.pdf#page=9	collected-split comparator page 9 was rendered and visually inspected against authority physical page 10. Text, formulas, page sequence, running matter, and the page-7 commutative square align at the level needed for comparison; no comparator-only reading was promoted. The NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
10	281	diagram_archive_branch_1/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p009_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
10	281	diagram_archive_branch_2/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p009_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
10	281	diagram_directory_branch_1/Images/D020_La_conjecture_de_Weil_I/D020_p009_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
10	281	diagram_directory_branch_2/Images/D020_La_conjecture_de_Weil_I/D020_p009_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
11	282	comparators/21_COMPARATOR_DELIGNE_D020_IAS_NUMBER23_35PP.pdf#page=10	IAS comparator page 10 was rendered and visually inspected against authority physical page 11. Text, formulas, page sequence, running matter, and the page-7 commutative square align at the level needed for comparison; no comparator-only reading was promoted. The NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
11	282	comparators/22_COMPARATOR_DELIGNE_D020_COLLECTED_SPLIT_35PP.pdf#page=10	collected-split comparator page 10 was rendered and visually inspected against authority physical page 11. Text, formulas, page sequence, running matter, and the page-7 commutative square align at the level needed for comparison; no comparator-only reading was promoted. The NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
11	282	diagram_archive_branch_1/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p010_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
11	282	diagram_archive_branch_2/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p010_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
11	282	diagram_directory_branch_1/Images/D020_La_conjecture_de_Weil_I/D020_p010_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
11	282	diagram_directory_branch_2/Images/D020_La_conjecture_de_Weil_I/D020_p010_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
12	283	comparators/21_COMPARATOR_DELIGNE_D020_IAS_NUMBER23_35PP.pdf#page=11	IAS comparator page 11 was rendered and visually inspected against authority physical page 12. Text, formulas, page sequence, running matter, and the page-7 commutative square align at the level needed for comparison; no comparator-only reading was promoted. The NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
12	283	comparators/22_COMPARATOR_DELIGNE_D020_COLLECTED_SPLIT_35PP.pdf#page=11	collected-split comparator page 11 was rendered and visually inspected against authority physical page 12. Text, formulas, page sequence, running matter, and the page-7 commutative square align at the level needed for comparison; no comparator-only reading was promoted. The NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
12	283	diagram_archive_branch_1/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p011_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
12	283	diagram_archive_branch_2/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p011_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
12	283	diagram_directory_branch_1/Images/D020_La_conjecture_de_Weil_I/D020_p011_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
12	283	diagram_directory_branch_2/Images/D020_La_conjecture_de_Weil_I/D020_p011_diag01.png	Overinclusive diagram-aid crop for this page, generated from the lower-priority collected split. It primarily captures formula/table-like page content rather than an irreducible figure; the controlling-authority render supports editable text/linear-math encoding, so the crop remains a locator only.	ZERO_ACCEPTED; no image asset imported; authority pixels control
