sequence,language,source_relative_path,source_sha256,package_tex,package_tex_sha256,package_pdf,package_pdf_sha256,pages,pdf_bytes,duration_seconds,resumed,latex_warning,package_warning,missing_character,overfull_box,underfull_box
113,latin,paper30/intro/interslavic/v001/Noether_Paper30_Intro_Interslavic_v001.tex,00438CC14F31D93C814C5F8E68D1C15F55D5BD02BA00619BCD8B3176057C33FB,02_tex/latin/113_Noether_Paper30_Intro_Interslavic_v001.tex,00438CC14F31D93C814C5F8E68D1C15F55D5BD02BA00619BCD8B3176057C33FB,01_unit_pdfs/latin/113_Noether_Paper30_Intro_Interslavic_v001.pdf,B1F13E2341C1F9D52A9CC185B059F945B9155EF41CF32F19493066AD4E7E99E8,2,91974,0,True,0,0,0,0,0
114,latin,paper30/section01/interslavic/v001/Noether_Paper30_Section01_Interslavic_v001.tex,994FE3531DE28957CA350607C39B8640367DA23C7EBA1EC4B61E438E76160F63,02_tex/latin/114_Noether_Paper30_Section01_Interslavic_v001.tex,994FE3531DE28957CA350607C39B8640367DA23C7EBA1EC4B61E438E76160F63,01_unit_pdfs/latin/114_Noether_Paper30_Section01_Interslavic_v001.pdf,11B94E6904456129E3944ED321BC20F243A66FFF1B655DCB51DCEA7FBB3BF789,3,89446,0,True,0,0,0,0,0
115,latin,paper30/section02/interslavic/v001/Noether_Paper30_Section02_Interslavic_v001.tex,D43D0ABE84C9CE1A783E41A381D7E2163EFC1533B007C4EE900F69D61C6BF09D,02_tex/latin/115_Noether_Paper30_Section02_Interslavic_v001.tex,D43D0ABE84C9CE1A783E41A381D7E2163EFC1533B007C4EE900F69D61C6BF09D,01_unit_pdfs/latin/115_Noether_Paper30_Section02_Interslavic_v001.pdf,2123573108B36C870BD85B81C96E632B95E05B6DFC5CF74F79FECB286649020C,2,85501,0,True,0,0,0,0,0
116,latin,paper30/section03/interslavic/v001/Noether_Paper30_Section03_Interslavic_v001.tex,D0D638A304962549FCD5F949EE41AE2FB81E1D4C0E903A1E6F843E82784FD4B0,02_tex/latin/116_Noether_Paper30_Section03_Interslavic_v001.tex,D0D638A304962549FCD5F949EE41AE2FB81E1D4C0E903A1E6F843E82784FD4B0,01_unit_pdfs/latin/116_Noether_Paper30_Section03_Interslavic_v001.pdf,BEE28FBDFB1E3F679178AD08C130BF6CE176746BAADD936F82BA09D107D1A511,2,96962,0,True,0,0,0,0,0
117,latin,paper30/section04/interslavic/v001/Noether_Paper30_Section04_Interslavic_v001.tex,11DE795C79BB9D9CC96756FF14578AD274D016297D15B88A135DE46748141089,02_tex/latin/117_Noether_Paper30_Section04_Interslavic_v001.tex,11DE795C79BB9D9CC96756FF14578AD274D016297D15B88A135DE46748141089,01_unit_pdfs/latin/117_Noether_Paper30_Section04_Interslavic_v001.pdf,38CCDFDDB3EBEB7D3C1FBCB07662A87078A61A3C758B2BE1A3A6A99099667CAB,3,103746,0,True,0,0,0,0,0
118,latin,paper30/section05/interslavic/v001/Noether_Paper30_Section05_Interslavic_v001.tex,CD7F6AFFD31A4FC6F36D78C1ED7A100C0429AC25DEEA09DEF3BF3D7785F7804D,02_tex/latin/118_Noether_Paper30_Section05_Interslavic_v001.tex,CD7F6AFFD31A4FC6F36D78C1ED7A100C0429AC25DEEA09DEF3BF3D7785F7804D,01_unit_pdfs/latin/118_Noether_Paper30_Section05_Interslavic_v001.pdf,0A5509D759EE983EEAF5AAA358112BA68627B292E99018A50D7EE7A618D5AFC1,2,103909,0,True,0,0,0,0,0
119,latin,paper30/section06/interslavic/v001/Noether_Paper30_Section06_Interslavic_v001.tex,D46ED2389E726CB06C9019814A668401CC291149B42C86C07879D8D72986FBA5,02_tex/latin/119_Noether_Paper30_Section06_Interslavic_v001.tex,D46ED2389E726CB06C9019814A668401CC291149B42C86C07879D8D72986FBA5,01_unit_pdfs/latin/119_Noether_Paper30_Section06_Interslavic_v001.pdf,7456CE3BE10948527528052E6DC0608E2A8DCA76AC16A50BA671A90287AC4115,2,92893,0,True,0,0,0,0,0
120,latin,paper30/section07/interslavic/v001/Noether_Paper30_Section07_Interslavic_v001.tex,F3F478E03652BB90F60C1630DE595042ADF0861297B5C6B0DB0F0F6F764FCEA0,02_tex/latin/120_Noether_Paper30_Section07_Interslavic_v001.tex,F3F478E03652BB90F60C1630DE595042ADF0861297B5C6B0DB0F0F6F764FCEA0,01_unit_pdfs/latin/120_Noether_Paper30_Section07_Interslavic_v001.pdf,79C6F8C79D961C59BB263A1C8601CC10FEEF44DB549560F64C509EBBA10515DB,2,85406,0,True,0,0,0,0,0
121,latin,paper30/section08/interslavic/v001/Noether_Paper30_Section08_Interslavic_v001.tex,FEBF3E9A9CFD2FC7D46F1F35F561D219A9007CD48038BDBF7C81D5D1EFF8C065,02_tex/latin/121_Noether_Paper30_Section08_Interslavic_v001.tex,FEBF3E9A9CFD2FC7D46F1F35F561D219A9007CD48038BDBF7C81D5D1EFF8C065,01_unit_pdfs/latin/121_Noether_Paper30_Section08_Interslavic_v001.pdf,0C64CDEA24B1B9C9BCEDFFF877D2803DD8FFD3351C9B6B4AB4BEFBB0A7B130C4,2,98267,0,True,0,0,0,0,0
122,latin,paper30/section09/interslavic/v001/Noether_Paper30_Section09_Interslavic_v001.tex,E241E8F1A6CD55C4ABA10B2F840D59D260E2651259078CB93F78E6CB7ABEE476,02_tex/latin/122_Noether_Paper30_Section09_Interslavic_v001.tex,E241E8F1A6CD55C4ABA10B2F840D59D260E2651259078CB93F78E6CB7ABEE476,01_unit_pdfs/latin/122_Noether_Paper30_Section09_Interslavic_v001.pdf,0D2E6179AE781875834D13DAB2E8DCFC5D1DBDC9BF32B2DF128515C8808DA05A,3,101861,0,True,0,0,0,0,0
123,latin,paper30/section10/interslavic/v001/Noether_Paper30_Section10_Interslavic_v001.tex,18CD5C9A06CEB15333B609622C8D62D371E3FDC1D5837D0CCF03EE43D9BB2699,02_tex/latin/123_Noether_Paper30_Section10_Interslavic_v001.tex,18CD5C9A06CEB15333B609622C8D62D371E3FDC1D5837D0CCF03EE43D9BB2699,01_unit_pdfs/latin/123_Noether_Paper30_Section10_Interslavic_v001.pdf,18605D973B5EC49695CDF355316F9D66975E94B61313F4DEF0B181F96E513FC6,1,88370,0,True,0,0,0,0,0
124,latin,paper31/introduction/interslavic/v001/Noether_Paper31_Introduction_Interslavic_v001.tex,B42541B5F651879503A1F832824D86DAE34F53454A21032A41D1458FF774C29E,02_tex/latin/124_Noether_Paper31_Introduction_Interslavic_v001.tex,B42541B5F651879503A1F832824D86DAE34F53454A21032A41D1458FF774C29E,01_unit_pdfs/latin/124_Noether_Paper31_Introduction_Interslavic_v001.pdf,95B7D6A312652452CC5E43B0ADE95E77BF0F12049CC61969E9E6784B1E17897D,2,91472,0,True,0,0,0,0,0
125,latin,paper31/section01_entries01_02/interslavic/v001/Noether_Paper31_Section01_Entries01_02_Interslavic_v001.tex,5B8C1FF246CB7DE1542400B17036A1D680C723FE0576DE14222566A4E57DF4BB,02_tex/latin/125_Noether_Paper31_Section01_Entries01_02_Interslavic_v001.tex,5B8C1FF246CB7DE1542400B17036A1D680C723FE0576DE14222566A4E57DF4BB,01_unit_pdfs/latin/125_Noether_Paper31_Section01_Entries01_02_Interslavic_v001.pdf,82F5A0871D71A2FD89E587992678428B06AA6D2542CED56CA18F59B4C6B038DE,2,77111,0,True,0,0,0,0,0
126,latin,paper31/section01_entry03/interslavic/v001/Noether_Paper31_Section01_Entry03_Interslavic_v001.tex,2B55B71E913C7E664A42BFB25F82FC1C145A17CD5ECC5997498828B3B0C5DCFE,02_tex/latin/126_Noether_Paper31_Section01_Entry03_Interslavic_v001.tex,2B55B71E913C7E664A42BFB25F82FC1C145A17CD5ECC5997498828B3B0C5DCFE,01_unit_pdfs/latin/126_Noether_Paper31_Section01_Entry03_Interslavic_v001.pdf,4A4652C0E22458039A7DA23840605EB8CA2C321B9DBFBE3DF06705B01D8A3056,1,61407,0,True,0,0,0,0,0
127,latin,paper31/section02_entry01/interslavic/v001/Noether_Paper31_Section02_Entry01_Interslavic_v001.tex,8B669D456A0EB198CA7AADB0641D2C33055C6A443E173FEABD4392D68F36C5F5,02_tex/latin/127_Noether_Paper31_Section02_Entry01_Interslavic_v001.tex,8B669D456A0EB198CA7AADB0641D2C33055C6A443E173FEABD4392D68F36C5F5,01_unit_pdfs/latin/127_Noether_Paper31_Section02_Entry01_Interslavic_v001.pdf,4987958E763EA7E99B531699835F30A5A43F2632130A2AD4FF050BBC56BBA88D,1,59394,0,True,0,0,0,0,0
128,latin,paper31/section02_entry02/interslavic/v001/Noether_Paper31_Section02_Entry02_Interslavic_v001.tex,70E9D5460FA9F674009D5F2A35CCE21D203AA20A0A0C70B76444FB73EAE225F7,02_tex/latin/128_Noether_Paper31_Section02_Entry02_Interslavic_v001.tex,70E9D5460FA9F674009D5F2A35CCE21D203AA20A0A0C70B76444FB73EAE225F7,01_unit_pdfs/latin/128_Noether_Paper31_Section02_Entry02_Interslavic_v001.pdf,51A8D70BA2AF2345452A898F77CEDFFAFB7ED95343596B17EB2488C442BA3D33,1,63336,0,True,0,0,0,0,0
129,latin,paper31/section02_entry03/interslavic/v001/Noether_Paper31_Section02_Entry03_Interslavic_v001.tex,805289726228075E982E3789121637269F27E01004C635AC401E3D838E548D6A,02_tex/latin/129_Noether_Paper31_Section02_Entry03_Interslavic_v001.tex,805289726228075E982E3789121637269F27E01004C635AC401E3D838E548D6A,01_unit_pdfs/latin/129_Noether_Paper31_Section02_Entry03_Interslavic_v001.pdf,25CCCCEC48B33FE83B1B31A18C6E860C5A3183B46B4E4E030D4146316EF0081C,1,57495,0,True,0,0,0,0,0
130,latin,paper31/section02_entry04/interslavic/v001/Noether_Paper31_Section02_Entry04_Interslavic_v001.tex,0348E5E33DA160B7CCD200D6019EC647D7BEE308A34AFFC20B973A0B4E0D0BB8,02_tex/latin/130_Noether_Paper31_Section02_Entry04_Interslavic_v001.tex,0348E5E33DA160B7CCD200D6019EC647D7BEE308A34AFFC20B973A0B4E0D0BB8,01_unit_pdfs/latin/130_Noether_Paper31_Section02_Entry04_Interslavic_v001.pdf,02DE339BFBB8F4F4C360003FF9F7C59961F938E5947DF8FD961B47E57B8CA423,1,52605,0,True,0,0,0,0,0
131,latin,paper31/section03_entry01/interslavic/v001/Noether_Paper31_Section03_Entry01_Interslavic_v001.tex,31CA25B50189375EFF3C310C38BADEE9E84C9070E1BBDA2CE0DB33FF34C46D6E,02_tex/latin/131_Noether_Paper31_Section03_Entry01_Interslavic_v001.tex,31CA25B50189375EFF3C310C38BADEE9E84C9070E1BBDA2CE0DB33FF34C46D6E,01_unit_pdfs/latin/131_Noether_Paper31_Section03_Entry01_Interslavic_v001.pdf,4896CFBE9827F5E7560921BA0EBBCAECDBF782B634990A51314D95C30EACB1CA,1,62868,0,True,0,0,0,0,0
132,latin,paper31/section03_entry02/interslavic/v001/Noether_Paper31_Section03_Entry02_Interslavic_v001.tex,F44567F41D6B0CED71B4FB62BEF5F8D8A3333A7E635BE3AF31A9DFC600C84639,02_tex/latin/132_Noether_Paper31_Section03_Entry02_Interslavic_v001.tex,F44567F41D6B0CED71B4FB62BEF5F8D8A3333A7E635BE3AF31A9DFC600C84639,01_unit_pdfs/latin/132_Noether_Paper31_Section03_Entry02_Interslavic_v001.pdf,0779E88039E8BF6F5C6C9BAE8C8289DDE11BA7DCC53583EBA5F3B7719EAC6BDB,1,65538,0,True,0,0,0,0,0
133,latin,paper31/section03_entry03/interslavic/v001/Noether_Paper31_Section03_Entry03_Interslavic_v001.tex,971673366C18B5D955B62C345AAC94946D4F8DF84058FA201F15B7CC67B7489D,02_tex/latin/133_Noether_Paper31_Section03_Entry03_Interslavic_v001.tex,971673366C18B5D955B62C345AAC94946D4F8DF84058FA201F15B7CC67B7489D,01_unit_pdfs/latin/133_Noether_Paper31_Section03_Entry03_Interslavic_v001.pdf,C963F0554A9D622E473265B1867EB4B605F51ABE9BB73D24C44B31B2DE3F6998,1,37291,0,True,0,0,0,0,0
134,latin,paper31/section03_entry04/interslavic/v001/Noether_Paper31_Section03_Entry04_Interslavic_v001.tex,61D56D0C6B10D72878E7EFCB704F553C865316B428C512BF910A6BF4224E606C,02_tex/latin/134_Noether_Paper31_Section03_Entry04_Interslavic_v001.tex,61D56D0C6B10D72878E7EFCB704F553C865316B428C512BF910A6BF4224E606C,01_unit_pdfs/latin/134_Noether_Paper31_Section03_Entry04_Interslavic_v001.pdf,7D94BC5BA2FA6EBBF3981DB44A5060382363BA4DF60922E73D91FC215378BFEE,1,46886,0,True,0,0,0,0,0
135,latin,paper31/section03_entry05/interslavic/v001/Noether_Paper31_Section03_Entry05_Interslavic_v001.tex,12EE274AF3FA873E0B65C73B9AA00BC190A0734E29B006D9BCEE53E56FC23FDA,02_tex/latin/135_Noether_Paper31_Section03_Entry05_Interslavic_v001.tex,12EE274AF3FA873E0B65C73B9AA00BC190A0734E29B006D9BCEE53E56FC23FDA,01_unit_pdfs/latin/135_Noether_Paper31_Section03_Entry05_Interslavic_v001.pdf,734B8B77D97F2763111CF089AF62C090543B322FB8251ACDDCF80D748A456030,1,76407,0,True,0,0,0,0,0
136,latin,paper31/section04_entry01/interslavic/v001/Noether_Paper31_Section04_Entry01_Interslavic_v001.tex,02F47AD20634F41FA6E558465F84F5AF45AFB673D7AE720BE2CAE664F6681E68,02_tex/latin/136_Noether_Paper31_Section04_Entry01_Interslavic_v001.tex,02F47AD20634F41FA6E558465F84F5AF45AFB673D7AE720BE2CAE664F6681E68,01_unit_pdfs/latin/136_Noether_Paper31_Section04_Entry01_Interslavic_v001.pdf,1802CA938BD9F2F4AF96721DE052FA3EA963C1538F8CD6EDBC890DC66A9DA77D,1,72712,0,True,0,0,0,0,0
137,latin,paper31/section04_entry02/interslavic/v001/Noether_Paper31_Section04_Entry02_Interslavic_v001.tex,867004EA195BBF76C324C05F0A2DD5F54585771A1AB192C2C0087A372E9E998C,02_tex/latin/137_Noether_Paper31_Section04_Entry02_Interslavic_v001.tex,867004EA195BBF76C324C05F0A2DD5F54585771A1AB192C2C0087A372E9E998C,01_unit_pdfs/latin/137_Noether_Paper31_Section04_Entry02_Interslavic_v001.pdf,3B4FE7D80B957B02B4221E4F2EF4774FA939837D387383FA06377BECCDF92070,1,56325,0,True,0,0,0,0,0
138,latin,paper31/section04_entry03/interslavic/v001/Noether_Paper31_Section04_Entry03_Interslavic_v001.tex,FEA2AF55D0AD97934C4FCCC352BA5B6FBFB54DE98AE5E84B1B9501B4D9945E51,02_tex/latin/138_Noether_Paper31_Section04_Entry03_Interslavic_v001.tex,FEA2AF55D0AD97934C4FCCC352BA5B6FBFB54DE98AE5E84B1B9501B4D9945E51,01_unit_pdfs/latin/138_Noether_Paper31_Section04_Entry03_Interslavic_v001.pdf,D0B95E2851C4B513E71F29AB936E2008A4E77CFD6921D88939B977CE08B480C1,1,34220,0,True,0,0,0,0,0
139,latin,paper31/section04_entry04/interslavic/v001/Noether_Paper31_Section04_Entry04_Interslavic_v001.tex,6EFA7F15637BB5ED1194A5D91BF8CCE947A98998D350BEED769598B101BE5813,02_tex/latin/139_Noether_Paper31_Section04_Entry04_Interslavic_v001.tex,6EFA7F15637BB5ED1194A5D91BF8CCE947A98998D350BEED769598B101BE5813,01_unit_pdfs/latin/139_Noether_Paper31_Section04_Entry04_Interslavic_v001.pdf,6ED5EE110CD8015EA51666BABFDA8BF7A323AB73A4F156FA7B854322C5F8FF59,1,63285,0,True,0,0,0,0,0
140,latin,paper31/section04_entry05/interslavic/v001/Noether_Paper31_Section04_Entry05_Interslavic_v001.tex,2BD410778E3F7CF6BC331FC582121CEE97F5D3772ADE0E9825E509B0A9DF0DDC,02_tex/latin/140_Noether_Paper31_Section04_Entry05_Interslavic_v001.tex,2BD410778E3F7CF6BC331FC582121CEE97F5D3772ADE0E9825E509B0A9DF0DDC,01_unit_pdfs/latin/140_Noether_Paper31_Section04_Entry05_Interslavic_v001.pdf,B48733981ECD1C3C29E09BD4A99DAE1D264F3437558F5C948214D0D9552D4518,1,43063,0,True,0,0,0,0,0
141,latin,paper31/section04_entry06/interslavic/v001/Noether_Paper31_Section04_Entry06_Interslavic_v001.tex,E211BCFB5441361960642F3E31386114439A953479228AC62EF633885437DBD9,02_tex/latin/141_Noether_Paper31_Section04_Entry06_Interslavic_v001.tex,E211BCFB5441361960642F3E31386114439A953479228AC62EF633885437DBD9,01_unit_pdfs/latin/141_Noether_Paper31_Section04_Entry06_Interslavic_v001.pdf,A750F9C9A6F4BA9228CF3D7323846836D2A68B7967E452A469A4F65FF63158A0,1,64383,0,True,0,0,0,0,0
142,latin,paper31/section04_entry07/interslavic/v001/Noether_Paper31_Section04_Entry07_Interslavic_v001.tex,D3CF4AB1A494DD8AB13B77B86DA5A3A024D4A3C32234737C9723A4FCD46339F6,02_tex/latin/142_Noether_Paper31_Section04_Entry07_Interslavic_v001.tex,D3CF4AB1A494DD8AB13B77B86DA5A3A024D4A3C32234737C9723A4FCD46339F6,01_unit_pdfs/latin/142_Noether_Paper31_Section04_Entry07_Interslavic_v001.pdf,488EA7BBB475C4479C89EF6CD5D212136EF5D94A36E03AB3EA49AE85088FB6F2,1,49751,0,True,0,0,0,0,0
143,latin,paper31/section04_entry08/interslavic/v001/Noether_Paper31_Section04_Entry08_Interslavic_v001.tex,72D41DD1E36074CC67805AEF832E949A1C94530A395BD2D909ED9B4D85BFFC73,02_tex/latin/143_Noether_Paper31_Section04_Entry08_Interslavic_v001.tex,72D41DD1E36074CC67805AEF832E949A1C94530A395BD2D909ED9B4D85BFFC73,01_unit_pdfs/latin/143_Noether_Paper31_Section04_Entry08_Interslavic_v001.pdf,E2D1FA5209DE3F06D36EA1A81270033524488413333DD18C9170DA2CCC0191DB,1,76208,0,True,0,0,0,0,0
144,latin,paper31/section05_entry01/interslavic/v001/Noether_Paper31_Section05_Entry01_Interslavic_v001.tex,1134311B2FF7C98456E142415EFB13EFBA6137282EB6C7EED0A01ACE1402967F,02_tex/latin/144_Noether_Paper31_Section05_Entry01_Interslavic_v001.tex,1134311B2FF7C98456E142415EFB13EFBA6137282EB6C7EED0A01ACE1402967F,01_unit_pdfs/latin/144_Noether_Paper31_Section05_Entry01_Interslavic_v001.pdf,4479448EDB0F6210F47B4C9C8D093C74EE5C2EF75BBC8A9D9856A0F69EC0F95A,1,74572,0,True,0,0,0,0,0
145,latin,paper31/section05_entry02/interslavic/v001/Noether_Paper31_Section05_Entry02_Interslavic_v001.tex,4588AC51E28CAE1B14A06AC9D47B7124C9E7DE816F3B08269D2DACAEE4C23B8E,02_tex/latin/145_Noether_Paper31_Section05_Entry02_Interslavic_v001.tex,4588AC51E28CAE1B14A06AC9D47B7124C9E7DE816F3B08269D2DACAEE4C23B8E,01_unit_pdfs/latin/145_Noether_Paper31_Section05_Entry02_Interslavic_v001.pdf,AED3C96CDAF691F85BD802763D95DE155A39BFC74B3E634A51B082E49A4A2838,1,65357,0,True,0,0,0,0,0
146,latin,paper31/section05_entry03/interslavic/v001/Noether_Paper31_Section05_Entry03_Interslavic_v001.tex,EA0D0D67B892C80B05FAAE2E7B6DF746ED14EFE2CF3C4CB50275E7AF348DA604,02_tex/latin/146_Noether_Paper31_Section05_Entry03_Interslavic_v001.tex,EA0D0D67B892C80B05FAAE2E7B6DF746ED14EFE2CF3C4CB50275E7AF348DA604,01_unit_pdfs/latin/146_Noether_Paper31_Section05_Entry03_Interslavic_v001.pdf,B30B3036E0D73D8FA4226166872003AA9B386E1A0F49604BC1520F39B6F6163D,1,60805,0,True,0,0,0,0,0
147,latin,paper31/section06_entry01/interslavic/v001/Noether_Paper31_Section06_Entry01_Interslavic_v001.tex,F058C9DACB4D06034A3611C18586DB9AB90E9FB92BC93C612A1743CB454D9A6A,02_tex/latin/147_Noether_Paper31_Section06_Entry01_Interslavic_v001.tex,F058C9DACB4D06034A3611C18586DB9AB90E9FB92BC93C612A1743CB454D9A6A,01_unit_pdfs/latin/147_Noether_Paper31_Section06_Entry01_Interslavic_v001.pdf,D412002337D41F8055416A44CD9FD122877A3B5DEF7594F3FB85AE6770E6C844,1,74632,0,True,0,0,0,0,0
148,latin,paper31/section06_entry02/interslavic/v001/Noether_Paper31_Section06_Entry02_Interslavic_v001.tex,F561128653C1373AB25EFE58B513D99FF0D2EFD0FD2984668C0FCC33021DD159,02_tex/latin/148_Noether_Paper31_Section06_Entry02_Interslavic_v001.tex,F561128653C1373AB25EFE58B513D99FF0D2EFD0FD2984668C0FCC33021DD159,01_unit_pdfs/latin/148_Noether_Paper31_Section06_Entry02_Interslavic_v001.pdf,D26FD8852DA5016BDADFD4A574FD6E04F5A77389652E0C60E999B6DEAA7B506D,1,59919,0,True,0,0,0,0,0
149,latin,paper31/section06_entry03/interslavic/v001/Noether_Paper31_Section06_Entry03_Interslavic_v001.tex,500BDBFC419E4C3E28587947A3726EEE1DCC6F144B5DE301017193F7D2EF05C1,02_tex/latin/149_Noether_Paper31_Section06_Entry03_Interslavic_v001.tex,500BDBFC419E4C3E28587947A3726EEE1DCC6F144B5DE301017193F7D2EF05C1,01_unit_pdfs/latin/149_Noether_Paper31_Section06_Entry03_Interslavic_v001.pdf,22CA9E4B7729F9603243169DF76591D0D460211130D67C258DB44DDF60E29440,1,34462,0,True,0,0,0,0,0
150,latin,paper31/section06_entry04/interslavic/v001/Noether_Paper31_Section06_Entry04_Interslavic_v001.tex,C7C5F907A2276B1A88F51F63CF719F48DB6C0CEBA54ED08D11E356532592C261,02_tex/latin/150_Noether_Paper31_Section06_Entry04_Interslavic_v001.tex,C7C5F907A2276B1A88F51F63CF719F48DB6C0CEBA54ED08D11E356532592C261,01_unit_pdfs/latin/150_Noether_Paper31_Section06_Entry04_Interslavic_v001.pdf,34FEBA9937C67CBC97A9F2503A19A1E48F44827D0CDC792F5B38AAB7DC96D802,1,44835,0,True,0,0,0,0,0
151,latin,paper31/section06_entry05/interslavic/v001/Noether_Paper31_Section06_Entry05_Interslavic_v001.tex,B76E945EC59AD21EF2D1370BA68C97BBE5BD2330DB1A7AE307FED42DE26C4508,02_tex/latin/151_Noether_Paper31_Section06_Entry05_Interslavic_v001.tex,B76E945EC59AD21EF2D1370BA68C97BBE5BD2330DB1A7AE307FED42DE26C4508,01_unit_pdfs/latin/151_Noether_Paper31_Section06_Entry05_Interslavic_v001.pdf,F3C80EF534E185D26F47127477E934DC1A4E6454A1D1A8BB934FF6E87A154F06,1,34457,0,True,0,0,0,0,0
152,latin,paper31/section06_entry06/interslavic/v001/Noether_Paper31_Section06_Entry06_Interslavic_v001.tex,134B3B8F52CEC3A11CD516824AA6F16434C2EA77A66E86AA8612F6E36F564486,02_tex/latin/152_Noether_Paper31_Section06_Entry06_Interslavic_v001.tex,134B3B8F52CEC3A11CD516824AA6F16434C2EA77A66E86AA8612F6E36F564486,01_unit_pdfs/latin/152_Noether_Paper31_Section06_Entry06_Interslavic_v001.pdf,DE0B016DB161BF01D7C6CFA1C174C1A4B697DDC1C091529D14A5018EA68A945D,1,52617,0,True,0,0,0,0,0
153,latin,paper31/section06_entry07/interslavic/v001/Noether_Paper31_Section06_Entry07_Interslavic_v001.tex,2C4F941C01502C82C38E8FEF1FE1A9437FED8388B0EAB7CC893A472307161D71,02_tex/latin/153_Noether_Paper31_Section06_Entry07_Interslavic_v001.tex,2C4F941C01502C82C38E8FEF1FE1A9437FED8388B0EAB7CC893A472307161D71,01_unit_pdfs/latin/153_Noether_Paper31_Section06_Entry07_Interslavic_v001.pdf,2D0E13B8A4F4B3C4C140DF5401AF922744129703E48F2EF88279B4FCD2D240D3,1,40535,0,True,0,0,0,0,0
154,latin,paper31/section06_opening/interslavic/v001/Noether_Paper31_Section06_Opening_Interslavic_v001.tex,1DD5261EC0CFEA1CF261C2A12624787F9402AB7BC5EE125D396716E2BC4DF0E2,02_tex/latin/154_Noether_Paper31_Section06_Opening_Interslavic_v001.tex,1DD5261EC0CFEA1CF261C2A12624787F9402AB7BC5EE125D396716E2BC4DF0E2,01_unit_pdfs/latin/154_Noether_Paper31_Section06_Opening_Interslavic_v001.pdf,C73D5DD963774026253A46020070ACAA9BE52F324BFD67F5A408AD1BBDAA2D13,1,52026,0,True,0,0,0,0,0
155,latin,paper31/section07_entry01/interslavic/v001/Noether_Paper31_Section07_Entry01_Interslavic_v001.tex,436A1A8D7C00278DF1E9A977C2AB26BE63F52CD2F7FF2C8496B5866DBA54460C,02_tex/latin/155_Noether_Paper31_Section07_Entry01_Interslavic_v001.tex,436A1A8D7C00278DF1E9A977C2AB26BE63F52CD2F7FF2C8496B5866DBA54460C,01_unit_pdfs/latin/155_Noether_Paper31_Section07_Entry01_Interslavic_v001.pdf,94846BAA91C21AC9DE23B5EA736FCC73EF2588C4D79FF193FC37E09B1510FBDA,1,57639,0,True,0,0,0,0,0
156,latin,paper31/section07_entry02/interslavic/v001/Noether_Paper31_Section07_Entry02_Interslavic_v001.tex,717661BE4071ABAB6AD31F4467542372A4ABBECE72008F9295E6FFF370E96053,02_tex/latin/156_Noether_Paper31_Section07_Entry02_Interslavic_v001.tex,717661BE4071ABAB6AD31F4467542372A4ABBECE72008F9295E6FFF370E96053,01_unit_pdfs/latin/156_Noether_Paper31_Section07_Entry02_Interslavic_v001.pdf,5E61D486C644072C9D131C9883B4ADF8AA05D816CD9451B21302138DF0B992B9,1,29464,0,True,0,0,0,0,0
157,latin,paper31/section07_entry03/interslavic/v001/Noether_Paper31_Section07_Entry03_Interslavic_v001.tex,8FAAAA65C2FF102E05C273609A60A0B36925AE31D86C72BA3CC89CA4C126BCD7,02_tex/latin/157_Noether_Paper31_Section07_Entry03_Interslavic_v001.tex,8FAAAA65C2FF102E05C273609A60A0B36925AE31D86C72BA3CC89CA4C126BCD7,01_unit_pdfs/latin/157_Noether_Paper31_Section07_Entry03_Interslavic_v001.pdf,252421ABF06958B1B99F013FD57D666A498BFA9E6C173C01B1F296A3B52A8BA9,1,55077,0,True,0,0,0,0,0
158,latin,paper31/section07_entry04/interslavic/v001/Noether_Paper31_Section07_Entry04_Interslavic_v001.tex,E8860928823492D156A98DBD4A6EB0C8E8C4978022D43938A3269453F33005EC,02_tex/latin/158_Noether_Paper31_Section07_Entry04_Interslavic_v001.tex,E8860928823492D156A98DBD4A6EB0C8E8C4978022D43938A3269453F33005EC,01_unit_pdfs/latin/158_Noether_Paper31_Section07_Entry04_Interslavic_v001.pdf,455203F9F3FE0EAEFEC9663D95DD79F45B81557DD33E8EE18A8005B3BFCE3744,1,37053,0,True,0,0,0,0,0
159,latin,paper31/section07_entry05/interslavic/v001/Noether_Paper31_Section07_Entry05_Interslavic_v001.tex,62C6B56AE0047E797970ECA4F6E0D04C31818349F3E429BB3B97056E85D83007,02_tex/latin/159_Noether_Paper31_Section07_Entry05_Interslavic_v001.tex,62C6B56AE0047E797970ECA4F6E0D04C31818349F3E429BB3B97056E85D83007,01_unit_pdfs/latin/159_Noether_Paper31_Section07_Entry05_Interslavic_v001.pdf,2CEFF40B0979B76377839FE849BBB96B0B266B1E242211CEBA1BD24FA26F65EE,1,79129,0,True,0,0,0,0,0
160,latin,paper31/section07_entry06/interslavic/v001/Noether_Paper31_Section07_Entry06_Interslavic_v001.tex,DD5C6D15925578D62CB01D5C84962DBB3D3AD392FF20A56F9EC8E43A4D21ABD7,02_tex/latin/160_Noether_Paper31_Section07_Entry06_Interslavic_v001.tex,DD5C6D15925578D62CB01D5C84962DBB3D3AD392FF20A56F9EC8E43A4D21ABD7,01_unit_pdfs/latin/160_Noether_Paper31_Section07_Entry06_Interslavic_v001.pdf,CCD0ACA0C7E09233FB6096FF075406F7F4903D900A9176DC3034C7873641BFE6,1,33451,0,True,0,0,0,0,0
