token,lemma,count,files,insert_class,proposed_english_gloss,priority_score,source_use,permitted_use_weight,status,top_files
izvodnyh,izvod-*,24,2,math_or_inflection_candidate,pending; internal corpus token,1.1548,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper12/interslavic/v001/Noether_Paper12_Interslavic_v001.tex
sam,sam,23,20,function_or_proof_register,itself/alone,1.3904,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section06_Interslavic_v001.tex; translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex
někoj,někoj,23,17,function_or_proof_register,some,1.3487,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper30/section05/interslavic/v001/Noether_Paper30_Section05_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section08_Interslavic_v001.tex
zadovolja,zadovol-*,23,16,function_or_proof_register,satisfies,1.3348,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper30/section01/interslavic/v001/Noether_Paper30_Section01_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section05_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section01_Interslavic_v001.tex
nuli,nuli,23,15,function_or_proof_register,zero (gen/dat/loc),1.3209,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper21/interslavic/v001/Noether_Paper21_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex; translations/paper23/interslavic/v001/Noether_Paper23_Interslavic_v001.tex
tri,tri,23,13,function_or_proof_register,three,1.2931,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper10/interslavic/v001/Noether_Paper10_Section04_Interslavic_v001.tex; translations/paper08/interslavic/v001/Noether_Paper08_Interslavic_v001.tex; translations/paper05/interslavic/v001/Noether_Paper05_Interslavic_v001.tex
znovo,znovo,23,12,function_or_proof_register,again,1.2792,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper30/section01/interslavic/v001/Noether_Paper30_Section01_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section01_Interslavic_v001.tex; translations/paper30/section05/interslavic/v001/Noether_Paper30_Section05_Interslavic_v001.tex
pak,pak,23,11,function_or_proof_register,however/then,1.2653,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section06_Interslavic_v001.tex; translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex
děli,děli,23,9,math_or_inflection_candidate,pending; internal corpus token,1.2375,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper37/source_fidelity/interslavic/v001/Noether_Paper37_SourceFidelity_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex
porođaje,porođaje,23,3,proof_register_candidate,pending; internal corpus token,1.154,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/paper41/source_fidelity/interslavic/v001/Noether_Paper41_SourceFidelity_Interslavic_v001.tex; translations/paper39/source_fidelity/interslavic/v001/Noether_Paper39_SourceFidelity_Interslavic_v001.tex
oba,oba,22,18,function_or_proof_register,both,1.3443,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section12_Interslavic_v001.tex; translations/endmatter/post45/source_fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex
položeno,polož-*,22,14,function_or_proof_register,placed/assumed,1.2895,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section03_Interslavic_v001.tex
tuto,tuto,22,13,function_or_proof_register,this,1.2758,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper11/interslavic/v001/Noether_Paper11_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section01_Interslavic_v001.tex
tych,tych,22,12,proof_register_candidate,pending; internal corpus token,1.262,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper03/interslavic/v001/Noether_Paper03_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section26_Interslavic_v001.tex
govoriti,govor-*,21,17,function_or_proof_register,to say/speak,1.3118,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper31/section05_entry01/interslavic/v001/Noether_Paper31_Section05_Entry01_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Through_Section02_Interslavic_v001.tex; translations/paper30/section05/interslavic/v001/Noether_Paper30_Section05_Interslavic_v001.tex
protivno,protivno,21,16,function_or_proof_register,conversely/oppositely,1.2982,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section06_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section06_Interslavic_v001.tex
obstajut,obstaj-*,21,11,function_or_proof_register,exist,1.2306,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper32/section03_cyclic_quaternion_fields/interslavic/v001/Noether_Paper32_Section03_Cyclic_Quaternion_Fields_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper30/section08/interslavic/v001/Noether_Paper30_Section08_Interslavic_v001.tex
už,už,21,8,function_or_proof_register,already,1.1901,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper23/interslavic/v001/Noether_Paper23_Interslavic_v001.tex
čisto,čisto,21,7,function_or_proof_register,purely,1.1765,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper39/source_fidelity/interslavic/v001/Noether_Paper39_SourceFidelity_Interslavic_v001.tex; translations/paper10/interslavic/v001/Noether_Paper10_Section04_Interslavic_v001.tex
vsě,vsě,21,5,function_or_proof_register,all,1.1495,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/endmatter/post45/source_fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex; translations/paper34/section17/interslavic/v001/Noether_Paper34_Section17_Interslavic_v001.tex
ograničiti,ograničiti,20,17,function_or_proof_register,restrict,1.292,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper23/interslavic/v001/Noether_Paper23_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section04_Interslavic_v001.tex
pokazujemo,pokaz-*,20,17,function_or_proof_register,we show,1.292,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper09/interslavic/v001/Noether_Paper09_Section04_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section07_Interslavic_v001.tex; translations/paper32/section03_cyclic_quaternion_fields/interslavic/v001/Noether_Paper32_Section03_Cyclic_Quaternion_Fields_Interslavic_v001.tex
sposobom,sposobom,20,17,function_or_proof_register,way/method,1.292,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper34/introduction/interslavic/v001/Noether_Paper34_Introduction_Interslavic_v001.tex; translations/paper39/source_fidelity/interslavic/v001/Noether_Paper39_SourceFidelity_Interslavic_v001.tex
čego,čego,20,16,function_or_proof_register,what/whose,1.2787,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/endmatter/post45/source_fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex; translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex
zamětiti,zamětiti,20,15,function_or_proof_register,notice,1.2654,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper04/interslavic/v001/Noether_Paper04_Section06_Interslavic_v001.tex; translations/endmatter/post45/source_fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section05_Interslavic_v001.tex
položiti,polož-*,20,14,function_or_proof_register,put/assume,1.2521,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper12/interslavic/v001/Noether_Paper12_Interslavic_v001.tex; translations/paper21/interslavic/v001/Noether_Paper21_Interslavic_v001.tex
nijedno,nijedno,20,12,function_or_proof_register,none/not one,1.2254,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper09/interslavic/v001/Noether_Paper09_Introduction_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section02_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section04_Interslavic_v001.tex
udovletvorjaje,udovletvorjaje,20,8,function_or_proof_register,satisfying,1.1721,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper09/interslavic/v001/Noether_Paper09_Section06_Interslavic_v001.tex; translations/paper10/interslavic/v001/Noether_Paper10_Section03_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section05_Interslavic_v001.tex
dopušća,dopušća,20,7,function_or_proof_register,admits/allows,1.1588,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section11_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section12_Interslavic_v001.tex
radi,radi,20,6,function_or_proof_register,for the sake of,1.1455,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper03/interslavic/v001/Noether_Paper03_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section07_Interslavic_v001.tex
odpovědajuče,odpovědajuče,20,6,function_or_proof_register,corresponding,1.1455,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper16/interslavic/v001/Noether_Paper16_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section04_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Through_Section02_Interslavic_v001.tex
podtělo,podtělo,20,4,math_or_inflection_candidate,pending; internal corpus token,1.1189,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper34/source_fidelity_section18_19/interslavic/v001/Noether_Paper34_Section18_19_SourceFidelity_Interslavic_v001.tex
imamo,imamo,19,16,content_or_inflection_candidate,pending; internal corpus token,1.2582,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section03_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section07_Interslavic_v001.tex
dal,dal,19,15,function_or_proof_register,gave/further,1.2451,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper04/interslavic/v001/Noether_Paper04_Section07_Interslavic_v001.tex; translations/paper16/interslavic/v001/Noether_Paper16_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Introduction_Interslavic_v001.tex
ony,ony,19,15,function_or_proof_register,pending; internal corpus token,1.2451,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section01_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section05_Interslavic_v001.tex
samu,samu,19,11,content_or_inflection_candidate,pending; internal corpus token,1.1927,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section08_Interslavic_v001.tex; translations/paper34/section02/interslavic/v001/Noether_Paper34_Section02_Interslavic_v001.tex
rędah,rędah,19,10,content_or_inflection_candidate,pending; internal corpus token,1.1796,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section05_Interslavic_v001.tex; translations/paper03/interslavic/v001/Noether_Paper03_Interslavic_v001.tex
eksistencije,eksist-*,18,15,content_or_inflection_candidate,pending; internal corpus token,1.2238,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper06/interslavic/v001/Noether_Paper06_Section04_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section07_Interslavic_v001.tex; translations/paper30/section09/interslavic/v001/Noether_Paper30_Section09_Interslavic_v001.tex
prvom,prvom,18,14,content_or_inflection_candidate,pending; internal corpus token,1.2109,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper01/interslavic/v001/Noether_Paper01_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Introduction_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section26_Interslavic_v001.tex
aby,aby,18,13,function_or_proof_register,so that,1.198,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper35/source_fidelity/interslavic/v001/Noether_Paper35_SourceFidelity_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section02_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section07_Interslavic_v001.tex
osobito,osobito,18,12,content_or_inflection_candidate,pending; internal corpus token,1.1851,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper34/introduction/interslavic/v001/Noether_Paper34_Introduction_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section05_Interslavic_v001.tex; translations/paper34/section08/interslavic/v001/Noether_Paper34_Section08_Interslavic_v001.tex
však,však,18,11,content_or_inflection_candidate,pending; internal corpus token,1.1723,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper11/interslavic/v001/Noether_Paper11_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Through_Section02_Interslavic_v001.tex; translations/paper39/source_fidelity/interslavic/v001/Noether_Paper39_SourceFidelity_Interslavic_v001.tex
pokazujem,pokaz-*,18,11,content_or_inflection_candidate,pending; internal corpus token,1.1723,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper30/intro/interslavic/v001/Noether_Paper30_Intro_Interslavic_v001.tex; translations/paper08/interslavic/v001/Noether_Paper08_Interslavic_v001.tex
odtud,odtud,18,9,content_or_inflection_candidate,pending; internal corpus token,1.1465,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section26_Interslavic_v001.tex; translations/paper12/interslavic/v001/Noether_Paper12_Interslavic_v001.tex
kogredientnyh,kogredientnyh,18,8,content_or_inflection_candidate,pending; internal corpus token,1.1336,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper04/interslavic/v001/Noether_Paper04_Section08_Interslavic_v001.tex; translations/paper03/interslavic/v001/Noether_Paper03_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section09_Interslavic_v001.tex
osobno,osobno,18,8,content_or_inflection_candidate,pending; internal corpus token,1.1336,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper17/interslavic/v001/Noether_Paper17_Through_Section02_Interslavic_v001.tex; translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper38/source_fidelity/interslavic/v001/Noether_Paper38_SourceFidelity_Interslavic_v001.tex
vsagda,vsagda,18,6,content_or_inflection_candidate,pending; internal corpus token,1.1078,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section01_Interslavic_v001.tex; translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex
poglavje,poglavje,17,15,content_or_inflection_candidate,pending; internal corpus token,1.2013,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper34/source_fidelity_section20/interslavic/v001/Noether_Paper34_Section20_SourceFidelity_Interslavic_v001.tex; translations/paper34/introduction/interslavic/v001/Noether_Paper34_Introduction_Interslavic_v001.tex; translations/paper34/section01/interslavic/v001/Noether_Paper34_Section01_Interslavic_v001.tex
konec,konec,17,13,content_or_inflection_candidate,pending; internal corpus token,1.176,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section05_Interslavic_v001.tex; translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex
prvoj,prvoj,17,13,content_or_inflection_candidate,pending; internal corpus token,1.176,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper04/interslavic/v001/Noether_Paper04_Section02_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section09_Interslavic_v001.tex; translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex
vobče,vobče,17,13,content_or_inflection_candidate,pending; internal corpus token,1.176,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper23/interslavic/v001/Noether_Paper23_Interslavic_v001.tex
dostaje,dostaje,17,11,content_or_inflection_candidate,pending; internal corpus token,1.1507,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper38/source_fidelity/interslavic/v001/Noether_Paper38_SourceFidelity_Interslavic_v001.tex; translations/paper01/interslavic/v001/Noether_Paper01_Interslavic_v001.tex
ležet,ležet,17,11,content_or_inflection_candidate,pending; internal corpus token,1.1507,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper43/source_fidelity/interslavic/v001/Noether_Paper43_SourceFidelity_Interslavic_v001.tex
rabotě,rabotě,17,11,content_or_inflection_candidate,pending; internal corpus token,1.1507,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper02/interslavic/v001/Noether_Paper02_Introduction_Interslavic_v001.tex; translations/paper16/interslavic/v001/Noether_Paper16_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Through_Section02_Interslavic_v001.tex
dobivaje,dobiv-*,17,11,content_or_inflection_candidate,pending; internal corpus token,1.1507,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper08/interslavic/v001/Noether_Paper08_Interslavic_v001.tex; translations/paper39/source_fidelity/interslavic/v001/Noether_Paper39_SourceFidelity_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section12_Interslavic_v001.tex
proběgajut,proběgajut,17,10,content_or_inflection_candidate,pending; internal corpus token,1.1381,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper06/interslavic/v001/Noether_Paper06_Section07_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section03_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section05_Interslavic_v001.tex
prědhodnyh,prědhodnyh,17,10,content_or_inflection_candidate,pending; internal corpus token,1.1381,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper09/interslavic/v001/Noether_Paper09_Section06_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section07_Interslavic_v001.tex; translations/paper10/interslavic/v001/Noether_Paper10_Section02_Interslavic_v001.tex
taj,taj,17,9,function_or_proof_register,pending; internal corpus token,1.1254,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/endmatter/post45/source_fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Introduction_Interslavic_v001.tex
četyri,četyri,17,9,content_or_inflection_candidate,pending; internal corpus token,1.1254,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper10/interslavic/v001/Noether_Paper10_Section04_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Introduction_Interslavic_v001.tex; translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex
realno,realno,17,9,content_or_inflection_candidate,pending; internal corpus token,1.1254,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper10/interslavic/v001/Noether_Paper10_Section04_Interslavic_v001.tex; translations/paper32/section02_cyclic_minimal_fields/interslavic/v001/Noether_Paper32_Section02_Cyclic_Minimal_Fields_Interslavic_v001.tex; translations/paper03/interslavic/v001/Noether_Paper03_Interslavic_v001.tex
sootvětujut,sootvětujut,17,9,content_or_inflection_candidate,pending; internal corpus token,1.1254,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper10/interslavic/v001/Noether_Paper10_Intro_Section01_Interslavic_v001.tex; translations/paper21/interslavic/v001/Noether_Paper21_Interslavic_v001.tex
rědu,rědu,17,7,content_or_inflection_candidate,pending; internal corpus token,1.1001,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper02/interslavic/v001/Noether_Paper02_Section26_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section01_Interslavic_v001.tex; translations/paper20/interslavic/v001/Noether_Paper20_Interslavic_v001.tex
dopuskaje,dopuskaje,17,5,content_or_inflection_candidate,pending; internal corpus token,1.0749,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section12_Interslavic_v001.tex; translations/paper33/complete/interslavic/v001/Noether_Paper33_Complete_Interslavic_v001.tex
hu,hu,17,3,function_or_proof_register,pending; internal corpus token,1.0496,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper02/interslavic/v001/Noether_Paper02_Section26_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section23_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section25_Interslavic_v001.tex
postaviti,postaviti,16,14,content_or_inflection_candidate,pending; internal corpus token,1.1652,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section02_Interslavic_v001.tex
naprotiv,naprotiv,16,14,content_or_inflection_candidate,pending; internal corpus token,1.1652,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section11_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex
upravo,upravo,16,14,content_or_inflection_candidate,pending; internal corpus token,1.1652,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section06_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section08_Interslavic_v001.tex
opreděljeno,opredělj-*,16,14,content_or_inflection_candidate,pending; internal corpus token,1.1652,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper17/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex; translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex
nazyvati,nazyv-*,16,13,content_or_inflection_candidate,pending; internal corpus token,1.1528,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section09_Interslavic_v001.tex; translations/paper31/section04_entry06/interslavic/v001/Noether_Paper31_Section04_Entry06_Interslavic_v001.tex
dvoma,dvoma,16,13,content_or_inflection_candidate,pending; internal corpus token,1.1528,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper04/interslavic/v001/Noether_Paper04_Section03_Interslavic_v001.tex; translations/paper01/interslavic/v001/Noether_Paper01_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section11_Interslavic_v001.tex
fakty,fakty,16,13,content_or_inflection_candidate,pending; internal corpus token,1.1528,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper39/source_fidelity/interslavic/v001/Noether_Paper39_SourceFidelity_Interslavic_v001.tex; translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/paper42/source_fidelity/interslavic/v001/Noether_Paper42_SourceFidelity_Interslavic_v001.tex
