ordinal,relative_path,bytes,sha256,role,scope,public_caveat,supersedes
1,01_proposition2_3_statement/independent_review/INDEPENDENT_FINAL_AUDIT_PASS.md,5961,0720E6ED70DE00B28AE0632E941CFC1005EDF0D8E4DB45519908F8917AA85F80,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
72,05_corollary2_5_statement/producer/RENDER_PAGE_001_150DPI.png,107275,345A0FB54EF9FF36FA17849308C2A18DBED6198FA62FABE549287C6748C39F98,rendered_target_review_or_machine_ledger_visual_qa,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
73,05_corollary2_5_statement/producer/SGA2_Expose_X_Corollary_2_5_Statement_English_SourceAligned.pdf,196847,135EDC77C71D6B2FD0D375B62268CCC8CEEBD870BA9C0CCAD29D7F73E31C20E3,built_target_or_independent_rebuild_pdf,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
74,05_corollary2_5_statement/producer/SGA2_Expose_X_Corollary_2_5_Statement_English_SourceAligned.tex,1701,62855478F9EFA28BA875AE3A15BFF72D3572575249458DE90680A47B30AD92BD,editable_english_target,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
75,05_corollary2_5_statement/producer/SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,5139,D0CF54647F8976562F5D492F75B67A4AEA3F8658F33C2E2F042E52F9CA520829,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
76,05_corollary2_5_statement/producer/SOURCE_LINES_3439_3444.tex,333,92F6573CE4524B6839658A73C9621D897422B8354F1577097179851E4B0EA86D,bounded_french_authority_slice,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
77,06_corollary2_6_statement_r2/independent_review/INDEPENDENT_EVIDENCE.csv,14122,B2CD19090FE6AA83CAAE07D127E5A30A0584E2B91FEDA66FACC9181EBBE35902,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
78,06_corollary2_6_statement_r2/independent_review/INDEPENDENT_EVIDENCE.jsonl,19876,D3D19E5DDCE190BBBC984864FB7C66479AE39F2542A7769E4064FE862C43A7A3,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
79,06_corollary2_6_statement_r2/independent_review/INDEPENDENT_FINAL_AUDIT_PASS.md,7407,63AE1CCA11349946E77A49C07FA9195EE9D60300F084C194DACB76FF383278D9,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
80,06_corollary2_6_statement_r2/independent_review/INDEPENDENT_REBUILD_RENDER_PAGE_001_150DPI.png,117486,72975B1C2C209A3140F04FB63B406BF19F96F43201B5C2F31E02B36F293BCA76,rendered_target_review_or_machine_ledger_visual_qa,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
81,06_corollary2_6_statement_r2/independent_review/INDEPENDENT_VALIDATION.json,7393,18A9A1559AD577D21868555C748DC8459835AAAAF5C0FABE576BB7FC1B840299,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
82,06_corollary2_6_statement_r2/independent_review/INDEPENDENT_VISUAL_QA.md,4104,3371B85F5BD6407902052978DCBC6A5851F6342A5F689AD19B67078F48BC2727,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
83,06_corollary2_6_statement_r2/independent_review/SGA2_Expose_X_Corollary_2_6_Statement_English_SourceAligned.pdf,191232,2AA737BB67EB01F0C284E81D27127F363C7207CDD0432913913E1EBB5FCD54FF,built_target_or_independent_rebuild_pdf,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
84,06_corollary2_6_statement_r2/producer/MACHINE_EVIDENCE.csv,11849,65AA5E44580CCF8F3ECDA9B60880B68794BF9160132A2AE0DD78ECE383A3DD38,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
85,06_corollary2_6_statement_r2/producer/MACHINE_EVIDENCE.jsonl,9669,5AB290F0E140A53317B0AA0AC7B32EC66924B025C5019D06259ACA43DA6B5B82,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
86,06_corollary2_6_statement_r2/producer/MACHINE_VALIDATION.json,5041,A3EEEF724C6336F31786BA59E8E04E1583C4A11D01C4296FA8D5AB53D97D6568,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
87,06_corollary2_6_statement_r2/producer/PREDECESSOR_PRODUCER_AND_REVIEW_IDENTITY_MANIFEST.csv,14148,21015C8864D04AACECC57AFCCD76A3735B2E58292665FF5CF8165D890C651EF6,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
88,06_corollary2_6_statement_r2/producer/PREDECESSOR_PRODUCER_AND_REVIEW_IDENTITY_VALIDATION.json,617,DA8E0F3EC647A666F98AE4277F6AFD6835B5FE297F09CB0A72955939A458CB0D,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
89,06_corollary2_6_statement_r2/producer/R2_FONT_COUNT_EVIDENCE_SUCCESSOR_PROVENANCE.md,2926,229ED32FB5B542255C016780DD4D8B6B1295488C81E39BBBC120C99B814B02BA,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
90,06_corollary2_6_statement_r2/producer/R2_UNCHANGED_ARTIFACT_IDENTITY.csv,3263,BB2A4E50F5F195759428472CEC91F02DE54354821C2286AFAD441080FD446B19,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
91,06_corollary2_6_statement_r2/producer/R2_UNCHANGED_ARTIFACT_IDENTITY_VALIDATION.json,496,88FD42F740EBDC3DF33CB583CDADD3BF4BE4E8A57C86DB60D9B6F8FDB5F43363,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
92,06_corollary2_6_statement_r2/producer/RENDER_PAGE_001_150DPI.png,117486,72975B1C2C209A3140F04FB63B406BF19F96F43201B5C2F31E02B36F293BCA76,rendered_target_review_or_machine_ledger_visual_qa,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
93,06_corollary2_6_statement_r2/producer/SGA2_Expose_X_Corollary_2_6_Statement_English_SourceAligned.pdf,191232,266BD66E2A8464B7E31C533A81887C445950EC831AE09BE6BB991FF8409BA0A1,built_target_or_independent_rebuild_pdf,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
94,06_corollary2_6_statement_r2/producer/SGA2_Expose_X_Corollary_2_6_Statement_English_SourceAligned.tex,1822,C9A674ED0B8D5E7237552AA471DC83E5FF51420389BCD507A580848648DAB927,editable_english_target,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
95,06_corollary2_6_statement_r2/producer/SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,6202,5F47FB8F3648DB43186F43DF35344425DFFA5879C35CEE6AC2039337EB7B135B,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
96,06_corollary2_6_statement_r2/producer/SOURCE_LINES_3446_3453.tex,517,61B57A0A871EAC4F2D19BFF482133A0F47ECB3DE80CBD877BD05878E9AD38B0E,bounded_french_authority_slice,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
97,07_corollary2_6_derivation_line3455/independent_review/INDEPENDENT_EVIDENCE.csv,9626,D474A3ADF043A5757C7FF4FD9B5D549B2ECD83FB22644F5140521A45B2F2F703,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
98,07_corollary2_6_derivation_line3455/independent_review/INDEPENDENT_EVIDENCE.jsonl,15604,2BFD698535E76E6331944DFB4BF7D8CE8E71E4625B27A6D8B41FC9071E78F3C0,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
99,07_corollary2_6_derivation_line3455/independent_review/INDEPENDENT_FINAL_AUDIT_PASS.md,4415,427517F77F0D0CFC3E90F17F12C8BDB45DFDB21DB6A6CD6B01F70DFCBB158110,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
100,07_corollary2_6_derivation_line3455/independent_review/INDEPENDENT_VALIDATION.json,8477,80D178BEE5FCF5616364354D3AD9C6A2747CD1D840D2299440D36B643042B4A2,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
101,07_corollary2_6_derivation_line3455/independent_review/INDEPENDENT_VISUAL_QA.md,2382,35E7872EB1F2F4F57563F072B9D4E0355E7D1471C7F03A2C93F12AC249D3085B,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
102,07_corollary2_6_derivation_line3455/independent_review/REVIEW_RENDER_150DPI.png,72848,77E62951DDBD7A6235DBAB8AF17E1BF461389D2105D5FB21A9E484F2765B0D21,rendered_target_review_or_machine_ledger_visual_qa,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
103,07_corollary2_6_derivation_line3455/independent_review/SGA2_Expose_X_Corollary_2_6_Derivation_English_SourceAligned.pdf,135713,6507DFF3647DB93828AE248D31B53AFD9D0B5A2715F3DAC142E04B1F22B1FF18,built_target_or_independent_rebuild_pdf,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
104,07_corollary2_6_derivation_line3455/producer/MACHINE_EVIDENCE.csv,6881,0CDAE1866C0CFA41110B0A5E727FD07C40346CC4903F14876A5AAC5781B9F3E1,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
105,07_corollary2_6_derivation_line3455/producer/MACHINE_EVIDENCE.jsonl,4964,3F661B85BA0B893C98E93CB281C086A03FE63735026D36973E9DF78EA5B11A99,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
106,07_corollary2_6_derivation_line3455/producer/MACHINE_VALIDATION.json,6575,4D0A1EBDEFCD02F0DF9037906D5279DC2F2BDCB706536EEDD0719E725381A414,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
107,07_corollary2_6_derivation_line3455/producer/RENDER_PAGE_001_150DPI.png,72848,77E62951DDBD7A6235DBAB8AF17E1BF461389D2105D5FB21A9E484F2765B0D21,rendered_target_review_or_machine_ledger_visual_qa,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
108,07_corollary2_6_derivation_line3455/producer/SGA2_Expose_X_Corollary_2_6_Derivation_English_SourceAligned.pdf,135713,74E3B33F70C99399096DA0B020C94D7DDB828CE2AD49F1E2DBFD9DB681AFD837,built_target_or_independent_rebuild_pdf,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
109,07_corollary2_6_derivation_line3455/producer/SGA2_Expose_X_Corollary_2_6_Derivation_English_SourceAligned.tex,1209,6072C2E73CCD8A9063D9B4671E84059ED699ECF8EB2D480FBC2F9EBEF95CABAA,editable_english_target,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
110,07_corollary2_6_derivation_line3455/producer/SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,5789,1750029BB3BF75FF2B892120D0CD5D11AA79924A417D8123CEDD0FE2CE26E658,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
111,07_corollary2_6_derivation_line3455/producer/SOURCE_LINE_3455.tex,93,8FF4A86B4B0D2A4CE56FBB97964E24A83F583985CA15FD0C54BDDD0C5BEC8A2D,bounded_french_authority_slice,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
112,08_corollary2_6_editor_note_line3456/independent_review/INDEPENDENT_EVIDENCE.csv,26637,315E73A69BBF94CEE8BC29B3EDA65335E56BCAA91A8507AA46587811163D4E93,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
113,08_corollary2_6_editor_note_line3456/independent_review/INDEPENDENT_EVIDENCE.jsonl,48698,1E829C3E5679C749FC26489C86170B83092C83C156140BEA1F4E1FBDBAB85892,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
114,08_corollary2_6_editor_note_line3456/independent_review/INDEPENDENT_EVIDENCE_VALIDATION.json,1833,29422FBCCFB06F4A7C91DE1E4EEC5DDB6FBE55CFEFEC3EE8BD8DA9BF4A71C80E,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
115,08_corollary2_6_editor_note_line3456/independent_review/INDEPENDENT_FINAL_AUDIT_PASS.md,5633,D0B5612EF44DFFC5C6FFDD70484E39AC93E3EB46FBD4473FA35112F43ABF3E14,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
116,08_corollary2_6_editor_note_line3456/independent_review/INDEPENDENT_VALIDATION.json,11835,3E5EEDF4262D13D884A614B41DC9B0BFCFC41976AA3246E24DA79F6F4F2F5E52,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
117,08_corollary2_6_editor_note_line3456/independent_review/INDEPENDENT_VISUAL_QA.md,3372,5442742C38188DDC12F84C537ABFD1596A45223C13DEEFFE0288194890EE013B,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
118,08_corollary2_6_editor_note_line3456/independent_review/REVIEW_RENDER_200DPI.png,419804,BBC2E912CFA9BCC0B255FE4B6807978F8868D2EEF9A2C72E0790571E80BC5BB5,rendered_target_review_or_machine_ledger_visual_qa,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
119,08_corollary2_6_editor_note_line3456/independent_review/SGA2_Expose_X_Corollary_2_6_Editor_Note_3_English_SourceAligned.pdf,275147,32746F8A9E344844468205D3260CD3C034A295AD23C149551C5D2AE00C986706,built_target_or_independent_rebuild_pdf,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
120,08_corollary2_6_editor_note_line3456/producer/MACHINE_EVIDENCE.csv,20173,05C806CA183BEFA408D7798B96DA313ADB49B1E413BC03ABFCC16F3E1A3A01B3,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
121,08_corollary2_6_editor_note_line3456/producer/MACHINE_EVIDENCE.jsonl,37105,F31274487A443FAB3F4A3D07FCD89A897CCA3A8DACA9AC3BB62384982CAADEF3,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
122,08_corollary2_6_editor_note_line3456/producer/MACHINE_VALIDATION.json,8011,5029F8CBB26C4558DB534AE8158D3D06D01097F0C29BC471173AD2EAC6CB669B,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
123,08_corollary2_6_editor_note_line3456/producer/RENDER_PAGE_001_200DPI.png,419804,BBC2E912CFA9BCC0B255FE4B6807978F8868D2EEF9A2C72E0790571E80BC5BB5,rendered_target_review_or_machine_ledger_visual_qa,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
124,08_corollary2_6_editor_note_line3456/producer/SGA2_Expose_X_Corollary_2_6_Editor_Note_3_English_SourceAligned.pdf,275147,33B82F41791672BA26C0237A25B2A8D9B8807AE38C9060B66943A021887D1B0C,built_target_or_independent_rebuild_pdf,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
125,08_corollary2_6_editor_note_line3456/producer/SGA2_Expose_X_Corollary_2_6_Editor_Note_3_English_SourceAligned.tex,3730,9D0A5373889DB323F804DA0C21A22405E93988743E310D1328C0E31F6356EDD5,editable_english_target,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
126,08_corollary2_6_editor_note_line3456/producer/SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,8786,3EB5BBEE73D8BA6F76664AA0E1CFC7516331E935D7CA22E67F73AB4EC6E5332E,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
127,08_corollary2_6_editor_note_line3456/producer/SOURCE_LINE_3456_NO_EOL.tex,2145,C5F8286F8A860C2BA1F892B9CBAEF882C810C72AADB23BFAA2667B86EF9A3581,bounded_french_authority_slice,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
128,09_checkpoint_controls/CHECKPOINT_DECISION_LEDGER.csv,3887,4723DAD48D851AF832464961B7BAA909B11D86C70D0E8985BA9C0D4437F3219D,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
129,09_checkpoint_controls/CHECKPOINT_DECISION_LEDGER.jsonl,5924,BBF2B0FB52FF71D72D562C20C41FFDF0063668F45633308C6AD91C4E6160FD69,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
130,09_checkpoint_controls/CHECKPOINT_REVISION_STATE.jsonl,8010,5F149DA59B0FC63A67ADF08508324390F2A63187FB90AECA697133D90B3A9B85,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
131,09_checkpoint_controls/CHECKPOINT_UNIT_LEDGER.csv,11277,499F6A7B3E94261B56DBA9B917603EF4894E05449E4800A41AAF0D4915147F25,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
132,09_checkpoint_controls/CHECKPOINT_VALIDATION.json,140164,F4B4BD6B5C3581B9D940391F80457215A0DCEF64566840C99D486CFF149D92E8,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
133,09_checkpoint_controls/RIGHTS_BLOCKED_VISUAL_WITNESS.csv,2336,26EA59155F6068D5C5A16AEF98FE31559B7D5B1D24CB34F3558031792A69FE9D,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
134,09_checkpoint_controls/RIGHTS_BLOCKED_VISUAL_WITNESS.jsonl,3164,BFF5FD89D2BF45FDA61A0E18BA1EA62BADD8A929459180B5226C351C2DBC7901,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
135,09_checkpoint_controls/RIGHTS_BLOCKED_VISUAL_WITNESS.md,603,4B3C3CCA030B55461C78F2DE313EC028E5084C4D582C5BC324F37D5D7A250DC2,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
136,09_checkpoint_controls/RIGHTS_CURATED_PROJECTION.md,1295,2AD42D72A0FBDB092A9A508B083894AA379DD30FDC564CE2FD917348EFE3C818,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
137,09_checkpoint_controls/SANITIZATION_LEDGER.csv,2907,51C8AEF8D2709D779FEDFE7CB1324AC206CBA3B96F2CA9D1BCD474A1BB70DF5B,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
138,09_checkpoint_controls/SHA256SUMS.csv,56890,18D6D8E55E0DA81F2B8526ECAA22A582A76C2D741578CD195029803F3BD94E9D,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
139,09_checkpoint_controls/SHA256SUMS_VALIDATION.json,580,BEA082287596C2A261DA573CC7F645467EDB0857893ACA05446EC328ECFFBA4A,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
140,09_checkpoint_controls/artifact_tool_csv_qa/01_01_proposition2_3_statement_independent_review_INDEPENDENT_REVIEW_EVIDENCE_csv/ARTIFACT_TOOL_FORMULA_ERRORS.ndjson,60,ACC0111E19CF44D2753FC9ECD164BF1B27FBD65597463A25CF48BD1C65E90146,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
