const,const_lat,const_ar,const_artr,const_zh,n,bayer,common,lon_d,lon_m,lat_d,lat_m,dir,mag,arabic,note,english
Taurus,Taurus,الثور,ath-thawr,金牛座,2,s,,37,10,7,15,S,4,الثاني الذي يلوه من هذه الاربعة,-,The second of those four which follow
Taurus,Taurus,الثور,ath-thawr,金牛座,3,ο,,35,30,9,15,S,4,الجنوبي من هذه الاربعة التي على قطعه,-,The southern of those four which are in the section
Taurus,Taurus,الثور,ath-thawr,金牛座,4,λ,,44,50,8,0,S,3,الكوكب الذي على صدر الثور,-,The star which is in the breast of Taurus
Taurus,Taurus,الثور,ath-thawr,金牛座,5,,,40,50,9,30,S,5,الذي على كتفه اليمنى,-,Which is in the right shoulder
Taurus,Taurus,الثور,ath-thawr,金牛座,6,γ,Hyades,50,10,5,45,S,3,الذي في وجه الثور على أنفه من كواكب الدبران,Hyades,"Which is in the face in the nose, and is one of the stars called ad-dabaran"
Taurus,Taurus,الثور,ath-thawr,金牛座,7,δ1,Hyades,51,30,4,15,S,3,الذي بين هذا الكوكب وبين عينه الشمالية الدبران,Hyades,Which is between this star and the northern eye
Taurus,Taurus,الثور,ath-thawr,金牛座,8,α,Aldebaran,53,50,5,10,S,1,الدبران وهو الذي على عينه وتحت قرنه الجنوبي,Aldebaran,"Aldebaran (ad-dabaran the following), which is in the eye and below the southern horn"
Taurus,Taurus,الثور,ath-thawr,金牛座,9,θ1,Hyades,52,0,5,50,S,3,الذي بين الأول وبين عينه الأخرى الجنوبية,Hyades,Which is between the first of the ad-dabaran stars and the southern eye
Taurus,Taurus,الثور,ath-thawr,金牛座,10,ε,Hyades,53,0,3,0,S,3,التالي لهذا الذي على عينه الشمالية,Hyades,"The one following this, in the northern eye"
Taurus,Taurus,الثور,ath-thawr,金牛座,11,,,58,40,4,0,S,5,الذي على أصل قرنه عند أذنه الجنوبية,-,"Which is at the beginning of the horn, near the southern ear"
Taurus,Taurus,الثور,ath-thawr,金牛座,12,,,61,30,5,0,S,5,الذي على وسط قرنه الجنوبي من الاثنين,-,"Which is in the middle of the horn, one of two which are in the southern horn"
Taurus,Taurus,الثور,ath-thawr,金牛座,13,τ,,56,50,4,0,S,4,الذي على أصل قرنه الشمالي,-,Which is at the beginning of the northern horn
Taurus,Taurus,الثور,ath-thawr,金牛座,14,ζ,,68,50,2,30,S,3,الذي على طرف قرنه الجنوبي,-,Which is at the end of the southern horn
Taurus,Taurus,الثور,ath-thawr,金牛座,15,β,Elnath,66,50,5,0,N,3,الذي على طرف قرنه الشمالي وهو على رجل ذي الأعنة,ElNath,Which is at the end of the northern horn and in the foot of Auriga
Taurus,Taurus,الثور,ath-thawr,金牛座,16,,Pleiades,43,20,4,30,N,5,الشمالي الذي في السطر المقدم من الثريا,Pleiades,
Taurus,Taurus,الثور,ath-thawr,金牛座,17,,Pleiades,43,30,3,40,N,4,الشمالي الذي في آخر الشق المقدم من الثريا,Pleiades,
Taurus,Taurus,الثور,ath-thawr,金牛座,18,,Pleiades,44,50,3,20,N,5,المؤخر الصغير الذي مؤخر الثريا,Pleiades,
Taurus,Taurus,الثور,ath-thawr,金牛座,19,,Pleiades,44,50,5,0,N,4,الصغير الخارج من شمال الثريا,Pleiades,
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,1,α,Castor,94,30,9,30,N,2,الذي على طرف الرجل اليسرى من التوأم المؤخر,Castor,Which is in the head of the front Twin
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,2,β,Pollux,97,50,6,15,N,2,الذي على الركبة اليسرى من التوأم المؤخر,Pollux,Which is in the head of the back Twin
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,3,η,,77,40,1,30,S,4,الذي على وسط الألية من هذا التوأم,-,Which is before the foot of the front Twin
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,4,ν,,81,20,3,30,S,4,الذي على الخاصرة اليسرى من هذا التوأم,-,Which is at the end of the foot of the front Twin
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,5,,,83,10,7,30,S,3,الذي على الركبة اليسرى من التوأم المقدم,-,Which is at the end of the left foot of the back Twin
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,6,ξ,,85,50,10,30,S,4,الذي على رأس التوأم المقدّم,-,Which is at the end of the right foot of the back Twin
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,7,ζ,,89,40,2,30,S,3,الذي على رأس التوأم المؤخّر,-,Which is in the left knee of the back Twin
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,8,λ,,92,50,6,0,S,3,الذي بين يدي رجل التوأم المقدّم,-,Which is in the middle of the right bend of this Twin
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,9,δ,,92,50,0,30,S,3,الذي على طرف رجل التوأم المقدّم,-,Which is on the left side of this Twin
Gemini,Gemini,الجوزاء,al-jawza / at-tawaman,双子座,10,ε,,84,10,1,30,S,4,الذي على طرف الرجل اليمنى من التوأم المؤخّر,-,Which is in the left knee of the front Twin
Cancer,Cancer,السرطان,as-saratan,巨蟹座,1,ε,Praesepe (M44),111,30,0,40,N,neb,,Praesepe,"The middle of the Manger, the nebula which is in the breast"
Cancer,Cancer,السرطان,as-saratan,巨蟹座,2,η,,108,50,1,15,N,4,الشمالي من الاثنين اللذين عند المربع السحابي في الإظلام,-,The northern of two which are near the nebulous rectangle in darkness
Cancer,Cancer,السرطان,as-saratan,巨蟹座,3,θ,,109,10,1,10,S,4,الكوكب الجنوبي منهما ويسميان المربع,-,"The southern of those two, and they are called the rectangle"
Cancer,Cancer,السرطان,as-saratan,巨蟹座,4,ι,,109,30,11,50,N,4,الذي على زبانة السرطان الشمالية,-,Which is in the northern claw of Cancer
Cancer,Cancer,السرطان,as-saratan,巨蟹座,5,α,Acubens,117,40,5,30,S,4,الذي على زبانة السرطان الجنوبية,Acubens,Which is in the southern claw
Cancer,Cancer,السرطان,as-saratan,巨蟹座,6,β,,108,20,7,30,S,4,الذي على طرف رجله المؤخرة الجنوبية,-,Which is at the end of the southern hind foot
Cancer,Cancer,السرطان,as-saratan,巨蟹座,7,μ2,,103,50,1,0,N,5,الذي على طرف رجله المؤخرة الشمالية,-,Which is at the end of the northern hind foot
Cancer,Cancer,السرطان,as-saratan,巨蟹座,8,,,108,20,7,30,S,4,الجنوبي من الاثنين اللذين ذكرناهما,-,The southern of the two we mentioned
Cancer,Cancer,السرطان,as-saratan,巨蟹座,9,γ,Asellus Borealis,111,30,2,40,N,4,الشمالي من الاثنين اللذين عند السحابي وهما الحماران,AsellusBor,"The northern of two which are near the nebula, and are called the two donkeys"
Cancer,Cancer,السرطان,as-saratan,巨蟹座,10,δ,Asellus Australis,112,30,0,10,S,4,الكوكب الجنوبي منهما,AsellusAus,
Leo,Leo,الأسد,al-asad,狮子座,1,,,119,30,10,0,N,4,الكوكب الذي على طرف منخر الأسد,-,The star which is at the end of the nostrils
Leo,Leo,الأسد,al-asad,狮子座,2,μ,,125,30,12,0,N,3,الشمالي من الاثنين اللذين في رأس الأسد,-,The northern of two which are in the head
Leo,Leo,الأسد,al-asad,狮子座,3,γ,Algieba,133,20,8,30,N,2,الأوسط من الثلثة التي في عنقه,Algieba,The middle of three which are in the neck
Leo,Leo,الأسد,al-asad,狮子座,4,ζ,Adhafera,131,20,11,0,N,3,المقدم من الثلثة التي في عنقه وهو الشمالي,Adhafera,"The preceding one, and which is northern, of the three which are in the neck"
Leo,Leo,الأسد,al-asad,狮子座,5,η,,131,50,4,30,N,3,الجنوبي من هذه الثلثة التي في عنق الاسد,-,The southern of these three which are in the neck
Leo,Leo,الأسد,al-asad,狮子座,6,α,Regulus,134,0,0,10,N,1,قلب الأسد ويسمى الملك,Regulus,"Qalb al-asad the heart of Leo, also called al-malaki the royal one"
Leo,Leo,الأسد,al-asad,狮子座,7,,,142,30,12,15,N,5,المقدم من الاثنين اللذين على ظهره,-,The preceding one of two which are on the back
Leo,Leo,الأسد,al-asad,狮子座,8,δ,Zosma,145,20,13,40,N,2,الكوكب الذي يلو هذا,Zosma,The star which follows this one
Leo,Leo,الأسد,al-asad,狮子座,9,ι,,151,30,5,50,N,3,الذي في فخذ الاسد المؤخرة,-,Which is in the hind thigh
Leo,Leo,الأسد,al-asad,狮子座,10,σ,,152,50,1,15,N,4,الثاني الذي في فخذه المؤخرة ايضا,-,The second which is also in the hind thigh
Leo,Leo,الأسد,al-asad,狮子座,11,υ,,158,40,3,0,S,4,الذي في وسط فخذه المؤخرة ايضا,-,Which is also in the middle of the hind thigh
Leo,Leo,الأسد,al-asad,狮子座,12,β,Denebola,155,40,11,50,N,1,الصرفة وهو الكوكب الذي على طرف ذنبه,Denebola,"as-Sarfah the turning point, the star which is at the end of the tail"
Leo,Leo,الأسد,al-asad,狮子座,13,,,145,30,11,30,N,5,الشمالي من الاثنين اللذين في مؤخر الاسد,71Leo,The northern of two which are in the back part of Leo
Leo,Leo,الأسد,al-asad,狮子座,14,θ,,147,30,9,40,N,5,الكوكب الجنوبي منهما,-,The southern of those two
Leo,Leo,الأسد,al-asad,狮子座,15,φ,,128,30,0,0,,5,الكوكب الذي على ركبة الاسد اليمنى,-,The star which is in the right knee
Leo,Leo,الأسد,al-asad,狮子座,16,,,156,0,30,15,N,neb,اولها بلوقامس وهو الكوكب الذي بين ذنب الاسد والسماك الرامح,ComaBer,
Leo,Leo,الأسد,al-asad,狮子座,17,,,155,30,25,0,N,obsc,,ComaBer4,the large leading star in the hair (Coma Berenices); the lock of the Lion
Leo,Leo,الأسد,al-asad,狮子座,18,,,159,40,25,30,N,obsc,,ComaBer21,the star that follows it in the hair
Virgo,Virgo,السنبلة,as-sunbulah / al-adhra,室女座,1,ν,,157,30,4,15,N,5,الجنوبي من الاثنين اللذين في رأس العذراء,-,
Virgo,Virgo,السنبلة,as-sunbulah / al-adhra,室女座,2,ξ,,158,10,5,40,N,5,الكوكب الشمالي من هذا,-,
Virgo,Virgo,السنبلة,as-sunbulah / al-adhra,室女座,3,β,,160,10,0,10,N,3,الذي على جناحها الأيسر,-,
Virgo,Virgo,السنبلة,as-sunbulah / al-adhra,室女座,4,η,,169,25,1,10,N,3,المقدم من الاربعة التي في الجناح الأيسر,-,
Virgo,Virgo,السنبلة,as-sunbulah / al-adhra,室女座,5,γ,Porrima,174,20,2,50,N,3,الكوكب الذي يلو هذا,Porrima,
Virgo,Virgo,السنبلة,as-sunbulah / al-adhra,室女座,6,δ,,175,30,8,30,N,3,الذي في الظفر الأيمن تحت الثدي,-,
Virgo,Virgo,السنبلة,as-sunbulah / al-adhra,室女座,7,,,182,10,1,40,N,4,المؤخر من هذه الاربعة,-,
Virgo,Virgo,السنبلة,as-sunbulah / al-adhra,室女座,8,λ,,201,10,0,30,N,4,الذي على طرف القدم اليسرى,-,
Virgo,Virgo,السنبلة,as-sunbulah / al-adhra,室女座,9,μ,,203,50,9,50,N,4,الشمالي الذي على طرف القدم اليمنى,-,
Virgo,Virgo,السنبلة,as-sunbulah / al-adhra,室女座,10,ι,,197,50,7,30,N,4,الذي على مجرى ذيل السنبلة,-,
Virgo,Virgo,السنبلة,as-sunbulah / al-adhra,室女座,11,ε,Vindemiatrix,173,20,15,10,N,3,الذي في الجناح الشمالي (المقدم للقطاف),Vindemiatrix,
Virgo,Virgo,السنبلة,as-sunbulah / al-adhra,室女座,12,α,Spica,187,50,2,0,S,1,النيّر الذي على طرف يدها اليسرى (السُّنبلة / السماك الأعزل),Spica,
Virgo,Virgo,السنبلة,as-sunbulah / al-adhra,室女座,13,ζ,,186,0,8,40,N,3,الكوكب الذي على منطقتها,-,
Libra,Libra,الميزان,al-mizan,天秤座,1,α,Zubenelgenubi,209,10,2,0,N,2,الكوكب المضيء من كواكب الكفّة الجنوبية,Zubenelgenubi,
Libra,Libra,الميزان,al-mizan,天秤座,2,μ,,208,10,2,30,N,5,المظلم الشمالي من هذا الكوكب,-,
Libra,Libra,الميزان,al-mizan,天秤座,3,β,Zubeneschamali,213,20,8,20,N,2,النيّر من الكواكب التي في طرف الكفّة الشمالية,Zubeneschamali,
Libra,Libra,الميزان,al-mizan,天秤座,4,ι1,,215,10,1,40,S,4,المتوسط من التي في الكفّة الجنوبية,-,
Libra,Libra,الميزان,al-mizan,天秤座,5,ν1,,212,30,1,15,N,4,الكوكب التالي لهذا الكوكب,-,
Libra,Libra,الميزان,al-mizan,天秤座,6,γ,,219,0,4,45,N,4,الكوكب المتوسط من الكفّة الشمالية,-,
Scorpius,Scorpius,العقرب,al-aqrab,天蝎座,1,β,,227,40,1,20,N,3,الذي عند الشوكة وهي الشولة,-,the northern star of three which are between the eyes
Scorpius,Scorpius,العقرب,al-aqrab,天蝎座,2,δ,,226,50,1,40,S,3,المؤخر من الاثنين اللذين في الشولة,-,the middle star of these three
Scorpius,Scorpius,العقرب,al-aqrab,天蝎座,3,π,,226,50,5,0,S,3,المقدم منهما,-,the southern star of these three
Scorpius,Scorpius,العقرب,al-aqrab,天蝎座,4,σ,,231,30,3,45,S,3,الشمالي الذي يتلو الشولة,-,the preceding star of three bright ones in the chest
Scorpius,Scorpius,العقرب,al-aqrab,天蝎座,5,α,Antares,233,50,4,0,S,2,الشمالي من الثلثة التي بين عيني العقرب,Antares,"the heart of Scorpio (Qalb al-'aqrab), the middle of these, red"
Scorpius,Scorpius,العقرب,al-aqrab,天蝎座,6,τ,,235,40,5,30,S,3,المتوسط من هذه الثلثة,-,the posterior of these three
Scorpius,Scorpius,العقرب,al-aqrab,天蝎座,7,,,239,40,11,0,S,3,الكوكب الجنوبي من هذه الثلثة,-,the one that follows this one in the first vertebra
Scorpius,Scorpius,العقرب,al-aqrab,天蝎座,8,μ,,240,0,15,0,S,3,المقدم من الثلثة المضيئة في صدر العقرب,-,the star in the second vertebra
Scorpius,Scorpius,العقرب,al-aqrab,天蝎座,9,ζ1,,241,10,18,40,S,4,قلب العقرب وهو الأوسط منها الأحمر,-,the northern of a pair in the third vertebra
Scorpius,Scorpius,العقرب,al-aqrab,天蝎座,10,η,,244,20,19,30,S,3,الكوكب المؤخر من هذه الثلثة,-,the one that follows it in the fourth vertebra
Scorpius,Scorpius,العقرب,al-aqrab,天蝎座,11,θ,,249,20,18,50,S,3,الذي يلوه في الخَرَزة الأولى,-,the one following these in the fifth vertebra
Scorpius,Scorpius,العقرب,al-aqrab,天蝎座,12,ι,,251,40,16,40,S,3,الذي في الخَرَزة الثانية,-,the one that follows in the sixth vertebra
Scorpius,Scorpius,العقرب,al-aqrab,天蝎座,13,κ,,250,10,15,10,S,3,الأضعف الشمالي في الخَرَزة الثالثة,-,the star in the seventh vertebra near the stinger
Scorpius,Scorpius,العقرب,al-aqrab,天蝎座,14,λ,Shaula,248,40,13,20,S,3,الذي يتلوه في الخَرَزة الرابعة,Shaula,the posterior of two which are in the stinger
Scorpius,Scorpius,العقرب,al-aqrab,天蝎座,15,υ,,248,10,13,30,S,4,التالي في الخَرَزة الخامسة,-,the preceding of two in the same region
Scorpius,Scorpius,العقرب,al-aqrab,天蝎座,16,,,252,20,13,15,S,neb,الذي يتلوه في الخَرَزة السادسة,-,the northern nebulous star that follows the stinger
Sagittarius,Sagittarius,القوس,al-qaws / ar-rami,人马座,1,γ,,255,40,6,20,S,3,الكوكب الذي على زج السهم,-,the star that is at the point of the arrow
Sagittarius,Sagittarius,القوس,al-qaws / ar-rami,人马座,2,δ,,258,50,6,30,S,3,الذي على مقبض يده اليسرى,-,the one that is at the beginning of the left hand
Sagittarius,Sagittarius,القوس,al-qaws / ar-rami,人马座,3,ε,,259,10,10,50,S,3,الكوكب الذي في الجنوب من القوس,-,the one in the southern part of the bow
Sagittarius,Sagittarius,القوس,al-qaws / ar-rami,人马座,4,λ,,260,10,1,30,S,3,الجنوبي من الاثنين اللذين في الشق الشمالي من القوس,-,the southern of two which are in the northern part of the bow
Sagittarius,Sagittarius,القوس,al-qaws / ar-rami,人马座,5,μ,,257,50,2,50,N,3,الشمالي منهما وهو الذي في آخر القوس,-,the northern of two in the extremity of the bow
Sagittarius,Sagittarius,القوس,al-qaws / ar-rami,人马座,6,σ,,266,30,3,10,S,3,الكوكب الذي على كتف الرامي,-,the one that is in the shoulder of Sagittarius
Sagittarius,Sagittarius,القوس,al-qaws / ar-rami,人马座,7,φ,,264,10,3,45,S,4,الذي بين يدي هذا وهو في السهم,-,the one before this one in the arrow
Sagittarius,Sagittarius,القوس,al-qaws / ar-rami,人马座,8,,,266,20,0,45,N,neb,المضعف السحابي الذي على عين الرامي,-,the double nebulous star that is in the eye of Sagittarius
Sagittarius,Sagittarius,القوس,al-qaws / ar-rami,人马座,9,β,,268,50,23,0,S,3,الذي على عرقوب الرامي المقدم الأيسر,-,the one that is in the anterior inner anklebone of the left foot
Sagittarius,Sagittarius,القوس,al-qaws / ar-rami,人马座,10,τ,,268,50,4,30,S,4,المتوسط من الثلثة التي في ظهر الرامي وهو على كتفه,-,the middle star in the shoulder of three in the back
Sagittarius,Sagittarius,القوس,al-qaws / ar-rami,人马座,11,ζ,,267,30,6,45,S,3,التالي الذي تحت إبطه ويلي الأوسط من التي في ظهره,-,the following star that is under the armpit and is near the middle of those in the back
Sagittarius,Sagittarius,القوس,al-qaws / ar-rami,人马座,12,α,,268,10,18,0,S,3,الذي على ركبة الرامي من رجله اليسرى,-,the one that is in the left knee
Sagittarius,Sagittarius,القوس,al-qaws / ar-rami,人马座,13,η,,257,50,13,0,S,3,الذي على عرقوبه من رجله المقدمة,-,the one that is in the anklebone of the anterior foot
Sagittarius,Sagittarius,القوس,al-qaws / ar-rami,人马座,14,θ,,278,30,13,30,S,3,الذي في فخذه اليسرى,-,the one that is in the left thigh
Sagittarius,Sagittarius,القوس,al-qaws / ar-rami,人马座,15,ι,,277,30,20,10,S,3,الذي على ساق الرامي اليمنى المؤخرة,-,the one that is in the posterior right leg
Sagittarius,Sagittarius,القوس,al-qaws / ar-rami,人马座,16,ω,,274,0,6,30,S,1,الشمالي من الاربعة التي في أصل أليته وهو عرقوب الرامي,ucertain-mag,"the northern of four which are at the beginning of the tail, called the ankle of the archer"
Sagittarius,Sagittarius,القوس,al-qaws / ar-rami,人马座,17,,,280,0,4,50,S,5,الذي يتلوه في الخط الشمالي,-,the one that follows this on the northern side
Capricornus,Capricornus,الجدي,al-jady,摩羯座,1,α1,,288,30,7,20,N,3,المقدم من الثلثة التي في قرنه المؤخرة,-,the preceding of three which are in the posterior horn
Capricornus,Capricornus,الجدي,al-jady,摩羯座,2,ν,,288,50,6,40,N,6,المتوسط من هذه الثلثة,-,
Capricornus,Capricornus,الجدي,al-jady,摩羯座,3,β,,288,30,5,0,N,3,الجنوبي من هذه الثلثة المذكورة,-,
Capricornus,Capricornus,الجدي,al-jady,摩羯座,4,ο,,288,10,0,45,N,6,الجنوبي من الثلثة التي في فم الجدي,-,
Capricornus,Capricornus,الجدي,al-jady,摩羯座,5,π,,289,50,1,45,N,6,المقدم من الاثنين الباقيين من الثلثة التي في فم الجدي,-,
Capricornus,Capricornus,الجدي,al-jady,摩羯座,6,ρ,,290,0,1,30,N,6,الكوكب الثالث الذي يتلوه في فمه,-,
Capricornus,Capricornus,الجدي,al-jady,摩羯座,7,ψ,,292,0,6,30,S,4,الذي تحت ركبة الجدي اليمنى,-,
Capricornus,Capricornus,الجدي,al-jady,摩羯座,8,ω,,292,50,8,40,S,4,الذي على ركبته اليسرى,-,
Capricornus,Capricornus,الجدي,al-jady,摩羯座,9,ζ,,301,20,6,50,S,4,المقدم من الاثنين المتقاربين اللذين في بطن الجدي,-,
Capricornus,Capricornus,الجدي,al-jady,摩羯座,10,,,301,30,6,0,S,5,الكوكب التالي لهذا في بطنه,-,
Capricornus,Capricornus,الجدي,al-jady,摩羯座,11,γ,,305,0,2,10,S,3,المقدم من الاثنين اللذين عند ذنب الجدي,-,
Capricornus,Capricornus,الجدي,al-jady,摩羯座,12,δ,Deneb Algedi,307,30,2,0,S,3,المقدم من الاربعة التي في شمال ذنبه,DenebAlgedi,
Capricornus,Capricornus,الجدي,al-jady,摩羯座,13,μ,,309,50,0,0,N,5,المتوسط من هذه الثلثة الباقية,-,
Capricornus,Capricornus,الجدي,al-jady,摩羯座,14,λ,,308,50,2,50,N,5,الشمالي من التي على طرف ذنبه,-,
Capricornus,Capricornus,الجدي,al-jady,摩羯座,15,c1,,309,50,4,20,N,5,الكوكب الذي يتلوه,-,
Capricornus,Capricornus,الجدي,al-jady,摩羯座,16,ε,,304,30,4,45,S,4,المقدم من الذي في ظهر الجدي,-,
Capricornus,Capricornus,الجدي,al-jady,摩羯座,17,θ,,297,50,0,0,N,4,المقدم من الكوكبين اللذين في ظهره,-,
Capricornus,Capricornus,الجدي,al-jady,摩羯座,18,μ,,303,0,0,0,S,5,الجنوبي من الاربعة التي في شمال ذنبه,-,
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,1,d,,311,30,15,45,N,5,الكوكب الذي على رأس الدلو,-,The star in the head of Aquarius
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,2,α,Sadalmelik,317,30,11,0,N,3,المضيء من الاثنين اللذين على كتف الساق اليمنى,Sadalmelik,The bright star of two in the right shoulder
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,3,ο,,316,20,9,40,N,5,الكوكب المظلم الذي تحته,-,The obscure star beneath it
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,4,β,Sadalsuud,307,40,8,50,N,3,الذي في كتف الساق اليسرى,Sadalsuud,The star in the left shoulder
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,5,ν,,298,50,5,30,N,3,الذي يلو الثلثة التي في يده اليسرى,-,The following star of three in the left hand
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,6,μ,,297,20,8,0,N,4,المتوسط من هذه الثلثة,-,The middle of these three
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,7,ε,,295,50,8,40,N,3,الكوكب المقدم من هذه الثلثة,-,The preceding of these three
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,8,γ,,320,40,8,45,N,3,الذي في فخذ الساق اليمنى,-,The star in the right arm
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,9,π,,322,50,10,45,N,3,الشمالي من الثلثة التي على طرف ذنبه,-,The northern of three in the extremity of the hand
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,10,ζ,,323,10,9,0,N,3,المقدم من الاثنين الجنوبيين الباقيين,-,The preceding of two remaining southern ones
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,11,η,,324,30,8,30,N,3,الكوكب التالي لهذا,-,The star following this
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,12,δ,,322,50,7,30,S,3,الجنوبي من الاثنين اللذين في ساقه اليمنى,-,The southern of two in the right leg
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,13,,,326,10,2,0,N,4,المقدم من الخمسة التي في مصب الماء,-,The preceding of five in the place of water's outflow
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,14,λ,,326,0,0,10,N,4,الذي يتلوه في الجنوب,-,The one following it southward
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,15,h1,,328,50,1,10,S,4,الذي يتلو هذا بعد المقبض,-,The one following this after the handle
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,16,φ,,331,10,0,30,S,4,الذي يتلوه ايضا,-,The one also following it
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,17,χ,,331,40,1,40,S,4,الجنوبي من التي في المقبض,-,The southern of those in the handle
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,18,alphaPsA,Fomalhaut,318,10,20,20,S,1,المؤخر من التي في مصب الماء وهو فم الحوت الجنوبي,Fomalhaut,"The last in the place of water's end, called the mouth of the southern fish"
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,19,ψ1,,330,10,3,30,S,4,الشمالي من الاثنين اللذين في الجنوب من التي في المقبض,-,The northern of two south of the handle's stars
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,20,θ,,322,50,7,30,N,3,المقدم من الاثنين المتقاربين اللذين في ساق الساق,-,The preceding of two mutually close in the right leg
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,21,σ,,319,50,0,50,S,5,الشمالي من الاثنين اللذين في جهة الجنوب من المقبض,-,The star in the right buttock of Aquarius
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,22,A2,,333,20,14,45,S,5,الذي على ألية الساق اليمنى,-,
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,23,c1,,323,0,14,45,S,4,المتوسط من الثلثة التي في الانعطاف الأول من المقبض,-,
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,24,ι,,312,50,1,40,S,4,الأول من الثلثة التي في الانعطاف الثاني من المقبض,-,
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,25,b2,,328,40,15,0,S,4,الجنوبي من الاثنين اللذين في أليته اليسرى,-,
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,26,θ1,,319,0,9,0,S,5,المتوسط من الثلثة الأخرى التي في الانعطاف الثاني من المقبض,-,
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,27,,,337,50,15,30,S,4,الشمالي من الاثنين اللذين في ساقه اليسرى تحت الركبة,2Ceti,
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,28,,,340,50,14,40,S,4,المقدم من الثلثة التي تتلو مقبض الجرة,6Ceti,
Aquarius,Aquarius,الدلو,ad-dalw / sakib al-ma,宝瓶座,29,,,340,10,18,15,S,4,الشمالي من الاثنين الباقيين,7Ceti,
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,1,β,,332,50,9,15,N,4,الذي في فم الحوت المقدم وهو الجنوبي,-,The star in the mouth of the forward or southern fish
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,2,γ,,335,20,7,30,N,4,الجنوبي من الاثنين اللذين في رأس هذا الحوت,-,The southern of two in the head of this fish
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,3,b,,337,10,9,20,N,4,والشمالي من هذين الكوكبين اللذين في رأسه,-,The northern of these two in the head
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,4,θ,,339,20,9,30,N,4,المقدم من الاثنين اللذين في ظهره,-,The preceding of two on the back
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,5,ι,,341,50,7,30,N,4,الكوكب الثاني من الاثنين اللذين في ظهره,-,The second of two on the back
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,6,κ,,337,10,4,30,N,4,المقدم من الاثنين اللذين في بطن الحوت الجنوبي,-,The preceding of two in the belly of the southern fish
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,7,λ,,340,50,3,30,N,4,الكوكب المؤخر منهما,-,The posterior of these two
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,8,ω,,347,10,6,20,N,4,الكوكب الذي في ذنب هذا الحوت,-,The star in the tail of this fish
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,9,d,,352,10,5,45,N,6,المقدم من التي في ذنبه في الخيط الكتان,-,The preceding of those in the tail on the linen line
