"priority","action_bucket","language","local_id","coverage_status","source_canon_action","title_or_local_title","topic_or_category","license_or_access_signal","hash_match_status","evidence_artifacts","steward_next_action","non_claim_boundary"
"P4","exclude_or_shelf_mismatch_record","French","1202.4716v3","local_low_signal_tex_weak_or_mixed_not_promoted","low_signal_local_tex_weak_or_mixed_not_promoted","Amenable groups with a locally invariant order are locally indicable","invariant:73","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","French","1202.6578v3","local_low_signal_tex_weak_or_mixed_not_promoted","low_signal_local_tex_weak_or_mixed_not_promoted","Simultaneity as an Invariant Equivalence Relation","module:4; invariant:81","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","French","1204.0960v2","local_low_signal_tex_weak_or_mixed_not_promoted","low_signal_local_tex_weak_or_mixed_not_promoted","Khovanov module and the detection of unlinks","module:126; ideal:2; invariant:25","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","French","1205.6530v1","live_arxiv_screened_excluded_or_mixed","english_shift_invariant_false_positive_not_promoted","Shift-invariant spaces on SI/Z Lie groups","math.FA / invariant","arXiv API license field blank; access/e-print source archive verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH2_LIVE_ARXIV_VERIFICATION_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","French","1211.4431v2","local_low_signal_tex_weak_or_mixed_not_promoted","low_signal_local_tex_weak_or_mixed_not_promoted","Multivariable Lubin-Tate ( , ) -modules \\�and filtered -modules","Noether:1; module:107; corps:6; ideal:10","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","French","1305.1672v1","live_arxiv_screened_excluded_or_mixed","english_topological_invariant_false_positive_not_promoted","Kervaire invariants and selfcoincidences","math.AT / invariant","arXiv API license field blank; access/e-print source archive verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH2_LIVE_ARXIV_VERIFICATION_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","French","1905.13138v3","live_arxiv_screened_excluded_or_mixed","live_arxiv_verified_english_shelf_mismatch_not_promoted","Generators, spanning sets and existence of twisted modules for a grading-restricted vertex (super)algebra","math.QA / module:308; ideal:1; invariant:6","arXiv API license field blank; access/e-print source archive verified after retry; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_RATE_LIMIT_GAP_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LOCAL_TEX_METADATA_PROBE_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_VERIFICATION_RETRY_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","French","2112.07476v2","live_arxiv_screened_excluded_or_mixed","english_invariant_source_not_french_target_not_promoted","Invariant integrals on coideals and their Drinfeld doubles","math.QA / invariant","arXiv API license field blank; access/e-print source archive verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH2_LIVE_ARXIV_VERIFICATION_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","Spanish","1309.7609v1","live_arxiv_screened_excluded_or_version_history","off_topic_spanish_pdf_fallback_not_promoted","Identificación y Registro Catastral de Cuerpos de Agua mediante Técnicas de Procesamiento Digital de Imagenes","cs.CV / ","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_SPANISH_SUPPLEMENT_LIVE_ARXIV_VERIFICATION_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","Spanish","2401.04069v4","live_arxiv_screened_excluded_or_version_history","off_topic_or_not_spanish_target_not_promoted","Proof of the Nernst heat theorem","physics.class-ph / ","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_SPANISH_SUPPLEMENT_LIVE_ARXIV_VERIFICATION_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","Spanish","2410.00616v1","live_arxiv_screened_excluded_or_version_history","off_topic_spanish_not_promoted","Detección Automática de Patologías en Notas Clínicas en Español Combinando Modelos de Lenguaje y Ontologías Médicos","cs.CL / ","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_SPANISH_SUPPLEMENT_LIVE_ARXIV_VERIFICATION_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","Spanish","math_0212002v2","live_arxiv_screened_excluded_or_version_history","math_relevant_not_spanish_target_not_promoted","Integrally closed ideals in two-dimensional regular local rings are multiplier ideals","math.AC / ","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_SPANISH_SUPPLEMENT_LIVE_ARXIV_VERIFICATION_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","Spanish","math_9412207v1","live_arxiv_screened_excluded_or_version_history","not_spanish_target_not_promoted","Automorphic $L$\snug-functions, intertwining operators, and the irreducible tempered representations of $p$\snug-adic groups","math.NT / ","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_SPANISH_SUPPLEMENT_LIVE_ARXIV_VERIFICATION_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","Spanish","physics_0503102v1","live_arxiv_screened_excluded_or_version_history","off_topic_spanish_pdf_fallback_not_promoted","La aventura de la fisica","physics.ed-ph / ","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_SPANISH_SUPPLEMENT_LIVE_ARXIV_VERIFICATION_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","version_history_only","Spanish","2209.02110v1","live_arxiv_screened_excluded_or_version_history","version_history_only_not_promoted","La geometría de los Monoides","math.AG / ","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_SPANISH_SUPPLEMENT_LIVE_ARXIV_VERIFICATION_20260705.csv","Retain only as version-history provenance; current version/main witness already covers the source where relevant.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
