kind,ref,title,expose,tex_line,src_page_est
statement,4.2.5,Proposition 4.2.5,V,7448,228
statement,4.2.6,Théorème 4.2.6,V,7500,230
statement,4.2.7,Lemme 4.2.7,V,7521,230
statement,5,5. Systèmes projectifs (J)-adiques et AR-(J)-adiques noethériens,V,7580,232
statement,5.1.1,Définition 5.1.1,V,7586,232
statement,5.1.2,Proposition 5.1.2,V,7593,232
statement,5.1.3,Définition 5.1.3,V,7609,233
statement,5.1.4,Théorème 5.1.4,V,7626,233
statement,5.1.5,Corollaire 5.1.5,V,7663,234
statement,5.1.6,Proposition 5.1.6,V,7683,235
statement,5.2.1,Proposition 5.2.1,V,7702,236
statement,5.2.1.1,Lemme 5.2.1.1,V,7722,236
statement,5.2.2,Proposition 5.2.2,V,7739,237
statement,5.2.3,Théorème 5.2.3,V,7772,238
statement,5.2.4,Proposition 5.2.4,V,7778,238
statement,5.2.4.1,Lemme 5.2.4.1,V,7795,238
diagram,D139,tikzcd,V,7815,239
statement,5.2.5,Corollaire 5.2.5,V,7843,240
statement,5.3.1,Proposition 5.3.1,V,7864,240
statement,5.3.2,Corollaire 5.3.2,V,7888,241
section,,Appendice: le théorème de SHIH,V,7904,242
diagram,D140,tikzpicture,V,7988,244
equation,S,,V,8033,245
equation,(d_1),,V,8060,246
equation,(d_2),,V,8074,247
equation,S bis,,V,8088,247
equation,(d_3),,V,8097,247
statement,3,Théorème A.3,V,8114,248
equation,A.3.1,,V,8144,249
section,,Exposé VI,VI,8185,251
statement,1,1. Faisceaux (ell)-adiques constructibles,VI,8196,251
statement,1.1.1,Définition 1.1.1,VI,8202,252
statement,1.1.2,Proposition 1.1.2,VI,8226,252
statement,1.1.3,Proposition 1.1.3,VI,8234,253
statement,,Terminologie,VI,8269,254
statement,1.2.1,Définition 1.2.1,VI,8282,254
statement,1.2.2,Exemple 1.2.2,VI,8292,255
statement,1.2.3,Rappels 1.2.3,VI,8308,255
statement,1.2.3.1,Proposition 1.2.3.1,VI,8328,256
statement,1.2.4.1,Lemme 1.2.4.1,VI,8346,257
statement,1.2.4.2,Lemme 1.2.4.2,VI,8390,258
statement,1.2.5,Proposition 1.2.5,VI,8425,259
statement,,Remarque,VI,8429,260
statement,1.2.6,Proposition 1.2.6,VI,8437,260
statement,1.3.2,Proposition 1.3.2,VI,8469,261
equation,1,,VI,8501,262
equation,2,,VI,8510,262
statement,,Exemple,VI,8550,264
diagram,D141,tikzcd,VI,8577,265
statement,1.4.3,Définition 1.4.3,VI,8591,265
statement,1.5.1,Définition 1.5.1,VI,8709,269
statement,1.5.3,Définition 1.5.3,VI,8727,270
statement,1.5.4,Notation 1.5.4,VI,8739,270
statement,1.5.5,Proposition 1.5.5,VI,8752,271
statement,2,2. Formalisme de la cohomologie (ell)-adique,VI,8760,271
statement,2.2.1,Lemme 2.2.1,VI,8805,273
statement,2.2.2,Lemme 2.2.2,VI,8815,273
equation,1,,VI,8834,274
statement,2.2.3,Définition 2.2.3,VI,8846,274
statement,,Remarque,VI,8854,274
statement,2.2.4,Proposition 2.2.4 (Suite spectrale de Leray),VI,8858,275
equation,S,,VI,8869,275
equation,1,,VI,8878,275
equation,2,,VI,8887,276
equation,3,,VI,8895,276
diagram,D142,tikzcd,VI,8915,276
diagram,D143,tikzcd,VI,8934,277
statement,3,3. Classe de cohomologie (ell)-adique associée à un cycle,VI,8965,278
equation,*,,VI,9019,280
equation,**,,VI,9025,280
equation,**,,VI,9031,281
section,,Exposé VII,VII,9045,282
statement,1,1. Fibres vectoriels,VII,9065,283
statement,1.1,Proposition 1.1,VII,9075,283
statement,1.2,Corollaire 1.2,VII,9107,284
statement,1.3,Proposition 1.3,VII,9117,284
equation,1,,VII,9138,285
statement,1.4,Remarque 1.4,VII,9197,286
statement,1.5,Corollaire 1.5 (suite exacte de Gysin),VII,9201,286
statement,2,2. Schémas projectifs,VII,9215,287
equation,2.1.1,,VII,9223,287
equation,2.1.2,,VII,9240,287
statement,2.2.1,Théorème 2.2.1,VII,9286,289
statement,2.2.2,Proposition 2.2.2,VII,9292,289
statement,2.2.3,Lemme 2.2.3,VII,9324,290
diagram,D144,tikzcd,VII,9369,291
statement,2.2.4,Corollaire 2.2.4,VII,9376,291
statement,2.2.6,Corollaire 2.2.6,VII,9396,292
section,,3. Classes de Chern,VII,9406,292
equation,3.1,,VII,9411,292
statement,3.2,Définition 3.2,VII,9427,292
statement,3.4,Proposition 3.4,VII,9441,293
statement,3.5,Corollaire 3.5,VII,9469,294
statement,3.6,Lemme 3.6,VII,9493,294
equation,3.5.1,,VII,9513,295
statement,3.6.1,Lemme 3.6.1,VII,9539,295
equation,3.6.2,,VII,9554,296
equation,3.6.3,,VII,9559,296
equation,3.6.4,,VII,9564,296
equation,3.6.5,,VII,9569,296
statement,3.7,Corollaire 3.7,VII,9593,297
equation,3.8.1,,VII,9620,298
equation,3.8.2,,VII,9629,298
equation,3.8.3,,VII,9634,298
equation,3.8.4,,VII,9640,298
statement,3.8.5,Proposition 3.8.5,VII,9644,298
equation,3.8.6,,VII,9659,299
diagram,D145,tikzcd,VII,9663,299
equation,3.8.7,,VII,9669,299
equation,3.8.8,,VII,9674,299
section,,4. Formule de self-intersection et applications,VII,9723,300
statement,4.1,Théorème 4.1,VII,9737,301
diagram,D146,tikzcd,VII,9767,302
statement,4.2,Lemme 4.2,VII,9781,302
statement,4.3,Remarque 4.3,VII,9799,303
equation,4.1.1,,VII,9827,303
equation,4.1.2,,VII,9836,304
equation,4.1.3,,VII,9843,304
equation,4.1.4,,VII,9848,304
equation,4.1.5,,VII,9858,304
equation,4.1.6,,VII,9871,304
equation,4.1.7,,VII,9876,305
statement,4.4,Remarques 4.4,VII,9884,305
statement,4.5,Corollaire 4.5,VII,9890,305
statement,4.6,Corollaire 4.6,VII,9903,305
statement,4.7,Corollaire 4.7,VII,9925,306
statement,4.8,Remarque 4.8,VII,9943,306
statement,4.9,Corollaire 4.9,VII,9952,307
statement,4.11,Proposition 4.11,VII,9977,307
section,,5. Schémas de drapeaux,VII,9994,308
equation,5.1,,VII,10021,309
statement,5.2,Proposition 5.2,VII,10028,309
equation,5.2.1,,VII,10054,309
statement,5.3,Corollaire 5.3,VII,10062,310
statement,5.4,Proposition 5.4,VII,10089,310
statement,5.4.1,Lemme 5.4.1,VII,10098,311
diagram,D147,tikzcd,VII,10131,312
statement,5.5,Proposition 5.5,VII,10160,312
statement,5.6,Proposition 5.6,VII,10217,314
section,,6. Schémas en groupes,VII,10235,314
statement,6.1,Proposition 6.1,VII,10239,315
diagram,D148,tikzcd,VII,10245,315
diagram,D149,tikzcd,VII,10250,315
statement,6.2,Proposition 6.2,VII,10280,316
diagram,D150,tikzcd,VII,10283,316
statement,6.3,Remarque 6.3,VII,10301,316
statement,6.4,Corollaire 6.4,VII,10305,316
statement,6.5,Corollaire 6.5,VII,10315,317
section,,7. Intersections complètes,VII,10342,317
statement,7.1,Théorème 7.1,VII,10350,318
statement,7.1.1,Lemme 7.1.1,VII,10373,318
equation,7.1.2,,VII,10396,319
statement,7.1.3,Remarque 7.1.3,VII,10403,319
statement,7.2,Corollaire 7.2,VII,10409,319
statement,7.2.1,Lemme 7.2.1,VII,10431,320
statement,7.3,Proposition 7.3,VII,10487,321
equation,7.3.1,,VII,10498,322
equation,7.3.2,,VII,10503,322
statement,7.4,Corollaire 7.4,VII,10516,322
equation,7.4.1,,VII,10520,322
equation,7.4.2,,VII,10525,322
statement,7.5,Corollaire 7.5,VII,10539,323
statement,7.6,Remarque 7.6,VII,10582,324
statement,7.7,7.7,VII,10586,324
section,,8. Variétés éclatées,VII,10632,325
statement,8.1,Théorème 8.1,VII,10643,326
equation,8.1.1,,VII,10648,326
statement,8.2,Lemme 8.2,VII,10662,326
statement,8.3,Corollaire 8.3,VII,10684,327
equation,8.3.1,,VII,10690,327
equation,8.3.2,,VII,10697,327
statement,8.4,8.4,VII,10711,327
statement,8.4.1,Lemme 8.4.1,VII,10715,327
equation,8.4.2,,VII,10737,328
statement,8.4.3,Lemme 8.4.3,VII,10741,328
equation,8.4.4,,VII,10764,329
equation,8.4.5,,VII,10773,329
statement,8.5,Proposition 8.5,VII,10789,329
equation,8.5.1,,VII,10800,330
equation,8.5.2,,VII,10805,330
equation,8.5.3,,VII,10813,330
equation,8.5.4,,VII,10852,331
equation,8.5.5,,VII,10857,331
statement,8.6,8.6,VII,10879,332
equation,8.6.1,,VII,10889,332
equation,8.6.2,,VII,10895,332
statement,8.6.3,Proposition 8.6.3,VII,10907,333
diagram,D151,tikzcd,VII,10911,333
section,,9. Anneau de Chow d'une variété éclatée et formule de self-intersection dans l'anneau de C,VII,10979,335
statement,9.1,Lemme 9.1,VII,10985,335
equation,9.1.0,,VII,10989,335
equation,9.1.1,,VII,10996,335
equation,9.1.2,,VII,11008,335
equation,9.1.3,,VII,11012,336
equation,9.1.4,,VII,11017,336
equation,9.1.2 bis,,VII,11026,336
equation,9.1.5,,VII,11035,336
equation,9.1.6,,VII,11044,336
statement,9.2,Théorème 9.2 (Mumford),VII,11054,337
diagram,D152,tikzcd,VII,11064,337
diagram,D153,tikzcd,VII,11073,337
diagram,D154,tikzcd,VII,11086,338
equation,9.3.0,,VII,11100,338
equation,9.3.1,,VII,11105,338
statement,9.3,Lemme 9.3,VII,11108,338
equation,9.3.2,,VII,11112,338
equation,9.3.3,,VII,11116,338
equation,9.3.4,,VII,11120,338
equation,9.3.5,,VII,11134,339
equation,9.3.6,,VII,11139,339
equation,9.3.7,,VII,11144,339
equation,9.3.7 bis,,VII,11149,339
statement,9.4,Lemme 9.4,VII,11163,340
equation,9.4.1,,VII,11177,340
equation,9.4.2,,VII,11182,340
equation,9.4.3,,VII,11187,340
equation,9.4.4,,VII,11192,340
equation,9.4.5,,VII,11198,341
equation,9.4.6,,VII,11203,341
equation,9.4.7,,VII,11208,341
equation,9.4.8,,VII,11213,341
equation,9.4.9,,VII,11218,341
statement,9.5,9.5,VII,11222,341
equation,9.5.1,,VII,11227,341
equation,9.5.2,,VII,11236,342
equation,9.5.3,,VII,11241,342
equation,9.5.4,,VII,11246,342
equation,9.5.5,,VII,11251,342
statement,9.6,Proposition 9.6,VII,11261,342
diagram,D155,tikzcd,VII,11264,342
equation,9.6.1,,VII,11272,343
equation,9.6.2,,VII,11277,343
statement,9.7,Lemme 9.7,VII,11284,343
equation,9.7 i,,VII,11288,343
equation,9.7 ii,,VII,11292,343
equation,9.7 iii,,VII,11296,343
equation,9.7.1,,VII,11303,343
equation,9.7.2,,VII,11307,344
equation,9.7.3,,VII,11317,344
equation,9.7.4,,VII,11322,344
equation,9.7.5,,VII,11327,344
equation,9.7.6,,VII,11332,344
equation,9.7.7,,VII,11337,344
statement,9.8,9.8,VII,11341,345
equation,9.8.1,,VII,11346,345
equation,9.8.2,,VII,11355,345
equation,9.8.3,,VII,11371,345
equation,9.8.4,,VII,11376,345
equation,9.8.5,,VII,11381,346
equation,9.8.6,,VII,11386,346
statement,9.8.7,Lemme 9.8.7,VII,11390,346
diagram,D156,tikzcd,VII,11396,346
equation,9.8.8,,VII,11404,346
statement,9.9,Théorème 9.9,VII,11410,346
equation,9.9.1,,VII,11430,347
equation,9.9.2,,VII,11444,347
equation,9.9.3,,VII,11453,348
equation,9.9.4,,VII,11458,348
statement,9.10,9.10,VII,11490,349
equation,9.10.1,,VII,11503,349
equation,9.10.2,,VII,11521,349
statement,,Bibliographie,VII,11529,350
section,,Exposé VIII,VIII,11544,351
statement,1,1. Cas des catégories abéliennes,VIII,11554,351
statement,2,2. Cas des catégories triangulées,VIII,11641,354
diagram,D157,tikzcd,VIII,11645,354
diagram,D158,tikzcd,VIII,11667,355
diagram,D159,tikzcd,VIII,11671,355
diagram,D160,tikzcd,VIII,11676,355
diagram,D161,tikzcd,VIII,11680,355
diagram,D162,tikzcd,VIII,11692,356
statement,3,3. Caractère fonctoriel,VIII,11701,356
diagram,D163,tikzcd,VIII,11713,356
statement,3.1,Proposition 3.1,VIII,11736,357
statement,4,4. Comparaison avec le cas des catégories abéliennes,VIII,11771,358
statement,4.1,Proposition 4.1,VIII,11817,359
diagram,D164,tikzcd,VIII,11822,360
diagram,D165,tikzcd,VIII,11829,360
statement,,Corollaire,VIII,11844,360
equation,*,,VIII,11852,360
statement,5,5. Complexes pseudo-cohérents,VIII,11866,361
diagram,D166,tikzcd,VIII,11878,361
diagram,D167,tikzcd,VIII,11885,361
diagram,D168,tikzcd,VIII,11896,362
statement,5.1,Proposition 5.1,VIII,11909,362
statement,6,6. Complexes parfaits,VIII,11915,362
statement,7,7. Cas particulier important,VIII,11925,363
statement,8,8. Tor de complexes,VIII,11972,364
statement,,Définition,VIII,12018,366
statement,8.1,Proposition 8.1,VIII,12028,366
statement,,Lemme,VIII,12040,366
diagram,D169,tikzcd,VIII,12055,367
statement,9,9. Propriétés fonctorielles,VIII,12105,368
statement,10,"10. Construction relativefootnotecf. SGA 6 III, IV.",VIII,12142,369
statement,,Bibliographie,VIII,12189,371
section,,Exposé X --- Formule d'Euler--Poincaré en cohomologie étale,X,12196,372
statement,1,1. Faisceaux sur un schéma à opérateurs,X,12210,372
diagram,D170,tikzcd,X,12224,373
statement,2,2. Où l'on prouve qu'un certain complexe de $Lambda[G]$-modules est parfait,X,12245,374
statement,2.1,Lemme 2.1,X,12249,374
statement,2.2,Proposition 2.2,X,12253,374
statement,3,3. Rappels sur les représentations linéaires des groupes finis,X,12297,375
statement,3.2,Proposition 3.2,X,12329,376
equation,3.3.1,,X,12362,378
statement,3.6,Proposition 3.6,X,12380,378
equation,3.6.1,,X,12384,378
equation,3.6.2,,X,12389,378
equation,3.6.3,,X,12395,379
equation,3.7.1,,X,12409,379
equation,3.7.2,,X,12418,379
statement,3.8,Proposition 3.8,X,12444,380
equation,3.8.1,,X,12451,381
statement,3.9,Corollaire 3.9,X,12457,381
equation,3.9.1,,X,12463,381
statement,4,4. La représentation de Swan,X,12481,382
statement,4.1,Lemme 4.1,X,12485,382
equation,4.2.1,,X,12529,383
equation,4.2.2,,X,12540,384
equation,4.2.3,,X,12547,384
equation,4.2.4,,X,12557,384
equation,4.2.5,,X,12564,384
equation,4.2.6,,X,12575,385
equation,4.2.7,,X,12583,385
equation,4.2.8,,X,12587,385
statement,4.4,Proposition 4.4,X,12595,385
equation,4.5.1,,X,12629,387
equation,4.5.2,,X,12637,387
equation,4.5.3,,X,12645,387
statement,5,5. La formule de Weil (comparer [3 VI §4]),X,12667,388
statement,5.1,Proposition 5.1,X,12700,389
equation,5.2,,X,12708,389
equation,5.2.1,,X,12728,390
diagram,D171,tikzcd,X,12764,391
equation,5.2.2,,X,12801,392
statement,6,6. Définition des termes locaux $varepsilon_x^Delta(F)$,X,12816,393
equation,6.1.1,,X,12830,393
equation,6.2.1,,X,12871,395
equation,6.2.2,,X,12878,395
equation,6.2.3,,X,12883,395
statement,7,7. Formule d'Euler-Poincaré,X,12895,395
statement,7.1,Théorème 7.1,X,12897,396
equation,7.2,,X,12904,396
equation,7.3,,X,12914,396
equation,7.4,,X,12926,397
equation,7.5,,X,12943,397
equation,7.6,,X,12970,398
equation,7.7,,X,12979,398
diagram,D172,tikzcd,X,12987,399
equation,7.8,,X,12991,399
statement,7.9,Corollaire 7.9,X,13041,400
equation,7.10,,X,13045,401
equation,7.11,,X,13050,401
statement,7.12,Corollaire 7.12,X,13054,401
equation,7.13,,X,13074,401
statement,7.14,Lemme 7.14,X,13081,402
diagram,D173,tikzcd,X,13115,403
equation,7.15,,X,13119,403
diagram,D174,tikzcd,X,13137,404
diagram,D175,tikzcd,X,13144,404
equation,7.16,,X,13148,404
diagram,D176,tikzcd,X,13152,404
section,,Références,X,13199,406
section,,Exposé XII,XII,13209,407
section,,1.,XII,13223,407
equation,1.1,,XII,13241,408
equation,1.2,,XII,13245,408
diagram,D177,tikzcd,XII,13262,409
equation,1.3,,XII,13266,409
equation,1.4,,XII,13280,409
equation,1.5,,XII,13281,409
section,,2.,XII,13291,410
equation,2.1,,XII,13304,410
equation,2.2,,XII,13305,410
equation,2.3,,XII,13306,410
equation,2.4,,XII,13307,410
equation,2.5,,XII,13312,411
equation,2.6,,XII,13313,411
equation,2.7,,XII,13320,411
equation,2.8,,XII,13321,411
section,,3. L'invariant local de Nielsen-Wecken (cf. [1]),XII,13335,411
equation,3.1,,XII,13363,412
section,,4. Généralités sur les termes locaux,XII,13367,412
equation,4.1,,XII,13377,413
equation,4.2,,XII,13383,413
equation,4.3,,XII,13387,413
equation,4.4,,XII,13391,413
equation,4.7.1,,XII,13523,418
equation,4.9.1,,XII,13675,423
equation,4.9.2,,XII,13682,423
section,,5. Généralisation d'un formule de type Nielsen-Wecken. (cf.[1]),XII,13689,423
statement,5.1,Proposition 5.1,XII,13691,424
equation,5.1.1,,XII,13702,424
equation,5.2,,XII,13714,424
equation,5.3,,XII,13724,425
equation,5.4,,XII,13731,425
equation,5.5,,XII,13735,425
equation,5.6,,XII,13741,425
equation,5.7,,XII,13747,425
equation,5.8,,XII,13751,426
equation,5.9,,XII,13757,426
statement,5.10,5.10. Cas particuliers,XII,13762,426
equation,5.11,,XII,13767,426
section,,6. Application à une formule de Lefschetz,XII,13775,426
statement,6.1,6.1,XII,13777,426
statement,6.2,6.2. Définition des termes locaux,XII,13804,427
equation,6.2.1,,XII,13828,428
equation,6.2.2,,XII,13848,429
statement,6.3,6.3. Une formule de Lefschetz,XII,13863,429
equation,6.3.1,,XII,13866,430
equation,6.3.2,,XII,13871,430
equation,6.3.3,,XII,13881,430
diagram,D178,tikzpicture,XII,13882,430
equation,6.3.4,,XII,13899,431
equation,6.3.5,,XII,13906,431
equation,6.3.6,,XII,13911,431
equation,6.3.7,,XII,13915,431
equation,6.3.8,,XII,13922,431
equation,6.3.9,,XII,13928,432
equation,6.3.10,,XII,13934,432
equation,6.3.11,,XII,13939,432
equation,6.3.12,,XII,13947,432
statement,6.4,6.4. Remarques sur les termes locaux,XII,13953,432
equation,6.4.1,,XII,13956,433
equation,6.4.2,,XII,13961,433
equation,6.4.3,,XII,13991,434
equation,6.4.4,,XII,14003,434
statement,6.4.5,Lemme 6.4.5,XII,14009,434
statement,,Démonstration,XII,14021,435
equation,6.4.6,,XII,14043,436
equation,6.4.7,,XII,14050,436
equation,6.4.8,,XII,14062,436
equation,6.4.9,,XII,14068,436
section,,7. Commentaires sur les conditions de validité de la formule de Lefschetz,XII,14075,437
statement,7.1,7.1,XII,14077,437
section,,Exposé XII (suite et fin),XII,14103,438
statement,7.2,Proposition 7.2,XII,14105,438
diagram,D179,tikzcd,XII,14138,439
diagram,D180,tikzcd,XII,14142,439
statement,7.3,Exemple 7.3,XII,14165,440
section,,Exposé XV,XV,14202,442
statement,1,§ 1. Morphisme de Frobenius,XV,14210,442
statement,1,Définition 1,XV,14214,442
statement,2,Définition 2,XV,14230,443
diagram,D181,tikzcd,XV,14236,443
diagram,D182,tikzpicture,XV,14251,444
statement,3,Définition 3,XV,14278,445
statement,1,Proposition 1,XV,14288,445
diagram,D183,tikzcd,XV,14292,445
statement,2,Proposition 2,XV,14313,446
statement,4,4. Morphisme de Frobenius itéré; préschémas parfaits,XV,14474,452
statement,4,Définition 4,XV,14494,452
section,,§ 2. Correspondance de Frobenius,XV,14508,453
statement,1,1. Définition,XV,14510,453
statement,1,Définition 1,XV,14534,454
statement,1,Proposition 1,XV,14571,455
diagram,D184,tikzcd,XV,14622,457
statement,2,2. Effet sur la cohomologie,XV,14647,458
statement,2,Proposition 2,XV,14649,458
statement,3,3. Comportement des produits,XV,14704,460
statement,3,Proposition 3,XV,14720,460
statement,,Corollaire,XV,14746,461
diagram,D185,tikzpicture,XV,14761,462
section,,§ 3. La fonction $L$,XV,14832,464
statement,1,1. Définition,XV,14834,465
statement,1,Proposition 1,XV,14892,467
statement,2,2. Énoncé du théorème de rationalité et réduction au cas d'une courbe,XV,14920,468
statement,,Théorème,XV,14922,468
equation,1,,XV,14926,468
statement,1,Lemme 1,XV,14948,469
statement,,Corollaire,XV,14971,469
statement,2,Lemme 2,XV,14985,470
statement,3,Lemme 3,XV,15007,471
statement,3,3. Démonstration du théorème,XV,15041,472
equation,2,,XV,15065,473
equation,2',,XV,15089,474
statement,2,Proposition 2,XV,15095,474
equation,2'',,XV,15099,474
equation,3,,XV,15106,474
statement,1,Lemme 1,XV,15164,476
statement,,Remarque,XV,15180,477
statement,2,Lemme 2,XV,15184,477
statement,3,Lemme 3,XV,15202,478
statement,,Corollaire,XV,15213,478
section,,Index terminologique,?,15267,
section,,Index des notations,?,15326,
