record,filename,class_hint,pages,text_pages,median_body_size,p10_body_size,p90_body_size,page_median_min,page_median_max,page_median_range,page_size_set,likely_scan_or_reference,warnings,bytes
non_eu,60-01 Islamic Original - al-Kashi - Miftah al-Hisab.pdf,reader,27,27,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,216035
non_eu,60-02 Islamic Original - al-Khwarizmi - Algebra.pdf,reader,32,32,10.91,10.76,10.91,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,212240
non_eu,60-03 Islamic Original - al-Tusi - Shakl al-Qatta.pdf,reader,16,16,10.91,10.91,11.45,10.91,11.96,1.05,595x842,False,,165758
non_eu,60-04 Islamic Original - Omar Khayyam - Treatise on Algebra.pdf,reader,15,15,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,125405
non_eu,60-05 Islamic Original - Ruska - Oldest Arabic Algebra (1917).pdf,reader,60,60,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,403612
non_eu,60-06 Islamic Original - Rosen - Algebra of Mohammed Ben Musa.pdf,reader,42,42,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,305968
non_eu,60-07 Islamic Original - Robert of Chester and Karpinski.pdf,reader,28,27,10.91,10.91,10.91,9.96,14.35,4.39,595x842,False,inconsistent-page-font-size,158674
non_eu,70-01 Reference Text - Said al-Andalusi - Tabaqat al-Umam.pdf,reader,15,15,11.96,10.91,12.55,10.91,13.75,2.84,595x842,False,inconsistent-page-font-size,146407
non_eu,70-02 Reference Text - al-Muqaddasi - Ahsan al-Taqasim.pdf,reader,10,10,11.16,9.96,11.16,9.96,12.22,2.26,595x842,False,inconsistent-page-font-size,111398
non_eu,70-03 Reference Text - Ibn al-Nadim - Kitab al-Fihrist.pdf,reader,11,11,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,105555
non_eu,70-04 Reference Text - Ibn al-Qifti - Tarikh al-Hukama.pdf,reader,10,10,10.91,10.91,10.91,10.91,12.0,1.09,595x842,False,,108365
non_eu,70-05 Reference Text - Smith-Karpinski - Numerals.pdf,reader,23,23,10.91,10.91,10.91,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,136739
chinese,00 Index - Chinese Mathematical Classics.pdf,reader,1,1,9.96,9.96,9.96,9.96,9.96,0.0,612x792,False,,39503
chinese,01 Chinese Classics - Combined English Translation Drafts.pdf,reader,483,471,10.91,8.97,10.91,8.97,11.96,2.99,595x842; 842x595,False,inconsistent-page-font-size;mixed-page-sizes,4983205
chinese,02 Chinese Classics - Combined Modern Chinese Renderings.pdf,reader,460,428,10.91,9.96,10.91,8.97,17.22,8.25,595x842,False,inconsistent-page-font-size,4850117
chinese,03 Chinese Classics - Sunzi Suanjing Arabic Translation.pdf,reader,86,83,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,745638
chinese,04 Chinese Classics - Combined Original-Language Drafts.pdf,reader,587,556,10.91,10.91,10.91,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,9113923
chinese,"10-01 English Translation - Nine Chapters, vols. 1-9.pdf",reader,69,64,8.97,8.97,10.91,8.97,10.91,1.94,595x842; 842x595,False,inconsistent-page-font-size;mixed-page-sizes,672980
chinese,"10-02 English Translation - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",reader,144,143,10.91,9.96,10.91,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,1275007
chinese,"10-03 English Translation - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",reader,103,101,10.91,8.97,10.91,8.97,11.96,2.99,595x842,False,inconsistent-page-font-size,1080337
chinese,10-04 English Translation - Sunzi Suanjing.pdf,reader,24,23,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,295948
chinese,"10-05 English Translation - Yang Hui - Xiangjie, parts 1-3.pdf",reader,67,65,9.96,8.97,9.96,8.97,11.96,2.99,595x842,False,inconsistent-page-font-size,865606
chinese,"10-06 English Translation - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",reader,76,75,10.91,9.96,10.91,8.97,11.96,2.99,595x842,False,inconsistent-page-font-size,638971
chinese,"20-01 Modern Chinese - Nine Chapters, vols. 1-9.pdf",reader,43,40,9.96,8.97,10.91,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,611581
chinese,"20-02 Modern Chinese - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",reader,89,82,10.91,9.96,10.91,9.96,10.91,0.95,595x842,False,,1021012
chinese,20-03 Modern Chinese - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,reader,114,107,10.91,9.96,10.91,9.96,10.91,0.95,595x842,False,,722924
chinese,"20-04 Modern Chinese - Qin - Shuxue Jiuzhang, fasc. 1 and 5-9.pdf",reader,74,67,10.91,9.96,10.91,9.96,10.91,0.95,595x842,False,,836240
chinese,20-05 Modern Chinese - Sunzi Suanjing.pdf,reader,18,16,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,216595
chinese,"20-06 Modern Chinese - Yang Hui - Xiangjie, parts 1-3.pdf",reader,82,79,9.96,9.96,17.22,9.96,17.22,7.26,595x842,False,inconsistent-page-font-size;wide-font-size-spread,890261
chinese,"20-07 Modern Chinese - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",reader,40,37,10.91,10.91,10.91,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,536218
chinese,"30-01 Arabic Translation - Li Ye - Ceyuan Haijing, vols. 1-6 and 10-12.pdf",reader,86,83,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,745638
chinese,"40-01 Chinese Original - Nine Chapters, vols. 1-9.pdf",reader,85,82,10.91,10.91,10.91,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,845742
chinese,"40-02 Chinese Original - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",reader,95,90,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,814492
chinese,40-03 Chinese Original - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,reader,119,109,10.91,10.91,11.96,10.91,11.96,1.05,595x842,False,,653034
chinese,40-04 Chinese Original - Li Ye - Ceyuan Haijing geometry.pdf,reader,6,6,11.96,11.96,11.96,11.96,11.96,0.0,595x842,False,,1314861
chinese,"40-05 Chinese Original - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",reader,106,100,10.91,10.91,10.91,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,1145671
chinese,40-06 Chinese Original - Sunzi Suanjing.pdf,reader,33,32,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,262778
chinese,"40-07 Chinese Original - Yang Hui - Xiangjie, parts 1-3.pdf",reader,91,87,10.91,9.96,10.91,9.96,10.91,0.95,595x842,False,,829536
chinese,"40-08 Chinese Original - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",reader,52,50,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,3208499
indian_sanskrit,00 Index - Indian and Sanskrit Mathematical Classics.pdf,reader,1,1,9.96,9.96,9.96,9.96,9.96,0.0,612x792,False,,37984
indian_sanskrit,01 Indian Classics - Combined English Translation Drafts.pdf,reader,387,373,10.91,9.96,10.91,9.96,12.0,2.04,595x842,False,inconsistent-page-font-size,2604933
indian_sanskrit,02 Indian Classics - Combined Original-Language Drafts.pdf,reader,392,368,10.91,9.96,12.55,8.97,13.75,4.78,595x842,False,inconsistent-page-font-size;wide-font-size-spread,2378035
indian_sanskrit,10-07 English Translation - Aryabhata - Aryabhatiya.pdf,reader,20,20,9.96,9.96,9.96,9.96,10.91,0.95,595x842,False,,133286
indian_sanskrit,"10-08 English Translation - Bhaskara II - Bijaganita, parts 1-3.pdf",reader,61,59,9.96,9.96,10.91,9.96,10.91,0.95,595x842,False,,371571
indian_sanskrit,10-09 English Translation - Bhaskara II - Lilavati.pdf,reader,23,22,9.96,9.96,10.91,9.96,10.91,0.95,595x842,False,,152750
indian_sanskrit,10-10 English Translation - Brahmagupta - Brahmasphutasiddhanta.pdf,reader,283,272,10.91,9.96,10.91,9.96,12.0,2.04,595x842,False,inconsistent-page-font-size,1936966
indian_sanskrit,50-01 Indian Original - Aryabhata - Aryabhatiya.pdf,reader,18,18,9.96,9.96,9.96,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,152321
indian_sanskrit,"50-02 Indian Original - Bhaskara II - Bijaganita, parts 1-3.pdf",reader,81,79,10.91,10.91,12.0,10.31,13.75,3.44,595x842,False,inconsistent-page-font-size,444712
indian_sanskrit,50-03 Indian Original - Bhaskara II - Lilavati.pdf,reader,14,14,9.96,9.96,9.96,8.97,9.96,0.99,595x842,False,,143987
indian_sanskrit,50-04 Indian Original - Brahmagupta - Brahmasphutasiddhanta.pdf,reader,279,257,10.91,10.91,12.55,9.96,13.75,3.79,595x842,False,inconsistent-page-font-size,1624656
islamic_arabic,00 Index - Islamic and Arabic Mathematical Texts.pdf,reader,1,1,9.96,9.96,9.96,9.96,9.96,0.0,612x792,False,,40444
islamic_arabic,01 Islamic and Arabic Texts - Combined English Translation Drafts.pdf,reader,280,242,9.96,9.96,10.91,8.97,11.96,2.99,595x842,False,inconsistent-page-font-size,1616437
islamic_arabic,02 Islamic and Arabic Texts - Combined Original and Reference Drafts.pdf,reference,748,672,7.31,6.43,10.91,4.76,12.0,7.24,296x516; 304x540; 427x718; 501x754; 510x769; 595x842; 766x514; 768x523; 778x523,True,mixed-page-sizes,28541193
islamic_arabic,10-11 English Translation - al-Kashi - Miftah al-Hisab.pdf,reader,34,34,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,178642
islamic_arabic,10-12 English Translation - al-Khwarizmi - Algebra.pdf,reader,45,29,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,168424
islamic_arabic,10-13 English Translation - al-Tusi - Shakl al-Qatta.pdf,reader,22,22,10.91,10.91,10.91,10.46,11.45,0.99,595x842,False,,173860
islamic_arabic,10-14 English Translation - Robert of Chester and Karpinski.pdf,reader,44,25,9.96,9.96,10.91,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,172427
islamic_arabic,10-15 English Translation - Omar Khayyam - Treatise on Algebra.pdf,reader,18,16,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,132863
islamic_arabic,10-16 English Translation - Rosen - Algebra of Mohammed Ben Musa.pdf,reader,52,51,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,329226
islamic_arabic,10-17 English Translation - Ruska - Oldest Arabic Algebra.pdf,reader,65,65,9.96,9.96,9.96,8.97,9.96,0.99,595x842,False,,438779
islamic_arabic,60-01 Islamic Original - al-Kashi - Miftah al-Hisab.pdf,reader,26,25,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,161176
islamic_arabic,60-02 Islamic Original - al-Khwarizmi - Algebra.pdf,reader,47,32,10.91,10.91,10.91,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,203308
islamic_arabic,60-03 Islamic Original - al-Tusi - Shakl al-Qatta.pdf,reader,16,16,10.91,10.91,12.0,10.91,12.0,1.09,595x842,False,,131328
islamic_arabic,60-04 Islamic Original - Omar Khayyam - Treatise on Algebra.pdf,reader,16,15,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,120423
islamic_arabic,60-05 Islamic Original - Ruska - Oldest Arabic Algebra (1917).pdf,reader,61,60,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,336277
islamic_arabic,60-06 Reference Scan - Rosen - Algebra of Mohammed Ben Musa (1831).pdf,reference,378,352,6.89,6.23,7.09,4.76,8.5,3.74,296x516; 304x540,True,mixed-page-sizes,18890784
islamic_arabic,60-07 Reference Scan - Robert of Chester and Karpinski (1915).pdf,reference,204,172,7.2,6.4,8.44,5.36,11.81,6.45,427x718; 501x754; 510x769; 766x514; 768x523; 778x523,True,mixed-page-sizes,8696341
historical_references,00 Index - Historical Reference Texts.pdf,reader,1,1,9.96,9.96,9.96,9.96,9.96,0.0,612x792,False,,40435
historical_references,01 Historical Reference Texts - Combined English Translation Drafts.pdf,reader,63,57,10.91,9.96,10.91,8.97,10.96,1.99,595x842,False,inconsistent-page-font-size,454282
historical_references,02 Historical Reference Texts - Combined Source Drafts.pdf,reader,73,67,10.91,10.91,11.46,8.97,13.75,4.78,595x842,False,inconsistent-page-font-size,544660
historical_references,10-18 English Translation - al-Muqaddasi - Ahsan al-Taqasim.pdf,reader,15,9,10.96,10.96,10.96,10.96,10.96,0.0,595x842,False,,56699
historical_references,10-19 English Translation - Ibn al-Nadim - Kitab al-Fihrist.pdf,reader,19,19,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,142473
historical_references,10-20 English Translation - Said al-Andalusi - Tabaqat al-Umam.pdf,reader,12,12,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,123215
historical_references,10-21 English Translation - Smith-Karpinski - Numerals.pdf,reader,17,17,10.91,9.96,10.91,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,131047
historical_references,70-01 Reference Text - Said al-Andalusi - Tabaqat al-Umam.pdf,reader,14,14,10.91,10.91,12.55,10.91,13.75,2.84,595x842,False,inconsistent-page-font-size,137708
historical_references,70-02 Reference Text - al-Muqaddasi - Ahsan al-Taqasim.pdf,reader,15,9,11.46,11.46,11.46,11.46,11.46,0.0,595x842,False,,56619
historical_references,70-03 Reference Text - Ibn al-Nadim - Kitab al-Fihrist.pdf,reader,11,11,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,96897
historical_references,70-04 Reference Text - Ibn al-Qifti - Tarikh al-Hukama.pdf,reader,10,10,10.91,10.91,10.91,10.91,11.96,1.05,595x842,False,,101949
historical_references,70-05 Reference Text - Smith-Karpinski - Numerals.pdf,reader,23,23,10.91,10.91,10.91,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,150678
deligne,"00 Deligne - English Translation Supplements for Papers 42, 45, 56, 57, and 58.pdf",reader,39,39,10.91,10.91,10.91,10.91,10.95,0.04,595x842,False,,824368
deligne,00-032 Deligne - The Weil Conjecture II - English Translation through Section 1.8.pdf,reader,36,36,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,221404
deligne,00-069 Deligne - Action of the Braid Group on a Category - English Translation.pdf,reader,13,13,10.91,10.91,10.91,10.91,10.92,0.01,595x842,False,,314183
deligne,00-070 Deligne - Some Master Ideas of Grothendiecks Work - English Translation.pdf,reader,7,7,10.91,10.91,10.92,10.91,10.92,0.01,595x842,False,,253575
deligne,00-071 Deligne - Cohomology Algebra Complement - English Translation.pdf,reader,14,14,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,121810
deligne,00-083 Deligne - The Nagata Embedding Theorem - English Translation.pdf,reader,7,7,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,77509
deligne,00-084 Deligne - Finiteness of the Extension Generated by Frobenius Traces - English Translation.pdf,reader,17,17,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,130400
deligne,00-085 Deligne - Multizetas after Francis Brown - English Translation.pdf,reader,20,20,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,160617
deligne,00-087 Deligne - Semisimplicity of Tensor Products in Characteristic p - English Translation.pdf,reader,22,22,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,169982
deligne,00-088 Deligne - Counting l-adic Sheaves - English Translation.pdf,reader,22,22,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,181664
classical,"Cayley - Collected Mathematical Papers, Volume I, pages 126-150 - Repaired LaTeX Slice.pdf",reader,26,26,11.96,11.96,11.96,11.96,11.96,0.0,595x842,False,,358534
classical,"Cayley - Collected Mathematical Papers, Volume II, pages 026-050 - Repaired LaTeX Slice.pdf",reader,21,21,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,325545
classical,"Cayley - Collected Mathematical Papers, Volume II, pages 051-075 - Repaired LaTeX Slice.pdf",reader,19,19,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,352894
classical,"Cayley - Collected Mathematical Papers, Volume II, pages 076-104 - Repaired LaTeX Slice.pdf",reader,22,22,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,372782
classical,"Cayley - Collected Mathematical Papers, Volume II, pages 105-156 - Repaired LaTeX Slice.pdf",reader,19,19,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,311381
classical,"Cayley - Collected Mathematical Papers, Volume II, pages 157-200 - Repaired LaTeX Slice.pdf",reader,23,23,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,322012
classical,"Cayley - Collected Mathematical Papers, Volume III, pages 001-025 - Repaired LaTeX Slice.pdf",reader,18,15,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,280111
classical,"Cayley - Collected Mathematical Papers, Volume III, pages 026-050 - Repaired LaTeX Slice.pdf",reader,25,25,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,289322
classical,"Cayley - Collected Mathematical Papers, Volume III, pages 051-075 - Repaired LaTeX Slice.pdf",reader,25,25,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,309479
classical,"Cayley - Collected Mathematical Papers, Volume III, pages 076-100 - Repaired LaTeX Slice.pdf",reader,25,25,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,268234
classical,"Cayley - Collected Mathematical Papers, Volume IV, pages 026-050 - Repaired LaTeX Slice.pdf",reader,34,30,10.91,10.91,10.91,8.97,10.91,1.94,468x684,False,inconsistent-page-font-size,377901
classical,"Cayley - Collected Mathematical Papers, Volume IV, pages 051-075 - Repaired LaTeX Slice.pdf",reader,25,25,10.91,10.91,10.91,10.91,10.91,0.0,504x720,False,,317184
classical,"Cayley - Collected Mathematical Papers, Volume IV, pages 076-100 - Repaired LaTeX Slice.pdf",reader,22,22,10.91,10.91,10.91,10.91,10.91,0.0,504x720,False,,358035
classical,"Cayley - Collected Mathematical Papers, Volume IV, pages 101-150 - Repaired LaTeX Slice.pdf",reader,40,40,10.91,8.97,10.91,8.97,10.91,1.94,504x720,False,inconsistent-page-font-size,494810
classical,"Cayley - Collected Mathematical Papers, Volume IV, pages 151-175 - Repaired LaTeX Slice.pdf",reader,25,24,10.91,8.97,10.91,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,365414
classical,"Cayley - Collected Mathematical Papers, Volume IV, pages 176-200 - Repaired LaTeX Slice.pdf",reader,26,26,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,274835
classical,"Cayley - Collected Mathematical Papers, Volume IV, pages 201-225 - Repaired LaTeX Slice.pdf",reader,26,26,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,262823
classical,"Cayley - Collected Mathematical Papers, Volume IV, paper 234 - Repaired LaTeX Slice.pdf",reader,4,4,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,155147
classical,"Cayley - Collected Mathematical Papers, Volume IV, paper 261 section 8 - Repaired LaTeX Slice.pdf",reader,1,1,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,67038
classical,"Cayley - Collected Mathematical Papers, Volume IX, pages 026-037 - Repaired LaTeX Slice.pdf",reader,11,11,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,253184
classical,"Cayley - Collected Mathematical Papers, Volume IX, pages 501-525 - Repaired LaTeX Slice.pdf",reader,20,20,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,320746
classical,"Cayley - Collected Mathematical Papers, Volume IX, pages 576-600 - Repaired LaTeX Slice.pdf",reader,18,18,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,272696
classical,"Cayley - Collected Mathematical Papers, Volume V, pages 001-025 - Repaired LaTeX Slice.pdf",reader,40,40,10.91,10.91,10.91,10.91,10.91,0.0,468x684,False,,288585
classical,"Cayley - Collected Mathematical Papers, Volume V, pages 026-050 - Repaired LaTeX Slice.pdf",reader,23,23,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,302195
classical,"Cayley - Collected Mathematical Papers, Volume V, pages 051-075 - Repaired LaTeX Slice.pdf",reader,17,17,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,413241
classical,"Cayley - Collected Mathematical Papers, Volume V, pages 076-100 - Repaired LaTeX Slice.pdf",reader,23,23,10.91,10.91,10.91,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,334740
classical,"Cayley - Collected Mathematical Papers, Volume V, pages 101-125 - Repaired LaTeX Slice.pdf",reader,26,26,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,302435
classical,"Cayley - Collected Mathematical Papers, Volume V, pages 151-200 - Repaired LaTeX Slice.pdf",reader,23,23,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,370129
classical,"Cayley - Collected Mathematical Papers, Volume VI, pages 001-050 - Repaired LaTeX Slice.pdf",reader,25,25,11.96,11.96,11.96,11.96,11.96,0.0,595x842,False,,300557
classical,"Cayley - Collected Mathematical Papers, Volume VI, pages 051-100 - Repaired LaTeX Slice.pdf",reader,47,47,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,315060
classical,"Cayley - Collected Mathematical Papers, Volume VI, pages 101-150 - Repaired LaTeX Slice.pdf",reader,31,31,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,141428
classical,"Cayley - Collected Mathematical Papers, Volume VI, pages 151-200 - Repaired LaTeX Slice.pdf",reader,56,54,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,357182
classical,"Cayley - Collected Mathematical Papers, Volume VI, pages 201-250 - Repaired LaTeX Slice.pdf",reader,21,21,11.96,11.96,11.97,11.96,12.0,0.04,595x842,False,,352692
classical,"Cayley - Collected Mathematical Papers, Volume VI, pages 251-300 - Repaired LaTeX Slice.pdf",reader,22,22,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,292768
classical,"Cayley - Collected Mathematical Papers, Volume VI, pages 301-350 - Repaired LaTeX Slice.pdf",reader,14,14,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,228226
classical,"Cayley - Collected Mathematical Papers, Volume VI, pages 351-400 - Repaired LaTeX Slice.pdf",reader,26,26,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,327399
classical,"Cayley - Collected Mathematical Papers, Volume VI, pages 401-450 - Repaired LaTeX Slice.pdf",reader,13,13,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,203630
classical,"Cayley - Collected Mathematical Papers, Volume VI, pages 451-500 - Repaired LaTeX Slice.pdf",reader,24,24,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,406075
classical,"Cayley - Collected Mathematical Papers, Volume VI, pages 501-550 - Repaired LaTeX Slice.pdf",reader,39,39,10.91,10.91,10.91,10.91,10.91,0.0,504x720,False,,372151
classical,"Cayley - Collected Mathematical Papers, Volume VI, pages 551-600 - Repaired LaTeX Slice.pdf",reader,50,50,11.96,11.96,11.96,11.96,11.96,0.0,595x842,False,,334652
classical,"Cayley - Collected Mathematical Papers, Volume VI, pages 601-636 - Repaired LaTeX Slice.pdf",reader,39,35,10.91,10.91,10.91,10.91,11.96,1.05,595x842,False,,334646
classical,"Cayley - Collected Mathematical Papers, Volume VII, pages 001-025 - Repaired LaTeX Slice.pdf",reader,22,22,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,325800
classical,"Cayley - Collected Mathematical Papers, Volume VII, pages 026-050 - Repaired LaTeX Slice.pdf",reader,22,22,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,267975
classical,"Cayley - Collected Mathematical Papers, Volume VII, pages 051-075 - Repaired LaTeX Slice.pdf",reader,20,20,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,292498
classical,"Cayley - Collected Mathematical Papers, Volume VII, pages 076-100 - Repaired LaTeX Slice.pdf",reader,22,22,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,293112
classical,"Cayley - Collected Mathematical Papers, Volume VII, pages 101-125 - Repaired LaTeX Slice.pdf",reader,22,22,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,297826
classical,"Cayley - Collected Mathematical Papers, Volume VII, paper 445 - Repaired LaTeX Slice.pdf",reader,25,25,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,237766
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 001-016 - Repaired LaTeX Slice.pdf",reader,15,15,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,203805
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 017-066 - Repaired LaTeX Slice.pdf",reader,52,52,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,483204
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 067-116 - Repaired LaTeX Slice.pdf",reader,45,45,10.91,7.97,10.91,5.98,10.91,4.93,595x842; 842x595,False,inconsistent-page-font-size;wide-font-size-spread;mixed-page-sizes,431514
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 117-166 - Repaired LaTeX Slice.pdf",reader,42,42,10.91,10.91,10.91,10.91,10.91,0.0,595x842; 842x595,False,mixed-page-sizes,460424
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 167-216 - Repaired LaTeX Slice.pdf",reader,43,43,10.91,9.96,10.91,9.96,10.91,0.95,595x842; 842x595,False,mixed-page-sizes,420046
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 217-241 - Repaired LaTeX Slice.pdf",reader,23,23,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,219947
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 242-266 - Repaired LaTeX Slice.pdf",reader,25,25,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,236015
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 267-291 - Repaired LaTeX Slice.pdf",reader,25,25,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,252667
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 292-303 - Repaired LaTeX Slice.pdf",reader,10,10,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,204793
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 304-316 - Repaired LaTeX Slice.pdf",reader,13,13,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,192358
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 317-366 - Repaired LaTeX Slice.pdf",reader,50,50,8.97,5.98,9.96,7.97,10.91,2.94,595x842,False,inconsistent-page-font-size,554818
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 367-416 - Repaired LaTeX Slice.pdf",reader,41,41,10.91,7.97,11.0,9.96,10.91,0.95,595x842; 842x595,False,mixed-page-sizes,509925
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 417-441 - Repaired LaTeX Slice.pdf",reader,26,26,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,248353
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 442-466 - Repaired LaTeX Slice.pdf",reader,25,25,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,268544
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 467-516 - Repaired LaTeX Slice.pdf",reader,48,48,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,419156
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 517-528 - Repaired LaTeX Slice.pdf",reader,12,12,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,198447
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 529-541 - Repaired LaTeX Slice.pdf",reader,13,13,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,205373
classical,"Cayley - Collected Mathematical Papers, Volume VIII, pages 542-566 - Repaired LaTeX Slice.pdf",reader,25,25,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,258187
