filename,bytes,severity,reasons,pages,text_chars,blank_or_near_blank_text_pages,blank_or_near_blank_count,garbage_chars_total,garbage_chars_by_char,garbage_by_page,process_hits
"20-07 Modern Chinese - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",574371,review,process_hits=2,41,47103,[27],1,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'ype - Modern Chinese. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 新編算學啓蒙・卷上 文言文/ 白話文對照版 Classical Chinese / Modern Chinese Bilingual Ed'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': '2 Modern Chinese Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Modern Chinese. \x88 The visible PDF is the front-facing translation reader; source TeX and support materi'}]"
"30-01 Arabic Translation - Li Ye - Ceyuan Haijing, vols. 1-6 and 10-12.pdf",788057,review,process_hits=2,87,154305,"[3, 28]",2,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': '- Arabic Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 測圓海鏡 ﻣﺮﺁﺓﺍﻟﺒﺤﺮﻟﻘﻴﺎﺱﺍﻟﺪﺍﺋﺮﺓ Ceyuan Haijing —Sea Mirror of Circle Measu'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'abic Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Arabic Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support ma'}]"
"30-02 Arabic Translation - Qin - Shuxue Jiuzhang, fasc. 1 and 4.pdf",560475,review,process_hits=2,53,84952,[],0,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': '- Arabic Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 Qin Jiushao – Shuxue Jiuzhang – Fascicle I 1 [Path=/mnt/agents/fonts/'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'abic Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Arabic Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support ma'}]"
"30-03 Arabic Translation - Yang Hui - Xiangjie, part 1.pdf",49915,review,process_hits=2,8,21113,[8],1,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': '- Arabic Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 titlecolor \uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff \uffff\uffff\uffff\uffff /\uffff\uffff\uffff\uffff \uffff\uffff\uffff\uffff\uffff\uffff\uffff \uffff\uffff\uffff\uffff\uffff\uffff \uffff\uffff\uffff \uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff /\uffff\uffff\uffff\uffff\uffff\uffff'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'abic Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Arabic Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support ma'}]"
30-04 Arabic Translation - al-Kashi - Miftah al-Hisab.pdf,173814,review,process_hits=2; many_blank_text_pages=10,39,21877,"[3, 4, 5, 7, 11, 15, 19, 27, 31, 33]",10,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': '- Arabic Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 ﺑﺴﻢﺍﻪﻠﻟﺍﻟﺮﺣﻤﻦﺍﻟﺮﺣﻴﻢ ﻣﻔﺘﺎﺡﺍﻟﺤﺴﺎﺏ Miftah al-Hisab (Key to Arithmetic) -'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'abic Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Arabic Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support ma'}]"
30-05 Arabic Translation - al-Khwarizmi - Algebra.pdf,200533,review,process_hits=2,61,53603,[43],1,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': '- Arabic Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 1 \uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff \uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'abic Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Arabic Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support ma'}]"
30-06 Arabic Translation - Omar Khayyam - Treatise on Algebra.pdf,137893,review,process_hits=2,15,15268,[],0,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': '- Arabic Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 ﻋﻤﺮﺍﻟﺨﻴﺎﻡ (1048–1131 \uffff/ 440–517 (\uffff\uffff ﺭﺳﺎﻟﺔﻓﻲﺑﺮﺍﻫﻴﻦﺍﻟﺠﺒﺮﻭﺍﻟﻤﻘﺎﺑﻠﺔ ﺻﻨﺎﻋﺔ'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'abic Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Arabic Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support ma'}]"
"40-01 Chinese Original - Nine Chapters, vols. 1-9.pdf",820237,review,process_hits=1,85,86935,"[60, 61, 85]",3,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'Chinese Original Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Chinese Original. \x88 This PDF is the current original-language and reference modern LaTeX reader for che'}]"
"40-02 Chinese Original - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",868095,review,garbage_chars=498; process_hits=1,96,98427,"[25, 71]",2,498,"{'■': 2, '□': 496}","[{'page': 47, 'garbage_chars': 1}, {'page': 48, 'garbage_chars': 28}, {'page': 49, 'garbage_chars': 30}, {'page': 50, 'garbage_chars': 19}, {'page': 51, 'garbage_chars': 21}, {'page': 52, 'garbage_chars': 20}, {'page': 53, 'garbage_chars': 16}, {'page': 54, 'garbage_chars': 8}, {'page': 55, 'garbage_chars': 22}, {'page': 56, 'garbage_chars': 31}, {'page': 57, 'garbage_chars': 33}, {'page': 58, 'garbage_chars': 29}, {'page': 59, 'garbage_chars': 43}, {'page': 60, 'garbage_chars': 22}, {'page': 61, 'garbage_chars': 28}, {'page': 62, 'garbage_chars': 24}, {'page': 63, 'garbage_chars': 14}, {'page': 64, 'garbage_chars': 23}, {'page': 65, 'garbage_chars': 40}, {'page': 66, 'garbage_chars': 29}, {'page': 67, 'garbage_chars': 16}, {'page': 69, 'garbage_chars': 1}]","[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'Chinese Original Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Chinese Original. \x88 This PDF is the current original-language and reference modern LaTeX reader for che'}]"
40-03 Chinese Original - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,688888,review,process_hits=1,120,104726,"[4, 39, 82]",3,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'Chinese Original Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Chinese Original. \x88 This PDF is the current original-language and reference modern LaTeX reader for che'}]"
40-04 Chinese Original - Li Ye - Ceyuan Haijing geometry.pdf,1346315,review,process_hits=1,7,6696,[],0,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'Chinese Original Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Chinese Original. \x88 This PDF is the current original-language and reference modern LaTeX reader for che'}]"
"40-05 Chinese Original - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",1127745,review,process_hits=1,105,112074,[],0,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'Chinese Original Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Chinese Original. \x88 This PDF is the current original-language and reference modern LaTeX reader for che'}]"
40-06 Chinese Original - Sunzi Suanjing.pdf,230248,review,process_hits=1,34,11930,"[2, 4, 34]",3,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'Chinese Original Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Chinese Original. \x88 This PDF is the current original-language and reference modern LaTeX reader for che'}]"
"40-07 Chinese Original - Yang Hui - Xiangjie, parts 1-3.pdf",730588,review,process_hits=1,92,51423,"[60, 62]",2,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'Chinese Original Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Chinese Original. \x88 This PDF is the current original-language and reference modern LaTeX reader for che'}]"
"40-08 Chinese Original - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",1731452,review,process_hits=2,55,56396,[],0,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'Chinese Original Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Chinese Original. \x88 This PDF is the current original-language and reference modern LaTeX reader for che'}, {'pattern': '\\bplaceholder\\b', 'match': 'placeholder', 'context': 'in the history of math- ematics: • Symbolic algebra: The use of “元” (yuan) as a placeholder for the unknown predates European alge- braic notation by centuries. • Polynomial equations: Chinese mathematicians cou'}]"
50-01 Indian Original - Aryabhata - Aryabhatiya.pdf,119773,review,process_hits=1,16,7854,[6],1,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'Indian Original Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Indian Original. \x88 This PDF is the current original-language and reference modern LaTeX reader for chec'}]"
"50-02 Indian Original - Bhaskara II - Bijaganita, parts 1-3.pdf",356608,review,process_hits=1,79,40157,"[3, 4, 7, 42, 68]",5,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'Indian Original Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Indian Original. \x88 This PDF is the current original-language and reference modern LaTeX reader for chec'}]"
50-03 Indian Original - Bhaskara II - Lilavati.pdf,107927,review,process_hits=1,15,6522,"[4, 15]",2,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'Indian Original Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Indian Original. \x88 This PDF is the current original-language and reference modern LaTeX reader for chec'}]"
50-04 Indian Original - Brahmagupta - Brahmasphutasiddhanta.pdf,1695351,review,process_hits=1,280,332582,"[53, 72, 91, 92, 93, 95, 96, 120, 122, 134, 149, 171, 199, 224, 263]",15,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'Indian Original Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Indian Original. \x88 This PDF is the current original-language and reference modern LaTeX reader for chec'}]"
60-01 Islamic Original - al-Kashi - Miftah al-Hisab.pdf,199246,review,process_hits=1,27,33286,[3],1,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'Islamic Original Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Islamic Original. \x88 This PDF is the current original-language and reference modern LaTeX reader for che'}]"
60-02 Islamic Original - al-Khwarizmi - Algebra.pdf,236356,review,process_hits=2,48,47774,"[15, 37]",2,0,{},[],"[{'pattern': '\\bCodex\\b', 'match': 'codex', 'context': 'd (MS Hunt. 214, fols. 1–123), copied in 743 AH / 1342 CE. It forms part of the codex designated CMXXVIII, which also contains three other treatises on arithmetic and algebra. Editions and Translations: [1'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'Islamic Original Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Islamic Original. \x88 This PDF is the current original-language and reference modern LaTeX reader for che'}]"
60-03 Islamic Original - al-Tusi - Shakl al-Qatta.pdf,165536,review,process_hits=1,17,28677,[],0,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'Islamic Original Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Islamic Original. \x88 This PDF is the current original-language and reference modern LaTeX reader for che'}]"
60-04 Islamic Original - Omar Khayyam - Treatise on Algebra.pdf,154990,review,process_hits=1,17,19528,[],0,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'Islamic Original Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Islamic Original. \x88 This PDF is the current original-language and reference modern LaTeX reader for che'}]"
60-05 Islamic Original - Ruska - Oldest Arabic Algebra (1917).pdf,371683,review,process_hits=1,62,191509,[],0,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'Islamic Original Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Islamic Original. \x88 This PDF is the current original-language and reference modern LaTeX reader for che'}]"
60-06 Reference Scan - Rosen - Algebra of Mohammed Ben Musa (1831).pdf,18890784,ok,,378,351621,"[1, 3, 4, 5, 6, 7, 8, 10, 233, 357, 359, 369, 370, 371, 372, 373, 374, 375, 376, 378]",20,0,{},[],[]
60-07 Reference Scan - Robert of Chester and Karpinski (1915).pdf,8696341,review,process_hits=10,204,434668,"[1, 3, 4, 5, 6, 7, 11, 16, 18, 59, 60, 61, 62, 71, 72, 73, 74, 90, 91, 92, 94, 119, 188, 199, 200]",29,0,{},[],"[{'pattern': '\\bCodex\\b', 'match': 'Codex', 'context': ""TA MELBOURNE THE MACMILLAN CO. OF CANADA, Ltd. TORONTO Plate I. no lillli 4^^ Codex Vindobonensfs 4770, Fol. 1'''. ROBERT OF CHESTER'S LATIN TRANSLATION OF THE ALGEBRA OF AL-KHOWARIZMI WITH JN INTRODUCT""}, {'pattern': '\\bCodex\\b', 'match': 'Codex', 'context': ""Fakhri, p. 29. ' The Algebra of Abu Kaviil, loc. cit. ^Scritti, Vol. I, p. i. 5 Codex Palat. 567, Biblioteca Nazionale, Florence. * Ghaligai, Pratica d^arithinetica (Florence, 1552) ; Aurel, Libro primera,""}, {'pattern': '\\bCodex\\b', 'match': 'Codex', 'context': ""also in Zeitschrift f. Math, uiid Physik, Hist.-Ut. Abtheil., Vol. 45, 1900. ^ Codex Dresden C. 80. 3 Woepcke, Atti delV accad. pont. de' nuovi Lincei, Vol. XII (Rome, 1859), 230-275, 399-438- * Berlet, l""}, {'pattern': '\\bCodex\\b', 'match': 'Codex', 'context': 'paragraphs are found also in a manuscript of the University Library at Leipzig, Codex Lips. 1470. I am indebted for information concerning this manuscript to the courtesy of Director Boysen and Dr. Helssig'}, {'pattern': '\\bCodex\\b', 'match': 'Codex', 'context': 'nd 1487. The passage referred to was in all probability copied from the Dresden Codex C. 80. Apparently Wellendorfer had the intention of copying the algebra entire, for on folio 478^ we find the title, Te'}, {'pattern': '\\bCodex\\b', 'match': 'Codex', 'context': 'ntly possesses a significance which is not at first sight apparent. The Dresden Codex C. So"", of which I have photographic copies through the courtesy of the director of the Dresden library, contains a fra'}, {'pattern': '\\bCodex\\b', 'match': 'Codex', 'context': '. Here these rules * follow closely the Vienna text, whereas similar rules ^ in Codex Dresden C. 80, fol. 35 1% do not. The fragment from Codex Dresden C. 80"" follows "" Incipit liber restauracionis numeri'}, {'pattern': '\\bCodex\\b', 'match': 'Codex', 'context': 'as similar rules ^ in Codex Dresden C. 80, fol. 35 1% do not. The fragment from Codex Dresden C. 80"" follows "" Incipit liber restauracionis numeri quern edidit machumed filius moysi algau- riszmi quare dix'}, {'pattern': '\\bCodex\\b', 'match': 'Codex', 'context': 'other Mss. from the hand of Regiomontanus are preserved in Vienna. The Dresden Codex C. 80 (D) was written in the latter part of the fifteenth century. Wappler^ states that Johann Widmann of Eger, whose a'}, {'pattern': '\\bCodex\\b', 'match': 'Codex', 'context': 't the end of the fifteenth century, transcribed certain portions of the Dresden Codex, but the writer of our text is not known. Adam Riese, in the beginning of the sixteenth century, also used this Ms. The'}]"
70-01 Reference Text - Said al-Andalusi - Tabaqat al-Umam.pdf,170495,review,process_hits=1,15,27124,[],0,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'm Reference Text Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Reference Text. \x88 This PDF is the current original-language and reference modern LaTeX reader for check'}]"
70-02 Reference Text - al-Muqaddasi - Ahsan al-Taqasim.pdf,89646,review,process_hits=1; many_blank_text_pages=6,16,8032,"[2, 4, 8, 9, 14, 15]",6,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'm Reference Text Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Reference Text. \x88 This PDF is the current original-language and reference modern LaTeX reader for check'}]"
70-03 Reference Text - Ibn al-Nadim - Kitab al-Fihrist.pdf,131118,review,process_hits=1,12,18966,[],0,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 't Reference Text Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Reference Text. \x88 This PDF is the current original-language and reference modern LaTeX reader for check'}]"
70-04 Reference Text - Ibn al-Qifti - Tarikh al-Hukama.pdf,135242,review,process_hits=1,11,17932,[],0,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'a Reference Text Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Reference Text. \x88 This PDF is the current original-language and reference modern LaTeX reader for check'}]"
70-05 Reference Text - Smith-Karpinski - Numerals.pdf,186639,review,process_hits=1,24,78276,[],0,0,{},[],"[{'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': ') Reference Text Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Reference Text. \x88 This PDF is the current original-language and reference modern LaTeX reader for check'}]"
