"scope_coordinate_type","current_rescribe_idx_or_scope","printed_volume_page_or_scope","source_pdf_page_or_scope","highres_pdf_page_or_scope","source_term_or_notation","accepted_english_or_tex","rejected_choice","rationale","location_or_indices","authority_status","coordinate_note","source_ledger"
"current_rescribe_idx","584-588","571--575","578--582","585--589","courbe algebrique propre reguliere et connexe","proper, regular, connected algebraic curve","complete nonsingular connected curve","Preserves the scheme-theoretic source adjectives without silently strengthening them","584-588","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","584-588","571--575","578--582","585--589","K naive","naive K-theory; naive K^bullet","elementary K-theory","Established contrast with the derived/perfect-complex construction","584-588","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","585","572","579","586","morphisme parfait","perfect morphism","finite-Tor map","Authority term and SGA 1--4 usage","585","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","585","572","579","586","anneau de Chern","Chern ring","Chern algebra","Standard term for the graded ring attached to a lambda-ring","585","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","586-588","573--575","580--582","587--589","homomorphisme de specialisation","specialization homomorphism","specialization map","SGA 1--4 style control","586-588","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","587","574","581","588","suite exacte d'homotopie","homotopy exact sequence","localization sequence","Preserves the source's named IX 1.1 result","587","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","587","574","581","588","images inverses","inverse images","pullbacks","Formal lane terminology used in the proof","587","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","588","575","582","589","anneau de Chow","Chow ring","cycle-class ring","Standard intersection-theoretic term","588","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","589-593","576--580","583--586;ABSENT_FOR_IDX=593","590--594","cohomologie l-adique","l-adic cohomology","l-cohomology","Standard terminology and SGA register","589-593","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","589","576","583","590","Module localement libre de type fini","locally free module of finite type","vector-bundle sheaf","Preserves the source's module language","589","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","589-590","576--577","583--584","590--591","theoreme de changement de base propre","proper base change theorem","proper-base-change theorem","Standard English theorem name and SGA 1--4 style","589-590","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","590","577","584","591","597","images inverses","inverse images","pullbacks","590","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","590-591","577--578","584--585","591--592","fibre geometrique","geometric fiber","geometrical fiber","Established algebraic-geometric English","590-591","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","593-596","580--583","587;ABSENT_FOR_IDX=593;595--596","594--597","cycles algebriques","algebraic cycles","algebraic cycle classes","Retains the distinction from quotient cycle classes","593-596","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","593-596","580--583","587;ABSENT_FOR_IDX=593;595--596","594--597","classe de cohomologie associee","associated cohomology class","attached cohomological class","Idiomatic English faithful to the source","593-596","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","593","580","ABSENT_FOR_IDX=593","594","595","adherence schematique","schematic closure","scheme-theoretic adherence","593","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","595","582","ABSENT_FOR_IDX=595","596","cycle premier","prime cycle","irreducible cycle","Standard cycle-theoretic term for the generator identified with an integral subscheme","595","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","595-596","582--583","ABSENT_FOR_IDX=595--596","596--597","localement equidimensionnel","locally equidimensional","locally pure-dimensional","Matches the source's explicit componentwise definition","595-596","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","595-596","582--583","ABSENT_FOR_IDX=595--596","596--597","moving lemma de Chow","Chow's moving lemma","Chow moving principle","Standard English name retained with the source's cautious formulation","595-596","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","597","584","ABSENT_FOR_IDX=597","598","morphisme de traits","morphism of traits","DVR-base morphism","Preserves the source category and existing volume terminology","597","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","597","584","ABSENT_FOR_IDX=597","598","on fait bouger S","varying S","moving S","Idiomatic section heading without changing its scope","597","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","598","585","588","599","passage aux fibres geometriques","passage to geometric fibers","passing to geometrical fibers","Matches established SGA English and keeps 'fiber' in US spelling","598","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","598","585","588","599","limite inductive","inductive limit","direct limit","Preserves the SGA1--4 house vocabulary for filtered systems","598","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","599","586","589","600","universellement japonais","universally Japanese","universally Nagata","Retains the historical source term instead of silently modernizing it","599","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","601","588","591","602","extension pure","pure extension","pure field extension","Uses the established SGA3 English technical term; it denotes the source's rational/purely transcendental situation, not an arbitrary pure module extension","601","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","601","588","591","602","corps des fractions","fraction field","field of fractions","Matches current algebraic-geometry house style","601","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","602","589","592","603","excellent de caracteristique zero","excellent of characteristic zero","excellent in characteristic zero","The adjective applies to the local ring and the source states its characteristic","602","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","603","590","593","604","groupe de Neron--Severi","Neron--Severi group","group of Neron and Severi","Standard mathematical name and typography","603","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","604","591","594","605","groupes abeliens","abelian groups","commutative groups","The body names category (Ab); the heading keeps the source's broader wording","604","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","606","593","596","607","homomorphisme image directe","direct-image homomorphism","pushforward map","Matches SGA formal vocabulary and makes the variance explicit","606","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","607","594","597","608","preschemas","preschemes","schemes","The bibliographic title is reproduced rather than silently modernized","607","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","608-646","595--633","598--636","609--647","faisceau inversible","invertible sheaf","line bundle","Formal Picard-functor register and established SGA lane usage","608-646","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","608-646","595--633","598--636","609--647","morphisme structural","structural morphism","structure morphism","House terminology in the SGA English controls","608-646","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","616-624","603--611","606--614","617--625","epimorphisme effectif","effective epimorphism","effective surjection","Retains the categorical condition","616-624","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","616-624","603--611","606--614","617--625","immersion nilpotente","nilpotent immersion","nil immersion","Preserves the source adjective","616-624","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","616-624","603--611","606--614","617--625","plat cohomologiquement en dimension n","cohomologically flat in dimension n","cohomologically n-flat","Keeps the dimension qualifier explicit","616-624","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","616-624","603--611","606--614","617--625","faisceau f.p.p.f.","fppf sheaf","f.p.p.f. sheaf","Lane style omits periods in running English","616-624","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","616-624","603--611","606--614","617--625","descente f.p.q.c.","fpqc descent","faithfully flat descent","Retains the exact topology named by the source","616-624","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","616-624","603--611","606--614","617--625","devissage de Oort","Oort's devissage","Oort decomposition","The technical name is retained rather than generalized","616-624","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","625-628","612--615","615--618","626--629","donnee de recollement","gluing datum","patching datum","Matches the established SGA English vocabulary","625-628","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","625-628","612--615","615--618","626--629","donnees de recollement","gluing data","gluing datums","Standard plural in this lane","625-628","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","625-628","612--615","615--618","626--629","donnee de descente effective","effective descent datum","effective gluing datum","Keeps effective descent distinct from raw gluing","625-628","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","625-628","612--615","615--618","626--629","monomorphisme surjectif","surjective monomorphism","surjective immersion","The source explicitly warns the morphism need not be an immersion","625-628","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","629-646","616--633","619--636","630--647","(b)-faisceau","(b)-sheaf","bounded sheaf","The notation names a numerical condition; bounded is a separate defined notion","629-646","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","629-646","616--633","619--636","630--647","m-regulier","m-regular","regular of degree m","Castelnuovo--Mumford terminology","629-646","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","629-646","616--633","619--636","630--647","suite F-reguliere","F-regular sequence","regular sequence for F","Compact standard rendering","629-646","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","629-646","616--633","619--636","630--647","semi-continuite superieure","upper semicontinuity","upper semi-continuity","Lane spelling convention","629-646","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","629-646","616--633","619--636","630--647","polynome de Hilbert","Hilbert polynomial","Hilbert's polynomial","Standard term","629-646","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","635-646","622--633","625--636","636--647","limitee par un faisceau","bounded by a sheaf","limited by a sheaf","Standard moduli-theoretic usage","635-646","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","636-646","623--633","626--636","637--647","systeme projectif filtrant","filtered inverse system","filtered projective system","English prose names the categorical direction; formulas retain inverse limits","636-646","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","636-646","623--633","626--636","637--647","morphisme de transition","transition morphism","bonding map","Formal SGA vocabulary","636-646","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","636-646","623--633","626--636","637--647","de presentation finie","of finite presentation","of finite type","The two finiteness notions remain distinct","636-646","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","646","633","636","647","partie Lambda","subset Lambda","family Lambda","Lambda is a subset of the representing Picard scheme","646","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","646","633","636","647","element neutre","neutral element","identity point","Matches formal group-scheme terminology","646","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","647-665","634--652","637--655","648--666","famille limitee","bounded family","limited family","standard moduli terminology","647-665","MIXED_CERTIFICATION_BOUNDARY_AT_IDX662","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","647-653","634--640","637--643","648--654","morphisme de type fini","morphism of finite type / is of finite type","finite morphism","finite and finite type are different properties","647-653","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","647,652,657","634;639;644","637;642;647","648;653;658","image inverse","inverse image","reverse image","standard mathematical English","647,652,657","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","647-665","634--652","637--655","648--666","faisceau inversible","invertible sheaf","line bundle","keeps the source's sheaf-level formulation","647-665","MIXED_CERTIFICATION_BOUNDARY_AT_IDX662","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","647-665","634--652","637--655","648--666","fibre geometrique","geometric fiber","geometrical fibre","US spelling and standard phrase","647-665","MIXED_CERTIFICATION_BOUNDARY_AT_IDX662","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","650,652,657","637;639;644","640;642;647","651;653;658","schema des zeros","zero scheme","scheme of zeros","compact standard usage","650,652,657","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","648,660,662","635;647;649","638;650;652","649;661;663","presentation de Chow","Chow presentation","Chow representation","established term in this expose","648,660,662","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","656-665","643--652","646--655","657--666","equivalent a zero","equivalent to zero","trivial","equivalence does not mean isomorphism to the trivial sheaf","656-665","MIXED_CERTIFICATION_BOUNDARY_AT_IDX662","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","656-665","643--652","646--655","657--666","tau / superscript T in print","tau","T","tau is the defined equivalence symbol; print's typewriter T is normalized","656-665","MIXED_CERTIFICATION_BOUNDARY_AT_IDX662","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","654,656-657","641;643--644","644;646--647","655;657--658","schema en groupes","group scheme","scheme in groups","standard English terminology","654,656-657","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","656","643","646","657","composante connexe de l'element neutre","connected component of the identity","neutral component","standard English group-scheme wording","656","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","647,661-662","634;648--649","637;651--652","648;662--663","f.p.p.f.","fppf","fpff","standard English abbreviation","647,661-662","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","649,655,662","636;642;649","639;645;652","650;656;663","tres ample","very ample","strongly ample","standard algebraic-geometry term","649,655,662","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","658-665","645--652","648--655","659--666","courbe integre fermee","closed integral curve","closed irreducible curve","integrality also includes reducedness","658-665","MIXED_CERTIFICATION_BOUNDARY_AT_IDX662","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","655,658-665","642;645--652","645;648--655","656;659--666","nombre d'intersection","intersection number","intersection count","standard intersection-theory term","655,658-665","MIXED_CERTIFICATION_BOUNDARY_AT_IDX662","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","663-665","650--652","653--655","664--666","rang","rank","range","algebraic rank is intended","663-665","AFTER_CERTIFIED_IDX662; PENDING_CLAUDE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","659","646","649","660","theoreme de Riemann","Riemann formula","Riemann theorem","the displayed curve formula is named explicitly without overstating scope","659","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","653","640","643","654","revetement etale","etale cover","etale covering space","scheme-theoretic terminology","653","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","647-665","634--652","637--655","648--666","non-vide","nonempty","non-void","idiomatic mathematical English","647-665","MIXED_CERTIFICATION_BOUNDARY_AT_IDX662","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","647-665","634--652","637--655","648--666","noetherien","noetherian","Noetherian","house style uses lowercase for the adjective","647-665","MIXED_CERTIFICATION_BOUNDARY_AT_IDX662","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","651","638","641","652","morphisme resolvant","resolving morphism","resolution map","tracks the source's formulation and cited EGA notion","651","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","agent_idx647_665/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
