recommended_action_band,operational_term_weight_0_100,term_id,concept,source_term,chosen_form_latin,f10_flag,ws_support_score,ws_adverse_competitor_score,writeback_status,required_fix,writeback_note,source_pointer
C_context_candidate_writeback,42.7,ISV-teilerfremd-irreduzible_ideale_in_einem_--vzaimno-prosto-neraz,ideal,,vzaimno-prosto-nerazlozime idealy v nekomutativnom kolcu s jedinicoju,F10-1,1.0,0.0,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper19_terms.json
C_context_candidate_writeback,42.7,ISV-teilerkettensatz_feste_wohlordnung_endli--uslovje_cěpov_dělite,basis,Teilerkettensatz / feste Wohlordnung / endliche Idealbasis,uslovje cěpov děliteljev / fiksovany dobry porjadok / konečna baza ideala,F10-1,1.0,0.0,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper30_section05_terms.json
C_context_candidate_writeback,42.7,ISV-zahlenmäßig_festlegen--čislovo_fiksovati,basis,,čislovo fiksovati,F10-1,1.0,0.0,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper06_section03_terms.json
C_context_candidate_writeback,42.7,ISV-zerlegungssätze--razložne_teoremy,module,,razložne teoremy,F10-1,1.0,0.0,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper19_terms.json;noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
C_context_candidate_writeback,42.7,ISV-zugehöriges_primideal_zu_p_gehören--asociovany_prosty_id,ideal,zugehöriges Primideal / zu p gehören,asociovany prosty ideal / naležati k p,F10-1,1.0,0.0,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper30_section05_terms.json
C_context_candidate_writeback,42.7,ISV-zuordnung--prirędženje,isomorphism,,prirędženje,F10-1,1.0,0.0,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper06_section03_terms.json
C_context_candidate_writeback,42.7,ISV-zusammengehörige_wertsysteme_nullstellen--prinaležne_sistemi_v,group,,prinaležne sistemi veličin / sistem nul,F10-1,1.0,0.0,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper22_terms.json
C_context_candidate_writeback,42.7,ISV-zweiseitige_klassen--dvustranne_klasy,ideal,,dvustranne klasy,F10-1,1.0,0.0,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper19_terms.json
C_context_candidate_writeback,42.7,ISV-übertragungsprinzip_für_die_rationalbasi--princip_prěnosa_za_r,basis,,princip prěnosa za racionalnu bazu,F10-1,1.0,0.0,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper06_section04_terms.json
C_context_candidate_writeback,40.7,ISV-moduldarstellung--modulno_predstavjenj,module,Moduldarstellung,modulno predstavjenje,F10-1,1.0,0.0,Q2_ACCEPT_component_support_after_spotcheck,backfill witness vector from 20-source shelf or mark explicit gap,window is mathematical module/ring context (Bulgarian title: modules over principal ideal rings / finite generated abelian groups),noether_paper24_section06_terms.json
C_context_candidate_writeback,40.7,ISV-modulprodukt--modulny_produkt,module,Modulprodukt,modulny produkt,F10-1,1.0,0.0,Q2_ACCEPT_component_support_after_spotcheck,backfill witness vector from 20-source shelf or mark explicit gap,window is mathematical module/ring context (Bulgarian title: modules over principal ideal rings / finite generated abelian groups),noether_paper34_section08_terms.json
C_context_candidate_writeback,38.7,ISV-algebraic_gebilde--algebraično_obrazova,algebra,,algebraično obrazovanje,F10-1,1.0,0.0,Q3_ACCEPT_component_support_context_ok,backfill witness vector from 20-source shelf or mark explicit gap,algebra appears in mathematical context,noether_paper22_terms.json
C_context_candidate_writeback,38.7,ISV-divisionsalgebra_zugeordnete_divisionsal--dělitvena_algebra_pr,algebra,Divisionsalgebra; zugeordnete Divisionsalgebra,dělitvena algebra; prirěđena dělitvena algebra,F10-1,1.0,0.0,Q3_ACCEPT_component_support_context_ok,backfill witness vector from 20-source shelf or mark explicit gap,algebra appears in mathematical context,noether_paper40_source_fidelity_terms.json
C_context_candidate_writeback,38.7,ISV-eineindeutig_und_isomorph_abbilden--jedno-jednoznačno_i_,isomorphism,,jedno-jednoznačno i izomorfno odobraziti,F10-1,1.0,0.0,Q3_ACCEPT_component_support_context_ok,backfill witness vector from 20-source shelf or mark explicit gap,Spanish definition window explicitly defines ring isomorphism/homomorphism,noether_paper09_introduction_terms.json
C_context_candidate_writeback,38.7,ISV-homomorphismen_von_z_in_omega--homomorfizmy_iz_cent,homomorphism,Homomorphismen von Z in Omega,homomorfizmy iz centra v Omega,F10-1,1.0,0.0,Q3_ACCEPT_component_support_context_ok,backfill witness vector from 20-source shelf or mark explicit gap,Spanish definition window explicitly defines ring isomorphism/homomorphism,noether_paper34_section21_source_fidelity_terms.json
C_context_candidate_writeback,38.7,ISV-operatorhomomorphismus--operatorny_homomorfi,homomorphism,Operatorhomomorphismus,operatorny homomorfizm,F10-1,1.0,0.0,Q3_ACCEPT_component_support_context_ok,backfill witness vector from 20-source shelf or mark explicit gap,Spanish definition window explicitly defines ring isomorphism/homomorphism,noether_paper34_section02_terms.json
C_context_candidate_writeback,38.7,ISV-operatorisomorphie--operatorny_izomorfiz,isomorphism,Operatorisomorphie,operatorny izomorfizm,F10-1,1.0,0.0,Q3_ACCEPT_component_support_context_ok,backfill witness vector from 20-source shelf or mark explicit gap,Spanish definition window explicitly defines ring isomorphism/homomorphism,noether_paper34_section02_terms.json
C_context_candidate_writeback,38.7,ISV-vollständige_matrixalgebra--polna_matrična_algeb,algebra,vollständige Matrixalgebra,polna matrična algebra,F10-1,1.0,0.0,Q3_ACCEPT_component_support_context_ok,backfill witness vector from 20-source shelf or mark explicit gap,algebra appears in mathematical context,noether_paper38_source_fidelity_terms.json
C_context_candidate_writeback,38.7,ISV-zerfallende_algebra_überall_zerfallend--razložena_algebra_po,algebra,zerfallende Algebra; überall zerfallend,razložena algebra; povsudu razložena,F10-1,1.0,0.0,Q3_ACCEPT_component_support_context_ok,backfill witness vector from 20-source shelf or mark explicit gap,algebra appears in mathematical context,noether_paper41_source_fidelity_terms.json
C_context_candidate_writeback,32.7,ISV-die_übrigen_formen--ostale_formy,coefficient,die übrigen Formen,ostale formy,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section15_terms.json
C_context_candidate_writeback,32.7,ISV-faltung_von_s_mit_den_formen_sechster_or--svijanje_s_s_formami,coefficient,Faltung von s mit den Formen sechster Ordnung,svijanje s s formami 6. poręda,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section23_terms.json
C_context_candidate_writeback,32.7,ISV-formen_zehnter_ordnung--formy_desętogo_poręd,coefficient,Formen zehnter Ordnung,formy desętogo poręda,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section15_terms.json;logbook:2026-06-10: Paper 02 §15 Interslavic Decisions
C_context_candidate_writeback,32.7,ISV-lexikographische_anordnung_höchste_glied--leksikografičny_red_,coefficient,lexikographische Anordnung / höchste Glieder,leksikografičny red / najvyšše členy,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper24_section02_terms.json
C_context_candidate_writeback,32.7,ISV-mit_ausnahme_von--s_izključenjem,prime ideal,mit Ausnahme von,s izključenjem,F10-1,0.5968,0.4032,candidate_partial_component_witness_writeback,backfill witness vector from 20-source shelf or mark explicit gap,concept-shelf branch support available but not balanced W+S; may mark partial component evidence only,noether_paper02_section23_terms.json;logbook:2026-06-10: Paper 02 Section 23 Interslavic Decisions
C_context_candidate_writeback,32.7,ISV-ordnung_der_gruppe--red_grupy,coefficient,,red grupy,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper07_terms.json
C_context_candidate_writeback,30.9,ISV-produktdarstellung--produktno_predstavje,polynomial,,produktno predstavjenje,F10-1,0.5469,0.4531,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper19_terms.json
C_context_candidate_writeback,29.9,ISV-durch_dualistisch_entgegengesetzte_betra--po_dualistično_proti,set,durch dualistisch entgegengesetzte Betrachtung,po dualistično protivopoložnom razmatrjenju,F10-1,0.5197,0.4803,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section15_terms.json
C_context_candidate_writeback,29.2,ISV-übergang_zu_endlichen_erweiterungskörper--prěhod_k_konečnym_ra,field,Übergang zu endlichen Erweiterungskörpern,prěhod k konečnym razširjenjam polj,F10-1,0.4996,0.5004,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper30_section03_terms.json
C_context_candidate_writeback,28.7,ISV-nullstelle--nuljeva_točka,equation,,nuljeva točka,F10-1,,,Q3_ACCEPT_generic_equation_component_support,backfill witness vector from 20-source shelf or mark explicit gap,equation term appears in math/algorithm context; generic but valid component evidence,noether_paper34_section22_source_fidelity_terms.json
C_context_candidate_writeback,27.7,ISV-abbildungsfunktionen--funkcije_odobraženja,coefficient,,funkcije odobraženja,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper06_section03_terms.json
C_context_candidate_writeback,27.7,ISV-cyrillic_reader_generation_for_section_1--matematične_proměnne,associated prime ideal,Cyrillic reader generation for Section 15,matematične proměnne i rimske označenja ostavajut zaštićene,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section15_terms.json
C_context_candidate_writeback,27.7,ISV-eigentliche_eliminationstheorie--vlastna_teorija_elim,prime ideal,,vlastna teorija eliminacije,F10-1,0.5968,0.4032,candidate_partial_component_witness_writeback,backfill witness vector from 20-source shelf or mark explicit gap,concept-shelf branch support available but not balanced W+S; may mark partial component evidence only,noether_paper22_terms.json
C_context_candidate_writeback,27.7,ISV-eindeutigkeits-_und_anordnungssatz--teorema_jednoznačnos,coefficient,Eindeutigkeits- und Anordnungssatz,teorema jednoznačnosti i uporjadženja,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper38_source_fidelity_terms.json
C_context_candidate_writeback,27.7,ISV-entsprechenden_formen--odgovarjajuče_formy,coefficient,entsprechenden Formen,odgovarjajuče formy,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section24_terms.json;logbook:2026-06-10: Paper 02 Section 24 Interslavic Decisions
C_context_candidate_writeback,27.7,ISV-faltung_von_s_mit_den_formen_7_ordnung--svijanje_s_s_formami,coefficient,Faltung von s mit den Formen 7. Ordnung,svijanje s s formami 7. poręda,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section24_terms.json;logbook:2026-06-10: Paper 02 Section 24 Interslavic Decisions
C_context_candidate_writeback,27.7,ISV-faltung_von_s_mit_den_formen_fünfter_ord--svijanje_s_s_formami,coefficient,Faltung von s mit den Formen fünfter Ordnung und dem Produkt,svijanje s s formami 5. poręda i s produktom,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section22_terms.json
C_context_candidate_writeback,27.7,ISV-formen_11_ordnung--formy_11_poręda,coefficient,Formen 11. Ordnung,formy 11. poręda,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section24_terms.json;logbook:2026-06-10: Paper 02 Section 24 Interslavic Decisions
C_context_candidate_writeback,27.7,ISV-formen_neunter_ordnung--formy_9_poręda,coefficient,Formen neunter Ordnung,formy 9. poręda,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section22_terms.json;logbook:2026-06-10: Paper 02 Section 22 Interslavic Decisions
C_context_candidate_writeback,27.7,ISV-formen_zehnter_ordnung--formy_10_poręda,coefficient,Formen zehnter Ordnung,formy 10. poręda,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section23_terms.json;logbook:2026-06-10: Paper 02 Section 23 Interslavic Decisions
C_context_candidate_writeback,27.7,ISV-funktionen_nullten_grades--funkcije_nultogo_ste,coefficient,,funkcije nultogo stepena,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper06_section01_terms.json
C_context_candidate_writeback,27.7,ISV-ganze_ganzzahlige_symmetrische_funktione--cěle_celočislene_sim,coefficient,,cěle celočislene simetrične funkcije od n redov veličin,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper06_section15_terms.json
C_context_candidate_writeback,27.7,ISV-ganzzahlige_funktionen--cěločislne_funkcije,coefficient,,cěločislne funkcije,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper35_source_fidelity_terms.json
C_context_candidate_writeback,27.7,ISV-gesamtheit_aller_funktionen--cělost_vseh_funkcij,coefficient,,cělost vseh funkcij,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper06_section03_terms.json
C_context_candidate_writeback,27.7,ISV-gruppenordnung_ordnungen_h_i--porjadok_grupy_porja,coefficient,,porjadok grupy / porjadkov h_i,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper34_section22_source_fidelity_terms.json
C_context_candidate_writeback,27.7,ISV-in_den_koeffizienten_niedrigsten_formen--najnižše_po_koeficie,coefficient,in den Koeffizienten niedrigsten Formen,najnižše po koeficientah formy,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section06_terms.json;logbook:2026-06-10: Paper 02 §6 Interslavic Decisions
C_context_candidate_writeback,27.7,ISV-ordnung_in_den_koeffizienten--poręd_v_koeficientah,coefficient,Ordnung in den Koeffizienten,poręd v koeficientah,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section07_terms.json;logbook:2026-06-10: Paper 02 §7 Interslavic Decisions
C_context_candidate_writeback,27.7,ISV-potenzsumme--stepenna_suma,prime ideal,,stepenna suma,F10-1,0.5968,0.4032,candidate_partial_component_witness_writeback,backfill witness vector from 20-source shelf or mark explicit gap,concept-shelf branch support available but not balanced W+S; may mark partial component evidence only,noether_paper07_terms.json
C_context_candidate_writeback,27.7,ISV-radikal--radikal,ring without radical,Radikal,radikal,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper34_section12_terms.json
C_context_candidate_writeback,27.7,ISV-relativ-ganze_funktionen--relativno_cěle_funkc,coefficient,,relativno cěle funkcije,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper35_source_fidelity_terms.json
C_context_candidate_writeback,27.7,ISV-relativ-ganze_funktionen_bereiche_erster--relativno_cěle_funkc,coefficient,,relativno cěle funkcije / oblasti prvogo roda,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper06_introduction_terms.json
C_context_candidate_writeback,27.7,ISV-relativ_ganze_funktionen--relativno_cěle_funkc,coefficient,,relativno cěle funkcije,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper05_terms.json
C_context_candidate_writeback,27.7,ISV-ungerade_primzahl--neparno_prosto_čislo,associated prime ideal,,neparno prosto čislo,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper19_terms.json
C_context_candidate_writeback,27.7,ISV-zerfallen_zerfallende_formen--razkladajut_se_razkl,coefficient,zerfallen / zerfallende Formen,razkladajut se / razkladne formy,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section26_terms.json
C_context_candidate_writeback,27.7,ISV-zerfallende_formenreihen_oder_formen--razložime_rědy_form_,coefficient,zerfallende Formenreihen oder Formen,razložime rědy form ili formy,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section07_terms.json
C_context_candidate_writeback,27.7,ISV-übernommene_formen--vzete_formy,coefficient,übernommene Formen,vzete formy,F10-1,,,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section06_terms.json;logbook:2026-06-10: Paper 02 §6 Interslavic Decisions
C_context_candidate_writeback,27.6,ISV-ist_somit_bewiesen--tym_je_dokazana,theorem,ist somit bewiesen,tym je dokazana,F10-1,0.4574,0.5426,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section15_terms.json
C_context_candidate_writeback,26.7,ISV-gruppendeterminante--grupova_determinanta,determinant,,grupova determinanta,F10-1,0.5427,0.4573,Q3_ACCEPT_low_confidence_component_support,backfill witness vector from 20-source shelf or mark explicit gap,"determinant term present, but windows are not all algebra/Noether-specific",noether_paper34_section23_source_fidelity_terms.json
C_context_candidate_writeback,26.3,ISV-ganzzahlige_matrizen--cěločiselne_matrice,matrix,,cěločiselne matrice,F10-1,0.6122,0.3878,Q2_ACCEPT_low_confidence_component_support,backfill witness vector from 20-source shelf or mark explicit gap,"window shows matrix/table context; acceptable only as component concept support, not exact Noether row",noether_paper19_terms.json
C_context_candidate_writeback,26.0,ISV-normenrest--unnamed,module,Normenrest,,F10-1,1.0,0.0,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",french_paper41_term_rationale_20260702.json
C_context_candidate_writeback,26.0,ISV-zerfallende_algebren--unnamed,group,zerfallende Algebren,,F10-1,1.0,0.0,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",french_paper41_term_rationale_20260702.json
C_context_candidate_writeback,26.0,ISV-LB-zerfallen_oder_reduzibilität_der_übrigen,definition,Zerfallen oder Reduzibilität der übrigen Formen,Razkladanje ili reducibilnost ostalyh form,F10-1,1.0,0.0,candidate_component_witness_writeback_W_and_S,merge into glossary schema during backfill,"concept-shelf W and S support available; still component-level, not full compound attestation",logbook:2026-06-10: Paper 02 §16 Interslavic Decisions / 
C_context_candidate_writeback,26.0,ISV-LB-reduktion_des_moduls_und_des_systems_von,module,Reduktion des Moduls ... und des Systems von s,redukcija modula ... i sistema od s,F10-1,1.0,0.0,candidate_component_witness_writeback_W_and_S,merge into glossary schema during backfill,"concept-shelf W and S support available; still component-level, not full compound attestation",logbook:2026-06-10: Paper 02 §17 Interslavic Decisions / 
C_context_candidate_writeback,26.0,ISV-LB-formenzusammenhang,module,Formenzusammenhang,svęz medžu formami,F10-1,1.0,0.0,candidate_component_witness_writeback_W_and_S,merge into glossary schema during backfill,"concept-shelf W and S support available; still component-level, not full compound attestation",logbook:2026-06-10: Paper 04 Introduction Interslavic Decisions / 
C_context_candidate_writeback,25.9,ISV-alle_geraden_ganzen_rationalen_zahlen--vse_parne_cěle_racio,polynomial,,vse parne cěle racionalne čisla,F10-1,0.5469,0.4531,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper19_terms.json
C_context_candidate_writeback,25.9,ISV-größter_gemeinsamer_teiler_im_polynomsin--največši_obči_dělite,polynomial,,največši obči dělitelj v polinomnom smyslu,F10-1,0.5469,0.4531,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper22_terms.json
C_context_candidate_writeback,25.9,ISV-polynombereich_von_abzählbar_vielen_unbe--polinomna_oblast_iz_,polynomial,Polynombereich von abzählbar vielen Unbestimmten,polinomna oblast iz izčetno mnogih neopreděljenyh,F10-1,0.5469,0.4531,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper30_section05_terms.json
C_context_candidate_writeback,25.9,ISV-relativ_prim_im_polynomsinn--vzaimno_proste_v_pol,polynomial,,vzaimno proste v polinomnom smyslu,F10-1,0.5469,0.4531,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper22_terms.json
C_context_candidate_writeback,25.9,ISV-teilerfremde_und_teilerfremd-irreduzible--vzaimno_proste_i_vza,polynomial,,vzaimno proste i vzaimno-prosto-nerazložime klasy,F10-1,0.5469,0.4531,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper19_terms.json
C_context_candidate_writeback,25.7,ISV-einordnung_der_hyperkomplexen_systeme--uvrstjenje_hiperkomp,determinant,Einordnung der hyperkomplexen Systeme,Uvrstjenje hiperkompleksnyh sistemov v teoriju,F10-1,0.5427,0.4573,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper34_section20_source_fidelity_terms.json
C_context_candidate_writeback,25.7,ISV-überblick_über_die_bildung_des_systems--obzor_tvorjenja_sist,determinant,Überblick über die Bildung des Systems,Obzor tvorjenja sistema,F10-1,0.5427,0.4573,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section07_terms.json;logbook:2026-06-10: Paper 02 §7 Interslavic Decisions
C_context_candidate_writeback,24.9,ISV-einige_der_unbestimmten_durch_zahlen_ers--něktore_neopreděljen,set,,něktore neopreděljene zaměniti čislami,F10-1,0.5197,0.4803,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper06_section03_terms.json
C_context_candidate_writeback,24.9,ISV-gesetz_der_unbeschränkten_und_eindeutige--zakon_neograničenogo,set,,zakon neograničenogo i jednoznačnogo odčitanja,F10-1,0.5197,0.4803,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper19_terms.json;noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
C_context_candidate_writeback,24.2,ISV-absolut-irreduzibel--absolutno_ireducibil,field,absolut-irreduzibel,absolutno ireducibilny,F10-1,0.4996,0.5004,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper34_section21_source_fidelity_terms.json
C_context_candidate_writeback,24.2,ISV-algebraisch-ganz_rational-ganz--algebraično-cěly_rac,field,,algebraično-cěly / racionalno-cěly,F10-1,0.4996,0.5004,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper09_introduction_terms.json
C_context_candidate_writeback,24.2,ISV-algebraisch-ganz_und_ganzzahlig_in_bezug--algebraično_cěla_i_c,field,,algebraično cěla i celočislena vzhodno k,F10-1,0.4996,0.5004,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper06_section15_terms.json
C_context_candidate_writeback,24.2,ISV-algebraisch-ganze_abgeschlossenheit--algebraično-cěla_zat,field,,algebraično-cěla zatvorenost,F10-1,0.4996,0.5004,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper09_introduction_terms.json
C_context_candidate_writeback,24.2,ISV-algebraisch_unabhängig--algebraično_nezavisn,field,,algebraično nezavisne,F10-1,0.4996,0.5004,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper06_section06_terms.json
C_context_candidate_writeback,24.2,ISV-algebraisch_unabhängig_abhängig--algebraično_nezavisn,field,,algebraično nezavisne / zavisne,F10-1,0.4996,0.5004,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper06_section01_terms.json
C_context_candidate_writeback,24.2,ISV-algebraisch_unabhängige_funktionen--algebraično_nezavisn,field,,algebraično nezavisne funkcije,F10-1,0.4996,0.5004,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper06_section04_terms.json
C_context_candidate_writeback,24.2,ISV-algebraischer_rang--algebraičny_rang,field,,algebraičny rang,F10-1,0.4996,0.5004,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper06_section01_terms.json;noether_paper06_section04_terms.json
