id,lemma_current,citation_or_review_headword,en,class,variant_count,variants,provenance,source_use,permitted_use_weight,status,r1_decision_ids,normalization_policy_v6,warnings,r1_decision_json,term_kind,current_support_weight,review_priority_weight,recommended_action,boundary
fact-cinjenica,činjenica,činjenica,fact (hr; doublet of fakt),discourse_noun,2,činjenica | činjenice,fable_pass29_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
reg-slovo,slovo/slovami,slovo/slovami,in words,discourse_phrase,2,slovami | slovo,chatgpt_v1,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
reg-govoriti,govoriti,govoriti,says; speaks,discourse_predicate,4,govori | govoriti | govorimo | govoret,chatgpt_v1 | chatgpt_v4_longtail_attach,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
want-hteti,htěti,htěti,want (I want to show...),discourse_predicate,4,hotěla | hočemo | hoču | hče,fable_pass27_kwic | fable_pass28_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
thinks,mysliti,mysliti,thinks / thoughts,discourse_predicate,2,mysl | mysli,chatgpt_v4_longtail | fable_pass27_kwic | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
works-rabotati,rabotati,rabotati,works (verb),discourse_predicate,1,rabotaje,fable_pass29_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
exists-eksist,eksistovati,eksistovati,exists (internationalism doublet of obstajati),existence_predicate,13,eksistenc | eksistenciji | eksistenciju | eksistovanje | eksistovati | eksistuj | suscestvuj | sušstvovanje | suščestvovanja | suščestvuj | suščestvuje | suščstvovanje | suščstvuj,chatgpt_v4_longtail_attach | fable_pass27_kwic | fable_pass4,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
reg-obstajati,obstajati,obstajati,exists,existence_predicate,8,obstaja | obstajanja | obstajanje | obstajati | obstaje | obstavaje | obstavanje | postoji,chatgpt_v1 | chatgpt_v4_longtail_attach | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-anali,anali,anali,function word (adv.),function_word,2,anali | analitičnyh,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-bolje,bolje,bolje,function word (adv.),function_word,1,bolje,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-cělkom,cělkom,cělkom,function word (adv.),function_word,1,cělkom,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-daleko,daleko,daleko,function word (adv.),function_word,1,daleko,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-event,event,event,function word (adv.),function_word,2,event | eventualno,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-hoti,hoti,hoti,function word (conj.),function_word,1,hoti,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-imenu,imenu,imenu,function word (prep.),function_word,3,imenu | imenujut | imenujuče,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-inymi,inymi,inymi,function word (adv.),function_word,1,inymi,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-izdal,izdal,izdal,function word (adv.),function_word,1,izdal,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-izklj,izklj,izklj,function word (prep.),function_word,8,izklj | izključaje | izključajuči | izključene | izključeno | izključenyh | izključenym | izključivši,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-izključno,izključno,izključno,function word (adv.),function_word,1,izključno,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-kakykoli,kakykoli,kakykoli,function word (pron.indef.),function_word,1,kakykoli,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-lěvo,lěvo,lěvo,function word (adv.),function_word,1,lěvo,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-nadalje,nadalje,nadalje,function word (adv.),function_word,1,nadalje,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-najmn,najmn,najmn,function word (adv.),function_word,2,najmn | najmněje,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-najpr,najpr,najpr,function word (adv.),function_word,3,najpr | najprostejši | najprostějše,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-najvy,najvy,najvy,function word (adv.),function_word,2,najvy | najvyši,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-najvyše,najvyše,najvyše,function word (adv.),function_word,1,najvyše,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-nedos,nedos,nedos,function word (adv.),function_word,2,nedos | nedostaje,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-nijed,nijed,nijed,function word (pron.indef.),function_word,5,nijed | nijedna | nijednogo | nijednomu | nijednym,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-ničto,ničto,ničto,function word (pron.indef.),function_word,1,ničto,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-novogo,novogo,novogo,function word (intj.),function_word,1,novogo,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-někak,někak,někak,function word (adv.),function_word,2,někak | někakoj,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-někoj,někoj,někoj,function word (pron.indef.),function_word,9,neke | nekojej | někoj | někoja | někoje | někojej | někojemu | někojih | někojim,chatgpt_v4_dict | fable_pass27 | fable_pass28_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-obadva,obadva,obadva,function word (num.card.),function_word,1,obadva,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-oboje,oboje,oboje,function word (num.coll.),function_word,1,oboje,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-okolo,okolo,okolo,function word (prep.),function_word,1,okolo,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-podle,podle,podle,function word (prep.),function_word,2,podle | podležet,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-polov,polov,polov,function word (adv.),function_word,2,polov | polovica,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-poniž,poniž,poniž,function word (prep.),function_word,2,poniž | poniženje,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-priči,priči,priči,function word (prep.),function_word,2,priči | pričiny,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-prěd,prěd,prěd,function word (prep.),function_word,1,prěd,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-raněje,raněje,raněje,function word (adv.),function_word,1,raněje,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-směru,směru,směru,function word (adv.),function_word,1,směru,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-tamo,tamo,tamo,function word (adv.),function_word,1,tamo,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-tutom,tutom,tutom,function word (adv.),function_word,1,tutom,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-těsno,těsno,těsno,function word (adv.),function_word,1,těsno,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-velik,velik,velik,function word (intj.),function_word,4,velik | velikoj | velikym | velikymi,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-vidimo,vidimo,vidimo,function word (adv.),function_word,1,vidimo,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-vtoro,vtoro,vtoro,function word (adv.),function_word,1,vtoro,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-času,času,času,function word (prep.),function_word,1,času,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-četve,četve,četve,function word (num.diff.),function_word,2,četve | četverokratno,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-četyr,četyr,četyr,function word (num.card.),function_word,2,četyr | četyrih,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fw-čęstično,čęstično,čęstično,function word (adv.),function_word,1,čęstično,chatgpt_v4_dict | fable_pass27,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
we-know,znajemo,znajemo,we know,knowledge_marker,1,znajemo,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
reg-znati,znati,znati,known,knowledge_marker,16,poznajemo | poznana | poznane | poznanje | poznano | poznany | poznanyh | poznanym | poznato | znana | znano | znanoj | znanom | znanyh | znanym | znati,chatgpt_v1 | chatgpt_v4_longtail_attach | fable_pass28_kwic | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
reg-gore,gore,gore,above,location_marker,1,gore,chatgpt_v1,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
additive,aditivny,aditivny,additive,math_general,3,aditivna | aditivne | aditivny,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
axiom,aksiom,aksiom,axiom,math_general,3,aksiom | aksiomov | aksiomy,fable_pass4,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
annulled,anulovany,anulovany,annulled; cancelled,math_general,2,anulirajut | anulovany,chatgpt_v4_longtail | fable_pass29_kwic | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
argument-noun,argument,argument,argument (of a function / of a proof),math_general,4,argument | argumenta | argumentov | argumenty,fable_pass16 | chatgpt_v4_longtail_attach,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
bilinear,bilinearny,bilinearny,bilinear,math_general,1,bilinearn,fable_pass18,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
block-adj,blokovy,blokovy,block (matrix-block adj.),math_general,1,blokovu,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
integervalued-celocislovy,celočislovy,celočislovy,integer-valued,math_general,3,celočislno | celočislnogo | celočislovyh,fable_pass28_kwic | fable_pass29_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
derivative-derivacija,derivacija,derivacija,derivative; derivation,math_general,4,derivacij | derivacija | derivacije | derivaciju,fable_pass28_kwic | fable_pass29_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
discontinuous,diskontinuirny,diskontinuirny,discontinuous,math_general,1,diskontinuirne,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
divergence,divergencija,divergencija,divergence,math_general,4,divergencija | divergencijami | divergenciji | divergencijnyh,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
extremals,ekstremala,ekstremala,extremal(s),math_general,1,ekstremaly,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
reg-ekvivalentny,ekvivalentny,ekvivalentny,equivalent,math_general,7,ekvivalentne | ekvivalentny | ekvivalent | ekvivalentnym | ekvivalentnyh | ekvivalentnymi | ekvivalencije,chatgpt_v1 | chatgpt_v4_longtail_attach,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
energy-adj,energijsky,energijsky,energy (adj.),math_general,2,energijskih | energijskim,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
family,familija,familija,family (of objects),math_general,4,familij | familije | familiju | familijeju,fable_pass19 | chatgpt_v4_longtail_attach,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
fixed-fiksovany,fiksovany,fiksovany,fixed,math_general,9,fiksnogo | fiksnom | fiksovan | fiksovanogo | fiksovanoj | fiksovanom | fiksovany | fiksovanyh | fiksovanym,fable_pass27_kwic | fable_pass28_kwic | fable_pass29_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
geometric,geometričny,geometričny,geometric(ally),math_general,2,geometrična | geometrično,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
limit-boundary,granica,granica,boundary; limit,math_general,2,granici | granicu,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
infinitesimal,infinitesimalny,infinitesimalny,infinitesimal,math_general,1,infinitesimal,fable_pass19,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
integration,integriranje,integriranje,integration,math_general,2,integriranje | integriranjem,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
iteration,iteracija,iteracija,iteration,math_general,1,iteraciju,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
quantity,količstvo,količstvo,quantity,math_general,1,količstvo,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
complexes,kompleks,kompleks,complex(es),math_general,1,kompleksov,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
compositional,kompozicijny,kompozicijny,compositional,math_general,1,kompozicione,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
coordinates,koordinata,koordinata,coordinate(s),math_general,3,koordinat | koordinatah | koordinaty,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
curve,kriva,kriva,curve,math_general,6,kriva | krive | krivoj | krivu | krivulj | krivyh,chatgpt_v4_longtail_attach | fable_pass13 | fable_pass27_kwic | fable_pass28_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
curvature,krivina,krivina,curvature,math_general,1,kriviny,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
lines,linija,linija,line(s),math_general,1,linije,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
reg-metod,metod,metod,methods,math_general,6,metod | metody | metodu | metodov | metodah | metodam,chatgpt_v1 | chatgpt_v4_longtail_attach,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
unchanged,neizměnjeny,neizměnjeny,unchanged (invariant-adjacent),math_general,1,neizměnjena,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
