failure_mode_id,classification,short_name,incident_and_evidence,root_cause,affected_artifacts,detection,corrective_control,recurrence_test,evidence_sources,verdier_disposition
"VDR-FM-0035","confirmed_identity_discipline_issue","Historical handoff identity confused with live mutable generation","EGA handoff bound a 12419-byte scaffold at p.112 while the live append-only scaffold later reached 98950 bytes at p.138. Eight mutable bindings advanced while eleven immutable/historical paths remained exact. A mismatch is expected succession but the old PASS cannot certify new bytes.","Hash records lacked an explicit immutable historical-snapshot live-gate type and consumers could treat any mismatch as corruption or any old PASS as current.","EGA handoff bindings mutable status/log/source/scaffold files and successor validation.","Full replay compared acceptance-time bindings with current live identities and classified each path.","Type every identity and generate a new whole-tree manifest for current claims while preserving historical acceptance receipts.","Validator reports immutable mismatches as errors mutable advancement as drift requiring a new live gate and never applies historical PASS to later bytes.","EGA HANDOFF_BINDINGS/VALIDATION; French LOGBOOK lines 5276-5293; EGA scaffold identity history.","active_control_VDR-SG-0007_0034"
"VDR-FM-0036","prevented_high_severity_hazard_Verdier_specific","Silently completing Verdier's unfinished thesis","The corpus brief states that the thesis body is unfinished and must never be silently completed. No predecessor incident in the selected sources is needed to make this a binding high-severity hazard; English-first logical repair and proof-structure conflation show how editorial smoothing can change epistemic state.","Translation and typesetting conventions favor syntactic closure and may turn a truncation promise or bare ending into apparent completion especially when later Verdier literature is known.","Diplomatic and corrected French English proofs section endings semantic graph and reader metadata.","Prospective page/unit role review and explicit unfinished-state inventory.","Preserve every incomplete boundary in all layers; later literature may appear only as attributed external apparatus and never complete the body.","Every incomplete/truncated/editor-marked locus has a semantic state and aligned layer check; proof environment closure not in source requires explicit editorial decision and cannot imply mathematical completion.","Verdier README and common method; p.108 layer-conflation precedent.","active_control_VDR-SG-0015_0016"
"VDR-FM-0037","prevented_high_severity_hazard_Verdier_specific","Author editor and apparatus roles merged","Astérisque 239 contains Verdier thesis text Illusie preface Maltsiniotis editor notes front matter indexes and bibliography. The controlling brief requires those roles remain distinct. Predecessor reader workflow leakage and layer conflation show the consequence of treating all wrapper text as one content class.","Convenient monolithic TeX inclusion and uniform reader styling can erase responsibility boundaries.","Front matter preface editors note thesis body indexes TOC metadata and semantic nodes.","Prospective role-transition audit from the complete page topology.","Every unit has responsible agent unit role and exact page bounds; reader headings metadata and graph projections preserve roles.","Role transition set equals topology boundaries; no unit crosses roles; no editor text attributed to author; all three languages share the same responsibility metadata.","Verdier README; PAGE_AND_UNIT_MAP topology; common method.","active_control_VDR-SG-0015"
"VDR-FM-0038","confirmed_ambiguous_state_design","Frozen pending inventory beside final completed review","FAC package retained 79 inventory rows marked pending_lead_french_authority_review while separate review rows and validation reported completion. This may be legitimate immutable generation-time state but lacked a clear state_as_of or supersession marker and can be misread as current.","Historical workflow state and current adjudication were stored in separate tables without explicit temporal typing or reciprocal supersession.","FAC comparator inventory review table validation and consumer interpretation.","Cross-table state comparison revealed apparent contradiction.","Every status field is typed current historical_snapshot or superseded and names state_as_of plus successor record.","Validation rejects two current states for one unit and requires every historical pending row to bind a later adjudication or remain an explicit live hold.","FAC_BLIND_COMPARATOR_INVENTORY; ALL_79_UNIT_REVIEWS; ALL_79_VALIDATION.","active_control_VDR-SG-0007_0039"
"VDR-FM-0039","confirmed_incident","Wrong DOI and stale public bytes survived earlier publication state","SGA5/6 reconciliation found stale current surfaces and a legacy ZIP with private/workflow content; EGA and Steinitz concept records contained incorrect identifiers. Published immutable predecessors could not be erased and required append-only successor correction.","Archive state was treated as an endpoint instead of a versioned evidence surface requiring live concept and raw-byte validation.","Zenodo records GitHub controls catalogs and public support archives.","Live API title/concept checks and raw member replay.","Publication state is versioned; adverse predecessor remains; current head requires live concept verification exact manifest privacy scan and raw readback.","Current catalog resolves to correct concept and exact successor; all public bytes/member hashes and privacy gates pass; historical adverse versions explicitly named.","SGA reconciliation; EGA/Steinitz DOI corrections; privacy remediation successors.","active_control_VDR-SG-0045_to_0047"
"VDR-FM-0040","confirmed_process_failure","Retrospective or controls became a substitute for production","The SGA resource note explicitly warns that repeated audits manifests releases and documentation consumed computation without scholarly benefit. The Verdier mandate explicitly says the retrospective is first-stage and must not abandon the corpus.","Control work can become self-reinforcing and create repeated zero-edit validation cycles detached from source progress.","Verdier schedule token/compute use and terminal bilingual corpus delivery.","Comparison of repeated work with absence of substantive source edits and the controlling user sequencing instruction.","Complete one durable retrospective checkpoint then bind findings into a sequential page-production loop; compile only after edits and reserve global audits for meaningful checkpoints.","After retrospective PASS the next logged action must resume exact p.8 editors-note source work; no repeated retrospective generation without new evidence or correction.","SGA resource efficiency incident; controlling Verdier retrospective mandate; VDR-RETRO-ANR-0001/0005.","active_control_VDR-SG-0038_0052"
"VDR-FM-0041","confirmed_incident_contained_before_publication","Workflow delimiters visibly typeset in GAGA reader","The inherited GAGA first-pass 24-page reader PDF SHA A8E4684376D3977020CB95B5C18E75753344B1DB4BB54AC9245CED7E9B133839 visibly typeset 32 CONT boundary sentinels at sixteen joins. The first-pass README records the reader hold and later join-by-join repair.","Page-boundary workflow markers lived inside content source and compilation occurred before seam adjudication.","GAGA first-pass master reader PDF page joins and custody state.","Visual and extracted-text review plus literal sentinel count.","Prohibit workflow delimiters in content; keep seam state in ledgers; scan source and extracted PDF text before promotion.","Every Verdier reader source and PDF must have zero task workflow status sentinel and control-label hits; every join has a separate seam-review record.","GAGA frozen_first_pass README lines37-43; gaga.tex; CUSTODY_VALIDATION.json.","active_control_VDR-SG-0040_0041"
"VDR-FM-0042","confirmed_incident_reversed_append_only","Confident GAGA source readings were wrong","GAGA SOURCE_NOTES recorded uppercase X instead of point x script I instead of J and fraktur J instead of calligraphic J. Later direct reinspection and TRANSCRIPTION_REPAIR_LEDGER rows GAGA-TR-001 through 004 reversed the claims; one earlier rationale was wrong although its replacement happened to be right.","High zoom was described generically without binding crop identity effective resolution local comparison and glyph-level confidence; contextual plausibility contaminated literal reading.","GAGA French transcription corrected layer English translation and source notes.","Renewed tight direct-source inspection at the exact loci and cross-ledger comparison.","Every ambiguous mark binds physical/printed page crop box effective detail comparison set confidence layer and supersession; plausibility only triggers reinspection.","A Verdier source-reading validator rejects ambiguous-mark decisions without exact witness metadata and rejects live slices still bound to superseded readings.","GAGA SOURCE_NOTES; reference-v2 LOGBOOK lines65 and91-93; TRANSCRIPTION_REPAIR_LEDGER.csv.","active_control_VDR-SG-0008_0018_0022"
"VDR-FM-0043","confirmed_overclaim","GAGA seed candidate batch called all corrections closed","After the initial 21 GAGA correction candidates were called closed English alignment found an omitted H_I/H_II defect; Proposition 11 tensor base and a printed equation tag were also discovered later.","Closure of a seed candidate list was conflated with exhaustive page formula and diagram coverage.","GAGA correction status ledgers corrected French English and package claims.","Later English alignment and formula-level review found defects outside the closed batch.","Type closure as candidate_batch_closed page_range_audited or corpus_exhaustive_closed; only independent source-universe equality supports the last.","For Verdier every exhaustive claim replays independent page/unit/formula/diagram universe generators and fails if any later candidate lacks a prior universe row.","GAGA reference-v2 LOGBOOK line65; correction and repair ledgers.","active_control_VDR-SG-0028_0039"
"VDR-FM-0044","confirmed_operational_waste_repaired","Repeated ad hoc GAGA shell and build failures","The GAGA log records literal $out and $build directories wrong working directories wrong engine missing executable assumptions an invalid validation regex wildcard use with LiteralPath wrong crop coordinate order and duplicate equation.1 destinations. Final artifacts were repaired.","Build and validation commands were reconstructed ad hoc with shell-sensitive arguments rather than one checked-in corpus runner and dry-run path gate.","GAGA source tree temporary directories build logs crops validators and destinations.","Logbook replay at lines94 117 130 140 147 171 178 191 200 210-211.","Use one checked-in serial build runner with argument arrays explicit workdir validated absolute in-root outputs and dry-run identity print.","Verdier build runner refuses unresolved variables wildcard literal paths wrong engine out-of-root outputs and concurrent invocation; failed attempts enter workflow history.","GAGA reference-v2 LOGBOOK.","active_control_VDR-SG-0004_0038_0048_0049"
"VDR-FM-0045","confirmed_incident_repaired","GAGA reference insertion changed visible content","The reference-v2 helper first emitted a literal newline escape and ten wrappers later proved to alter spacing or cover only part of the phrase; seventeen occurrences required repair. An 8/26 exact and 18/26 nonexact comparison remained honestly failed.","Link markup was assumed structurally inert even though TeX wrappers change spaces line breaks destination scope and automatic numbering.","GAGA English and bilingual TeX PDF layout internal links and validation.","Wrapper-level comparison and 180-dpi predecessor pixel comparison exposed drift.","Require mechanical delink/unwrap round-trip equality full-phrase link-scope validation and post-build affected-page review.","Every Verdier navigation-only generation must unwrap to byte-identical predecessor visible source and have zero partial-phrase or new-token deltas.","GAGA reference-v2 LOGBOOK lines190 and194; INTERNAL_REFERENCE_LINK_APPLICATION.json.","active_control_VDR-SG-0029_0034_0041"
"VDR-FM-0046","confirmed_deliverable_misclassification","GAGA hyperlink graph was not pre-Stacks data","GAGA reference-v2 has 126 targets 325 candidates 245 edges and 80 residuals but zero French locators printed-page fields diagram IDs relation types evidence confidence or Stacks fields. It has 9 equation IDs and 0 diagram IDs; several visible anchors are truncated or corrupt while graph validation passes.","Clickable-reader closure and identifier uniqueness were mistaken for semantic-scaffold closure; validator schema tested partition mechanics rather than label integrity and source-universe coverage.","REFERENCE_TARGETS CANDIDATES EDGES RESIDUALS validation and claims.","Byte/schema scan of all four graph files and manual anchor inspection.","Keep visible-link graph distinct from language-neutral semantic nodes typed relations bilingual locators provenance confidence and migration candidates.","Verdier pre-Stacks validation requires every declared node/edge class source-page and three-layer locator fields semantic label integrity diagram/equation coverage and no invented official tags.","GAGA REFERENCE_TARGETS.csv lines12 17 19 44; all four graph CSV schemas; REFERENCE_GRAPH_VALIDATION.json.","active_control_VDR-SG-0027_to_0032"
"VDR-FM-0047","confirmed_stale_current_state","GAGA uncertainty ledger never closed later decisions","UNCERTAIN_READING_LEDGER.csv has 82 rows all carried_forward_for_adjudication and zero supersedes fields including I and fraktur-J readings contradicted by admitted calligraphic-J repairs and diagram rows left pending after visual PASS claims.","Append-only preservation existed without a machine-readable current-state overlay or closure join across uncertainty repair and visual-review tables.","GAGA uncertainty source completion visual state and successor interpretation.","Cross-ledger join of 82 uncertainty rows against admitted repair and review records.","Preserve historical rows but require every uncertainty to bind a current disposition supersession waiver or live hold.","Verdier source-complete validation rejects any uncertainty lacking exactly one current closure state and reciprocal supersession where reversed.","GAGA UNCERTAIN_READING_LEDGER.csv; TRANSCRIPTION_REPAIR_LEDGER.csv; layout reviews.","active_control_VDR-SG-0007_0018_0039"
"VDR-FM-0048","confirmed_stale_identity","GAGA translation lineage retained obsolete bytes and correction count","TRANSLATION_LINEAGES.csv reports diplomatic/corrected bytes 125147/125130 blank hashes and fourteen corrections; final validation reports 125157/125141 and STATUS reports fifteen corrections.","Downstream transcription layout and correction mutations did not invalidate and regenerate the live lineage record.","GAGA diplomatic French corrected French lineage metadata status and package consumers.","Direct comparison of lineage rows final layout validation and STATUS.","Any content or layout mutation invalidates all live identity rows; preserve old rows only under explicit historical snapshot IDs.","Every Verdier current lineage row recomputes exact bytes/hash and correction count from the named generation and fails on blank or stale values.","GAGA TRANSLATION_LINEAGES.csv; FRENCH_LAYOUT_REPAIR_VALIDATION.json; STATUS.md.","active_control_VDR-SG-0007_0034"
"VDR-FM-0049","confirmed_internal_contradiction","GAGA status names completed package as next gate","The same final GAGA STATUS says the privacy-clean package and external replay passed and four lines later calls that package and replay the next gate.","Chronological additions and current cursor were mixed in one prose surface without a generated current-state validator.","GAGA successor cursor handoff and completion interpretation.","Internal status replay lines39 and43.","Keep chronology append-only in logbook and generate one validated current-state record from machine state.","Verdier status validation rejects a next action already marked completed and rejects two live values for one gate.","GAGA reference-v2 STATUS.md.","active_control_VDR-SG-0007_0034_0039_0051"
"VDR-FM-0050","confirmed_privacy_false_zero_under_narrow_scope","GAGA privacy_hits zero missed local source-path comments","Frozen gaga.tex contains OS-relative historical source-path comments and an alternate local filename while CUSTODY_VALIDATION.json reports privacy_hits zero; later PROVENANCE explicitly acknowledges private historical path comments.","Privacy vocabulary excluded environment-specific relative source paths and alternate local filenames while the summary used an unqualified zero.","GAGA frozen source package custody validation and provenance.","Cross-file literal inspection against later declared privacy policy.","Publish detector vocabulary and scan absolute/relative roots workspace fragments alternate filenames commands metadata archives and extracted PDF text with independent detectors.","Verdier privacy zero is rejected unless every declared detector family and surface reports zero or an explicit allowlisted private-control locator.","GAGA frozen gaga.tex lines7-9; CUSTODY_VALIDATION.json; PROVENANCE.csv.","active_control_VDR-SG-0042_0043"
"VDR-FM-0051","confirmed_coordinate_error","GAGA physical page count conflated with printed span","GAGA archive handoff describes the exact authority as 42 pages; pdfinfo reports 43 physical PDF pages while the printed article span is 1-42. Bytes and SHA were correct.","A single page field silently changed coordinate systems.","GAGA authority identity page locators handoff and downstream mappings.","Read-only pdfinfo compared with printed article numbering and handoff prose.","Store physical PDF page printed label logical unit and offset rule in separate fields.","Verdier page-map validator rejects ambiguous page values and requires all 270 physical pages plus printed/logical coordinates to replay separately.","GAGA authority AIF_1956__6__1_0.pdf; GAGA_ARCHIVE_HANDOFF line15.","active_control_VDR-SG-0021"
"VDR-FM-0052","confirmed_archive_catalog_staleness","Deligne public catalog fronted predecessor heads","Deligne GitHub current-facing surfaces still pointed to methodology record21743417 and Deligne record21212608 after concept heads advanced to21744853 and21745061.","Archive version advancement and generated catalog regeneration were independent non-atomic processes.","Deligne GitHub catalog Zenodo concept/current-record map and public navigation.","Anonymous API readback exact filename comparison regeneration and commit-pinned raw GitHub readback.","Regenerate concept-to-current-record map whenever an archive head changes; retain predecessor IDs only in historical fields.","Any authorized Verdier archive update requires anonymous current-head resolution plus raw catalog readback matching the new exact map.","ARCHIVE_DECISION_RECORD_DELIGNE_METHODOLOGY_CURRENT_HEAD_CATALOG_SYNC_20260802.json.","active_control_VDR-SG-0045_0047"
"VDR-FM-0053","confirmed_closeout_evidence_gap","Deligne D001 closeout cannot prove a diplomatic layer","The D001 closeout defines scope as corrected French English bilingual reader and evidence; it has zero diplomatic mentions. This proves the closeout does not establish a separately preserved diplomatic layer although it does not prove none existed elsewhere.","Bilingual was treated as adequate scope vocabulary and no three-layer contract was enforced.","Deligne D001 closeout package description and successor trust.","Full-record term and scope replay with claim-boundary review.","A bilingual completion claim must identify and hash diplomatic French corrected French and English separately.","Every Verdier unit and final package requires all three layer identities or an explicit source-inapplicable disposition; bilingual alone never closes the gate.","ARCHIVE_DECISION_RECORD_DELIGNE_D001_SOURCE_ALIGNED_CLOSEOUT_20260801.json.","active_control_VDR-SG-0010_to_0013_0054"
"VDR-FM-0054","confirmed_coordination_failure","Parent task scope whiplash and retracted ownership","The complete parent-task turn-summary replay shows one task repeatedly routed among SGA3 EGA I-II-III-IV SGA7 FAC GAGA and global SGA work. One manager message redirected to EGA I then retracted its authority and a later message routed back to SGA3.","Current objective owner cursor and supersession state lived in mutually incompatible chat messages rather than one validated disk cursor.","Multiple working roots ownership allocations goals continuation state and duplicate-work risk.","Twelve-page 113-turn parent-task replay and exact turn IDs in PARENT_TASK_HISTORY_EVIDENCE.md.","Require one disk-resident current assignment with owner root authority cursor hard stop and supersedes pointer before mutation.","Before every Verdier edit live ownership and current goal must agree with disk controls; any contradictory message opens a stop state until reconciled append-only.","Parent task turns 019fa8fc 019fae1f 019fb160 and 019fb4cd families; PARENT_TASK_HISTORY_EVIDENCE.md.","active_control_VDR-SG-0002_0005_0006_0020"
"VDR-FM-0055","confirmed_custody_hazard_with_direct_scale_evidence","Heavy compactification made chat an unsafe sole handoff","Parent turns report 67 57 and 37 compactifications while containing hundreds of file changes and routing messages. Compaction count does not prove a particular bad edit but establishes that chat-only recovery was fragile.","Purpose cursor decisions and ownership were not always fully projected to a compact validated disk state.","Successor intent active scope decision history and next-action reliability.","Complete parent-task summary replay compared with durable successor complaints and scope corrections.","Make continuation disk-sufficient; treat chat as supplemental evidence and require restart simulation without it.","A fresh task must recover Verdier objective authority root owner cursor holds decisions and first safe action solely from hashed disk controls.","PARENT_TASK_HISTORY_EVIDENCE.md; turns b959400d 019fa64b and 019fae1f.","active_control_VDR-SG-0005_0006_0051"
"VDR-FM-0056","confirmed_parallel_integration_failure","SGA1 cumulative master referenced disappeared translation fragments","Parent task history records four translated fragment files referenced by the SGA1 cumulative master disappearing; the build was broken until they were restored after multiple parallel range assignments.","Parallel workers and integration changed master/input state without immutable fragment handoff identities and atomic presence/hash replay.","SGA1 master four translation fragments build continuity and duplicated range risk.","Build failure and explicit urgent restoration messages in the parent history.","Admit parallel output only from immutable hashed handoffs; update master atomically after exact input presence/set replay.","Verdier remains single sequential producer for source units; any mechanical agent output cannot enter a reader until root lead rehash and exact dependency replay pass.","Parent turn5359b4ec and PARENT_TASK_HISTORY_EVIDENCE.md.","active_control_VDR-SG-0002_0034_0050"
"VDR-FM-0057","user_reported_execution_premise_failure","Wrong model setting forced recheck","Parent task turns record the user saying the task ran on the wrong model and directing the preceding work or last two hours to be redone or rechecked. The summary does not identify exact defective bytes.","Execution/model premise was not durably logged with the artifact generation and changed without a scoped invalidation record.","Early SGA5/SGA1 work interval trust and rework effort.","User correction in turns019f7125 and019f752f; exact artifact impact remains uncertain.","Log material execution-premise changes when they affect review confidence and invalidate only the named generation/range pending direct replay.","If a Verdier review premise changes preserve the earlier generation mark its exact scope held and personally replay only affected source/visual judgments.","PARENT_TASK_HISTORY_EVIDENCE.md sections2.2 and evidence turns.","active_control_VDR-SG-0007_0018_0053"
"VDR-FM-0058","confirmed_goal_control_failure","Parent goal absent or materially narrower than actual corpus","At task start the user reported no pursuit goal. Later the user found the live goal omitted SGA French FAC GAGA and the cumulative reader and called it the wrong task scope.","The goal was not created promptly and later captured only the latest workstream rather than the complete durable terminal contract.","Production sequencing completion claims successor routing and work abandonment risk.","Parent task history plus later scope-correction messages.","Create one complete durable goal before mutation and mirror every terminal layer in status/continuation; scope changes are append-only supersessions.","Verdier production stops if goal status contract or continuation omit any three-layer semantic build privacy rights handoff or hard-stop requirement.","Parent turns019f712c and c0c6ff22; PARENT_TASK_HISTORY_EVIDENCE.md.","active_control_VDR-SG-0005_0051_0052"
"VDR-FM-0059","confirmed_archive_duplication_and_reversal","Redundant FAC quality-assessment DOI had to be tombstoned","Parent history records creation of a redundant FAC comparison concept and the user's order to fold it into the single FAC lineage; record21779393 was then tombstoned as duplicate. GAGA remained separate.","Archive information architecture was decided during publication rather than from an existing-concept map and one logical-package contract.","FAC archive concepts public navigation citation persistence and reversal record.","Live record inspection and duplicate tombstone state reported in the parent task; durable archive evidence controls final truth.","Resolve existing concepts and logical package boundaries before any draft creation; separate GAGA from FAC but keep one FAC lineage.","No Verdier archive mutation is authorized by production; if later authorized existing concept search and explicit package topology must pass before draft creation.","Parent items6074 6076 and6081; PARENT_TASK_HISTORY_EVIDENCE.md; archive controls.","active_control_VDR-SG-0045_0046_0047"
"VDR-FM-0060","confirmed_resource_waste_and_authority_misclassification","Fully transcribed SGA1 was treated as a scan-forensics workstream","Parent history records a controlling correction that official SGA1 TeX was fully transcribed and that edition typos had been misclassified as transcription errors after enormous review effort. The same history separately labels Claude SGA3 output raw OCR substrate only.","Source hierarchy and admissible purpose were not fixed before inspection; OCR and print witnesses were assigned the wrong evidentiary roles in opposite directions.","SGA1 translation schedule scan-review effort SGA3 OCR custody and trust language.","User/manager corrections in turns5359b4ec and019f7601 plus durable OCR controls.","Before work classify each input as direct authority diplomatic witness comparison locator OCR substrate or excluded; use the least expensive evidence sufficient for the actual ambiguity.","Verdier authority lineage is frozen before production; no new OCR and no comparison witness can decide source text against the exact NUMDAM authority.","PARENT_TASK_HISTORY_EVIDENCE.md; SGA raw-OCR controls; Verdier SOURCE_AUTHORITY.csv.","active_control_VDR-SG-0008_0009_0014_0048"
"VDR-FM-0061","evidence_of_unresolved_completion_claim_not_specific_omission","SGA1 completeness was challenged by major page-count delta","Parent turn9dcbba66 records a complete English reader claim being challenged because it appeared roughly eighty pages shorter than French. The turn summary does not establish whether layout omitted content or a mistaken count caused the delta.","Completion rhetoric preceded an explicit source-unit and terminal-material set-equality receipt available to the user.","SGA1 reader completeness trust and later rechecks.","User challenge triggered denominator investigation; selected task-history evidence cannot prove the exact defect.","Report page counts as diagnostics only; completion requires source-unit formula diagram bibliography appendix and terminal-page set equality.","Verdier final claim must dispose all 270 physical pages and every source unit; page-count differences never prove or disprove completion alone.","Parent turn9dcbba66; PARENT_TASK_HISTORY_EVIDENCE.md.","active_control_VDR-SG-0021_0028_0054"
