"finding_id","review_id","comparator_id","fac_number","codex_locator","external_locator","french_locator","classification","codex_reading_or_action","external_reading_or_action","selected_form","change_required","rationale","review_status","supersedes_finding_id"
"FAC-BLIND-F0065","FAC-BLIND-REVIEW-N070-R1","FAC-BLIND-N070","70","068_III_4_70_definition_functors_Tq.tex lines74-80","fac-3_4.tex line165","fac_body.tex line2613","external_long_exact_arrow_omission","writes ellipsis followed by an arrow into B^q(M)","places B^q(M) directly after the ellipsis without an incoming arrow","ellipsis to B^q(M) with an explicit arrow","none_codex","The displayed sequence is long exact and the omitted incoming arrow disconnects its first visible term","reviewed",""
"FAC-BLIND-F0066","FAC-BLIND-REVIEW-N072-R1","FAC-BLIND-N072","72","070_III_4_72_determination_Tq.tex lines14-24","fac-3_4.tex lines244-255","fac_body.tex lines2700-2715","external_silent_source_defect_preservation","states q not equal to r or r+1 and explicitly discloses the printed omission of r+1","states q not equal to r in the theorem although its following E^{r+1} definition contradicts that range","q not equal to r or r+1, with source-oddity disclosure","none_codex","The theorem's direct isomorphism cannot include q=r+1 because that case is the separately defined cokernel and occurs in the displayed exact sequence","reviewed",""
"FAC-BLIND-F0067","FAC-BLIND-REVIEW-N072-R1","FAC-BLIND-N072","72","070_III_4_72_determination_Tq.tex lines45-46","fac-3_4.tex line257","fac_body.tex line2717","external_variance_omission","calls E^q additive contravariant functors of M","calls E^q additive functors without their contravariance","additive contravariant functors","none_codex","Variance controls the direction of the long exact sequence and is part of the French statement","reviewed",""
"FAC-BLIND-F0068","FAC-BLIND-REVIEW-N075-R1","FAC-BLIND-N075","75","073_III_5_75_nonsingular_varieties.tex lines9-11","fac-3_5.tex lines124-125","fac_body.tex line2959","external_scope_mistranslation","says extension of the duality theorem to the abstract case","says extension to an arbitrary case","abstract case","none_codex","Serre contrasts the abstract setting with the earlier projective formulation; arbitrary does not identify that mathematical setting","reviewed",""
"FAC-BLIND-F0069","FAC-BLIND-REVIEW-N075-R1","FAC-BLIND-N075","75","073_III_5_75_nonsingular_varieties.tex lines22-26","fac-3_5.tex lines133-135","fac_body.tex line2963","external_ideal_symbol_substitution","denotes the kernel by I_x(V)","denotes the kernel by g_x(V)","I_x(V)","none_codex","The French uses the ideal symbol I consistently here and in the terminal remark; g has no introduced meaning","reviewed",""
"FAC-BLIND-F0070","FAC-BLIND-REVIEW-N075-R1","FAC-BLIND-N075","75","073_III_5_75_nonsingular_varieties.tex lines24-26","fac-3_5.tex line135","fac_body.tex line2963","external_map_subscript_omission","uses the canonical homomorphism epsilon_x from O_x to O_{x,V}","drops the subscript x from epsilon at its definition","epsilon_x","none_codex","The map is the point-x local quotient and is later used with the same subscript in the resolution","reviewed",""
"FAC-BLIND-F0071","FAC-BLIND-REVIEW-N075-R1","FAC-BLIND-N075","75","073_III_5_75_nonsingular_varieties.tex lines37-43","fac-3_5.tex lines140-142","fac_body.tex lines2969-2973","external_ordered_index_corruption","uses 1 less than or equal to i_1 less than i_2 less than ... less than i_q","uses lowercase l_2 in place of i_2","i_2","none_codex","Every basis element is indexed by the ordered sequence i_1 through i_q; l_2 is not defined","reviewed",""
"FAC-BLIND-F0072","FAC-BLIND-REVIEW-N075-R1","FAC-BLIND-N075","75","073_III_5_75_nonsingular_varieties.tex lines45-54","fac-3_5.tex lines144-147","fac_body.tex lines2977-2982","external_koszul_coefficient_corruption","uses the coefficient f_{i_j}","uses f_{i,j}","f_{i_j}","none_codex","The differential deletes the j-th selected index i_j and multiplies by the generator carrying that single index","reviewed",""
"FAC-BLIND-F0073","FAC-BLIND-REVIEW-N076-R1","FAC-BLIND-N076","76","074_III_5_76_normal_varieties.tex lines39-47","fac-3_5.tex line178","fac_body.tex lines3024-3028","external_tex_control_corruption","typesets Ext_{O_x}^{p+1}(M/fM,N) as the cokernel under discussion","prefixes Ext with a double-backslash line-break control inside the math display","Ext_{O_x}^{p+1}(M/fM,N)","none_codex","The external control sequence is malformed TeX and no longer denotes the intended Ext functor reliably","reviewed",""
"FAC-BLIND-F0074","FAC-BLIND-REVIEW-N076-R1","FAC-BLIND-N076","76","074_III_5_76_normal_varieties.tex lines43-47","fac-3_5.tex line179","fac_body.tex line3027","external_cokernel_codomain_substitution","maps Ext^p(M,N) to the same module Ext^p(M,N)","adds a prime to the target Ext^p(M,N)'","Ext^p(M,N) to Ext^p(M,N)","none_codex","The endomorphism is multiplication by f on one Ext module; introducing its dual changes the cokernel and invalidates the next step","reviewed",""
"FAC-BLIND-F0075","FAC-BLIND-REVIEW-N076-R1","FAC-BLIND-N076","76","074_III_5_76_normal_varieties.tex lines63-73","fac-3_5.tex lines193-200","fac_body.tex lines3036-3045","external_lemma_domain_omission","applies Lemma2 to the pair (O_{x,V},f)","applies it to the pair (O,f)","(O_{x,V},f)","none_codex","The injectivity hypothesis uses that O_{x,V} is a domain and the resulting quotient is O_{x,V}/(f), so the local ring of V cannot be replaced by an unspecified O","reviewed",""
"FAC-BLIND-F0076","FAC-BLIND-REVIEW-N076-R1","FAC-BLIND-N076","76","074_III_5_76_normal_varieties.tex lines76-84","fac-3_5.tex lines202-208","fac_body.tex line3046","external_zero_divisor_mistranslation","states that g is not a zero divisor in O_{x,V}/(f)","states that g is not divisible by 0 in the quotient ring","not a zero divisor","none_codex","Avoiding all minimal primes proves regularity of g modulo f; divisibility by zero is not the algebraic condition used by Lemma2","reviewed",""
"FAC-BLIND-F0077","FAC-BLIND-REVIEW-N076-R1","FAC-BLIND-N076","76","074_III_5_76_normal_varieties.tex lines82-89","fac-3_5.tex lines207-210","fac_body.tex lines3046-3049","external_pair_delimiter_corruption","applies Lemma2 to the balanced pair (O_{x,V}/(f),bar g)","writes the two objects followed by a closing parenthesis without the matching opening parenthesis","(O_{x,V}/(f),bar g)","none_codex","The second application must identify one module and one element as a pair; the external sentence is syntactically malformed","reviewed",""
"FAC-BLIND-F0078","FAC-BLIND-REVIEW-N076-R1","FAC-BLIND-N076","76","074_III_5_76_normal_varieties.tex lines90-93","fac-3_5.tex lines212-213","fac_body.tex line3051","external_dimension_chain_object_omission","derives dim(O_{x,V}/(f)) less than or equal to r-1 and then dim(O_{x,V}) less than or equal to r-2","states dim(O_{x,V}) less than or equal to r-1 and then immediately the stronger bound on the same object","first bound the quotient by r-1, then O_{x,V} by r-2","none_codex","The one-unit dimension drop from Lemma2 applies between the quotient and the original module; omitting the quotient breaks the displayed deduction","reviewed",""
"FAC-BLIND-F0079","FAC-BLIND-REVIEW-N076-R1","FAC-BLIND-N076","76","074_III_5_76_normal_varieties.tex lines104-108","fac-3_5.tex lines220-222","fac_body.tex line3057","external_projective_normality_weakening","describes W as projectively normal and irregular","describes W as normal and irregular","projectively normal and irregular","none_codex","Projective normality is a stronger embedding-dependent condition and is the exact hypothesis in Serre's example","reviewed",""
"FAC-BLIND-F0080","FAC-BLIND-REVIEW-N078-R1","FAC-BLIND-N078","78","076_III_5_78_complete_intersections.tex lines27-39","fac-3_5.tex lines340-343","fac_body.tex line3151","external_silent_source_defect_preservation","uses degree sum m_{i_j} and explicitly discloses the printed omission of i_j","reproduces the printed sum m_j without reconciling it with the indexed basis and differential","sum from j=1 to q of m_{i_j}, with source-oddity disclosure","none_codex","The basis vector selects indices i_1 through i_q, and the next degree formula confirms that its degree is the sum of the corresponding m_{i_j}","reviewed",""
"FAC-BLIND-F0081","FAC-BLIND-REVIEW-N078-R1","FAC-BLIND-N078","78","076_III_5_78_complete_intersections.tex lines40-47","fac-3_5.tex lines344-347","fac_body.tex lines3153-3157","external_koszul_sign_index_corruption","uses (-1)^j in the j-th summand","uses (-1)^i","(-1)^j","none_codex","The summation variable is j and determines the alternating sign; bare i is not defined in that formula","reviewed",""
"FAC-BLIND-F0082","FAC-BLIND-REVIEW-N078-R1","FAC-BLIND-N078","78","076_III_5_78_complete_intersections.tex lines63-68","fac-3_5.tex line356","fac_body.tex lines3160-3164","external_coboundary_range_truncation","sums j from 1 through q+1 in the coboundary of a q-cochain","sums only through q","j equals 1 through q+1","none_codex","The output has q+1 indices and its alternating coboundary contains one term for each of them","reviewed",""
"FAC-BLIND-F0083","FAC-BLIND-REVIEW-N078-R1","FAC-BLIND-N078","78","076_III_5_78_complete_intersections.tex lines98-101","fac-3_5.tex lines364-371","fac_body.tex line3194","external_top_cohomology_index_substitution","states H^p(V,O_V(n)) in Proposition5(c)","states H^q(V,O_V(n)) although q is not bound in item (c)","H^p(V,O_V(n))","none_codex","The proposition has already handled intermediate q in item (b); item (c) computes the top group in dimension p","reviewed",""
"FAC-BLIND-F0084","FAC-BLIND-REVIEW-N078-R1","FAC-BLIND-N078","78","076_III_5_78_complete_intersections.tex lines103-105","fac-3_5.tex line374","fac_body.tex line3196","external_logical_implication_reversal","says H^p(V,O_V) can vanish only if N is negative","asserts H^p(V,O_V) is zero if N is negative","vanishing implies N less than 0","none_codex","Serre states a necessary condition for vanishing; the external version turns it into an unsupported sufficient condition","reviewed",""
"FAC-BLIND-F0085","FAC-BLIND-REVIEW-N003-R1","FAC-BLIND-N003","3","002_I_1_3_construction_of_sheaves.tex lines16-18","fac-1_1.tex lines89-90","fac_body.tex line126","external_bound_variable_substitution","starts with t in F_U and defines x maps to phi_x^U(t)","starts with f in F_U but defines the map using the undefined t","t in F_U","none_codex","The canonical section is attached to the same element t throughout; f is not otherwise related to the displayed map","reviewed",""
"FAC-BLIND-F0086","FAC-BLIND-REVIEW-N003-R1","FAC-BLIND-N003","3","002_I_1_3_construction_of_sheaves.tex lines25-30","fac-1_1.tex lines101-103","fac_body.tex lines132-137","external_transition_map_symbol_substitution","uses phi_{U_i}^U in the transition-map composition","uses psi_{U_i}^U although the system defines only phi maps","phi_{U_i}^U","none_codex","Proposition1 is stated for the system (F_U,phi_U^V); psi has not been introduced in this unit","reviewed",""
"FAC-BLIND-F0087","FAC-BLIND-REVIEW-N003-R1","FAC-BLIND-N003","3","002_I_1_3_construction_of_sheaves.tex lines41-43","fac-1_1.tex lines127-133","fac_body.tex line152","external_base_domain_substitution","concludes that iota(t) agrees with s on U","concludes that it agrees with s on S","U","none_codex","Both sections are defined over the open set U; S is neither introduced nor their common domain","reviewed",""
"FAC-BLIND-F0088","FAC-BLIND-REVIEW-N006-R1","FAC-BLIND-N006","6","005_I_1_6_sheaves_of_rings_and_modules.tex line8","fac-1_1.tex lines235-242","fac_body.tex lines204-206","external_example_category_substitution","uses sheaves of sets as the structure-free limiting example","uses sheaves of rings even though the same sentence says the stalks have no algebraic structure","sheaves of sets","none_codex","A ring is an algebraic structure; Serre's parenthetical example deliberately removes all algebraic structure and retains only the local-homeomorphism axiom","reviewed",""
"FAC-BLIND-F0089","FAC-BLIND-REVIEW-N006-R1","FAC-BLIND-N006","6","005_I_1_6_sheaves_of_rings_and_modules.tex line12","fac-1_1.tex lines249-255","fac_body.tex line210","external_object_type_substitution","calls the sheaf of germs of G-valued functions a sheaf of rings","calls it the ring of germs and then says that ring is a sheaf","sheaf of germs of functions","none_codex","The construction produces the entire etale-space sheaf, not a single ring of germs","reviewed",""
"FAC-BLIND-F0090","FAC-BLIND-REVIEW-N006-R1","FAC-BLIND-N006","6","005_I_1_6_sheaves_of_rings_and_modules.tex lines16-20","fac-1_1.tex lines264-268","fac_body.tex line214","external_system_component_substitution","defines F from the system (F_U,psi_U^V)","writes the system as (F,psi_U^V)","(F_U,psi_U^V)","none_codex","The input system consists of one module for each open U together with restriction maps; the already-constructed sheaf F is the output, not a system component","reviewed",""
"FAC-BLIND-F0091","FAC-BLIND-REVIEW-N006-R1","FAC-BLIND-N006","6","005_I_1_6_sheaves_of_rings_and_modules.tex lines16-20","fac-1_1.tex lines264-268","fac_body.tex line214","external_element_domain_omission","states compatibility for a in A_V and f in F_V","states the compatibility formula without the source domains of a and f","a in A_V and f in F_V","none_codex","The restriction formula is typed over V; its source memberships are part of the French condition and prevent ill-typed multiplication","reviewed",""
"FAC-BLIND-F0092","FAC-BLIND-REVIEW-N009-R1","FAC-BLIND-N009","9","008_I_1_9_direct_sum.tex line8","fac-1_1.tex line371","fac_body.tex line271","external_stalk_subscript_substitution","defines the direct sum of F_x and G_x","defines it as the direct sum of F_x and G_X","G_x","none_codex","The construction is fiberwise at the fixed point x; uppercase X denotes the whole base space and is not the second stalk","reviewed",""
"FAC-BLIND-F0093","FAC-BLIND-REVIEW-N010-R1","FAC-BLIND-N010","10","009_I_1_10_tensor_product.tex line19","fac-1_1.tex lines402-405","fac_body.tex line284","external_bound_variable_substitution","introduces sections s_i and t_i and uses them in the displayed local section","introduces sections f_i and g_i but then uses the undefined s_i and t_i","s_i and t_i throughout","none_codex","The uniqueness argument requires one consistently named family of local sections; the comparator's displayed map uses variables it has not bound","reviewed",""
"FAC-BLIND-F0094","FAC-BLIND-REVIEW-N010-R1","FAC-BLIND-N010","10","009_I_1_10_tensor_product.tex line19","fac-1_1.tex line405","fac_body.tex line284","external_stalk_subscript_substitution","takes f_i in F_x","takes f_i in F_X","F_x","none_codex","The tensor h lies in the stalk H_x and its tensor factors lie in the stalks F_x and G_x, not in an object indexed by the whole space X","reviewed",""
"FAC-BLIND-F0095","FAC-BLIND-REVIEW-N010-R1","FAC-BLIND-N010","10","009_I_1_10_tensor_product.tex line29","fac-1_1.tex line424","fac_body.tex line288","external_tex_category_corruption","states that H is a sheaf of A-modules","places A-modules inside one math expression as Aa-modules, which TeX parses as subtraction rather than the intended category phrase","sheaf of A-modules","none_codex","The hyphen belongs to the prose compound outside the mathematical symbol A; placing it inside math mode changes the rendered and semantic expression","reviewed",""
"FAC-BLIND-F0096","FAC-BLIND-REVIEW-N014-R1","FAC-BLIND-N014","14","012_I_2_14_operations_on_coherent_sheaves.tex lines24-29","fac-1_2.tex line163","fac_body.tex lines437-441","external_hom_codomain_substitution","rho maps Hom_A(F,G)_x to Hom_{A_x}(F_x,G_x)","rho maps Hom_A(F,G)_x back to Hom_A(F,G)_x","Hom_{A_x}(F_x,G_x)","none_codex","Proposition5 identifies the stalk of the Hom sheaf with the module of homomorphisms between the two stalks; an identity codomain would neither state nor prove that result","reviewed",""
"FAC-BLIND-F0097","FAC-BLIND-REVIEW-N015-R1","FAC-BLIND-N015","15","013_I_2_15_coherent_sheaves_of_rings.tex line9","fac-1_2.tex lines204-205","fac_body.tex line463","external_silent_source_defect_preservation","uses Definition2 and discloses that the print says Proposition2","silently repeats the printed reference to Proposition2","Definition2, with source-oddity disclosure","none_codex","Condition (b) is introduced in Definition2; Proposition2 has no condition (b), so the printed cross-reference is an ordinary source typo already tracked as FAC-FR-C0005","reviewed",""
"FAC-BLIND-F0098","FAC-BLIND-REVIEW-N015-R1","FAC-BLIND-N015","15","013_I_2_15_coherent_sheaves_of_rings.tex line23","fac-1_2.tex lines227-228","fac_body.tex line480","external_free_module_rank_omission","Proposition8 concerns a subsheaf of A^p","Proposition8 concerns a subsheaf of A","A^p","none_codex","The preceding finite-presentation argument and the French statement require an arbitrary finite free sheaf A^p; dropping p narrows the proposition to rank one","reviewed",""
"FAC-BLIND-F0099","FAC-BLIND-REVIEW-N015-R1","FAC-BLIND-N015","15","013_I_2_15_coherent_sheaves_of_rings.tex lines31-38","fac-1_2.tex lines237-243","fac_body.tex lines488-490","external_annihilator_codomain_substitution","identifies J_x as the kernel of A_x to Hom_{A_x}(F_x,F_x)","identifies it as the kernel of A_x to Hom_{A_x}(F_x,G_x)","Hom_{A_x}(F_x,F_x)","none_codex","The annihilator homomorphism sends a scalar to its multiplication endomorphism of F_x; G is not introduced in Proposition9 and cannot be its codomain","reviewed",""
"FAC-BLIND-F0100","FAC-BLIND-REVIEW-N019-R1","FAC-BLIND-N019","19","017_I_3_19_simplicial_operations.tex lines27-35","fac-1_3.tex lines55-57","fac_body.tex lines551-558","external_restriction_map_subscript_omission","defines rho_s^{s'} as restriction from Gamma(U_{s'},F) to Gamma(U_s,F)","writes rho^{s'} in the prose definition, omitting the target-simplex subscript s","rho_s^{s'}","none_codex","Both simplex indices are needed to name the restriction from the larger open U_{s'} to U_s; the comparator's preceding formula and its displayed domain-codomain confirm the omitted s","reviewed",""
"FAC-BLIND-F0101","FAC-BLIND-REVIEW-N020-R1","FAC-BLIND-N020","20","018_I_3_20_cochain_complexes.tex lines41-43","fac-1_3.tex lines97-104","fac_body.tex lines603-608","external_alternating_cohomology_prime_omission","states that inclusion induces an isomorphism H'^q onto H^q","states an isomorphism of H^q and H^q","H'^q to H^q","none_codex","The proposition compares the alternating subcomplex C' with the full complex C; omitting the prime makes the statement tautological and erases the source complex","reviewed",""
"FAC-BLIND-F0102","FAC-BLIND-REVIEW-N021-R1","FAC-BLIND-N021","21","019_I_3_21_finer_coverings.tex lines20-22","fac-1_3.tex lines145-146","fac_body.tex lines643-645","external_induced_map_superscript_corruption","writes tau^*=tau'^*","writes tau^*=tau' followed by a binary star rather than a superscript star","tau^*=tau'^*","none_codex","The two induced cohomology homomorphisms are both denoted by a superscript star; the comparator's second star is not attached as a superscript","reviewed",""
"FAC-BLIND-F0103","FAC-BLIND-REVIEW-N021-R1","FAC-BLIND-N021","21","019_I_3_21_finer_coverings.tex lines24-30","fac-1_3.tex lines148-152","fac_body.tex lines647-652","external_chain_homotopy_index_substitution","uses tau i_h followed by tau-prime i_h in each summand and target intersection","uses tau i_j followed by tau-prime i_h, with j unbound in the h-sum","tau i_h and tau-prime i_h","none_codex","The chain homotopy inserts both refinement choices at the same h-th position; j is not bound anywhere in the formula","reviewed",""
"FAC-BLIND-F0104","FAC-BLIND-REVIEW-N022-R1","FAC-BLIND-N022","22","020_I_3_22_cohomology_groups_of_X.tex lines22-28","fac-1_3.tex lines183-189","fac_body.tex line673","external_cohomology_argument_reversal","states that H^q(U,F) depends only on the equivalence class of U","states that H^q(F,U) depends only on the equivalence class","H^q(U,F)","none_codex","The first argument is the covering and the second the coefficient sheaf throughout the construction; reversing them changes the defined object","reviewed",""
"FAC-BLIND-F0105","FAC-BLIND-REVIEW-N022-R1","FAC-BLIND-N022","22","020_I_3_22_cohomology_groups_of_X.tex lines38-42","fac-1_3.tex lines196-200","fac_body.tex line677","external_covering_symbol_substitution","denotes the canonical map by sigma(script U)","denotes it by sigma(plain U)","sigma(script U)","none_codex","The canonical map is indexed by the covering script U already appearing in H^q(script U,F); plain U is not the covering symbol in this unit","reviewed",""
"FAC-BLIND-F0106","FAC-BLIND-REVIEW-N023-R1","FAC-BLIND-N023","23","021_I_3_23_homomorphisms_of_sheaves.tex lines13-17","fac-1_3.tex lines217-218","fac_body.tex line688","external_naturality_map_substitution","writes phi^* composed with sigma equals sigma composed with phi^*","writes sigma composed with psi^* on the right, although only phi is the sheaf homomorphism under discussion","phi^* on both sides","none_codex","Naturality compares the same induced morphism before and after changing coverings; psi is not introduced in this paragraph","reviewed",""
"FAC-BLIND-F0107","FAC-BLIND-REVIEW-N023-R1","FAC-BLIND-N023","23","021_I_3_23_homomorphisms_of_sheaves.tex lines25-29","fac-1_3.tex lines226-228","fac_body.tex lines700-703","external_functoriality_identity_truncation","states (phi composed with psi)^*=phi^* composed with psi^*","prints only (phi composed with psi)^* with no equality or right-hand side","(phi composed with psi)^*=phi^* composed with psi^*","none_codex","The omitted equality is the composition law establishing functoriality; an isolated left-hand expression is not a formal property","reviewed",""
"FAC-BLIND-F0108","FAC-BLIND-REVIEW-N026-R1","FAC-BLIND-N026","26","024_I_3_26_cohomology_of_closed_subspace.tex lines7-8","fac-1_3.tex lines405-406","fac_body.tex line873","external_ambient_space_substitution","lets Y be a subspace of X","lets Y be a subspace of Y","Y subset X","none_codex","The construction restricts a sheaf on X to the subspace Y; saying Y is a subspace of itself loses the required ambient embedding","reviewed",""
"FAC-BLIND-F0109","FAC-BLIND-REVIEW-N026-R1","FAC-BLIND-N026","26","024_I_3_26_cohomology_of_closed_subspace.tex lines9-15","fac-1_3.tex lines407-410","fac_body.tex line873","external_cochain_degree_case_substitution","indexes the section by i_0 through i_q","first indexes it by i_0 through i_Q with uppercase Q","i_q","none_codex","The cohomological degree is the previously fixed lowercase q used in every intersection and cohomology group; uppercase Q is a different undefined symbol","reviewed",""
"FAC-BLIND-F0110","FAC-BLIND-REVIEW-N027-R1","FAC-BLIND-N027","27","025_I_4_27_double_complexes.tex line17","fac-1_4.tex line11","fac_body.tex line902","external_bibliographic_chapter_substitution","cites Chapter IV section4","cites Chapter VI section4","Chapter IV section4","none_codex","The French source explicitly cites Chapter IV; changing the Roman numeral misdirects the supporting reference","reviewed",""
"FAC-BLIND-F0111","FAC-BLIND-REVIEW-N027-R1","FAC-BLIND-N027","27","025_I_4_27_double_complexes.tex lines55-62","fac-1_4.tex lines45-50","fac_body.tex lines930-935","external_silent_source_defect_preservation","defines K_h as the sum over p>=0 and q>=h and discloses the printed omission","silently repeats the printed sum over q>=h while leaving p free","sum over p>=0 and q>=h, with source-oddity disclosure","none_codex","K_h is a subgroup of the whole double complex and its quotient by K_{h+1} is the full q=h row; p must therefore range over all nonnegative degrees","reviewed",""
"FAC-BLIND-F0112","FAC-BLIND-REVIEW-N027-R1","FAC-BLIND-N027","27","025_I_4_27_double_complexes.tex lines63-67","fac-1_4.tex lines49-53","fac_body.tex line935","external_silent_source_defect_preservation","identifies H^n(K_h/K_{h+1}) with H_I^{n-h,h}(K) and discloses the printed reversed bidegree","silently repeats H_I^{h,n-h}(K)","H_I^{n-h,h}(K), with source-oddity disclosure","none_codex","In the row q=h, total degree n forces horizontal degree p=n-h; the printed order h,n-h reverses vertical and horizontal degrees","reviewed",""
"FAC-BLIND-F0113","FAC-BLIND-REVIEW-N030-R1","FAC-BLIND-N030","30","028_II_1_30_spaces_condition_A.tex lines67-69","fac-2_1.tex lines68-70","fac_body.tex lines1139-1145","external_empty_set_symbol_substitution","requires V_i intersect V_j to be nonempty","requires V_i intersect V_j to be nonzero","V_i intersect V_j not equal to empty set","none_codex","The condition is topological nonemptiness of an intersection; the number or zero object 0 is not the empty set in this context","reviewed",""
"FAC-BLIND-F0114","FAC-BLIND-REVIEW-N030-R1","FAC-BLIND-N030","30","028_II_1_30_spaces_condition_A.tex lines81-95","fac-2_1.tex lines74-84","fac_body.tex line1150","external_proof_family_substitution","deduces V_i subset Z and V_j subset Y from the preceding irreducibility argument","attributes the deduction to assumptions on Y_i, an unrelated family from Proposition2","the preceding argument about the V_i","none_codex","The proof of Proposition3 concerns the open family V_i; the earlier irreducible components Y_i are not hypotheses of this proposition","reviewed",""
"FAC-BLIND-F0115","FAC-BLIND-REVIEW-N034-R1","FAC-BLIND-N034","34","032_II_1_34_algebraic_variety_structure.tex lines9-15","fac-2_1.tex lines231-237","fac_body.tex lines1215-1221","external_structure_sheaf_case_substitution","defines the subsheaf O_X on the set X","defines it as O_x with a lowercase point index","O_X","none_codex","The datum is the global structure sheaf on X, not a stalk or object indexed by an unspecified point x","reviewed",""
"FAC-BLIND-F0116","FAC-BLIND-REVIEW-N034-R1","FAC-BLIND-N034","34","032_II_1_34_algebraic_variety_structure.tex line17","fac-2_1.tex lines239-243","fac_body.tex line1223","external_isomorphism_target_sheaf_substitution","an isomorphism from X to Y carries O_X to O_Y","says it carries O_X to O_X","O_Y","none_codex","A ringed-space isomorphism must identify the source structure sheaf with the target structure sheaf; mapping O_X to itself does not express an isomorphism onto Y","reviewed",""
"FAC-BLIND-F0117","FAC-BLIND-REVIEW-N034-R1","FAC-BLIND-N034","34","032_II_1_34_algebraic_variety_structure.tex line36","fac-2_1.tex lines280-285","fac_body.tex line1244","external_uniqueness_omission","asserts existence of a unique prealgebraic-variety structure on X times X' with the chart property","asserts existence but omits uniqueness","exists uniquely","none_codex","The corollary is a uniqueness statement inherited from the gluing proposition; dropping uniqueness weakens the mathematical result","reviewed",""
"FAC-BLIND-F0118","FAC-BLIND-REVIEW-N034-R1","FAC-BLIND-N034","34","032_II_1_34_algebraic_variety_structure.tex lines44-54","fac-2_1.tex lines303-312","fac_body.tex lines1252-1254","external_chart_index_omission","uses charts phi_i:X_i to U_i and defines T_ij=(phi_i times phi_j)(X_ij)","introduces phi:X_i to U_i and then applies phi times phi_j, omitting the i index twice","phi_i and phi_j","none_codex","The separation test is indexed by the pair (i,j); both chart maps must carry their corresponding indexed pieces to U_i and U_j","reviewed",""
"FAC-BLIND-F0119","FAC-BLIND-REVIEW-N035-R1","FAC-BLIND-N035","35","033_II_1_35_regular_maps_induced_structures_products.tex lines28-32","fac-2_1.tex lines361-368","fac_body.tex line1280","external_primed_chart_index_collapse","uses phi'_{i'}:V'_{i'} to U'_{i'} and the four indices i,j,i',j'","uses phi'_i:V'_i to U'_i while the resulting T factors are indexed by i',j'","phi'_{i'} with V'_{i'} and U'_{i'}","none_codex","The second variety has its own primed chart index set; collapsing i' to i breaks the four-index product statement and the subsequent T' notation","reviewed",""
"FAC-BLIND-F0120","FAC-BLIND-REVIEW-N035-R1","FAC-BLIND-N035","35","033_II_1_35_regular_maps_induced_structures_products.tex lines28-32","fac-2_1.tex lines365-368","fac_body.tex line1280","external_product_chart_target_substitution","states that T_ij times T'_{i',j'} is closed in U_i times U_j times U'_{i'} times U'_{j'}","uses V'_{j'} as the final factor of the ambient affine chart product","U'_{j'}","none_codex","T'_{i',j'} lies in the product of the affine chart targets U'_{i'} and U'_{j'}, not in a product ending with the source open set V'_{j'}","reviewed",""
"FAC-BLIND-F0121","FAC-BLIND-REVIEW-N041-R1","FAC-BLIND-N041","41","039_II_2_41_sheaf_associated_fiber_space.tex lines20-24","fac-2_2.tex lines196-206","fac_body.tex lines1396 and1408","external_bibliographic_volume_substitution","cites Dolbeault in C. R. Paris volume236 (1953), pages175-177","cites volume246","volume236","none_codex","The numbered source note and the published bibliographic entry both give volume236; 246 is an unsupported digit substitution","reviewed",""
"FAC-BLIND-F0122","FAC-BLIND-REVIEW-N042-R1","FAC-BLIND-N042","42","040_II_3_42_affine_varieties.tex line12","fac-2_3.tex lines18-20","fac_body.tex line1417","external_ambient_variety_symbol_substitution","defines an open subset U of an algebraic variety X and uses the structure induced from X","defines U as a subset of V but then says its structure is induced from X","X throughout","none_codex","The French authority consistently names the ambient variety X; the comparator's V is an unsupported substitution that leaves X unbound in the same sentence","reviewed",""
"FAC-BLIND-F0123","FAC-BLIND-REVIEW-N042-R1","FAC-BLIND-N042","42","040_II_3_42_affine_varieties.tex line28","fac-2_3.tex line58","fac_body.tex line1433","external_malformed_membership_command","writes x\\in U'","writes x \\ in U'","x\\in U'","none_codex","The authority asserts membership; the comparator inserts a space between the control symbol and command name, producing malformed TeX rather than the membership relation","reviewed",""
"FAC-BLIND-F0124","FAC-BLIND-REVIEW-N048-R1","FAC-BLIND-N048","48","046_II_4_48_sheaf_associated_to_module.tex lines78-82","fac-2_4.tex lines55-57","fac_body.tex lines1662-1667","external_tensor_factor_substitution","identifies A_S tensor_A M with M_S by a/s tensor m maps to a m/s","identifies A_S tensor_A A with M_S while still mapping a/s tensor m","A_S tensor_A M","none_codex","Both the displayed element m and the French authority require M as the second tensor factor; substituting A makes the stated isomorphism false for a general module M","reviewed",""
"FAC-BLIND-F0125","FAC-BLIND-REVIEW-N050-R1","FAC-BLIND-N050","50","048_II_4_50_projective_modules_vector_fiber_spaces.tex lines24-30","fac-2_4.tex lines162-165","fac_body.tex lines1742-1747","external_supremum_index_misattachment","writes sup_{x in V} dim(O_x tensor_A M)=0","writes Sup dim_{x in V}(O_x tensor_A M)=0","sup_{x in V} dim(O_x tensor_A M)=0","none_codex","The authority takes the supremum over x of the local dimensions; the comparator attaches x in V as a subscript to dim instead of to Sup","reviewed",""
