"review_id","comparator_id","fac_number","mechanical_triage","french_locator","codex_locator","external_locator","unit_fidelity_disposition","codex_change_required","french_change_required","material_findings_logged","decision_basis","reviewer","review_date","review_status","supersedes_review_id"
"FAC-BLIND-REVIEW-N054-R1","FAC-BLIND-N054","54","medium_mechanical_difference","corrected French fac_body.tex lines1860-1886; authority physical51-52/printed246-247","components/052_III_2_54_operation_F_n.tex lines14-120","fac-3_2.tex lines6-68","Codex source-aligned; external comparator weakens the homogeneous-function definition and changes f_i to f_j in the local identification","false","false","2","French twisting construction, homogeneous module description, both propositions, and gluing formulas personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N055-R1","FAC-BLIND-N055","55","high_mechanical_difference","corrected French fac_body.tex lines1889-1924; authority physical52-53/printed247-248","components/053_III_2_55_sections_of_F_n.tex lines7-124","fac-3_2.tex lines69-148","Codex source-aligned; external broadens an explicitly affine-variance lemma description; remaining differences are English register/structure","false","false","1","French Lemmas1-2, Theorem1, corollary, twisting formulas, and quantifiers personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N056-R1","FAC-BLIND-N056","56","low_mechanical_difference","corrected French fac_body.tex lines1927-1952; authority physical53-54/printed248-249","components/054_III_2_56_graded_modules.tex lines7-89","fac-3_2.tex lines149-202","Codex and external comparator independently preserve the graded algebra, shifted modules, class C, C-morphisms, condition TF, and free graded modules","false","false","0","French grading indices, direct-sum conditions, homogeneous maps and shifts, closure class, kernel/cokernel definitions, finite-generation tail condition, and homogeneous bases personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N057-R1","FAC-BLIND-N057","57","low_mechanical_difference","corrected French fac_body.tex lines1955-1996; authority physical54-55/printed249-250","components/055_III_2_57_sheaf_associated_to_graded_module.tex lines7-80","fac-3_2.tex lines203-254","Codex source-aligned; external comparator replaces two singleton conditions by X and bare x","false","false","2","French S(U), M_U, fraction equivalence, module operations, transition maps, stalk limit, A(M), functoriality, and degree-zero localization warning personally compared; logged French singleton repair retained","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N058-R1","FAC-BLIND-N058","58","low_mechanical_difference","corrected French fac_body.tex lines1999-2040; authority physical55-56/printed250-251","components/056_III_2_58_first_properties_functor_A.tex lines7-129","fac-3_2.tex lines255-330","Codex source-aligned; external comparator omits the authority's empty-zero-locus alternative in the Nullstellensatz argument","false","false","1","French exactness proof, shift isomorphisms, O(n) corollary, condition-TF coherence, annihilator argument, empty-or-origin zero locus, finite-generation conclusion, and C-isomorphism criterion personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N059-R1","FAC-BLIND-N059","59","high_mechanical_difference","corrected French fac_body.tex lines2043-2076; authority physical56-57/printed251-252","components/057_III_2_59_graded_module_associated_to_algebraic_sheaf.tex lines7-124","fac-3_2.tex lines332-393","Codex source-aligned; external omits the complete componentwise definition of the S-action","false","false","1","French graded-section construction, component formula, alpha/beta definitions, and Propositions7-8 personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N060-R1","FAC-BLIND-N060","60","medium_mechanical_difference","corrected French fac_body.tex lines2079-2130; authority physical57-58/printed252-253","components/058_III_2_60_coherent_algebraic_sheaves.tex lines7-86","fac-3_2.tex lines394-454","Codex source-aligned; external comparator substitutes Gamma(F) for Gamma(L) in Proposition9","false","false","1","French Proposition9, condition TF, Theorem2, exact presentations, and commutative diagram personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N061-R1","FAC-BLIND-N061","61","low_mechanical_difference","corrected French fac_body.tex lines2133-2193; authority physical58-59/printed253-254","components/059_III_3_61_complexes_Ck_and_C.tex lines16-122","fac-3_3.tex lines6-73","Codex source-aligned; external comparator corrupts a transition-map composition, two H^q displays, and the opening arrow of the long exact sequence","false","false","3","French cochain degrees and alternation, differential, de Rham form, transition maps, direct-limit complex/cohomology, functoriality, short-exact-to-long-exact construction, and Ext remark personally compared; corrected terminal index i_q retained","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N062-R1","FAC-BLIND-N062","62","low_mechanical_difference","corrected French fac_body.tex lines2195-2267; authority physical59-61/printed254-256","components/060_III_3_62_computation_Hk_for_modules.tex lines8-155","fac-3_3.tex lines75-162","Codex source-aligned; external comparator makes rho_k^h an endomorphism of H_k^q instead of mapping to H_h^q","false","false","1","French alpha maps, generated and colon submodules, de Rham criterion, S(n) basis, top cohomology quotient, beta reparametrization, stabilization map, dimensions, and binomial convention personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N063-R1","FAC-BLIND-N063","63","medium_mechanical_difference","corrected French fac_body.tex lines2270-2339; authority physical61-62/printed256-257","components/061_III_3_63_general_properties_Hq_M.tex lines8-90","fac-3_3.tex lines164-264","Codex source-aligned; external comparator has a malformed lower bound and silently preserves the printed omission of the superscript 0 on L_n","false","false","2","French Proposition3, all three conclusions, syzygy induction, five-lemma diagram, vanishing argument, and alpha diagram personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N064-R1","FAC-BLIND-N064","64","medium_mechanical_difference","corrected French fac_body.tex lines2342-2403; authority physical62-63/printed257-258","components/062_III_3_64_comparison_cohomology_groups.tex lines8-129","fac-3_3.tex lines265-357","Codex source-aligned; external comparator corrupts the exact cochain sequence by omitting a closing parenthesis","false","false","1","French cochain construction, Proposition4, exact sequences, comparison diagram, free-module reduction, corollary, and injectivity remark personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N065-R1","FAC-BLIND-N065","65","low_mechanical_difference","corrected French fac_body.tex lines2406-2430; authority physical63-64/printed258-259","components/063_III_3_65_applications.tex lines7-92","fac-3_3.tex lines358-413","Codex and external comparator independently preserve the C-bijection, reconstruction, finiteness, vanishing, and explicit top-cohomology basis applications","false","false","0","French Propositions5-8, alpha and beta compositions, sufficiently-large twists, H^r dimension and alternating-cocycle basis, and canonical top class personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N066-R1","FAC-BLIND-N066","66","high_mechanical_difference","corrected French fac_body.tex lines2432-2463; authority physical64-65/printed259-260","components/064_III_3_66_coherent_sheaves_projective_varieties.tex lines7-93","fac-3_3.tex lines414-473","Codex source-aligned; external contains a malformed extra parenthesis in the O_V(n) isomorphism","false","false","1","French extension-by-zero argument, twisting construction, Theorems1-2, and bundle interpretation personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N067-R1","FAC-BLIND-N067","67","medium_mechanical_difference","corrected French fac_body.tex lines2465-2483; authority physical65-66/printed260-261","components/065_III_3_67_supplement.tex lines7-91","fac-3_3.tex lines474-535","Codex source-aligned; external comparator strengthens condition (ii) incorrectly, skips a necessary injectivity step, and changes H_1^0 to H_q^0","false","false","3","French Proposition9 conditions, necessity proof, descending-induction injectivity and surjectivity arguments, and both remarks personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N068-R1","FAC-BLIND-N068","68","medium_mechanical_difference","corrected French fac_body.tex lines2486-2523; authority physical66-67/printed261-262","components/066_III_4_68_Ext_functors.tex lines14-100","fac-3_4.tex lines6-60","Codex source-aligned; external comparator corrupts the homogeneous-component formulas and both long exact Ext sequences","false","false","4","French graded Hom and Ext definitions, resolution complex, homogeneous components, shift isomorphisms, and both variance-sensitive long exact sequences personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N069-R1","FAC-BLIND-N069","69","low_mechanical_difference","corrected French fac_body.tex lines2524-2587; authority physical67-68/printed262-263","components/067_III_4_69_interpretation_Hk_via_Ext.tex lines9-124","fac-3_4.tex lines61-135","Codex and external comparator independently preserve the B_k and B constructions, Koszul resolution, Ext identification, transitions, and geometric remark","false","false","0","French graded direct sums, S-action, alpha map, J_k and L_k degrees, differential and augmentation, exact resolution, transpose complex, degree-zero corollary, inductive transition, and Y-cohomology remark personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N070-R1","FAC-BLIND-N070","70","medium_mechanical_difference","corrected French fac_body.tex lines2589-2622; authority physical68-69/printed263-264","components/068_III_4_70_definition_functors_Tq.tex lines9-100","fac-3_4.tex lines137-172","Codex source-aligned; external comparator drops the leading arrow into B^q(M) in the long exact sequence","false","false","1","French dual-module construction, exact contravariance, definition and functoriality of T^q, both long exact sequences, alpha-star, and vanishing personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N071-R1","FAC-BLIND-N071","71","medium_mechanical_difference","corrected French fac_body.tex lines2624-2696; authority physical69-70/printed264-265","components/069_III_4_71_determination_Tr.tex lines9-176","fac-3_4.tex lines173-238","Codex and external comparator independently preserve the source mathematics; mechanical differences are exposition and TeX structure only","false","false","0","French Omega definition, perfect pairing, free-module monomial bases, dual-basis calculation, presentation diagram, and exactness argument personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N072-R1","FAC-BLIND-N072","72","medium_mechanical_difference","corrected French fac_body.tex lines2698-2804; authority physical70-72/printed265-267","components/070_III_4_72_determination_Tq.tex lines10-150","fac-3_4.tex lines239-328","Codex source-aligned; external comparator preserves the printed omitted r+1 exception and drops the contravariance of the E^q functors","false","false","2","French Theorem1, corrected exceptional indices, E^q cases, derived-functor axioms, alpha-star diagram, exceptional coboundaries, and both corollaries personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N073-R1","FAC-BLIND-N073","73","high_mechanical_difference","corrected French fac_body.tex lines2810-2885; authority physical72-73/printed267-268","components/071_III_5_73_relations_global_local_Ext.tex lines9-121","fac-3_5.tex lines4-57","Codex source-aligned; external replaces a required stalk subscript x by S in an exact sequence","false","false","1","French Ext comparison, resolution, boundary/cocycle exact sequences, and localization proof personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N074-R1","FAC-BLIND-N074","74","high_mechanical_difference","corrected French fac_body.tex lines2887-2957; authority physical73-74/printed268-269","components/072_III_5_74_vanishing_negative_twists.tex lines10-126","fac-3_5.tex lines58-120","Codex source-aligned and discloses the printed L_p/L_i defect; external contains three material module/exponent/index errors","false","false","3","French Theorems1-2, module-dimension definition, Ext criterion, and induction proof personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N075-R1","FAC-BLIND-N075","75","medium_mechanical_difference","corrected French fac_body.tex lines2959-3012; authority physical74-75/printed269-270","components/073_III_5_75_nonsingular_varieties.tex lines9-75","fac-3_5.tex lines121-159","Codex source-aligned; external comparator changes the abstract-case framing and corrupts the ideal, augmentation, ordered indices, and Koszul coefficient","false","false","5","French Theorem3 hypotheses and vanishing, local ideal and Cohen-Macaulay step, Koszul resolution, corollary, and complete-intersection remark personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N076-R1","FAC-BLIND-N076","76","medium_mechanical_difference","corrected French fac_body.tex lines3014-3057; authority physical75-76/printed270-271","components/074_III_5_76_normal_varieties.tex lines9-108","fac-3_5.tex lines160-224","Codex source-aligned; external comparator corrupts the Ext cokernel display, both applications of Lemma2, the dimension chain, and projective normality","false","false","7","French Lemma2 and Ext proof, Theorem4 hypotheses, two non-zero-divisor reductions, syzygy bound, corollary, and both remarks personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N077-R1","FAC-BLIND-N077","77","low_mechanical_difference","corrected French fac_body.tex lines3060-3147; authority physical76-78/printed271-273","components/075_III_5_77_homological_characterization_first_kind.tex lines9-163","fac-3_5.tex lines225-325","Codex source-aligned; external comparator omits M from Lemma3, drops Proposition7 from a proof citation, and weakens biregular isomorphism to birational isomorphism","false","false","3","French Ext criterion, cohomological characterization, first-kind definition, local corollary, Veronese converse, H0 and negative-twist argument, conditions a-c, and final nonsingular corollary personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N078-R1","FAC-BLIND-N078","78","medium_mechanical_difference","corrected French fac_body.tex lines3149-3196; authority physical78-79/printed273-274","components/076_III_5_78_complete_intersections.tex lines9-105","fac-3_5.tex lines327-374","Codex source-aligned; external comparator silently preserves the printed basis-degree defect and corrupts the Koszul signs, coboundary range, top cohomology index, and final logical implication","false","false","5","French complete-intersection definition, corrected basis degrees, Koszul resolution and coboundary, Ext concentration, Proposition5 items, and final necessary condition personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
"FAC-BLIND-REVIEW-N079-R1","FAC-BLIND-N079","79","high_mechanical_difference","corrected French fac_body.tex lines3202-3293; authority physical79-80/printed274-275","components/077_III_6_79_euler_poincare_characteristic.tex lines13-118","fac-3_6.tex lines6-59","Codex source-aligned; external truncates the second Proposition2 exact sequence by omitting the terminal zero","false","false","1","French characteristic definition, alternating-sum lemma, and both propositions personally compared","Codex session lead","2026-08-03","reviewed_pass_codex_no_change",""
