concept_key,preferred_label,strata,priority_band,priority_score,priority_reasons,union_lane_count,lanes_present,c2_stratum,c2_missing_lanes,c2_context_covered,ws_west_status,ws_south_status,weighted_action,weighted_sensitivity,current_isv,top_by_scheme,risk_flags,aggregate_source_weight,main_sources,de_labels,isv_labels,uk_labels,ru_labels
factor,factor,curriculum_algebra,D_background,10,C2 core; C2 missing 2 lanes,3,arabic_farsi_persianate; interslavic; pan_romance,curriculum_algebra,controlled_arabic; malay_indonesian,,,,,,,,C2_core; C2_missing_lanes; lane_status_review_or_gap,1.4,"interslavic:noether_paper02_section07_terms.json; noether_paper02_section15_terms.json; pan_romance:{""es"": ""cum_es.tex:293"", ""fr"": ""cum_fr_P19s12.tex:200""}",,,,
factor ring,factor ring,,D_background,0,,1,malay_indonesian,,,,,,,,,,lane_status_review_or_gap,0.2,malay_indonesian:UIN factor-ring section,,,,
factor system,factor system,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1,1.1,,Faktorensystem; faktorensystem,faktorna sistema,фактор-система,фактор-система
field,field,curriculum_algebra,C_core_fill,12,C2 core; C2 missing 1 lanes; multi-lane core,4,arabic_farsi_persianate; controlled_arabic; malay_indonesian; pan_romance,curriculum_algebra,interslavic,True,support+competitor,support+competitor,confirm_current,stable,polje,"{""dependence_pd"": ""polje"", ""equal_branch"": ""polje"", ""equal_splits"": ""polje"", ""population_proxy"": ""polje""}",C2_core; C2_missing_lanes; F10-0; F10-1; lane_status_review_or_gap,4.6,"bulgarian_sofia_noncommutative_body_problem.txt; bulgarian_sofia_rings_lecture7.txt; croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_cuni_telesa_pole_note.txt; malay_indonesian:UIN field/lapangan; UMT medan; pan_romance:{""es"": ""cum_es.tex:4229"", ""fr"": ""cum_fr_P19s12.tex:170""}",Kreiskörper; Körper; Körper (nicht notwendig kommutativ); Körper; kommutativer Körper; Nullstelle / Nullstellenkörper; Nullstellenkörper; Sylowkörper; Zahl- und Funktionenkörper; Zerfällungskörper; Separationskörper; Zwischenkörper / Durchschnittskörper; koerper; kommutativer Körper K; kommutativer Körper P; körper; vollkommener/unvollkommener Körper,Sylowovo polje; komutativno polje K; komutativno tělo P; kružno polje,досконале/недосконале поле; комутативне поле K; комутативне поле P; кругове поле,коммутативное поле K; коммутативное поле P; круговое поле; нуль / поле нулей
field of automorphisms,field of automorphisms,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-0,1.1,,Automorphismenkörper K_ν; automorphismenkoerper; automorphismenkörper,tělo avtomorfizmov K_ν,тіло автоморфізмів K_ν,тело автоморфизмов K_ν
finite,finite,curriculum_algebra,D_background,10,C2 core; C2 missing 2 lanes,3,arabic_farsi_persianate; malay_indonesian; pan_romance,curriculum_algebra,controlled_arabic; interslavic,True,,,,,,,C2_core; C2_missing_lanes; lane_status_review_or_gap,2.15,"malay_indonesian:UKM/UM terminology rows; pan_romance:{""es"": ""cum_es.tex:303"", ""fr"": ""cum_fr_P19s12.tex:210""}",,,,
finite group,finite group,,D_background,0,,1,controlled_arabic,,,,,,,,,,,0.2,,,,,
finiteness theorem,finiteness theorem,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,,0,,endlichkeitssatz,,,
folding,folding,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-0; F10-1,1.1,,"Defekt der Faltung; Faltung; Faltung von $\theta$ mit $\nu$; Faltung von $f$ mit $\nu$; Faltung von $s$ mit $\nu; H; L; H^2$; Faltung von K,j,\A mit \nu; f mit H; Faltung von s mit den Formen 7. Ordnung; Faltung von s mit den Formen fünfter Ordnung und dem Produkt; Faltung von s mit den Formen sechster Ordnung; Faltungsprozeß / Faltung; Faltungsprozeß/Faltung; Faltungsprozeß/Faltungen; Faltungsprozeß/Grundfaltungen; Reduktionen folgen direkt ... durch einmalige Faltung; Schema zur Faltung; direkte Faltung; einmalige Faltung; einmalige faltung; faltung; faltungsprozess; faltungsprozeß; faltungsprozeß/faltung; kogrediente Faltung vom Defekt \rho; spezielle zweimalige Faltung; sukzessive einmalige Faltung; tritt nicht in Faltung ein","Svijanje $\theta$ s $\nu$; Svijanje $f$ s $\nu$; Svijanje K,j,\A s \nu; f s H; defekt svijanja",згортання; згортання $s$ з $\nu; H; L; H^2$; згортання s з формами 5-го порядку і з добутком; згортання s з формами 6-го порядку,не входит в свертку; однократная свертка; процесс свёртки / свёртка; редукции непосредственно следуют ... посредством однократной свертки
for all,for all,proof_grammar,C_core_fill,14,C2 core; C2 missing 4 lanes,1,pan_romance,proof_grammar,controlled_arabic; arabic_farsi_persianate; malay_indonesian; interslavic,True,,,,,,,C2_core; C2_missing_lanes,1.75,"pan_romance:{""es"": ""cum_es.tex:474"", ""fr"": ""cum_fr_P19s12.tex:373""}",,,,
form,form,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-0; F10-1; F10-4,1.1,,Formen von n Variabeln; Fundamentalgleichung / Fundamentalform; Normalform; Produkte von Formen niedrigeren Grades ausgelassen; Produktsatz in allgemeinster Form; Relationen für die zerfallenden Formen; Zerfallen oder Reduzibilität der übrigen Formen; Zerlegungsidentitäten in expliziter Form; beliebige Formen; die übrigen Formen; dualistischen Formen; durch Zurückgehen ... auf niedrigere Formen; einzelne Formen; entsprechenden Formen; form; formen; formen von n variabeln; höhere Form; höhere Formen; kontragrediente Formen; ternäre biquadratische Form; übernommene Formen,Razkladanje ili reducibilnost ostalyh form; dualistične formy; form v $n$ prěměnnyh; fundamentalno uravnenje / fundamentalna forma,вища форма; відповідні форми; дуалістичні форми; контрагредієнтні форми,более высокая форма; дуалистические формы; заимствованные формы; контрагредиентные формы
form sequence,form sequence,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1; F10-2,1.1,,Formenreihe; Formenreihe/Formenreihen; formenreihe; formenreihe/formenreihen; formenreihen; zerfallende Formenreihe; zerfallende Formenreihen oder Formen,razkladny ręd form; razložime rědy form ili formy; ręd form; ręd form / rędy form,"розкладний ряд форм; ряд форм; ряд форм / ряди форм; ряди форм чи форми, що розкладаються на множники","разложимый ряд форм; ряд форм; ряд форм / ряды форм; ряды форм или формы, распадающиеся на множители"
form system,form system,noether_corpus,C_core_fill,24,C2 core; C2 missing 3 lanes; C2 context pending; Noether/historical stratum,2,arabic_farsi_persianate; interslavic,noether_corpus,pan_romance; controlled_arabic; malay_indonesian,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes; lane_status_review_or_gap,1.2,interslavic:noether_paper02_section03_terms.json,,,,
formula,formula,proof_grammar,C_core_fill,12,C2 core; C2 missing 3 lanes,2,interslavic; malay_indonesian,proof_grammar,pan_romance; controlled_arabic; arabic_farsi_persianate,True,,,,,,,C2_core; C2_missing_lanes,1.95,interslavic:noether_paper02_section06_terms.json; malay_indonesian:UKM Cauchy formula rows; UM terminology,,,,
function,function,curriculum_algebra,D_background,10,C2 core; C2 missing 2 lanes,3,arabic_farsi_persianate; controlled_arabic; malay_indonesian,curriculum_algebra,pan_romance; interslavic,True,,,,,,,C2_core; C2_missing_lanes; lane_status_review_or_gap,2.15,malay_indonesian:UKM/UPM course rows; Indonesian algebra rows,,,,
functional determinant,functional determinant,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-0; F10-1,1.1,,Funktionaldeterminante; Funktionaldeterminanten; Zerfallen von Überschiebungen mit Funktionaldeterminanten; funktionaldeterminante; funktionaldeterminanten; Überschiebung über Funktionaldeterminanten; Überschiebung über eine Funktionaldeterminante; Überschiebungen über Funktionaldeterminanten; überschiebung über funktionaldeterminanten,funkcionalne determinanty; funkcionalny determinant; razkladanje transvekcij s funkcionalnymi determinantami; transvekcija črez funkcionalne determinanty,трансвекція через функціональний детермінант; функціональний детермінант; функціональні детермінанти,трансвекция через функциональный детерминант; функциональные детерминанты; функциональный детерминант
galois,galois,,D_background,0,,2,controlled_arabic; pan_romance,,,,,,,,,,,0.4,"pan_romance:{""es"": ""cum_es.tex:5344"", ""fr"": ""french/0711.3658v2/rat1e.tex:86""}",,,,
galois group,Galois group,curriculum_algebra,D_background,0,,0,,,,,,,,,,,,0,,galoisgruppe; galoissche gruppe,,,
general ideal theory,general ideal theory,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1,1.1,,allgemeine Idealtheorie; allgemeine idealtheorie; idealtheorie,obča teorija idealov,загальна теорія ідеалів,общая теория идеалов
greatest common divisor,greatest common divisor,,D_background,0,,1,pan_romance,,,,,,,,,,,0.2,"pan_romance:{""es"": ""spanish/github_apuntes-uam-infomat_apuntes/Estructuras Algebraicas/Estructuras_Algebraicas.tex:810"", ""fr"": ""french/1005.0462v1/torseur.tex:211""}",,,,
ground form,ground form,noether_corpus,B_backfill_or_variant,26,C2 core; C2 missing 4 lanes; C2 context pending; Noether/historical stratum,1,arabic_farsi_persianate,noether_corpus,pan_romance; controlled_arabic; malay_indonesian; interslavic,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes; lane_status_review_or_gap,1.0,,grundform; grundformen,,,
group,group,curriculum_algebra,C_core_fill,12,C2 core; C2 missing 1 lanes; multi-lane core,4,arabic_farsi_persianate; controlled_arabic; malay_indonesian; pan_romance,curriculum_algebra,interslavic,True,support,support,confirm_current,stable,grupa,"{""dependence_pd"": ""grupa"", ""equal_branch"": ""grupa"", ""equal_splits"": ""grupa"", ""population_proxy"": ""grupa""}",C2_core; C2_missing_lanes; F10-0; F10-1; lane_status_review_or_gap,4.6,"bulgarian_sofia_noncommutative_body_problem.txt; croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; czech_karlin_galois_splitting_field.txt; malay_indonesian:UKM algebra course; UIN group rows; pan_romance:{""es"": ""cum_es.tex:2695"", ""fr"": ""cum_fr_P19s12.tex:2605""}",Faktorgruppe; Klassen ähnlicher Algebren; Gruppe der Klassen; R. Brauersche Gruppe; einfache Gruppe; gruppe; gruppen,Brauerova grupa; faktorgrupa; klasy podobnyh algeber; grupa klasov; prosta grupa,група Брауера; класи подібних алгебр; група класів; проста група; фактор-група,группа Брауэра; классы подобных алгебр; группа классов; простая группа; фактор-группа
group action,group action,,D_background,0,,1,controlled_arabic,,,,,,,,,,,0.2,,,,,
group representation,group representation,,D_background,0,,1,controlled_arabic,,,,,,,,,,lane_status_review_or_gap,0.2,,,,,
group ring,group ring,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-3,1.1,,Gruppenring; gruppenring,grupno kolco; grupovo kolco,групове кільце,групповое кольцо
hilbert basis theorem,Hilbert basis theorem,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,,0,,basissatz; hilbertscher basissatz,,,
homomorphism,homomorphism,curriculum_algebra,C_core_fill,12,C2 core; C2 missing 1 lanes; multi-lane core,4,arabic_farsi_persianate; controlled_arabic; malay_indonesian; pan_romance,curriculum_algebra,interslavic,True,support,support,confirm_current,stable,homomorfizm,"{""dependence_pd"": ""homomorfizm"", ""equal_branch"": ""homomorfizm"", ""equal_splits"": ""homomorfizm"", ""population_proxy"": ""homomorfizm""}",C2_core; C2_missing_lanes; lane_status_review_or_gap,3.5,"bulgarian_sofia_noncommutative_body_problem.txt; croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; czech_karlin_galois_splitting_field.txt; malay_indonesian:UIN homomorphism section; UKM/UM terminology; pan_romance:{""es"": ""cum_es.tex:13557"", ""fr"": ""french/0711.3658v2/rat1e.tex:124""}",homomorph; homomorphismus,,,
hypercomplex system,hypercomplex system,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1,1.1,,Einordnung der hyperkomplexen Systeme; Hyperkomplexes System; einordnung der hyperkomplexen systeme; hyperkomplexe systeme; hyperkomplexes system,Uvrstjenje hiperkompleksnyh sistemov v teoriju; hiperkompleksny sistem,Впорядкування гіперкомплексних систем у теорії; гіперкомплексна система,Встраивание гиперкомплексных систем в теорию; гиперкомплексная система
ideal,ideal,curriculum_algebra,C_core_fill,12,C2 core; C2 missing 1 lanes; multi-lane core,4,arabic_farsi_persianate; controlled_arabic; malay_indonesian; pan_romance,curriculum_algebra,interslavic,True,support,support,confirm_current,stable,ideal,"{""dependence_pd"": ""ideal"", ""equal_branch"": ""ideal"", ""equal_splits"": ""ideal"", ""population_proxy"": ""ideal""}",C2_core; C2_missing_lanes; F10-1; F10-4; lane_status_review_or_gap,4.6,"bulgarian_sofia_noncommutative_body_problem.txt; croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; czech_karlin_galois_splitting_field.txt; malay_indonesian:UM Surabaya prime/maximal ideals; UM terminology; pan_romance:{""es"": ""cum_es.tex:7989"", ""fr"": ""french/0605499v2/indice1.tex:55""}",Erweiterungsideal; Verengungsideal; eigentliches Primärideal; ideal; ideale; irreduzibles Ideal; nilpotentes Ideal; schwaches / starkes Primideal; schwaches / starkes Primärideal; zulässiges Ideal; zweiseitige Ideale,dopustimy ideal; dvustranne idealy; ideal razširenja; ideal suženja,власний первинний ідеал; двосторонні ідеали; допустимий ідеал; нерозкладний ідеал,двусторонние идеалы; допустимый идеал; идеал расширения; идеал сужения
idempotent,idempotent,,D_background,0,,0,,,,,support,support,confirm_current,stable,idempotent,"{""dependence_pd"": ""idempotent"", ""equal_branch"": ""idempotent"", ""equal_splits"": ""idempotent"", ""population_proxy"": ""idempotent""}",,1.15,croatian_pmf_split_prsteni.txt; czech_cuni_representation_idempotents.txt; polish_mimuw_left_ideals_idempotents.txt; slovak_abstraktna_algebra.txt; slovenian_komutativna_algebra_noetherian.txt; slovenian_uvod_v_algebro.txt,,,,
identity,identity,proof_grammar,C_core_fill,20,C2 core; C2 missing 3 lanes; C2 context pending,2,malay_indonesian; pan_romance,proof_grammar,controlled_arabic; arabic_farsi_persianate; interslavic,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes,1.2,"malay_indonesian:Indonesian algebra rows; Malay terminology; pan_romance:{""es"": ""cum_es.tex:482"", ""fr"": ""french/1001.2849v1/1001.2849v1.tex:1050""}",,,,
identity (relation),identity (relation),proof_grammar,D_background,0,,0,,,,,,,,,,,F10-1,1.1,,Gesamtheit der unzerlegbaren Identitäten erschöpft; Identitäten entstehen nicht; identitaet; identität; identitäten; irreduzible unzerlegbare Identitäten; symbolische Identitäten; zerlegbare Identität; zusammengesetzte Identitäten,identičnosti ne nastavajut; nereduktibilne nerazložime identičnosti; razložima identičnost; simbolične identičnosti,,
identity matrix,identity matrix,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-4,1.1,,Einheitsmatrix; einheitsmatrix,jedinična matrica,одинична матриця,единичная матрица
identity operator,identity operator,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-1,1.1,,Einheitsoperator; einheitsoperator,jediničny operator,одиничний оператор,единичный оператор
if and only if,if and only if,proof_grammar,C_core_fill,14,C2 core; C2 missing 4 lanes,1,pan_romance,proof_grammar,controlled_arabic; arabic_farsi_persianate; malay_indonesian; interslavic,True,,,,,,,C2_core; C2_missing_lanes,1.75,"pan_romance:{""es"": ""spanish/1312.6798v1/uqc.tex:1018"", ""fr"": ""cum_fr_P19s12.tex:4109""}",,,,
image,image,curriculum_algebra,D_background,10,C2 core; C2 missing 2 lanes,3,arabic_farsi_persianate; controlled_arabic; malay_indonesian,curriculum_algebra,pan_romance; interslavic,True,,,,,,,C2_core; C2_missing_lanes; lane_status_review_or_gap,2.15,malay_indonesian:UM terminology,,,,
indecomposable,indecomposable,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-1,1.1,,direkt-unzerlegbar; direkt-unzerlegbar / zerlegbar; unzerlegbar,direktno nerazložimy; direktno nerazložimy / razložimy,прямо нерозкладний; прямо нерозкладний / розкладний,прямо неразложимый; прямо неразложимый / разложимый
infinite,infinite,,D_background,0,,1,malay_indonesian,,,,,,,,,,lane_status_review_or_gap,0.2,malay_indonesian:UKM complex-analysis rows,,,,
initial form,initial form,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1,1.1,,Anfangsform; anfangsform,početna forma,початкова форма,начальная форма
injective,injective,,D_background,0,,1,controlled_arabic,,,,,,,,,,,0.2,,,,,
integral domain,integral domain,curriculum_algebra,D_background,0,,1,malay_indonesian,,,,,,,,,,lane_status_review_or_gap,0.2,malay_indonesian:Indonesian PID/UFD rows,ganzheitsbereich; integritaetsbereich; integritätsbereich,,,
invariant,invariant,noether_corpus,C_core_fill,16,C2 core; C2 missing 1 lanes; multi-lane core; Noether/historical stratum,4,arabic_farsi_persianate; controlled_arabic; malay_indonesian; pan_romance,noether_corpus,interslavic,True,support,support,confirm_current,stable,invariant,"{""dependence_pd"": ""invariant"", ""equal_branch"": ""invariant"", ""equal_splits"": ""invariant"", ""population_proxy"": ""invariant""}",C2_core; C2_missing_lanes; F10-1; lane_status_review_or_gap,4.6,"croatian_mathhr_algebra_structures_2024.txt; czech_cuni_algebra_2021.txt; czech_karlin_commutative_rings_fields.txt; malay_indonesian:UM terminology invariant rows; pan_romance:{""es"": ""cum_es.tex:293"", ""fr"": ""cum_fr_P19s12.tex:168""}",invariante; invariante Bildungen; invarianten,invariantne tvorjenja,,
invariant theory,invariant theory,noether_corpus,C_core_fill,22,C2 core; C2 missing 2 lanes; C2 context pending; Noether/historical stratum,3,arabic_farsi_persianate; controlled_arabic; interslavic,noether_corpus,pan_romance; malay_indonesian,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes; lane_status_review_or_gap,1.4,interslavic:noether_paper02_section01_terms.json,,,,
inverse,inverse,,D_background,0,,1,malay_indonesian,,,,,,,,,,,0.2,malay_indonesian:Indonesian algebra; Malay terminology,,,,
irreducible,irreducible,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-1; F10-4,1.1,,Irreduzible Formen; Irreduzible Formen / Ordnung; absolut-irreduzibel; irreduzibel; irreduzible formen,absolutno ireducibilny; nereducibilne formy; nereducibilne formy / poręd,абсолютно незвідний; незвідні форми; незвідні форми / порядок,абсолютно неприводимый; неприводимые формы; неприводимые формы / порядок
irreducible ideal,irreducible ideal,,D_background,0,,1,pan_romance,,,,,,,,,,,0.2,"pan_romance:{""es"": ""cum_es.tex:767"", ""fr"": ""french/0605499v2/indice1.tex:1003""}",,,,
irreducible representation,irreducible representation,,D_background,0,,1,controlled_arabic,,,,,,,,,,,0.2,,,,,
isomorphism,isomorphism,curriculum_algebra,C_core_fill,12,C2 core; C2 missing 1 lanes; multi-lane core,4,arabic_farsi_persianate; controlled_arabic; malay_indonesian; pan_romance,curriculum_algebra,interslavic,True,support,support,confirm_current,stable,izomorfizm,"{""dependence_pd"": ""izomorfizm"", ""equal_branch"": ""izomorfizm"", ""equal_splits"": ""izomorfizm"", ""population_proxy"": ""izomorfizm""}",C2_core; C2_missing_lanes; lane_status_review_or_gap,3.5,"bulgarian_sofia_noncommutative_body_problem.txt; croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; czech_karlin_galois_splitting_field.txt; malay_indonesian:UIN isomorphism theorem rows; Malay rows; pan_romance:{""es"": ""cum_es.tex:6381"", ""fr"": ""french/0605499v2/indice1.tex:411""}",isomorph; isomorphismus,,,
kernel,kernel,curriculum_algebra,D_background,10,C2 core; C2 missing 2 lanes,3,arabic_farsi_persianate; controlled_arabic; malay_indonesian,curriculum_algebra,pan_romance; interslavic,True,support,support,confirm_current,stable,jadro,"{""dependence_pd"": ""jadro"", ""equal_branch"": ""jadro"", ""equal_splits"": ""jadro"", ""population_proxy"": ""jadro""}",C2_core; C2_missing_lanes; lane_status_review_or_gap,3.3,czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; malay_indonesian:UIN kernel row; UM terminology needs semantic review; polish_impan_algebra_lecture3.txt; polish_mimuw_algebra2_galois.txt; polish_uj_algebra1_noetherian.txt; polish_uwr_algebra2_rings.txt,,,,
least common multiple,least common multiple,curriculum_algebra,D_background,0,,1,pan_romance,,,,,,,,,,F10-1,1.3,"pan_romance:{""es"": ""spanish/github_apuntes-uam-infomat_apuntes/Algebra Conmutativa/tex/AlgebraConmutativa_Ejs.tex:275"", ""fr"": ""french/math_0206203v2/smf_doc-math_3_01.tex:25289""}",Darstellung als kleinstes gemeinsames Vielfaches; darstellung als kleinstes gemeinsames vielfaches; kleinstes gemeinsames Vielfaches / größter gemeinsamer Teiler; kleinstes gemeinsames vielfaches,najmenše obče mnogokratno / največši obči dělitelj; predstavjenje kako najmenše obče mnogokratno,найменше спільне кратне / найбільший спільний дільник; подання як найменше спільне кратне,наименьшее общее кратное / наибольший общий делитель; представление как наименьшее общее кратное
left,left,,D_background,0,,2,interslavic; pan_romance,,,,,,,,,,,0.4,"interslavic:noether_paper02_section01_terms.json; pan_romance:{""es"": ""cum_es.tex:552"", ""fr"": ""cum_fr_P19s12.tex:456""}",,,,
lemma,lemma,proof_grammar,C_core_fill,12,C2 core; C2 missing 1 lanes; multi-lane core,4,arabic_farsi_persianate; controlled_arabic; malay_indonesian; pan_romance,proof_grammar,interslavic,True,support+competitor,support,confirm_current,stable,lema,"{""dependence_pd"": ""lema"", ""equal_branch"": ""lema"", ""equal_splits"": ""lema"", ""population_proxy"": ""lema""}",C2_core; C2_missing_lanes; lane_status_review_or_gap,3.5,"bulgarian_sofia_noncommutative_body_problem.txt; croatian_mathhr_algebra_structures_2024.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; czech_karlin_galois_splitting_field.txt; malay_indonesian:Indonesian and Malay hits present; pan_romance:{""es"": ""cum_es.tex:4384"", ""fr"": ""cum_fr_P19s12.tex:4337""}; polish_mimuw_algebra2_galois.txt",hilfssaetze; hilfssatz; hilfssätze,,,
lie algebra,lie algebra,,D_background,0,,2,arabic_farsi_persianate; controlled_arabic,,,,,,,,,,lane_status_review_or_gap,0.4,,,,,
lie group,lie group,,D_background,0,,2,arabic_farsi_persianate; controlled_arabic,,,,,,,,,,lane_status_review_or_gap,0.4,,,,,
linear,linear,,D_background,0,,1,malay_indonesian,,,,,,,,,,lane_status_review_or_gap,0.2,malay_indonesian:UKM/UPM course rows,,,,
linear map,linear map,,D_background,0,,2,arabic_farsi_persianate; controlled_arabic,,,,,,,,,,lane_status_review_or_gap,0.4,,,,,
linear transformation,linear transformation,curriculum_algebra,D_background,0,,0,,,,,,,,,,,,0,,lineare transformation; lineare transformationen,,,
map,map,,D_background,0,,1,malay_indonesian,,,,,,,,,,,0.2,malay_indonesian:UIN homomorphism section; Malay terminology,,,,
map/application,map/application,,D_background,0,,2,arabic_farsi_persianate; controlled_arabic,,,,,,,,,,lane_status_review_or_gap,0.4,,,,,
matrix,matrix,curriculum_algebra,C_core_fill,12,C2 core; C2 missing 1 lanes; multi-lane core,4,arabic_farsi_persianate; controlled_arabic; malay_indonesian; pan_romance,curriculum_algebra,interslavic,True,support+competitor,support,confirm_current,stable,matrica,"{""dependence_pd"": ""matrica"", ""equal_branch"": ""matrica"", ""equal_splits"": ""matrica"", ""population_proxy"": ""matrica""}",C2_core; C2_missing_lanes; lane_status_review_or_gap,3.5,"bulgarian_sofia_noncommutative_body_problem.txt; bulgarian_sofia_rings_lecture7.txt; croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_cuni_telesa_pole_note.txt; malay_indonesian:UM terminology; Indonesian sparse hit; pan_romance:{""es"": ""cum_es.tex:482"", ""fr"": ""cum_fr_P19s12.tex:386""}",,,,
matrix product,matrix product,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-1,1.1,,Matrizenprodukt; matrizenprodukt,matričny produkt,,
maximal ideal,maximal ideal,,D_background,0,,1,malay_indonesian,,,,,,,,,,,0.2,malay_indonesian:UM Surabaya; UM terminology,,,,
module,module,curriculum_algebra,D_background,10,C2 core; multi-lane core,5,arabic_farsi_persianate; controlled_arabic; interslavic; malay_indonesian; pan_romance,curriculum_algebra,,True,support,support,confirm_current,stable,modul,"{""dependence_pd"": ""modul"", ""equal_branch"": ""modul"", ""equal_splits"": ""modul"", ""population_proxy"": ""modul""}",C2_core; F10-1; F10-3; lane_status_review_or_gap,4.8,"croatian_mathhr_algebra_structures_2024.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; interslavic:noether_paper02_section07_terms.json; malay_indonesian:Neliti module rows; UM terminology/course rows; pan_romance:{""es"": ""spanish/1312.6798v1/uqc.tex:78"", ""fr"": ""cum_fr_P19s12.tex:210""}; polish_mimuw_algebra2_galois.txt; polish_mimuw_left_ideals_idempotents.txt; polish_uj_algebra1_noetherian.txt","Erweiterungsring; Erweiterungsmodul; Hauptmodul; K-Rechtsmodul; Zurückführung des Moduls (A,ν) auf den Modul (ν); adj. Modul; als Modul adjungiert; endlicher Modul; höherer Modul; modul; moduln; nächsthöherer Modul",adjungovano kako modul; adjungovany modul; glavny modul; kolco razširenja; modul razširenja,"головний модуль; зведення модуля (A,ν) до модуля (ν); кільце розширення; модуль розширення; наступний вищий модуль","главный модуль; кольцо расширения; модуль расширения; конечный, то есть конечно порожденный модуль; правый K-модуль"
modulus,modulus,noether_corpus,B_backfill_or_variant,26,C2 core; C2 missing 4 lanes; C2 context pending; Noether/historical stratum,1,arabic_farsi_persianate,noether_corpus,pan_romance; controlled_arabic; malay_indonesian; interslavic,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes; lane_status_review_or_gap,1.0,,,,,
multiplier domain,multiplier domain,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1,1.1,,Multiplikatorenbereich; absoluter Multiplikatorenbereich; absoluter multiplikatorenbereich; multiplikatorenbereich,absolutna oblast množiteljev; oblast množiteljev,абсолютна область множників; область множників,абсолютная область множителей; область множителей
noetherian,noetherian,,D_background,0,,2,malay_indonesian; pan_romance,,,,support+competitor,support+competitor,confirm_current,stable,noetherov,"{""dependence_pd"": ""noetherov"", ""equal_branch"": ""noetherov"", ""equal_splits"": ""noetherov"", ""population_proxy"": ""noetherov""}",lane_status_review_or_gap,1.55,"croatian_mathhr_algebra_structures_2024.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; malay_indonesian:Neliti/UM Surabaya Noetherian rows; pan_romance:{""es"": ""cum_es.tex:7969"", ""fr"": ""cum_fr_P19s12.tex:138""}; polish_uj_algebra1_noetherian.txt; slovenian_komutativna_algebra_noetherian.txt; slovenian_uvod_v_algebro.txt",,,,
