"decision_id","french_term","spanish_term","sense","status","source_locator","evidence_note"
"SGA5-TERM-135","morphisme lissifiable","morfismo factorizable como una inmersión cerrada seguida de un morfismo liso","morphism admitting the smooth-factorization condition used in duality","adopted-explanatory","SGA5_FR_WORKPASS:3762-3764; [8] Appendix terminology","Prefer an explicit definition because no stable native Spanish one-word equivalent was attested"
"SGA5-TERM-136","pro-objet","proobjeto","pro-category object arising from exceptional direct image","adopted","SGA5_FR_WORKPASS:3765; coherent-sheaf Appendix §6.3","Use the closed Spanish prefix form proobjeto"
"SGA5-TERM-137","intersection excédentaire","intersección excesiva","intersection with excess dimension in the correspondence formalism","adopted","SGA5_FR_WORKPASS:3882-3884; coherent-sheaf Appendix Theorem 6.7","Use intersección excesiva in the established intersection-theory sense"
"SGA5-TERM-138","classe de cohomologie de Hodge","clase de cohomología de Hodge","fundamental cohomology class of a regular immersion","adopted","SGA5_FR_WORKPASS:3904-3919; coherent-sheaf Appendix §6.8","Retain the historical Hodge attribution and distinguish the class from a Hodge filtration"
"SGA5-TERM-139","résidu de Grothendieck","residuo de Grothendieck","relative residue attached to a regular immersion","adopted","SGA5_FR_WORKPASS:3904-3951; coherent-sheaf Appendix §6.8","Use residuo for the duality-theoretic trace functional"
"SGA5-TERM-140","morphisme de trace","morfismo de traza","adjunction counit defining a cohomological trace","adopted","SGA5_FR_WORKPASS:3938-3959; coherent-sheaf Appendix §§6.8-6.10","Use morfismo de traza and reserve traza alone for the induced scalar map"
"SGA5-TERM-141","formule de Woods Hole","fórmula de Woods Hole","fixed-point trace formula for coherent cohomology","adopted","SGA5_FR_WORKPASS:4043-4099; coherent-sheaf Appendix §§6.12-6.13","Use the established unhyphenated proper name in Spanish prose"
"SGA5-TERM-142","cohomologie cristalline","cohomología cristalina","crystalline cohomology over the Witt vectors","adopted","SGA5_FR_WORKPASS:4115; coherent-sheaf Appendix §6.13","Use cristalina, the standard Spanish mathematical term"
"SGA5-TERM-143","nombres duaux","números duales","dual-number base used for infinitesimal residue formulas","adopted","SGA5_FR_WORKPASS:4125; coherent-sheaf Appendix §6.15","Use números duales for the square-zero extension"
"SGA5-TERM-144","trace non commutative","traza no conmutativa","trace valued in a commutator quotient for noncommutative coefficients","adopted","SGA5_FR_WORKPASS:4168; Exposé III B introduction","Use traza no conmutativa and preserve the distinction from ordinary scalar trace"
"SGA5-TERM-145","correspondance équivariante","correspondencia equivariante","cohomological correspondence compatible with a group action","adopted","SGA5_FR_WORKPASS:4168,4179-4181; Exposé III B introduction and summary","Use equivariante in standard representation-theoretic Spanish"
"SGA5-TERM-146","position générale","posición general","tangent-cone transversality condition for curve correspondences","adopted","SGA5_FR_WORKPASS:4168,4274-4278; Exposé III B Theorem 1.2","Use posición general and retain the theorem's explicit tangent-cone definition"
"SGA5-TERM-147","cône tangent","cono tangente","scheme-theoretic tangent cone at a fixed intersection point","adopted","SGA5_FR_WORKPASS:4274-4278; Exposé III B Theorem 1.2","Use cono tangente and preserve intersection/reducedness hypotheses"
"SGA5-TERM-148","correspondance filtrée","correspondencia filtrada","cohomological correspondence in a filtered derived category","adopted","SGA5_FR_WORKPASS:4405-4432; Exposé III B Lemma 2.2","Use filtrada and retain the underlying graded correspondences"
"SGA5-TERM-149","théorème d'annulation","teorema de anulación","vanishing theorem used to reduce the local-term equality","adopted","SGA5_FR_WORKPASS:4342,4539-4555; Exposé III B §2","Use anulación for cohomological vanishing"
"SGA5-TERM-150","ramification modérée / modérément ramifié","ramificación moderada / moderadamente ramificado","tame ramification of cohomology sheaves or coverings","adopted","SGA5_FR_WORKPASS:4168,4624,14040; Exposé III B introduction and §2.6; Exposé XII §6.4(c)","Use moderada/moderadamente, the canonical Spanish arithmetic-geometric register"
"SGA5-TERM-151","action de l'inertie","acción de la inercia","action of an inertia group on sheaf cohomology","adopted","SGA5_FR_WORKPASS:4624; Exposé III B §2.6","Use inercia and say the action factors through an l-group"
"SGA5-TERM-152","trait strict","esquema regular estrictamente local de dimensión uno","strict trait in étale-local reduction arguments","adopted","SGA5_FR_WORKPASS:4634-4666; Exposé III B §§3.2-3.3","Expand the technical French noun precisely; do not use the ordinary Spanish word rasgo"
"SGA5-TERM-153","trait / S-trait","esquema de valoración discreta / esquema de valoración discreta sobre S","spectrum of a discrete valuation ring, optionally equipped with its S-morphism","adopted","SGA5_FR_WORKPASS:4669-4770; Exposé III B Lemmas 3.4-3.5 and proof of 3.3","Use the explicit scheme-theoretic phrase; when strictness is asserted, add estrictamente local"
"SGA5-TERM-154","uniformisante","uniformizante","generator of the maximal ideal of a discrete valuation ring","adopted","SGA5_FR_WORKPASS:4670-4770,13443-13459; Exposé III B §§3.4-3.5 and Exposé XII Proposition 4.6","Use uniformizante, standard Spanish valuation-theory terminology"
"SGA5-TERM-155","pente","pendiente","tangent slope attached to a branch in the product of traits","adopted","SGA5_FR_WORKPASS:4698-4770; Exposé III B §§3.4-3.5","Use pendiente and retain the cases 0, infinity and b/a"
"SGA5-TERM-156","indice de ramification","índice de ramificación","ramification index of a finite morphism of traits","adopted","SGA5_FR_WORKPASS:4703-4770; Exposé III B Lemma 3.5","Use the standard Spanish arithmetic-geometric term"
"SGA5-TERM-157","lemme d'Abhyankar","lema de Abhyankar","tame local covering lemma used in the purity reduction","adopted","SGA5_FR_WORKPASS:4864-4870; Exposé III B proof of Lemma 4.3","Retain the established proper name and use lema"
"SGA5-TERM-158","flèche de spécialisation","flecha de especialización","map induced by specialization of geometric points","adopted","SGA5_FR_WORKPASS:4870-4894; Exposé III B proof of Lemma 4.3","Use especialización in the étale-topos sense"
"SGA5-TERM-159","éclatement","explosión","blow-up of the maximal ideal","adopted","SGA5_FR_WORKPASS:4909; Exposé III B proof of Proposition 4.2","Use explosión, standard Spanish algebraic-geometry terminology"
"SGA5-TERM-160","diviseur exceptionnel","divisor excepcional","exceptional divisor of a blow-up","adopted","SGA5_FR_WORKPASS:4909; Exposé III B proof of Proposition 4.2","Use divisor excepcional and preserve the corrected projective-line base field"
"SGA5-TERM-161","transformé pur","transformada estricta","proper/strict transform under the blow-up in this historical source","adopted","SGA5_FR_WORKPASS:4909; Exposé III B proof of Proposition 4.2","Use transformada estricta for the source's transformé pur in this blow-up context"
"SGA5-TERM-162","pureté relative","pureza relativa","relative purity theorem for smooth codimension-one pairs","adopted","SGA5_FR_WORKPASS:4920; Exposé III B proof of Proposition 4.2","Use pureza relativa and keep the SGA 4 XVI 3 locator"
"SGA5-TERM-163","algèbre opposée","álgebra opuesta","opposite algebra A-circ","adopted","SGA5_FR_WORKPASS:4985; Exposé III B §5.1","Use álgebra opuesta, the standard ring-theoretic term"
"SGA5-TERM-164","algèbre enveloppante","álgebra envolvente","enveloping algebra A tensor A-circ","adopted","SGA5_FR_WORKPASS:4985; Exposé III B §5.1","Use álgebra envolvente and retain the A^e notation"
"SGA5-TERM-165","bimodule","bimódulo","module carrying compatible left and right algebra actions","adopted","SGA5_FR_WORKPASS:4985-4991; Exposé III B §5.1","Use bimódulo and specify left/right sides when the algebras differ"
"SGA5-TERM-166","extension et restriction des scalaires","extensión y restricción de escalares","change-of-scalars operations for module complexes","adopted","SGA5_FR_WORKPASS:4981; Exposé III B §5.0","Use escalares in standard homological-algebra usage"
"SGA5-TERM-167","module quotient par les commutateurs","módulo cociente por los conmutadores","noncommutative trace target A-natural","adopted","SGA5_FR_WORKPASS:4969-4989; Exposé III B §§5.0-5.1","Describe A-natural through the locally generated commutator submodule"
"SGA5-TERM-168","flèche de produit tensoriel","flecha de producto tensorial","derived comparison from RHom tensor G to RHom into F tensor G","adopted","SGA5_FR_WORKPASS:5056-5066; Exposé III B §5.4","Use the explicit product-tensorial name and keep its non-isomorphism caveat"
"SGA5-TERM-169","amplitude parfaite finie","amplitud perfecta finita","perfect complexes with finite Tor-dimension","adopted","SGA5_FR_WORKPASS:5074-5097; Exposé III B §5.6","Retain both perfectness and finite Tor-dimension in the definition"
"SGA5-TERM-170","complexe strictement parfait","complejo estrictamente perfecto","bounded complex with components locally direct summands of finite free modules","adopted","SGA5_FR_WORKPASS:5113-5137; Exposé III B §5.7","Use estrictamente perfecto and retain the componentwise definition"
"SGA5-TERM-171","invariance par homotopie","invariancia por homotopía","trace equality for homotopic complex endomorphisms","adopted","SGA5_FR_WORKPASS:5133-5137; Exposé III B §5.7","Use homotópico and salvo homotopía for uniqueness up to homotopy"
"SGA5-TERM-172","trace relative","traza relativa","relative trace from B-natural to A-natural under restriction of scalars","adopted","SGA5_FR_WORKPASS:5223-5232; Exposé III B §5.10","Use traza relativa for Tr_{B/A} and distinguish it from scalar trace"
"SGA5-TERM-173","centralisateur","centralizador","centralizer of a group element","adopted","SGA5_FR_WORKPASS:5370-5429; Exposé III B §5.11","Use centralizador, standard Spanish group-theory terminology"
"SGA5-TERM-174","classe de conjugaison","clase de conjugación","orbit for ordinary conjugation in a finite group","adopted","SGA5_FR_WORKPASS:4989,5349-5422; Exposé III B §§5.1 and 5.11","Use clase de conjugación and keep the inverse-element evaluation explicit"
"SGA5-TERM-175","endomorphisme semi-linéaire","endomorfismo semilineal","additive map twisted by an algebra endomorphism","adopted","SGA5_FR_WORKPASS:5480-5502; Exposé III B §5.13","Use semilineal as one word and state the twisting identity"
"SGA5-TERM-176","classe de phi-conjugaison","clase de phi-conjugación","orbit under twisted conjugation (g,x) maps to phi(g)xg-inverse","adopted","SGA5_FR_WORKPASS:5502; Exposé III B §5.13","Retain phi explicitly to distinguish twisted from ordinary conjugacy"
"SGA5-TERM-177","phi-centralisateur","phi-centralizador","twisted stabilizer of a group element","adopted","SGA5_FR_WORKPASS:5517-5521; Exposé III B §5.13","Use centralizador with the phi-prefix and preserve its defining equation"
"SGA5-TERM-178","termes locaux de Lefschetz--Verdier non commutatifs","términos locales de Lefschetz--Verdier no conmutativos","local trace contributions with values in a noncommutative coefficient-algebra quotient","adopted","SGA5_FR_WORKPASS:5526; Exposé III B §6.1","Preserve both names and the noncommutative qualifier; do not collapse this to the ordinary Verdier local term"
"SGA5-TERM-179","algèbre de groupe fini","álgebra de grupo finito","group algebra used as the principal application of the coefficient formalism","adopted","SGA5_FR_WORKPASS:5526; Exposé III B §6.1","Use álgebra de grupo and retain finito when the source specifies finite groups"
"SGA5-TERM-180","cohomologie constructible","cohomología constructible","constructibility condition defining D_c and contributing to D_ctf","adopted","SGA5_FR_WORKPASS:5528-5542; Exposé III B §§6.1-6.2","Use cohomología constructible and distinguish it from finite Tor dimension in D_ctf"
"SGA5-TERM-181","algèbre plate","álgebra plana","coefficient algebra flat over Lambda","adopted","SGA5_FR_WORKPASS:5526,5632; Exposé III B §§6.1 and 6.4","Use plana for flatness and keep the base ring explicit where needed"
"SGA5-TERM-182","homomorphisme trace locale","homomorfismo de traza local","local trace morphism from diagonal pullback of RHom to the dualizing coefficient object","adopted","SGA5_FR_WORKPASS:5689-5716; Exposé III B §6.5","Use traza local for the morphism and preserve the distinction from its global-section local term"
"SGA5-TERM-183","tensorisation","tensorización","formation of a morphism by tensoring with a fixed coefficient object","adopted","SGA5_FR_WORKPASS:5828-5835; Exposé III B §6.6","Use tensorización in the functorial construction sense, distinct from an individual producto tensorial"
"SGA5-TERM-184","G-S-schéma","G-S-esquema","scheme over S equipped with a G-action by S-automorphisms","adopted","SGA5_FR_WORKPASS:5934-5955; Exposé III B §6.9","Retain both group and base qualifiers and the source's right-action convention"
"SGA5-TERM-185","foncteur d'oubli de l'action","funtor de olvido de la acción","faithful functor forgetting the group action","adopted","SGA5_FR_WORKPASS:5949; Exposé III B §6.9","Use funtor de olvido, canonical Spanish category-theory terminology"
"SGA5-TERM-186","compactification équivariante","compactificación equivariante","equivariant compactification used to define extraordinary operations","adopted","SGA5_FR_WORKPASS:5949; Exposé III B §6.9","Use equivariante consistently for schemes, morphisms and compactifications"
"SGA5-TERM-187","morphisme de Gysin","morfismo de Gysin","proper pushforward on dualizing complexes induced by adjunction","adopted","SGA5_FR_WORKPASS:6077-6084; Exposé III B Proposition 6.12","Retain the named Gysin terminology and distinguish this morphism from ordinary direct image"
"SGA5-TERM-188","système projectif","sistema proyectivo","inverse system indexed by coefficient level","adopted","SGA5_FR_WORKPASS:6093-6157; Exposé III B §6.13","Use sistema proyectivo consistently and reserve límite inverso for its resulting limit"
"SGA5-TERM-189","prolongement par zéro","prolongación por cero","extension of a sheaf from an open subspace with zero stalks on the complement","adopted","SGA5_FR_WORKPASS:6281-6285; Exposé III B §6.15","Use the nominal prolongación por cero, not a participial calque"
"SGA5-TERM-190","revêtement étale galoisien","recubrimiento étale de Galois","étale Galois covering with specified deck group","adopted","SGA5_FR_WORKPASS:6279-6285,12848-12894; Exposé III B §6.15 and Exposé X §6.1","Use recubrimiento and retain both étale and de Galois qualifiers; inflect as recubrimiento de Galois where étale is implicit"
"SGA5-TERM-191","revêtement principal galoisien","recubrimiento principal de Galois","principal Galois covering with group G","adopted","SGA5_FR_WORKPASS:6483-6496,12683-12741; Exposé III B Proposition 6.23 and Exposé X §§4.6-5.1","Use recubrimiento principal to retain the torsor structure; add de Galois when the source explicitly names the Galois covering"
"SGA5-TERM-192","formule de projection","fórmula de proyección","projection formula identifying direct image of a pulled-back tensor product","adopted","SGA5_FR_WORKPASS:6516-6524; Exposé III B proof of Proposition 6.23","Use fórmula de proyección consistently in the six-operations setting"
"SGA5-TERM-193","localement facteur direct","localmente factor directo","module locally a direct summand of a finite free module","adopted","SGA5_FR_WORKPASS:6549-6550; Exposé III B Lemma 6.23.3","Use factor directo as the established project term and retain the local finite-free qualification"
"SGA5-TERM-194","A-catégorie abélienne","A-categoría abeliana","abelian category equipped with a ring action on its identity functor","adopted","SGA5_FR_WORKPASS:6639-6650; Exposé V Definition 1.1","Retain the scalar ring as a prefix and distinguish the enriched category from its category of module objects"
"SGA5-TERM-195","foncteur identique","funtor identidad","identity functor whose endomorphism ring receives the scalar action","adopted","SGA5_FR_WORKPASS:6644-6648; Exposé V Definition 1.1","Use the established Spanish categorical noun identidad, not the adjective idéntico"
"SGA5-TERM-196","critères de représentabilité","criterios de representabilidad","conditions ensuring the external tensor-product functor is represented","adopted","SGA5_FR_WORKPASS:6696-6704; Exposé V Proposition 1.2.2","Use representabilidad consistently for Yoneda-style representability"
"SGA5-TERM-197","conoyau","conúcleo","categorical cokernel representing the right-exact tensor construction","adopted","SGA5_FR_WORKPASS:6710-6712; Exposé V Lemma 1.2.3","Use conúcleo as canonical Spanish category-theory terminology"
"SGA5-TERM-198","centre de A","centro de A","central subring denoted A-natural for the category of internal A-modules","adopted","SGA5_FR_WORKPASS:6668; Exposé V Example 1.1.1","Record the source-local meaning of superscript A-natural explicitly; do not confuse it with the earlier commutator-quotient notation"
"SGA5-TERM-199","condition de Mittag-Leffler-Artin-Rees","condición de Mittag-Leffler-Artin-Rees","uniform stabilization of transition images in a projective system","adopted","SGA5_FR_WORKPASS:6726-6757; Exposé V §2.1","Retain the full proper name and the source abbreviation MLAR"
"SGA5-TERM-200","système projectif AR-nul","sistema proyectivo AR-nulo","projective system killed by a sufficiently large uniform shift","adopted","SGA5_FR_WORKPASS:6771-6791; Exposé V §2.2","Hyphenate AR-nulo and inflect number on nulo"
"SGA5-TERM-201","sous-catégorie épaisse","subcategoría gruesa","full subcategory stable under the exact-sequence operations used in the abelian quotient","adopted","SGA5_FR_WORKPASS:6787; Exposé V Proposition 2.2.2","Use gruesa as canonical Spanish categorical terminology and distinguish it from dense"
"SGA5-TERM-202","catégorie de fractions","categoría de fracciones","localization of a category obtained by inverting a specified class of arrows","adopted","SGA5_FR_WORKPASS:6794-6797; Exposé V §2.3","Use de fracciones for the Gabriel--Zisman construction"
"SGA5-TERM-203","calcul de fractions à droite","cálculo de fracciones por la derecha","right calculus of fractions with Ore completion and right cancellation","adopted","SGA5_FR_WORKPASS:6799-6830; Exposé V Definition 2.3.1","Translate direction with por la derecha and retain the arrow-membership conditions"
"SGA5-TERM-204","calcul de fractions à gauche","cálculo de fracciones por la izquierda","left calculus of fractions dual to the right-hand construction","adopted","SGA5_FR_WORKPASS:6832-6859; Exposé V Definition 2.3.2","Translate direction with por la izquierda and retain primed condition labels"
"SGA5-TERM-205","catégorie filtrante","categoría filtrante","filtered category indexing the colimit of Hom sets in the localization","adopted","SGA5_FR_WORKPASS:6861-6868; Exposé V §2.3.3","Use filtrante in the categorical sense and retain the opposite-category variance"
"SGA5-TERM-206","systèmes projectifs à translations près","sistemas proyectivos salvo traslaciones","projective systems localized with respect to uniform shift morphisms","adopted","SGA5_FR_WORKPASS:6974-6992; Exposé V Definition 2.4.2","Use salvo traslaciones for the equivalence up to shifts"
"SGA5-TERM-207","AR-isomorphisme","AR-isomorfismo","morphism whose kernel and cokernel are AR-null","adopted","SGA5_FR_WORKPASS:7046-7056; Exposé V Corollary 2.4.5 and Definition 2.4.6","Retain AR as an undeclined prefix and distinguish morphisms from merely AR-isomorphic objects"
"SGA5-TERM-208","système projectif strict","sistema proyectivo estricto","projective system with epimorphic transition morphisms","adopted","SGA5_FR_WORKPASS:7060-7085; Exposé V §2.5","Use estricto consistently for systems, not exacto"
"SGA5-TERM-209","système des images universelles","sistema de las imágenes universales","stable-image projective subsystem attached to an ML system","adopted","SGA5_FR_WORKPASS:7066-7085; Exposé V §2.5","Retain imágenes universales as the source's named construction"
"SGA5-TERM-210","épimorphisme direct","epimorfismo escindido","older terminology for a split epimorphism","adopted","SGA5_FR_WORKPASS:7075; Exposé V proof of Proposition 2.5.1","Use canonical modern Spanish escindido rather than the literal directo"
"SGA5-TERM-211","système projectif J-adique","sistema proyectivo J-ádico","projective system reconstructed at each level modulo J^{n+1}","adopted","SGA5_FR_WORKPASS:7088-7130; Exposé V §3.1","Retain the hyphenated adic qualifier and distinguish genuine J-adicity from its AR localization"
"SGA5-TERM-212","système projectif AR-J-adique","sistema proyectivo AR-J-ádico","projective system AR-isomorphic to a J-adic system","adopted","SGA5_FR_WORKPASS:7132-7177; Exposé V §3.2","Retain both AR and J in the compound qualifier"
"SGA5-TERM-213","système projectif essentiellement constant","sistema proyectivo esencialmente constante","projective system whose transition maps are eventually all isomorphisms","adopted","SGA5_FR_WORKPASS:7268-7274; Exposé V Definition 4.1.2","Use esencialmente constante with the quantified transition threshold"
"SGA5-TERM-214","objet gradué","objeto graduado","object indexed by a grading monoid such as N","adopted","SGA5_FR_WORKPASS:7276-7291; Exposé V Proposition 4.1.3","Use objeto de C graduado por N when Spanish word order requires it"
"SGA5-TERM-215","filtration décroissante","filtración decreciente","nested filtration F^p with decreasing subobjects as p increases","adopted","SGA5_FR_WORKPASS:7236-7250; Exposé V §4.1.1","Use filtración for the subobject system and graduado for its successive quotients"
"SGA5-TERM-216","gradué associé","graduado asociado","graded object formed from successive filtration quotients","adopted","SGA5_FR_WORKPASS:7251-7329; Exposé V §§4.1.1-4.1.3","Use graduado rather than the literal adjectival calque"
"SGA5-TERM-217","gradué strict","graduado estricto","inverse limit of the essentially constant projective system of graded pieces","adopted","SGA5_FR_WORKPASS:7332-7342; Exposé V §4.1.4","Retain the source notation grs and define it centrally as an operator"
"SGA5-TERM-218","système projectif adapté à J","sistema proyectivo adaptado a J","projective system whose natural filtration is compatible with the J-adic filtration","adopted","SGA5_FR_WORKPASS:7344-7353; Exposé V Definition 4.2.1","Use adaptado a J and retain the quantified inclusion J^p F^q(X) subset F^{p+q}(X)"
"SGA5-TERM-219","filtration J-adique","filtración J-ádica","filtration by powers of the ideal J","adopted","SGA5_FR_WORKPASS:7347-7353; Exposé V Definition 4.2.1","Use the standard Spanish adic adjective with written accent"
"SGA5-TERM-220","filtration adaptée","filtración adaptada","filtration compatible with the action of the ideal powers in the quantified degree sense","adopted","SGA5_FR_WORKPASS:7390-7432; Exposé V §4.2.3","Use adaptada consistently for both the filtration and the resulting graded-module construction"
"SGA5-TERM-221","algèbre graduée associée à J","álgebra graduada asociada a J","graded algebra formed from successive quotients J^p/J^{p+1}","adopted","SGA5_FR_WORKPASS:7390-7444; Exposé V §§4.2.3-4.2.4","Retain gr_J(A) and call its action/multiplication map graduado"
"SGA5-TERM-222","réduction modulo J^{n+1}","reducción módulo J^{n+1}","passage from an object to its quotient by the indicated ideal power","adopted","SGA5_FR_WORKPASS:7466-7496; Exposé V proof of Proposition 4.2.5","Use reducción módulo rather than reduction mod or a factor-ring paraphrase"
"SGA5-TERM-223","caractérisation par les gradués associés","caracterización mediante los graduados asociados","criterion expressed by stabilization of associated graded pieces","adopted","SGA5_FR_WORKPASS:7446-7496; Exposé V Proposition 4.2.5","Use mediante to make the criterion relation explicit while retaining graduado asociado"
"SGA5-TERM-224","lemme d'Artin-Rees","lema de Artin-Rees","finite-generation criterion turning an adapted MLAR system into an AR-adic system","adopted","SGA5_FR_WORKPASS:7498-7576; Exposé V Theorem 4.2.6 and Lemma 4.2.7","Retain the conventional proper name even though the numbered environment is a theorem"
"SGA5-TERM-225","module gradué de type fini","módulo graduado de tipo finito","graded module satisfying the stated ascending-cover stabilization condition","adopted","SGA5_FR_WORKPASS:7498-7531; Exposé V Theorem 4.2.6","Use tipo finito and retain the source's explicit ascending-family formulation"
"SGA5-TERM-226","image réciproque","imagen inversa","preimage of a subobject under the canonical graded multiplication morphism","adopted","SGA5_FR_WORKPASS:7533-7576; Exposé V proof of Lemma 4.2.7","Use imagen inversa, not the set-theoretic calque preimagen, in the categorical computation"
"SGA5-TERM-227","système projectif noethérien","sistema proyectivo noetheriano","projective system belonging to the noetherian AR-adic localization category","adopted","SGA5_FR_WORKPASS:7578-7622; Exposé V §§5.1.1-5.1.3","Use noetheriano consistently for objects and categories while retaining the source mnemonics adn and P_AR^n"
"SGA5-TERM-228","théorème de Hilbert","teorema de Hilbert","finite-type/noetherian stability for graded modules over a finite-type graded algebra","adopted","SGA5_FR_WORKPASS:7624-7659; Exposé V Theorem 5.1.4","Use the standard Spanish theorem name and retain both stated cases"
"SGA5-TERM-229","graduation habituelle","graduación habitual","ordinary nonnegative polynomial grading with T of degree one","adopted","SGA5_FR_WORKPASS:7634-7659; Exposé V proof of Theorem 5.1.4","Use habitual in this conventional algebraic sense and preserve the identity action between components"
"SGA5-TERM-230","sommes directes dénombrables","sumas directas numerables","coproducts indexed by a countable set in the abelian category","adopted","SGA5_FR_WORKPASS:7661-7682; Exposé V Corollary 5.1.5","Use numerables in the standard set-theoretic sense and retain the categorical existence hypothesis"
"SGA5-TERM-231","catégorie noethérienne","categoría noetheriana","abelian category in which every object satisfies the ascending-chain condition","adopted","SGA5_FR_WORKPASS:7696-7774; Exposé V §§5.2.1-5.2.3","Use noetheriana for both J-adic and AR-J-adic categories after abelian closure is established"
"SGA5-TERM-232","morphisme strict","morfismo estricto","morphism of strict projective systems whose canonical component maps provide the required epimorphism","adopted","SGA5_FR_WORKPASS:7750-7764; Exposé V proof of Proposition 5.2.2","Retain estricto and distinguish it from an exact morphism"
"SGA5-TERM-233","stationnaire à isomorphisme près","se estabiliza salvo isomorfismo","categorical ascending chain eventually constant up to the canonical isomorphisms","adopted","SGA5_FR_WORKPASS:7743-7768; Exposé V proof of Proposition 5.2.2","Translate the categorical qualifier explicitly rather than implying literal equality of representatives"
"SGA5-TERM-234","stabilité par extensions","estabilidad por extensiones","closure of the AR-J-adic artinian class under exact extensions","adopted","SGA5_FR_WORKPASS:7776-7839; Exposé V §5.2.4","Use por extensiones for the standard categorical closure property"
"SGA5-TERM-235","système essentiellement constant","sistema esencialmente constante","projective system whose transition maps stabilize as isomorphisms, ensuring its inverse limit exists here","adopted","SGA5_FR_WORKPASS:7801-7839; Exposé V proof of Lemma 5.2.4.1","Record the local existence reason for the inverse limit without adding it to the source text"
"SGA5-TERM-236","delta-foncteur exact A-linéaire","delta-funtor exacto A-lineal","cohomological delta functor compatible with the A-category structures","adopted","SGA5_FR_WORKPASS:7858-7873; Exposé V Proposition 5.3.1","Use funtor and A-lineal; retain the authority's exacto qualifier"
"SGA5-TERM-237","commute aux translations","conmuta con las traslaciones","componentwise extension to projective systems compatible with shift functors","adopted","SGA5_FR_WORKPASS:7851-7856; Exposé V §5.3","Retain the authority's guillemets as emphasis around the categorical phrase"
"SGA5-TERM-238","algèbre graduée de type fini","álgebra graduada de tipo finito","finite-type nonnegatively graded algebra used to control functorial noetherianity","adopted","SGA5_FR_WORKPASS:7864-7873; Exposé V Proposition 5.3.1","Use álgebra in the standard Spanish algebraic sense and retain all annihilation hypotheses"
"SGA5-TERM-239","théorème de Shih","teorema de Shih","spectral-sequence noetherianity theorem used to propagate MLAR and strict-graded finiteness","adopted","SGA5_FR_WORKPASS:7875-7939; Exposé V §5.3 and Appendix","Use title case only where the authority uses all-caps SHIH"
"SGA5-TERM-240","passage au quotient","paso al cociente","descent or factorization through a quotient in an exact or module-theoretic construction","adopted","SGA5_FR_WORKPASS:7888-7900,13521-13547; Exposé V Corollary 5.3.2 and Exposé XII Lemma 4.7","Use paso al cociente and retain the exact target category or quotient module"
"SGA5-TERM-241","filtre spectral","filtro espectral","sequence of bigraded objects with differentials and homology identifications","adopted","SGA5_FR_WORKPASS:7902-7939; Exposé V Appendix terminology","Keep filtro espectral distinct from sucesión espectral, which is the associated convergent construction"
"SGA5-TERM-242","méthode des couples exacts","método de los pares exactos","exact-couple construction of a spectral sequence from a filtered object and a delta functor","adopted","SGA5_FR_WORKPASS:7915-7930; Exposé V Appendix A.1","Use pares exactos and retain the Maclane citation"
"SGA5-TERM-243","aboutissement","término límite","the abutment E^n(X) of a spectral sequence, distinct from its stable page E_infinity","adopted","SGA5_FR_WORKPASS:7956-7982; Exposé V Appendix A.2(a)","Use término límite and do not conflate it with E_infinity or graduado asociado"
"SGA5-TERM-244","suite spectrale de systèmes projectifs","sucesión espectral de sistemas proyectivos","componentwise spectral sequence carrying the natural projective-system filtration","adopted","SGA5_FR_WORKPASS:7941-8004; Exposé V Appendix A.2","Use sucesión espectral for E(X) while reserving filtro espectral for the page system"
"SGA5-TERM-245","limite projective d'un système essentiellement constant","límite proyectivo de un sistema esencialmente constante","canonical inverse-limit object available without a general completeness hypothesis in this stabilized setting","adopted","SGA5_FR_WORKPASS:8006-8032; Exposé V Appendix A.2(c)","Retain calligraphic E Z B for inverse limits and plain symbols for component systems"
"SGA5-TERM-246","épimorphisme canonique","epimorfismo canónico","canonical map theta from the inverse-limit page to the stable page at the indicated component","adopted","SGA5_FR_WORKPASS:8033-8097; Exposé V Appendix A.2(c)","Use epimorfismo and preserve the epi/can arrow labels and exact r bounds"
"SGA5-TERM-247","système strict","sistema estricto","projective system for which the displayed Z and B transition identifications stabilize at explicit thresholds","adopted","SGA5_FR_WORKPASS:8033-8097; Exposé V Appendix A.2(c)","Retain estricto consistently with the earlier projective-system definition"
"SGA5-TERM-248","module de degré total","module de grado total","graded module obtained by fixing p+q=n in the bigraded spectral-filter page","adopted","SGA5_FR_WORKPASS:8099-8124; Exposé V Appendix A.3","Express the total-degree slice explicitly and retain the residual graded-module structure"
"SGA5-TERM-249","suite stationnaire","sucesión estacionaria","ascending chain of graded submodules eventually constant by noetherianity","adopted","SGA5_FR_WORKPASS:8126-8164; Exposé V proof of Theorem A.3","Use estacionaria consistently for the stabilized B chains"
"SGA5-TERM-250","limites entre guillemets","«límites»","stabilized objects of the r-indexed projective systems, marked cautiously by the authority","adopted","SGA5_FR_WORKPASS:8166-8181; Exposé V proof of Theorem A.3","Retain the guillemets and distinguish these objects from an unrestricted categorical inverse limit"
"SGA5-TERM-251","faisceau ell-adique constructible","haz ell-ádico constructible","constructible projective system of torsion étale sheaves satisfying the (ell Z)-adic condition","adopted","SGA5_FR_WORKPASS:8183-8256; Exposé VI §1.1","Use haz and étale consistently with established Spanish project terminology"
