"relative_path","bytes","last_write","sha256","archive_entries","tex_like_entries","pdf_entries","language_hint","listing_error"
"20260628T215200Z_asia_wide_tex_source_register\east_asia\japanese\ctan_luatexja\ASIA-EAST-JA-03.zip","4173802","2026-06-28T23:52:41","DDA7F9467E025B58DEC77B95574251841AE8982A9DBD3036D4F1BF16A18DD4BA","119","51","7","cjk",
"20260628T215200Z_asia_wide_tex_source_register\east_asia\japanese\masamichiIto_seminar_materials\ASIA-EAST-JA-02.zip","4766090","2026-06-28T23:52:39","8DDE205E172221F0EEC35698D5959E3DC2D78695396A91D6A203C9E1AF70BC11","31","2","28","cjk",
"20260628T215200Z_asia_wide_tex_source_register\east_asia\korean\A-H4NU_kaist-math-notes\ASIA-EAST-KO-01.zip","5506205","2026-06-28T23:52:43","C2B6ACBB37BCED39CA88901B78D0235CB16396F7543EC8D7F1388BDCC58953F6","207","170","9","cjk",
"20260628T215200Z_asia_wide_tex_source_register\east_asia\korean\ctan_kotex-utils\ASIA-EAST-KO-02.zip","148484","2026-06-28T23:52:46","288F4659D0A7FD12A058D29C6FF5BD702B867987AEAC929DBEC9671F4B48B357","10","0","0","cjk",
"20260628T215200Z_asia_wide_tex_source_register\north_central_east_asia\mongolian\ctan_mongolian_babel\ASIA-NORTH-MN-02.zip","106983","2026-06-28T23:52:48","690BAF24339E6B0315CB303FDA4C6C3568D73033359C9349C6556B7EED27608B","7","3","1","unknown",
"20260628T215200Z_asia_wide_tex_source_register\north_central_east_asia\mongolian\ctan_montex\ASIA-NORTH-MN-01.zip","3521351","2026-06-28T23:52:47","DDF516668B34A53E1AF8EE84DBBD7E4795B719272E26422B79B98505E50F9F0C","348","12","3","unknown",
"20260628T215200Z_asia_wide_tex_source_register\south_asia\bengali\ctan_bangla\ASIA-SOUTH-BN-01.zip","351171","2026-06-28T23:53:01","7D2BF26422C6D4AE14CEC4CB1517463F5587EB2CBDA60D725B994B4C49592885","8","3","1","south_asia",
"20260628T215200Z_asia_wide_tex_source_register\south_asia\bengali\ctan_latexbangla\ASIA-SOUTH-BN-02.zip","149791","2026-06-28T23:53:02","B47D939B866520CAB440ACFF10F19BED3253F3AB04FD5DFE6CBA6CE7AB6AFF09","5","2","1","south_asia",
"20260628T215200Z_asia_wide_tex_source_register\south_asia\devanagari\ctan_velthuis\ASIA-SOUTH-DEV-01.zip","5604883","2026-06-28T23:53:00","AF0EE3B8658A2928EE392804521F2A38B408459F0F6484B1BD6A6646707BC358","295","12","8","south_asia",
"20260628T215200Z_asia_wide_tex_source_register\south_asia\malayalam\ctan_malayalam\ASIA-SOUTH-ML-01.zip","3138706","2026-06-28T23:53:05","C65B7A7289734DE590C3551EACADDBD347E33FD8A72D3FC17C4E183519E035E0","206","4","4","south_asia",
"20260628T215200Z_asia_wide_tex_source_register\south_asia\marathi\ctan_marathi\ASIA-SOUTH-MR-01.zip","185957","2026-06-28T23:53:06","AFC5DD6844573EE54A399F0B4F42C1B1CB9E60022B015147AB408F5E53D022B3","14","8","1","south_asia",
"20260628T215200Z_asia_wide_tex_source_register\south_asia\oriya\ctan_oriya\ASIA-SOUTH-OR-01.zip","293806","2026-06-28T23:53:07","B0EDD1AB9AF41EB488DE9CB6453A8C0906788CEE47DA6F656A54FF0C1D994B4F","79","10","0","south_asia",
"20260628T215200Z_asia_wide_tex_source_register\south_asia\sanskrit\ctan_sanskrit\ASIA-SOUTH-SA-01.zip","2320465","2026-06-28T23:53:07","907BC03EF3D74F1A8C8AF611ED54EF115B512E03582CF579E442B92959D2E20F","43","1","3","south_asia",
"20260628T215200Z_asia_wide_tex_source_register\south_asia\tamil\ctan_tamil-omega\ASIA-SOUTH-TA-01.zip","900761","2026-06-28T23:53:02","F231E8625F82EDB4E06498A221CDE44288F8B027367921456156025D47BB5D8A","242","3","2","south_asia",
"20260628T215200Z_asia_wide_tex_source_register\south_asia\tamil\ctan_wntamil\ASIA-SOUTH-TA-02.zip","37703","2026-06-28T23:53:04","90ACB70D7D894E45F518D8E6A343A994E888C5F8D5CD395C166E916B8FE9A799","11","2","0","south_asia",
"20260628T215200Z_asia_wide_tex_source_register\south_asia\urdu_arabic_script\ctan_polyglossia\ASIA-SOUTH-UR-01.zip","736157","2026-06-28T23:53:08","0910B01E8C07D9D8AC88B2BE9F98E240200073F231BC2B7339FAABE284BEADD5","296","12","1","arabic_persianate_rtl",
"20260628T215200Z_asia_wide_tex_source_register\southeast_asia\burmese\ctan_burmese\ASIA-SE-MY-01.zip","192361","2026-06-28T23:52:59","951EDD9E85399524BB88752369A9759FD2A8380B052BACBFFDF248F13D6D69C4","16","1","1","southeast_asia",
"20260628T215200Z_asia_wide_tex_source_register\southeast_asia\indonesian\bagustris_tutorial-latex\ASIA-SE-ID-01.zip","15431690","2026-06-28T23:52:57","9C63616D0B93F1DB985F0EC97A2E31AA89322CF92FBD9EA682DA6819FA02F9FC","56","17","13","southeast_asia",
"20260628T215200Z_asia_wide_tex_source_register\southeast_asia\thai\ctan_lshort_thai\ASIA-SE-TH-02.zip","776803","2026-06-28T23:52:59","AFEB02100F80757B33ED821D0AA4C41D2459A39D33AA91B5866B881D6D18808C","5","0","1","southeast_asia",
"20260628T215200Z_asia_wide_tex_source_register\southeast_asia\thai\ctan_thaispec\ASIA-SE-TH-01.zip","93537","2026-06-28T23:52:58","4849C21374639C4496E86FB553E852F5A8BAE70EA20BA6D17FEA24B2996D5E7A","5","2","1","southeast_asia",
"20260628T215200Z_asia_wide_tex_source_register\southeast_asia\vietnamese\ctan_vntex\ASIA-SE-VI-04.zip","7605465","2026-06-28T23:52:54","F2752EFA562F3A743D3724A6C7D4DF8E827ADA94AE2A1BFF1652657A347ABBE8","513","84","9","southeast_asia",
"20260628T215200Z_asia_wide_tex_source_register\southeast_asia\vietnamese\MarkNguGoLaTeX_VMOSolutionNotes\ASIA-SE-VI-02.zip","1082252","2026-06-28T23:52:51","81222868F6A6B0A5DB31464D0384F4479D8DD55BE562EE14DB3AEC20E674C720","33","4","3","southeast_asia",
"20260628T215200Z_asia_wide_tex_source_register\southeast_asia\vietnamese\moonshineTP_olympiad-mathematics-2024\ASIA-SE-VI-03.zip","11393","2026-06-28T23:52:51","22C0E65E6A76AC0096E58FD8E6B7BDA595A8836C7B86DB5E0B7A46B3A537322A","3","2","0","southeast_asia",
"20260628T215200Z_asia_wide_tex_source_register\southeast_asia\vietnamese\TheTangentLine_VietnameseMathematics\ASIA-SE-VI-01.zip","6374350","2026-06-28T23:52:50","93B05BBC50AFADE26603046198FE613922B1F50F46E5F3E72929FA3C12C7E7EF","56","5","6","southeast_asia",
"20260628T215200Z_asia_wide_tex_source_register\west_asia\arabic\ctan_na-box\ASIA-WEST-ARAB-02.zip","986188","2026-06-28T23:52:23","DDFD9DEAC6A873A5E8CB5ADA3A06A273EEE0A7336BD6E9D114484725F12AE222","12","3","2","arabic_persianate_rtl",
"20260628T215200Z_asia_wide_tex_source_register\west_asia\arabic\ctan_sexam\ASIA-WEST-ARAB-01.zip","1160723","2026-06-28T23:52:22","0C1B1045854821292358313E4EB9EEE012999B090FC6E9820285FFA3AAB7CA9B","23","7","4","arabic_persianate_rtl",
"20260628T215200Z_asia_wide_tex_source_register\west_asia\armenian\ctan_armtex\ASIA-WEST-ARM-01.zip","1471923","2026-06-28T23:52:30","41B0F77BFCF953951ADD7E44078D633FD0F94E880789EF13AA6C2072F301CEC9","89","15","2","caucasus_uralic",
"20260628T215200Z_asia_wide_tex_source_register\west_asia\georgian\ctan_georgian\ASIA-WEST-GEO-01.zip","8517963","2026-06-28T23:52:33","3856285383DFA742A4D05CF57992A722594D3159B14E39B7890E65EBEB6EB566","364","2","4","unknown",
"20260628T215200Z_asia_wide_tex_source_register\west_asia\hebrew\mattyrot_Math_LaTeX_Hebrew_Template\ASIA-WEST-HE-01.zip","8925","2026-06-28T23:52:27","D57A57EE7CCB8A0EDAA165268286C04576C8DB9FC34F458CF2C448239846A51D","5","4","0","unknown",
"20260628T215200Z_asia_wide_tex_source_register\west_asia\persian\AlirezaKachouei_Linear-Algebra-Gilbert-Strang-Persian\ASIA-WEST-PERS-01.zip","1410262","2026-06-28T23:52:01","1956A3821B88F2AFDA31A0DA184988DDDED44751A44E48068E6A06FCA091437B","42","20","20","arabic_persianate_rtl",
"20260628T215200Z_asia_wide_tex_source_register\west_asia\persian\OpenBookshelf_DiscreteMathematics-Persian\ASIA-WEST-PERS-03.zip","4886220","2026-06-28T23:52:04","E1B0129F1F2360EAB9FE1B610AE4723B2D524D34286169A0B087DCCDF380C128","1440","1027","0","arabic_persianate_rtl",
"20260628T215200Z_asia_wide_tex_source_register\west_asia\persian\SireJeff_linear-algebra-3blue1brown-notes\ASIA-WEST-PERS-02.zip","2006520","2026-06-28T23:52:02","4D93CE90754B28ECC743CE5BB1ED62F0325F99A38D52E90DECC10DD1C3FFF59C","44","30","4","arabic_persianate_rtl",
"20260628T215200Z_asia_wide_tex_source_register\west_asia\persian\SMotlaq_bsc-thesis\ASIA-WEST-PERS-04.zip","49473466","2026-06-28T23:52:21","49CDE5842B452902866B37FB7EFC7AD850E27860E892DF4B0E43A22463893E25","194","22","1","arabic_persianate_rtl",
"20260628T215200Z_asia_wide_tex_source_register\west_asia\turkish\kadirhanpolat_probability-statistics\ASIA-WEST-TR-01.zip","455106","2026-06-28T23:52:27","3A9ECA7982417FB908762A0F13BC9B59C389BF35D95242CD7A027A38868007DE","60","32","0","unknown",
"20260628T215200Z_asia_wide_tex_source_register\west_south_central_asia\arabic_script\ctan_arabtex\ASIA-WSC-ARAB-01.zip","2717990","2026-06-28T23:52:25","9B23210D0BFA3B8616509FBA94BEC057C14D4C80B6D0D27333F41F6F8468B5E1","245","94","2","arabic_persianate_rtl",
"20260628T215200Z_asia_wide_tex_source_register\west_south_central_asia\arabic_script\ctan_arabxetex\ASIA-WEST-ARAB-03.zip","721818","2026-06-28T23:52:24","2326917CB47ED800D89D2E902E30CA98CDAA0D496BF6896E22B9157CB2E2C4CD","97","3","3","arabic_persianate_rtl",
"20260628T215200Z_asia_wide_tex_source_register\west_south_central_asia\persian_script\ctan_xepersian\ASIA-WSC-PERS-01.zip","1113494","2026-06-28T23:52:22","F1C7230199A887920AD97F90C335BB965478BD40E43985FF0BB859C7A939FC11","25","10","2","arabic_persianate_rtl",
"20260629_south_american_caribbean_local_source_retry\zip\mathlets-kreyol.zip","543016","2026-06-29T16:50:42","6711ADA4A4DAD8FC345BB62865C6F681EC0D13F209E4B4DC8522074068AC0854","113","0","0","americas",
"20260629T021729Z_optimal_access_intercomprehension_research\kuhn_2015_arxiv_1507_01701_source.tar","103989","2026-06-29T04:24:13","4004DCB7FCFCB5F3B544D03A5364E117BD88984E4F70FA60EEF9FE138707C105","15","14","0","unknown",
"20260629T023522Z_methodology_access_gain_interintelligibility\source_packages\kuhn_2015_survey_classification_controlled_natural_languages_arxiv_source.tar.gz","103989","2026-06-29T05:17:12","4004DCB7FCFCB5F3B544D03A5364E117BD88984E4F70FA60EEF9FE138707C105","15","14","0","auxlang_method",
"20260629T043800Z_access_gain_cohort_method_expansion\source_packages\nigatu_2024_zeno_low_resource_languages_arxiv_source.tar","9447990","2026-06-29T06:39:38","FF97B5E248F0EDA1BD8338400A8E8C03951DB963E867807E913BD324A19B2E5F","14","5","0","unknown",
"20260629T061500Z_r7_philippine_tai_hmong_austroasiatic_source_status\source_packages\imperial_kochmar_2023_basahacorpus_central_philippine_readability_arxiv_source.tar","7482702","2026-06-29T07:26:51","0B9FB00E38202271F3F5619C56E01C0289B99A6E9D196E2C0E36111FBD8C8916","8","5","2","southeast_asia",
"20260629T061500Z_r7_philippine_tai_hmong_austroasiatic_source_status\source_packages\lovenia_et_al_2024_seacrowd_southeast_asian_languages_arxiv_source.tar","5140791","2026-06-29T07:26:56","A0B9BC825E960F424A5320B22F49AE204EFD1E5A59B45C1CEFB8731637D46361","40","4","24","southeast_asia",
"20260629T071233Z_r3_adjacent_asia_completeness_source_shelf\github_source_archives\khalidyousafzai_electric-circuit-analysis-latex_master.zip","71229369","2026-06-29T09:24:41","A367DE004517BE0AEB7EA9C956856C9964C3D7986701CEDBE73DF253EC279852","781","222","189","cjk",
"20260629T071233Z_r3_adjacent_asia_completeness_source_shelf\github_source_archives\khalidyousafzai_electromagnetics-latex_master.zip","75183251","2026-06-29T09:24:54","50C56C5DC1B0E726FCB1E8C15BBAB74D654E5E76C9E22B96EE9E2AC9F08CC325","1100","449","416","cjk",
"20260629T071233Z_r3_adjacent_asia_completeness_source_shelf\github_source_archives\khalidyousafzai_engineering-Mathematics_master.zip","88538297","2026-06-29T09:24:27","CC19F272E961D3CD3D50ACE796BB2243DA0A612D30B827B26B8A53026B1C6452","706","100","62","cjk",
"20260629T071835Z_r3_adjacent_asia_completeness_source_shelf\github_source_archives\khalidyousafzai_electric-circuit-analysis-latex_master.zip","71229369","2026-06-29T09:20:55","A367DE004517BE0AEB7EA9C956856C9964C3D7986701CEDBE73DF253EC279852","781","222","189","cjk",
"20260629T071835Z_r3_adjacent_asia_completeness_source_shelf\github_source_archives\khalidyousafzai_electromagnetics-latex_master.zip","75183251","2026-06-29T09:21:08","50C56C5DC1B0E726FCB1E8C15BBAB74D654E5E76C9E22B96EE9E2AC9F08CC325","1100","449","416","cjk",
"20260629T071835Z_r3_adjacent_asia_completeness_source_shelf\github_source_archives\khalidyousafzai_engineering-Mathematics_master.zip","88538297","2026-06-29T09:20:42","CC19F272E961D3CD3D50ACE796BB2243DA0A612D30B827B26B8A53026B1C6452","706","100","62","cjk",
"20260629T073000Z_r7_cjk_tibeto_burman_pacific_local_standard_decisions\copied_prior_evidence\cjk_sinosphere\source_archives\lbwang__CINTA-cn__master.zip","14629000","2026-06-28T23:13:49","3941C7C70DDC1204687B5DE021612DB8F26788CFE259DF79C9773C2E35A0E540","150","34","27","cjk",
"20260629T073000Z_r7_cjk_tibeto_burman_pacific_local_standard_decisions\copied_prior_evidence\cjk_sinosphere\source_archives\Seasawher__hartshorne__master.zip","801921","2026-06-28T23:14:01","A09DC6B571A0656A40001A2F14E7FAC873099CF4569815532A8DE1F46CDC4AF8","18","13","1","cjk",
"20260629T073000Z_r7_cjk_tibeto_burman_pacific_local_standard_decisions\copied_prior_evidence\cjk_sinosphere\source_archives\Seasawher__matsumura__master.zip","421533","2026-06-28T23:13:55","11AF615C02C5973C110FF9337E38B052D97F9C49498560E8A442AFFBA8535E2B","16","11","1","cjk",
"20260629T073000Z_r7_cjk_tibeto_burman_pacific_local_standard_decisions\copied_prior_evidence\cjk_sinosphere\source_archives\wenweili__AlJabr-1__master.zip","6048109","2026-06-28T23:11:41","6E026C3E9B7BD1CC20335BE488BBA7A4CEE459334EAAA58684A9C60CC1EB47FB","37","24","6","cjk",
"20260629T073000Z_r7_cjk_tibeto_burman_pacific_local_standard_decisions\copied_prior_evidence\cjk_sinosphere\source_archives\wenweili__AlJabr-2__master.zip","6252349","2026-06-28T23:12:18","1B4223DDCBCDD51FF813070229F01D8FA56B7EB866EE9851C42FC2AEC7CEB9E7","36","26","3","cjk",
"20260629T073000Z_r7_cjk_tibeto_burman_pacific_local_standard_decisions\downloaded_evidence\papuan_australian\arxiv_2212_02778_indigenous_mathematics_source.tar","889203","2026-06-29T09:01:16","CA28BE65442FE511670AC5C22BF0C6A5F401E063D93E945752BEF8A5B162D4D7","0","0","0","cjk","tar_list_failed"
"20260629T073000Z_r7_cjk_tibeto_burman_pacific_local_standard_decisions\method_context_papers\source_packages\kuhn_2015_arxiv_1507_01701_source.tar","103989","2026-06-29T04:24:13","4004DCB7FCFCB5F3B544D03A5364E117BD88984E4F70FA60EEF9FE138707C105","15","14","0","cjk",
"20260629T073500Z_r8_uralic_mongolic_caucasus_source_status\copied_prior_evidence\caucasus\ASIA-WEST-ARM-01_ctan_armtex.zip","1471923","2026-06-28T23:52:30","41B0F77BFCF953951ADD7E44078D633FD0F94E880789EF13AA6C2072F301CEC9","89","15","2","caucasus_uralic",
"20260629T073500Z_r8_uralic_mongolic_caucasus_source_status\copied_prior_evidence\caucasus\ASIA-WEST-GEO-01_ctan_georgian.zip","8517963","2026-06-28T23:52:33","3856285383DFA742A4D05CF57992A722594D3159B14E39B7890E65EBEB6EB566","364","2","4","caucasus_uralic",
"20260629T073500Z_r8_uralic_mongolic_caucasus_source_status\copied_prior_evidence\mongolic\ASIA-NORTH-MN-01_ctan_montex.zip","3521351","2026-06-28T23:52:47","DDF516668B34A53E1AF8EE84DBBD7E4795B719272E26422B79B98505E50F9F0C","348","12","3","caucasus_uralic",
"20260629T073500Z_r8_uralic_mongolic_caucasus_source_status\copied_prior_evidence\mongolic\ASIA-NORTH-MN-02_ctan_mongolian_babel.zip","106983","2026-06-28T23:52:48","690BAF24339E6B0315CB303FDA4C6C3568D73033359C9349C6556B7EED27608B","7","3","1","caucasus_uralic",
"20260629T073500Z_r8_uralic_mongolic_caucasus_source_status\downloaded_evidence\caucasus\armenian_math_glossary_github_main.zip","126954","2026-06-29T09:40:59","F1EE26A6257127D8B61FD2CB7D45D1270538345CBA64534F008438DD98027B0E","8","0","0","caucasus_uralic",
"20260629T073500Z_r8_uralic_mongolic_caucasus_source_status\method_context_papers\kuhn_2015_arxiv_1507_01701_source.tar","103989","2026-06-29T04:24:13","4004DCB7FCFCB5F3B544D03A5364E117BD88984E4F70FA60EEF9FE138707C105","15","14","0","caucasus_uralic",
"20260629T073500Z_r8_uralic_mongolic_caucasus_source_status\method_context_papers\nigatu_2024_zeno_low_resource_languages_arxiv_source.tar","9447990","2026-06-29T06:39:38","FF97B5E248F0EDA1BD8338400A8E8C03951DB963E867807E913BD324A19B2E5F","14","5","0","caucasus_uralic",
"20260629T080000Z_r8_diaspora_technical_standard_status\method_context_papers\kuhn_2015_arxiv_1507_01701_source.tar","103989","2026-06-29T04:24:13","4004DCB7FCFCB5F3B544D03A5364E117BD88984E4F70FA60EEF9FE138707C105","15","14","0","unknown",
"20260629T080000Z_r8_diaspora_technical_standard_status\method_context_papers\nigatu_2024_zeno_low_resource_languages_arxiv_source.tar","9447990","2026-06-29T06:39:38","FF97B5E248F0EDA1BD8338400A8E8C03951DB963E867807E913BD324A19B2E5F","14","5","0","unknown",
"20260629T080000Z_r8_diaspora_technical_standard_status\source_packages\yiddish_arxiv_2204_01175_source.tar.gz","42429","2026-06-29T09:58:14","C3A472C5C3FCC32EF7A0B86460DC0F27C4C25AED9CCDC6E3B91A421D9603AE38","16","15","0","unknown",
"20260629T081242Z_r8_comparator_only_auxlang_boundary\source_packages_extracted\cll_src\xml\docbook-xsl-1.78.1.zip","7114321","2022-08-05T16:17:24","27E547B5BCB1C1F0A1BDC8D31255F5E35879A710888481CB3BCAAF173FC983AC","1858","0","1","auxlang_method",
"20260629T081242Z_r8_comparator_only_auxlang_boundary\source_packages\lojban_cll_master_source.zip","138692176","2026-06-29T10:32:00","00F31B9ACE7D437AC11910A6C3D0DAB744B86F4BA283BAE673E52A938BDE4E4A","3931","0","11","auxlang_method",
"20260629T081242Z_r8_comparator_only_auxlang_boundary\source_packages\pandunia_master_source.zip","572418","2026-06-29T10:20:07","9581AABF8BC0CB83B8E41660B61D621E80AB448F44F5242C723355B87E84B9F4","292","0","0","auxlang_method",
"20260629T090631Z_r9_nilo_sahel_great_lakes_source_status\source_packages\african_news_translation_arxiv_2205_02022_source.tar","6787531","2026-06-29T11:21:39","A9CEAC8B3C7C50FA5CDC5D386610EB5BA335584CFD7F75DDE249039D14C3A047","22","5","6","african_languages",
"20260629T090631Z_r9_nilo_sahel_great_lakes_source_status\source_packages\masakhane_mt_for_africa_arxiv_2003_11529_source.tar","547257","2026-06-29T11:21:22","FC137980198B680ADB0FC6A2632B23F69DA3F03FDF139EE8922F82C6691D9EC6","16","7","7","african_languages",
"20260629T094030Z_r9_omotic_southern_african_non_bantu_status\source_packages\african_nlp_landscape_arxiv_2505_21315_source.tar","9553285","2026-06-29T11:47:04","960940E15AFF0FDDE1D0D106157C6F40EB2B17900D72BE297AE024C8919BD577","22","9","7","african_languages",
"20260629T094030Z_r9_omotic_southern_african_non_bantu_status\source_packages\ethiopian_nlp_arxiv_2303_14406_source.tar","7608716","2026-06-29T11:46:53","3D3883988B1EE71177F07831DC9994DF35F2DF24F52F144C6986FD973E2A84E0","22","5","0","african_languages",
"20260629T151833Z_r9_west_african_horn_gap_integration\source_packages\133_african_multilingual_math_reasoning_arxiv_source_retry_arxiv.org_e-print_2505.19848.tar","340723","2026-06-29T18:39:36","2F6C019C4CB0F7613E3725CFAACCDB10508A76FBE1CA474C8F034BE06DAD3C2F","11","6","1","african_languages",
"20260629T151833Z_r9_west_african_horn_gap_integration\source_packages\135_tigrinya_number_verbalization_arxiv_source_retry_arxiv.org_e-print_2601.03403.tar","680446","2026-06-29T18:39:37","C35DEDD8CD1D8134CFD11EC57C22582353BFD6B22C45C04F8182EACB0F09136E","8","3","0","african_languages",
"20260630T060636Z_controlled_arabic_invariant_specialist_retry\binary\arxiv_2504_12179_eprint.tar","13042","2026-06-30T08:06:43","9283405D3E30900E07B044219A6A660CF5D5A6DA200048236240FAFB29B75364","2","1","0","arabic_persianate_rtl",
"20260702T185300Z_controlled_arabic_invariant_covariant_register_refresh\downloads\arxiv_2504_12179_eprint_source.tar","13042","2026-07-02T20:55:09","9283405D3E30900E07B044219A6A660CF5D5A6DA200048236240FAFB29B75364","2","1","0","arabic_persianate_rtl",
"20260703T105104Z_cjk_hardterm_source_refresh\source_repositories\archives\ayhe123__algebra-lecturenote__main.zip","2204996","2026-07-03T12:51:19","D17B9DCAA147433DF4A274FE901ADDFD6B9F55CAE2FBF270D69D538EA288AB62","27","14","0","cjk",
