"zip_path","language_hint","tex_like_entries","sample_paths"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T192100Z\payload_zips\NOETHER_SLAVIC_GITHUB_TEX_OPEN_LICENSE_PAYLOAD_20260704T192100Z.zip","hsb","3","hsb/ousidus_magisterka-2026/tekst/chapters/3-theoretical.tex | hsb/platadawid_wastefreecloud_refactoring/docs/dokumentacja_projektowa/dokumentacja_projektowa.tex | hsb/szymbaramichal_WasteFree/docs/dokumentacja_projektowa/dokumentacja_projektowa.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Slavic_Interslavic_Support_20260704.zip","isv","539","sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/sources/paper34/source_fidelity/Noether_Paper34_Section18_TAIL_ORIGINAL_SCAN_WITNESS_v001.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/sources/paper34/source_fidelity/Noether_Paper34_Section19_ORIGINAL_SCAN_WITNESS_v001.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/sources/paper34/source_fidelity/Noether_Paper34_Section20_ORIGINAL_SCAN_WITNESS_v001.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/sources/paper34/source_fidelity/Noether_Paper34_Section21_ORIGINAL_SCAN_WITNESS_v001.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/sources/paper34/source_fidelity/Noether_Paper34_Section22_ORIGINAL_SCAN_WITNESS_v001.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part01.zip","ja","177","source_roots/modern_latex_manuscripts_noether_sources/recursive-audit-ra03/N_RA03_20260604/03_lang/ja/p07_ja.tex | source_roots/modern_latex_manuscripts_noether_sources/recursive-audit-ra03/N_RA03_20260604/03_lang/ja/p08_ja.tex | source_roots/modern_latex_manuscripts_noether_sources/recursive-audit-ra03/N_RA03_20260604/03_lang/ja/p09_ja.tex | source_roots/modern_latex_manuscripts_noether_sources/recursive-audit-ra03/N_RA03_20260604/03_lang/ja/p10_ja.tex | source_roots/modern_latex_manuscripts_noether_sources/recursive-audit-ra03/N_RA03_20260604/03_lang/ja/p11_ja.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part02.zip","ja","72","source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260630T080000Z_chinese_japanese_hardterm_source_retry/raw_candidates/T2sp_rep_doc_chap6.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260630T080000Z_chinese_japanese_hardterm_source_retry/raw_candidates/ayhe123_algebra_lecturenote_1-6.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260630T080000Z_chinese_japanese_hardterm_source_retry/raw_candidates/ramified_bachelor_thesis_ch1.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260630T081000Z_japanese_representation_exact_source_retry/raw_candidates/Masu22__masu22.github.io__5_able_IMO__IMO___IUT.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260630T081000Z_japanese_representation_exact_source_retry/raw_candidates/Masu22__masu22.github.io__99_MathData__Math_Tex__lie_group.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_DirectGated_Slavic_Romance_20260705.zip","mk","15","slavic_source_canon/mk/mk/lounres_SPbU-MCS-2020-M-lecture-notes/algebra/main.tex | slavic_source_canon/mk/mk/tigran123_ud/tex/p001.tex | slavic_source_canon/mk/mk/tigran123_ud/tex/p005.tex | slavic_source_canon/mk/mk/tigran123_ud/tex/p014.tex | slavic_source_canon/mk/mk/tigran123_ud/tex/p022.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Slavic_GitHub_OpenLicenseResidue_20260705.zip","mk","2","payload\mk\uros-stegic_msnr-projekat\06_PrimenaMasinskogUcenjaUStatickojVerifikacijiSoftveraMicovicRankovicStegic.tex | payload\mk\uros-stegic_msnr-projekat\prezentacija 06_PrimenaMasinskogUcenjaUStatickojVerifikacijiSoftveraMicovicRankovicStegic.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_FOCUSED_ALGEBRA_20260704T203400Z\payload_zips\NOETHER_SLAVIC_FOCUSED_ALGEBRA_OPEN_LICENSE_TEX_PAYLOAD_20260704T203400Z.zip","mk","14","mk/mk/BlackSamorez_mipt_lab/2.1.3/Sladkov_I/2.1.3.tex | mk/mk/BlackSamorez_mipt_lab/2.1.6/Terekhov_M/2.1.6.tex | mk/mk/delvinru_discrete_math_lectures/src/lectures/lecture_9.tex | mk/mk/lounres_SPbU-MCS-2020-M-lecture-notes/algebra/main.tex | mk/mk/ristic-ac_Matematika-DAS/seminarski/poglavlja/telo/poglavlje3-implementacija.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T192100Z\payload_zips\NOETHER_SLAVIC_GITHUB_TEX_OPEN_LICENSE_PAYLOAD_20260704T192100Z.zip","mk","1","mk/ristic-ac_Matematika-DAS/seminarski/poglavlja/telo/poglavlje3-implementacija.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_DirectGated_Slavic_Romance_20260705.zip","pl","39","slavic_source_canon/pl/Antyradek_iphist/chapters/zakres.tex | slavic_source_canon/pl/shgalus_shg/doc/algebra.tex | slavic_source_canon/pl/emcezet_cmos_dac/docs/notes/doc.tex | slavic_source_canon/pl/fechmistrz_almawaukh-knots/src/10-introduction/101b3-links_brunnian.tex | slavic_source_canon/pl/K4cp3rski_Termodynamika_R/Homework/HW_1/Zad_2.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Slavic_GitHub_OpenLicenseResidue_20260705.zip","pl","2","payload\pl\stosowana-pl_sprawozdania_fizyka_LaTeX\1._Wahadło_fizyczne wersja_2 1.tex | payload\pl\stosowana-pl_sprawozdania_fizyka_LaTeX\1._Wahadło_fizyczne wersja_2 niepewnosc_rozszerzona.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_FOCUSED_ALGEBRA_20260704T203400Z\payload_zips\NOETHER_SLAVIC_FOCUSED_ALGEBRA_OPEN_LICENSE_TEX_PAYLOAD_20260704T203400Z.zip","pl","34","pl/pl/adammak23_PCB-Blender/xelatex-mgr-master/magisterka.tex | pl/pl/AlfaTeam67_HRK/hrk_plakat/main.tex | pl/pl/Antyradek_iphist/chapters/zakres.tex | pl/pl/Antyradek_omnivelma/dp/main.tex | pl/pl/DreamLab_surealived/doc/writing_modules_PL.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T192100Z\payload_zips\NOETHER_SLAVIC_GITHUB_TEX_OPEN_LICENSE_PAYLOAD_20260704T192100Z.zip","pl","5","pl/Antyradek_iphist/chapters/zakres.tex | pl/emcezet_cmos_dac/docs/notes/doc.tex | pl/fechmistrz_almawaukh-knots/src/10-introduction/101b3-links_brunnian.tex | pl/K4cp3rski_Termodynamika_R/Homework/HW_1/Zad_2.tex | pl/shgalus_shg/doc/algebra.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part02.zip","ps","1","source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260629T021729Z_optimal_access_intercomprehension_research/kuhn_2015_arxiv_1507_01701_source_extracted/diagram_ps.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Romance_LiveArxivCandidates_20260705.zip","romance","8","romance_live_arxiv_candidates_20260705/extracted/0910.2557v1/0910.2557v1.tex | romance_live_arxiv_candidates_20260705/extracted/1312.6798v1/1312.6798v1.tex | romance_live_arxiv_candidates_20260705/extracted/1407.3941v1/polext.tex | romance_live_arxiv_candidates_20260705/extracted/2504.20230v1/Biblio.bib | romance_live_arxiv_candidates_20260705/extracted/2504.20230v1/include.sty"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Slavic_Interslavic_Support_20260704.zip","ru","272","sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/translations/endmatter/post44/source_fidelity/_working_chunks/russian/part01_opening_chapters_I_VI.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/translations/endmatter/post44/source_fidelity/_working_chunks/russian/part02_chapter_IV_continued_satz11.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/translations/endmatter/post44/source_fidelity/_working_chunks/russian/part03_chapter_V_section22.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/translations/endmatter/post44/source_fidelity/_working_chunks/russian/part04_chapter_V_section23.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/translations/endmatter/post44/source_fidelity/_working_chunks/russian/part05_chapter_V_section24_opening_hilfssatz.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_DirectGated_Slavic_Romance_20260705.zip","sk","35","slavic_source_canon/sk/daemontus_statnice_priprava/programove_a_informacne_systemy.tex | slavic_source_canon/sk/FrostyX_statnice-bc/1-matematicke-metody/1-matematicke-metody.tex | slavic_source_canon/sk/RoboticsBrno_RoboticsBrno-guides/RoboticsManual/zacatek.tex | slavic_source_canon/sk/sk/daemontus_statnice_priprava/programove_a_informacne_systemy.tex | slavic_source_canon/sk/sk/xiaoxiae_soc-paper-2019/paper.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_FOCUSED_ALGEBRA_20260704T203400Z\payload_zips\NOETHER_SLAVIC_FOCUSED_ALGEBRA_OPEN_LICENSE_TEX_PAYLOAD_20260704T203400Z.zip","sk","26","sk/sk/CZDanol_AnotherCraft/master_thesis_CZ/diplomka-01-chapters.tex | sk/sk/daemontus_statnice_priprava/programove_a_informacne_systemy.tex | sk/sk/FrostyX_statnice-bc/1-matematicke-metody/1-matematicke-metody.tex | sk/sk/jedla97_HW-encoder-for-lightweigth-cryptography/thesis/text/teorie.tex | sk/sk/JoHavel_MFFNotes/MA7/Reprezentace/ReprezentaceC.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T192100Z\payload_zips\NOETHER_SLAVIC_GITHUB_TEX_OPEN_LICENSE_PAYLOAD_20260704T192100Z.zip","sk","9","sk/daemontus_statnice_priprava/programove_a_informacne_systemy.tex | sk/FrostyX_statnice-bc/1-matematicke-metody/1-matematicke-metody.tex | sk/JoHavel_MFFNotes/MA7/Reprezentace/ReprezentaceC.tex | sk/knedl1k_B2M01TIK/lectures/chapters/05.tex | sk/pkonas_AutoGenBook/output/book/sections/3-5.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_DirectGated_Slavic_Romance_20260705.zip","sl","67","slavic_source_canon/sl/kuco23_graduate-thesis/diploma.tex | slavic_source_canon/sl/lunar-starlight_Magisterij/src/principi-odlo_itve.tex | slavic_source_canon/sl/sl/Ahemmetter_toki-pona/tokipona.tex | slavic_source_canon/sl/sl/andrija-urosevic_BPP_HGGA/main.tex | slavic_source_canon/sl/sl/andrija-urosevic_BPP_HGGA/pres.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_FOCUSED_ALGEBRA_20260704T203400Z\payload_zips\NOETHER_SLAVIC_FOCUSED_ALGEBRA_OPEN_LICENSE_TEX_PAYLOAD_20260704T203400Z.zip","sl","60","sl/sl/Ahemmetter_toki-pona/tokipona.tex | sl/sl/andrija-urosevic_BPP_HGGA/main.tex | sl/sl/andrija-urosevic_BPP_HGGA/pres.tex | sl/sl/Ben-McKay_concrete-algebra/crt.tex | sl/sl/Ben-McKay_concrete-algebra/rsa.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T192100Z\payload_zips\NOETHER_SLAVIC_GITHUB_TEX_OPEN_LICENSE_PAYLOAD_20260704T192100Z.zip","sl","8","sl/iruspro_zapiski-fmf/02_letnik/alg2/skripta/02_uvod-kolobarji.tex | sl/iruspro_zapiski-fmf/02_letnik/alg2/skripta/06_kolobarji_polinomov.tex | sl/iruspro_zapiski-fmf/02_letnik/alg2/skripta/skripta.tex | sl/kuco23_graduate-thesis/diploma.tex | sl/lunar-starlight_Magisterij/src/principi-odlo_itve.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part02.zip","sl","1","source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628_french_spanish_native_math_register/tex_corpus/french/math_0107137v2/rel_sl.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Slavic_Linguistics_Arxiv_20260705.zip","slavic","36","sources/2003.14026/handbook-mte.bib | sources/2003.14026/handbook-mte.tex | sources/2403.12721/lrec-coling2024.sty | sources/2403.12721/main.tex | sources/2403.18430/main_v4.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part01.zip","slavic","379","source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T214627Z_asia_wide_tex_source_register/east_asia/korean/A-H4NU_kaist-math-notes/source/kaist-math-notes-main/MAS212/MAS212_Note.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T214627Z_asia_wide_tex_source_register/east_asia/korean/A-H4NU_kaist-math-notes/source/kaist-math-notes-main/MAS212/chapters/chapter2.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T214627Z_asia_wide_tex_source_register/east_asia/korean/A-H4NU_kaist-math-notes/source/kaist-math-notes-main/MAS212/chapters/chapter3.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T214627Z_asia_wide_tex_source_register/east_asia/korean/A-H4NU_kaist-math-notes/source/kaist-math-notes-main/MAS212/chapters/chapter4.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T214627Z_asia_wide_tex_source_register/east_asia/korean/A-H4NU_kaist-math-notes/source/kaist-math-notes-main/MAS212/chapters/chapter5.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part02.zip","slavic","804","source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628_south_american_adjacent_math_register/tex_corpus_intake/portuguese/0709.3515v1/DuplaParabola.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628_south_american_adjacent_math_register/tex_corpus_intake/portuguese/1901.06762v1/Oaxaca.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260629T021729Z_optimal_access_intercomprehension_research/bird_2022_local_languages_third_spaces_acl.bib | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260629T021729Z_optimal_access_intercomprehension_research/kuhn_2014_controlled_natural_languages_acl.bib | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260629T021729Z_optimal_access_intercomprehension_research/kuhn_2015_arxiv_1507_01701_source_extracted/clv2-novolnr.cls"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_DirectGated_Slavic_Romance_20260705.zip","sr","51","slavic_source_canon/sr/f-hluchnik_zpevnik/pisnicky/rovnoujotadyrovnou.tex | slavic_source_canon/sr/f-hluchnik_zpevnik/pisnicky/svatebnikosile.tex | slavic_source_canon/sr/Hendrix-CS_programming-team/reference/Hendrix-comprog-reference.tex | slavic_source_canon/sr/sr/igrishaev_clj-book/ch1-web.tex | slavic_source_canon/sr/sr/kkumer_simetrije/1_grupe.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_FOCUSED_ALGEBRA_20260704T203400Z\payload_zips\NOETHER_SLAVIC_FOCUSED_ALGEBRA_OPEN_LICENSE_TEX_PAYLOAD_20260704T203400Z.zip","sr","42","sr/sr/BlackSamorez_mipt_lab/2.1.3/Sladkov_I/2.1.3.tex | sr/sr/BlackSamorez_mipt_lab/2.1.6/Terekhov_M/2.1.6.tex | sr/sr/bornagojsic_dismat2/zadace/dz08/main.tex | sr/sr/bornagojsic_dismat2/zadace/dz09/main.tex | sr/sr/bornagojsic_dismat2/zadace/dz10/main.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T192100Z\payload_zips\NOETHER_SLAVIC_GITHUB_TEX_OPEN_LICENSE_PAYLOAD_20260704T192100Z.zip","sr","9","sr/bornagojsic_dismat2/zadace/dz09/main.tex | sr/f-hluchnik_zpevnik/pisnicky/rovnoujotadyrovnou.tex | sr/f-hluchnik_zpevnik/pisnicky/svatebnikosile.tex | sr/Headary_maturita/cj/sources/dlouhy_siroky_a_kratkozraky.tex | sr/Headary_maturita/cj/sources/fimfarum.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Slavic_Interslavic_Support_20260704.zip","uk","272","sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/translations/endmatter/post44/source_fidelity/_working_chunks/ukrainian/part01_opening_chapters_I_VI.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/translations/endmatter/post44/source_fidelity/_working_chunks/ukrainian/part02_chapter_IV_continued_satz11.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/translations/endmatter/post44/source_fidelity/_working_chunks/ukrainian/part03_chapter_V_section22.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/translations/endmatter/post44/source_fidelity/_working_chunks/ukrainian/part04_chapter_V_section23.tex | sources/noether_slavic_review_support/Noether_Slavic_ExternalReview_RolePackets_SelfContained_20260628T200514Z/translations/endmatter/post44/source_fidelity/_working_chunks/ukrainian/part05_chapter_V_section24_opening_hilfssatz.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part01.zip","unknown","17","source_roots/modern_latex_manuscripts_noether_sources/original_language_source_tex_and_component_pdfs/noether_selected_works/corpus_source_selected/noether/noether_pages_001_050.tex | source_roots/modern_latex_manuscripts_noether_sources/original_language_source_tex_and_component_pdfs/noether_selected_works/corpus_source_selected/noether/noether_pages_051_100.tex | source_roots/modern_latex_manuscripts_noether_sources/original_language_source_tex_and_component_pdfs/noether_selected_works/corpus_source_selected/noether/noether_pages_101_150.tex | source_roots/modern_latex_manuscripts_noether_sources/original_language_source_tex_and_component_pdfs/noether_selected_works/corpus_source_selected/noether/noether_pages_151_200.tex | source_roots/modern_latex_manuscripts_noether_sources/original_language_source_tex_and_component_pdfs/noether_selected_works/corpus_source_selected/noether/noether_pages_201_250.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip","zh","168","sources/zh_CINTA_cn/CINTA-cn-master/CINTA-cn.tex | sources/zh_CINTA_cn/CINTA-cn-master/Notes/reinvent-bezout.tex | sources/zh_CINTA_cn/CINTA-cn-master/Notes/uniqueness-bezout.tex | sources/zh_CINTA_cn/CINTA-cn-master/Slides/mcs-01-numbers-euclid.tex | sources/zh_CINTA_cn/CINTA-cn-master/Slides/mcs-02-cong-euler.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part01.zip","zh","18","source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T214627Z_asia_wide_tex_source_register/east_asia/chinese/EasonSYC_maths-notes/source/maths-notes-main/1 集合/1 集合.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T214627Z_asia_wide_tex_source_register/east_asia/chinese/EasonSYC_maths-notes/source/maths-notes-main/2 等式与不等式/2 等式与不等式.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T214627Z_asia_wide_tex_source_register/east_asia/chinese/EasonSYC_maths-notes/source/maths-notes-main/3 幂、指数与对数/3 幂、指数与对数.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T214627Z_asia_wide_tex_source_register/east_asia/chinese/EasonSYC_maths-notes/source/maths-notes-main/4 幂函数、指数函数与对数函数/4 幂函数、指数函数与对数函数.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T214627Z_asia_wide_tex_source_register/east_asia/chinese/EasonSYC_maths-notes/source/maths-notes-main/5 函数的概念、性质及应用/5 函数的概念、性质及应用.tex"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part02.zip","zh","50","source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260703T123013Z_cjk_invariant_representation_codepoint_redo/accepted_raw_tex/zh_invariant_form_fourteenth__2018wzh__VeriSpecOSLab__docs__comp__report.tex.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260703T123013Z_cjk_invariant_representation_codepoint_redo/accepted_raw_tex/zh_invariant_theory_exact__wuliwiki__PhysWiki-log__contents__CXds.tex.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260703T123013Z_cjk_invariant_representation_codepoint_redo/accepted_raw_tex/zh_invariant_theory_exact__wuliwiki__PhysWiki-log__contents__David.tex.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260703T123013Z_cjk_invariant_representation_codepoint_redo/accepted_raw_tex/zh_invariant_theory_exact__wuliwiki__PhysWiki-log__contents__GroupM.tex.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260703T123013Z_cjk_invariant_representation_codepoint_redo/accepted_raw_tex/zh_invariant_theory_exact__wuliwiki__PhysWiki-log__contents__SFSL.tex.tex"
