row_id,surface,risk,kind,replacement_hint,source_file,line,context,apply_action,citation_form,current_lemma,warning
remain-ostati,obstavajut,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section09/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex,34,"u, s. 25.} \textit{Dva modula \(\mM\) i \(\mN\) nazyvajut se modulami jednakogo vida, ako obstavajut dva polinomy \(P\) i \(Q\), pri čem \(P\) jest vzaimno prosty s \(\mM\), a \(Q\) vzaimno",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
remain-ostati,obstavanje,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section09/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex,39,"\textit{važi. Vzaimna prostost tut znači obstavanje dvoh polinomov \(X\) i \(Y\), tako že}",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
holds-is-valid,važi,human_review_only,register_extension,human review: register-extension holds/valid,germanOut/renders/paper17/section09/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex,39,"\textit{važi. Vzaimna prostost tut znači obstavanje dvoh polinomov \(X\) i \(Y\), tako že}",human_review_before_any_apply,važiti (REGISTER EXTENSION),važi,REGISTER-EXTENSION row: document explicitly that math sense extends dict sense; candidate for reviewer question
holds-is-valid,važi,human_review_only,register_extension,human review: register-extension holds/valid,germanOut/renders/paper17/section09/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex,44,\textit{važi.},human_review_before_any_apply,važiti (REGISTER EXTENSION),važi,REGISTER-EXTENSION row: document explicitly that math sense extends dict sense; candidate for reviewer question
holds-is-valid,važi,human_review_only,register_extension,human review: register-extension holds/valid,germanOut/renders/paper17/section09/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex,46,Nyně važi slědujuči,human_review_before_any_apply,važiti (REGISTER EXTENSION),važi,REGISTER-EXTENSION row: document explicitly that math sense extends dict sense; candidate for reviewer question
holds-is-valid,važi,human_review_only,register_extension,human review: register-extension holds/valid,germanOut/renders/paper17/section09/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex,60,čim (25) jest dokazano. Takože važi,human_review_before_any_apply,važiti (REGISTER EXTENSION),važi,REGISTER-EXTENSION row: document explicitly that math sense extends dict sense; candidate for reviewer question
assumption-noun,predpoloženo,citation_rehead_only,doublet_documentation,citation rehead/document doublet; no global replace,germanOut/renders/paper17/section09/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex,65,"tedy relacija (26). Dalej po (29) jest \(P\ma\sim PQ\mb\), i poneže po (30) bylo predpoloženo \(P\ma\sim\mb\), iz jednoznačnosti pridruženja slěduje \(PQ\mb=\mb\), tedy \(PQ\equiv1(\m",citation_rehead_only_or_no_text_change,prědpoložeńje,prědpoloženje,both prědpoloženje and prědpostavka are real formations; citation = dict form; do not erase prědpostavka
remain-ostati,obstavajut,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section09/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex,67,"2. Neha, obratno, \(\mM\) i \(\mN\) sut jednakogo vida, tako že relacije (25)--(28) obstavajut. Togda libovoljnomu klasu \(F\ma\) iz \(\mA\) pridružujemo klas \(FQ\mb\) iz \(\mB\). Pri",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
remain-ostati,obstavali,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section09/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex,69,"jene. No ako by oba preslikanja \(\Phi\) i \(\Psi\) ne byla obratno jednoznačne, togda by obstavali, na primjer v \(\mA\), klasy \(G\ma\), ktorym v \(\mB\) odpověda klas \(GQ\mb=0\). Klasy",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
remain-ostati,obstavajut,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section09/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex,69,"rez preslikanje \(\Psi\) v klasah \(FQP\ma\) vozvratila cěla grupa \(\mA\). Kako znajemo, obstavajut takože v \(\mB\) od nule različne klasy, ktorym po \(\Psi\) odpověda nulevy klas v \(\mA\",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
remain-ostati,obstavajut,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section09/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex,69,"\mA\). Te polinomy \(F\), za ktore \(FQP\ma=G_1\ma\), označajemo s \(G_2\); take polinomy obstavajut vsaky raz, kogda obstavajut polinomy \(G_1\). Za vsako \(G_2\) dalej važi \(G_2QP\ma\ne0\",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
remain-ostati,obstavajut,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section09/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex,69,"ktore \(FQP\ma=G_1\ma\), označajemo s \(G_2\); take polinomy obstavajut vsaky raz, kogda obstavajut polinomy \(G_1\). Za vsako \(G_2\) dalej važi \(G_2QP\ma\ne0\), zato \(G_2(QP)^2\ma=0\).",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
remain-ostati,obstavajut,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section09/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex,69,"važi \(G_2QP\ma\ne0\), zato \(G_2(QP)^2\ma=0\). Odpovědajuče za vsako cělo čislo \(\nu\) obstavajut klasy \(G_\nu\ma\), tako že \(G_\nu(QP)^{\nu-1}\ma\ne0\), ale \(G_\nu(QP)^\nu\ma=0\).",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
holds-is-valid,važi,human_review_only,register_extension,human review: register-extension holds/valid,germanOut/renders/paper17/section09/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex,69,"polinomy obstavajut vsaky raz, kogda obstavajut polinomy \(G_1\). Za vsako \(G_2\) dalej važi \(G_2QP\ma\ne0\), zato \(G_2(QP)^2\ma=0\). Odpovědajuče za vsako cělo čislo \(\nu\) obsta",human_review_before_any_apply,važiti (REGISTER EXTENSION),važi,REGISTER-EXTENSION row: document explicitly that math sense extends dict sense; candidate for reviewer question
assumption-noun,predpoloženju,citation_rehead_only,doublet_documentation,citation rehead/document doublet; no global replace,germanOut/renders/paper17/section09/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex,79,"čto dava protivrěčenje našemu predpoloženju. Slěduje tedy izomorfija, i zato po 1. važe ostrějše relacije (27), (28) s \(X=Q\), \(Y=P",citation_rehead_only_or_no_text_change,prědpoložeńje,prědpoloženje,both prědpoloženje and prědpostavka are real formations; citation = dict form; do not erase prědpostavka
entirely,popolno,sanctioned_doublet_record,doublet,sovsěm/vpolně/popolno all sanctioned; no global replace,germanOut/renders/paper17/section09/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex,83,"\textbf{Teorem VII.}\footnote{Sravni Loewy, s. 100--101.} \textit{Ako popolno reducibilny modul \(\mM\) jest na dva sposoby predstavimy kako najmene obče mnogokratno p",record_sanctioned_doublet_no_global_replace,sȯvsěm,sovsěm,popolno is dict-sanctioned; v4 scatter note amended
case-instance,slučaju,human_review_only,homograph_risk,"human review: case/instance, belongs homograph risk",germanOut/renders/paper17/section09/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex,83,"P\) jest jednakogo vida točno s jednim \(\mD\), togda razklady sut identične. V protivnom slučaju najmene dva iz modulov \(\mP\) sut medžu soboju jednakogo vida, i tak samo najmene dva iz",human_review_before_any_apply,slučaj,slučaj,hr pripada=belongs homograph noted (F12c)
remain-ostati,Obstavanje,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,30,\subsection*{\S~10. Obstavanje beskonečno mnogih razkladov grupy.},prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
remain-ostati,obstavajut,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,32,"popolno reducibilnoj grupy ne jest jednoznačno, togda po Teoremu V v vsakom predstavjenju obstavajut najmene dvě medžu soboju izomorfne podgrupy. Nyně razmatrajemo podgrupu, sostavjenu iz ta",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
entirely,popolno,sanctioned_doublet_record,doublet,sovsěm/vpolně/popolno all sanctioned; no global replace,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,32,"Ako sumno predstavjenje popolno reducibilnoj grupy ne jest jednoznačno, togda po Teoremu V v vsakom predstavjenju obstava",record_sanctioned_doublet_no_global_replace,sȯvsěm,sovsěm,popolno is dict-sanctioned; v4 scatter note amended
holds-is-valid,važi,human_review_only,register_extension,human review: register-extension holds/valid,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,36,"onečno mnogo ``konstant'', to jest veličin \(a\), za ktore \(\xi_i a=a\xi_i\). Tut teorem važi čak i togda, kogda o grupah \(\mathfrak A_i\) ničto dalje ne predpolagaje se, ni ireducib",human_review_before_any_apply,važiti (REGISTER EXTENSION),važi,REGISTER-EXTENSION row: document explicitly that math sense extends dict sense; candidate for reviewer question
holds-is-valid,važi,human_review_only,register_extension,human review: register-extension holds/valid,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,36,"kogda o grupah \(\mathfrak A_i\) ničto dalje ne predpolagaje se, ni ireducibilnost. Tedy važi",human_review_before_any_apply,važiti (REGISTER EXTENSION),važi,REGISTER-EXTENSION row: document explicitly that math sense extends dict sense; candidate for reviewer question
however,vsak,human_review_only,homograph_risk,human review: however/equally homograph risk,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,50,"pri čem tedy v grupě \(\mathfrak A_1\) vsak klas ostatkov jest prirěđeny sam sobě. Poneže \(Ma_1=0\), \(Ma_i=0\), togda slěduje \(Mt_",human_review_before_any_apply,jednako (with homograph usage-note),však,"HOMOGRAPH WARNING: hr/sr jednak(o)=equal(ly) — in math prose where 'equally' is frequent, prefer sentence positions that disambiguate, or use ipak for contrast; this row NEEDS the reviewer"
remain-ostati,obstavajut,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,99,"pa r}\) odpovědajuči poddeterminanty, poděljene čerez \(|\lambda_{i\varkappa}|\), tako že obstavajut relacije",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
remain-ostati,obstavajut,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,145,"l by izčeznuti vsaky pojediny sčlen, a to ne stava se. Ako tedy pri fiksovanom \(\sigma\) obstavajut najmene dva \(\rho\), za ktore \(\lambda_{\rho\sigma}\ne0\), togda \(\mathfrak A_\sigma\)",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
remain-ostati,obstavanje,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,147,"takože izomorfne medžu soboju i k grupam \(\mathfrak A_\sigma\). Za to najprěd pokazujemo obstavanje klasov \(r_{\rho\sigma}a_\sigma\) i \(r^{\sigma\rho}b_\rho\), ktore posrědničajut izomorf",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
reg-imenno,totiž,candidate_after_review,branch_flavor,imenno plus mandatory W/S gloss; manual,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,148,"\ldots,\alpha\)). Dokazujemo totiž, že za klasy",prepare_candidate_rewrites_after_review,imenno,imenno,F12b poster child: imenno has ZERO W/S presence — the register documentation MUST carry totiž/mianowicie/naime or W+S readers lose the connective
entirely,popolno,sanctioned_doublet_record,doublet,sovsěm/vpolně/popolno all sanctioned; no global replace,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,228,"f{Teorem IX.}\footnote{Sravni Loewy, s. 106--107.} \textit{Ako modul \(\mathfrak M\) jest popolno reducibilny i jest najmene obče mnogokratno prostyh modulov \(\mathfrak P_1,",record_sanctioned_doublet_no_global_replace,sȯvsěm,sovsěm,popolno is dict-sanctioned; v4 scatter note amended
entirely,popolno,sanctioned_doublet_record,doublet,sovsěm/vpolně/popolno all sanctioned; no global replace,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,236,"\textbf{Pomočny teorem.}\footnote{Sravni Loewy, s. 96.} \textit{Ako popolno reducibilny modul \(\mathfrak M=[\mathfrak P_1,",record_sanctioned_doublet_no_global_replace,sȯvsěm,sovsěm,popolno is dict-sanctioned; v4 scatter note amended
series-sequence-red,redu,human_review_only,high_divergence,human review: high-divergence series/row/order; mandatory gloss,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,242,"\mathfrak P_k\) izbiramo totalno vzaimno prostu sistemu, črtajuči po redu vsaky iz tih prostyh modulov, ktory vhodi v najmene obče mnogokratno jošče ne izčrtanih.",human_review_before_any_apply,ręd (with mandatory 4-branch gloss block),ręd,HIGH-DIVERGENCE ROW: no pan lexeme (F12c); ред(S/E)=order homograph; final texts should gloss on first use per paper; strongest candidate for reviewer sign-off
assumption-noun,predpoloženo,citation_rehead_only,doublet_documentation,citation rehead/document doublet; no global replace,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,242,"h modulov, ktory vhodi v najmene obče mnogokratno jošče ne izčrtanih. Zato nyně neha bude predpoloženo, že \(\mathfrak P_1,",citation_rehead_only_or_no_text_change,prědpoložeńje,prědpoloženje,both prědpoloženje and prědpostavka are real formations; citation = dict form; do not erase prědpostavka
remain-ostati,obstavaje,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,250,"jest dělitelny čerez beskonečno mnogo prostyh modulov. Ako poslědnje obratno važi, togda obstavaje najmene jedin prosty dělitelj od \(\mathfrak N\), ktory jest različny od vseh tih konečno",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
entirely,popolno,sanctioned_doublet_record,doublet,sovsěm/vpolně/popolno all sanctioned; no global replace,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,250,če mnogokratno konečno mnogih prostyh modulov; togda \(\mathfrak N\) nazyvaje se največši popolno reducibilny modul od \(\mathfrak M\) (v povezce s odpovědajučo tvorbo u Loewy). Ako među,record_sanctioned_doublet_no_global_replace,sȯvsěm,sovsěm,popolno is dict-sanctioned; v4 scatter note amended
holds-is-valid,važi,human_review_only,register_extension,human review: register-extension holds/valid,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,250,"athfrak M\), jest dělitelny čerez beskonečno mnogo prostyh modulov. Ako poslědnje obratno važi, togda obstavaje najmene jedin prosty dělitelj od \(\mathfrak N\), ktory jest različny od",human_review_before_any_apply,važiti (REGISTER EXTENSION),važi,REGISTER-EXTENSION row: document explicitly that math sense extends dict sense; candidate for reviewer question
case-instance,slučaji,human_review_only,homograph_risk,"human review: case/instance, belongs homograph risk",germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,250,"aky aditivny razklad grupy ostatkov. Sravni vpročem primjer \S~12, 4.} Tada sut možne dva slučaji. Ili \(\mathfrak N\) ne jest predstavimy kako najmene obče mnogokratno konečno mnogih pro",human_review_before_any_apply,slučaj,slučaj,hr pripada=belongs homograph noted (F12c)
case-instance,slučaju,human_review_only,homograph_risk,"human review: case/instance, belongs homograph risk",germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,250,") ne jest predstavimy kako najmene obče mnogokratno konečno mnogih prostyh modulov; v tom slučaju \(\mathfrak N\), tedy takože \(\mathfrak M\), imaje beskonečno mnogo prostyh modulov kako",human_review_before_any_apply,slučaj,slučaj,hr pripada=belongs homograph noted (F12c)
remain-ostati,obstavaje,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,252,"modul jest dělitelny čerez beskonečno mnogo različnyh prostyh modulov, jest ta, že ili ne obstavaje največši popolno reducibilny modul, ili, ako taky obstavaje, že on jest dělitelny čerez n",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
remain-ostati,obstavaje,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,252,"h modulov, jest ta, že ili ne obstavaje največši popolno reducibilny modul, ili, ako taky obstavaje, že on jest dělitelny čerez najmene dva različne proste moduly jednakogo vida.}",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
entirely,popolno,sanctioned_doublet_record,doublet,sovsěm/vpolně/popolno all sanctioned; no global replace,germanOut/renders/paper17/section10/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex,252,"y čerez beskonečno mnogo različnyh prostyh modulov, jest ta, že ili ne obstavaje največši popolno reducibilny modul, ili, ako taky obstavaje, že on jest dělitelny čerez najmene dva različ",record_sanctioned_doublet_no_global_replace,sȯvsěm,sovsěm,popolno is dict-sanctioned; v4 scatter note amended
follows-from,sledimo,candidate_after_review,branch_flavor,"slěduje/slědovati-family, but keep W gloss; manual",germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,27,"ključek k teoriji sistemov linearnyh diferencialnyh uravnenj v častnyh derivatah; tut vez sledimo ještě malo v slučaju, že grupa ostatkov modula jest ``konečna''.",prepare_candidate_rewrites_after_review,slědovati (slěduje iz),slěduje,
case-instance,slučaju,human_review_only,homograph_risk,"human review: case/instance, belongs homograph risk",germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,27,"temov linearnyh diferencialnyh uravnenj v častnyh derivatah; tut vez sledimo ještě malo v slučaju, že grupa ostatkov modula jest ``konečna''.",human_review_before_any_apply,slučaj,slučaj,hr pripada=belongs homograph noted (F12c)
remain-ostati,obstava,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,29,"\textbf{Definicija.} \textit{Grupa ostatkov nazyvaje se konečnoju, ako obstava čislo \(\mu\), red grupy, tako že medžu kakovymi-koli \(\mu+1\) klasami ostatkov obstava",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
remain-ostati,obstava,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,29,"obstava čislo \(\mu\), red grupy, tako že medžu kakovymi-koli \(\mu+1\) klasami ostatkov obstava linearna relacija s koeficientami iz \(P\), togda kak obstava najmene jedna sistema iz \(",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
remain-ostati,obstava,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,29,"\(\mu+1\) klasami ostatkov obstava linearna relacija s koeficientami iz \(P\), togda kak obstava najmene jedna sistema iz \(\mu\) klasov ostatkov, medžu ktorymi ne obstava relacija, i kt",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
remain-ostati,obstava,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,29,"P\), togda kak obstava najmene jedna sistema iz \(\mu\) klasov ostatkov, medžu ktorymi ne obstava relacija, i ktoru budemo nazyvati linearnu bazu grupy ostatkov. V drugom slučaju grupa os",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
series-sequence-red,red,human_review_only,high_divergence,human review: high-divergence series/row/order; mandatory gloss,germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,29,"tbf{Definicija.} \textit{Grupa ostatkov nazyvaje se konečnoju, ako obstava čislo \(\mu\), red grupy, tako že medžu kakovymi-koli \(\mu+1\) klasami ostatkov obstava linearna relacija s",human_review_before_any_apply,ręd (with mandatory 4-branch gloss block),ręd,HIGH-DIVERGENCE ROW: no pan lexeme (F12c); ред(S/E)=order homograph; final texts should gloss on first use per paper; strongest candidate for reviewer sign-off
case-instance,slučaju,human_review_only,homograph_risk,"human review: case/instance, belongs homograph risk",germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,29,"orymi ne obstava relacija, i ktoru budemo nazyvati linearnu bazu grupy ostatkov. V drugom slučaju grupa ostatkov nazyvaje se beskonečnoju.}",human_review_before_any_apply,slučaj,slučaj,hr pripada=belongs homograph noted (F12c)
series-sequence-red,red,human_review_only,high_divergence,human review: high-divergence series/row/order; mandatory gloss,germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,31,"Suma dvoh konečnyh grup ostatkov imaje konečny red, imenno sumu jih redov. Suma dvoh beskonečnyh grup ili jednej konečnoj i jednej beskonečn",human_review_before_any_apply,ręd (with mandatory 4-branch gloss block),ręd,HIGH-DIVERGENCE ROW: no pan lexeme (F12c); ред(S/E)=order homograph; final texts should gloss on first use per paper; strongest candidate for reviewer sign-off
series-sequence-red,redov,human_review_only,high_divergence,human review: high-divergence series/row/order; mandatory gloss,germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,31,"Suma dvoh konečnyh grup ostatkov imaje konečny red, imenno sumu jih redov. Suma dvoh beskonečnyh grup ili jednej konečnoj i jednej beskonečnoj grupy jest beskonečn",human_review_before_any_apply,ręd (with mandatory 4-branch gloss block),ręd,HIGH-DIVERGENCE ROW: no pan lexeme (F12c); ред(S/E)=order homograph; final texts should gloss on first use per paper; strongest candidate for reviewer sign-off
series-sequence-red,red,human_review_only,high_divergence,human review: high-divergence series/row/order; mandatory gloss,germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,31,"ečnyh grup dajut vse grupy ostatkov modulov jednej prěmennoj; ale i za nekoliko prěmennyh red može stati konečnym, na primjer za modul s bazisom \(\xi_1^2\), \(\xi_2^2\), gdě vse klas",human_review_before_any_apply,ręd (with mandatory 4-branch gloss block),ręd,HIGH-DIVERGENCE ROW: no pan lexeme (F12c); ред(S/E)=order homograph; final texts should gloss on first use per paper; strongest candidate for reviewer sign-off
holds-is-valid,važi,human_review_only,register_extension,human review: register-extension holds/valid,germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,33,Nyně važi slědujuči teorem.,human_review_before_any_apply,važiti (REGISTER EXTENSION),važi,REGISTER-EXTENSION row: document explicitly that math sense extends dict sense; candidate for reviewer question
series-sequence-red,red,human_review_only,high_divergence,human review: high-divergence series/row/order; mandatory gloss,germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,35,"a modula ravnym nuli, dopušća točno toliko linearno nezavisnyh integralov, koliko ukazuje red jego grupy ostatkov. Obratno, za dany sistem konečno mnogih linearnyh diferencialnyh urav",human_review_before_any_apply,ręd (with mandatory 4-branch gloss block),ręd,HIGH-DIVERGENCE ROW: no pan lexeme (F12c); ред(S/E)=order homograph; final texts should gloss on first use per paper; strongest candidate for reviewer sign-off
series-sequence-red,redu,human_review_only,high_divergence,human review: high-divergence series/row/order; mandatory gloss,germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,35,"atah, ktore imajut samo konečno čislo linearno nezavisnyh integralov, to čislo jest ravno redu grupy ostatkov modula, porodženogo diferencialnymi izrazami.}",human_review_before_any_apply,ręd (with mandatory 4-branch gloss block),ręd,HIGH-DIVERGENCE ROW: no pan lexeme (F12c); ред(S/E)=order homograph; final texts should gloss on first use per paper; strongest candidate for reviewer sign-off
remain-ostati,obstava,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,38,"i někojej \(n\)-razměrnoj oblasti obrazuju najviše mnogovidnosti nižših razměrov, tako že obstava proizvoljno mnogo toček s regularnoju \(n\)-razměrnoju okolinoju.",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
remain-ostati,obstava,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,40,"Nehaj nyně \(\mathfrak M\) bude modul s konečnoju grupoju ostatkov. Togda pokažemo, že obstava linearna baza iz produktov stepenev s vlastnostju, že \textit{pri izrazih libovoljnogo kl",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
power-exponent,stepenev,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,40,"modul s konečnoju grupoju ostatkov. Togda pokažemo, že obstava linearna baza iz produktov stepenev s vlastnostju, že \textit{pri izrazih libovoljnogo klasa ostatkov črez tutu bazu v imenov",deferred_no_apply,,,deferred
power-exponent,stepeni,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/paper17/section11/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex,40,ri izrazih libovoljnogo klasa ostatkov črez tutu bazu v imenovatelju mogut nastupati samo stepeni konečno mnogih različnyh veličin iz \(P\)}.,deferred_no_apply,,,deferred
