stable_id,volume,authority_sha256,pdf_physical_page,printed_page,french_source_file,french_source_line,french_source_text,english_source_file,english_source_sha256,english_source_line,english_current_text,source_backed_disposition,status
EG-EGA-I-P47-535-DUPLICATE-ARE-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,46,47,source/ega1/ega0-1-fr.tex,3181-3183,"il en est de même de F tensor G et de Hom(F,G)",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,167,"then so are F tensor G are Hom(F,G)",The second 'are' is a transcription error; English must read 'then so are F tensor G and Hom(F,G)',CONFIRMED_ENGLISH_GRAMMAR_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P48-538-IMPOSE-VS-IMPOSES-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,47,48,source/ega1/ega0-1-fr.tex,3231-3235,"Ce résultat, joint aux propriétés des sous-O_X-Modules d'un O_X-Module cohérent, impose des conditions nécessaires",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,194,"This result, along with the properties of the O_X-submodules of a coherent O_X-module, impose the necessary conditions",The singular subject 'This result' requires 'imposes'; English must repair subject-verb agreement,CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P48-539-NEIGHBOURHOOD-OF-X-VS-XPOINT-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,47,48,source/ega1/ega0-1-fr.tex,3240-3244,"il existe un voisinage ouvert U de X et un (O_X|U)-Module cohérent F tel que F_x soit isomorphe à M",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,201,"there exists an open neighbourhood U of X and a coherent (O_X|U)-module F such that F_x is isomorphic to M",The module M is based at x and the following construction again says U is a neighbourhood of x; printed capital X is a French source typo. Canonical French retains X; English must read 'of x' with transparent source-typo notice,CONFIRMED_FRENCH_SOURCE_TYPO_ENGLISH_CORRECTION_REQUIRED_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P48-541-SPURIOUS-COMMA-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,47,48,source/ega1/ega0-1-fr.tex,3297-3300,"il existe un voisinage U de x tel que F|U soit de rang n(x)",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,237,"there exists a neighbourhood U of x such that F|U, is of rank n(x)",The comma between the subject F|U and predicate is spurious and must be removed,CONFIRMED_ENGLISH_PUNCTUATION_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P49-541-ERRATUM-II-EXTERNAL-ADDITION-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,48,49,source/ega1/ega0-1-fr.tex,3315-3317,"5.4.1 ends after the convention that unspecified locally free sheaves have finite rank",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,248,"Erratum II: a coherent module whose stalk is free of rank n is locally free of rank n near the point",The sentence is absent from the bounded NUMDAM EGA I body; do not import it into diplomatic French and retain it in English only under a separately bound Erratum-II authority,EXTERNAL_ERRATUM_ADDITION_ABSENT_FROM_NUMDAM_BODY_REQUIRES_SEPARATE_AUTHORITY_BINDING
EG-EGA-I-P49-543-XREF-532-VS-542-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,48,49,source/ega1/ega0-1-fr.tex,3365-3367,"en effet, d'après (5.4.2), il suffit de définir un isomorphisme canonique Hom(L,L) vers O_X",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,283,"as, according to 5.3.2, it suffices to define a canonical isomorphism Hom(L,L) to O_X",The proof invokes the dual-tensor evaluation map of 5.4.2; English must cite 5.4.2 rather than 5.3.2,CONFIRMED_ENGLISH_CROSS_REFERENCE_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P49-543-OX-ENDOMORPHISM-ISOTO-VS-TO-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,48,49,source/ega1/ega0-1-fr.tex,3368-3373,"pour tout O_X-Module F, on a un homomorphisme canonique O_X isomorphism-arrow Hom(F,F); il reste à prouver que pour F=L inversible cet homomorphisme est bijectif",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,284,"For each O_X-module F, we have a canonical homomorphism O_X isoto Hom(F,F)",The scalar endomorphism map is not an isomorphism for arbitrary F and the next printed sentence explicitly says bijectivity remains to be proved for invertible F=L. The printed isomorphism arrow is a French source typo; canonical French retains it and English must use an ordinary arrow with a visible note,CONFIRMED_FRENCH_SOURCE_TYPO_ENGLISH_CORRECTION_REQUIRED_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P49-543-MISSING-IF-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,48,49,source/ega1/ega0-1-fr.tex,3392-3398,"cela montre que si L est un O_X-Module de type fini tel qu'il existe F ... et si les O_x sont locaux, alors L_x est isomorphe à O_x",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,292,"this shows that L is an O_X-module of finite type, such that there exists F ... and if in addition the O_x are local rings, then L_x is isomorphic to O_x",English drops the first conditional 'if' and incorrectly turns the finite-type hypothesis into an assertion; restore the conditional structure,CONFIRMED_ENGLISH_LOGICAL_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P50-544-NOTATION-VS-NOTATIONS-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,49,50,source/ega1/ega0-1-fr.tex,3416-3417,"Avec ces notations, il existe alors un isomorphisme canonique fonctoriel",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,302,"With these notation, there is then a canonical functorial isomorphism",The plural demonstrative requires 'notations'; English must read 'With these notations',CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P50-545-FROM-THAT-VS-FROM-THE-FACT-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,49,50,source/ega1/ega0-1-fr.tex,3434-3437,"cela résulte aussitôt de ce que les images réciproques ... sont localement isomorphes, de ce que f* commute ... et de ce que f*(O_X)=O_Y",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,315,"this follows immediately from that the inverse images ... are locally isomorphic, that f* commutes ... and that f*(O_X)=O_Y",English requires 'from the fact that' before the coordinated clauses; 'from that' is ungrammatical,CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P50-545-ROMAN-L-VS-SCRIPT-L-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,49,50,source/ega1/ega0-1-fr.tex,3444-3446,"et lorsque L est localement libre, cet homomorphisme est bijectif; on est ramené au cas où script-L=O_X",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,316-317,"and when script-L is locally free, this homomorphism is bijective ... we reduce to script-L=O_X",The isolated plain italic L denotes the same sheaf printed as script L throughout the paragraph and again in the very next clause. Canonical French retains plain L; English normalization to script L is source-justified,CONFIRMED_FRENCH_SOURCE_NOTATION_TYPO_ENGLISH_NORMALIZATION_JUSTIFIED
EG-EGA-I-P50-546-BY-CORRESPONDING-VS-ASSOCIATING-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,49,50,source/ega1/ega0-1-fr.tex,3457-3463,"en faisant correspondre au couple (s_n,s_m) ... la section de L^(n+m)",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,324,"by corresponding to a pair (s_n,s_m) ... the section of L^(n+m)",The French construction means associating the stated section with the pair; English must read 'by associating with a pair' or an equivalent grammatical formulation,CONFIRMED_ENGLISH_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P50-546-AXIOMS-ARE-VS-IS-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,49,50,source/ega1/ega0-1-fr.tex,3475-3483,"la vérification des axiomes des modules est immédiate",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,334,"the verification of the module axioms are immediate",The singular subject 'verification' requires 'is immediate',CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P50-546-EXTRA-CLOSING-PAREN-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,49,50,source/ega1/ega0-1-fr.tex,3490-3508,"f^*(L^(tensor n))=(f^*(L))^(tensor n)",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,338,"f^*(L^(tensor n))=(f^*(L))^(tensor n))",English contains one unmatched extra closing parenthesis after the right-hand side; remove it,CONFIRMED_ENGLISH_TEX_PUNCTUATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P51-546-HOMOMORPHISM-VS-HOMOMORPHISMS-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,50,51,source/ega1/ega0-1-fr.tex,3525-3533,"ces homomorphismes (pour n variable) définissent un di-homomorphisme de modules gradués",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,345,"these homomorphism (for n variable) define a di-homomorphism of graded modules",The plural demonstrative and verb require the plural noun 'homomorphisms',CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P51-547-X-IN-X-VS-X-IN-U-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,50,51,source/ega1/ega0-1-fr.tex,3553-3559,"u_x(s_x)=epsilon_x s_x pour tout x in X et tout s_x in O_x",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,355,"u_x(s_x)=epsilon_x s_x for all x in X and all s_x in O_x",The section and automorphism are defined only over U so the stalk formula is meaningful for x in U; NUMDAM visibly prints X. Diplomatic French retains X and English must use U with a visible source note,CONFIRMED_FRENCH_SOURCE_DOMAIN_TYPO_ENGLISH_CORRECTION_REQUIRED_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P51-547-SAY-VS-SAYING-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,50,51,source/ega1/ega0-1-fr.tex,3560-3566,"la donnée ... revient à se donner une 1-cochaîne ... et dire que les theta vérifient ... signifie que",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,356,"the data ... is the same as giving a 1-cochain ... and say that the theta satisfy ... meaning that",English breaks the coordinated construction; use 'and saying that ... means that' or an equivalent grammatical rendering,CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P51-547-COYCLES-VS-COCYCLES-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,50,51,source/ega1/ega0-1-fr.tex,3574-3579,"à deux cocycles cohomologues correspondent deux éléments égaux de M",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,358,"to two cohomologous coycles correspond two equal elements of M",English misspells 'cocycles' as 'coycles',CONFIRMED_ENGLISH_SPELLING_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P51-547-MISSING-STAR-IN-H1U-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,50,51,source/ega1/ega0-1-fr.tex,3599-3605,"il suffit de le prouver pour les applications H^1(Ufrak,O_X) vers M",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,371,"it suffices to prove for the maps H^1(Ufrak,O_X) to M",Every preceding and following cohomology group in the argument has coefficients O_X^* and the map is defined from multiplicative cocycles. NUMDAM visibly omits the star here; diplomatic French retains the omission and English must restore O_X^* with a visible note,CONFIRMED_FRENCH_SOURCE_COEFFICIENT_TYPO_ENGLISH_CORRECTION_REQUIRED_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P52-547-COCYCLE-COMMA-VS-PRODUCT-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,51,52,source/ega1/ega0-1-fr.tex,3619-3633,"le cocycle (epsilon_lambdamu epsilon'_lambdamu) correspond à L tensor L'",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,378,"the cocycle (epsilon_lambdamu,epsilon'_lambdamu) corresponds to L tensor L'",Tensoring the line bundles multiplies their transition cocycles; English replaces the printed product by a comma-separated pair and must restore the product,CONFIRMED_ENGLISH_MATHEMATICAL_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P52-548-FSTAR-L-OX-FREE-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,51,52,source/ega1/ega0-1-fr.tex,3637-3643,"Le foncteur f^*(L) dans la catégorie des O_X-Modules libres définit une application M(X) vers M(Y)",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,384-385,"The functor f^*(L) to the category of free O_X-modules defines a map M(X) to M(Y)",The printed sentence is grammatically and categorically corrupt: f^*(L) is an object not the functor and the target modules live over O_Y; the induced map concerns invertible modules. Diplomatic French retains the sentence and English must state that the inverse-image functor carries invertible O_X-modules to invertible O_Y-modules and hence induces M(X) to M(Y), with a visible source note,CONFIRMED_FRENCH_SOURCE_FUNCTOR_TYPE_TYPO_ENGLISH_CORRECTION_REQUIRED_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P52-548-AUTOMORPHISMS-CORRESPONDS-VS-CORRESPOND-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,51,52,source/ega1/ega0-1-fr.tex,3655-3664,"il suffit donc de vérifier que ces derniers correspondent au cocycle",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,393,"it then suffices to check that these latter automorphisms corresponds to the cocycle",The plural subject 'automorphisms' requires 'correspond',CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P53-5410-OX-N-VS-OY-N-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,52,53,source/ega1/ega0-1-fr.tex,3713-3720,"la question étant locale sur Y, considérer le cas où L=O_Y^n",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,420,"since the questions is local, consider the case where L=O_X^n",The locally free module L is an O_Y-module and NUMDAM clearly reduces to L=O_Y^n; English incorrectly changes the base to X and must restore O_Y^n,CONFIRMED_ENGLISH_MATHEMATICAL_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P53-5410-QUESTIONS-VS-QUESTION-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,52,53,source/ega1/ega0-1-fr.tex,3713-3720,"la question étant locale sur Y",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,420,"since the questions is local",The singular verb requires singular 'question',CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P53-552-QUESTIONS-VS-QUESTION-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,52,53,source/ega1/ega0-1-fr.tex,3758-3764,"la question étant locale",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,447,"since the questions is local",The singular verb requires singular 'question',CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P53-552-EQUIVALENCE-ARE-VS-IS-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,52,53,source/ega1/ega0-1-fr.tex,3758-3761,"l'équivalence de a) et b) est alors évidente",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,448,"the equivalence of (a) and (b) are then evident",The subject 'equivalence' is singular and requires 'is then evident',CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P53-553-QUESTIONS-VS-QUESTION-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,52,53,source/ega1/ega0-1-fr.tex,3780-3783,"la question étant locale",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,464,"since the questions is local",The singular verb requires singular 'question',CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P54-554-PLAIN-F-VS-CALLIGRAPHIC-F-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,53,54,source/ega1/ega0-1-fr.tex,3802,"Soient s_1,...,s_p des sections de F au-dessus d'un ouvert U de X",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,474,"Let s_1,...,s_p be the sections of calligraphic F over an open subset U of X","The paragraph fixes calligraphic F throughout but NUMDAM visibly prints plain F at this one occurrence. Diplomatic French retains plain F; English may normalize to calligraphic F only with a visible source note",CONFIRMED_FRENCH_SOURCE_NOTATION_TYPO_ENGLISH_NORMALIZATION_REQUIRED_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P54-554-MISSING-MODULE-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,53,54,source/ega1/ega0-1-fr.tex,3788-3792,"Soit F un O_X-Module localement libre de rang n",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,471,"Let F be a locally free O_X of rank n",English omits the noun 'module'; restore 'a locally free O_X-module of rank n',CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P54-554-SAY-VS-SAYING-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,53,54,source/ega1/ega0-1-fr.tex,3805-3808,"dire que s_1(x),...,s_p(x) sont linéairement dépendants signifie que s(x)=0",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,475,"we say that the s_i(x) are linearly dependent means s(x)=0","English requires 'saying that ... means' or an equivalent grammatical construction",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P54-555-LOWER-U-VS-UPPER-U-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,53,54,source/ega1/ega0-1-fr.tex,3831,"Pour qu'il existe un voisinage u de x in X tel que u|U soit injectif",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,486,"For there to exist a neighbourhood U of x in X such that u|U is injective","NUMDAM visibly prints lowercase u for the neighbourhood although u already denotes the homomorphism and the restriction is to uppercase U. Diplomatic French retains lowercase u; English correctly uses U and requires a visible source note",CONFIRMED_FRENCH_SOURCE_VARIABLE_TYPO_ENGLISH_CORRECTION_REQUIRED_PENDING_NO_OVERWRITE_SUCCESSOR
