route_id,variety_code,variety_name,macrobranch,subbranch,standard_or_idiom,region,script,scope_status,corpus_language_key,source_queue,gap_reason,cohort_route,dominant_standard_not_proxy,notes,current_active_body_count,current_active_bytes,current_domains,current_source_ids,current_general_school_math_body_count,current_specialist_algebra_body_count,inherited_form_attestation_count,inherited_forms_are_corpus_attestation,current_license_status,evidence_status,corpus_manifest_sha256,review_status,official_lexical_reference_source_count,official_lexical_reference_record_count,official_lexical_reference_source_ids,official_lexical_reference_license_status,lexical_reference_only_not_body,translation_family_count,official_translation_sibling_body_count,latest_acquisition_intake_source_ids,specialist_algebra_gap_status
R049,ro-cyrl-hist,Moldovan Cyrillic historical,Eastern Romance,Daco-Romanian,historical script layer,Moldova and former USSR,Cyrl,historical_diachronic,,dated educational editions with script metadata,No source acquired,Historical/script evidence only,true,Do not merge scripts silently,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R050,ast,Asturian,Western Romance,Astur-Leonese,standard,Asturias,Latn,core_expansion,,institutional dictionary plus native mathematics or education source,No source acquired,Asturian readers,true,Spanish is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R051,leo,Leonese,Western Romance,Astur-Leonese,regional varieties,León and Zamora,Latn,core_expansion,,regional dictionary plus native educational source,No source acquired,Leonese readers,true,Spanish and Asturian are not proxies,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R052,mwl,Mirandese,Western Romance,Astur-Leonese,official regional standard,Miranda do Douro,Latn,core_expansion,,official educational source plus lexicon,No source acquired,Mirandese readers,true,Portuguese is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R053,an,Aragonese,Western Romance,Ibero-Romance,regional standard,Aragon,Latn,core_expansion,,institutional dictionary plus native mathematics or education source,No source acquired,Aragonese readers,true,Spanish is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R054,lad,Judaeo-Spanish / Ladino,Western Romance,Ibero-Romance,diaspora standards,Mediterranean diaspora,Latn;Hebr,core_expansion,,script-tagged dictionaries plus native technical or educational source,No source acquired,Judaeo-Spanish readers by script,true,Spanish is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R055,ext,Extremaduran,Western Romance,Ibero-Romance,regional varieties,Extremadura,Latn,core_expansion,,regional dictionary plus native educational source,No source acquired,Extremaduran readers,true,Spanish is not a proxy,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R056,ca-val,Valencian,Western Romance,Occitano-Romance,regional standard,Valencian Community,Latn,core_expansion,,Valencian edition-tagged mathematics source,No region-tagged source acquired,Valencian readers,true,Catalan evidence remains standard-tagged,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R057,ca-bal,Balearic Catalan,Western Romance,Occitano-Romance,regional varieties,Balearic Islands,Latn,core_expansion,,Balearic edition-tagged mathematics source,No region-tagged source acquired,Balearic readers,true,Catalan evidence remains region-tagged,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R058,mxi,Mozarabic,Western Romance,Ibero-Romance,extinct historical,Medieval Iberia,Arab;Latn,historical_diachronic,,critical editions and historical dictionaries,No source acquired,Historical evidence only,true,Diachronic input only,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R059,la,Latin,Romance ancestor,Latin,classical medieval and scientific registers,Europe,Latn,historical_diachronic,,dated critical and scientific editions,No source acquired,Historical evidence only,true,Not counted as a modern Romance cohort,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R060,pap,Papiamento,Romance-lexifier contact,Creole,standard,Caribbean,Latn,contact_comparator,,standard dictionary plus technical source,No source acquired,Separate contact-language study,true,Excluded from genetic-family score by default,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
R061,ht,Haitian Creole,Romance-lexifier contact,Creole,standard,Haiti,Latn,contact_comparator,,standard dictionary plus technical source,No source acquired,Separate contact-language study,true,Excluded from genetic-family score by default,0,0,,,0,0,0,false,no_active_body,explicit_zero_body_gap,BD7DAAA5A06B7CB537294203DE327F994499C8154C8016BF99F19BEE252FB8B5,route_open_zero_body,0,0,,no_lexical_reference,false,0,0,,explicit_zero_specialist_algebra_body
