id,isv,addition,partOfSpeech,type,en,sameInLanguages,genesis,ru,be,uk,pl,cs,sk,sl,hr,sr,mk,bg,cu,de,nl,eo,frequency,intelligibility,using_example
17463,homonim,,m.,1,homonym,v z j,I,омоним,амонім,омонім,homonim,homonymum,homonymum,homonim,"homonim, istozvučnica",хомоним,хомоним,омоним,!,!Homonym,homoniem,!homonimo,1219,cs+ mk+ pl+ sl+ sr+,!
35566,homoseksualist,,m.anim.,1,homosexual,v z j,I,гомосексуалист,гомасэксуаліст,гомосексуаліст,homoseksualista,homosexuál,homosexuál,homoseksualec,homoseksualac,хомосексуалац,хомосексуалец,хомосексуалист,!,Homosexueller,homoseksueel,samseksemulo,3769,bg+ cs+ hr+ pl+ ru+ sk+ sr+ uk+,!
37444,homoseksuaľnosť,,f.,1,homosexuality,v z j,I,"гомосексуальность, гомосексуализм","гомасексуальнасць, гомасэксуальнасьць, гомасексуалізм, гомасэксуалізм","гомосексуальність, гомосексуалізм",homoseksualizm,homosexualita,homosexualita,homoseksualnost,homoseksualnost,хомосексуалност,хомосексуалност,хомосексуалност,!,Homosexualität,homoseksualiteit,samseksemo,4446,bg+ hr+ mk+ pl+ ru+ sk+ sr+ uk+,!
1511,homoseksuaľny,,adj.,1,homosexual,v z j,I,гомосексуальный,гомасэксуальны,гомосексуальний,homoseksualny,homosexuální,homosexuálny,homoseksualen,homoseksualan,хомосексуалан,хомосексуален,хомосексуален,!,homosexuell,homoseksueel,"samseksema, samseksama",3274,cs+ hsb+ mk+ pl+,!
2582,homųt,,m.,1,horsecollar,,,хомут,хамут,хомут,chomąto,chomout,chomút,!komat,"ham, am, komot, orma","ајам, огрлина, оглав","амут, оглав",хомот,!,!Kummet,"gareel, haam",!ĉevalo kolumo,1920,be+ bg+ pl+ ru+ sk+ uk+,!
22386,Honduras,,m.sg.,1,Honduras,v z j,,Гондурас,Гандурас,Гондурас,Honduras,Honduras,honduras,Honduras,Honduras,Хондурас,Хондурас,Хондурас,!,!Honduras,Honduras,!Honduro,3560,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
22387,hondurassky,,adj.,1,Honduran,v z j,,гондурасский,гандураскі,гондураський,honduraski,honduraský,honduraský,honduraški,honduraški,хондурашки,хондураски,хондураски,!,!honduranisch,Hondurees,!hondura,865,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
37720,hongkongsky,,adj.,1,Hong Kong,,,гонконгский,ганконскі,гонконзький,hongkoński,hongkongský,hongkonský,hongkonški,hongkonški,хонгконшки,хонгконшки,хонконгски,!,!Hongkong,Hongkongs,!Honkongo,2594,pl+,!
23449,hor,,m.,1,"chorus, choir",v z j,I,хор,хор,хор,chór,"chór, sbor","chór, zbor","kor, zbor","kor, zbor, hor",хор,хор,хор,!,Chor,koor,"!koruso, koruso",6043,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sr+ uk+,!Byl jedin iz organizatorov Ukrajinskogo državnogo **hora** i Ukrajinskogo državnogo simfoničnogo orkestra.
37449,horeograf,,m.anim.,1,choreographer,v z j,I,хореограф,харэограф,хореограф,choreograf,choreograf,choreograf,koreograf,koreograf,кореограф,кореограф,хореограф,!,Choreograph,choreograaf,"ĥoreografo, koreografo",4630,be+ bg+ cs+ hr+ pl+ ru+ sk+ sl+ sr+ uk+,!
32504,horeografija,,f.,1,choreography,v z j,I,хореография,харэаграфія,хореографія,choreografia,choreografie,choreografia,koreografija,koreografija,кореографија,кореографија,хореография,!,Choreografie,choreografie,!koregrafio,4364,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
19719,horizont,,m.,1,horizon,v z j,I,горизонт,"гарызонт, далягляд, кругавід, пазем","горизонт, небокрай",horyzont,horizont,horizont,"horizont, obzorje","horizont, obzor","хоризонт, видик, зреник",хоризонт,хоризонт,!,Horizont,horizon,!horizonto,4785,bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
19720,horizontaľny,,adj.,1,horizontal,v z j,I,горизонтальный,"гарызантальны, паземны",горизонтальний,"horyzontalny, poziomowy",horizontální,horizontálny,"horizontalen, vodoraven","vodoravan, horizontalan",хоризонталан,хоризонтален,хоризонтален,!,horizontal,horizontaal,!horizontala,3603,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
37496,horor,,m.,1,horror (genre),v z j,I,"ужасы, хоррор","жахі, хорар","жахи, горор",horror,horor,horor,horor,horor,хорор,хорор,"ужаси, хорър",!,Horror,horror,hororo,4755,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!**Horor** — fantastične elementy tvorby provokujut strah.
37498,horor-film,,m.,1,horror film,v z j,I,фильм ужасов,фільм жахаў,фільм жахів,"horror, film grozy",filmový horor,hororový film,grozljivka,"horor film, film strave",хорор филм,"хорор-филм, филм на ужасите",филм на ужасите,!,Horrorfilm,horrorfilm,horora filmo,5411,bg+ hr+ mk+ pl+ ru+ sk+ sr+ uk+,!
23011,horoskop,,m.,1,horoscope,v z j,I,гороскоп,гараскоп,гороскоп,horoskop,horoskop,horoskop,horoskop,horoskop,хороскоп,хороскоп,хороскоп,!,Horoskop,horoscoop,!horoskopo,4525,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
38084,horovy,,adj.,1,"choral, choir",v pl sh bm,I,хоровой,харавы,хоровий,chóralny,"chorální, sborový","chrálový, zborový",zborovski,zborski,хорски,хорски,хоров,!,Chor-,koor-,ĥora,2705,,"!Srěd jegovyh tvorov sut opery, **horove**, orkestralne i kamerne tvory, pěsnje i muzika za fortepiano."
706,horųgva,,f.,2,"flag, banner",,,"флаг, знамя, стяг, транспарант, хоругвь","сцяг, харугва, пратэса","прапор, хоругва, стяг","flaga, chorągiew, transparent","vlajka, korouhev","vlajka, prápor","zastava, prapor","zastava, barjak","застава, барјак","знаме, банер","знаме, пряпорец, флаг",!,Flagge,"vlag, vaandel, banier","!flago, standardo",3849,be+ hr+ pl+ ru~ sk~ sr+ uk+,!**Horugva** medžuslovjanskogo jezyka jest glavny i najčestěje upotrěbjajemy simbol medžuslovjanskogo jezyka.
37061,Horynj,,f.sg.,1,Horyn,v z j,,Горынь,Гарынь,Горинь,Horyń,Horyň,!Horýň,!Gorinj,Gorinj,Горињ,!Хорин,Горин,!,!Horyn,Horin,!Horyn,1156,bg+ cs+ pl+ ru+ sr+,!
25997,hoť by,,adv.,,at least,,,"хотя бы, по меньшей мере","хоць бы, хаця б, прынамсі, прынамся, сама меней",принаймні,"przynajmniej, chociażby, choćby","alespoň, přinejmenším","aspoň, prinajmenšom","vsaj, najmanj","bar, barem, najmanje",барем,барем,поне,!,!mindestens,"tenminste, althans",!almenaŭ,6920,bg- cs- hr- pl+ ru~ sk- sr- uk+,!
2581,"hoť, hoti",,conj.,1,"although, though",,,"хотя, хоть","хоць, хаця","хоча, хоч","chociaż, choć, aczkolwiek","i když, ačkoliv","aj keď, hoci","čeprav, četudi","iako, mada, premda, makar","иако, мада, премда",иако,"въпреки че, макар че",!,obwohl,"hoewel, ofschoon","!kvankam, tamen",7252,bg- cs~ hr- pl+ ru+ sk~ sr- uk+,"!Obyčno kavu podavajut gorečeju, **hoti** hladna kava ili kava so ledom takože jest popularna."
35268,hotel,,m.,1,hotel,v z j,I,"отель, гостиница","гатэль, атэль, гасцініца",готель,hotel,hotel,hotel,hotel,hotel,хотел,хотел,"хотел, гостилница",!,Hotel,hotel,!hotelo,6216,bg+ cs+ hr+ mk+ pl+ ru+ sk+ sr+ uk+,"!Srednju škodu sut dostali Vsesvětovětovy Finansovy Centr 3, Uan-Liberti-Plaza i **hotel** Millenium Hilton."
37721,hotelovy,,adj.,1,hotel,,,гостиничный,гасцінічны,готельний,hotelowy,hotelový,hotelový,hotelski,hotelski,хотелски,хотелски,хотелски,!,!Hotel,hotel-,!hotelo,5179,bg+ cs+ hr+ pl+ ru+ sk+ sr+ uk+,!
2971,hotěti,(hoće),v.aux. ipf.,1,want,,,хотеть,хацець,хотіти,chcieć,chtít,chcieť,hoteti,htjeti,хтети,сака,"искам, желая",!,wollen,willen,voli,6122,bg- hr+ pl~ ru+ sk- sl+ sr+ uk+,!Čehi **hotěli** upotrěbjati svoj rodimy jezyk vměsto němečskogo.
1828,hovati,(hovaje),v.tr. ipf.,1,hide,,,"прятать, скрывать","хаваць, скрываць",ховати,"chować, ukrywać","schovávat, skrývat","schovávať, skrývať",skrivati,"skrivati, sakrivati","сакривати, скривати",крие,крия,!,"verbergen, verstecken","verbergen, verstoppen",!kaŝi,4989,hr+ pl+ ru~ sk~ sr- uk+,!
25999,hråbrėc,,m.anim.,1,brave person,,,"храбрец, смельчак","храбрэц, смяльчак","сміливець, хоробра людина","zuch, odważniak","odvážlivec, statečný, chrabrý člověk","odvážlivec, statočný, chrabrý človek",!hrabrec,"hrabar čovjek, smion čovjek, odvažan čovjek","храбар човек, смео човек",храбар човек,смел човек,!,!mutige Person,"dappere persoon, moedige persoon",!kuraĝa persono,3186,pl~,!
4611,hråbrosť,,f.,1,bravery,,,"храбрость, отвага, мужество","храбрасць, адвага, мужнасць","хоробрість, відвага","odwaga, śmiałość, chrobrość","statečnost, chrabrost, smělost","statočnosť, chrabrosť, smelosť","hrabrost, pogum",hrabrost,храброст,храброст,смелост,!,Mut,"moed, dapperheid",!kuraĝo,3879,cs+ hr+ mk+ pl~ ru+ sk+ sl+ sr+ uk+,!Ukazom Prezidenta Rosijskoj Federacije od 2 julija 2020 goda gradu je bylo prisvojeno zvanje «grad rabotničskoj **hrabrosti**».
2607,hråbry,,adj.,1,"valiant, brave",,,"храбрый, отважный","храбры, харобры, адважны","хоробрий, відважний","odważny, śmiały, dzielny","statečný, odvážný, chrabrý","statočný, odvážny, chrabrý","hraber, pogumen","hrabar, smion, odvažan","храбар, смео",храбар,"храбър, смел","забоубеннꙑй, безчи́ннꙑй","tapfer, mutig","moedig, dapper","!brava, kuraĝa",3711,be+ cs+ hr+ mk+ pl~ ru+ sk+ sr+ uk+,"!V sěči Kritij, **hrabro** vojevavši, upadl."
4890,hram,,m.,1,temple,,,"храм, церковь","храм, святыня","храм, церква","świątynia, chram",chrám,chrám,"hram, tempelj, svetišče",hram,храм,храм,храм,!,Tempel,tempel,!templo,6170,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!V 1920–1930 roky komunistična vlada snosi red **hramov** i monastyrov.
26006,hrånitelj,,m.anim.,,custodian,,,"попечитель, покровитель, хранитель","апякун, заступнік, захавальнік, хавальнік, ахоўнік","хранитель, охоронець","kustosz, opiekun","opatrovník, ochránce, poručník","opatrovník, ochranca, poručník","skrbnik, paznik, čuvaj, hišnik","čuvar, zaštitnik, pazitelj, kustos, domar","чувар, заштитник, пазитељ",хранител,"пазач, охранител",!,!Kustos,bewaarder,!gardanto,3145,mk+ pl+ ru+ sk+ uk+,!
36791,hråniti sę,,v.refl. ipf.,2,"be preserved, be kept",ru sl bg,,"храниться, сохраняться, беречься",захоўвацца,зберігатися,być zachowanym,"uchovávat se, být uchováván, schraňovat se","byť uchovávaný, uchovávať sa, držať sa, chrániť sa","nahajati se, biti, čuvati se","držati se, čuvati se, paziti se","држати се, чувати се, пазити се","се чува, се пази","съхраня се, пазя се",!,"!erhalten bleiben, erhalten bleiben",bewaard worden,"!esti konservata, konservata",3234,hr+ pl+ ru+ sk+ uk+,"!smysl: poměščati se, ležati v nekakom bezopasnom městu; ostavati se bez izměn"
19721,hråniti,,v.tr. ipf.,1,protect,,,"защищать, охранять","абараняць, ахоўваць","охороняти, захищати",chronić,chránit,chrániť,"varovati, ščititi","čuvati, štititi, braniti","чувати, штитити","чува, штити",защитавам,!,schützen,beschermen,!protekti,6015,bg- cs+ hr- pl+ ru+ sk+ sr- uk+,!
17464,hrånjenėc,,m.anim.,2,"protégé, ward",cs j,,"подопечный, протеже","падапечны, пратэжэ","підопічний, протеже","podopieczny, protegowany","chráněnec, svěřenec","chránenec, zverenec",varovanec,"štićenik, branjenik",штићеник,штитеник,протеже,!,"!Protegé, Station","beschermeling, protegé","!protektato, hospitala",3192,cs+ pl+ ru- sk+,!
17466,hrapati,,v.intr. ipf.,1,snore,v z,,храпеть,храпці,"хропіти, хропти",chrapać,chrápat,chrápať,smrčati,hrkati,"хркати, хркање","рчи, рка",хъркам,!,!schnarchen,snurken,!ronkis,2098,cs+ pl+ uk+,!
1639,hråpavy,,adj.,1,coarse,,,"грубый, неровный, шороховатый","грубы, няроўны, шарахаваты","грубий, шорсткий, нерівний","szorstki, chropowaty","hrubý, drsný","hrubý, drsný",hrapav,hrapav,храпав,рапав,грапав,!,!grob,schor,!kruda,2322,pl+,!
17467,hrapnųti,,v.intr. pf.,1,snore,v z,,"храпнуть, похрапеть","храпнуть, пахрапець",хропнути,chrapnąć,chrápnout,chrapnúť,zasmrčati,hrknuti,хркнути,изрка,изхъркам,!,!schnarchen,snurken,!ronkis,345,bg- cs+ pl+ uk+,!
26013,hrčati,,v.intr. ipf.,3,rattle,z,,"греметь, трещать","грымець, грукатаць, бразгаць, трашчаць",брязкати,"stukotać, grzechotać","chrastit, chrčet","chrastit, chrčet","rožljati, žvenketati","zvečati, zveketati, zveckati",звечати,ждранга,"дрънкам, тракам",!,!Rassel,"rammelen, ratelen",!klakado,1138,cs+ pl-,!
20385,hrčėk,,m.anim.,2,hamster,cs yu mk,,хомяк,хамяк,хом ' як,chomik,křeček,škrečok,hrček,hrčak,хрчак,хрчак,хамстер,!,!Hamster,hamster,!hamstro,4134,hr+ mk+ pl- ru- sk+ uk-,!
841,hrėbėt,,m.,1,"spine, spinal column",,,позвоночник,пазваночнік,хребет,kręgosłup,"páteř, hřbet","chrbticu, chrbát",hrbtenica,"kralješnica, kralježnica, kičma, hrptenjača, hrptenica",кичма,"рбетот, ' рбетниот столб",гръбначен стълб,!,"!Wirbelsäule, Wirbelsäule","wervelkolom, ruggengraat","!spino, spino",4398,cs+ hr+ pl~ ru+ sk+ sr- uk+,!
1928,hrėbėt,,m.,1,"back, backside",,,спина,спіна,спина,"plecy, grzbiet","záda, hřbet","chrbát, chrbát",hrbet,"hrbat, leđa","леђа, грбина","грб, задна страна, тил",гръб,!,"!zurück, nach hinten",rug,"!dorso, dorsflanko",5061,bg+ cs+ hr+ pl+ ru- sk+ sr- uk-,!
67,hrėbėtny mozȯk,,m.,1,"spinal cord, pith (animal)",,,спинной мозг,спінны мозг,спинний мозок,rdzeń kręgowy,mícha,miecha,hrbtenjača,leđna moždina,кичмена мождина,рбетен мозок (животински),гръбначен мозък,!,"!Rückenmark, Mark (Tier)",ruggenmerg,"!mjelo, kerno (besto)",2782,pl~,!
26012,hrėbėtny,,adj.,1,spinal,,,спинной,спінны,"спинний, хребтовий",grzbietowy,"hřbetní, páteřní","chrbtová, chrbticovej",hrbteničen,"hrpteni, kralješnični, kralježnični, kičmeni",кичмени,рбетен,гръбначен,!,!spinal,"spinaal, vertebraal",!medolo,2475,pl+ cs+,!
3114,hrěn,,m.,1,horseradish,,,хрен,хрэн,хрін,chrzan,křen,chren,hren,hren,"рен, хрен",рен,хрян,!,!Meerrettich,mierikswortel,!ben,4189,be+ bg+ cs+ hr+ pl+ ru+ sk+ sl+ sr+ uk+,!
26015,hrěnovy,,adj.,1,horseradish,,,хреновый,"хрэнавы, храновы",хріновий,chrzanowy,křenový,chrenový,!hrenov,od hrena,од рена,од рен,хрянов,!,!Meerrettich,mierikswortel-,!ben,2576,be+ cs+ pl+ sk+,!
35996,hrěnviršla,,f.,2,"Vienna sausage, Frankfurt sausage",j,,сосиска,сасіска,сосиска,"parówka, frankfurterka","párek (vídeňský, frankfurtský)","párok (viedenský, frankfurtský)",hrenovka,"hrenovka, viršla",виршла,"кренвиршла, виршла",кренвирш,!,"!Wiener Würstchen, Frankfurter Würstchen","worstje, knakworst","!Vieno kolbaso, Frankfurto kolbaso",1601,mk+ pl-,!
35826,hrestomatija,,f.,1,"chrestomathy, reader (book)",v pl j,I,хрестоматия,хрэстаматыя,хрестоматія,chrestomatia,"chrestomatie, výbor z děl (liter.)","chrestomatia, výbor z diel (liter.)",hrestomatija,"hrestomatija, antologija",хрестоматија,хрестоматија,христоматия,!,"!chrestomathy, Leser (Buch)",chrestomathie,"!chrestomathy, leganto (libro)",1540,be+ bg+ cs+ mk+ pl+ ru+ sl+ sr+ uk+,!
26010,hręšč,,m.,,cartilage,,,хрящ,храсток,хрящ,chrząstka,chrupavka,chrupavka,hrustanec,hrskavica,хрскавица,рскавица,хрущял,!,!Knorpel,kraakbeen,!kartilago,3827,hr+ pl+ ru~ sk~ sr- uk+,!
35456,hriply,,adj.,1,"hoarse, raucous",v z yu mk,,хриплый,"хрыплы, хрыпаты",хрипкий,ochrypły,"chraplavý, chraptivý","chrapľavý, chrapľavý",hripav,"promukao, nečist (glas), hrapav (glas), razderan","храпав (глас), промукао",рапав,хриплив,!,"!heiser, rau",schor,"!raŭka, raŭkaj",2176,be+ pl+,!
302,"hristijan, hristijanin",,m.anim.,1,Christian,,I,христианин,хрысціянін,християнин,chrześcijanin,křesťan,kresťan,kristjan,kršćanin,хришћанин,христијанин,християнин,!,Christ,christen,!kristano,5470,bg+ hr+ pl+ ru+ sk+ sr+ uk+,!Prěklad Biblije Ljuterom jest izdělal ju vyše dostupnoju za obyčnyh **hristijan**.
17468,hristijanizacija,,f.,1,"christianisation, christianization",,I,христианизация,хрысціянізацыя,християнізація,chrystianizacja,křesťanizace,kresťanizácia,kristjanizacija,"kristijanizacija, pokrštavanje","христијанизација, покрштавање, хришћанизација",христанизација,християнизация,!,Christianisierung,kerstening,"!Kristanigo, Kristanigo",1400,pl+ uk+,!
17470,hristijanka,,f.,1,Christian,,I,христианка,хрысціянка,християнка,chrześcijanka,křesťanka,kresťanka,kristjanka,kršćanka,хришћанка,христијанка,християнка,!,Christin,christen,!kristano,3304,bg+ hr+ mk+ pl+ ru+ sk+ uk+,!
2606,hristijańsky,,adj.,1,Christian,,I,христианский,хрысціянскі,християнський,chrześcijański,křesťanský,kresťanský,krščanski,kršćanski,хришћански,христијански,християнски,!,christlich,christelijk,!kristano,5689,mk+ pl+ ru+ uk+,"!V lětah 1959–1965, 1967-1972, 1977–1981 i 1982–1989 VVD učestvovala v vladah kako menši partner **hristijansko**-demokratov."
1640,hristijaństvo,,n.sg.,1,Christianity,,I,христианство,хрысціянства,християнство,chrześcijaństwo,křesťanství,kresťanstvo,krščanstvo,kršćanstvo,хришћанство,христијанство,християнство,!,Christentum,"christendom, christelijkheid",!kristanismo,5736,mk+ pl+ ru+,!Jego vladanje umožnilo utvrdženje **hristijanstva** na kontinentu i osnovu razvoja pozdnějšej srědnjevěčnoj Evropy.
17471,Hristos,,m.anim.,1,Christ,,I,Христос,Хрыстос,Христос,Chrystus,Kristus,Kristus,Kristus,Krist,"Христос, Христ, Христус",Христос,Христос,!,Christus,Christus,!Kristo,6163,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sr+ uk+,!V 431. godu prěd rodženjem **Hristosa** počela se Peloponesska vojna.
22620,hrom,,m.sg.,1,chromium,,I,хром,хром,хром,chrom,chrom,chróm,krom,krom,хром,хром,хром (хим. елемент),!,Chrom,chroom,!kromio,4725,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk~ sl+ sr+ uk+,!
26018,hromati,,v.intr. ipf.,1,limp,ru z yu,,"хромать, прихрамывать","кульгаць, накульгваць",кульгати,"kuleć, utykać",kulhat,krívať,šepati,"hramati, ćopati, šantati, šepati, šepesati","храмати, шепати, шантати, ћопати","куца, завлекува","куцам, хромя",!,!schlaff,manklopen,!lamado,1781,pl+ sr+,!
36830,hromatičny,,adj.,1,chromatic,v z j,I,хроматический,храматычны,"хроматичний, кольоровий",chromatyczny,chromatický,chromatický,kromatičen,kromatski,хроматски,хроматичен,хроматичен,!,!chromatisch,chromatisch,!kromata,1481,mk+ pl+,!
37722,hromatin,,m.,,chromatin,,,хроматин,"храматын, храмацін",хроматин,chromatyna,chromatin,chromatín,kromatin,kromatin,хроматин,хроматин,хроматин,!,!Chromatin,chromatine,!kromatino,1688,cs+ mk+ pl+,!
34408,hroměti,,v.intr. ipf.,1,go lame,ru z yu,,"хрометь, становиться хромым","кульгавець, станавіцца кульгавым",ставати кульгавим,kulawieć,"začínat kulhat, chromnout","chromieť, začínať krívať",hrometi,"ćopati, hramati, šantati, šepati, šepesati","ћопати, храмати, шепати, шантати",куца,окуцявам,!,!gehen lahm,"mank worden, kreupel worden",!go lama,1044,pl+,!
26019,hromosť,,f.,1,lameness,ru z yu,,хромота,кульгавасць,кульгавість,"kulawość, chromość","chromost, kulhání, kulhavost, ","chromosť, krívanie",hromost,"hromost, ćopavost","хромост, ћопавост","сакатост, куцање","недъгавост, сакатост",!,!Lahmheit,"mankheid, kreupelheid",!lamecon,1080,cs+ pl+ sk+ sl+ sr+,!
26021,hromy,,adj.,1,lame,ru z yu,,хромой,кульгавы,кульгавий,"kulawy, chromy","chromý, kulhavý","chromý, krivý",hrom,"krom, ćopav,šepav","хром, ћопав",куц,"куц, хром, хромав",!,!Lame,"mank, kreupel",!lama,2770,cs+ pl+ sk+,!
37062,Hron,,m.sg.,1,Hron,v z j,,Грон,Грон,Грон,Hron,Hron,Hron,Hron,Hron,Хрон,Хрон,Хрон,!,!Hron,Hron,!Hron,2334,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+,!
35718,hronika,,f.,1,chronicle,v z j,I,"хроника, летопись","хроніка, летапіс",хроніка,kronika,kronika,kronika,kronika,kronika,"хроника, летопис",хроника,хроника,!,Chronik,kroniek,!kroniko,5065,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
35774,hronikaŕ,,m.anim.,1,chronicler,v z j,I,"хроникёр, летописец","хранікёр, летапісец","хронікар, літописець",kronikarz,kronikář,kronikár,"kronist, letopisec",kroničar,"хроничар, летописац","хроничар, летописец",летописец,!,!Chronist,kroniekschrijver,!cronista,1916,cs+ mk+ pl+ sk+ uk+,!
35398,hronologičny,,adj.,1,chronological,v z j,I,хронологический,храналагічны,хронологічний,chronologiczny,chronologický,chronologický,kronološki,kronološki,хронолошки,хронолошки,хронологичен,!,chronologisch,chronologisch,!kronologia,2904,mk+ pl+,!
35397,hronologija,,f.,1,"chronology, timeline",v z j,I,хронология,храналогія,хронологія,chronologia,chronologie,chronológia,kronologija,kronologija,хронологија,"хронологија, временска рамка",хронология,!,"!Chronologie, Zeitplan",chronologie,"!kronologio, templinio",3721,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
2577,hrt,,m.anim.,1,greyhound,,,борзая собака,хорт,"хорт, хірт",chart,chrt,chrt,hrt,hrt,хрт,"‘рт, загар",хрътка,!,Windhund,windhond,!leporhundo,3451,be+ cs+ hr+ pl+ ru- sk+ sl+ uk+,!
26024,hrupati,,v.intr. ipf.,,crunch,,,хрустеть,храбусцець,"хрускати, хрумтіти",chrupać,"chroupat, křupat","chrúmať, chrumkať",hrustati,hrskati,хрскати,"крцка, рска",хрускам,!,!knirschen,knabbelen,!kraketo,1780,cs+ pl+,!
31916,hrupkavy,,adj.,1,"crunchy, crispy",,,хрустящий,"хрусткі, храбусткі","хрусткий, хрумкий","chrupki, chrupiący",křupavý,chrumkavý,hrustljav,hrskav,хрскав,"крцкав, рскав",хрускав,!,"!knackig, knusprig",knapperig,"!crujiente, crispy",1928,pl+,!
1245,hrust,,m.,1,brushwood,,,хворост,"галлё, ламачча ",хмиз,chrust,chrastí,drevina,"gošča, dračje, suhljad",suho granje,суво грање,"рошки, суви гранки",сухи клонки,!,!Reisig,kreupelhout,!lignerojn,3029,cs+ pl+,!
26026,hrustati,,v.intr. ipf.,1,crunch,,,хрустеть,храбусцець,хрустіти,"chrupać, chrzęścić","chřestit, křupat, chroustat",chrúmať,hrustati,"krckati, hrskati","крцкати, хрскати","крцка, рска",хрускам,!,!knirschen,"knarsen, ritselen",!kraketo,1242,cs+ pl+ sl+ uk+,!
26028,hrųšč,,m.anim.,1,cockchafer,,,"майский жук, хрущ",хрушч,хрущ,chrabąszcz majowy,chroust,chrúst,majski hrošč,"gundelj, hrušt","гундељ, хрушт",мајски бумбар,майски бръмбар,!,Maikäfer,meikever,!majskarabo,2747,be+ pl~,!
4727,Hrvat,,m.anim.,1,Croat,,,хорват,харват,хорват,Chorwat,Chorvat,Chorvát,Hrvat,Hrvat,Хрват,Хрват,"хърват, хърватин",!,Kroate,Kroaat,!Croat,3661,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,"!Hrvatsky jest standardna kniževna forma srbskohrvatskogo jezyka, kojeju se glavno koristajut **Hrvati**."
2580,Hrvatija,,f.sg.,1,Croatia,,,Хорватия,Харватыя,Хорватія,Chorwacja,Chorvatsko,Chorvátsko,Hrvaška,Hrvatska,Хрватска,Хрватска,Хърватска,!,Kroatien,Kroatië,!Kroatio,6076,be+ bg+ hr+ pl+ ru+ sk+ sr+ uk+,!V 2013 roku členom ES stala **Hrvatija**.
4728,hrvatsky,,adj.,1,Croatian,,,хорватский,"харвацкая, харвацкі",хорватський,chorwacki,chorvatský,chorvátsky,hrvaški,hrvatski,хрватски,хрватски,хърватски,!,kroatisch,Kroatisch,!Kroata,5249,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sr+ uk+,"!Jest **hrvatsko**-slovenečskogo pohodženja, mama jest slovenka, a tata jest hrvat."
7739,htěti,(hće),v.aux. ipf.,2,want,z j,,хотеть,хацець,хотіти,chcieć,chtít,chcieť,hoteti,htjeti,хтети,сака,искам,!,wollen,willen,!volas,6278,bg- hr+ pl+ ru+ sk+ sr+ uk+,!Obadva narody mnet Jerusalim svetym i **hčut** jim vladěti.
26030,htivy,,adj.,2,greedy,uk z,,"жадный, алчный, падкий","хцівы, прагны, сквапны","жадібний, ненаситний",chciwy,"chamtivý, chtivý","chamtivý, chtivý","pohlepen, požrešen",pohlepan,похлепан,"алчен, лаком, ненаситен","алчен, лаком, ненаситен",!,!gierig,"hebzuchtig, hebberig",!avidaj,2274,pl+ sk+,"!V Edenskom sadu znanje jest faktorom, ktory jest sdělal ljudij **htivymi** i prědavničskymi."
37920,hucuľsky,,adj.,,Hutsulian,,,гуцульский,!гуцульскі,гуцульська,huculski,huculský,huculský,"huculski, huculščina",!huculski,хуцулски,!Хуцулијан,хуцулски,!,!Huzulen,Hoetsoels,!Hutsulian,1224,,!
36251,hudnųti,,v.intr. ipf.,1,lose weight,v z,,худеть,худнець,худнути,"chudnąć, zeszczupleć, tracić na wadze",hubnout,chudnúť,hujšati,"mršavjeti, gubiti na tjelesnoj težini","мршавити, губити тежину",слабее,отслабвам,!,!abnehmen,"afslanken, vermageren",!perdi pezon,2310,pl+ uk+,!
17472,hųdožnica,,f.,2,artist,ru uk bg,,"художница, артистка","мастачка, артыстка",художниця,artystka,umělkyně,umelkyňa,umetnica,umjetnica,уметница,уметница,художничка,!,Künstlerin,"kunstenares, artieste",!artisto,5452,bg+ hr+ pl- ru+ sk- sr- uk+,!
14594,hųdožnik,,m.anim.,2,artist,ru uk bg,,"художник, артист","мастак, артыст",художник,artysta,umělec,umelec,umetnik,umjetnik,уметник,уметник,художник,!,Künstler,"kunstenaar, artiest",!artisto,6551,bg+ hr- pl- ru+ sk- sr- uk+,!
