authority_pdf_page	authority_role	comparator_pdf_page	comparator_role	source_volume_page	source_volume_coordinate_definition	paper_folio	paper_folio_coordinate_definition	paper_folio_visibility	running_locator	prompt_id	authority_sha256	work_disposition	copy_matter_disposition	visual_object_policy	major_marker
42	CONTROLLING_IAS_NUMBER22	42	COLLECTED_SPLIT_COMPARISON_ONLY	535	COLLECTED_PAPERS_VOLUME_II_PAGE	184	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-42	P07	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
43	CONTROLLING_IAS_NUMBER22	43	COLLECTED_SPLIT_COMPARISON_ONLY	536	COLLECTED_PAPERS_VOLUME_II_PAGE	185	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-43	P08	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
44	CONTROLLING_IAS_NUMBER22	44	COLLECTED_SPLIT_COMPARISON_ONLY	537	COLLECTED_PAPERS_VOLUME_II_PAGE	186	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-44	P08	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
45	CONTROLLING_IAS_NUMBER22	45	COLLECTED_SPLIT_COMPARISON_ONLY	538	COLLECTED_PAPERS_VOLUME_II_PAGE	187	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-45	P08	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
46	CONTROLLING_IAS_NUMBER22	46	COLLECTED_SPLIT_COMPARISON_ONLY	539	COLLECTED_PAPERS_VOLUME_II_PAGE	188	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-46	P08	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
47	CONTROLLING_IAS_NUMBER22	47	COLLECTED_SPLIT_COMPARISON_ONLY	540	COLLECTED_PAPERS_VOLUME_II_PAGE	189	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-47	P08	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
48	CONTROLLING_IAS_NUMBER22	48	COLLECTED_SPLIT_COMPARISON_ONLY	541	COLLECTED_PAPERS_VOLUME_II_PAGE	190	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-48	P08	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
49	CONTROLLING_IAS_NUMBER22	49	COLLECTED_SPLIT_COMPARISON_ONLY	542	COLLECTED_PAPERS_VOLUME_II_PAGE	191	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-49	P09	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
50	CONTROLLING_IAS_NUMBER22	50	COLLECTED_SPLIT_COMPARISON_ONLY	543	COLLECTED_PAPERS_VOLUME_II_PAGE	192	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-50	P09	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
51	CONTROLLING_IAS_NUMBER22	51	COLLECTED_SPLIT_COMPARISON_ONLY	544	COLLECTED_PAPERS_VOLUME_II_PAGE	193	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-51	P09	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
52	CONTROLLING_IAS_NUMBER22	52	COLLECTED_SPLIT_COMPARISON_ONLY	545	COLLECTED_PAPERS_VOLUME_II_PAGE	194	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-52	P09	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
53	CONTROLLING_IAS_NUMBER22	53	COLLECTED_SPLIT_COMPARISON_ONLY	546	COLLECTED_PAPERS_VOLUME_II_PAGE	195	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-53	P09	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
54	CONTROLLING_IAS_NUMBER22	54	COLLECTED_SPLIT_COMPARISON_ONLY	547	COLLECTED_PAPERS_VOLUME_II_PAGE	196	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-54	P09	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	III. Théorèmes de représentabilité
55	CONTROLLING_IAS_NUMBER22	55	COLLECTED_SPLIT_COMPARISON_ONLY	548	COLLECTED_PAPERS_VOLUME_II_PAGE	197	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-55	P10	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
56	CONTROLLING_IAS_NUMBER22	56	COLLECTED_SPLIT_COMPARISON_ONLY	549	COLLECTED_PAPERS_VOLUME_II_PAGE	198	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-56	P10	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
57	CONTROLLING_IAS_NUMBER22	57	COLLECTED_SPLIT_COMPARISON_ONLY	550	COLLECTED_PAPERS_VOLUME_II_PAGE	199	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-57	P10	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
58	CONTROLLING_IAS_NUMBER22	58	COLLECTED_SPLIT_COMPARISON_ONLY	551	COLLECTED_PAPERS_VOLUME_II_PAGE	200	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-58	P10	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
59	CONTROLLING_IAS_NUMBER22	59	COLLECTED_SPLIT_COMPARISON_ONLY	552	COLLECTED_PAPERS_VOLUME_II_PAGE	201	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-59	P10	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
60	CONTROLLING_IAS_NUMBER22	60	COLLECTED_SPLIT_COMPARISON_ONLY	553	COLLECTED_PAPERS_VOLUME_II_PAGE	202	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-60	P10	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
61	CONTROLLING_IAS_NUMBER22	61	COLLECTED_SPLIT_COMPARISON_ONLY	554	COLLECTED_PAPERS_VOLUME_II_PAGE	203	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-61	P11	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
62	CONTROLLING_IAS_NUMBER22	62	COLLECTED_SPLIT_COMPARISON_ONLY	555	COLLECTED_PAPERS_VOLUME_II_PAGE	204	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-62	P11	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
63	CONTROLLING_IAS_NUMBER22	63	COLLECTED_SPLIT_COMPARISON_ONLY	556	COLLECTED_PAPERS_VOLUME_II_PAGE	205	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-63	P11	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	IV. Structures de niveau
64	CONTROLLING_IAS_NUMBER22	64	COLLECTED_SPLIT_COMPARISON_ONLY	557	COLLECTED_PAPERS_VOLUME_II_PAGE	206	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-64	P11	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
65	CONTROLLING_IAS_NUMBER22	65	COLLECTED_SPLIT_COMPARISON_ONLY	558	COLLECTED_PAPERS_VOLUME_II_PAGE	207	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-65	P11	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
66	CONTROLLING_IAS_NUMBER22	66	COLLECTED_SPLIT_COMPARISON_ONLY	559	COLLECTED_PAPERS_VOLUME_II_PAGE	208	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-66	P11	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
67	CONTROLLING_IAS_NUMBER22	67	COLLECTED_SPLIT_COMPARISON_ONLY	560	COLLECTED_PAPERS_VOLUME_II_PAGE	209	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-67	P12	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
68	CONTROLLING_IAS_NUMBER22	68	COLLECTED_SPLIT_COMPARISON_ONLY	561	COLLECTED_PAPERS_VOLUME_II_PAGE	210	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-68	P12	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
69	CONTROLLING_IAS_NUMBER22	69	COLLECTED_SPLIT_COMPARISON_ONLY	562	COLLECTED_PAPERS_VOLUME_II_PAGE	211	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-69	P12	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
70	CONTROLLING_IAS_NUMBER22	70	COLLECTED_SPLIT_COMPARISON_ONLY	563	COLLECTED_PAPERS_VOLUME_II_PAGE	212	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-70	P12	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
71	CONTROLLING_IAS_NUMBER22	71	COLLECTED_SPLIT_COMPARISON_ONLY	564	COLLECTED_PAPERS_VOLUME_II_PAGE	213	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-71	P12	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
72	CONTROLLING_IAS_NUMBER22	72	COLLECTED_SPLIT_COMPARISON_ONLY	565	COLLECTED_PAPERS_VOLUME_II_PAGE	214	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-72	P12	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
73	CONTROLLING_IAS_NUMBER22	73	COLLECTED_SPLIT_COMPARISON_ONLY	566	COLLECTED_PAPERS_VOLUME_II_PAGE	215	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-73	P13	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
74	CONTROLLING_IAS_NUMBER22	74	COLLECTED_SPLIT_COMPARISON_ONLY	567	COLLECTED_PAPERS_VOLUME_II_PAGE	216	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-74	P13	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
75	CONTROLLING_IAS_NUMBER22	75	COLLECTED_SPLIT_COMPARISON_ONLY	568	COLLECTED_PAPERS_VOLUME_II_PAGE	217	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-75	P13	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
76	CONTROLLING_IAS_NUMBER22	76	COLLECTED_SPLIT_COMPARISON_ONLY	569	COLLECTED_PAPERS_VOLUME_II_PAGE	218	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-76	P13	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
77	CONTROLLING_IAS_NUMBER22	77	COLLECTED_SPLIT_COMPARISON_ONLY	570	COLLECTED_PAPERS_VOLUME_II_PAGE	219	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-77	P13	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
78	CONTROLLING_IAS_NUMBER22	78	COLLECTED_SPLIT_COMPARISON_ONLY	571	COLLECTED_PAPERS_VOLUME_II_PAGE	220	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-78	P13	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
79	CONTROLLING_IAS_NUMBER22	79	COLLECTED_SPLIT_COMPARISON_ONLY	572	COLLECTED_PAPERS_VOLUME_II_PAGE	221	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-79	P14	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
80	CONTROLLING_IAS_NUMBER22	80	COLLECTED_SPLIT_COMPARISON_ONLY	573	COLLECTED_PAPERS_VOLUME_II_PAGE	222	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-80	P14	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
81	CONTROLLING_IAS_NUMBER22	81	COLLECTED_SPLIT_COMPARISON_ONLY	574	COLLECTED_PAPERS_VOLUME_II_PAGE	223	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-81	P14	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
82	CONTROLLING_IAS_NUMBER22	82	COLLECTED_SPLIT_COMPARISON_ONLY	575	COLLECTED_PAPERS_VOLUME_II_PAGE	224	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-82	P14	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
83	CONTROLLING_IAS_NUMBER22	83	COLLECTED_SPLIT_COMPARISON_ONLY	576	COLLECTED_PAPERS_VOLUME_II_PAGE	225	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-83	P14	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
