authority_pdf_page	source_volume_page	paper_folio	prompt_id	disposition	source_status	english_status	apparatus_status	final_status	record_sha256_source	record_sha256_english	record_sha256_apparatus
73	566	215	P13	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	9713B8D65011EC6A07B7177CC307C5A79BEBC6D3E2962F9F09B52067E34C962A	9C4120C462A9F545FC7D1C397DAB5AB5C842707916D0A51B50D94C91B66AE808	F24D287A85B9951D998415327ACFD1DDEF6C7243CFD9CD6C6AF45325112E69B1
74	567	216	P13	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	6F47C5A55CD7A22BB22A31DE33084CE7069A0A24DA98BD839CF06C88CAE5FAFE	5993DF98D3DAEEC3A7CAC1BC60CE359DCF66C668C3ABCF484A8B92EE08B0038B	24E2FFA3B22DA0DBA6CD6C32B871F8458AFEC6F787DBD2ACC6AC9D530780EC3D
75	568	217	P13	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	7C4C4064E5E53B17E5CFE063E70AA1D1F25388440ADE572F40CE9584C1377477	F32ED4E002DB14C011011AF5CFB1C0E3A549406AAE1742FD92FD2E2DE200ACFD	05E3B69B57D7D7C98838C6B2CBD78A1E134179D72666B6151901C538806A85B5
76	569	218	P13	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	D07FD3CB9F406208A0E100B3DD5A65229E4E0439A883CE2BA29AB01B63114420	427CE28AFAC714025E7DA9A3FD991450F655AA8A6A901CB2D498CE17AB0DECD7	7A2547A8DA1531D6C33D753A1C6467CE2D31A903E338F6C59194D2552380ECB9
77	570	219	P13	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	A8DDC3D7CE8B83303B63C8388EFCA24903BE75180D85BA6F7D0FC6035C23AB39	F6C0E23DA4EB9FD1B652BFBC8BED1E3D628CF8D1A2CDB4F146E9C9D85ED3E215	65C054CD57EAD13DB8CF37A9D56AD8D123984B076FDA537DC273BCAAB8D142AA
78	571	220	P13	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	E379417141B83F45792AB1017FC55A3A47CF09FB1010424135CF0D741E037C55	5782D71E43BB6691965898D111C03A89013356E6168253BC8D220E3DBB658CD4	D1BC4045F5FC846A7C27F93976BBA8DB8A43D02C590B0BC1E21CB29E0E8CD2C1
79	572	221	P14	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	1FA25C747C89AEA1E4BEC7AE24143DAA94055DC92BC4A53776BD6F20FC1B26CD	F1ACE6FB56B1A000D29952A61878B71F635C0EF233E353CB32B8FD61804D81F9	2F37E271323699C920130530773A642C0CBE9A254842CD57205BA7EA5ED2DFB1
80	573	222	P14	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	16044ADC85325FD7C6C46C744A9DCB69463AD27F6451B66C151E2113F3AA94EB	17BD2A8FEF9ADE348F921D4C1DD9318FA7A07DCDDB104336A60FA6213F8BA153	15BC521A23D1C9B8BC7991150FFB4520ED17D569A4DE75B8159E48269EE17969
81	574	223	P14	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	13A7497DD96BC1FD23CD814927D85C239B3CDB35CB76688349332B85690E94E0	3D52E9AC348E0D47952F722D253F092FB6BB46540E8C683E3C22C8F9AC56899C	CB2AE750C09E274C1C351D9B42186CF83BE9F38681BF449FA837398C066448CE
82	575	224	P14	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	CE255E1264305BCFA6BEC09F4A3051FC015F1FF7D46DB57852F276923E8826D5	452E65F6F2CD870804C1C4F9D0BFD9A3AF31C19C943EF8396C6F1CE84E13437F	D7404119BF2F404124F487CC0A587810A4090B71E8E5A27D6404F1BF806D3314
83	576	225	P14	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	6E18C7E4A65DC3651DEB325E3EF9429614360B61D6CC79470713FB94339F679D	A0CB412FD58299361173DB350B105C4445A1B043DD58D923E51350AAE0A72AF3	BCA68BAF3E21193E9308F3E58EF3CA7068338E458DE73D18A9AD5238E42C8FE0
84	577	226	P14	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	7A1D4AE9AD9C0AA0654852493D228A779AB7B05ED71536B57CACE5AC0FED3094	A3FE4019DF7EC18C7C646CBA0B3513C6A121C683190850AC747D2FE0DEDB1E7E	40193B0185F1E33D0CDACA6D50E1B9AAE2BA0E4576C37DE0218CA8680E15634E
85	578	227	P15	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	0445CF3E61968E9540BF57136FF9B5A15DD4F7A7B5342463845117966717E949	89743A065E2BB47CAA50C044B9AEDF5C6CF01D9ACF446CC03E762C5F14C9687F	119D95E8BDDF4B40335548A25B4BADF4A23CC5DEA8A2A429D2B6D71373E3D4F2
86	579	228	P15	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	6CED5FCB9989D2F028383092B3EAFDC4358A30A30689E9D3443A8A83DC367CCE	5A210D9E7EFA532E39588E50B83455DAEF0AC225C13D7FFDB019492AD3BD9B92	1F8A5F1C1DC409323ACCBB50EB271C7F1886DCFD1FEC8851F5A1CE2A04E91645
87	580	229	P15	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	85A7E2F28A2F7C6665C81C789D40489A432C6757A1051AF3750B5BA2E877EC53	770FEA3B611218ADF8A75D5E78CB5AEAF9030AEBAD0B9FDFDA6B2C74A21B5EC5	412BEFEB304A7F3058A559AADB7314C5F990180C8149AA5E9CE76229A3F4DD03
88	581	230	P15	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	3B371506FC83D64F027C6EC72B51685768FADE80D47BA33E05B70865E500EDF4	10CF09A28D16B88CC4357862185D5B60BCAC00804E18222C37CF04691EF9C6B5	BC6207F8526E725DCA6A7B4BEBF2E0671DB5AC70F563F18E680C8BA3BB1AA6BE
89	582	231	P15	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	847B28570EC2045CA8D44BF9B711CAB1F52E99826F27BE455AD4B820E9E249BA	E427F913919F32CF3CA844C86184F41B2A634C6570B8AD75A2DFC0217E73991A	37A6F34A9E25854936220C57DBBD0DB6FF3911B292E7FD79931973FF5D65E13B
90	583	232	P15	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	4879436AEF30F9414EC30AE7C3BF8A6742886DDA62A99CE5517E8917182C6144	0CDCED56C9C632EA7D974E0EC5317CEB17426D96E9C1A4257B291E924D49EA73	EBF5D1F169731D1D9167D37B43FE472D99DD7AD5803A1F1510F372E38470AD3C
91	584	233	P16	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	1EA8083105DE930785D78E6A2DDA55B0C5642D5DBD0E9F06AC57DC8B9334F07D	AFA95F895BB4D4A24889E0FC4CE4359D0EC2B891C354E462CD539E261F0B9094	507FCAF16926CBAA0DCABAC84568D6070ED58BEAD0C8624E1CE62252B363B894
92	585	234	P16	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	D7D3D2C6057C106267B1559690E5792ACC75D7B197813F03636CD9D80D8E3304	DBFC907B0D8D130E0A035CB661D5E7E292EAEABC444F97F1004D826D442E9E6D	303B4EC17F033C3C8B79F45D8106157B0B6CE5626D942E27912ADADA6274795D
93	586	235	P16	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	1F0046F922C0C1EBE09BCC7632318F8A94B37EAEDABFACDED3C70ADF4AB3F2B5	4CBE93F37802AD3C3BC6F23720CF635F9237310D5E4968F846751304BA52FD7A	CFDACCF64F98059DF71B7E03E348942C7ED6636C649033B13DA5DF3D34AFB3D1
94	587	236	P16	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	816844AD6E40357BC3CDDB6960C772E7AF334329414825989757841FB0690E87	E97EBD9191239946B2F4DED6DFCC42CE9F0804C2D762DEBB7DA947DE6B886229	C4151D8F22419B07974FFFBE5D65F9CEB91F0B34E14E744B601C70C4A3C0DBAB
95	588	237	P16	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	DCBE17DEB0A697C075BC376519869EC6A77984871CA2D05FE58492F62373B114	5F54F9EA52BF41DB46080315975570EAF99463553F31519D09D46AB4CCFE4548	C61F34E8DAB836615FECCB3C39114FDEE6B06C5095EAE173A1F79CC601B6C49F
96	589	238	P16	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	EC0735FDEFE4D2EFB90B41A167A65A492F4AB01822B37349CF858F2568FD12DC	165DE85FB4F58A552C24A0DF48766B36A08B1C4F5BF25A31370397DDADF06922	A53CD60DF05157E7E4E7151C2C275781D63A04186B1761CA44FCCCC9751A8858
97	590	239	P17	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	B0137D9A110EA9120867758866E7CF758AD5B6A3FB9ABCE5FCF241E4093554E1	4856ECA3A92656CADA41A097A66761684D69EFD25409A4ADB1301E31C50D2D65	504DE6D7F19DE6A1780A1BFE8ED40C571A22E07F29B3C06104948E87BE240BD4
98	591	240	P17	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	2C0B9140E226B7FED347B814E1D5B98AF5DAE6ECA4E96208A6E1F13930EF86E6	82A105781C7F81CDAE1D35A561935ED41903E6EBA9EF07DBBB122510318591CD	B9AE4A2BBFBE9CD038AB3B97AA6204CD21272984042E1ED66CE7039D825A6355
99	592	241	P17	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	EEA80F7675147EE279BCA047D63AE7252AFC64B5710E27AAE58876755077FD69	08C637180E21ADB6392C462FC083BB72000A432A730404AC9A2D315333864AC3	C0E99BD5D13CD2F6CA1B1E7301B93D38D13C386C65D0417615F543E831F0BA5E
100	593	242	P17	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	9FB6790720856928B4BD53EC37E6972199292CD2507DC3E51C97BDC664870B82	F59992AFF63B7F24A21E131AE84C6E1BE96F49D07E264733B063A10C6C32FA61	42182D82FCFC4ED93109504B2AA24FDFA4B1AB719E12F92F4B59CFF6F0132E58
101	594	243	P17	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	EFEA2D9EF8CF761EAEE484F24BF6963246881D4100500DEC01535E1EA43E3A06	B988FCE8FAC92A60ACAADE7DB8C2512B4192ED67EAECA75B43CB375D7D9EDF34	8A5006F80C932CA4DCBD0B9A01103471B56A2660B878968C3E60E4C0508FA8D2
102	595	244	P17	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	B9C5BCF9C876F34B1F315123E926A54509B911BED40D33E83E6E2C9FC95EC067	B89BF6347E565FF6D7C4F2FE523747FA3A3E0EFB153295ECBD9EB259B49633A0	F589156B9F3B60EC6D57378FA2503585BF58BCD6C988244EDBE0D832E8B3C628
103	596	245	P18	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	FB23D3D488C236D38D75CD85D4CD9968996B653416A675AFA2C54461186B10EB	A0DA3F14F145EBC75C8CA5B6AC5D4FA622163A43D36E933F80B612AD061487CE	759ECF87750326883FA6897282369ECAFD16E1E91BB1B0AC1BFD1F07D7C25411
104	597	246	P18	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	65FBF03572AA5011DBB500CC06961D94C616206EA457869F61BED981A6557025	E5E5D4DD335AA07CEC6B33CC63D1A3408E24870A8D8DAFCD7AE0F3388CDF53B9	FA1B1DE24C85345F21CD080BB386804A94041C7BAB3A49F0031362F564DC484B
105	598	247	P18	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	DABCB2DC2B64E4A4BBD922D832514A95609B2D0929893C2C3B4E9441D3DC58BC	FABD9BCA26DEB2BFAE5A381C28073A39EB121551A16A804747DF07E06BF3F0A9	26B3DA546D40772F81C8D100ACEA6495A18F7962E07B036B672FBCD0143FC235
106	599	248	P18	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	E8D7A9DF49C43D2DE7E4E7FFD83F3643C038A29E6FA0953BD6B8DDC17514B2E5	4310A5E4FF33E426F4B6B584C74299C310EA84713DF27D70B0CACC63EF775A4E	0487EF41882CE8655CF69306C63475A067625629C47E07CB27F3D952C4A0D16F
107	600	249	P18	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	39BB512C190B31F3877C9CA1E25A32613A48BEBFB1B0821641084461B95E0E4C	02AE892BDB2047CBD5B9556E5F9572C64E41F2457DFBCFDBC0D2E533410125E8	DFB98806F528BCCD7C54FC4CFE4DD384BF6D752F94196AD9BAE5198933B270FF
108	601	250	P18	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	C72A9FDD0DA65149647E5D34A17E149488E32D759445C25631BA8DF311918316	B322961DEEFE6D6D834684B45B0D9D6FA2BB95863CCB152E86F720D6D8CA9B94	CD3A09A12CEA252B3EFB261733CA221FDD3E5BF43D1232E4928B28021DE5020B
109	602	251	P19	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	7EED206B9083B1F29DBD2E9FE8D9950D28126F4E666DFC009DFB297203D5805B	8D572850AEB809244C485246B69BFC73D95BB0FB27707F970BF792C0ECB6CE66	054FB7848E580D66E5B8DC8ADEDDE70D19EC169248FA3C80795E8DD0F471D0DD
110	603	252	P19	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	CB3754A53868DD5BA3DC0463483C430DD3FE246AC4A165023512F8C9CE9AB8F2	923F3166652097E47AE4B073C009D403E8FA2434E215611188110C90772BF60D	E9E3DA37B8F487B3DCFF0543C57B5986741218522F6F58A2AD346D0492117156
111	604	253	P19	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	90D9A2E23963ABFBC71B7E6C5BF0D24447A8D6EA52B98B2ED7D63CE9679245FC	C6E5FDE8467C77757A2E4DEDA599F47BEAFFB50DC5BF27F061C0A1B558C5B24D	16D36CDF12C6459D1AA33A8E0B5A00CDE0FEBDFA8F7DDEE49CFE8820764FEA70
112	605	254	P19	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	0560B6666818E02D7CC0700D38DE263E85B33D5D3CDCFD67881A59E9EB35FF8D	E22CBDD53258FC9A3D44E68A2E1CC4071AC0C2D20286B256F19F5663663A5FE8	FB5875D88DC663AD312018BD41A908BDB26F03C283EBB7CF5A4DA0D104612007
113	606	255	P19	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	71CAD5D878C33CB5DDE497E696A34FFABD0BD1BA49768C536A700FB593791BEF	CDBD879A81FF640549306F41E173FBB24F33E9E967690931371CF8B7E3C59DE9	7BCEFC946512E52D69762413E45C38E3A78AA00CF54FDFFB7AEB12BEEDF5BEC5
114	607	256	P19	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	6FF66045CBA184A5B6F122133D9784C106E2DA21F85FF69F0E2BD1C7975BD731	E12FB09E51AFF283E0B83B4F852A2C37EBA89E9341B499668B258F898E317B20	08956113021A614443D51B7DF4E3ACC4C9D8C0133B1521B968830CB3416C6A59
115	608	257	P20	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	2FA15DB259E3446DAB48096CD404F4385D50A728FF867BC734C97549EE571D61	76099D80CC0B59FCEC359D9740F8CE9B76C0A01FE9BEB88A3E2F3DE464D637D6	A4D9B9CC2A2303997F77E268D401CEC26E52362F450C742FE4D6A4B36723E683
116	609	258	P20	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	9A971E786A8857A4694864518EADDC4E9A8D32934ED9B3DF38EF32D9ECB590C0	7D141AB8EDA7B71E22B0790A8A2F5C700D042B14B77EA5B11548C730359D1C8C	17F3098EBC31C382A26440FAD54ED5C0987260FCACD0154A7167B40E2D2C8479
117	610	259	P20	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	0F901E9F55801A6B16F6EE0E92BD7A95781CCD0B4A6ADE4C23F8ABD91AA8C5DF	12E34278DB3B2C43F8466DBA33CA06B147EACC8441C14775B4BBED8FBA137241	B3F293008DAF237A0A3941C8700F2D3D5F90D5400A0C2C22B3C2C046EFC17600
118	611	260	P20	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	B47A34858AA05E74267E026DD10ED15588DCB21EC9C1CBB20C09876201B0495C	F1C55CC3D11EB487695ADE60224D52194FC9097F1182B311978225DEE34492D9	70E0C569BE08C1634DAA4977EA209F43463FF0355767B494E4556CB6F8A3F2B9
119	612	261	P20	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	B45FEF255C107BF8EFB248B4E2636CA62607A4F529D1F149D096FAD335B0B504	7BD928179D600028C87C76C2A2C934B86EDF96D4A839AA34E9906627B517D806	31BAA5F5BF66BFD1A4DF62995B9482ECE21E1A7E69BEDB51A5A8BD238C20476F
120	613	262	P20	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	4EDCE1BD17C869DF2980784A60BE54B9A770526DDC89803C712AF67D60E72516	DAF3E7E26EF4C908186671BFD50D1B27CFB1A78C1E7FD90DA001504EB98CEB60	4D782B88E35A8FC4EB84AD04B9B3E3030319FFC6C162C5BB6413756E919767C5
121	614	263	P21	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	9C80B29A0E02F77BA8B6B184CA968CA6EB8154E76C4BD0F7665EEDB4910CE951	7323300F1B618F3CE01D730D1F13F45DC117F43BE40D8548FEFC790826870FFA	B45FDCCF556A4101D80897612379399D8843CF367438B79F5D09767B5019F220
122	615	264	P21	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	D3194B850D1A40459607380529E1BF6BDEFAF77C56A2059F2E7154C4623F0E6A	324D70D5921E993C82C08000CFD89E8DE44B9FBC6F395A9FE7F95EF56D5400C5	C16B87BF5566978197766910A0A0B7C555CEABB8DC3F07AC1F48994125682E9A
123	616	265	P21	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	294FC19B6AD21F6D066728043648F581F0FD741DFA4E93F63F7984C303535688	C3A2E469B5923943BCDC22D21CD0ADF9A74A3193E3ABF784F3DAF975823B9A1A	5A2DE99AEADFE90005E172F7F78220B0F22F3CB9981EDC310AC1937E6D23F329
124	617	266	P21	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	AF90106A751E6164F26AD3963BF9A838796BFB5928299C90FA8279C906D780F1	B712E80F57DF980ED6118D54289ABECD48F2FC14051C67F5E89D975AF8017FBB	D1AD1386AA5B984F0312600BDFB81CF44CCF197CAA840BAFE3912B8692ACF400
125	618	267	P21	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	7C75390632AF8453F75DB07460684F658403319531C853F9BC950DAF534A0C7C	268CEC0971B22EB15C5BD65C2C6F0F92B847A65DA092B3F661687FF728752F07	4709327218205994A66B447F1B7EFD8FC1C2BC9773368CC0B832AD2C1CFAB2C0
126	619	268	P21	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	5DB65B0D4D6842723EC76ECBEAD0C667F9DA0FAF860BF3F02AEA019BFE27F43D	2F53024198DBB5FA8D66EF8D51598955F5E2543284F0CF8953DDC45E9F6325BF	92C451F9F70F516822BBE6C162ED1FE45E2EA16AE45EFAB87F1E5672A1014AA2
127	620	269	P22	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	3536CB8DE9489342767485FECB11164236AC4C72FA991BA63839AA421563BDC1	6559B4313BA7829EE4B7D419EE90A284A30282C634633D16511F863EF09BE55E	489FDBE8F4D108501978FF9F15AD68A8662A6FEC01177E6A518405E34E10818C
128	621	270	P22	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	9B2A5262FC2A202D2090A11FC0BED6A1A00928F04D8EAAF0F474EF110CF01195	AA965589F4BB156679B1FC12BACD5C3014EBAFF7D4952565EB47CFFF08DB8BFC	04CA3204B3C80444CA943811DC6C4871B33AA05731471C09ABF66DA57A6CB547
129	622	271	P22	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	6B30585791C71CC34EF29D905B7194FEACF03A812C9214F2784F3EAEAA19F06E	09450DC9E0FC1770FA8419E0DB35B271968244EFECAC4309C54830891A8623E4	02E148DCBE8730DF488591592F16FB991A2E936DD797FC436E102D80E60D210B
130	623	272	P22	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	1F9AF400BD2E464956A30F13F9FB3CA540D55C10F3E8797E2739F5874EB8C516	84AE375826A0ECD3A15D57C0D020715C028CFFB13321F7EDA2BE500E9FA23B22	89751474E8CD976CDFA2C445E3DE6D9954084302FD122AAD60BED21E2DF30F63
131	624	273	P22	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	FBEAAF8B4C17FECB790206E2BB293877B061F15B32552BAC47A08672F37DCBC1	299A01C9B80BFE1C2E80810D5631D9AD10443320A867B37001186CBA7DDA4CA1	716E4CF66B53E858F5489BAC74FBD7D0B8A9D486C41794305F8059895D9E9A32
132	625	274	P22	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	223F80FC88013B5E98EB41F5A98C11DC818B051E94980C4523F37E7DD1BBED23	2B27A7B7768DAF73C0AEA04F6605216DE7E6612FF51AABA0039F2E3339ADE6FB	54EA13B53A00FE92AD447E246559666EBA54B4474159D017F9173CDBB82B0BC4
133	626	275	P23	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	F467AA7CBF5F843DFE8C13A4841B6117FD6183AC846D3ED5AF4D09B19E694358	75CD4CF4A0225B029568778759810E7D3EEA122FC9F71E6154D7A16D396FE346	AF668946E2EF0881DDC8DC5E98D6BEC7A74B3DFECC7DAD8FAF824D2FCFE48457
134	627	276	P23	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	C7E16EC0D8C158C72DA46D493A8A7946A57FD14F6309E9843892048A20C2ABEA	F5FE0F26FEC3631E57CA4C3B93A7BAF5C4849FD42617E4279920830F9C777BB1	45AD245DC8A553A17F0B9EE067408D8A607FBB244E6034ABDCB428AACC048759
135	628	277	P23	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	1B56C770C9D76DE416466B418997219D91E73BEEAD2149DF7F1471128CB2DDCB	AFE9D4FCF37DB1D4EA244E0289C59D2AE5A8A690D1B8109469D04CF52181273E	9570D44B5BBACC509287B7262DF79C3DD1CA9D064FDCB1E058FFF5AE15D4C638
136	629	278	P23	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	1609CC7892051597763D4C03BA351E9770E3B951997A492037F1641CAAE0D32D	0CC41E42DA0466ACBA0AFA31D4B90BA119D92F5A3E9BC7128FDEFA8D82647A79	EFF1176DA543EB3FF7FFBDE2B54EB9090A0A33AC5EB869051EC22D1C07766AD6
137	630	279	P23	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	30D7CD311598D2B67E4198FCAF69FCEEC136B98CC6BE47A54CFE73491B97395B	BF1B0C747E2DCADB276988FBDBD0CC8163232425626F4C1E861034CEF57C0F1D	51A1D88214AD8927FB702A3C5BDF1792B42FA0987EEDFB5C71578BD86C5F3CCF
138	631	280	P23	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	53FE10294CFC951E95CE748ACB07F769FD90C843312E24CCDE59A273E50DFCC6	2A5E8E475F09E7CB068AD8A1E602E2401A9027CFFCDC8C82D095AF4FC31F0A7D	8C70C827DBC2EF2F2C237CC10C497ACEAFF997C1A2FC026300BE0637D9CBEF67
139	632	281	P24	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	13FBF3E519A30A2C9A69A65FC57380868588B84B93E749E64FF22C320E92CE06	E0965C44167B54326C902F034A60971A2B15831C3607E8F583D1DF845FA619FA	B2E5BD3805F2B3E904E252961C1749E36C9AB64C4E70CF1F1625DE343564BFBB
140	633	282	P24	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	7B79A65E494A4DF13BF6880703371EA3D3803D09F3843CEBA2DC4D224C3A65E9	6229179B686572797145F6F3068DF20EF79770239228F405E53E0C56E0992E4E	20015F661D1EFC2A841A9C0DFAF34B403CD2D677E451D23FFCF1194120D48623
141	634	283	P24	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	1D3CBAB7329DDD51E41275757D98DCCADAE75F2C0995EC5BFF1255228F0D24D8	EAE6C92B0FE086B366107B4F1F820A697F1945DB2FD4CA5CD37601F0ED6A6100	B502A34B002F7922068D8F192C71C5586F3C348052D7D13751313619F90A0529
142	635	284	P24	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	7A52ED0865C52DA22DAE3F23AD93FBF0346365BD62BE84FCCCB294271E6A5B04	7BF3B6C6C90340D00B171AB3525772C7CF7E4860D464BAEDC2AC47449521A06C	10C96E79B82B8912BA46A85ED3046EE2C3A8FFAF37A3A9F8AE85B7C213219558
143	636	285	P24	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	A2765D4898ED7ECA17D9BBE466DDC470F7A73CA496DA3DEDC4DD97297D4DD3A8	7EBEA1533CA63B25590830712B19749D4D040872D34DDD401BDB19C34F099ABE	DE6BEA43158C9DE0EF88A146191362579BB76F8D5516AF7F3ED1C037539D7988
144	637	286	P24	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	AE2AC971F137DCEB027B0C515257A6FDB489455D3FF955242E1B7A74D34CA365	8288F713BAC09B8C137D7E797F038DAFF259147E03754339D852B4FAED0EF122	2DB7511E7B2A5785112F74DB1D641E98F7C9555FB4773C9DBB755BBCF03A1C3F
145	638	287	P25	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	1FDB7057C021F7627AB2D1BF8632FAC02CD0840E4174BC5D1EEC33BBDA10EA6D	AC0BED3E274C814A35794F531F9E28C9965FB90A32F69C5B04AB5523433DCC35	3B9602E03AAD5AA2C80706207189B40A17F3C4481CB94142B21BF9F13B0AA9A2
