"audit_id","source_url","register_ids","row_count_for_url","source_languages","topic_tags","evidence_tiers","recorded_license_or_access_signals","recorded_local_sha256_or_hashes","recorded_local_paths","probe_method","remote_status","remote_content_type","remote_content_length","remote_last_modified","remote_location","probe_error","live_access_signal","upload_policy","non_claim_boundary"
"LIVEURL-029","https://wiki.uygur.com/ong_noeter_halqisi/","UGR-004","1","Uyghur","Uyghur; right Noetherian ring; related exact candidate","html_or_web_fallback","no explicit reusable license found in capture","B6E3CCF28FEC8297EFE24D2A5C27EDEF9250FA5142BE8EBFFF0BA589E74E1556","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_exact_candidate_resweep_20260704\UGR-004_uygur_com_ong_noeter_halqisi.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-030","https://wiki.uygur.com/page/4340/","SPG-UG-002","1","Uyghur","Uyghur; semisimple algebraic group; semisimple ring; dictionary/category witness","html_or_web_fallback","captured page shows UYGUR.COM copyright","713B2FB8BAEBBE2B34B772F9DE8A7FCA03F90470DC598E7A612CF74742C3498F","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_package_gate_20260704\SPG-UG-002_uygur_com_semisimple_algebraic_group_ring_page.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-031","https://wiki.uygur.com/page/4385/","SPG-UG-001","1","Uyghur","Uyghur; cohomology ring; cohomology module; cohomology group; dictionary/category witness","html_or_web_fallback","captured page shows UYGUR.COM copyright","44C1B9FA109CC50B79582EB28FB908BE87E28960C592D4549969D036E2C3B5D9","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_package_gate_20260704\SPG-UG-001_uygur_com_cohomology_ring_module_group_page.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-032","https://wiki.uygur.com/sol_noeter_halqisi/","CWS-UG-003; UGR-003","2","Uyghur","Uyghur; left Noetherian ring; dictionary || Uyghur; left Noetherian ring; related exact candidate","html_or_web_fallback","copyright signal in capture || no explicit reusable license found in capture","24921876E3E138BF32B9C9E13C895FF7126A52C9B53ECA094221000711C09D3D; C1F92403AB1317977C175D778BA742D564598242699AB1A2D2BD81990555F8FC","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-UG-003_uygur_com_left_noetherian_ring.html || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_exact_candidate_resweep_20260704\UGR-003_uygur_com_sol_noeter_halqisi.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-033","https://www.ewlat.biz/turkum-4551","UGR-006","1","Uyghur","Uyghur; polynomial ring category context; dictionary","html_or_web_fallback","no explicit reusable license found in capture","B411227AF3E2D3DDE76D2F6DB4D08732D5A476B500757D11D700043CF30A68C1","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_exact_candidate_resweep_20260704\UGR-006_ewlat_turkum_4551.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-034","https://www.ewlat.biz/turkum-4704","UGR-005","1","Uyghur","Uyghur; Noetherian ring category context; dictionary","html_or_web_fallback","no explicit reusable license found in capture","A98C51B94D00AAADB85C645AC260D1AFBD223D67ADC2370079645C204D79B679","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_exact_candidate_resweep_20260704\UGR-005_ewlat_turkum_4704.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-035","https://www.ewlat.biz/turkum-4879","SCW-UG-004","1","Uyghur","Uyghur; multilingual dictionary/category surface","html_or_web_fallback","no reusable license signal found","0C6831088BA4835FDE9F67949461BA7BED7131D7EF15A27E3856BB91BBB2F53F","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T213000Z_r2_pan_turkic_az_tk_tt_ba_ug_hard_row_retry\html\pan_turkic_uyghur\uyghur_ewlat_math_terms_category.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-036","https://www.ewlat.biz/turkum-4891","UGR-007","1","Uyghur","Uyghur; left Noetherian ring category context; dictionary","html_or_web_fallback","no explicit reusable license found in capture","55AED73A8427B687572E9CCF4A870DDCDEE28F88FBF6081B064645ABFDC14641","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_exact_candidate_resweep_20260704\UGR-007_ewlat_turkum_4891.html","HEAD","200","text/html; charset=UTF-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-037","https://www.kitaphana.net/book/10","CWS-TK-001","1","Turkmen","Turkmen; higher mathematics; set theory; linear algebra; vector algebra; analytic geometry","html_or_web_fallback","copyright symbol in capture","C576894C31C8E14CF38BCF8B41FE2536BE2BBA06EE107822501358B4080C8BE2","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-TK-001_kitaphana_book_10_yokary_matematika.html","HEAD","200","text/html; charset=utf-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-038","https://www.kitaphana.net/book/13","CWS-TK-002","1","Turkmen","Turkmen; linear algebra; geometry; TDU","html_or_web_fallback","copyright symbol in capture","9164600E072C33FB4EC970918A0FA9DDAD5819EF54E94FDEAF5B3E9F9ACE72D0","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-TK-002_kitaphana_book_13_cyzykly_algebra.html","HEAD","200","text/html; charset=utf-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-039","https://www.kitaphana.net/electronic-book/10","GCS-TK-001","1","Turkmen","Turkmen; higher mathematics; set theory; linear algebra; vector algebra; analytic geometry","pdf_or_text_fallback","copyright/page-host signal; no reusable license found","9E3887FE0DB913A8DD0063FD23D3C95F1F14F23993E83BEFC9961FB4AB72630B","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_gap_closure_20260704\GCS-TK-001_kitaphana_book_10_download.pdf","HEAD","200","application/octet-stream","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-040","https://www.kitaphana.net/electronic-book/13","GCS-TK-002","1","Turkmen","Turkmen; linear algebra; geometry; TDU","pdf_or_text_fallback","copyright/page-host signal; no reusable license found","B438E991D06CBD368EA2036C6B057DFF7021FEDBBE3C6A2AC1619F4126C3FCA6","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_gap_closure_20260704\GCS-TK-002_kitaphana_book_13_download.pdf","HEAD","200","application/octet-stream","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-041","https://www.kitaphana.net/electronic-book/1403","RSW-TK-003","1","Turkmen","Turkmen; mathematical dictionary; algebra; terminology provenance","pdf_or_text_fallback","no explicit reusable license found in capture","9EAA43426EA30983000CDCF8BF488F336E61267DA83762F8ED84A5E2A6D543DE","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_resweep_20260704\RSW-TK-003_kitaphana_book_1403_russian_turkmen_math_dictionary.pdf","HEAD","200","application/octet-stream","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-042","https://www.kitaphana.net/electronic-book/15","RSW-TK-002","1","Turkmen","Turkmen; algebra; elementary mathematics; köpagza","pdf_or_text_fallback","no explicit reusable license found in capture","D0EA01430FC3ECCC3F11945D7051D588F9134D5CEE7AE132E2F16008BA3AA0FF","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_resweep_20260704\RSW-TK-002_kitaphana_book_15_algebra_we_elementar_matematika.pdf","HEAD","200","application/octet-stream","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-043","https://www.okuma.kg/read/web/books/%D0%9C%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B0%D0%BB%D1%8B%D0%BA%20%D0%BC%D0%B0%D0%B0%D0%BB%D1%8B%D0%BC%D0%B0%D1%82%D1%82%D0%B0%D0%BC%D0%B0%20%D1%81%D3%A9%D0%B7%D0%B4%D2%AF%D0%BA%28okuma.kg%29_%D0%9C%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B0%2C%20%D0%9B%D0%BE%D0%B3%D0%B8%D0%BA%D0%B082.pdf","GCS-KY-002; KYOCR-SRC-002","2","Kyrgyz","Kyrgyz; mathematical reference dictionary; higher algebra/source shelf","pdf_or_text_fallback","no explicit reusable license found","77E6F42D0EA5D8BB4CA329FD8C6AC2CA69E7DAC65E6C75EB8069672F6BE989DC","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_gap_closure_20260704\GCS-KY-002_okuma_math_reference_dictionary.pdf","HEAD","200","application/pdf","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-044","https://www.scribd.com/document/673285911/Matematikalyk-terminderdin-kyrgyzcha-oruscha-sozdugu-bizdin-kg","SCW-KY-004","1","Kyrgyz","Kyrgyz; Russian-Kyrgyz math terms dictionary","pdf_or_text_fallback","copyright signal","A15B94BCD3A2CFFFCF5A5BF66812CD2CC794FD8BBECAC5F7CA0ADF5F21576E46","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T210000Z_r2_pan_turkic_nonuzbek_hard_row_source_retry\html\pan_turkic_kyrgyz\kyrgyz_scribd_math_terms_dictionary_html.html","HEAD","200","text/html; charset=utf-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-045","https://www.scribd.com/document/868629110/Komekow-B-Algebra-2010-TDU","SCW-TK-002","1","Turkmen","Turkmen; algebra; TDU textbook lead","pdf_or_text_fallback","copyright signal","2B7F1D6BAD0CCA19F6E3759D8D513B2FFD25C294B537DCE7C04A0B061126514C","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T213000Z_r2_pan_turkic_az_tk_tt_ba_ug_hard_row_retry\html\pan_turkic_turkmen\turkmen_scribd_komekow_algebra_dynamic_html.html","HEAD","200","text/html; charset=utf-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-046","none_exact_source_not_found_explicit_gap_row","EHR-TT-NR-001; EHR-TT-PR-001; EHR-KY-NR-001; EHR-KY-PR-001; EHR-TK-NR-001; EHR-TK-PR-001; EHR-UG-NR-001; EHR-UG-PR-001","8","Tatar; Kyrgyz; Turkmen; Uyghur","hard blocker; Noetherian ring || hard blocker; Polynomial ring","explicit_gap_or_blocker","not applicable","no_source_hash_explicit_gap_row; consolidated_register_sha256=DB1666F6614B4CB322883F947943E268AFDE91D0416000A93864B94EEA194F88","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_CONSOLIDATED_SOURCE_CANON_REGISTER_20260704.csv#EHR-TT-NR-001 || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_CONSOLIDATED_SOURCE_CANON_REGISTER_20260704.csv#EHR-TT-PR-001 || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_CONSOLIDATED_SOURCE_CANON_REGISTER_20260704.csv#EHR-KY-NR-001 || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_CONSOLIDATED_SOURCE_CANON_REGISTER_20260704.csv#EHR-KY-PR-001 || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_CONSOLIDATED_SOURCE_CANON_REGISTER_20260704.csv#EHR-TK-NR-001 || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_CONSOLIDATED_SOURCE_CANON_REGISTER_20260704.csv#EHR-TK-PR-001 || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_CONSOLIDATED_SOURCE_CANON_REGISTER_20260704.csv#EHR-UG-NR-001 || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_CONSOLIDATED_SOURCE_CANON_REGISTER_20260704.csv#EHR-UG-PR-001","none","not_applicable_explicit_gap_row","","","","","","explicit gap row; no external source URL by design","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
