lane,packet_path,file,category,rows,bytes,sha256
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_B3_DFB_ACTION_SUMMARY_DFB0AC3E.csv,support/context,1,393,3F71B41ADC0E1D2D9DB9B61FB9BF8944EBC059621029E2CDA7DEC1CE4D7BD23A
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_B3_DFB_TRANSFER_AUDIT_FILE_INVENTORY_DFB0AC3E.csv,support/context,11,7126,92D9E209C2A7C4CF8B22821FE0FC88D5289F4F992A7D703B3DAFE453A549DA19
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_B3_DFB_VALIDATION_ISSUES_DFB0AC3E.csv,support/context,1,140,92A310947EE6C645651D7A0308345C0AED5EF98D21F3CB325FA11BFEA3B15312
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_CJK_NATIVE_BLOCKERS_DFB0AC3E.csv,blocker/recovery,4,2878,4566DEAC32C7E7E1874952038783ED99A61E901F7ADBA9B1DFAB1DB4E69F982A
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_CJK_NATIVE_SOURCE_USE_FABLE_ROLLUP_DFB0AC3E.csv,source-use/gap;Fable/adverse/do-not-use,9,8406,5BC9611CEDFB8E2A04D92C047AE58A65B7B5A713DFCFAB8C11E23C5C5D50A920
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_CJK_SIGNAL_PATHS_DFB0AC3E.csv,support/context,0,133,816B51AB2558526C526C45E3F5276977F133B3B6B31BD8E7C0E4AB34205EA5EE
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_COMMITS_AEED56E7_TO_DFB0AC3E.csv,support/context,2,912,0CE9D24C1C75EE76B1B26FE3EF268EC853D3C4A2D0D49A4240EF7C01A59D5AAE
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_DELTA_AEED56E7_TO_DFB0AC3E.csv,support/context,65,40586,C3CB972626589A8C8A2F8E1A78460DBF56C2222B29BC17FAEE32006E82FE717A
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_R3_BLOCKERS_DFB0AC3E.csv,blocker/recovery,3,1118,6E5B8A7015E6CD6BDE120F2D0189EDBE968DC73EDD942B4B91B2CDF799EBBAE1
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_R3_FABLE_ADVERSE_DFB0AC3E.csv,Fable/adverse/do-not-use,4,993,F520F2BC6949EBD89A3B4728D5B522E87AB020BC675D217293EFB53C3299EC0B
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_R3_IDLE_SOURCE_USE_FILE_INVENTORY_DFB0AC3E.csv,source-use/gap,12,8056,1F8AE40D180F25D83DDBA6EB7FB01066BFBD578ADD8A2F23492B8D8362DBF10F
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_R3_MICRO_EVIDENCE_DFB0AC3E.csv,support/context,4,1917,7D5D3B8FF946B38F5173A4DD7CD6811E143234DAA1FFDC04BD23D9D10D6EA939
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_R3_SOURCE_USE_GAP_LEDGER_DFB0AC3E.csv,source-use/gap,4,1041,8112E6A94DA8E7D7DFAA00A8A8FEFDA29F9082FA7BA81940DA512A85E4A9923F
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_R6_2BD_DEDUP_FILE_INVENTORY_DFB0AC3E.csv,support/context,12,7486,478B0EFF07606FBC1E5680A24F0B802A7AF2108D4DE442912F9E0A6ABF4E8424
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_R6_AEED_BLOCKERS_DFB0AC3E.csv,blocker/recovery,5,2074,1A331138F0039AD6755E387C410314EA5FFB6CCB346AE9C1EFFF6BAAE758DE3B
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_R6_AEED_FABLE_ADVERSE_DFB0AC3E.csv,Fable/adverse/do-not-use,4,1549,B5DC955CA41CCDADF34BA4FC9EF040E6061229E7F164081FAD647D4E1920952E
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_R6_AEED_SOURCE_START_FILE_INVENTORY_DFB0AC3E.csv,support/context,18,11961,9721768AF276F80D31ED086D561D8779BB2C5E391A8E5A81CB6C41EFD9D9A4E6
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_R6_AEED_SOURCE_USE_CONTINUATION_DFB0AC3E.csv,source-use/gap,5,2324,67AB83C38E306CD23B2D5936B077B46C56C14D45FC57FF9D9126BEC92255A890
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_R6_AEED_SOURCE_WITNESS_SCOPE_COUNTS_DFB0AC3E.csv,source-witness,110,34606,8B76E49C02E6B36EEA63782718B3BAD79B36BB70203857E710ECA082641989B3
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_R6_DEDUP_BLOCKERS_DFB0AC3E.csv,blocker/recovery,5,1214,45EB4A44502A590BF6FC31003361CE13BDBFAF0A01A4FCE6C1B46A4BD3402920
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_R6_DEDUP_SOURCE_USE_GAP_DFB0AC3E.csv,source-use/gap,5,1875,C3153C2D6AD81C8C2761CD651BE3E665C458E8176C31A177C8E24FA32CC1E6DC
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,BRANCH_SOURCE_USE_GAP_FABLE_ADVERSE_ROWS_DFB0AC3E.csv,source-use/gap;Fable/adverse/do-not-use,31,28381,01C492C47E39065FE6ADDCA2F9FB2BAD11F5E3594D2821B467C462B5E6CAF11A
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,CJK_FRONTIER_IMPACT_LEDGER_DFB0AC3E.csv,support/context,15,6478,9E608F483BB951AF720AB2D94A2DD89375B607CB014D7F1E9C37368BE53598F2
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,EXACT_BLOCKER_RECOVERY_ROWS_DFB0AC3E.csv,blocker/recovery,3,1763,D6B50BD18E1F766467BDD77B60DBEB43D7D44617DCBC143B3ABB2C04C907043F
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,JP_ZH_BLOCKED_DRAFT_ROWS_DFB0AC3E.csv,draft/pretranslation/interlinear,8,29963,29A4C496D20F0642E756DD667F8D65A8E7DA4EA60E5F1A6FC82F1261F68FB59F
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,JP_ZH_MANUAL_REVIEW_QUEUE_CARRYFORWARD_DFB0AC3E.csv,support/context,27,99833,FCA77C3731F92631817EEF6DBB39D7EE1BD6EBB96028C8276446919D7A077923
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,JP_ZH_SOURCE_GATED_DRAFT_ROWS_DFB0AC3E.csv,draft/pretranslation/interlinear,19,70883,902F2198CB0BA70E1B9590D6F1B958F24F4405021E7936B7C3BC37AD945ECB21
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,MANIFEST.csv,support/context,38,21265,75894FCE3904C5D9050C91692C90EF39C8A18D471D4E8D87C2A2F5AA44BC6A9E
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,NO_HIT_RECOVERY_ROWS_DFB0AC3E.csv,blocker/recovery,2,7513,89B57FB7DEA04F14791A392DFA13093C35D7A32D7947896C596FC9AA306C7692
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,SOURCE_CONTEXT_EXTRACTION_QUEUE_CARRYFORWARD_DFB0AC3E.csv,support/context,71,228285,FBD60F981B6F07A4139B85C8FE81DE151A162F4F99C314F28DACB3EA008B2D7C
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,SOURCE_TERM_HIT_SUMMARY_CARRYFORWARD_DFB0AC3E.csv,support/context,36,114556,832D4A77CCF026DC62191E92CE4BBBCEC8F8733CB045A3EA02A29815DB7659E4
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,SOURCE_TERM_LINE_HASH_ROLLUP_DFB0AC3E.csv,support/context,1,4187,B92E2AD1E2BE6B87CD0AD0EFDB17E60D307AA8D0E9B5473C137FC37F513CF92F
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,SOURCE_USE_ADVERSE_BOUNDARIES_DFB0AC3E.csv,source-use/gap;Fable/adverse/do-not-use,5,16134,5D609DC6FA133BD7DD21C46D049FF58238DF8EE917397C75E7BBF27B94CF99A9
CJK draft DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_DFB0AC3E_CURRENT_FRONTIER_RECOVERY_20260707,SUMMARY_COUNTS_DFB0AC3E.csv,support/context,15,6478,9E608F483BB951AF720AB2D94A2DD89375B607CB014D7F1E9C37368BE53598F2
CJK native/source DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707,CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707_B3_UPLOADER_READY_SUMMARY.csv,source-use/gap,1,1343,06EF3F6519D7AEA6D30F4CF3803932E03BBC3C1448945CB980D065C8F55994C9
CJK native/source DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707,CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707_BRANCH_DELTA_DFB0AC3E_SAME_FRONTIER_ALL_PATHS.csv,source-use/gap,0,2,7EB70257593DA06F682A3DDDA54A9D260D4FC514F645237F5CA74B08F8DA61A6
CJK native/source DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707,CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707_BRANCH_DELTA_DFB0AC3E_SAME_FRONTIER_CJK_SIGNAL_PATHS.csv,source-use/gap,0,82,5F0B8F08A5C5475F2603E6A8234C58077CFE98A4D1435D81932497795CE35C6A
CJK native/source DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707,CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707_BRANCH_FRONTIER_RECONCILIATION.csv,source-use/gap,8,891,53DA4769D54AE3C5F6B4F4C0E321BDB65D448BDEF46FCCAEB975E573DE61FE29
CJK native/source DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707,CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707_CJK_ROUTE_PACKET_CLASSIFICATION.csv,source-use/gap,0,147,301BAB5EFB8B73669AF7B7C092D54D2D9ADF8B4E05F2BC34CC298158D2FD4C65
CJK native/source DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707,CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707_CURRENT_BRANCH_LOG_TOP.csv,source-use/gap,10,4734,C3C57A6A911F18ADB5A4FD69BBE1F5193BEDF66497E76253864550D45301BF57
CJK native/source DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707,CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707_DELTA_COMMITS_DFB0AC3E_SAME_FRONTIER.csv,source-use/gap,0,2,7EB70257593DA06F682A3DDDA54A9D260D4FC514F645237F5CA74B08F8DA61A6
CJK native/source DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707,CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707_EXACT_BLOCKERS_AND_RECOVERY_ROWS.csv,source-use/gap;blocker/recovery,4,2873,8B62721A53B8FC7D090C57DDD4234D775A7A5BA4D89F0F11E92EBF6ACD3A31F0
CJK native/source DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707,CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707_HARDENED_HEARTBEAT_MUTUAL_WAKE_RULES.csv,source-use/gap,3,2113,E85632433523F27FF9AE2938CEA5BDD24C3718ED9DBF11E0ECC2B72ABFD580F1
CJK native/source DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707,CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707_JA_ZH_SOURCE_BASELINE_CARRYFORWARD.csv,source-use/gap,0,2,7EB70257593DA06F682A3DDDA54A9D260D4FC514F645237F5CA74B08F8DA61A6
CJK native/source DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707,CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707_SOURCE_USE_FABLE_ADVERSE_POINTERS.csv,source-use/gap;Fable/adverse/do-not-use,9,8513,E299C0601BB59084013713FBF84D7509FFE43AB26626BC4DC3F62A72D6392EBE
CJK native/source DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707,CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707_VERIFICATION.csv,source-use/gap,1,527,847FCD7D94293518B05E56256CD4472431D0B9964C99AE3BB33C2E8100968976
CJK native/source DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707,CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707_VISIBLE_SIBLING_WAKE_LEDGER.csv,source-use/gap,15,9333,0653772C8B49AAE3A58EFAC8575EB3B71B22FB93503484B5013A65FE7EDDC43B
CJK native/source DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707,CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707_WAKE_DEDUP_RECOVERY_20260707.csv,source-use/gap;blocker/recovery,2,1244,64FCDD0CCA864A89D1372C2C8EDB317AABF99BB7F1D0D324590E0D50F5E3EC35
CJK native/source DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_DFB0AC3E_SAME_FRONTIER_DEDUP_SOURCE_USE_GAP_20260707,MANIFEST.csv,support/context,20,20686,05F86D8AA382799D8BA878742FF3F3639E65BEC7367D73AB0B01B2443A9A6C25
R2 Pan-Turkic DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_DFB0AC3E_LIVE_FRONTIER_RECOVERY_20260707,active_recovery_searches_dfb0ac3e.csv,blocker/recovery,23,26618,F6E83206F84981DFD66AF3E013AA133D3450DEFC797DB95ED86498624457D032
R2 Pan-Turkic DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_DFB0AC3E_LIVE_FRONTIER_RECOVERY_20260707,adverse_evidence_ledger_dfb0ac3e.csv,Fable/adverse/do-not-use,30,25572,948564F8B658D50D38CE113CDCC65FD6F9B0A6FCE383D7504420E9F6137EB044
R2 Pan-Turkic DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_DFB0AC3E_LIVE_FRONTIER_RECOVERY_20260707,B3_UPLOADER_READY_SUMMARY.csv,support/context,1,1409,6E871650EC8F45D4D3174E1D5C8DDE4879A918947BBAB0D2D60BDBB5A4BD6706
R2 Pan-Turkic DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_DFB0AC3E_LIVE_FRONTIER_RECOVERY_20260707,DFB0AC3E_BRANCH_EFFECT_ZERO_ROW_CARRYFORWARD_20260707.csv,support/context,1,1363,3A172E176A4B72479C650B565F1BFB9EC915EB5F37515F4DAE96C69F335BD221
R2 Pan-Turkic DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_DFB0AC3E_LIVE_FRONTIER_RECOVERY_20260707,DFB0AC3E_VISIBLE_SIBLING_WAKE_FOLLOWUP_20260707.csv,support/context,2,1179,EDD3630A354A046D6D889ADBB58E54C6E6F6E9C7667253746D50F5413B709966
R2 Pan-Turkic DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_DFB0AC3E_LIVE_FRONTIER_RECOVERY_20260707,do_not_use_ledger_dfb0ac3e.csv,Fable/adverse/do-not-use,4,3538,1E8D67F2255E315A5F24F2B8C3987AB7C1EBE2A0C100975AE5859525ECA44867
R2 Pan-Turkic DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_DFB0AC3E_LIVE_FRONTIER_RECOVERY_20260707,exact_source_row_blocker_table_dfb0ac3e.csv,blocker/recovery,15,19508,0392F8B6CB8412F02814D0C7E8580D375D81CC05A2158CCED739395F12C1E278
R2 Pan-Turkic DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_DFB0AC3E_LIVE_FRONTIER_RECOVERY_20260707,fable_branch_weight_boundary_ledger_dfb0ac3e.csv,Fable/adverse/do-not-use,7,7786,A5442885AA1D501DBC72CC54F535C21A4B69CEF4831BD7ECCDD417932FB68CBD
R2 Pan-Turkic DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_DFB0AC3E_LIVE_FRONTIER_RECOVERY_20260707,five_hour_reset_and_mutual_wake_rule_dfb0ac3e.csv,support/context,2,1255,66D70D909B9886D6C56E1B6D820E8ECC1903C2273F677CE79EEBA91344FCE48D
R2 Pan-Turkic DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_DFB0AC3E_LIVE_FRONTIER_RECOVERY_20260707,frontier_readback_dfb0ac3e.csv,support/context,1,1108,E7E3DB51FA3DE991D4DA6B673E74E86D64DF9117E61E94473B29A0FE4A2AADD8
R2 Pan-Turkic DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_DFB0AC3E_LIVE_FRONTIER_RECOVERY_20260707,MANIFEST.csv,support/context,19,4094,91B555388D1E7D77BA10999B4ABD6189DDBB59FD1BBEBB5D96288DFD4D182CE0
R2 Pan-Turkic DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_DFB0AC3E_LIVE_FRONTIER_RECOVERY_20260707,source_return_recovery_crosswalk_dfb0ac3e.csv,blocker/recovery,23,32128,85F436DFC39B09610E2F82BA4A1D4847B483C0276E721E81DCEAA853D15D6DE2
R2 Pan-Turkic DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_DFB0AC3E_LIVE_FRONTIER_RECOVERY_20260707,source_use_ledger_dfb0ac3e.csv,source-use/gap,15,14567,74EAA61809F4C3AE47E7E8CA9C3A7AE20702B9AA23FFFEBFF85432FA131045B3
R2 Pan-Turkic DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_DFB0AC3E_LIVE_FRONTIER_RECOVERY_20260707,VALIDATION.csv,support/context,11,1489,B758CD0F513B6B4F4743092CFBE998341046006F2BB39B18CB6920DAE1B20B00
R2 Pan-Turkic DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_DFB0AC3E_LIVE_FRONTIER_RECOVERY_20260707,visible_sibling_wake_scan_dfb0ac3e.csv,support/context,40,20766,B85BD637C972936F3F60F3536D6C13C5A958CCF40A0A741A81E4B77BDBD5CF79
R2 Pan-Turkic DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_DFB0AC3E_LIVE_FRONTIER_RECOVERY_20260707,zero_row_preservation_dfb0ac3e.csv,support/context,11,9828,CBE032D4736EDA8CBE2726EE154E5209741983449B02F260D61BAA8EFE7C6B77
R7 Malay/SEA/Pacific DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_DFB0AC3E_SAME_FRONTIER_TOKEN_RESET_DEDUP_REVERIFY_20260707,B3_UPLOADER_READY_SUMMARY.csv,support/context,7,777,B8F6FA0DB42DA84F3088AAD4F0B1C375BB4E3582A1D6183B9BB3D7F7CADCCBAC
R7 Malay/SEA/Pacific DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_DFB0AC3E_SAME_FRONTIER_TOKEN_RESET_DEDUP_REVERIFY_20260707,MANIFEST.csv,support/context,8,1842,9B034E436F7847A6209057C7C28FFE23829D92BA96698DC2B586C37157D368ED
R7 Malay/SEA/Pacific DFB0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_DFB0AC3E_SAME_FRONTIER_TOKEN_RESET_DEDUP_REVERIFY_20260707,R7_DFB0_DEDUP_EXACT_BLOCKER_RECOVERY_ROWS.csv,blocker/recovery,4,1310,7541178C74921D7688D7E787A9F865AC0107A6051FDA0F06A581E01660A9E315
