"apparatus_id","paper","source_page_or_locus","classification","source_reading","controlled_reading","german_diplomatic_ruling","translation_editorial_ruling","status","authority","evidence","reported_by","adjudicated_by","notes"
"LC-P02-030-001","P02","printed p30","inherited German transcription/layout defect: formula and note-apparatus fidelity","source dot and page-local Gordan *) marker at the source locus restored","first polar formula lost its centered multiplication dot; Gordan note was detached from its source call","Repair the editable German body to the original-print reading and structure.","Dependent translations must use the repaired structure/symbol and retain the defect record for rebases.","resolved_transcription_defect_body_repaired","Original Paper 2 scan; full page plus enlarged strips","full p030 plus all three strips; output p7","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source, build, and render check","medium: product notation and note identity"
"LC-P02-031-001","P02","printed p31","inherited German transcription/layout defect: dense multiplication-dot family normalized away","all source-visible centered multiplication dots restored throughout formula (II) and its lead-in/continuation","explicit centered products around c_{r\varrho}, v_x^r, u_x, coefficient sums, and v_x^{r-1} were printed without their source dots","Repair the editable German body to the original-print reading and structure.","Dependent translations must use the repaired structure/symbol and retain the defect record for rebases.","resolved_transcription_defect_body_repaired","Original Paper 2 scan; full page plus enlarged strips","full p031 plus all three strips; output pp7-8","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source, build, and render check","medium-high: preserves factor boundaries in a dense recurrence"
"LC-P02-032-001","P02","printed p32","inherited German transcription/layout defect: formula, heading, and apparatus fidelity","source dots, heading hierarchy, note identities, and label typography restored","formula (III) product dots, section-heading hierarchy, page-local note identities, and upright Definition/Satz labels were normalized","Repair the editable German body to the original-print reading and structure.","Dependent translations must use the repaired structure/symbol and retain the defect record for rebases.","resolved_transcription_defect_body_repaired","Original Paper 2 scan; full page plus enlarged strips","full p032 plus all three strips; output p8","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source, build, and render check","medium: formula grouping and structural source fidelity"
"LC-P02-033-001","P02","printed p33","inherited German transcription/layout defect: wrong exponent","a_eta^3","a_eta^4","Repair the editable German body to the original-print reading and structure.","Dependent translations must use the repaired structure/symbol and retain the defect record for rebases.","resolved_transcription_defect_body_repaired","Original Paper 2 scan; full page plus enlarged strips","strips_1000dpi/noether_paper02_p033_slice3of3_1000dpi.png; output pp8-9","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source, build, and render check","high: changes the degree of the displayed invariant factor"
"LC-P02-033-002","P02","printed p33","inherited German transcription/layout defect: prose and apparatus fidelity","source *)/**) identities, bold Beweis, and source emphasis restored","source note markers, bold Beweis label, and first doppelte Reduktion emphasis absent","Repair the editable German body to the original-print reading and structure.","Dependent translations must use the repaired structure/symbol and retain the defect record for rebases.","resolved_transcription_defect_body_repaired","Original Paper 2 scan; full page plus enlarged strips","full p033 plus all three strips; output pp8-9","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source, build, and render check","low mathematical force; high provenance value"
"LC-P02-034-001","P02","printed p34","inherited German transcription/layout defect: dense product and emphasis fidelity","all source-visible dots, emphasis, and page-local *) identity restored","explicit centered dots in six product loci and source emphasis on nichtlinearen/Glied were absent; source note identity normalized","Repair the editable German body to the original-print reading and structure.","Dependent translations must use the repaired structure/symbol and retain the defect record for rebases.","resolved_transcription_defect_body_repaired","Original Paper 2 scan; full page plus enlarged strips","full p034 plus all three strips; output pp9-10","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source, build, and render check","medium: preserves product boundaries in two displayed identities"
"W04-P04-001","P04","printed p126; P04_p126_source_native.jpg","R823/current-head source transcription defect: inequality equality-stroke fidelity","\sigma\geqq\tau","\sigma\geq\tau","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p126_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","The source uses the double-stroke non-strict sign in the Defekt-der-Faltung sentence."
"W04-P04-002","P04","printed p129; P04_p129_source_native.jpg","R823/current-head source transcription defect: inequality endpoint glyph","\rho\leqq n","\rho\leq n","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p129_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","The endpoint is source-visible and mathematically controls the number of expressions."
"W04-P04-003","P04","printed p130; P04_p130_source_native.jpg","R823/current-head source transcription defect: formula (18) inequality endpoint glyph","\rho_1+...+\rho_k\leqq n","\rho_1+...+\rho_k\le n","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p130_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","Exact source equality stroke restored."
"W04-P04-004","P04","printed p131; P04_p131_source_native.jpg","R823/current-head source transcription defect: ordered-range equality strokes","\rho\leqq\tau\leqq\sigma","\rho\le\tau\le\sigma","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p131_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","Exact source non-strict ordered range restored."
"W04-P04-005","P04","printed p132; P04_p132_source_native.jpg","R823/current-head source transcription defect: lexical compound boundary","Schlu\ss ausdr\""ucken","Schlu\ss{} ausdr\""ucken","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p132_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","Source prints Schlußausdrücken as one compound."
"W04-P04-006","P04","printed p132; P04_p132_source_native.jpg","R823/current-head source transcription defect: four-case partition equality strokes","\leqq/\geqq source glyphs","\le/\ge normalized glyphs","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p132_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","All non-strict boundaries restored; case 3 remains strict tau>sigma under the documented editorial ruling."
"W04-P04-007","P04","printed p132; P04_p132_source_native.jpg","R823/current-head source transcription defect: relation-(23) continuation inequality glyph","\tau\leqq\sigma","\tau\le\sigma","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p132_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","Exact source equality stroke restored after independent relation-(23) collation."
"W04-P04-008","P04","printed p133; P04_p133_source_native.jpg","R823/current-head source transcription defect: index-bound and continuation equality strokes","i_alpha\leqq tau; tau\leqq rho","i_alpha\le tau; tau\le rho","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p133_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","Exact source equality strokes restored."
"W04-P04-009","P04","printed p133; P04_p133_source_native.jpg","R823/current-head source transcription defect: lexical compound boundary","two Schlu\ss ausdruck loci","two Schlu\ss{} ausdruck loci","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p133_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","Source prints Schlußausdruck as one compound in both loci."
"W04-P04-010","P04","printed p135; P04_p135_source_native.jpg","R823/current-head source transcription defect: lexical compound boundary","two Schlu\ss ausdruck loci","two Schlu\ss{} ausdruck loci","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p135_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","Source prints both Schlußausdruck occurrences as compounds; equation (35) itself remains under apparatus."
"W04-P04-011","P04","printed p139; P04_p139_source_native.jpg","R823/current-head source transcription defect: inequality equality-stroke fidelity","\sigma\geqq\tau","\sigma\ge\tau","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p139_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","Exact source non-strict sign restored before formulas (41)-(43)."
"W04-P04-012","P04","printed p140; P04_p140_source_native.jpg","R823/current-head source transcription defect: formulae (44)-(45) equality strokes","\lambda\leqq...; \sigma\geqq\tau","\lambda\le...; \sigma\ge\tau","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p140_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","Exact source inequality strokes restored."
"W04-P04-013","P04","printed p141; P04_p141_source_native.jpg","R823/current-head source transcription defect: formula (46) equality stroke","\sigma\geqq\tau","\sigma\ge\tau","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p141_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","Exact source non-strict sign restored."
"W04-P04-014","P04","printed p142; P04_p142_source_native.jpg","R823/current-head source transcription defect: series-range endpoint glyph","\rho\leqq n","\rho\le n","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p142_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","Existing endpoint retained and exact source equality stroke restored. Cross-reference manager endpoint record N04-S07-SRCDEF-005."
"W04-P04-015","P04","printed p142; P04_p142_source_native.jpg","R823/current-head source transcription defect: identity operator before formula (48)","f\equiv...","f=...","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p142_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","The source uses the identity sign for the defining form family."
"W04-P04-016","P04","printed p142; P04_p142_source_native.jpg","R823/current-head source transcription defect: formula (48) altered equation structure","second line begins with =","second line joined by \cdot","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p142_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","The print has two alternative equal expressions for (f), not multiplication of the two displayed lines."
"W04-P04-017","P04","printed p142; P04_p142_source_native.jpg","R823/current-head source transcription defect: formula (49) chain equality strokes","k_1\geqq k_2\geqq...\geqq k_n","k_1\ge k_2\ge...\ge k_n","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p142_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","Exact source chain notation restored."
"W04-P04-018","P04","printed p143; P04_p143_source_native.jpg","R823/current-head source transcription defect: differential-proof range equality stroke","\sigma\geqq\tau","\sigma\ge\tau","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction; do not inherit the superseded German reading.","resolved_transcription_defect_body_repaired","Original Crelle Paper 4 source pages; Web independent full-page audit; LocalCodex bounded merge and spot-adjudication","P04_p143_source_native.jpg; Web_P04_p118_143_confirmed_fixes.csv","Web Pro current-head audit","LocalCodex 2026-07-19 content-survival, source, build, and render check","Exact source non-strict sign restored; dotted complementary-symbol family retained."
"LC-P02-035-001","P02","printed p35","inherited German transcription/layout defect: heading, formula number, and note identity","source heading hierarchy; formula (1.); page-local *) note","full-bold heading; formula (1); generic note number","Repair editable German to the original-print hierarchy and apparatus.","Dependent editions should preserve the repaired structure or disclose normalization.","resolved_transcription_defect_body_repaired","Original Paper 2 publication scan, native 600 ppi","native p035; enlarged strips; output p9","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source/build/render check","No formula-body change."
"LC-P02-036-001","P02","printed p36","inherited German transcription defect: note mark misread as symbol","varphi_lambda followed by source *) Gordan note call","varphi_lambda^* with note detached to later prose","Remove the invented mathematical superscript and restore the page-local note at its source locus.","Downstream bodies must not translate or formalize a starred varphi_lambda here.","resolved_transcription_defect_body_repaired","Original Paper 2 publication scan, native 600 ppi","native p036; enlarged strips; output p10","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source/build/render check","High mathematical force."
"LC-P02-037-001","P02","printed p37","inherited German transcription defect: contracted hat scopes","pair-wide hats over xy, yz, zx","single-symbol hats over x, y, z","Restore all three source hat spans.","Dependent editions must preserve pair membership.","resolved_transcription_defect_body_repaired","Original Paper 2 publication scan, native 600 ppi","native p037; enlarged strips; output pp10-11","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source/build/render check","High mathematical force."
"LC-P02-038-001","P02","printed p38","inherited German apparatus defect: page-local note identity normalized","source *) cyclic-sum note","generic numeric note","Restore the source page-local marker.","Preserve note identity across page remapping.","resolved_transcription_defect_body_repaired","Original Paper 2 publication scan, native 600 ppi","native p038; enlarged strips; output p11","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source/build/render check","c_z^2 is a retained negative control."
"LC-P02-039-001","P02","printed p39","inherited German transcription defect: footnote/symbol and hat-scope conflation","source *) Gordan note; pair-wide hats over au","mathematical superscript star; hats over a alone","Separate the note call from mathematics and restore both hat spans.","Dependent editions must not invent a starred form.","resolved_transcription_defect_body_repaired","Original Paper 2 publication scan, native 600 ppi","native p039; enlarged strips; output p11","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source/build/render check","Distinct from the schema's continuation stars."
"LC-P02-039-002","P02","printed p39","inherited German transcription/layout defect: continuation schema flattened","two source formula groups linked by matching stars with separators, underlined members, and left labels","single vertical formula list with right-side tag","Restore the editable two-part schema and source grouping.","Translations should preserve the logical grouping even if typography is adapted.","resolved_transcription_defect_body_repaired","Original Paper 2 publication scan, native 600 ppi","native p039; enlarged strips; output p12","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source/build/render check","Mathematical content existed, but its source relation was obscured."
"LC-P02-040-001","P02","printed p40","inherited German transcription defect: missing exponent","a_y^2","a_y","Restore exponent 2.","Treat as a degree-changing correction in downstream editions.","resolved_transcription_defect_body_repaired","Original Paper 2 publication scan, native 600 ppi","native p040; enlarged strips; output p12","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source/build/render check","High mathematical force."
"LC-P02-040-002","P02","printed p40","inherited German layout/notation normalization","source 1)/2) labels; unparenthesized mod nu; source heading hierarchy","1./2.; pmod(nu); full-bold heading","Restore the source list, modulus notation, and hierarchy.","Downstream editions may modernize only with explicit policy.","resolved_transcription_defect_body_repaired","Original Paper 2 publication scan, native 600 ppi","native p040; enlarged strips; output p12","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source/build/render check","Five displayed mod-nu relations affected."
"LC-P02-041-001","P02","printed p41","inherited German layout/operator normalization in formula (3.)","left-side (3.) before b); underlined left members; i f","right-side automatic tag; no underlines; i dot f","Restore source formula grouping and visible operator choice.","Preserve formula-part identity across downstream layouts.","resolved_transcription_defect_body_repaired","Original Paper 2 publication scan, native 600 ppi","native p041; enlarged strips; output p12","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source/build/render check","Coefficient values otherwise retained."
"LC-P02-041-002","P02","printed p41","inherited German transcription defect: wrong relation operator","equivalence/congruence sign","ordinary equality","Restore the source relation operator.","Dependent editions must not strengthen the statement to equality.","resolved_transcription_defect_body_repaired","Original Paper 2 publication scan, native 600 ppi","native p041; enlarged strips; output p13","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source/build/render check","High mathematical force."
"LC-P02-045-PARTIAL-001","P02","printed p45 note after mod-nu formula","inherited German apparatus defect: source star normalized to global numeric note","page-local *) Gordan--Kerschensteiner note","generic numeric footnote","Restore the exact source marker at this bounded locus; do not infer full-page closure.","Dependent editions should preserve the note association; full p45 remains in the open audit band.","resolved_exact_locus_body_repaired_page_still_open","Original Paper 2 publication scan, native 600 ppi","native p045 boundary page; output p15","LocalCodex downstream render containment and direct source check","LocalCodex 2026-07-19 exact-locus/build/render check","Found because corrected earlier star notes changed the inherited global counter and exposed an out-of-scope render delta."
"LC-P02-055-PARTIAL-001","P02","printed p55 note after Nach dem Ansatz","inherited German apparatus defect: source star normalized to global numeric note","page-local *) explanatory note","generic numeric footnote","Restore the exact source marker at this bounded locus; do not infer full-page closure.","Dependent editions should preserve the note association; full p55 remains in the open audit band.","resolved_exact_locus_body_repaired_page_still_open","Original Paper 2 publication scan, native 600 ppi","native p055 boundary page; output p20","LocalCodex whole-document containment and direct source check","LocalCodex 2026-07-19 exact-locus/build/render check","Found because corrected earlier page-local notes exposed a later global-counter dependency."
"LC-P02-057-PARTIAL-001","P02","printed p57 formula (13.) note","inherited German apparatus defect: source note identity split between literal tag star and global numeric note text","formula label (13.) followed by page-local *) call and matching note text","literal star embedded in the formula tag plus generic footnotetext","Restore one coherent source note call/text pair; do not infer full-page closure.","Dependent editions should preserve the formula-note association; full p57 remains in the open audit band.","resolved_exact_locus_body_repaired_page_still_open","Original Paper 2 publication scan, native 600 ppi","native p057 boundary page; output p22","LocalCodex whole-document containment and direct source check","LocalCodex 2026-07-19 exact-locus/build/render check","The source visibly prints (13.)*) and a *) note at the foot of the page."
"LC-P02-042-001","P02","printed p42","inherited German transcription/layout defect: hat scope and expression hierarchy","pair-wide hat over ub^2; underlined principal expressions 1)-2)","unaccented ub^2; principal expressions unmarked","Restore the source hat span and both underlines in editable German.","Dependent editions must preserve the contraction scope; underlining may be represented by an equivalent disclosed hierarchy only if required by house style.","resolved_transcription_defect_body_repaired","Original Paper 2 publication scan, native 600 ppi","native p042; enlarged strips; output p13","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source/build/render check","Mathematically significant hat scope."
"LC-P02-043-001","P02","printed p43","inherited German transcription/layout defect: hat scope and expression hierarchy","pair-wide hat over ub^2; underlined principal expressions 3)-9)","unaccented ub^2; principal expressions unmarked","Restore the source hat span and all seven underlines in editable German.","Dependent editions must preserve the contraction scope; underlining may be represented by an equivalent disclosed hierarchy only if required by house style.","resolved_transcription_defect_body_repaired","Original Paper 2 publication scan, native 600 ppi","native p043; enlarged strips; output pp13-14","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source/build/render check","Mathematically significant hat scope."
"LC-P02-045-001","P02","printed p45, Section 7 heading","inherited German typographic hierarchy defect","upright bold section number with italic title","entire heading bold upright","Restore the original heading hierarchy.","Translation bodies should retain an equivalent distinction between section number and title.","resolved_transcription_defect_body_repaired","Original Paper 2 publication scan, native 600 ppi","native p045; enlarged strips; output p15","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source/build/render check","Existing source note apparatus retained."
"LC-P02-047-001","P02","printed p47, formula (6.)","inherited German mathematical transcription defect: product split","s_nu^3 u_nu s_x = 1/3 u_x s_nu^4 = 1/3 J u_x","s_nu^3, u_nu s_x = 1/3 u_x s_nu^4 = 1/3 J u_x","Delete the non-source comma and restore the single product identity.","All dependent editions and formalizations must use the continuous product.","resolved_transcription_defect_body_repaired","Original Paper 2 publication scan, native 600 ppi","native p047; enlarged strips; output p16","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source/build/render check","Substantive mathematical correction."
"LC-P02-048-001","P02","printed p48, Sections 8-9 headings","inherited German typographic hierarchy defect","upright bold section numbers with italic titles","entire headings bold upright","Restore both original heading hierarchies.","Translation bodies should retain equivalent distinctions.","resolved_transcription_defect_body_repaired","Original Paper 2 publication scan, native 600 ppi","native p048; enlarged strips; output pp16-17","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source/build/render check","Formulae (7.)-(9.) otherwise source-matched."
"LC-P02-049-001","P02","printed p49, Section 10 heading","inherited German typographic hierarchy defect","upright bold section number with italic title","entire heading bold upright","Restore the original heading hierarchy.","Translation bodies should retain an equivalent distinction.","resolved_transcription_defect_body_repaired","Original Paper 2 publication scan, native 600 ppi","native p049; enlarged strips; output p17","LocalCodex direct complete-page audit","LocalCodex 2026-07-19 source/build/render check","Dense mathematical body otherwise source-matched."
